[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[00:52:46.061 --> 00:52:55.887]  So that just shows you how serious this situation in Russia and Ukraine is and how much of a threat it is that China is aligning itself with Russia.
[00:52:56.207 --> 00:53:12.557]  Folks, that's serious stuff that they're willing to potentially burn their own top agents and their own top criminal enterprises of biological weapons being made in order to have a geopolitical standoff against China supporting Russia.
[00:53:14.458 --> 00:53:16.949]   I mean, that's That's big.
[00:53:17.850 --> 00:53:22.993]  And they're still giving China an out because they're playing this little back and forth game.
[00:53:23.253 --> 00:53:28.796]  The Biden administration saying, well, we're not so sure it actually came out of Wuhan.
[00:53:28.836 --> 00:53:30.677]  So they're basically like, hey, look, China.
[00:53:32.237 --> 00:53:34.539]  We can change the narrative and blame this on you.
[00:53:35.999 --> 00:53:37.820]  And who knows if there's any real pressure there.
[00:53:37.880 --> 00:53:39.821]  China probably doesn't care less, quite frankly.
[00:53:40.101 --> 00:53:41.121]  They could blame it on China.
[00:53:41.142 --> 00:53:42.162]  They could expose the whole thing.
[00:53:42.182 --> 00:53:43.403]  And China's like, we don't care.
[00:53:43.843 --> 00:53:46.644]  China, the Chinese Communist already have complete control of China.
[00:53:47.164 --> 00:53:51.026]  They don't need to play these stupid little games with our corrupt media and our corrupt politicians.
[00:53:51.106 --> 00:53:51.706]  They don't care.
[00:53:54.027 --> 00:53:55.828]  So I don't think it's really going to matter to China.
[00:53:55.988 --> 00:53:58.169]  You could blame China tomorrow and they'll say, so what?
[00:54:00.230 --> 00:54:02.331]  The Biden administration can come out and blame China.
[00:54:02.351 --> 00:54:03.332]  They'll say, so what?
[00:54:04.394 --> 00:54:06.895]  The World Health Organization is not going to blame China.
[00:54:07.776 --> 00:54:09.236]  Bill Gates is not going to blame China.
[00:54:10.957 --> 00:54:18.321]  So this is all a Biden-Democrat geopolitical standoff against China, threatening China.
[00:54:18.681 --> 00:54:20.422]  We'll blame you for the pandemic.
[00:54:22.122 --> 00:54:23.423]  And you know what China is going to do?
[00:54:23.863 --> 00:54:24.243]  Nothing.
[00:54:24.263 --> 00:54:26.905]  They're going to balk and say, go ahead.
[00:54:27.925 --> 00:54:33.608]  And then you're going to have Biden and the Democrats and the mainstream media sitting with egg on their face yet again.
[00:54:35.250 --> 00:54:36.610]  Because we don't have serious leaders.
[00:54:38.471 --> 00:54:39.552]  I don't like Xi Jinping.
[00:54:40.112 --> 00:54:41.452]  I don't like the Chinese communists.
[00:54:42.112 --> 00:54:43.533]  But they're serious leaders.
[00:54:44.633 --> 00:54:45.414]  They're not a joke.
[00:54:46.274 --> 00:54:47.294]  Joe Biden is a joke.
[00:54:47.494 --> 00:54:48.475]  He's not a serious leader.
[00:54:49.295 --> 00:54:50.015]  What do they tell you?
[00:54:50.455 --> 00:54:52.776]  We've got the gayest White House ever!
[00:54:52.796 --> 00:54:54.837]  Oh, it's so gay!
[00:54:54.857 --> 00:54:56.858]  Oh, it's so black!
[00:54:56.938 --> 00:54:57.718]  It's so diverse!
[00:54:57.778 --> 00:54:58.518]  It's so immigrant!
[00:54:58.598 --> 00:54:59.759]  It's so gay!
[00:55:01.758 --> 00:55:02.098]  Oh, whoops!
[00:55:02.339 --> 00:55:02.619]  Woo!
[00:55:02.659 --> 00:55:03.379]  Congratulations!
[00:55:03.480 --> 00:55:03.740]  Whoops!
[00:55:03.940 --> 00:55:04.260]  Whoop!
[00:55:04.540 --> 00:55:05.201]  Whoop-dee-doo!
[00:55:05.241 --> 00:55:06.262]  You guys are gay!
[00:55:06.282 --> 00:55:06.342]  Woo!
[00:55:07.603 --> 00:55:08.343]  Yay!
[00:55:08.383 --> 00:55:10.245]  The White House is gay!
[00:55:10.265 --> 00:55:11.966]  All right!
[00:55:13.508 --> 00:55:15.949]  Congratulations!
[00:55:16.390 --> 00:55:18.572]  You like to put things in other guys' cavities.
[00:55:20.987 --> 00:55:21.567]  Yay!
[00:55:21.627 --> 00:55:23.308]  Let's celebrate how gay we are!
[00:55:23.709 --> 00:55:24.449]  Yay!
[00:55:24.469 --> 00:55:26.810]  Karine Jean-Pierre likes to scissor!
[00:55:27.191 --> 00:55:27.911]  Woo!
[00:55:27.931 --> 00:55:31.113]  Karine Jean-Pierre likes to scissor!
[00:55:31.153 --> 00:55:32.814]  And Pete Buttigieg likes sodomy!
[00:55:33.074 --> 00:55:34.034]  Yay!
[00:55:34.234 --> 00:55:35.155]  Woo-hoo!
[00:55:36.056 --> 00:55:37.396]  It's so much fun!
[00:55:37.416 --> 00:55:41.779]  Yeah, yeah, you can say Putin is corrupt.
[00:55:42.099 --> 00:55:43.240]  He's a serious leader.
[00:55:43.560 --> 00:55:45.701]  You can say the Chinese communists are corrupt.
[00:55:45.941 --> 00:55:47.242]  They're serious people.
[00:55:48.595 --> 00:55:50.456]  They don't run around playing tiddlywinks.
[00:55:50.476 --> 00:55:54.218]  They don't run around sticking their fingers in each other's orifices.
[00:55:56.159 --> 00:55:58.781]  And then telling you how great they are for doing it.
[00:56:01.922 --> 00:56:05.925]  So, the whole thing is collapsing, really.
[00:56:06.385 --> 00:56:08.986]  The entire Western power structure is collapsing, which is sad.
[00:56:09.026 --> 00:56:15.650]  I mean, it's totally corrupt, but folks, our standing in the world is going away.
[00:56:18.251 --> 00:56:20.092]  It is depleting quickly.
[00:56:21.432 --> 00:56:27.675]  Geopolitically, we are sliding down the totem pole faster than Pete Buttigieg on a greased pole.
[00:56:30.276 --> 00:56:38.120]  And the leaders of the world outside of the West, outside of the United States, have no respect.
[00:56:38.180 --> 00:56:40.301]  They don't care how gay Karine Jean-Pierre is.
[00:56:40.461 --> 00:56:42.682]  They don't care how gay Pete Buttplug is.
[00:56:42.962 --> 00:56:43.662]  They don't care!
[00:56:44.462 --> 00:56:45.243]  Nobody cares!
[00:56:47.059 --> 00:56:52.243]  But they just think it's all, oh let's dance around in gay flags and let's talk about how diverse we are, we're so great!
[00:56:53.745 --> 00:56:56.167]  And they're getting lapsed run around them geopolitically.
[00:56:57.148 --> 00:57:00.050]  And they can't even, it's like a blur, they can't even keep up.
[00:57:01.511 --> 00:57:03.233]  These are not serious people.
[00:57:06.815 --> 00:57:16.718]  So this standoff of, oh, we're going to make sure you get to blame China, we're going to make sure that China gets the blame for the pandemic, will not matter.
[00:57:17.378 --> 00:57:18.338]  It will not matter.
[00:57:19.899 --> 00:57:22.119]  It is not going to make a difference anywhere.
[00:57:23.320 --> 00:57:26.420]  Now, they might burn their own in the process.
[00:57:26.440 --> 00:57:29.501]  I mean, seriously, if they really want to push this, Fauci is going to go to jail.
[00:57:31.062 --> 00:57:39.178]   If they really want to take this to the limit, if they really want to get down to the origins of COVID-19, Their players are going to go to jail.
[00:57:40.880 --> 00:57:43.702]  The Chinese will have no problem.
[00:57:44.683 --> 00:57:55.473]  Now, the Chinese communists are denying that it came out of the lab, so that hasn't changed, but there could be a day where it changes and they would say, you know what, yeah, we have biological weapons labs, you guys funded it, thank you.
[00:57:56.534 --> 00:57:57.996]  Oops, how's that going to play?
[00:57:59.877 --> 00:58:15.097]   So, The only reason I can see as to why they're telling you COVID-19 came out of a lab is basically a threat against China that China is going to laugh at.
[00:58:16.798 --> 00:58:21.441]  That China is going to piss on and wipe their butts with.
[00:58:24.830 --> 00:58:26.471]  And the escalation is on.
[00:58:27.092 --> 00:58:28.052]  Major escalation.
[00:58:28.172 --> 00:58:32.295]  Drone attacks strike deep inside Russia, targeting nation's oil industry.
[00:58:32.455 --> 00:58:33.616]  Oh, who blew up the pipeline?
[00:58:34.036 --> 00:58:35.277]  Who's attacking them now?
[00:58:36.317 --> 00:58:42.741]  Zelensky says that Americans are going to have to spend their blood and treasure in Ukraine to protect Ukraine.
[00:58:42.781 --> 00:58:44.262]  Really, Zelensky, what would you do for us?
[00:58:45.503 --> 00:58:51.847]  Iran can make fissile material for a bomb in about 12 days, so Iran getting a little more serious in this?
[00:58:54.363 --> 00:58:58.166]  But folks, there is a back and forth going on inside the government.
[00:58:58.247 --> 00:59:00.288]  And I pull this story up just as an example.
[00:59:01.229 --> 00:59:03.511]  Showdown before the FBI raid at Mar-a-Lago.
[00:59:04.032 --> 00:59:05.974]  Agents and prosecutors argued over Trump.
[00:59:06.014 --> 00:59:09.897]  Folks, it's going back and forth with the war and some of the generals.
[00:59:09.977 --> 00:59:14.661]  It's going back and forth with the political persecution of Trump supporters and some of the agents and prosecutors.
[00:59:16.519 --> 00:59:24.428]  The answer to all this is good Americans need to stand up, rise up, and do the right thing in the face of all of this.
[00:59:24.768 --> 00:59:26.070]  Otherwise, we're going to lose everything.
[00:59:26.911 --> 00:59:35.761]  Alright, we're going to get back into the discussion of the Wuhan lab leak theory now being confirmed.
[00:59:36.949 --> 00:59:45.853]  With Dr. Andrew Huff coming up in the third hour of today's Alex Jones Show, I would like to move on to some other subjects here before we do that.
[00:59:46.954 --> 00:59:51.476]  And ladies and gentlemen, remember everything we do here is brought to you by you!
[00:59:52.436 --> 00:59:55.177]  Shopping at InfowarsStore.com.
[00:59:55.237 --> 00:59:56.138]  And isn't it funny?
[00:59:57.679 --> 01:00:04.882]  Isn't it funny that all the news that we reported years ago, months ago, decades ago, all turns out to be true?
[01:00:06.064 --> 01:00:08.244]  And of course that's why they want us off the air.
[01:00:08.304 --> 01:00:17.706]  But we're still here every day, kicking and screaming and fighting the globalists, New World Order tyrants, every day.
[01:00:18.167 --> 01:00:21.207]  And we intend to as long as we are right here on the air.
[01:00:21.307 --> 01:00:27.388]  So, shopping at infowarsstore.com is what makes it all possible.
[01:00:28.369 --> 01:00:43.107]   Now, I gotta tell ya, Whenever I'm out and about and I get recognized, a lot of times people want to tell me about the products and which ones were great for them and the impacts they had on their lives or their families.
[01:00:43.887 --> 01:00:53.156]  And recently, for whatever reason, I'm getting people talking about the CBD, the full spectrum CBD, just being the best out there.
[01:00:54.278 --> 01:00:57.921]  And I am somebody that has been using supplements for a long time.
[01:00:58.001 --> 01:01:09.548]  I use a lot of the InfoWars supplements and products, but I've never done the CBD full-spectrum stuff, so I'm not really commenting on this because of personal experience.
[01:01:11.330 --> 01:01:17.214]  But I can tell you, this is the product I hear about more than any other product now.
[01:01:18.317 --> 01:01:23.161]  And it's coming from people who have been using different CBD products for years now.
[01:01:23.202 --> 01:01:24.503]  They've been popular for years now.
[01:01:25.464 --> 01:01:38.135]  And it's from people that have been using CBD products, some people even selling them themselves, and they come up and they tell me, they say, Owen, the CBD spectrum you guys sell at Infowarsstore.com is the best on the market.
[01:01:38.455 --> 01:01:39.116]  I sell them.
[01:01:39.256 --> 01:01:41.078]  I'm telling you it's the best, or I've used them all.
[01:01:42.439 --> 01:01:43.320]  I'm telling you it's the best.
[01:01:44.591 --> 01:01:49.317]  So usually I like to talk about the products that I use, that I like, because it's easy for me to do that.
[01:01:49.377 --> 01:02:01.411]  But I can't ignore the fact that I hear about the CBD Full Spectrum at InfoWareStore.com now more than any other product when people recognize me and they want to talk about the supplements.
[01:02:02.975 --> 01:02:03.835]  It's the real deal.
[01:02:04.516 --> 01:02:11.159]  And of course, we've had Mike Adams and others that have analyzed it in labs saying, no, yeah, this is the most powerful on the market.
[01:02:11.499 --> 01:02:12.920]  By the way, it's at the lowest price.
[01:02:13.600 --> 01:02:15.661]  So that's what we do at Infowarsstore.com.
[01:02:16.541 --> 01:02:23.545]  With all the great supplements, highest quality, lowest price, Infowarsstore.com, and you support the transmission in the process.
[01:02:23.865 --> 01:02:24.185]  All right.
[01:02:26.706 --> 01:02:27.827]  Let's look here.
[01:02:28.307 --> 01:02:30.468]  How's Joe Biden's America doing, by the way?
[01:02:34.031 --> 01:02:34.832]  I couldn't believe it.
[01:02:36.313 --> 01:02:37.053]  I couldn't believe it.
[01:02:37.094 --> 01:02:38.855]  We played it in the fourth hour yesterday.
[01:02:38.915 --> 01:02:40.596]  I thought, there's no way this is real.
[01:02:40.616 --> 01:02:41.997]  This has to be deepfake.
[01:02:42.558 --> 01:02:43.258]  But it was real.
[01:02:44.019 --> 01:02:48.963]  Joe Biden talking about a nurse whispering sweet nothings into his ear.
[01:02:49.203 --> 01:02:49.964]  I'm not even kidding you.
[01:02:49.984 --> 01:02:51.005]  Maybe we should play it again.
[01:02:52.126 --> 01:02:56.149]  Joe Biden slurs, invents a new language in Virginia speech.
[01:02:56.209 --> 01:02:56.829]  It's getting worse.
[01:02:58.030 --> 01:02:58.651]  It's getting worse.
[01:03:01.543 --> 01:03:04.183]  And he keeps telling how great the economy is, by the way.
[01:03:05.304 --> 01:03:06.564]  Which is just not true.
[01:03:06.604 --> 01:03:07.384]  I've got the evidence.
[01:03:07.604 --> 01:03:08.404]  Is this the clip, guys?
[01:03:08.444 --> 01:03:09.084]  Do we have it ready?
[01:03:10.325 --> 01:03:16.406]  Biden repeats bizarre story about nurse who rubbed his face and whispered sweet nothings into his ear.
[01:03:16.466 --> 01:03:16.966]  This is real!
[01:03:17.066 --> 01:03:24.647]  This is your president, Joe Biden, who's gonna lead us through a war with Russia.
[01:03:24.947 --> 01:03:26.407]  Here's Joe Biden yesterday.
[01:03:26.467 --> 01:03:27.908]  You can't even believe this, but it's real.
[01:03:28.948 --> 01:03:30.268]  I'm Pearl Nelson, military.
[01:03:31.221 --> 01:03:35.064]  She'd come in and do things that I don't think you learn in medical school, in nursing school.
[01:03:35.445 --> 01:03:35.645]  What?
[01:03:36.145 --> 01:03:37.426]  She'd whisper in my ear.
[01:03:37.907 --> 01:03:38.827]  I couldn't understand her.
[01:03:38.867 --> 01:03:40.108]  She'd whisper and she'd lean down.
[01:03:41.049 --> 01:03:45.152]  She'd actually breathe on me to make sure that there was a connection, a human connection.
[01:03:45.913 --> 01:03:48.355]  She went home and brought back her pillow.
[01:03:48.935 --> 01:03:49.336]  Joe!
[01:03:49.696 --> 01:03:50.577]  That's not a nurse!
[01:03:51.437 --> 01:03:52.618]  Joe, that wasn't a nurse!
[01:03:53.359 --> 01:03:54.600]  Joe, that wasn't a doctor!
[01:03:56.802 --> 01:03:57.222]  Joe!
[01:03:57.983 --> 01:03:58.383]  Joe!
[01:03:59.344 --> 01:04:00.024]  That was a hooker!
[01:04:01.277 --> 01:04:02.577]  Joe, that was Hunter's stripper!
[01:04:02.957 --> 01:04:03.957]  That was Hunter's escort!
[01:04:06.838 --> 01:04:09.999]  But imagine now this doctor or this nurse he's talking about.
[01:04:10.019 --> 01:04:11.659]  I don't know, maybe she likes it.
[01:04:12.859 --> 01:04:15.180]  Apparently she's whispering sweet nothings into his ear.
[01:04:17.340 --> 01:04:19.740]  Joe, let's go Brandon.
[01:04:21.621 --> 01:04:22.881]  Ooh, that gets me off, baby.
[01:04:22.941 --> 01:04:23.641]  I'm Joe Biden.
[01:04:23.661 --> 01:04:27.242]  I wonder how Dr. Jill feels about that.
[01:04:27.702 --> 01:04:28.442]  She's in Africa.
[01:04:29.718 --> 01:04:30.980]  What about that student loan though?
[01:04:31.180 --> 01:04:32.762]  What about that student loan promise?
[01:04:34.004 --> 01:04:36.407]  Joe Biden's student loan bailout plan in danger.
[01:04:38.550 --> 01:04:39.171]  In danger!
[01:04:39.231 --> 01:04:41.193]  It was never real!
[01:04:41.834 --> 01:04:42.795]  He lied to you!
[01:04:44.317 --> 01:04:45.058]  That dirtbag!
[01:04:45.419 --> 01:04:45.940]  And he knew it!
[01:04:48.032 --> 01:04:49.614]  You know, I feel bad for those suckers.
[01:04:49.894 --> 01:04:50.214]  I don't know.
[01:04:50.234 --> 01:04:51.776]  Part of me feels bad.
[01:04:51.816 --> 01:04:53.297]  Another part of me just says, screw them.
[01:04:53.878 --> 01:04:56.000]  The suckers that fall for the lies of Joe Biden.
[01:04:56.040 --> 01:04:59.022]  It's kind of like the devil on your shoulder or the angel on your shoulder.
[01:04:59.042 --> 01:05:01.545]  It's like the angel says, hey, they've been fooled.
[01:05:01.585 --> 01:05:02.466]  They've been deceived.
[01:05:02.886 --> 01:05:04.227]  They're victims of propaganda.
[01:05:04.928 --> 01:05:06.910]  And then the devil on my shoulder is like, screw them.
[01:05:06.950 --> 01:05:07.851]  They're so stupid.
[01:05:07.871 --> 01:05:08.892]  They don't know he's a liar.
[01:05:09.052 --> 01:05:09.632]  Forget them.
[01:05:10.473 --> 01:05:13.096]  Let them burn intellectually.
[01:05:15.854 --> 01:05:19.235]  Oh, you mean Joe Biden can't just pay off your student debt?
[01:05:19.415 --> 01:05:19.856]  Wow.
[01:05:20.756 --> 01:05:22.136]  Who would have thought?
[01:05:23.777 --> 01:05:25.578]  I guess he can't pay off my mortgage either.
[01:05:25.638 --> 01:05:27.579]  I guess he can't pay off my credit card bill either.
[01:05:27.619 --> 01:05:30.480]  I mean, I guess we can't even pay off our nation's debt.
[01:05:31.140 --> 01:05:32.480]  Oh, yeah.
[01:05:32.500 --> 01:05:35.842]  What are we, $50 trillion in debt, but he's going to pay your student loans?
[01:05:35.922 --> 01:05:36.502]  No, he's not.
[01:05:36.902 --> 01:05:38.183]  He just wanted you to vote for him.
[01:05:38.223 --> 01:05:39.523]  He lied to you.
[01:05:42.084 --> 01:05:43.625]  Greatest economy ever, Jack.
[01:05:45.062 --> 01:05:47.323]  60% of Americans live paycheck to paycheck.
[01:05:47.423 --> 01:05:49.224]  Inflation is part of their everyday lives.
[01:05:50.124 --> 01:05:53.605]  And this is CNBC financial analysis here.
[01:05:54.465 --> 01:06:02.228]  And by the way, folks, the numbers are not, I mean, it used to be kind of the demarcation line financially.
[01:06:02.288 --> 01:06:08.826]   It's like, if you're making $50,000 a year, You're probably going to be okay.
[01:06:08.846 --> 01:06:17.093]  If you're making $50,000 a year, you're going to be able to have a roof over your head, a car that's going to start, and be able to live a pretty comfortable life.
[01:06:17.133 --> 01:06:18.093]  About $50,000 a year.
[01:06:18.133 --> 01:06:20.495]  Well, now it's like $100,000 a year is where you've got to be.
[01:06:21.376 --> 01:06:24.278]  And this has happened in such a short span, really.
[01:06:24.338 --> 01:06:27.280]  It's happened in such a short span, just like that.
[01:06:29.322 --> 01:06:32.905]  And now, if you're making six figures, you're still living paycheck to paycheck.
[01:06:33.902 --> 01:06:35.723]  That's Biden's America, but this is globalism.
[01:06:35.743 --> 01:06:37.244]  That's the larger issue.
[01:06:38.464 --> 01:06:42.226]  Because our politicians don't think Americans should have the highest standard of living.
[01:06:42.406 --> 01:06:45.808]  They think we should be brought back down to the standards of, oh, I don't know, Africa.
[01:06:47.769 --> 01:06:51.410]  Mexican president says that Mexico has more democracy than the United States.
[01:06:53.411 --> 01:07:02.996]  Well, yeah, I mean, you know, Russians apparently steal our elections, and Biden apparently gets 81 million votes, but you can't find a single voter, you can't have a rally, can't fill a high school broom closet.
[01:07:05.423 --> 01:07:06.705]  And now here's the realization.
[01:07:06.725 --> 01:07:08.166]  This is South Park becoming true.
[01:07:08.586 --> 01:07:09.607]  It just happens every day.
[01:07:10.548 --> 01:07:11.069]  Can't believe it.
[01:07:11.089 --> 01:07:14.612]  I was watching this South Park episode 10 years ago and now it's the reality.
[01:07:15.072 --> 01:07:19.796]  Many undocumented immigrants are departing after decades in the United States.
[01:07:20.918 --> 01:07:26.282]  And so they're realizing that the whole con of them coming here was just a trick and a trap.
[01:07:27.618 --> 01:07:33.021]  And America is not the once great, prosperous, free nation that it once was.
[01:07:33.721 --> 01:07:40.885]  And all the little handouts and the things they were told were gonna work out for them when they got here aren't happening.
[01:07:41.725 --> 01:07:44.947]  And so they're going back to their home countries, like Mexico.
[01:07:46.088 --> 01:07:56.313]  Literally right out of a South Park episode, actually one of my favorite South Park episodes of all time, I think it's called, um, Bontakia?
[01:07:57.637 --> 01:08:01.840]  Oh man, what was that one called, where all the Mexicans go back home because they realize it's better there than America?
[01:08:01.860 --> 01:08:16.890]  Man, the war propaganda is really ramping up, and CNN, MSNBC sending reporters into China, sending reporters into Crimea, and they're looking for a desired result, and they're getting the opposite.
[01:08:17.851 --> 01:08:24.415]  MSNBC goes into Crimea, and they're looking for people to talk bad about Putin and Russia, and all they get is people saying how much they love Putin and Russia.
[01:08:24.616 --> 01:08:24.956]  Oops!
[01:08:27.475 --> 01:08:32.778]  CNN flies around Chinese airspace right up next to a Chinese fighter jet.
[01:08:32.798 --> 01:08:36.721]  And it's just, I mean, it's so clearly war propaganda.
[01:08:36.741 --> 01:08:42.724]  It's just like, wow, you guys are really flirting with this, aren't you?
[01:08:42.784 --> 01:08:47.067]  You really want to put yourselves up there as some of the people that started World War III.
[01:08:47.768 --> 01:08:48.168]  Nice.
[01:08:49.288 --> 01:08:49.669]  Nice.
[01:08:50.189 --> 01:08:50.789]  Way to go.
[01:08:51.610 --> 01:08:53.411]  Interesting life choice, but you've made it.
[01:08:55.252 --> 01:08:56.273]  And so here we are now.
[01:08:58.442 --> 01:09:08.306]  The Mexican president, as we just covered, says that Mexico has more democracy than the United States of America.
[01:09:09.407 --> 01:09:10.347]  Do you agree with him?
[01:09:11.208 --> 01:09:13.268]  Here's some of the headlines on that today.
[01:09:14.189 --> 01:09:18.110]  Leftist group caught running massive election bribery scheme in Wisconsin.
[01:09:18.331 --> 01:09:22.292]  Supreme Court race, an alleged felony punishable by up to three years in prison.
[01:09:22.312 --> 01:09:23.433]  This is an incredible story.
[01:09:24.767 --> 01:09:35.251]  Dan O'Donnell from News Talk 1130 in Wisconsin broke a huge report on a leftist bribery scandal operating in Wisconsin before the upcoming state Supreme Court race.
[01:09:36.151 --> 01:09:37.011]  This is where it gets wild.
[01:09:38.472 --> 01:09:42.173]  And by the way, you know if you've caught them doing this once, they've been doing it forever.
[01:09:43.553 --> 01:09:52.757]  Liberal groups are paying voters $250 to sway their friends to vote for the leftist Supreme Court candidate, Janet Prostizuish.
[01:09:54.847 --> 01:09:56.128]  You try to pronounce that last name.
[01:09:58.210 --> 01:10:03.316]  This amounts to election bribery, a felony in Wisconsin, punishable by up to three years in prison.
[01:10:03.396 --> 01:10:05.798]  But don't you know this is how the Democrats operate?
[01:10:05.838 --> 01:10:06.579]  They pay you.
[01:10:07.160 --> 01:10:11.964]  But see, they have their little, they have their little loopholes and end around operations where...
[01:10:12.895 --> 01:10:16.676]  They'll just pay you to promote Democrat Party propaganda on Twitter.
[01:10:17.216 --> 01:10:21.057]  They'll just pay you to promote vaccine propaganda on your social media.
[01:10:21.937 --> 01:10:24.157]  And then people watching it think, oh, this is my friend.
[01:10:24.817 --> 01:10:29.418]  Oh, this is a this is a neutral observer saying that this vaccine is good or saying this candidate is good.
[01:10:29.438 --> 01:10:31.379]  And you just think, oh, that's just that's just neutral.
[01:10:31.419 --> 01:10:32.039]  That's just a friend.
[01:10:32.079 --> 01:10:32.759]  That's just somebody doing it.
[01:10:33.079 --> 01:10:34.739]  Oh, no, that's paid propaganda.
[01:10:36.400 --> 01:10:37.880]  Ah, ah, yes.
[01:10:40.453 --> 01:10:44.336]  Stacey Abrams, this is just, what is going on here?
[01:10:44.936 --> 01:10:54.342]  Stacey Abrams goes to Nigeria as an election observer, and then both major parties call for a do-over.
[01:10:57.704 --> 01:11:00.706]  You gotta learn the hard way not to trust a Democrat with counting an election, huh?
[01:11:01.067 --> 01:11:02.748]  They learned that in Nigeria real quickly.
[01:11:03.871 --> 01:11:06.152]  By the way, what happened to Jill Biden's trip to Africa?
[01:11:06.172 --> 01:11:10.795]  Remember, she was Biden's secret weapon to go to Africa and convince them not to support China?
[01:11:11.116 --> 01:11:12.416]  Let me tell you something.
[01:11:12.557 --> 01:11:21.182]  If Jill Biden shows up to Africa saying, please don't support China, guess what the African countries are going to do the next day after she leaves?
[01:11:21.562 --> 01:11:23.283]  They're going to call China and say, hey, how are you doing?
[01:11:23.303 --> 01:11:24.164]  Want to have a good relationship?
[01:11:24.864 --> 01:11:25.505]  Want to go out for dinner?
[01:11:27.307 --> 01:11:30.510]  New database launched to help pressure states to clean up voter rolls.
[01:11:31.290 --> 01:11:37.215]  Now remember, it's been discovered millions of illegal voters on the California voter rolls.
[01:11:37.836 --> 01:11:40.078]  Same thing in Texas and these other states.
[01:11:40.158 --> 01:11:45.863]  Now they removed them in Florida, and now what do you know, Florida had a bunch of Republicans win, including a mayor of Miami.
[01:11:46.403 --> 01:11:49.105]  Oh, you clean up the voter rolls, Democrats don't win elections anymore.
[01:11:50.867 --> 01:12:01.305]   So is this why the Mexican president Says that Mexico has more democracy than the United States of America.
[01:12:01.365 --> 01:12:01.846]  But hey!
[01:12:03.026 --> 01:12:05.087]  We voted for John Fetterman!
[01:12:06.468 --> 01:12:08.549]  We got John Fetterman!
[01:12:10.230 --> 01:12:12.391]  Who is not doing so well.
[01:12:13.832 --> 01:12:16.934]  In fact, we don't even know what his current condition is.
[01:12:17.674 --> 01:12:23.297]  Pennsylvania Republicans call on Fetterman to appear on camera to prove he's alive and well or resign.
[01:12:24.875 --> 01:12:30.082]  Now, again, this is just more of the leftist lies, the mainstream media propaganda.
[01:12:30.142 --> 01:12:31.164]  Fetterman's healthy.
[01:12:31.244 --> 01:12:32.265]  Fetterman's fine.
[01:12:32.345 --> 01:12:33.246]  Nothing to see here.
[01:12:33.307 --> 01:12:34.308]  Nothing to worry about.
[01:12:34.368 --> 01:12:36.090]  Look, he won a debate.
[01:12:36.130 --> 01:12:36.972]  He couldn't even talk.
[01:12:38.800 --> 01:12:45.221]  When he was doing TV interviews, he had to have an earpiece in and a teleprompter in front of him because he can't talk and he can't hear.
[01:12:45.241 --> 01:12:46.801]  Hey, that's sad.
[01:12:46.861 --> 01:12:48.422]  He's suffering from a major stroke.
[01:12:49.062 --> 01:12:50.062]  I'm not celebrating that.
[01:12:50.102 --> 01:12:50.942]  That's really a shame.
[01:12:51.762 --> 01:12:55.963]  But it's his wife and the Democrats that put him up to running for God knows what reason.
[01:12:57.363 --> 01:12:58.964]  But I think we're figuring it out now.
[01:12:59.024 --> 01:13:01.864]  By the way, his wife dropped him off at the hospital and then left the country.
[01:13:02.344 --> 01:13:03.264]  She's really nice.
[01:13:03.284 --> 01:13:04.685]  She's really caring and concerning.
[01:13:04.745 --> 01:13:06.065]  I mean, what a bitch.
[01:13:07.210 --> 01:13:07.991]  But who's surprised?
[01:13:08.351 --> 01:13:13.615]  Now, so why is John Fetterman the ideal candidate for the Democrat Party?
[01:13:15.216 --> 01:13:39.462]   I told you this is their big new push, is they want to promote candidates that are mentally ill so that they can have this new victim class of mentally ill Just like a victim class of you're gay, or victim class of you're black, or victim class whatever it is, you're a victim and so you should vote for this person, they're a victim, they deserve it, they're a victim.
[01:13:40.763 --> 01:13:49.386]  Well now the new one is going to be this person's mentally ill, they're a victim, or, in Fetterman's case, this person is mentally incapacitated.
[01:13:50.586 --> 01:13:51.106]  Vote for him.
[01:13:52.747 --> 01:14:11.640]   But this is the ideal Democrat candidate now because They can just control the entire party apparatus with a bunch of mentally ill or mentally incapacitated representatives and then they don't have to worry about people getting uppity like an AOC.
[01:14:12.541 --> 01:14:19.827]  They don't have to worry about people leaving the Democrat Party like Tulsi Gabbard or maybe even soon Joe Manchin.
[01:14:21.397 --> 01:14:28.382]  They want the mentally incapacitated to represent them, because then they can just control the party from the top down.
[01:14:29.542 --> 01:14:40.870]  Which is what they do, that's why they rig all their primaries, that's why Hillary Clinton won the primary, that's why Joe Biden won the primary, despite Bernie Sanders, Tulsi Gabbard, Andrew Yang, all these other candidates having much more support.
[01:14:41.531 --> 01:14:42.711]  I went to the debates, folks.
[01:14:42.871 --> 01:14:43.332]  I saw it.
[01:14:44.513 --> 01:14:44.693]  I mean...
[01:14:45.951 --> 01:14:49.093]  Even Andrew Yang had hundreds of people in the streets.
[01:14:49.353 --> 01:14:51.395]  Joe Biden didn't have one.
[01:14:52.616 --> 01:14:53.756]  I went to the Democrat debates.
[01:14:53.997 --> 01:14:56.298]  Joe Biden had no support.
[01:14:56.618 --> 01:14:56.899]  None.
