[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[00:39:38.614 --> 00:39:39.895]  That's how it all works now, folks.
[00:39:40.695 --> 00:39:47.281]  BBC fires top presenter accused of paying teen $45,000 for sexually explicit photos.
[00:39:47.541 --> 00:39:48.902]  That's a side issue, but we'll get to it.
[00:39:49.442 --> 00:39:59.651]  DOJ removes international sex trafficking of minors from areas of concern page because there is no trafficking of children except what Biden does.
[00:40:01.246 --> 00:40:06.807]  So we've got these clips, but just imagine, here is the California Assembly.
[00:40:06.867 --> 00:40:10.968]  Democrats block bill to make child trafficking a serious felony.
[00:40:11.588 --> 00:40:24.651]  California lawmakers and the Assembly Public Safety Committee blocked a measure that all Republicans voted for to classify human trafficking of a minor as a serious felony under state law.
[00:40:26.090 --> 00:40:32.570]   All six Democrats on the committee voted against the proposal, while the two Republicans were
[00:40:32.570 --> 00:40:34.949]  the only ones to say yes.
[00:40:34.949 --> 00:40:39.371]   The results of the vote prompted members of the audience, some of whom had been traffic
[00:40:39.371 --> 00:40:45.010]   victims who had testified themselves, to openly sob in front of the committee.
[00:40:45.010 --> 00:40:49.130]   The measure was halfway through the state's legislative process, having cleared the Senate
[00:40:49.130 --> 00:40:54.690]  state unanimously with broad bipartisan support.
[00:40:54.690 --> 00:40:59.050]   None of the six Democrats on the Assembly Public Safety Committee were willing to cast
[00:40:59.050 --> 00:41:00.170]  a vote on the measure.
[00:41:00.874 --> 00:41:08.260]  Republican Assemblyman Juan Alanis and Tom Lackey were the bill's only votes.
[00:41:09.341 --> 00:41:14.225]  So let's go ahead and play the first longer clip that I've got here on my list.
[00:41:15.867 --> 00:41:22.561]   Let's go ahead and play Clip three and then let's play clip four after that.
[00:41:23.802 --> 00:41:29.865]  California lawmakers today rejected a measure that would make human trafficking of a child a serious felony.
[00:41:30.305 --> 00:41:39.110]  Experts say right now those convicted of trafficking people under the age of 17 are able to get out of prison early and serve much less time than what they're sentenced to.
[00:41:39.490 --> 00:41:47.515]  Case Area 3 Capitol correspondent Ashley Zavala explains both sides of this issue and why the lawmaker who wrote this bill was shocked by the vote today.
[00:41:49.471 --> 00:41:56.953]  California lawmakers in the Assembly Public Safety Committee today blocked a bill that would have defined human trafficking of a child a serious felony.
[00:41:57.393 --> 00:42:05.655]  This would have made it a strikable offense, meaning it could put people convicted of trafficking children away for longer if they are convicted of trafficking them again.
[00:42:06.076 --> 00:42:12.137]  Right now, those convicted are eligible for early release credits, meaning their sentences can be significantly reduced.
[00:42:12.537 --> 00:42:15.038]  Supporters say this measure would have changed that.
[00:42:15.498 --> 00:42:23.721]   But opponents say more prison time doesn't get to the root of the problem, And say there are already laws on the books that can put traffickers away for a significant amount of time.
[00:42:24.221 --> 00:42:26.662]  This bill was halfway through the legislative process.
[00:42:27.022 --> 00:42:30.943]  It passed unanimously through the State Senate with broad bipartisan support.
[00:42:31.303 --> 00:42:36.005]  State Senator Shannon Grove, who authored the bill, told us she was blindsided by today's vote.
[00:42:36.445 --> 00:42:40.670]  You can pass a note to a bank and rob a bank.
[00:42:40.810 --> 00:42:44.235]  You can commit arson and that's considered a serious felony.
[00:42:44.615 --> 00:42:48.039]  But to traffic a minor child in the state of California is not.
[00:42:48.580 --> 00:42:49.521]  That's something wrong.
[00:42:49.601 --> 00:42:52.324]  I mean I'm talking 0 to 17 where the average age is 10.
[00:42:54.463 --> 00:42:55.984]  And they would not pass this bill.
[00:42:57.205 --> 00:42:58.986]  Now the vote tally was two to zero.
[00:42:59.106 --> 00:43:03.268]  No Democrats were willing to vote for this bill and those two votes came from Republicans.
[00:43:03.688 --> 00:43:05.229]  This bill is not dead.
[00:43:05.349 --> 00:43:07.651]  It's just not moving forward for the rest of the year.
[00:43:08.131 --> 00:43:11.493]  Discussions on this at the state capitol can pick up next year.
[00:43:11.513 --> 00:43:14.274]  Reporting at the state capitol, Ashley Zavala, KCRA 3 News.
[00:43:15.731 --> 00:43:26.536]  Well, if you may have noticed, the Assembly Public Safety Committee is known for blocking measures that would increase prison time, recently rejecting similar measures for fentanyl dealers and domestic violence offenders.
[00:43:26.876 --> 00:43:33.419]  The chairman of the committee, Assemblyman Reggie Jones-Sawyer, has promised to work with Senator Grove on this human trafficking bill.
[00:43:34.840 --> 00:43:36.841]  Yeah, I don't want to put those fentanyl dealers in jail.
[00:43:36.861 --> 00:43:38.041]  They're really nice people, too.
[00:43:39.042 --> 00:43:43.804]  So, California is a pedophile wonderland.
[00:43:44.875 --> 00:43:50.016]  California is a pedophile utopia, at least in the making.
[00:43:50.956 --> 00:43:53.817]  And we know California is the model for the rest of the country.
[00:43:54.717 --> 00:44:01.359]  I'm dumbfounded by Biden taking child sex trafficking off the federal website, saying it's not an issue, doesn't exist.
[00:44:02.259 --> 00:44:05.600]  And saying we're not going to DNA test kids that are unaccompanied, we just turn them over to random people.
[00:44:06.880 --> 00:44:08.060]  Or test who are they really with.
[00:44:08.080 --> 00:44:09.721]  The test takes a day.
[00:44:10.381 --> 00:44:11.041]  Very inexpensive.
[00:44:11.846 --> 00:44:15.847]  But no, we're going to tell the children come here and adults bring children.
[00:44:16.287 --> 00:44:18.668]  It's the happy land to kidnap kids and bring them here.
[00:44:19.268 --> 00:44:22.229]  It's a pedophile paradise.
[00:44:23.249 --> 00:44:25.170]  Who was that singer died like last year?
[00:44:25.270 --> 00:44:25.750]  Coolio?
[00:44:27.430 --> 00:44:29.291]  Living in a gangster's paradise.
[00:44:29.351 --> 00:44:30.151]  Make sure Coolio died.
[00:44:30.171 --> 00:44:30.891]  I'm going for memory here.
[00:44:30.911 --> 00:44:35.072]  I remember he used to be like bulletproof and 100% now it fails.
[00:44:35.112 --> 00:44:35.792]  He did die, right?
[00:44:36.433 --> 00:44:36.713]  He did.
[00:44:37.113 --> 00:44:40.474]  So maybe we should go out with living in a gangster's paradise.
[00:44:41.736 --> 00:44:44.037]  We can pull that up, but it's not a gangster's paradise.
[00:44:44.577 --> 00:44:46.238]  It's a pedophile's paradise.
[00:44:47.938 --> 00:44:49.178]  Okay, I got a lot more on this.
[00:44:49.699 --> 00:44:50.919]  We forgot, man.
[00:44:51.699 --> 00:44:55.320]  Economic news, four-shot news, central bank neutral currency news.
[00:44:56.201 --> 00:45:00.362]  Ray Epps criminally charged for role in January 6th.
[00:45:00.402 --> 00:45:01.022]  Blames Tucker.
[00:45:01.062 --> 00:45:02.343]  He says to be criminally charged.
[00:45:02.883 --> 00:45:09.105]  This is just crazy chutzpah and bravado by Ray Epps, but I'll explain why they're doing it.
[00:45:10.094 --> 00:45:15.356]  Because they got jurisdictions, folks, where juries will do whatever a Democrat judge tells them.
[00:45:15.396 --> 00:45:16.396]  Believe me, I've experienced it.
[00:45:16.936 --> 00:45:18.096]  So that's coming up next hour.
[00:45:18.157 --> 00:45:19.317]  Your phone calls as well.
[00:45:19.477 --> 00:45:22.058]  We're going to have a special guest, Dr. Remo Labo.
[00:45:22.518 --> 00:45:30.680]  But first, let me tell you, we've decided to extend on the products we still have in stock, the big mega sale.
[00:45:31.261 --> 00:45:35.502]  And we're calling it July is Patriot Pride Month.
[00:45:36.727 --> 00:45:40.092]  No, we don't have a red, white, and blue rainbow, but basically that's what it is.
[00:45:40.552 --> 00:45:41.814]  We love America.
[00:45:41.894 --> 00:45:42.555]  We love freedom.
[00:45:42.575 --> 00:45:43.256]  We love justice.
[00:45:43.276 --> 00:45:45.059]  We're not funding big tech companies.
[00:45:45.079 --> 00:45:46.701]  We're not buying the stuff at Amazon.
[00:45:46.721 --> 00:45:47.021]  We're not...
[00:45:48.266 --> 00:45:49.407]  Going to the big box stores.
[00:45:49.427 --> 00:45:50.487]  We're not funding the New World Order.
[00:45:50.507 --> 00:45:57.530]  We're getting high quality products that are in stock, that fund freedom, that fund the resistance, that are ready to ship right now.
[00:45:58.130 --> 00:46:00.651]  July is Patriot Pride Month at InfoWarsStore.
[00:46:01.572 --> 00:46:02.652]  InfoWarsStore.com.
[00:46:03.233 --> 00:46:05.734]  Up to 60% off plus double Patriot points.
[00:46:06.314 --> 00:46:08.715]  InfoWars Patriot Pride Month is now live.
[00:46:08.755 --> 00:46:12.437]  Our best deals of the year are available all month long.
[00:46:12.817 --> 00:46:18.655]   Ditch the globalist e-commerce giants that will only give you the small windows for mediocre
[00:46:18.655 --> 00:46:25.016]   discounts and seize on empowering products at major savings at the same time funding
[00:46:25.016 --> 00:46:28.297]  the operations against tyranny.
[00:46:28.297 --> 00:46:30.655]  Visit InfoWarsTore.com today.
[00:46:30.655 --> 00:46:33.137]  Brain Force Plus, 50% off.
[00:46:33.137 --> 00:46:36.416]  Brain Force Ultra, 50% off.
[00:46:36.416 --> 00:46:38.577]  Prebiotic Fiber, 50% off.
[00:46:38.681 --> 00:46:40.541]  Immune support, 50% off.
[00:46:40.641 --> 00:46:42.241]  Organic green fiber caps, 50% off.
[00:46:42.261 --> 00:46:43.682]  Those are all amazing.
[00:46:44.082 --> 00:46:46.002]  Ultimate fish oil, 40% off.
[00:46:46.122 --> 00:46:49.223]  Ultimate bone broth, oh, over the top, 40% off.
[00:46:49.603 --> 00:46:51.644]  Down-and-out sleep support works really great.
[00:46:52.224 --> 00:46:53.824]  Natural, good, clean sleep, 40% off.
[00:46:54.804 --> 00:46:58.025]  Super female vitality, 60% off.
[00:46:58.065 --> 00:47:00.226]  It's the same formula as the male, but we're out of the male.
[00:47:00.806 --> 00:47:01.226]  Great deal.
[00:47:02.068 --> 00:47:02.609]  Best till ever.
[00:47:02.949 --> 00:47:04.590]  Ultimate Grill Oil, 30% off.
[00:47:04.630 --> 00:47:05.111]  Selling out.
[00:47:05.411 --> 00:47:06.912]  Turbo Force Plus, 25% off.
[00:47:06.972 --> 00:47:07.432]  Selling out.
[00:47:07.693 --> 00:47:09.554]  Survival Shield X3, almost sold out.
[00:47:10.115 --> 00:47:10.235]  25% off.
[00:47:10.535 --> 00:47:12.356]  Vitamin D3, whole food multivitamin.
[00:47:12.456 --> 00:47:15.639]  All Vitamin Info Wars MD products, 30% off.
[00:47:15.699 --> 00:47:17.320]  All Dr. Jones Naturals, 25% off.
[00:47:17.941 --> 00:47:21.043]  And the storable food and water filters, 10% off.
[00:47:21.364 --> 00:47:22.444]  There's not much markup there.
[00:47:22.465 --> 00:47:23.385]  That's a huge discount.
[00:47:23.405 --> 00:47:24.866]  Get your water filters and food now.
[00:47:25.127 --> 00:47:26.348]  Hour number two straight ahead.
[00:47:27.328 --> 00:47:27.869]  That's right.
[00:47:31.087 --> 00:47:33.188]  You think you're relaxing at your country club?
[00:47:33.508 --> 00:47:35.489]  You're away from the crime, you're away from the tyranny.
[00:47:36.369 --> 00:47:38.410]  You're isolated from what you've done to the public.
[00:47:39.270 --> 00:47:42.751]  But you're being sprayed by limited oxide, barium salts, the atmosphere's being cooked.
[00:47:43.492 --> 00:47:44.332]  Nobody's safe.
[00:47:46.393 --> 00:47:49.393]  Kim trails over the country club boys and girls.
[00:47:49.393 --> 00:48:00.393]  There's nothing more avant-garde than InfoWars.
[00:48:00.393 --> 00:48:10.393]  [BLANK_AUDIO]
[00:48:02.549 --> 00:48:04.690]  I don't say that from some sense of accomplishment.
[00:48:04.730 --> 00:48:09.332]  I mean, anybody else could have been avant-garde if they cared about the facts and researched the globalist operation.
[00:48:11.172 --> 00:48:20.816]  All right, we did a pretty good job last hour covering the fact that the Ukraine World War III operation is not going according to plan.
[00:48:21.477 --> 00:48:29.600]  Still a giant disaster and a terrible situation for everybody except the soulless globalists, but they're getting ready to scapegoat Zelensky.
[00:48:31.266 --> 00:48:33.528]  They're looking at ending the war and blaming him.
[00:48:33.668 --> 00:48:39.793]  I don't know, they may double down again, but definitely they're having second thoughts about World War III with Russia right now, so that's a good thing.
[00:48:41.234 --> 00:48:43.176]  The over-the-top developments that I already mentioned.
[00:48:44.597 --> 00:48:51.802]  California is like, okay, well, okay, you're letting people out that are two-time sex traffickers of children.
[00:48:52.423 --> 00:48:56.326]  We really need to keep them in prison and charge them with felonies.
[00:48:56.346 --> 00:48:59.709]  They're like, nope, nope, nope, nope, nope, nope, nope, nope, nope, nope, nope, nope.
[00:49:01.687 --> 00:49:03.108]  And then I never played the clip, did I?
[00:49:03.128 --> 00:49:05.010]  I never got the clip of them laughing about it.
[00:49:07.872 --> 00:49:19.021]  Yeah, here's Assemblyman Reggie Jones Sawyer was caught on a hot mic laughing at the victims of human trafficking who heckled him after blocking the bill.
[00:49:19.061 --> 00:49:19.461]  Here it is.
[00:49:20.982 --> 00:49:24.525]  A petition for reconsideration, sir.
[00:49:24.665 --> 00:49:25.386]  That bill fails.
[00:49:26.127 --> 00:49:28.048]  Reconsideration is granted unanimously.
[00:49:28.268 --> 00:49:48.748]  Thank you, sir.
[00:49:48.774 --> 00:49:50.054]  He's laughing at the reaction there.
[00:49:50.374 --> 00:49:53.096]  Republican State Senator Shannon Grove put forward the measure.
[00:49:53.976 --> 00:49:55.937]  Man, this guy's got more names than a Roman Emperor.
[00:49:58.158 --> 00:50:00.679]  So we've got all that, but let me tell you what we're going to cover when we come back.
[00:50:01.960 --> 00:50:03.741]  Ramps, our little sweetheart.
[00:50:04.957 --> 00:50:06.998]  He's filed a suit against Fox News.
[00:50:07.038 --> 00:50:12.882]  He blames Tucker Carlson for the fact that people think he was orchestrating things.
[00:50:13.922 --> 00:50:22.488]  Though he sent a text message to family while he was there ramming signs into the police and leading the first breach that he, quote, orchestrated it.
[00:50:23.908 --> 00:50:24.169]  Wow.
[00:50:25.429 --> 00:50:27.010]  You say, well then why would he file a suit?
[00:50:27.030 --> 00:50:30.212]  Because they'll just, it's in D.C., they'll have a controlled judge, controlled jury.
[00:50:30.232 --> 00:50:31.073]  $50 billion.
[00:50:31.093 --> 00:50:32.354]  $50 billion for rams.
[00:50:34.062 --> 00:50:55.069]  I mean, in a controlled courtroom, with weaponized systems, lawfare, 90 plus million to an FBI agent, never said his name, didn't know who he was, never showed a picture of him, none of my crew did, and then he just marches in and says, Alex Jones was mean to me, one time somebody called my desk and said, are you really, do you really work at the FBI?
[00:50:55.209 --> 00:50:58.069]  And the jury said, 95 million, or what, 94 million.
[00:51:01.573 --> 00:51:04.319]  No evidence, never said his name, didn't know who he was, sued me.
[00:51:05.001 --> 00:51:07.487]  So, I mean, hell, Tucker said Rams, his name.
[00:51:07.767 --> 00:51:08.369]  How about 87 trillion?
[00:51:10.424 --> 00:51:11.745]  How about all the money in the universe?
[00:51:12.666 --> 00:51:18.331]  And if a judge tells a Democrat jury, listen here, Fox News talked about this poor little baby cake.
[00:51:18.671 --> 00:51:21.814]  They won't show Ray Epps saying attack the building or go into the building.
[00:51:21.834 --> 00:51:23.195]  They won't show him saying go in.
[00:51:23.455 --> 00:51:24.916]  They won't show him ramming a sign.
[00:51:25.197 --> 00:51:27.799]  They won't show his text message saying I orchestrated it.
[00:51:27.839 --> 00:51:28.880]  They won't allow any of that in.
[00:51:29.120 --> 00:51:32.103]  They'll just go, here's this little baby cake right here.
[00:51:32.743 --> 00:51:36.105]  Didn't do a thing, and this mean Fox News did it!
[00:51:36.785 --> 00:51:42.207]  And that jury will say $987 quadrillion dollars right now!
[00:51:43.108 --> 00:51:44.068]  He he he!
[00:51:44.269 --> 00:51:45.269]  We'll be right back.
[00:51:45.269 --> 00:52:00.269]  [Music]
[00:52:00.269 --> 00:52:03.269]  When it comes to regaining energy, convenience is key.
[00:52:03.745 --> 00:52:10.711]  Sure, coffee, candy, and other highly sugar-filled products can give us a short boost, but the crash is always the strongest downside.
[00:52:11.151 --> 00:52:16.856]  That's why our team of scientists worked with the InfoWars crew to create a powerhouse mixable energy formula.
[00:52:17.157 --> 00:52:23.157]   Having Turbo Force Plus at work, home, in the car, or in your bag is the ultimate answer to a sluggish day.
[00:52:23.157 --> 00:52:25.157]  [Static]
[00:52:25.157 --> 00:52:27.157]  [Static]
[00:52:27.157 --> 00:52:29.157]  [Static]
[00:52:29.157 --> 00:52:31.157]  [Static]
[00:52:31.157 --> 00:52:37.157]   Alright, a lot of people watch the clips of Ray Epps running around like a chicken with his head cut off.
[00:52:37.157 --> 00:52:44.157]   Saying, "Go into the Capitol tomorrow, go in today, go in, go in."
[00:52:44.117 --> 00:52:47.179]  I orchestrated it, helping ram signs into police.
[00:52:47.879 --> 00:52:55.724]  And then our own Owen Schroer, arrested, indicted, facing years in prison for being outside the Capitol, saying, do not go in.
[00:52:58.106 --> 00:52:59.387]  He's facing years in jail.
[00:53:00.580 --> 00:53:08.233]  But Raps, as the New York Times defending him, everybody defending him, well now a real nightmare for the Deep State New World Order came true.
[00:53:09.775 --> 00:53:15.297]  Representative Nails, Republican, asked FBI Director Wray if he will arrest Wray Epps.
[00:53:15.837 --> 00:53:26.721]  Then, hours after this happened, the lawsuit was filed against Fox by Wray Epps with his lawyer saying he's been told by the FBI he will be indicted.
[00:53:26.741 --> 00:53:33.403]  That's probably like a psychological thing, like, oh, he will be indicted, but and we're suing Fox News.
[00:53:35.151 --> 00:53:40.333]  Because it's Tucker that's made people think he, quote, instigated it.
[00:53:41.093 --> 00:53:42.594]  No, you didn't say instigated.
[00:53:44.275 --> 00:53:46.475]  You said orchestrated.
[00:53:47.396 --> 00:53:49.617]  Because when you instigate, you kind of just push somebody.
[00:53:49.877 --> 00:53:57.119]  When you're the orchestrate, you're the orator, you're the conductor, you're up there, dun-dun-dun-dun, dun-dun-dun-dun.
[00:53:57.680 --> 00:54:03.336]   Can we pull up a On YouTube, a video of a conductor directing a symphony.
[00:54:03.996 --> 00:54:08.878]  Or we could have Porky Pig in the famous Looney Tunes shows.
[00:54:09.578 --> 00:54:10.558]  No, no, no, no.
[00:54:10.578 --> 00:54:12.339]  You didn't instigate.
[00:54:12.719 --> 00:54:16.640]  You said that you orchestrated.
[00:54:20.161 --> 00:54:22.682]  See, they say I orchestrate InfoWars.
[00:54:24.322 --> 00:54:25.122]  And I do.
[00:54:25.422 --> 00:54:26.463]  I'm the orchestrator.
[00:54:26.863 --> 00:54:35.003]   Now, It's more like jazz, though, because I'm not in control of the violins and the horns and the piano.
[00:54:35.364 --> 00:54:37.444]  It's more like, I love liberty, I love freedom, what does everybody think?
[00:54:37.484 --> 00:54:38.985]  Have guests on, have a larger discussion.
[00:54:39.005 --> 00:54:39.605]  It's more like jazz.
[00:54:39.625 --> 00:54:40.526]  Like, what are you going to play?
[00:54:40.586 --> 00:54:41.566]  Bum, bum, bum, bum, bum, bum, bum.
[00:54:41.586 --> 00:54:43.267]  There's somebody else over here doing something else.
[00:54:43.547 --> 00:54:46.408]  We're not, we're not, this is like a jazz operation.
[00:54:46.468 --> 00:54:55.772]  I'm not like a conductor that's hitting the violin and then ordering the harp and then having the piano hit and then the violins going and then, no, no, no.
[00:54:56.753 --> 00:54:59.419]   Maybe they even got a Trombone in there.
[00:54:59.459 --> 00:55:02.240]  Maybe they've got a pipe organ.
[00:55:04.561 --> 00:55:06.162]  I'm not running any of that.
[00:55:06.302 --> 00:55:08.442]  I'm not involved in any of that.
[00:55:09.203 --> 00:55:11.183]  I'm just simply trying to promote freedom.
[00:55:11.343 --> 00:55:13.384]  But he said I orchestrated it.
[00:55:14.485 --> 00:55:15.825]  That's not instigated.
[00:55:15.845 --> 00:55:22.739]   Instigate just means like You're at a football game going, yeah, get them, yeah, come on team!
[00:55:23.359 --> 00:55:32.542]  Or you're at a swim meet and your daughter's about to win the race, like, come on baby, come on Charlotte, you can do it, little bit harder, that's instigating.
[00:55:33.702 --> 00:55:40.725]  Orchestrating is when you're running the show, like you're a general in a battle, commanding the forces and giving them their orders.
[00:55:44.146 --> 00:55:48.227]  So imagine, in the text messages he says, I orchestrated it.
[00:55:51.499 --> 00:55:54.060]  Let me tell you, a quarterback doesn't orchestrate a victory.
[00:55:54.361 --> 00:55:55.681]  The coach orchestrates.
[00:55:56.402 --> 00:56:00.124]  The quarterback executes and instigates.
[00:56:02.685 --> 00:56:21.946]   So, you've got the self-described conductor who's orchestrating, orchestra, that's what that comes from, orchestra, orchestrating Only a master can orchestrate all these different people.
[00:56:22.326 --> 00:56:25.326]  He says, "I am a conductor."
[00:56:25.326 --> 00:56:35.326]   And now, oh, there'll have to be a special jury and a special judge.
[00:56:35.374 --> 00:56:36.395]  No evidence will be shown.
[00:56:36.615 --> 00:56:37.675]  He'll just sit there and cry.
[00:56:37.695 --> 00:56:41.518]  And the jury will say, $79 trillion, just $87 million.
[00:56:42.018 --> 00:56:43.058]  It'll be just so...
[00:56:44.778 --> 00:56:50.959]  The news will say, Ramps, innocent, he fought the Gen 6 invaders.
[00:56:51.339 --> 00:56:55.460]  With a battle axe, he personally killed 500 of them, like Samson.
[00:56:56.120 --> 00:57:02.782]  But Alex Jones came and overpowered him and forced his way in, and then killed 9,000 members of Congress.
[00:57:05.542 --> 00:57:13.664]  I mean, that's preposterous, that's absurdist, that's satirical, but who cares if there's death camps?
[00:57:14.574 --> 00:57:18.176]  In China run by Apple because Tim Cook wears a black turtleneck.
[00:57:18.956 --> 00:57:19.356]  You see.
[00:57:20.577 --> 00:57:23.418]  And Ray Epps wears a red trumpet.
[00:57:23.699 --> 00:57:24.139]  You see.
[00:57:25.159 --> 00:57:34.384]  So let's go ahead and go to this incredible excoriation of the FBI director and then literally within hours of this happening.
[00:57:35.646 --> 00:57:43.779]  We hear Ray Epps will be indicted from his lawyer, probably won't happen, and that, oh, it's all the fault of Tucker Carlson.
[00:57:44.040 --> 00:57:44.400]  Here it is.
[00:57:45.996 --> 00:57:50.217]  I want to turn my attention now to this fella, this character, Mr. Ray Epps.
[00:57:50.778 --> 00:57:51.698]  We've all heard of him.
[00:57:52.138 --> 00:57:53.198]  We've heard of Mr. Ray Epps.
[00:57:53.418 --> 00:57:56.499]  He was number 16 on your FBI Most Wanted list.
[00:57:56.819 --> 00:58:01.181]  He was encouraging people the night prior and the day of to go into the Capitol.
[00:58:01.641 --> 00:58:06.643]  And Mr. Ray Epps can be seen at the first breach of Capitol grounds at approximately 1250 p.m.
[00:58:06.923 --> 00:58:07.743]  Play the clip, please.
[00:58:12.290 --> 00:58:13.191]  We need to go into the Capitol.
[00:58:13.251 --> 00:58:13.791]  Into the Capitol?
[00:58:13.831 --> 00:58:14.612]  Into the Capitol.
[00:58:14.652 --> 00:58:20.196]  We are going to the Capitol, where our problems are.
[00:58:20.737 --> 00:58:23.619]  It's that direction.
[00:58:23.799 --> 00:58:25.060]  Please spread the word.
[00:58:25.621 --> 00:58:26.041]  All right.
[00:58:26.081 --> 00:58:26.802]  No, David, one more thing.
[00:58:26.842 --> 00:58:27.943]  Sir, can we go up there?
[00:58:28.023 --> 00:58:28.163]  No.
[00:58:28.203 --> 00:58:29.464]  When we go in, leave us here.
[00:58:29.704 --> 00:58:32.486]  Are we going to get arrested if we go up there?
[00:58:32.506 --> 00:58:32.767]  Yeah.
[00:58:32.786 --> 00:58:34.786]  We don't need to get shot.
[00:58:34.786 --> 00:58:36.786]  [crowd shouting]
[00:58:36.786 --> 00:58:38.786]  [crowd shouting]
[00:58:38.786 --> 00:58:40.786]  [crowd shouting]
[00:58:40.786 --> 00:58:42.786]  [crowd shouting]
[00:58:42.786 --> 00:58:44.786]  [crowd shouting]
[00:58:44.786 --> 00:58:46.786]  [crowd shouting]
[00:58:46.786 --> 00:58:48.786]  [crowd shouting]
[00:58:48.786 --> 00:58:50.786]  [crowd shouting]
[00:58:50.786 --> 00:58:52.786]  [crowd shouting]
[00:58:52.786 --> 00:58:54.786]  [crowd shouting]
[00:58:54.786 --> 00:59:01.786]   There he is, breaching the line, going in at the first breach into the Capitol grounds, a restricted area.
[00:59:01.892 --> 00:59:05.094]  Mr. Wray, you have arrested hundreds of people related to January 6th.
[00:59:05.575 --> 00:59:08.196]  And there have been people arrested for breaching Capitol grounds.
[00:59:08.556 --> 00:59:10.037]  Cooey Griffin is an example.
[00:59:10.338 --> 00:59:12.019]  Rachel Genko is an example.
[00:59:12.319 --> 00:59:14.100]  And then we go to Mr. Brandon Strecca.
[00:59:14.600 --> 00:59:24.728]  Brandon was arrested for disorderly and disruptive conduct, which included yelling, I quote, go, go, go, as rioters tried to empty the Capitol.
[00:59:25.088 --> 00:59:27.030]  These three never went into the Capitol.
[00:59:27.310 --> 00:59:28.831]  They never assaulted anyone.
[00:59:29.331 --> 00:59:30.793]  So let's be honest with each other.
[00:59:31.393 --> 00:59:36.537]  There is very little difference between the actions of Ray Epps and Brandon Stryka that day.
[00:59:36.837 --> 00:59:39.960]  But yet Stryka was arrested and Epps wasn't.
[00:59:40.680 --> 00:59:43.182]  Epps also testified to the January 6th Committee.
[00:59:43.482 --> 00:59:46.965]  He was back at his hotel when video evidence showed that he wasn't.
[00:59:47.025 --> 00:59:47.606]  He lied.
[00:59:48.447 --> 00:59:51.229]  He was on the Capitol grounds just as Brandon Strickland was.
[00:59:51.689 --> 00:59:54.471]  Epps even texted his nephew at 2.12 p.m.
[00:59:54.491 --> 00:59:58.355]  and said, I quote, I was in the front with a few others.
[00:59:58.655 --> 00:59:59.576]  It was on the video.
[00:59:59.956 --> 01:00:01.437]  I also orchestrated it.
[01:00:02.098 --> 01:00:05.020]  Now look into the camera, sir, when you answer my next question.
[01:00:05.701 --> 01:00:08.143]  Are you going to arrest Mr. Epps?
[01:00:08.523 --> 01:00:09.224]  Yes or no?
[01:00:10.293 --> 01:00:14.939]  I'm not going to engage here in a discussion about individual people who are or are not going to be prosecuted.
[01:00:14.959 --> 01:00:15.339]  Okay, here we go.
[01:00:15.359 --> 01:00:16.140]  Can I get a commitment?
[01:00:16.160 --> 01:00:17.602]  You just watched the video.
[01:00:17.662 --> 01:00:18.764]  I'm an old law dog.
[01:00:19.124 --> 01:00:21.287]  I understand a little bit about probable cause.
[01:00:21.707 --> 01:00:26.694]  He did very little, there was very little difference what he did and Mr. Stretka, you can see him.
[01:00:27.054 --> 01:00:29.336]  He's encouraging, I almost think he's inciting a riot.
[01:00:29.656 --> 01:00:39.905]  He's encouraging people, the night prior, to go into the Capitol, the day of, go into the Capitol, and he was at the first breach, and he breached the restricted area.
[01:00:40.346 --> 01:00:45.991]  Everybody, a lot of people getting arrested for not going into the Capitol, but they're in the restricted area, but yet, ramps.
[01:00:46.311 --> 01:00:49.874]  Who many people feel fed, fed, fed, right?
[01:00:50.374 --> 01:00:51.615]  And there's a lot of clout over this.
[01:00:51.675 --> 01:00:52.836]  So my point is this.
[01:00:53.236 --> 01:00:55.418]  You arrested a lot of folks for unlawful activity.
[01:00:55.778 --> 01:00:56.799]  You just saw the video.
[01:00:57.119 --> 01:01:01.382]  And I will tell you, Mr. Wray, if you don't arrest Mr. Hatcher, there's a reason behind it.
[01:01:01.742 --> 01:01:03.023]  I believe you know what it is.
[01:01:03.464 --> 01:01:05.485]  And it appears to me you are protecting this guy.
[01:01:05.905 --> 01:01:08.327]  I strongly recommend you get your house back in order.
[01:01:08.547 --> 01:01:09.308]  With that, I yield back.
[01:01:12.350 --> 01:01:16.513]  So you ask again, how does Ray Epps say go into the, way more than Strzoka did?
[01:01:18.114 --> 01:01:20.136]  How does he do that and then he's protected and defended?
[01:01:20.176 --> 01:01:21.617]  Well, I mean, you know what's going on.
[01:01:22.558 --> 01:01:23.779]  But you're not supposed to say that.
[01:01:24.339 --> 01:01:26.681]  So now his lawyer says he's going to be indicted.
[01:01:26.821 --> 01:01:29.603]  Let's not hold our breath and see if that happens.
[01:01:29.683 --> 01:01:32.125]  Or they can indict and kind of drop the prosecution later.
[01:01:32.145 --> 01:01:33.706]  Because they know they've got a problem here.
[01:01:34.667 --> 01:01:37.489]  They've put, what, over 800 people in jail so far?
[01:01:37.809 --> 01:01:39.471]  Many of them totally peaceful outside?
[01:01:40.623 --> 01:01:44.907]  They're trying to put Owen Schroyer in jail for being there with me.
