[00:00:00.089 --> 00:00:00.789]  We need your prayers.
[00:39:37.941 --> 00:39:40.287]  And so, you gotta be real careful.
[00:39:40.608 --> 00:39:45.621]  And now, it's not just what they see on the internet, it's what is in the classroom, ladies and gentlemen.
[00:39:47.492 --> 00:39:56.819]  Now we are about to be rejoined by Alex Jones, who's working on the road right now and has been in and out of able to do the broadcast, but he joins me now.
[00:39:57.420 --> 00:40:08.469]  Alex, we've discussed a lot today, including how we take known lies that they've told us from the past and we can apply it to the propaganda they use against us now, like with climate change.
[00:40:08.729 --> 00:40:13.373]  When John Kerry says all the predictions were right, well we have him on video as well as others.
[00:40:14.053 --> 00:40:14.634]  They're wrong.
[00:40:15.034 --> 00:40:16.435]  Their own documentaries were wrong.
[00:40:16.735 --> 00:40:19.357]  But Alex Jones, taking over the Alex Jones Show now.
[00:40:19.958 --> 00:40:21.439]  I know you've been a busy beaver over there.
[00:40:21.479 --> 00:40:22.640]  What is on your mind today?
[00:40:24.381 --> 00:40:27.103]  Well, I have a very, very solemn announcement to make to everybody.
[00:40:27.123 --> 00:40:31.086]  I was going to come home in a few days.
[00:40:31.106 --> 00:40:33.148]  I've been spending time with some family that's been ill.
[00:40:34.208 --> 00:40:36.590]  But the solemn announcement is this.
[00:40:36.970 --> 00:40:38.972]  There's a lot of subterfuge going on behind the scenes.
[00:40:39.652 --> 00:40:42.735]  Everybody saw what happened to James O'Keefe and Project Veritas.
[00:40:43.798 --> 00:40:47.479]  People can probably imagine that some similar things like that have been attempted behind the scenes.
[00:40:48.820 --> 00:40:59.824]  They said O'Keefe did bad things like ate part of one of his crew member's sandwiches and paid for his wedding with Veritas Money.
[00:40:59.844 --> 00:41:01.324]  The thing is, there was no wedding.
[00:41:01.364 --> 00:41:02.084]  He never got married.
[00:41:02.785 --> 00:41:03.705]  It's similar stuff.
[00:41:03.725 --> 00:41:07.186]  I don't have a board of directors, and our bankruptcy's been going very, very well.
[00:41:07.766 --> 00:41:35.198]   And then now that it's about to go through and be reorganized, It's the evidence is really building that there's an attempt to basically shut it down because they need a story where either they found corruption that I did to shut it down or incompetence or something with the infrastructure to then sit there and basically ride the horse till it dies, make money off the process, the bankruptcy.
[00:41:36.062 --> 00:41:41.843]  Uh, and I'm talking about the whole system and then, and then deep six, the operation, and we're not going to just sit here quietly while that goes on.
[00:41:42.424 --> 00:41:51.566]  So, so there's a lot of stuff behind the scenes going on and a lot of jockey, a lot of her players and a lot of things, but I promise this to the viewers, listeners, pray for him for us.
[00:41:51.926 --> 00:41:57.847]  We'll never back down and taking us off the air is not going to happen, uh, with, with whatever's going on.
[00:41:58.627 --> 00:42:00.128]  And the court's done a good job in the past.
[00:42:00.768 --> 00:42:09.068]   When we had this take place about eight, nine months ago, we had some similar things go on.
[00:42:09.068 --> 00:42:12.807]  And so it was the judge that intervened.
[00:42:12.807 --> 00:42:16.668]   So I think Judge Lopez is a good judge, but there's just a lot going on
[00:42:16.668 --> 00:42:19.447]  and it's very, very disconcerting.
[00:42:19.447 --> 00:42:22.208]   And so I wanna thank the listeners and viewers and thank you for all your prayers.
[00:42:22.208 --> 00:42:25.208]   I believe that the Lord is still gonna be here, but we really need your prayers.
[00:42:25.208 --> 00:42:28.528]   There's a lot of powerful forces, a lot of stuff behind the scenes.
[00:42:28.528 --> 00:42:32.407]   And, you know, there's the Justice Department involved, everything else.
[00:42:32.398 --> 00:42:38.281]  They're very upset that we're clean, we did nothing wrong, and that we're not the villains that they said we were.
[00:42:39.202 --> 00:42:43.824]  And so by other means, it appears that there are plans.
[00:42:44.674 --> 00:42:45.875]  Uh, to shut us down.
[00:42:46.435 --> 00:42:53.080]  Uh, so this is the, in, in the, in the 29 years I've been on air and the 27 years, uh, that InfoWars has existed, this is the greatest danger it's ever been in.
[00:42:53.960 --> 00:42:57.562]  I got the term InfoWars in 1997, Wikipedia says 1999.
[00:42:58.023 --> 00:42:58.883]  That's not correct.
[00:42:58.903 --> 00:43:00.544]  It was first registered in, in 1997.
[00:43:00.604 --> 00:43:02.906]  Anybody that was a listener and viewer then knew that.
[00:43:02.926 --> 00:43:06.608]  Uh, and Vic Freeland was the guy that helped me set up the site and do that in 1997.
[00:43:07.089 --> 00:43:13.893]  So in its, uh, 27 year, 26 year history, this is the greatest danger InfoWars has ever been in.
[00:43:16.116 --> 00:43:19.298]  I hope I don't have to give you all the details and then we don't completely go down that road.
[00:43:20.019 --> 00:43:40.072]  But politically, we are definitely to use a military term as an analogy, not a literal statement, you know, the bombers over the target, the doors are open, and the fire launch switches are ready to go to expose the whole system peacefully, politically, in a corporate legal lawful fashion.
[00:43:40.332 --> 00:43:43.094]  And so there's just been a lot of attempts.
[00:43:42.914 --> 00:44:01.874]   So they got Carlson, they got at least a certain level, you know, people like.
[00:44:01.874 --> 00:44:06.534]   Tell us about the products, how we support you, how we support all of ourselves and the
[00:44:06.534 --> 00:44:07.534]  big event coming up.
[00:44:08.433 --> 00:44:09.193]  Well, yeah.
[00:44:09.373 --> 00:44:17.315]  The first one, obviously, you can go to MyPillow.com, use that promo code ALEX, and you can get all these great discounts on all of our products.
[00:44:17.535 --> 00:44:22.917]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[00:44:23.337 --> 00:44:30.739]  And there's the biggest special we have right now, the 20-year anniversary MyPillow for $19.98 for the queen size, normally $69.98.
[00:44:32.219 --> 00:44:38.740]  We're celebrating our anniversary with what my employees love to invest, producing and making the MyPillow.
[00:44:39.020 --> 00:44:48.442]  And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists is what they fear.
[00:44:48.522 --> 00:44:49.702]  That's what the debanking is about.
[00:44:50.042 --> 00:44:51.583]  That's what the financial attacks are about.
[00:44:51.863 --> 00:44:59.464]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[00:45:02.236 --> 00:45:04.278]  All right, folks, I got slammed into that break.
[00:45:05.178 --> 00:45:10.502]  And I was using the military analogy of, you know, the fact that things are locked and loaded.
[00:45:10.522 --> 00:45:13.385]  I mean, in a nonviolent political fashion.
[00:45:13.405 --> 00:45:21.451]  Kind of like you talk about the UT, Oklahoma, you know, games of shootout.
[00:45:21.891 --> 00:45:26.695]  I guess another analogy could be the bankruptcy of Infowars is we're nine months pregnant.
[00:45:27.535 --> 00:45:29.457]  We're making it through the bankruptcy, the reorganization.
[00:45:29.877 --> 00:45:30.858]  Things have gone really well.
[00:45:31.984 --> 00:45:37.606]  But it's been in that process that there's been a lot of attempts to shut us down by making false claims and false statements.
[00:45:38.167 --> 00:45:42.728]  Notice in the media, you just saw thousands of articles saying outrageous stuff that I've stolen money, hidden money.
[00:45:43.049 --> 00:45:44.069]  We had hundreds of millions of dollars.
[00:45:44.089 --> 00:45:45.109]  It's all just completely made up.
[00:45:46.110 --> 00:45:54.613]  But for all that stuff you saw publicly, there were other allegations made that were totally not true as well that I bit my tongue and put up with.
[00:45:55.994 --> 00:46:08.215]   And then seeing that basically be prepared again Or, you know, claims about me that are not true, and things like that, definitely towards an end, to where, oh, well, they tried to go through bankruptcy.
[00:46:08.235 --> 00:46:11.638]  They were shut down because they felt bankruptcy, because it looks too bad to outright shut us down.
[00:46:11.658 --> 00:46:13.739]  Remember, the plaintiff's lawyer said, we don't want money.
[00:46:14.300 --> 00:46:16.782]  We want to silence him on him off air.
[00:46:17.102 --> 00:46:20.665]  Well, they now know I've got all these offers other places, so they don't even want that now.
[00:46:20.705 --> 00:46:21.826]  Now they, quote, do want the money.
[00:46:22.667 --> 00:46:25.209]  But it's not even the other side that's even doing that.
[00:46:26.550 --> 00:46:29.132]  It's the things in this country are just so screwed up.
[00:46:29.801 --> 00:46:32.662]  And again, you've seen the attempts to get Tucker Carlson off the air.
[00:46:33.843 --> 00:46:37.184]  You've seen the attempts to get James O'Keefe off the air.
[00:46:37.804 --> 00:46:42.606]  You've seen the attempts to trump up charges against Andrew Tate and get him off the air.
[00:46:43.127 --> 00:46:44.647]  This is intelligence agency stuff.
[00:46:45.708 --> 00:46:48.369]  And this is grand scheme type things that are going on.
[00:46:49.108 --> 00:46:54.289]  And again, they want the story that they take them forwards down because I was bad or I did something wrong.
[00:46:54.569 --> 00:46:56.290]  And they just haven't been able to manufacture that.
[00:46:56.610 --> 00:47:00.391]  They've been able to dig that up from all the different parties, all the different factors, all the different sides.
[00:47:01.111 --> 00:47:04.212]  And so now we know their track and know what their plan is.
[00:47:04.792 --> 00:47:08.653]  And they're going to try to nip that in the bud and just move forward and just be honorable to people as we've been.
[00:47:09.253 --> 00:47:13.554]  But if we're unable to, then you'll be the first to know exactly what's going on, what's going to happen.
[00:47:13.614 --> 00:47:15.534]  But we need your prayers.
[00:47:15.574 --> 00:47:18.495]  The people trying to silence us need to understand Tucker Carlson is bigger than ever.
[00:47:19.321 --> 00:47:21.122]  You need to understand that James O'Keefe is bigger than ever.
[00:47:21.142 --> 00:47:23.603]  You need to understand that they're so scared of Andrew Tate.
[00:47:23.623 --> 00:47:24.564]  They're trying to put him in president.
[00:47:24.604 --> 00:47:25.244]  He's bigger than ever.
[00:47:26.185 --> 00:47:30.387]  And as long as we don't give up, this deep state's not going to win.
[00:47:30.447 --> 00:47:32.448]  I mean, look at how Biden's getting ready to go down.
[00:47:32.648 --> 00:47:34.169]  Look at how the globalists are so unpopular.
[00:47:34.189 --> 00:47:36.591]  Look how nationalists and populists are getting elected all over the world.
[00:47:37.451 --> 00:47:39.232]  Look at how Joe Rogan's so hardcore now.
[00:47:39.952 --> 00:47:42.474]  Look at all these other big Hollywood people now are coming out against Hollywood.
[00:47:43.784 --> 00:47:48.107]  So, InfoWars and this audience together has already really given the globalists a run for their money.
[00:47:48.147 --> 00:47:52.691]  We already laid the groundwork, the foundation for everybody else that's here today.
[00:47:53.091 --> 00:47:55.272]  We've got more important over-the-horizon work to do.
[00:47:56.253 --> 00:47:59.095]  So, I am in South Texas visiting family.
[00:47:59.596 --> 00:48:03.118]  I'm gonna get in the car here in about 30 minutes and I'm gonna be on the war room today.
[00:48:04.059 --> 00:48:07.902]  So, it'll probably be the second hour of the war room, but by about 4 or 5 p.m.
[00:48:07.922 --> 00:48:09.743]  today, I'll be there and I'll be there tomorrow.
[00:48:10.660 --> 00:48:13.981]  And I was already going to be there in a couple of days anyway.
[00:48:14.001 --> 00:48:15.362]  I was going to be hosting here from the road.
[00:48:15.382 --> 00:48:18.042]  I had a great show yesterday with Steve Bannon and others.
[00:48:18.082 --> 00:48:18.683]  Really powerful.
[00:48:18.703 --> 00:48:19.383]  Hope you'll share that.
[00:48:19.963 --> 00:48:22.064]  But please don't take InfoWars for granted.
[00:48:22.544 --> 00:48:24.925]  Please don't take Bandai Video for granted.
[00:48:24.965 --> 00:48:27.105]  Please don't take this infrastructure and this crew for granted.
[00:48:27.745 --> 00:48:29.306]  Because we've been to hell and back together.
[00:48:29.906 --> 00:48:32.707]  And they're really worried about the next viral thing we're going to expose.
[00:48:32.727 --> 00:48:34.268]  They're really worried about our analysis.
[00:48:34.728 --> 00:48:35.508]  That's second to none.
[00:48:36.238 --> 00:48:37.819]  So I want to thank you all for your support.
[00:48:37.839 --> 00:48:39.761]  I want to thank the crew for all the great work they've done.
[00:48:40.301 --> 00:48:43.924]  And I just want you to know that I'm not going to be strangled slowly.
[00:48:43.984 --> 00:48:45.005]  I'm not going to be set up.
[00:48:45.805 --> 00:48:47.206]  I'm not going to be scapegoated.
[00:48:47.367 --> 00:48:52.931]  I'm not going to be somebody that patsies along with this stuff that's been going on.
[00:48:53.471 --> 00:48:55.793]  I am going to continue to stand up for what's right.
[00:48:56.974 --> 00:49:01.197]  And you know, back when they tried to censor me when I had the number one show in Austin, and I got fired.
[00:49:02.921 --> 00:49:07.544]  I only got bigger, and all the other stuff we've been through, God only opens bigger doors each time.
[00:49:08.084 --> 00:49:17.991]  When I exposed 9-11, right when it happened, I was on over 160 stations, went down to about 30 stations, and went from bringing in about $5 million a year to bringing in $200,000 a year.
[00:49:18.531 --> 00:49:20.613]  But I was using that money to build our infrastructure, so I didn't care.
[00:49:20.653 --> 00:49:21.273]  We'd already built it.
[00:49:22.254 --> 00:49:23.935]  And so I never back down.
[00:49:23.955 --> 00:49:24.635]  I never give in.
[00:49:25.136 --> 00:49:26.196]  And so I want to thank you all.
[00:49:26.236 --> 00:49:33.425]   Just take the articles, take the videos, share them like your lives depend on it, because they do, but pray I pray that enemies of free speech and those that would set
[00:49:33.425 --> 00:49:39.695]   up snares for us, that those snares be frustrated and be defeated and that
[00:49:39.695 --> 00:49:43.105]  God deal with our enemies however God sees fit.
[00:49:43.105 --> 00:49:45.585]  But again, I want to thank you all for your support.
[00:49:45.585 --> 00:49:49.585]   And I want you to know that I'm not going to take any of the stuff lying down.
[00:49:49.585 --> 00:49:52.463]  And so hopefully this type of stuff goes away.
[00:49:52.463 --> 00:49:54.304]  But if it doesn't, then so be it.
[00:49:54.304 --> 00:49:55.264]  God bless and good luck.
[00:49:55.824 --> 00:50:06.704]   Well, I wish there was more of an effort to have Anthony Fauci investigated.
[00:50:06.889 --> 00:50:09.069]  Charged for his crimes.
[00:50:09.890 --> 00:50:12.590]  But Rand Paul seems to be the only one leading the way.
[00:50:13.430 --> 00:50:14.350]  But he's not giving up.
[00:50:14.911 --> 00:50:17.931]  Rand Paul says he has Fauci dead to rights.
[00:50:18.551 --> 00:50:23.552]  There's probably never been a government official caught more red-handed lying to us.
[00:50:25.152 --> 00:50:33.494]  Senator Rand Paul discussed his criminal referral of Anthony Fauci to the Department of Justice in an interview Tuesday declaring that we have him dead to rights.
[00:50:35.580 --> 00:50:38.401]  And of course, Fauci knew all about the gain-of-function research.
[00:50:38.441 --> 00:50:39.481]  He lied about it under oath.
[00:50:39.881 --> 00:50:46.804]  Fauci knew that his department was funding the Wuhan lab, the Chinese military bioweapons lab.
[00:50:46.864 --> 00:50:47.504]  He knew all of it.
[00:50:47.524 --> 00:50:48.824]  He lied about all of it under oath.
[00:50:50.605 --> 00:50:56.007]  Oh man, it's just... See, I have this problem.
[00:50:56.027 --> 00:51:01.989]  It's like a weird, maybe it's like a, call it a quirk, or maybe it's even like a, maybe a mental problem.
[00:51:03.032 --> 00:51:12.489]  When I look and I dive into something and there's a gigantic logical fallacy in front of me, my whole brain just breaks down.
[00:51:14.152 --> 00:51:16.196]  And the whole Anthony Fauci thing is the perfect example.
[00:51:17.515 --> 00:51:20.758]  All the American media tells you how scared you need to be of COVID.
[00:51:21.778 --> 00:51:24.260]  The American media says you need to be scared of COVID.
[00:51:24.741 --> 00:51:25.341]  It's deadly.
[00:51:25.441 --> 00:51:25.942]  It's bad.
[00:51:26.002 --> 00:51:27.002]  It's the worst thing ever.
[00:51:27.363 --> 00:51:28.163]  Lock you down.
[00:51:28.263 --> 00:51:29.104]  Take your rights.
[00:51:29.344 --> 00:51:30.005]  Everything, right?
[00:51:30.225 --> 00:51:31.266]  We all remember that.
[00:51:31.286 --> 00:51:32.106]  We all experience that.
[00:51:32.446 --> 00:51:33.727]  And then here's the guy.
[00:51:34.248 --> 00:51:35.769]  Here's the grandfather.
[00:51:35.789 --> 00:51:36.990]  The godfather.
[00:51:37.010 --> 00:51:37.891]  The daddy.
[00:51:38.131 --> 00:51:39.091]  The head honcho.
[00:51:39.352 --> 00:51:41.333]  The guy that made the virus.
[00:51:41.653 --> 00:51:42.934]  Funded the lab.
[00:51:43.174 --> 00:51:44.776]  Responsible for the death.
[00:51:46.164 --> 00:51:47.284]  And he's the hero?
[00:51:51.126 --> 00:51:51.406]  What?
[00:51:54.747 --> 00:51:55.987]  All you leftists out there.
[00:51:56.267 --> 00:51:57.608]  You need to close your business.
[00:51:57.648 --> 00:51:58.828]  You need to take a vaccine.
[00:51:58.868 --> 00:51:59.968]  You need to wear a mask.
[00:52:00.028 --> 00:52:02.329]  You need to practice social distancing.
[00:52:02.469 --> 00:52:03.490]  COVID, COVID, COVID.
[00:52:03.910 --> 00:52:05.130]  You're gonna get somebody sick.
[00:52:05.150 --> 00:52:06.050]  COVID, COVID, COVID.
[00:52:06.451 --> 00:52:06.851]  Okay.
[00:52:07.551 --> 00:52:08.451]  COVID's really bad.
[00:52:08.511 --> 00:52:09.131]  Worst thing ever.
[00:52:09.532 --> 00:52:10.472]  Where did it come from?
[00:52:11.752 --> 00:52:12.392]  Who made it?
[00:52:12.472 --> 00:52:13.773]  Who paid for its production?
[00:52:15.685 --> 00:52:18.146]  Oh, we don't want to talk about that.
[00:52:20.267 --> 00:52:25.289]  They'll blame Donald Trump for COVID and they'll tell you Anthony Fauci deserves the Nobel Peace Prize.
[00:52:25.109 --> 00:52:38.708]   I mean that is just such a sign of broken civilization, a broken people.
[00:52:38.708 --> 00:52:42.269]  It's just like a dagger right in my stomach.
[00:52:42.269 --> 00:52:52.269]  [BLANK_AUDIO]
[00:52:44.002 --> 00:52:44.963]  Because we all went through it.
[00:52:45.003 --> 00:52:48.244]  We all suffered through the COVID lies and BS and tyranny.
[00:52:48.885 --> 00:52:52.787]  And then there's the rat bastard responsible for the whole thing, Anthony Fauci.
[00:52:52.827 --> 00:52:56.789]  And somehow, not only does he get a pass, he gets the praise.
[00:52:57.090 --> 00:52:58.290]  He gets rewarded.
[00:52:58.530 --> 00:52:59.751]  He gets profits.
[00:53:02.253 --> 00:53:03.473]  Don't stop, Rand Paul.
[00:53:03.633 --> 00:53:04.294]  Don't stop.
[00:53:04.474 --> 00:53:06.235]  Please don't stop, Rand Paul.
[00:53:06.335 --> 00:53:07.055]  Keep it going.
[00:53:07.195 --> 00:53:11.458]  Anthony Fauci needs to be criminally charged, investigated, and probably at least in jail.
[00:53:14.898 --> 00:53:26.067]  For what he's done, and all the people that talked about how bad COVID was and loved all the advantages you got from the COVID economy and the COVID climate and everything else, and then you give Anthony Fauci a pass?
[00:53:26.267 --> 00:53:27.808]  You are despicable.
[00:53:28.809 --> 00:53:29.930]  You are demonic.
[00:53:31.651 --> 00:53:32.992]  By the way, how are those vaccines going?
[00:53:33.353 --> 00:53:34.894]  Not so hot, actually.
[00:53:36.255 --> 00:53:37.075]  More young athletes.
[00:53:38.450 --> 00:53:41.291]  Giving out during athletic competition.
[00:53:41.731 --> 00:53:48.274]  Chinese tennis star Yibing Wu, 23 years old, collapses in scary City Open scene.
[00:53:50.275 --> 00:53:52.476]  And he was in the middle of a tennis tournament.
[00:53:52.516 --> 00:53:53.677]  He was winning the match.
[00:53:55.077 --> 00:53:58.059]  Set to win the match in advance in the City Open.
[00:53:59.099 --> 00:54:09.510]   When he passed out, Staff was rushed over to provide him aid as he collapsed to the ground and this is the second time that this has happened to this individual.
[00:54:11.572 --> 00:54:15.497]  He may never be able to finish tennis competitions again.
[00:54:17.019 --> 00:54:19.182]  Kind of like Bronny James.
[00:54:22.748 --> 00:54:25.689]  Young athletes giving out post-vaccine, nothing to see here.
[00:54:26.329 --> 00:54:26.929]  Here's another one.
[00:54:27.570 --> 00:54:36.833]  Broncos, NFL Denver Broncos, to cut wide receiver KJ Hamler after he reveals a heart condition.
[00:54:37.273 --> 00:54:41.955]  Heart condition, he's been diagnosed with a heart condition, pericarditis.
[00:54:42.635 --> 00:54:49.177]  Having chest pains and couldn't finish workouts during the summer camp.
[00:54:49.497 --> 00:54:50.538]  He has been cut.
[00:54:51.698 --> 00:54:55.902]  Again, the number one vaccine side effect, the cardiac issues, he's now been cut.
[00:54:56.983 --> 00:54:59.465]  Does KJ Hamler know what has happened to him?
[00:55:01.567 --> 00:55:04.010]  Well, I'm sure his buddy Damar Hamlin will let him know.
[00:55:04.330 --> 00:55:05.191]  Oh, wait, no.
[00:55:06.192 --> 00:55:09.395]  Nobody's allowed to mention the vaccine and Damar Hamlin's name in the same sentence.
[00:55:11.937 --> 00:55:15.641]  No idea what's happening to all these young athletes.
[00:55:17.082 --> 00:55:18.783]  And neither does Anthony Fauci, I'm sure.
[00:55:19.284 --> 00:55:20.745]  And neither does the mainstream media.
[00:55:21.345 --> 00:55:22.366]  What could it be?
[00:55:22.786 --> 00:55:30.871]  Mainstream media shocked by 30% increase in heart attack deaths among ages 25 to 44.
[00:55:33.273 --> 00:55:38.056]  25 to 44, many of them young, healthy people having the heart problems post-vaccine.
[00:55:38.076 --> 00:55:40.098]  But don't say that.
[00:55:41.758 --> 00:55:45.360]  So it's like they're all on TV because it's a story they can't help but cover.
[00:55:45.860 --> 00:55:46.661]  It gets ratings.
[00:55:47.161 --> 00:55:48.722]  People dropping dead with heart problems.
[00:55:49.022 --> 00:55:50.042]  What is going on?
[00:55:50.343 --> 00:55:51.123]  A great mystery.
[00:55:51.383 --> 00:55:51.723]  More at 9.
[00:55:52.304 --> 00:55:55.405]  This segment brought to you by the COVID-19 Pfizer vaccine.
[00:55:55.806 --> 00:55:58.047]  Side effects include all the heart attacks we're talking about.
[00:55:58.919 --> 00:56:01.980]  When we come back, we'll pretend like we don't know what's causing the heart attacks.
[00:56:02.700 --> 00:56:16.826]  A recent study revealing young Americans have seen a 30% increase in heart attack deaths since the spring of 2020 is puzzling mainstream media pundits who must have forgotten about the experimental COVID jabs forced onto the world right at the exact same time.
[00:56:18.046 --> 00:56:19.367]  Yeah, they don't really want to bring up that...
[00:56:20.765 --> 00:56:23.186]  How they forced them onto you issue, do they?
[00:56:23.266 --> 00:56:24.627]  They want to pretend like that never happened.
[00:56:24.807 --> 00:56:31.250]  They want to pretend like these tyrants never showed their true identities during COVID with the lockdowns and the masks and the vaccine.
[00:56:31.310 --> 00:56:33.211]  No, you showed your true colors.
[00:56:33.672 --> 00:56:39.895]  Global government, no bodily autonomy, no free market, total tyranny.
[00:56:40.655 --> 00:56:42.296]  And they loved it.
[00:56:44.017 --> 00:56:47.538]  They loved being able to tell you what to do and, wear your mask!
[00:56:48.719 --> 00:56:50.140]  Have you taken your vaccine?
[00:56:54.381 --> 00:56:59.542]  See, again, it all goes back to the same story.
[00:57:00.743 --> 00:57:02.003]  It all goes back to the same story.
[00:57:02.103 --> 00:57:06.644]  They lie in order to perpetuate their tyranny.
[00:57:07.204 --> 00:57:14.566]  Whether they lie about climate change, whether they lie about a virus, whether they lie about a homophobic attack in the 90s.
[00:57:15.867 --> 00:57:21.108]  They lie, then they write legislation off of the lie.
[00:57:23.018 --> 00:57:27.080]  And then you're forced into the tyranny because of the lie.
[00:57:28.401 --> 00:57:29.342]  And they do it with everything!
[00:57:31.443 --> 00:57:33.985]  And this is how the left has operated throughout human history.
[00:57:34.145 --> 00:57:35.806]  It's no different today.
[00:57:36.826 --> 00:57:38.447]  We used to understand this as Americans.
[00:57:41.489 --> 00:57:47.033]  We used to understand the dangers of communism and socialism so much so that we despised the ideologies.
[00:57:48.794 --> 00:57:49.414]  Not anymore.
[00:57:50.535 --> 00:57:52.436]  What has happened?
[00:57:53.817 --> 00:57:55.778]  Propaganda and brainwashing.
[00:57:56.239 --> 00:57:57.660]  And look at this as a perfect example.
[00:57:59.141 --> 00:58:07.566]  Angry New York City Democrats stage a rally, an anti-Biden rally, ripping him for being asleep at the wheel on migrant crisis.
[00:58:07.986 --> 00:58:08.287]  What?
[00:58:09.327 --> 00:58:24.882]   So it's Democrat politicians, Democrat city councilmen and women, all Democrats, have an anti-Biden rally And they say, the president is asleep at the wheel.
[00:58:25.603 --> 00:58:27.186]  Here's one councilman, Robert Holden.
[00:58:27.746 --> 00:58:31.633]  The president is asleep at the wheel on this one, folks, and I'm a Democrat.
[00:58:32.134 --> 00:58:32.374]  What?
[00:58:33.737 --> 00:58:51.729]  So you're telling me the Democrat voters that voted Democrat, that vote for the open border policies, that vote for the sanctuary city policies, that now have their cities overwhelmed with the immigrants that they voted to have there, are now mad?
[00:58:53.590 --> 00:58:54.771]  This is your own decision!
[00:58:54.831 --> 00:58:55.911]  This is your own work!
[00:58:57.192 --> 00:58:58.013]  You did this!
[00:59:00.202 --> 00:59:02.144]  And they say Biden is asleep at the wheel?
[00:59:02.404 --> 00:59:03.786]  You voted for Biden!
[00:59:05.187 --> 00:59:06.389]  You're asleep at the wheel!
[00:59:08.695 --> 00:59:10.036]  It's not Biden being asleep at the wheel.
[00:59:10.076 --> 00:59:11.277]  Biden might be asleep at the wheel or not.
[00:59:11.817 --> 00:59:13.218]  You're asleep at the wheel.
[00:59:13.938 --> 00:59:15.619]  You, the Democrat voter.
[00:59:16.580 --> 00:59:18.241]  You, the liberal progressive.
[00:59:19.081 --> 00:59:20.742]  You, the anti-Trumper.
[00:59:21.143 --> 00:59:23.904]  You, the Biden denial syndrome victim.
[00:59:24.465 --> 00:59:25.985]  You are asleep at the wheel.
[00:59:26.686 --> 00:59:31.509]  Everything you voted for is about to crush you and you're going to blame the guy you voted for.
[00:59:32.557 --> 00:59:36.959]  There have been two train derailments in the last 24 hours in Texas.
[00:59:37.019 --> 00:59:47.965]  You had one in Bryan, Texas, Union Pacific, cleaning up a train derailment near Midtown Park.
[00:59:48.805 --> 00:59:56.229]  And then Lubbock, Texas, train derailment reported near US-84 between Amherst and Sudan, Texas.
[00:59:57.329 --> 01:00:04.189]   The train derailments But don't worry, because Pete Booty Juice is all over it.
[01:00:04.270 --> 01:00:05.110]  He is on it.
[01:00:05.751 --> 01:00:06.572]  He likes trains.
[01:00:07.773 --> 01:00:09.475]  Yeah, we're not talking about those trains.
[01:00:10.336 --> 01:00:11.057]  Pete Booty Juice.
[01:00:12.278 --> 01:00:13.780]  He's got all the answers.
[01:00:15.382 --> 01:00:18.806]  All these train derailments under his watch, the flight delays, everything.
[01:00:20.222 --> 01:00:25.805]  Are you surprised that Pete Bootyjuice is too incompetent to find out what's going on with these issues?
[01:00:26.706 --> 01:00:27.587]  Where is he even?
[01:00:27.627 --> 01:00:29.148]  I think he's on mother's duty.
[01:00:29.208 --> 01:00:31.669]  I think he's on mommy duty today.
[01:00:32.149 --> 01:00:34.951]  So he can't be bothered with that, obviously.
[01:00:35.692 --> 01:00:36.752]  You can't be bothered with that.
[01:00:38.633 --> 01:00:47.738]   Maybe the health minister, Rachel Devine, the woman with the penis and balls, Maybe she can help figure this one out.
[01:00:47.818 --> 01:00:51.181]  Vegan influencer, 39 years old, dies of starvation.
[01:00:52.302 --> 01:00:54.624]  And her friends suspected this was going to happen.
[01:00:54.644 --> 01:00:58.427]  She was so malnourished, refusing to eat anything but fruit, she's now dead.
[01:00:59.848 --> 01:01:00.589]  From starvation.
[01:01:02.931 --> 01:01:09.256]  But that's just the epitome of what the Left World Order has in store for you.
[01:01:10.882 --> 01:01:11.702]  Starve you to death.
[01:01:11.803 --> 01:01:12.643]  Ration your food.
[01:01:12.663 --> 01:01:15.224]  But first they have to tell you that all the good things are bad.
[01:01:15.885 --> 01:01:16.785]  Meat is bad.
[01:01:16.905 --> 01:01:17.806]  Freedom is bad.
[01:01:18.106 --> 01:01:18.946]  Cars are bad.
[01:01:19.046 --> 01:01:19.907]  Energy is bad.
[01:01:20.867 --> 01:01:22.368]  Death is good!
[01:01:23.588 --> 01:01:24.729]  Death is good!
[01:01:27.270 --> 01:01:28.271]  Is what they want you to think.
[01:01:30.092 --> 01:01:32.133]  Maybe that's why they love this war so much.
[01:01:33.217 --> 01:01:35.179]  They want to see this war with Putin.
[01:01:35.760 --> 01:01:37.602]  Are they going to call for war with China too?
[01:01:37.843 --> 01:01:41.287]  Now, somebody is provoking Russia into a larger escalation here.
[01:01:42.048 --> 01:01:45.973]  Moscow tower hit for second time in drone strike.
[01:01:47.274 --> 01:01:52.520]  Russia accuses Ukraine of new drone attack on Moscow, hitting a tower for the second time in three days.
[01:01:54.386 --> 01:02:06.391]  A skyscraper in central Moscow was struck in a drone attack for the second time in about 20, excuse me, 48 hours, damaging the building's facade and further underscoring the Russian capital's vulnerability.
