[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[00:39:49.424 --> 00:39:50.685]  It bends their gender.
[00:39:50.865 --> 00:39:51.466]  It bends them.
[00:39:52.346 --> 00:39:53.267]  It makes perfect sense.
[00:39:53.287 --> 00:39:59.111]  They've even found the specific region of the brain that is responsible for gender identity and sexual orientation.
[00:39:59.311 --> 00:40:11.599]  And if that part of the brain is feminized because of these chemicals in the womb that the mother is consuming, either through water or through BPA, which also BPA is in clothing, by the way, so I'll get into that.
[00:40:11.659 --> 00:40:12.500]  And it's in the money.
[00:40:12.520 --> 00:40:14.321]  So let me ask that question, that moral question.
[00:40:14.801 --> 00:40:16.182]  We always heard, hey, we're born like this.
[00:40:16.262 --> 00:40:17.443]  I don't hate somebody because they're gay.
[00:40:17.843 --> 00:40:21.285]  I hate it when they sign on the communist agenda and targeting kids and become pedophiles.
[00:40:21.806 --> 00:40:26.409]  Which by, oh, we're on the gay train, now they can add on Satanism in the target clothing.
[00:40:26.449 --> 00:40:32.833]  I mean, I didn't believe it until I saw a gay parade when my wife's dad had a heart attack six months ago.
[00:40:32.853 --> 00:40:38.477]  I'm in Omaha and a gay parade goes by and like a third of the t-shirts had Satan on it and devil and pentagrams.
[00:40:39.898 --> 00:40:41.642]  The point is though, how do we deal with that?
[00:40:41.663 --> 00:40:47.337]  Because if they've chemically, hermaphroditically changed their brain, how do we morally deal with that?
[00:40:48.920 --> 00:40:55.883]  The medical establishment needs to start addressing the cause and the possible cure, but you're not supposed to say that... Exactly!
[00:40:55.963 --> 00:40:57.804]  Instead of you saying this, I'm interrupting.
[00:40:58.044 --> 00:40:59.525]  I want you to say this a year ago.
[00:41:00.405 --> 00:41:05.627]  Why aren't we giving kids that are confused, that are biological males, testosterone to make them what they are?
[00:41:05.967 --> 00:41:11.890]  Why instead of they're confused, we give them estrogen when they're 90% male, but confused, why don't we make them male?
[00:41:14.345 --> 00:41:20.389]  It appears that they're putting the cart before the horse because of some, like you said, small children, small boys thinking that they're women.
[00:41:20.789 --> 00:41:23.551]  Why don't we give them testosterone?
[00:41:23.571 --> 00:41:25.392]  When I did a video about Robert F. Kennedy Jr.
[00:41:25.652 --> 00:41:38.820]  talking about the Atrazine, a lot of comments were from people who try to get on testosterone, that they're older in life and they have low T. A lot of doctors apparently wouldn't even do it because they think that it's going to be some sort of a steroid or something.
[00:41:38.860 --> 00:41:42.706]   So how is it that Well, we'll give an 8-year-old a puberty blocker.
[00:41:45.207 --> 00:41:48.529]  Is it that they need to do operations on the body?
[00:41:48.629 --> 00:41:51.190]  Is it something that the body needs to be fixed or is it the brain?
[00:41:51.230 --> 00:42:18.668]   But, you know, some scientists who will dare to even approach the subject say that it's an ethical nightmare because if they admit, which all the evidence appears to be, that transgenderism and homosexuality as well is a birth defect because of the brain region, I-N-A-H, region of the brain, Having the wires of a female, then they're admitting that something is causing it, that it's not normal, that they're supposedly abnormal, and then that's hateful.
[00:42:19.128 --> 00:42:37.175]  And so you're not supposed to even equate that, and instead... Exactly, you said this, so chemicals give us genetic birth defects, and change brain chemistry, and make them little shriveled males, and instead of supercharging them, because these chemicals did this to them, we go, no, let's go further into the mutation, and then certify that.
[00:42:38.214 --> 00:42:41.358]  It's celebrated as if it's an amazing evolution of mankind.
[00:42:41.399 --> 00:42:54.036]  You know, there have been various birth defects which have been discovered and are able to be prevented by simple measures like women taking folic acid in a prenatal vitamin which helps prevent spina bifida, which is a deformation of the spinal cord.
[00:42:54.096 --> 00:43:01.998]  You're talking about just one nutrient lacking in a pregnant woman's diet can cause a birth defect.
[00:43:02.038 --> 00:43:12.160]  So you can't tell me that all of these chemicals in the environment and in the food and in the clothes, by the way, because BPA is a it's a plastic.
[00:43:12.340 --> 00:43:18.261]  And so what a lot of people wear in their clothes, especially to the gym, they wear synthetic fibers.
[00:43:18.461 --> 00:43:27.759]   And so there was a study that was just done that showed That the BPA can get absorbed in the skin through the clothes that people are wearing.
[00:43:27.819 --> 00:43:29.440]  And the juice boxes?
[00:43:30.100 --> 00:43:36.001]  At like a hundred times or 30 times the level that the FDA considers it to be safe.
[00:43:36.021 --> 00:43:41.682]  Also the microwavable plastic trays, they're fine when they're at 70 degrees.
[00:43:42.062 --> 00:43:46.523]  When you heat up to 200 degrees, they off-gas synthetic female hormones.
[00:43:47.779 --> 00:43:55.346]  So it's going to take people who have the respect in the medical industry and pundits like Matt Walsh, who has done great work.
[00:43:55.406 --> 00:43:57.548]  His film, What is a Woman?
[00:43:57.688 --> 00:43:58.749]  Absolutely fantastic.
[00:43:58.789 --> 00:44:00.631]  But if you watch it, it is great.
[00:44:01.528 --> 00:44:12.217]  He only focuses on the social contagion aspect, which there may be some or a lot of truth to that, but he is completely ignoring the potential chemical weaponization of the chemical.
[00:44:12.257 --> 00:44:13.278]  No, you're right.
[00:44:13.338 --> 00:44:14.619]  It's nature or nurture.
[00:44:14.699 --> 00:44:17.581]  So 10% is nurture.
[00:44:17.601 --> 00:44:19.663]  90% is nature.
[00:44:20.043 --> 00:44:20.944]  It's the chemicals.
[00:44:20.984 --> 00:44:22.165]  And you've been saying that for decades.
[00:44:22.205 --> 00:44:22.625]  It's true.
[00:44:23.046 --> 00:44:25.568]  It's the chemicals and they know exactly what they're doing.
[00:44:27.088 --> 00:44:43.214]  Yeah, so there's a whole section in the book on the rise of LGBTQism and that's another topic that a lot of people didn't want to push back on because they didn't want to seem to be homophobic and so they kept their mouth shut for many many years as it just continued to get more and more insane.
[00:44:43.254 --> 00:44:45.314]   It went from Oh, OK, so they want to get married.
[00:44:45.614 --> 00:44:45.894]  OK.
[00:44:46.195 --> 00:44:46.915]  I don't agree with that.
[00:44:46.975 --> 00:44:48.635]  I think it should have been called a civil union.
[00:44:48.655 --> 00:44:54.456]  I think that they should have the equal rights as far as health insurance and visiting their partner's hospital and things like that.
[00:44:54.716 --> 00:44:57.417]  I was always against and still am against calling it a marriage.
[00:44:57.457 --> 00:45:00.218]  But then they gave him an inch and then they took a mile.
[00:45:00.578 --> 00:45:05.719]  And it wasn't really until last year in June and, you know, Pride Month.
[00:45:06.371 --> 00:45:11.916]  That people started really pushing back, and then this last June, people finally had enough.
[00:45:11.976 --> 00:45:13.697]  Conservatives, Christians, Republicans, Republicans.
[00:45:13.717 --> 00:45:19.262]  Oh yeah, and this is a total, total UN, social engineering, Tabasak Institute cult.
[00:45:19.622 --> 00:45:20.463]  What do you predict?
[00:45:20.563 --> 00:45:22.305]  I want Mark Dice to tell me, because you're hard to get on.
[00:45:23.105 --> 00:45:24.707]  In the first interview, we're very blessed to have you.
[00:45:25.148 --> 00:45:26.029]  You gotta come on more, man.
[00:45:26.069 --> 00:45:26.289]  Come on.
[00:45:26.990 --> 00:45:29.772]  I know you got an idea that you're better taped, and you are a little better taped.
[00:45:29.792 --> 00:45:31.294]  You're great live, so knock it off.
[00:45:31.314 --> 00:45:37.581]  I say this every time you're on, you know, I give you one interview a year, Jones, but seriously, what do you predict is gonna happen next?
[00:45:39.255 --> 00:45:41.478]  I think that society is going to continue to fracture.
[00:45:41.618 --> 00:45:44.381]  I think that we're going in each different direction.
[00:45:44.601 --> 00:45:47.344]  Everybody's digging in because what do we have?
[00:45:47.765 --> 00:46:03.198]   We as in normal liberty loving people, whether you're, you know, kind of an independent, a conservative, a Christian, even the libertarians, although they kind of Get into the weeds a little bit, but what do we have in common with the people who want to put the surgeries on the children?
[00:46:03.218 --> 00:46:05.399]  They want to castrate the children, put them on chemical blockers.
[00:46:05.440 --> 00:46:12.384]  They want to indoctrinate the kids in elementary school with LGBTQism, with gender identity, so that they might be a boy, they might be a girl.
[00:46:13.024 --> 00:46:18.107]  Schools allowing gender non-binary teachers to have access to the kids?
[00:46:18.227 --> 00:46:25.331]   I mean, when I was in school, I'd say even back as far as fifth grade, if we had a teacher that came out and said that they're not a man or a woman, The kids.
[00:46:25.671 --> 00:46:27.714]  We would have run them out of town.
[00:46:27.774 --> 00:46:30.237]  But now, it's seen as normal.
[00:46:30.517 --> 00:46:31.959]  They're the high priest.
[00:46:32.099 --> 00:46:34.642]  They're the religious leader of the cult.
[00:46:35.763 --> 00:46:38.046]  So I see society fracturizing.
[00:46:38.266 --> 00:46:45.526]   And I wouldn't be surprised if, it might be 10 or 20 years, if the United States breaks apart into various different
[00:46:45.526 --> 00:46:47.365]  republics or into two different republics.
[00:46:47.365 --> 00:46:53.605]   Because if the Democrats supposedly win the election in 2024, they'll stack the Supreme Court
[00:46:53.605 --> 00:46:57.846]   and they'll flood it with liberal judges. They're going to pass the Equality Act, which then businesses
[00:46:57.846 --> 00:47:04.405]   are going to have to legally acknowledge and respect a gender neutral or a gender non-binary
[00:47:04.405 --> 00:47:08.246]   person. They're going to have to allow people to use whatever bathrooms they want, whatever
[00:47:08.246 --> 00:47:12.566]   locker rooms they want. The states are not going to be able to pass laws that are going to stop that.
[00:47:12.566 --> 00:47:19.766]   So what point, what solution does a state have at that point if the national law,
[00:47:19.766 --> 00:47:24.164]   the supreme law of the land, the Justice Department is going to sue them would be to...
[00:47:24.364 --> 00:47:25.445]  Succeed, really.
[00:47:25.485 --> 00:47:29.486]  But it should be, I don't think Republican states should necessarily secede.
[00:47:29.526 --> 00:47:36.009]  We should really eject the Democrat states because we are the United States of America.
[00:47:36.189 --> 00:47:39.811]  They are the ones who hate our history, who hate the founding fathers.
[00:47:40.247 --> 00:47:41.468]  They hate the Bill of Rights.
[00:47:41.888 --> 00:47:43.950]  They are taking down statues of the body.
[00:47:44.150 --> 00:47:50.194]  Corridors of the roads to the cities and have like the map where 90% is red and the rest is blue.
[00:47:50.354 --> 00:47:51.975]  But what you say is so key.
[00:47:52.356 --> 00:47:53.717]  They want a one-party state.
[00:47:53.817 --> 00:47:54.818]  They know they're losing.
[00:47:55.298 --> 00:47:58.480]  They're using science and weaponized psychology to take over.
[00:47:59.001 --> 00:48:00.061]  But it's backfiring.
[00:48:00.362 --> 00:48:01.703]  But they can't seem to give up.
[00:48:01.723 --> 00:48:04.925]  They just keep doubling down, doubling down, doubling down.
[00:48:06.195 --> 00:48:15.206]  To the point where they're humiliated like that guy in Canada that shop teacher who very well may be a troll who was wearing the bizarrely large prosthetic breasts.
[00:48:16.668 --> 00:48:22.649]   I would say that he could be could be either way. He could be that delusional, but he
[00:48:22.649 --> 00:48:27.229]   also could be trolling just to see how far they would allow. And you probably saw the clip of the
[00:48:27.229 --> 00:48:33.050]   superintendent defending him. And so they've gotten so strange that they are humiliating themselves. And,
[00:48:33.050 --> 00:48:37.920]   you know, luckily we could get into maybe the restoration of free speech.
[00:48:38.061 --> 00:48:39.021]  Yeah, you got the floor.
[00:48:39.341 --> 00:48:42.423]  We'll do five minutes next hour if we can do it, but you got the floor.
[00:48:42.743 --> 00:48:44.644]  Mark Dice, I'm going to ask the questions here.
[00:48:45.024 --> 00:48:46.645]  I've got all these other clips, too, that you sent.
[00:48:46.785 --> 00:48:52.948]  I mean, I could easily just do five hours of just your clips here, but just keep going here.
[00:48:53.768 --> 00:48:56.830]  Well, we persisted despite getting banned.
[00:48:57.030 --> 00:49:14.558]   And, you know, even though Elon Musk has some major faults and, you know, maybe we could get into those, but he's done tremendously great things for Twitter, for X, allowing You know, thousands of accounts, other discussions to be allowed because they tried to stamp out any discussion about transgenderism that was negative.
[00:49:14.838 --> 00:49:18.541]  They banned books about transgenderism from Amazon.
[00:49:19.462 --> 00:49:21.303]  But that shows how he's got skin in the game.
[00:49:21.343 --> 00:49:23.104]  They scalped his first born son.
[00:49:23.645 --> 00:49:24.665]  They got his son.
[00:49:24.725 --> 00:49:25.966]  That'll turn anybody against him.
[00:49:26.707 --> 00:49:33.512]  Yeah, this is personal for Elon, and I don't like to bring people's families into it, but Elon has talked about this publicly, and it's in his authorized biography.
[00:49:34.198 --> 00:49:40.861]  From Walter Isaacson, one of Elon's teenage sons is now identifying as a woman and a Marxist.
[00:49:40.981 --> 00:49:44.943]  So Elon has a personal axe to grind with Marxism.
[00:49:45.223 --> 00:49:46.764]  This is a personal mission for him.
[00:49:46.884 --> 00:50:02.487]   And so by lifting the ban on misgendering, which is, you know, using the wrong pronouns, lifting the ban, questioning vaccines, the safety of them or the medical establishment, He has brought free speech back to a major level.
[00:50:02.507 --> 00:50:02.947]  Well, that's right.
[00:50:03.007 --> 00:50:04.467]  People say, is he good or bad?
[00:50:04.527 --> 00:50:06.948]  Judging by his roots, what he's doing is devastating.
[00:50:06.968 --> 00:50:08.308]  And I say that to all the globalists.
[00:50:08.668 --> 00:50:10.268]  You're going to be destroyed by this yourself.
[00:50:10.649 --> 00:50:11.549]  Elon's a perfect example.
[00:50:11.569 --> 00:50:14.609]  He was going along with it until his brother almost died from a shot.
[00:50:14.869 --> 00:50:16.570]  They're going to castrate his first born son.
[00:50:16.590 --> 00:50:19.110]  And it's like, yeah, dude, nobody's immune.
[00:50:19.170 --> 00:50:19.991]  Join us.
[00:50:20.091 --> 00:50:21.651]  And that's why I think Elon's for real.
[00:50:22.574 --> 00:50:38.840]  Let me say this, he and Rumble are going to have a very tough decision to make in the next year because they're going to face the real possibility of having their apps banned from the App Store because Apple has control over that and they're going to say, you're not going to allow these kinds of discussions or these specific individuals to have accounts.
[00:50:38.960 --> 00:50:40.880]  And the EU is threatening to criminally charge him.
[00:50:42.481 --> 00:50:48.172]   Yeah, so they're going to be faced with a tough decision and I would assume that they've been working on this.
[00:50:48.192 --> 00:50:56.418]  They're going to have to do the model that Andrew Torba used at Gab, where they've been banned from the App Store for five or six years, where you can still use it as an app.
[00:50:56.718 --> 00:51:06.045]  Just like you can use the InfoWars app, I save the InfoWars feed on my phone and on my tablet, just as if it is an app, and then you press the button.
[00:51:06.065 --> 00:51:09.387]  It doesn't have quite the same functionality as an app, but it's pretty good.
[00:51:10.199 --> 00:51:16.843]  We have Rumble, we have Twitter, Axe, but they're going to be having a very tough decision to make as the election approaches.
[00:51:17.203 --> 00:51:19.465]  And for some people, I'd say, well, they would never ban them from the App Store.
[00:51:20.125 --> 00:51:24.528]  Well, you would have said that they would never indict Donald Trump, but they did that 91 different times.
[00:51:24.588 --> 00:51:28.370]  And even I didn't think that they were actually going to indict Trump.
[00:51:28.430 --> 00:51:34.394]  I thought that Merrick Garland was going to come out sometime next year, right before the primary start and say, you know, investigation's complete.
[00:51:34.714 --> 00:51:36.015]  We found all this terrible evidence.
[00:51:36.315 --> 00:51:41.439]  You know, he's definitely guilty of the insurrection, but, you know, it's Justice Department policy not to indict.
[00:51:41.479 --> 00:51:53.587]  If we're not confident we can get a conviction, and that they weren't confident they can get a conviction because somebody's going to hang the jury, and that's more evidence of his corruption because he's above the law, because they can't even get a conviction because one of his supporters is going to hang the jury.
[00:51:53.627 --> 00:51:58.931]  So, I didn't think that they were going to actually indict, but obviously they did.
[00:51:58.971 --> 00:51:59.832]  So now we're basically possible.
[00:51:59.852 --> 00:52:03.034]  Well, their formula is false so many that they'll think they'll get one.
[00:52:04.855 --> 00:52:06.036]  And things are going to get really dirty.
[00:52:06.176 --> 00:52:16.184]  I mean, we're already seeing some of the, you know, wannabe Ron DeSantis influencers, they are supporting Donald Trump going to prison because it's almost like politics is like a mafia in a sense.
[00:52:16.624 --> 00:52:28.574]  They see Donald Trump as a liability, just like John Gotti saw the Mafia Don, forget the guy's name, was the head of the Gambino family at the time, saw him as a liability and so they took him out.
[00:52:29.274 --> 00:52:33.877]  And then they go on as if nothing happens and continue with business as usual.
[00:52:34.278 --> 00:52:37.640]  And so you're seeing a lot of Ron DeSantis supposed influencers.
[00:52:38.100 --> 00:52:40.982]  They're really hoping that Donald Trump goes to prison in order to stop him.
[00:52:41.002 --> 00:52:47.066]  And, you know, the Ron DeSantis supporters, I mean, many of them have some legitimate criticisms of Trump, of course.
[00:52:47.106 --> 00:52:48.066]  I mean, nobody's perfect.
[00:52:48.106 --> 00:52:55.381]   But at this point, I saw from day one, Ron DeSantis getting in the race as stabbing Donald Trump in the back.
[00:52:55.781 --> 00:52:58.742]  That's not to say that, God forbid, something happens to Donald Trump.
[00:52:59.302 --> 00:53:07.986]  If by a miraculous feat, he actually loses the primaries or ducks out, which I don't think he's going to do, in some plea deal to try to avoid- That's my next question.
[00:53:08.006 --> 00:53:09.687]  What do you predict happens with Trump?
[00:53:10.027 --> 00:53:11.088]  And what do they do about Biden?
[00:53:11.168 --> 00:53:14.669]  I mean, they got Axelrod on TV, all the Democrats saying, get out of there, Biden.
[00:53:14.689 --> 00:53:15.710]  But Biden won't leave.
[00:53:15.730 --> 00:53:18.651]  So how's that going to shape up in Mark Geis' brain?
[00:53:19.614 --> 00:53:31.305]  They painted themselves into a terrible corner that there's no easy way out of because if Joe Biden ducks out and gets replaced by Gavin Newsom, the Democrat Party is going to look terribly weak because usually the Vice President would pick up that baton and run with it.
[00:53:31.365 --> 00:53:33.827]  But Kamala Harris has no support.
[00:53:34.167 --> 00:53:35.568]  She was a diversity hire.
[00:53:35.849 --> 00:53:40.213]  She dropped out of the presidential race in 2020 early because she couldn't get any funding.
[00:53:40.273 --> 00:53:41.594]  She had no support at all.
[00:53:41.734 --> 00:53:44.356]  She had less than 2% in the Democrat primaries.
[00:53:44.396 --> 00:53:45.838]  The woman is reviled.
[00:53:46.641 --> 00:53:55.604]  It would be one thing if he ducked out and then everybody would rally behind Kamala Harris as taking the baton and trying to continue with the Democrat Party agenda.
[00:53:55.624 --> 00:53:57.945]  But she is terrible.
[00:53:58.005 --> 00:53:58.665]  Nobody likes her.
[00:53:58.685 --> 00:53:59.706]  She's uninspiring.
[00:54:00.606 --> 00:54:10.425]   And then if they replace Biden with Gavin Newsom and then have Her still as the running mate, that's still going to make them look weak.
[00:54:10.965 --> 00:54:15.608]  And the time is running out for that, for Gavin to get on the ballot in certain states.
[00:54:16.069 --> 00:54:17.310]  And so, I don't know.
[00:54:17.350 --> 00:54:18.971]  I don't think anybody knows.
[00:54:19.031 --> 00:54:33.762]  I mean, it could get to the point where, at the convention, maybe if Biden has a health issue, the Democrat delegates will nominate Gavin Newsom, and then they can write it off as... Or, God forbid, they assassinate Biden to make him a martyr.
[00:54:35.481 --> 00:54:40.984]  He might have a health issue or an instigated health issue, so I don't know.
[00:54:42.405 --> 00:54:45.106]  It's very possible that Donald Trump could get convicted.
[00:54:45.246 --> 00:54:50.626]   It's going to be very difficult because if Donald Trump gets convicted, It's going to be horrible.
[00:54:50.646 --> 00:54:51.727]  They're going to try to throw him in prison.
[00:54:51.767 --> 00:54:57.349]  I mean, maybe they would give him a house arrest or put him at a military base for security.
[00:54:57.429 --> 00:55:02.591]  But if he beats the charges, there's going to be riots like we've never seen.
[00:55:02.611 --> 00:55:08.233]  If he gets convicted and then wins on an appeal, there's going to be riots from the Marxists.
[00:55:08.293 --> 00:55:11.074]  So bottom line, the next 12 months are going to be the most insane ever.
[00:55:12.242 --> 00:55:14.023]  It's going to get more intense every day.
[00:55:14.643 --> 00:55:15.983]  Nobody knows what's going to happen.
[00:55:16.104 --> 00:55:17.984]  I mean, it's just... And we're now one year out.
[00:55:18.044 --> 00:55:19.465]  We're now 365 out.
[00:55:20.665 --> 00:55:27.948]  And everybody says, oh, this election is the most important, but we've never had anything like this, where the country doesn't have its sense of cohesiveness.
[00:55:28.128 --> 00:55:30.249]  Hands down, this is the most important ever.
[00:55:31.835 --> 00:55:39.017]  It's going to be, it's troubling and you're seeing the rumblings of a lot of people who have been hoping that the country wouldn't collapse.
[00:55:39.037 --> 00:56:00.762]   We have the financial crisis, we have the anti-Americanism within the own institutions, we have been flooded by millions and millions of illegal aliens who, and legal immigrants as well, who don't have any allegiance to the United States, to our history, to our culture, and so this isn't going to be like past depressions or conflicts where the United States... This is
[00:56:00.762 --> 00:56:07.861]   the big one. We're in trouble, man. The United States is in big trouble and I don't think anybody
[00:56:07.861 --> 00:56:13.481]   has the answers other than to keep it local. And that's why I kind of conclude my book with some
[00:56:13.481 --> 00:56:16.452]   of the solutions is, and if we got, you know, we're running out of time here, I'll keep this
[00:56:16.452 --> 00:56:21.461]   quick. As a whole, the country's in big trouble, but locally.
[00:56:21.656 --> 00:56:33.659]  And from going to city council meetings and trolling like Alex Stein does, I learned that there's a very small group of people who make the decisions in your local community, who go to the city council and persuade them and run and get on the board.
[00:56:33.679 --> 00:56:35.940]  That's why the feds were so upset about the school boards.
[00:56:36.140 --> 00:56:42.862]  Everybody should be at all these local televised events, then they feed, they go viral, and it's like calling the C-SPAN.
[00:56:42.882 --> 00:56:45.143]  I think they're weak-linked.
[00:56:45.183 --> 00:56:46.263]  You said it, you've done it too.
[00:56:46.843 --> 00:56:47.504]  How do you do it more?
[00:56:47.524 --> 00:56:49.246]  We need to go to these city council meetings.
[00:56:50.127 --> 00:56:50.768]  It's local.
[00:56:50.828 --> 00:56:51.329]  Get on the board.
[00:56:51.369 --> 00:56:53.772]  Because running a national campaign, very difficult.
[00:56:53.952 --> 00:57:00.119]  Running a local campaign in a small to even moderate-sized city of 100,000 people, fairly easy.
[00:57:00.520 --> 00:57:03.163]  You know, you can rally your community, your support, and you can do it.
[00:57:03.243 --> 00:57:08.203]   And one thing, during the COVID lockdowns, Sheriffs are elected, okay?
[00:57:08.223 --> 00:57:22.266]  Now, police chiefs are appointed by the mayor, but sheriffs are elected, and even in California, even in counties in Los Angeles, the sheriffs would not enforce the governor's lockdown mandates and allow businesses to stay open.
[00:57:22.306 --> 00:57:37.319]   So, if in Los Angeles, you can have a local sheriff who is, again, voted in by the people, defy the tyrannical laws of those above him, Then we can work locally in the schools and absolutely we have the truth.
[00:57:37.459 --> 00:57:38.199]  Do five more minutes.
[00:57:38.219 --> 00:57:38.760]  Two minute break.
[00:57:39.180 --> 00:57:40.941]  I want to talk about the COVID lockdown.
[00:57:41.001 --> 00:57:42.122]  You nailed it there.
[00:57:42.642 --> 00:57:43.903]  We just backed that off.
[00:57:43.923 --> 00:57:44.904]  They try to relaunch it.
[00:57:45.304 --> 00:57:51.088]  We have the victory, but we've got to have confidence and the listeners have realized the ball's in their court.
[00:57:53.169 --> 00:57:54.590]  Well, Thanksgiving 2023 is here.
[00:57:56.553 --> 00:58:00.476]  And that means we've got the biggest sell of the year that just went live.
[00:58:00.856 --> 00:58:02.757]  Black Friday comes early.
[00:58:03.598 --> 00:58:13.865]  Everything is massively discounted at infowarestore.com up to 60% off and X2 sold out for over a year is finally back in stock.
[00:58:14.545 --> 00:58:17.468]  The InfoWars Black Friday special has arrived.
[00:58:17.908 --> 00:58:21.452]  Up to 60% off at free shipping and double Patriot points.
[00:58:21.872 --> 00:58:25.576]  Ladies and gentlemen, the annual Black Friday event at InfoWars store has arrived.
[00:58:25.596 --> 00:58:31.221]  We're bringing you a huge roster of sales including recently restocked best-selling items up to 60% off.
[00:58:32.382 --> 00:58:38.066]  In addition to those savings, we're offering free store-wide shipping and double Patriot points.
[00:58:38.086 --> 00:58:47.153]  60% off Brain Force Plus, 60% off Brain Force Ultra, 50% off Real Red Pill Plus, green fiber capsules, down-and-out sleep support, all 50% off.
[00:58:48.775 --> 00:59:08.875]  40% off, back in stock, Vazzo Beats, Bodies Limited Supply, Vitamin Mineral Fusion Limited Supply, DNA Force Plus Limited Supply, D3 Gummies, Whole Food Multivitamins, 25% off, X2, back in stock, all coffee, all InfoWars MD products, all InfoWars Platinum products, and more at InfoWarsStore.com.
[00:59:08.915 --> 00:59:11.657]   But I'm telling you, This Black Friday comes early.
[00:59:11.757 --> 00:59:17.520]  It's critical to your health, your stamina, your energy, your immune system, and it keeps us on air.
[00:59:17.620 --> 00:59:18.060]  It's a 360 win.
[00:59:18.380 --> 00:59:19.321]  Take action now.
[00:59:19.441 --> 00:59:20.501]  Black Friday comes early.
[00:59:20.782 --> 00:59:22.782]  X2, back in stock.
[00:59:22.782 --> 00:59:41.782]   *Singing* *Singing*
[00:59:41.628 --> 00:59:43.851]  Happy fun, la la la.
[00:59:43.952 --> 00:59:51.831]   human smuggling, fit no guess, forced government euthanasia, chopping up children's genitals, la la la la la
[00:59:51.831 --> 01:00:12.471]   la la la la It's Sunday, November 19th.
[01:00:12.307 --> 01:00:16.872]  I'm your host, Alex Jones, broadcasting worldwide.
[01:00:17.853 --> 01:00:21.197]  And we got a lot of really important stuff to talk about.
[01:00:21.337 --> 01:00:25.462]  InfoWars, the most banned network in the world.
[01:00:30.390 --> 01:00:31.550]  It's Sunday, November 19, 2023.
[01:00:31.670 --> 01:00:41.954]  And we're now 351 days, 7 hours, 39 minutes, 36 seconds out from the most important election in world history.
[01:00:43.054 --> 01:00:44.034]  I'm your host, Alex Jones.
[01:00:44.054 --> 01:00:47.555]  We're very blessed and very honored to be here with you tonight.
[01:00:48.716 --> 01:00:51.397]  We'll be here live for the next four hours.
[01:00:51.557 --> 01:00:53.477]  And I'll be back tomorrow, 11 a.m.
[01:00:53.517 --> 01:00:53.957]  Central.
[01:00:54.057 --> 01:00:54.978]  Every show's precious.
[01:00:55.698 --> 01:00:58.719]  Every day above ground is a good day, as they say.
[01:01:00.473 --> 01:01:04.056]  Okay, let me give you a little boil-down of what's coming up, and then we hit next segment.
[01:01:04.096 --> 01:01:05.156]  I'll plunge right into it.
[01:01:06.357 --> 01:01:08.018]  Biden is in total free-for-all.
[01:01:08.138 --> 01:01:11.661]  They haven't just had Axelrod and other top Democrats say he should resign.
[01:01:12.121 --> 01:01:13.862]  Now Bill Maher and the rest of them are saying it.
[01:01:14.042 --> 01:01:29.153]  The Democratic Party is officially trying to take out Joe Biden, and it's his 81st birthday, so they want to show him the door so the new Chinese communist puppet, aka American Psycho 2.0, Gavin Newsom, can take over.
[01:01:30.109 --> 01:01:37.157]  And we've got them in complete panic mode because Trump's poll numbers are turbocharging to even higher levels.
[01:01:37.217 --> 01:01:43.984]  Their attempt to take him off the ballot in Colorado has failed so much more on that front coming up.
[01:01:44.084 --> 01:01:49.771]  Then, of course, the new Speaker of the House has made good on a promise McCarthy made almost a year ago.
[01:01:50.731 --> 01:02:00.457]  But in over 10 months failed, he is now beginning to release, because as fast as they can put it out, it's going to take about two weeks, they're saying, 44,000 hours.
[01:02:00.537 --> 01:02:05.780]  They've already put out something like 5,000 hours starting Friday.
[01:02:05.800 --> 01:02:07.101]  I have watched a lot of it.
[01:02:07.221 --> 01:02:19.389]  It is more of what we knew happened, except you've got undercover cops who are arrested, being released, and you've got the police waving people through and shaking their hands and taking selfies with them.
[01:02:20.495 --> 01:02:23.078]  So the Feds and some provocateurs helped break in.
[01:02:23.659 --> 01:02:24.860]  The cops then stood down.
[01:02:24.880 --> 01:02:27.223]  And you know the rest of the story.
[01:02:27.263 --> 01:02:32.409]  But it's hour after hour after hour after hour.
[01:02:32.549 --> 01:02:37.635]  And the initial, quote, breach where they just opened the doors up is spectacular.
[01:02:38.504 --> 01:02:42.329]  And we've got members of Congress calling for criminal investigations over it.
[01:02:42.830 --> 01:02:44.592]  This is certainly blown up in their face.
[01:02:45.273 --> 01:02:47.596]  Bigly, as Trump would say.
[01:02:48.537 --> 01:03:02.086]   Continuing, Netanyahu's surprise admission Israel not successful at minimizing civilian casualties as the world turns against the war. 68% of Americans polled are against
[01:03:02.086 --> 01:03:04.966]  the war. 80 plus percent against the Ukraine war.
[01:03:04.966 --> 01:03:09.806]   Ukraine must brace for loss of US support. The Ukrainian ambassador says
[01:03:09.806 --> 01:03:15.005]   big developments in that World War III developing scenario as well.
[01:03:15.005 --> 01:03:22.696]   We've also got more on the poison shot front US Army begging unvaccinated soldiers to return after kicking them
[01:03:22.696 --> 01:03:25.185]  out for refusing COVID vaccine mandates.
[01:03:25.896 --> 01:03:33.081]  Even promising to reverse their dishonorable and non-honorable, non-than-non-un... Say it.
[01:03:33.381 --> 01:03:34.382]  Have one of those moments.
[01:03:35.183 --> 01:03:36.904]  Their... signal reverse their...
