[00:00:00.000 --> 00:00:02.759]  (dramatic music)
[00:24:19.946 --> 00:24:23.388]  We've got a lot of great stuff all night long here at InfoWars.
[00:24:23.408 --> 00:24:32.852]  We've got Alex Jones and the America Shaman getting real deep into beyond the political world, but what does the future have for us?
[00:24:33.272 --> 00:24:37.814]  And then Alex gets deep into the geopolitical situations.
[00:24:39.414 --> 00:24:43.835]  The wars, what's going on with Biden in the White House, with Scott Bennett.
[00:24:44.395 --> 00:24:51.377]  And so these are two very powerful and exhilarating Alex Jones interviews that we're going to be having coming up for you the rest of the night.
[00:24:51.397 --> 00:24:54.197]  So I'm going to be with you here until 5 o'clock central.
[00:24:54.257 --> 00:24:58.838]  So we got just over 30 minutes together and then Alex is going to be taking over with these amazing interviews.
[00:24:59.158 --> 00:25:01.139]  So stay tuned for that.
[00:25:03.120 --> 00:25:08.042]  I do have some other news that I will cover before then, but I wanted to let you know that's coming up.
[00:25:08.162 --> 00:25:18.747]  And also, just so we can pay some bills around here, folks, because Alex is going to be really busy the next three hours with these interviews, InfoWarsTore.com is how everything we do here is possible.
[00:25:18.887 --> 00:25:25.444]   I'm a product of the product at InfoWarsTore.com, but right now, We have Christmas in August.
[00:25:25.544 --> 00:25:27.466]  What innovation will we come up with next?
[00:25:27.546 --> 00:25:28.507]  It's Christmas in August.
[00:25:29.027 --> 00:25:39.278]  Huge sales and discounts on top-selling, top-rated products like Vitamin Mineral Fusion, which is back in stock and 25% off right now.
[00:25:39.338 --> 00:25:39.959]  Back in stock.
[00:25:40.119 --> 00:25:41.401]  Vitamin Mineral Fusion, 25% off.
[00:25:42.882 --> 00:25:47.726]  Right now at Infowarsstore.com, this sells out fast, so take advantage while it's in stock.
[00:25:48.166 --> 00:25:58.535]  I start every day with Vitamin Mineral Fusion because it has more than 100% daily value of Vitamin A, Vitamin B6, B12, Vitamin C, Vitamin D, Vitamin E, and so much more!
[00:25:59.876 --> 00:26:00.997]  Right when I start my day.
[00:26:02.130 --> 00:26:04.632]  I like to mix it with juice to enhance the flavor, but it already tastes great.
[00:26:04.993 --> 00:26:08.496]  Vitamin Mineral Fusion, 25% off, InfoWarsStore.com.
[00:26:08.956 --> 00:26:10.938]  And it's your support there that keeps us on the air.
[00:26:11.098 --> 00:26:16.423]  And remember, Christmas savings in August, happening right now at InfoWarsStore.com.
[00:26:16.443 --> 00:26:18.505]  Alright, you want to talk about poetic justice?
[00:26:20.506 --> 00:26:22.728]  This is actually sad, but I mean, it is what it is.
[00:26:23.388 --> 00:26:26.310]  I'm not gonna shed a tear because the U.S.
[00:26:26.330 --> 00:26:28.472]  Women's National Soccer Team is an embarrassment to us.
[00:26:29.212 --> 00:26:32.554]  But nonetheless, there's no Mia Hamms out there.
[00:26:34.396 --> 00:26:40.920]  There's no World Cup champions anymore out there because they lost.
[00:26:41.300 --> 00:26:42.982]  I guess, was that last night or this morning?
[00:26:43.502 --> 00:26:43.822]  I don't know.
[00:26:43.842 --> 00:26:47.265]  I've lost interest in this team because they hate us so much.
[00:26:47.985 --> 00:26:48.606]  And with a...
[00:26:50.356 --> 00:26:50.736]  Leader.
[00:26:52.698 --> 00:26:53.899]  Like Megan Rapinoe.
[00:26:53.959 --> 00:26:54.580]  She's no leader.
[00:26:55.580 --> 00:26:58.883]  But when that's your leadership, you're pretty much doomed to fail.
[00:26:59.444 --> 00:27:01.365]  Now, I just want to show you this.
[00:27:02.426 --> 00:27:05.469]  So here's Megan Rapinoe with the game on the line.
[00:27:06.890 --> 00:27:09.252]  Megan Rapinoe with the game on the line.
[00:27:09.312 --> 00:27:10.252]  The World Cup game.
[00:27:10.713 --> 00:27:12.094]  First round of elimination.
[00:27:12.214 --> 00:27:14.496]  Here's Megan Rapinoe, clip five with the game on the line.
[00:27:17.098 --> 00:27:19.000]  With her blue man haircut.
[00:27:20.439 --> 00:27:20.879]  Biff's it.
[00:27:22.120 --> 00:27:23.842]  And then a little meme for ya.
[00:27:24.162 --> 00:27:25.423]  But so, that's fine guys.
[00:27:25.783 --> 00:27:27.445]  So, uh, there you go.
[00:27:28.906 --> 00:27:29.967]  She completely blew the game.
[00:27:30.007 --> 00:27:32.248]  Now, I don't think Meghan Ravneau blew it on purpose.
[00:27:32.409 --> 00:27:33.610]  She's way too selfish for that.
[00:27:33.690 --> 00:27:40.415]  However, her hatred of country may have overwhelmed her selfishness and subconsciously she may have missed it on purpose.
[00:27:40.995 --> 00:27:46.580]  And then she was asked, because she's finished playing now, she was asked what her favorite memory was, and this is what she said in clip four.
[00:27:48.197 --> 00:27:55.183]  Is there a memory that stands out to you right now in this moment?
[00:27:59.166 --> 00:28:03.270]  I mean, probably equal pay chance after the final.
[00:28:04.651 --> 00:28:05.131]  Gross.
[00:28:05.211 --> 00:28:09.235]  And I think, you know, they were saying equal pay, but could have been saying a lot of things.
[00:28:09.295 --> 00:28:11.737]  I think this team is... Alright, so that's enough.
[00:28:13.194 --> 00:28:15.716]  So, uh, equal pay even though you don't earn it.
[00:28:15.816 --> 00:28:16.557]  A total commie.
[00:28:17.018 --> 00:28:18.719]  And then you choke with the game on the line.
[00:28:18.739 --> 00:28:20.140]  And that's all because of affirmative action.
[00:28:20.181 --> 00:28:21.161]  She didn't belong on the field.
[00:28:21.181 --> 00:28:22.583]  She played like crap the whole time.
[00:28:23.684 --> 00:28:27.247]  Um, but, you know, they just had to have her out there for a political statement in those hideous uniforms.
[00:28:27.667 --> 00:28:32.092]  I hope this, though, I hope that we don't have to endure this anymore from the Women's National Soccer Team.
[00:28:32.112 --> 00:28:38.818]  And I hope they make it fun and exhilarating to cheer for them again, like when Mia Hamm and the rest beat China in the World Cup.
[00:28:40.019 --> 00:28:45.067]  I don't know if it'll, it might take four years to remove the cancer that was Megan Rapinoe and her politics and liberalism.
[00:28:45.628 --> 00:28:52.581]  But maybe in four years we can have a proud women's national team of women that want to be women, look like women, and represent women and our country proudly.
[00:28:54.701 --> 00:29:14.385]   I beg you to think about how important your word of mouth is and you sharing the articles and sharing the videos and telling people get the forbidden truth you're not supposed to find at InfoWars.com forward slash show and getting products at InfoWarsStore.com We've got three amazing products in stock, ready to ship.
[00:29:14.665 --> 00:29:15.966]  Sold out for almost six months.
[00:29:16.046 --> 00:29:17.087]  Vitamin Mineral Fusion.
[00:29:17.207 --> 00:29:17.888]  So incredible.
[00:29:17.928 --> 00:29:18.949]  So good for your whole body.
[00:29:19.209 --> 00:29:23.854]  A one-stop shop for everything you need for vitamins, minerals, and amino acids for your immune system and more.
[00:29:24.194 --> 00:29:24.895]  Back in stock.
[00:29:25.495 --> 00:29:25.976]  Discounted.
[00:29:26.656 --> 00:29:30.079]  Silver Bullet, 30 parts per million from the top lab in the country, probably by us.
[00:29:30.460 --> 00:29:32.201]  Discount at InfoWarStore.com.
[00:29:32.541 --> 00:29:35.004]  Nitric Boost to clean out your blood and make you healthier.
[00:29:35.424 --> 00:29:36.085]  It's in stock.
[00:29:36.405 --> 00:29:37.166]  Rave reviews.
[00:29:37.526 --> 00:29:38.867]  Top doctors say it's amazing.
[00:29:39.047 --> 00:29:41.049]  InfoWarStore.com.
[00:29:41.269 --> 00:29:42.210]  And that keeps us on air.
[00:29:42.570 --> 00:29:44.052]  Thank you so much for your support.
[00:29:44.412 --> 00:29:45.053]  Spread the word.
[00:29:45.093 --> 00:29:45.813]  Pray for the broadcast.
[00:29:45.873 --> 00:29:51.879]  And go now to InfoWarStore.com and get great products that keep the tip of the spear in the fight.
[00:29:54.355 --> 00:30:01.342]  I'm not going to attack other major CBD makers around the country because there are a lot of great companies that are doing a lot of good.
[00:30:02.083 --> 00:30:07.128]  Neurological issues, it's just so much for people's health, joints, bones, anxiety.
[00:30:07.629 --> 00:30:10.892]  What CBD does is documented on record a gift from God.
[00:30:11.513 --> 00:30:16.438]  But I will tell you, without showing you the leading competitors, because I don't want to attack them, you can go look this up yourself.
[00:30:17.279 --> 00:30:23.284]  That our new Rebel Zen brand, that is a private label of one of the highest rated in the country, 3,000 milligram.
[00:30:26.235 --> 00:30:34.077]  Is not just the strongest and purest you're going to get, it's 30% off what they sell it in stores all over the country for and online.
[00:30:34.697 --> 00:30:37.578]  So I told him, I said, I want to promote your product.
[00:30:37.618 --> 00:30:38.178]  I know it's great.
[00:30:38.218 --> 00:30:41.178]  I know it's the best, but I want to be able to give a lower price.
[00:30:41.258 --> 00:30:42.019]  That's what I do for my listeners.
[00:30:42.339 --> 00:30:50.501]  I had to haggle with them for months and months, but I got 30% off retail and what they sell it for online as long as I private label it.
[00:30:51.101 --> 00:30:51.441]  And so.
[00:30:52.461 --> 00:30:55.162]  It's already higher quality and lower price than leading competitors.
[00:30:55.542 --> 00:31:01.023]  Now it's 30% on top of that, and we are labeling it Rebel Zen.
[00:31:01.663 --> 00:31:04.024]  It's made outside Austin, Texas in Dripping Springs.
[00:31:04.564 --> 00:31:13.826]  It is the strongest, highest certified, best you're going to find, and it's 30% off what they themselves sell their original brand for.
[00:31:14.807 --> 00:31:15.927]  That is the deal of deals.
[00:31:16.827 --> 00:31:17.387]  It's amazing.
[00:31:17.447 --> 00:31:21.189]  And it's not in competition with our 1,000 milligram full-spectrum that's highly rated people love.
[00:31:21.770 --> 00:31:23.951]  It's two different animals, OK?
[00:31:24.411 --> 00:31:25.552]  So, you love our original?
[00:31:25.752 --> 00:31:26.052]  It's great.
[00:31:26.072 --> 00:31:26.732]  We're going to keep selling it.
[00:31:26.913 --> 00:31:27.773]  Infowarshaw.com.
[00:31:28.453 --> 00:31:32.115]  This one is three times stronger and just a little bit more.
[00:31:32.596 --> 00:31:34.777]  So, if you already love the other brand, it's excellent.
[00:31:34.877 --> 00:31:35.117]  Use it.
[00:31:35.377 --> 00:31:37.478]  But this Rebels In is amazing.
[00:31:37.498 --> 00:31:39.920]  And as we bring on these first products, there's also a great salve.
[00:31:40.740 --> 00:31:42.704]  We're going to bring on all their other line.
[00:31:42.744 --> 00:31:44.287]  They've even got stuff for pets, you name it.
[00:31:44.488 --> 00:31:45.430]  This is very exciting.
[00:31:45.470 --> 00:31:47.935]  Get your Rebels in now at InfoWarshore.com.
[00:31:48.135 --> 00:31:49.919]  It's great for you and your family, and it keeps us on the air.
[00:31:49.999 --> 00:31:50.300]  Thank you.
[00:31:54.564 --> 00:32:00.792]  Iodine is naturally acquired through the soil, which is at the foundation of our entire food supply.
[00:32:01.492 --> 00:32:10.123]  Modern farming techniques have stripped the soil of this essential trace element, which has caused an iodine deficiency in about half the population.
[00:32:10.483 --> 00:32:12.706]  And there are two things we need to do about it.
[00:32:13.326 --> 00:32:16.129]  We need to practice more regenerative farming.
[00:32:16.630 --> 00:32:24.639]  There are plenty of proven technologies in permaculture and biodynamics that will naturally keep the soil rich with iodine.
[00:32:25.139 --> 00:32:29.284]  And we need to ensure that we get the sufficient amount of iodine every day.
[00:32:29.944 --> 00:32:40.954]  Derived from ancient sea salts found thousands of feet below the Earth's surface, our InfoWars Life Survival Shield X3 is hands-down the best.
[00:32:41.474 --> 00:32:47.019]  Pure nascent iodine, stabilized in an activated triiodine form.
[00:32:47.539 --> 00:32:53.705]  For a healthy thyroid and a healthy metabolism, get yours now at InfoWarsStore.com.
[00:32:55.825 --> 00:32:59.906]  Leading a frontal assault on the lies of the New World Order.
[00:33:00.205 --> 00:33:02.205]  It's Alex Jones.
[00:33:02.205 --> 00:33:11.205]  Waging War on Corruption.
[00:33:11.948 --> 00:33:13.369]  It's Alex Jones.
[00:33:13.689 --> 00:33:17.309]  Coming to you live from the front lines of the InfoWar.
[00:33:17.549 --> 00:33:20.450]  And now, your host, Owen Troyer.
[00:33:22.318 --> 00:33:27.202]  Donald Trump actually had something to say about old Megan Rapinoe.
[00:33:29.083 --> 00:33:31.625]  I guess he knew this was coming.
[00:33:31.645 --> 00:33:33.066]  Here is Trump talking about Rapinoe.
[00:33:33.486 --> 00:33:33.967]  Clip three.
[00:33:33.987 --> 00:33:37.329]  I got in a little trouble.
[00:33:37.409 --> 00:33:42.813]  I said that our women's soccer team was supposed to easily win, but they went woke.
[00:33:43.274 --> 00:33:44.315]  Except for a few of them.
[00:33:44.335 --> 00:33:48.958]  I love those women that stood up and they saluted our flag.
[00:33:49.018 --> 00:33:49.719]  There were some of them.
[00:33:54.219 --> 00:33:57.200]  But the one with the purple hair, she didn't play too well.
[00:33:58.360 --> 00:33:59.201]  She went woke.
[00:33:59.281 --> 00:34:00.001]  You can have her.
[00:34:02.542 --> 00:34:04.423]  And they didn't do too well, unfortunately.
[00:34:04.443 --> 00:34:06.103]  We want them to do well, but they didn't.
[00:34:06.183 --> 00:34:07.384]  But it's true about woke.
[00:34:07.764 --> 00:34:08.564]  You just take a look.
[00:34:08.664 --> 00:34:09.864]  Everything goes bad.
[00:34:10.465 --> 00:34:13.926]  It's really, it's a shortcut to losing everything you have.
[00:34:14.773 --> 00:34:20.315]  There's really no excuse why the women's national team would get bumped with zero goals.
[00:34:21.115 --> 00:34:23.776]  They barely even made it to the elimination round, but we all know what it is.
[00:34:23.936 --> 00:34:25.176]  Once you go woke, you go broke.
[00:34:25.776 --> 00:34:41.201]  When Megan Rapinoe, a despicable human being, a grotesque individual, a cancer politically, ideologically, culturally, a cancer to your spirit, when that's your leader, you're doomed.
[00:34:42.250 --> 00:34:42.731]  You're doomed.
[00:34:42.771 --> 00:34:49.911]  And so all the success, all the momentum that women in the United States had to be, I mean, by far, the best.
[00:34:50.990 --> 00:35:01.857]  Women's soccer program in the world, it wasn't even close, the female domination of the United States women of soccer has all been destroyed.
[00:35:02.557 --> 00:35:12.524]  It's not fair to put it completely on Megan Rapinoe's shoulders, but it's her ideology, it's her culture, it's her spirit, it's her attitude that was a cancer on that team, and now they exit.
[00:35:13.795 --> 00:35:17.476]  In an abysmal, probably the worst performance for the U.S.
[00:35:17.516 --> 00:35:18.516]  Women's National Team ever.
[00:35:18.856 --> 00:35:21.637]  Let's just hope, I don't know if four years is enough, it might take eight.
[00:35:22.257 --> 00:35:24.638]  A cancer like Megan Rapinoe might take eight years.
[00:35:24.938 --> 00:35:26.618]  You need to have like an exorcism.
[00:35:27.798 --> 00:35:32.059]  But let's hope four years from now, when the women get back in there, it's a team that we can be proud of.
[00:35:32.599 --> 00:35:34.920]  It's a team that puts country over politics.
[00:35:36.240 --> 00:35:38.821]  It's a team that puts pride over politics.
[00:35:42.597 --> 00:35:49.421]  And doesn't obsess with pay over everything else like Megan Rapinoe stated so clearly in the last segment.
[00:35:49.861 --> 00:35:54.523]  So I don't know if four years is enough to remove the cancer that Megan Rapinoe will leave behind.
[00:35:55.644 --> 00:36:03.708]  But let's hope in four years there's a women's national team that makes you want to cheer for them instead of laughing and cheering sadly at their demise.
[00:36:05.449 --> 00:36:06.210]  Let's just hope.
[00:36:07.970 --> 00:36:08.611]  Let's just hope.
[00:36:10.458 --> 00:36:14.259]  You know, Donald Trump is really taking the gloves off here.
[00:36:14.319 --> 00:36:19.381]  Trump gives Nancy Pelosi the what-for, calls her a wicked witch who will someday live in hell.
[00:36:20.181 --> 00:36:20.961]  Well, do you disagree?
[00:36:20.981 --> 00:36:23.062]  I mean, I don't know.
[00:36:24.122 --> 00:36:25.503]  Not so sure if I disagree with that.
[00:36:26.043 --> 00:36:29.224]  Now, I want to do, we need to give a little advice to Trump here.
[00:36:30.564 --> 00:36:57.009]   I want to give a little advice to Trump and his legal team here because people have started to mention a trend Perhaps that Donald Trump has with some of his legal representation and obviously it's not all but Elena Haba kind of takes center stage at times when it comes to the media getting a representation of Trump's legal team even though I'm not even sure what case she's on right now and so
[00:36:58.564 --> 00:37:02.027]  People are mentioning, they're saying, oh well, you know, Trump's got a type, doesn't he?
[00:37:02.568 --> 00:37:03.709]  Trump's got a legal type.
[00:37:04.089 --> 00:37:08.093]  Yeah, yeah, Elena Haba has really strong legal assets.
[00:37:08.474 --> 00:37:10.916]  She's got very noticeable, strong legal assets.
[00:37:10.956 --> 00:37:14.700]  Now, I think we need to actually embrace this.
[00:37:15.280 --> 00:37:17.923]  And Trump has understood optics his whole life.
[00:37:19.500 --> 00:37:26.724]  But see, it's not just about having a beautiful woman out there to try to get him on TV and to get his message out there, though that is effective.
[00:37:27.525 --> 00:37:42.374]  I think what Donald Trump needs to do, especially if he expects any of this to get in front of a jury, Donald Trump needs to load up his legal team with every optical advantage possible.
[00:37:42.534 --> 00:37:58.198]   So I'm talking beautiful woman like that, I'm talking big strong alpha man, I'm talking like stereotypical Jewish lawyer, I'm talking get like a butch lesbian up there, get a trans lawyer up there, I'm dead serious.
[00:37:59.319 --> 00:38:09.066]  I would hire every different type of unique individual you can that looks like something, that looks like a physical representation of something that you can understand.
[00:38:10.140 --> 00:38:14.082]  And I would put all of them on the legal team, and I'd have all of them doing arguments in front of the jury.
[00:38:14.302 --> 00:38:17.064]  Do you know how much that will screw up the left's mind?
[00:38:18.044 --> 00:38:21.766]  Do you have any idea the rewiring that would do to a liberal jury pool?
[00:38:22.066 --> 00:38:23.287]  They don't know what to think!
[00:38:23.587 --> 00:38:26.329]  A trans lawyer protecting Donald Trump?
[00:38:27.009 --> 00:38:27.569]  Oh, what?
[00:38:28.070 --> 00:38:29.290]  A butch lesbian here?
[00:38:29.490 --> 00:38:33.172]  I mean, have a flamboyant gay man running around, hopping around!
[00:38:33.492 --> 00:38:34.093]  I'm serious!
[00:38:34.873 --> 00:38:48.056]  I'd hire every stereotypical type of person, clearly and proud to represent that optically, and I'd put them all in that courtroom and I would cross all the wires of the liberal ideology.
[00:38:48.756 --> 00:38:50.697]  Have a big black man in there?
[00:38:50.717 --> 00:38:52.297]  Have a big loud black woman in there?
[00:38:52.357 --> 00:38:53.097]  I'm serious!
[00:38:53.937 --> 00:39:00.459]  I would have ten lawyers all looking differently and just screw with all the liberals' wires in their head.
[00:39:01.550 --> 00:39:03.332]  The jury pool won't know what to do.
[00:39:03.692 --> 00:39:06.214]  A black woman defending Donald Trump?
[00:39:06.274 --> 00:39:07.475]  A black man defending Donald Trump?
[00:39:07.715 --> 00:39:09.237]  A lesbian defending Donald Trump?
[00:39:09.417 --> 00:39:10.538]  A gay man defending Donald Trump?
[00:39:10.718 --> 00:39:11.959]  A trans person defending Donald Trump?
[00:39:15.422 --> 00:39:16.283]  They won't know what to do.
[00:39:16.343 --> 00:39:17.343]  Their brains will just melt.
[00:39:18.645 --> 00:39:20.206]  And then imagine the media coverage.
[00:39:20.346 --> 00:39:21.527]  Oh, it'd be too beautiful.
[00:39:24.049 --> 00:39:25.150]  I'm serious, Donald Trump.
[00:39:25.550 --> 00:39:25.931]  Do it.
[00:39:27.415 --> 00:39:32.743]  Just make them go into fits of rage and fury?
[00:39:33.624 --> 00:39:37.690]  Have them in a complete tizzy fit that they can't control the optics of this case?
[00:39:38.211 --> 00:39:41.175]  Put some girl up there dressed just like Barbie!
[00:39:41.496 --> 00:39:43.498]  Hire legally blonde!
[00:39:44.764 --> 00:39:56.452]  I'm serious, because you've got to understand, your only chance up against a leftist army in a jury pool is to try to cross their wires and get them doubting their own ideologies, get them doubting their own politics.
[00:39:56.572 --> 00:39:57.313]  It's the only way to do it.
[00:39:59.054 --> 00:40:06.820]  So no, I don't think you should just have Elena Haba out there letting you know Donald Trump has good taste.
[00:40:08.381 --> 00:40:14.145]  I'd just go full stereotypical at every single way you possibly can.
[00:40:15.799 --> 00:40:27.556]  That's what I would do if I was Donald Trump, and put them all on TV, have them all out in front of the media, and if you do think this thing's going to be in a courtroom where you're going to be presenting to a jury, that's when it's really going to cash in.
[00:40:29.439 --> 00:40:30.560]  That's when it's really going to cash in.
[00:40:32.150 --> 00:40:33.832]  And then, you know, it just gets more ridiculous.
[00:40:34.392 --> 00:40:36.134]  And James Comey is running around right now.
[00:40:36.775 --> 00:40:38.897]  We confronted him when he came to Austin about this.
[00:40:39.277 --> 00:40:41.599]  He's saying, oh, I was the one that got Epstein.
[00:40:41.659 --> 00:40:42.600]  I was the one that got Epstein.
[00:40:43.001 --> 00:40:45.423]  And now his daughter is the one protecting Epstein.
[00:40:45.944 --> 00:40:49.487]  Feds fight to keep Jeffrey Epstein's trove of documents secret.
[00:40:50.108 --> 00:40:54.032]  They don't want you to know who was involved in raping all of Epstein's sex slaves.
[00:40:55.998 --> 00:40:57.179]  They don't want you to know that.
[00:40:57.979 --> 00:40:59.379]  If it was Donald Trump, they would though.
[00:40:59.399 --> 00:41:00.620]  I guarantee you that.
[00:41:00.900 --> 00:41:06.423]  If it was Donald Trump, they would gladly sacrifice every single one of their operatives if it brought down Donald Trump, folks.
[00:41:07.943 --> 00:41:09.584]  Comey's daughter, Maureen Comey...
[00:41:10.518 --> 00:41:21.626]  James Comey's daughter, Maureen Comey, is the prosecutor asking for categorical withholding to keep from influencing Ghislaine Maxwell's possible retrial.
[00:41:22.106 --> 00:41:31.092]  So now it's young Comey in there keeping the Epstein document secret so that you don't know who was raping Epstein's sex slaves.
[00:41:32.433 --> 00:41:37.257]  But mark my words, if it was Donald Trump, they'd release the whole list tomorrow.
[00:41:38.690 --> 00:41:40.211]  Absolutely, ladies and gentlemen.
[00:41:40.231 --> 00:41:41.111]  They would, and you know it.
[00:41:41.551 --> 00:41:46.173]  Meanwhile, Ron DeSantis' political career is coming to a slow halt.
[00:41:46.774 --> 00:41:49.295]  His events are barely getting a hundred people at him anymore.
[00:41:49.455 --> 00:41:54.057]  It's sad, but he chose to go with the establishment conservatives.
[00:41:54.077 --> 00:41:57.878]  He chose to go with the Bush wing of the Republican Party, and so he dug his own grave, sadly.
[00:41:58.238 --> 00:41:58.439]  Great.
[00:41:58.839 --> 00:41:59.759]  I believe he's a good man.
[00:41:59.919 --> 00:42:01.440]  I believe he was a great governor of Florida.
[00:42:02.020 --> 00:42:05.483]  But now he's slept with the wrong people and so he basically has political herpes.
[00:42:05.984 --> 00:42:07.065]  And it's all over him.
[00:42:07.105 --> 00:42:07.665]  It's really sad.
[00:42:07.705 --> 00:42:08.226]  You hate to see it.
[00:42:08.646 --> 00:42:12.930]  And then there's Justin Trudeau, who comes out as gay over the weekend.
[00:42:13.871 --> 00:42:14.691]  Or, I'm sorry, never mind.
[00:42:14.711 --> 00:42:18.515]  He's just really excited to go to the Barbie movie with his straight friend.
[00:42:20.076 --> 00:42:22.779]  I mean, he divorces his wife and then he's out here with...
[00:42:24.977 --> 00:42:31.821]  Well, I don't know what that is exactly, but he's on Team Barbie, and then I just, it's just sad because that's really what the West is.
[00:42:32.802 --> 00:42:41.788]  It's people that look like clowns, and then whatever you think about the politics of the East, or Putin, or Xi Jinping, at least they're serious men, and they look like serious men.
[00:42:41.628 --> 00:42:48.327]   All right, Alex Jones coming up on the other side of this break with America's Shaman and Scott Bennett.
[00:42:48.327 --> 00:42:50.928]  And can't miss interviews here on this Sunday night.
[00:42:50.928 --> 00:43:06.128]  These are products that you really need.
[00:43:07.077 --> 00:43:11.358]  These are products that are incredible, that are now back in stock.
[00:43:12.258 --> 00:43:20.419]  And we're getting very close to being stabilized like we were financially three years ago before the lockdowns and all the problems that almost shut down InfoWars.
[00:43:20.439 --> 00:43:24.520]  Because you buy the products before, we just were sold out of most of them for sometimes years.
[00:43:25.520 --> 00:43:28.341]  The bone broth or you name it.
[00:43:29.096 --> 00:43:30.377]  But that's all back in stock now.
[00:43:30.757 --> 00:43:32.939]  And what's back in stock is Vitamin Mineral Fusion.
[00:43:33.359 --> 00:43:36.502]  And funding-wise, we're almost there where this stuff won't be sold out anymore.
[00:43:36.702 --> 00:43:38.443]  We'll just have all the staple products all the time.
[00:43:38.463 --> 00:43:39.824]  We're gonna get to that model.
[00:43:41.025 --> 00:43:44.128]  So, I need you to get products you already need that enrich your life.
[00:43:46.289 --> 00:43:49.812]  Now, Vitamin Mineral Fusion is good for your immune system, good for your whole body.
[00:43:49.832 --> 00:43:50.933]  It has everything essential in it.
[00:43:51.373 --> 00:43:51.914]  Tastes great.
[00:43:52.274 --> 00:43:52.854]  All natural.
[00:43:53.535 --> 00:43:54.075]  Discounted.
[00:43:54.235 --> 00:43:55.256]  Infowarshore.com.
[00:43:55.496 --> 00:43:56.037]  Back in stock.
[00:43:57.449 --> 00:43:58.170]  Nitric Boost.
[00:43:58.490 --> 00:44:04.275]  This wasn't even a bestseller until Dr. Mikovits pointed out that it's a great formula and it's good for cleaning your blood out.
[00:44:04.315 --> 00:44:05.256]  Well, something's going on now.
[00:44:05.276 --> 00:44:06.197]  It is one of our bestsellers.
[00:44:06.537 --> 00:44:09.240]  But this is a private label of a national bestseller already.
[00:44:09.580 --> 00:44:11.962]  So people already know the stuff that's in here is so good for your blood.
[00:44:12.382 --> 00:44:15.305]  With what's happening in the environment and all the things happening, you need this.
[00:44:15.425 --> 00:44:16.166]  So it's discounted.
[00:44:16.666 --> 00:44:19.469]  We have Christmas comes in August sale.
[00:44:21.318 --> 00:44:22.899]  Up to 60% off, double Patriot points.
[00:44:22.959 --> 00:44:26.362]  We're almost sold out of Super Female Vitality.
[00:44:27.102 --> 00:44:28.263]  We sold out of the Super Male.
[00:44:28.323 --> 00:44:29.925]  It's the same formula, just a pink label.
[00:44:29.985 --> 00:44:31.025]  So good for your libido.
[00:44:31.406 --> 00:44:32.246]  So good for your energy.
[00:44:32.286 --> 00:44:34.848]  If you want to really have something special, it's available.
[00:44:35.509 --> 00:44:36.049]  60% off.
[00:44:36.369 --> 00:44:40.652]  The water filtration, air filtration specials, and food specials is 10% off.
[00:44:40.672 --> 00:44:41.793]  We do that maybe once a year.
[00:44:42.274 --> 00:44:43.895]  There's not much markup in those.
[00:44:43.935 --> 00:44:45.356]  So 10% off is gargantuan.
[00:44:45.656 --> 00:44:46.897]  The highest rated water filters.
[00:44:46.997 --> 00:44:47.997]  Highest rated air filters.
[00:44:48.538 --> 00:44:54.240]  Already, on average, half what the leading competitors are that are the same unit.
[00:44:54.260 --> 00:44:55.740]  10% off of that, you cannot beat it.
[00:44:56.041 --> 00:44:57.281]  That's got to end in a couple days.
[00:44:57.321 --> 00:44:59.902]  The rest of the sale will continue on through the month.
[00:44:59.922 --> 00:45:01.783]  You can also just make a straight donation.
[00:45:02.884 --> 00:45:05.925]  Or it says donate at InfoWarsTore.com.
[00:45:05.945 --> 00:45:05.925]  $5, $10, $100, $1,000.
[00:45:06.206 --> 00:45:08.006]  You can sign up to do it.
[00:45:08.147 --> 00:45:08.647]  We're recurring.
[00:45:09.187 --> 00:45:10.388]  Cancel for free anytime.
[00:45:10.648 --> 00:45:12.969]  But say, hey, I want to donate $10 every month to InfoWars.
[00:45:13.269 --> 00:45:19.612]  That would be getting 95% of the money after credit card fees instead of, you know, the food or our water filter.
[00:45:20.092 --> 00:45:22.953]  With a discount of 10%, we're making 20% on it, OK?
[00:45:23.594 --> 00:45:23.954]  It's fine.
[00:45:23.974 --> 00:45:24.774]  We sell a ton of it.
[00:45:24.794 --> 00:45:25.555]  We give you the best deal.
[00:45:26.716 --> 00:45:29.759]  Infowarsstore.com or 888-253-3139.
[00:45:29.779 --> 00:45:30.140]  888-253-3139.
[00:45:30.220 --> 00:45:36.807]  Colloidal Silver.
[00:45:36.847 --> 00:45:37.848]  Sold out in three years.
[00:45:38.088 --> 00:45:38.949]  Top lab in the country.
[00:45:38.969 --> 00:45:39.610]  We're a private label.
[00:45:39.650 --> 00:45:42.453]  It's so good to have your medicine cabinet topically, internally.
[00:45:42.573 --> 00:45:43.394]  It's just incredible.
[00:45:44.014 --> 00:45:45.136]  Infowarsstore.com.
[00:45:45.336 --> 00:45:45.936]  It's 30% off.
[00:45:47.558 --> 00:45:51.660]  So take action now for the incredible coverage you just saw the last hour.
[00:45:52.060 --> 00:45:54.841]  You're financing saving the children's future.
[00:45:55.041 --> 00:45:59.503]  You're financing exposing the next lockdown, stopping the globalist program and deadness tracks.
