[00:00:00.209 --> 00:00:02.813]  What I do is I wait and I watch.
[00:37:13.301 --> 00:37:13.501]  5G.
[00:37:14.322 --> 00:37:15.803]  Regardless, what's that?
[00:37:15.923 --> 00:37:16.764]  Oh, yeah, 5G.
[00:37:16.864 --> 00:37:17.184]  Well, yeah.
[00:37:17.204 --> 00:37:21.868]  And what's really interesting about that is that let's talk about this death matrix for a second.
[00:37:22.583 --> 00:37:43.306]  Because it is what the death matrix is actually trying to cover up the divine matrix, what I call the divine matrix, which is based on understanding of sacred geometry, understanding of the nature of cymatics in the universe, the nature of our bodies and how they are interconnected or quantum entangled to all of creation.
[00:37:44.046 --> 00:38:12.323]  So that's the divine matrix and we could go into that a little more deeply later but the point is is that they these less than one percenters are trying to use their death matrix of anthropogenic chemicals which are man-made chemicals that don't biodegrade but instead they bioaccumulate in the ecosystem to toxic levels and they destroy the microbiological life in the water the air and the soil okay and they basically make ecosystems unlivable it creates what's called ecocide and mass extinctions.
[00:38:13.058 --> 00:38:18.140]  They are also using propaganda to control the minds.
[00:38:18.160 --> 00:38:20.781]  They are also using electromagnetic frequencies, 5G.
[00:38:21.081 --> 00:38:22.322]  They are using Wi-Fi.
[00:38:22.382 --> 00:38:36.808]  They are using all sorts of invisible frequencies, piggybacking in pop culture music or movies, backmasking, subliminal messaging, these kinds of things.
[00:38:37.828 --> 00:38:52.829]   They are also using things like The Child and Human Trafficking Networks, 40 million slaves to keep the consciousness suppressed, to keep enough fear, pain, suffering in the grid, in the electromagnetic grid system of the planet itself.
[00:38:53.409 --> 00:39:01.799]  What they're doing to these kids, we've talked about, you know, I'm sure you know about Ronald Bernard, the Dutch international banker that blew the whistle on the satanic rings of child sacrifice.
[00:39:02.259 --> 00:39:05.063]  I'm sure you know about the Franklin cover-up and Lawrence King.
[00:39:05.343 --> 00:39:11.451]  I'm sure you know about Michael Aquino, the Lieutenant Colonel who was a Satanist and the founder of Temple Lissette and all the things he was accused of.
[00:39:11.872 --> 00:39:13.354]  I'm sure you know about Barney Frank.
[00:39:13.394 --> 00:39:14.736]  I'm sure you know about Jeffrey Epstein.
[00:39:14.756 --> 00:39:19.482]  I'm sure you know about the Finders and the FBI and, you know, everything that happened there.
[00:39:21.132 --> 00:39:25.774]  And the UN and DynCorp and how they're all, you know, connected to child and human trafficking.
[00:39:26.935 --> 00:39:30.837]  All of these things are interconnected, and this is all part of the death matrix.
[00:39:31.117 --> 00:39:42.223]  And the idea here is to use the pollution, to use the propaganda, to use the electromagnetic frequencies, to use this slave trade, and to use the financial system.
[00:39:42.791 --> 00:40:10.566]  To cover up this divine matrix and create a matrix of full spectrum dominance for these less than one percenters in which they can play God, in which they can essentially control our minds and therefore control the land, the waters, the seas, the air and the airspace, the subterranean, deep underground military bases, extraterrestrial or like space and satellites, chemical and biological agents and technology.
[00:40:11.129 --> 00:40:20.034]  So through the creation of this death matrix, through the creation of full spectrum dominance within this system that they control, they've monopolized all of our resources.
[00:40:20.374 --> 00:40:22.575]  They have monopolized our currency systems.
[00:40:22.915 --> 00:40:24.996]  They have monopolized all of our labor.
[00:40:25.277 --> 00:40:30.359]  And in this way, they've acted like our global enslavers in one way or another.
[00:40:30.439 --> 00:40:35.262]  But you can't enslave a mind that's already free.
[00:40:35.642 --> 00:40:38.624]  You know, you can't take the trousers off of a bare ass.
[00:40:39.144 --> 00:40:39.844]  You know what I'm saying?
[00:40:41.698 --> 00:40:44.799]  They can't take from us what is given to us by God.
[00:40:44.859 --> 00:40:46.300]  We can only surrender it.
[00:40:46.380 --> 00:40:50.281]  That's why these propaganda campaigns are so intense.
[00:40:50.721 --> 00:40:59.064]  That's why the symbolism in Saturn worship and all that stuff is so intense, because we have to willingly give over our sovereignty.
[00:40:59.104 --> 00:41:01.045]  We have to willingly give over our Godhood.
[00:41:01.085 --> 00:41:07.427]  And that's why we see headlines out of the New York Times, Washington Post, CNN saying, don't ask questions, asking questions is bad.
[00:41:07.807 --> 00:41:09.508]  Well, that's antithetical to common sense.
[00:41:10.468 --> 00:41:11.949]  Science is not asking questions.
[00:41:11.989 --> 00:41:13.050]  No, that's the opposite of science.
[00:41:13.451 --> 00:41:20.076]  Everything they're saying is a straight-up lie, but they need us through laziness, not facing the truth, to accept the delusion.
[00:41:20.356 --> 00:41:26.561]  And then once you shift your mind into buying the delusion, you've shifted into their paradigm to then receive even greater delusions.
[00:41:28.382 --> 00:41:28.662]  Right.
[00:41:28.763 --> 00:41:34.807]  Now let's go back to this notion of what you were saying about like the double-slit experiment and the power of manifestation and the observer effect.
[00:41:35.328 --> 00:41:48.703]   So, People like Klaus Schwab want everybody to believe that in the future we're all going to wear uniforms, we're all going to live in 15-minute cities, that we're all going to own nothing and like it, and everybody's going to eat bugs, right?
[00:41:49.143 --> 00:42:09.311]   What he and all these globalists are doing, especially through the They're creating a false Oberton window of you'll own nothing, have nothing, eat bugs, drink sewage, and wear uniforms, and you'll no longer have your own home or have a car to create the idea of a dystopia to enter into our minds that it's a foregone conclusion because we actually manifest what we build and what we believe made the image of God.
[00:42:09.672 --> 00:42:17.634]  So they begin to enslave our mind to believe that dystopia and not believe and build something far better.
[00:42:18.434 --> 00:42:20.255]  I said this over and over again in my new book, The Great Awakening.
[00:42:20.635 --> 00:42:26.020]  We can't, it's coming out soon, we can't just attack their system, we have to build the alternative.
[00:42:27.902 --> 00:42:29.663]  A hundred percent correct.
[00:42:30.103 --> 00:42:32.424]  And the only way we can do that is through non-violence.
[00:42:32.444 --> 00:42:37.487]  The only way we can do that is through basically making our old system of full-spectrum dominance completely obsolete.
[00:42:38.147 --> 00:42:40.148]  So, let's talk about this.
[00:42:40.168 --> 00:42:41.229]  Well, let's go back to Klaus Schwab.
[00:42:41.289 --> 00:42:41.869]  I interrupted.
[00:42:41.929 --> 00:42:43.190]  Finish your point in your own words.
[00:42:43.470 --> 00:42:47.312]  I know I wanted to not show off that I knew the answer, but to show that we're on the same page.
[00:42:47.372 --> 00:42:50.614]  That's because it's inherent, you know, prima facie truth.
[00:42:50.654 --> 00:42:52.615]  But go back to what Schwab wants us to believe.
[00:42:54.181 --> 00:43:05.290]  Well, but you made the point for me, and that is that he is trying to inform or form in our minds his view of reality so that they can hijack our creative ability, so they can hijack our observer effect.
[00:43:05.590 --> 00:43:09.794]  He's trying to put in our minds his view of the future that he wants.
[00:43:10.214 --> 00:43:16.238]  And in the process, you got a lot of people that are reacting based on emotion and really upset about this idea.
[00:43:16.539 --> 00:43:22.543]  But in a sense, by reacting through anger and being upset, you're already reinforcing his view of reality.
[00:43:22.583 --> 00:43:26.786]  What we should be doing is laughing our asses off at this guy.
[00:43:27.246 --> 00:43:28.667]  We should be laughing at him.
[00:43:29.047 --> 00:43:34.711]  Oh, you really think that everybody's going to wear uniforms, eat bugs, live in 15-minute cities, and own nothing and like it?
[00:43:34.932 --> 00:43:36.913]  Yeah, good luck with that, buddy.
[00:43:37.313 --> 00:43:38.214]  Good luck with that.
[00:43:38.774 --> 00:43:48.476]   And so, Now let's talk really quick because this does kind of play into the World Economic Forum, the Bilderberg Group, and things like the Council on Foreign Relations, the IMF, and stuff like that.
[00:43:49.596 --> 00:44:02.502]  So, all of our capital buildings here in the United States, and probably all over the world, but especially in Washington, D.C., but all of the capital buildings in the United States are all built on electromagnetic ley lines.
[00:44:03.078 --> 00:44:03.398]  Okay.
[00:44:03.778 --> 00:44:06.240]  These are electromagnetic lines that are on the Earth.
[00:44:06.280 --> 00:44:08.041]  They run over the surface of the Earth.
[00:44:08.361 --> 00:44:16.065]  They're a manifestation of the electromagnetic field that surrounds the planet, as well as going all the way down to the core of the planet.
[00:44:16.185 --> 00:44:32.934]   So, where these things crisscross on the planet itself, where it is that they intersect, this is where we see things like pyramids, obelisks, ancient temples, and Our modern cities like the Vatican or the London Palace or Washington DC or state capitals.
[00:44:33.795 --> 00:44:37.938]  Now, what is it that these people are doing in these buildings?
[00:44:38.518 --> 00:44:44.102]  What they are doing is they are using words or code to create law.
[00:44:45.023 --> 00:44:52.908]  Now, the law is telling us what we can buy, what we can sell, what is legal, what is illegal.
[00:44:53.709 --> 00:44:55.929]   Now, Think about that for a second.
[00:44:56.009 --> 00:44:57.390]  That's going to end up affecting what?
[00:44:57.490 --> 00:44:59.932]  Our thoughts, our emotions, and our behavior.
[00:45:00.392 --> 00:45:21.527]  So in this way, because these less than one percenters have used not only lawfare, but also these buildings that are built on the electromagnetic ley lines of the planet, they are essentially using these buildings almost like they're circuits in a machine to control and affect our collective consciousness, to control and affect our thoughts and our emotions.
[00:45:22.242 --> 00:45:27.846]  Our hearts, our minds, and therefore in one way or another kind of attempting to enslave our very soul.
[00:45:28.427 --> 00:45:40.696]  Now, let's talk really quick about how a computer works and then we're going to bring it back to this idea of how it is that these capitals being built on ley lines is like a Trojan horse or a virus in a computer.
[00:45:41.704 --> 00:45:49.871]  So a computer works based on the idea of plugging a computer in and you're moving electricity through the conductors in the circuit board.
[00:45:49.931 --> 00:45:58.559]  So you plug it into the wall, the electricity goes into the computer, it goes into these conductors in the circuit board, and it goes in them over and over and over and over again.
[00:45:58.999 --> 00:46:28.916]   And as it creates that feedback loop, Going through all these conductors going through all these chips as it goes through it over and over and over again It ends up creating a pattern now that pattern and what that looks like can be affected or or changed through algorithms or mathematics and then through the algorithm you can end up changing the pattern in that computer and that that electrical pattern now that electrical pattern manifests as ones and zeros and
[00:46:29.565 --> 00:46:34.671]  Code then those ones and zeros are then placed on the computer screen.
[00:46:35.272 --> 00:46:37.875]  Okay, and that's how it is that we are able to work with it.
[00:46:38.095 --> 00:46:41.279]  We were able to change the code based on, you know, strokes on a keyboard.
[00:46:41.960 --> 00:46:48.548]  And if we will come back to this notion of computers in a little bit when we talk about human consciousness now.
[00:46:49.759 --> 00:47:04.436]  Let's think about how this relates to human civilization, because these Capitol buildings are built on electromagnetic ley lines that are channeling the electromagnetic field of the Earth, channeling the energy of the universe, kind of like the computer is getting electricity from the wall.
[00:47:05.411 --> 00:47:23.608]  And in the process, as they're in these buildings creating this code, creating this lawfare, what they're doing is they're essentially acting like a computer virus because what their laws are doing, what their code is doing, is it is reinforcing this death matrix.
[00:47:24.048 --> 00:47:39.717]  Similar to how a virus can get into a computer and change the algorithm and divert all of the energy that's being moved through the computer to like 1% of the computer's hardware and thus slowing the computer down dramatically.
[00:47:40.367 --> 00:47:43.009]  You can do the same thing with human civilizations.
[00:47:43.369 --> 00:47:48.473]  So what has happened is that these people in these buildings, they have created really bad code.
[00:47:48.493 --> 00:47:50.475]  They've acted like a Trojan horse or a virus.
[00:47:50.755 --> 00:47:56.980]  And now they're using all of our work, all of our time, all of our energy, all of our labor, all of our money.
[00:47:57.961 --> 00:48:01.503]  And then they are diverting it to less than 1% of the population.
[00:48:02.524 --> 00:48:07.528]  And they're diverting it to the reinforcement of this illusion of separation.
[00:48:08.326 --> 00:48:11.427]  And in the process, we are destroying the planet.
[00:48:11.847 --> 00:48:16.549]  We are exponentially polluting our ecosystems, our water, our air, our food, our soil.
[00:48:17.129 --> 00:48:26.352]  We are exponentially increasing the amount of negative low frequency electromagnetic waves that are just bathing the planet every day.
[00:48:27.012 --> 00:48:29.132]  We are going to war with each other.
[00:48:29.432 --> 00:48:31.953]  There are still children all over the world that are starving.
[00:48:31.973 --> 00:48:37.695]  There are still children all over the world and adults that are in the human and child sex trafficking slave trade.
[00:48:38.445 --> 00:48:46.650]  We are basically playing the fiddle while Rome burns as we watch, you know, the football game and drink a beer.
[00:48:46.730 --> 00:48:47.170]  Oh, sorry.
[00:48:47.270 --> 00:48:48.211]  I'm sorry about the language.
[00:48:48.511 --> 00:48:53.033]  And drink a beer and forget about our problems.
[00:48:53.173 --> 00:48:58.776]  And we're in debt, in some cases, tens of thousands or hundreds of thousands of dollars.
[00:48:59.337 --> 00:49:07.145]   So in this way, These individuals in these buildings, they have acted like a Trojan horse of sorts.
[00:49:07.425 --> 00:49:10.528]  They are serving less than 1% of the population.
[00:49:11.049 --> 00:49:16.595]  Now, if we go back to this notion of free energy, Tesla Tower technology, what is that doing?
[00:49:16.635 --> 00:49:22.781]   What that's doing is that is literally redistributing the power or the energy To the people.
[00:49:23.081 --> 00:49:28.502]  It is creating a whole new decentralized system that will render the old system obsolete.
[00:49:28.822 --> 00:49:39.804]  That will basically get rid of the computer virus and allow the energy that was originally intended for the whole computer to reach all of the parts, all of the hardware in the computer.
[00:49:40.124 --> 00:49:53.447]   So if our brains and our DNA and our bodies are like hardware or like an antenna sending and receiving the signal with non-local consciousness, then in one way or another We are actually kind of coming back to this, like, idea of manifestation.
[00:49:54.507 --> 00:50:10.872]  We are actually, like, able to stroke the keyboard and affect the matrix, the divine matrix of reality, and through the observer effect, through the power of manifestation, we are able to manifest realities in the third dimension.
[00:50:11.454 --> 00:50:16.476]  You see, we are hyper-dimensional beings that are able to perceive future timelines.
[00:50:16.496 --> 00:50:20.038]  That's the only way we can get up and walk across the room and get a glass of water.
[00:50:21.098 --> 00:50:25.580]  Because we have the ability to see in our minds, the, oh, I'm thirsty, I'm gonna go get water.
[00:50:25.640 --> 00:50:35.064]  So you move your three-dimensional body through the fourth dimension of time to this fifth dimensional reality that you imagined 10 seconds ago, where you're thirsty and you went up and you got some water.
[00:50:35.905 --> 00:50:39.899]   So, This is why I bring up this whole thing about Klaus Schwab.
[00:50:40.079 --> 00:50:51.983]  It's the reason why I bring up this whole idea of how they're trying to hijack our minds, how they are trying to control our thoughts and our emotions, what we may buy, what we may sell, what's illegal, what's legal, etc.
[00:50:52.844 --> 00:51:06.769]  Because they're intentionally attempting to divert all of our energy, all of our thoughts, all of our emotions, all of our labor, all of our money, all of our hard work toward serving them.
[00:51:07.435 --> 00:51:15.198]  The less than 1% and they are less than 1% and they are trying to use their propaganda machine as a means of controlling our consciousness.
[00:51:15.218 --> 00:51:29.923]  They're trying to use the death matrix as a means of subverting human consciousness because when individuals like yourself Alex or myself or other people whether it be Joe Rogan or whoever start to blow the lid off of the illusions that have been created.
[00:51:30.689 --> 00:51:34.514]  Well, then you become a threat to the full-spectrum dominant system.
[00:51:34.535 --> 00:51:37.779]  You become a threat to... Absolutely, and I want you to continue.
[00:51:37.819 --> 00:51:39.541]  This is ribboning and totally on target.
[00:51:39.582 --> 00:51:40.343]  I totally agree with you.
[00:51:42.321 --> 00:52:14.442]   But let's talk about just the temporal level of the awakening we're seeing, and I'm not trying to name drop, doesn't matter, but I talked to, on the phone with Joe yesterday, we were talking about the Great Awakening and how red-pilled he is, and now he totally sees it, and he's like, you're right about everything, I can't believe it, it's incredible, and you see that on air, so he's accelerating his awakening, and he's somebody that's not been spiritual, because he's all about what he can prove, what he can see, now he's having guests on about God, and how God exists, and consciousness, and good and evil, and so, A lot of Christians will sit there and be what Christ spoke out against.
[00:52:14.722 --> 00:52:26.187]  Like Pharisees, very likely, you're not perfect or you're not that, but there was Christ with the prostitutes, the money changers, and the tax collectors, because they were the ones that weren't holier than thou that he could actually get the full truth to.
[00:52:27.227 --> 00:52:37.591]  And so, that's why my show's been able to wake so many people up that actually find God and find Christ, is because I'm not beating them over the head, I'm not putting on an act like I'm perfect, but I know this is real.
[00:52:38.751 --> 00:52:56.621]   I've experienced Spiritual attack, and I know the name of Christ is the most powerful name, but regardless, this awakening, call it spiritual, whatever you want, is an awakening to the larger universe, and the fact that we only see a very narrow spectrum, and hear a very narrow spectrum, and feel a very narrow spectrum
[00:52:56.942 --> 00:53:01.902]   physically of what there is, and that obviously they admit they're trying to keep us shuttered
[00:53:01.902 --> 00:53:05.981]   under their control, and they're aware of this knowledge, and using it against people
[00:53:05.981 --> 00:53:10.380]   to our detriment instead of empowering them, and that they are very fearful right now,
[00:53:10.380 --> 00:53:15.581]   and know that we're breaking free. So they may physically destroy some of us on the front lines,
[00:53:15.581 --> 00:53:18.460]  but in the end that is only accelerating the awakening.
[00:53:18.569 --> 00:53:29.194]  So give me your view on the cultural, economic, political, spiritual level, if this was a football game, or use another analogy, if you'd like, Jake, of where we are.
[00:53:31.376 --> 00:53:48.005]   Okay, so you're right when you're saying about like, we're perceiving less than 1% of the electromagnetic spectrum, and what these global New World Order One World Government types are trying to do these less than one percenters is keep us confined in that less than one percent.
[00:53:48.045 --> 00:53:52.288]  This is part of why I practice shamanism and I believe that Christ was the ultimate shaman.
[00:53:52.748 --> 00:53:53.049]  Okay.
[00:53:53.409 --> 00:53:57.651]  So it's about understanding all of this sacred knowledge and using it for good.
[00:53:58.252 --> 00:54:01.894]  Using it as a means to create positive timelines, not negative ones.
[00:54:02.294 --> 00:54:11.200]  So if you have these people on these ley lines in these buildings, creating lawfare, creating bad code that is creating negative timelines.
[00:54:11.480 --> 00:54:26.255]  Then they're essentially hijacking not just these ley lines, not just the electromagnetic field of the planet, not just the matrix, the divine matrix by using this bad code, but they're also affecting our minds and keeping us within this narrow bandwidth.
[00:54:26.656 --> 00:54:33.463]  Now, as our consciousness expands, our third eye, our pineal gland, is like a pine cone and it opens.
[00:54:33.843 --> 00:54:39.686]  And as it opens, so too does our electromagnetic field or our consciousness field expand beyond our bodies.
[00:54:39.786 --> 00:54:45.529]  That's why David Icke, when he was in Peru and had that psychic experience and got the downloads, it was like the top of his head blew off.
[00:54:45.549 --> 00:54:48.091]  The same thing happened to me several times in my life.
[00:54:48.731 --> 00:54:54.854]  But the biggest one was when I was on air about two years, I've been on air about 27 years, and it was like the top of my head blew off.
[00:54:55.214 --> 00:55:02.013]   Or it's like that Gnarls Barkley song about once he goes crazy, There's such a big echo and so much space.
[00:55:02.073 --> 00:55:03.273]  It's like you've been here.
[00:55:05.634 --> 00:55:05.894]  Right.
[00:55:06.054 --> 00:55:08.135]  You realize your infinite eternal self.
[00:55:08.555 --> 00:55:10.416]  You become one with all things.
[00:55:10.876 --> 00:55:16.758]  And when you're in that state of consciousness, an enlightened person is not a profitable person.
[00:55:16.798 --> 00:55:17.619]  Because guess what?
[00:55:17.659 --> 00:55:19.799]  They don't care about material possessions.
[00:55:19.839 --> 00:55:21.660]  They care about spiritual wealth.
[00:55:22.641 --> 00:55:30.507]  And so, if you don't care about making a dollar, but you do care about making a difference, then it's really hard for these less than one percenters to control you.
[00:55:31.188 --> 00:55:38.333]  And that's why I have taken the position that I have on this notion of monetary gain regarding a lot of things in my life.
[00:55:38.894 --> 00:55:45.399]  Because if you put money first, as opposed to God first, then you end up worshipping the wrong master.
[00:55:45.419 --> 00:55:48.321]  Well, I totally agree with you, but I want to talk about balance to this.
[00:55:48.621 --> 00:55:50.583]  This is really an important point that I never get into.
[00:55:51.568 --> 00:55:56.892]  I never even cared about money until I realized it was a symbol of energy to be able to do what I want.
[00:55:57.252 --> 00:56:05.218]  But if I can be controlled as if it is the highest thing on my hierarchy of needs, and then I'll just simply sell out for that, then it's a bad thing.
[00:56:05.278 --> 00:56:20.029]   But if I don't sell out, do the right thing, and then accumulate wealth to help others, and build up systems outside the enemy, because they want to keep us poor and control us, Then that puts the physical third dimension together with the higher dimensions, and now we can basically do anything.
[00:56:20.210 --> 00:56:28.717]  You can't just like Oprah Winfrey, imagine something and then manifest a nuclear reactor, or manifest a jet airplane, or manifest a Beethoven symphony.
[00:56:29.018 --> 00:56:34.657]   There's got to be a lot that his ancestors, this training, the building, his connection, becoming deaf,
[00:56:34.657 --> 00:56:40.177]   then going to the next level of actually hearing vibrationally to then take it to another dimension.
[00:56:40.177 --> 00:56:42.338]  So there's got to be all the pieces there.
[00:56:42.338 --> 00:56:46.097]   But then we have the pieces now and are at this historic jump point.
[00:56:46.097 --> 00:56:49.418]   So do you get my point about we shouldn't run from resources?
[00:56:49.418 --> 00:56:53.896]   We should create our own systems and develop resources not for the worship of resources,
[00:56:53.896 --> 00:56:58.458]  but for the use of them in building a better world?
[00:56:58.458 --> 00:57:03.456]   Absolutely, and that's why I advocate so heavily for Tesla Tower Technology and Dr. Reif and his machine.
[00:57:03.474 --> 00:57:10.363]  Because if we look into what will happen when we create these Tesla Towers, number one, we'll create a decentralized energy grid.
[00:57:10.683 --> 00:57:13.167]  Number two, we'll create a decentralized communication grid.
[00:57:13.487 --> 00:57:16.369]  Number three, we'll end up being able to influence agriculture.
[00:57:16.709 --> 00:57:19.732]  We'll be able to clean up the pollution and the geoengineering.
[00:57:20.152 --> 00:57:27.577]  We will be able to use these electromagnetic ley lines in these towers to create a new supply chain and a new transportation grid.
[00:57:28.338 --> 00:57:32.321]  We will also revolutionize medicine if we use Dr. Rife's machine.
[00:57:32.341 --> 00:57:33.522]  Well, let me raise that point.
[00:57:33.542 --> 00:57:35.243]  So we have to create a new system.
[00:57:35.643 --> 00:57:40.824]  Plato, who most of what he said has been found to be true, he was a philosopher and historian, the father of it.
[00:57:41.544 --> 00:57:46.966]  He said Atlantis was real and they had towers and a power that let flying machines go everywhere, but it blew up.
[00:57:47.306 --> 00:57:48.906]  From your deep research, what do you think?
[00:57:49.246 --> 00:57:55.388]  Did Atlantis exist or was it a psychic peeing into the future that we're building in Atlantis that's dangerous?
[00:57:57.438 --> 00:58:42.320]   No, what I think happened with Atlantis, and if you look into the work of Graham Hancock and his book, Magicians of the Gods, and all of his other research, then you will find that out in the middle of the Atlantic Ocean and out in the middle of the Pacific Ocean, during the Ice Age, because there was so much ice and water up near the North Pole, there was so much More land exposed and when a comet broke up in outer space and smashed into the ice sheet it created literally oceans worth of water not just dumping all over the surface of the planet but also shooting millions upon millions of gallons of not just water but soot and mud up into the upper atmosphere and this is where we get into things like black rain and stuff like that.
[00:58:42.380 --> 00:58:50.640]   Now the reason why I think this happened is because Atlantis was almost like at the end of a golden age of sorts.
[00:58:51.060 --> 00:58:54.984]  It was when all this sacred knowledge began to become perverted.
[00:58:55.424 --> 00:59:09.616]  So they understood the ley lines, they understood the power of thought and emotion, they understood the power and the role of energy frequency and vibration in human civilization, and they created a society that was based on embodying this divine truth.
[00:59:09.936 --> 00:59:15.181]   But eventually what ended up happening is that it became It fell to priestcraft.
[00:59:15.461 --> 00:59:18.664]  And then they started doing things like child and human sacrifice.
[00:59:18.944 --> 00:59:23.548]  And this isn't, I don't think this is in Graham Hancock's book, but this is my contention.
[00:59:23.588 --> 00:59:25.670]  This is what I've come to believe.
[00:59:26.071 --> 00:59:32.216]  That they ended up doing things like child and human sacrifice at these sacred sites, at these pyramids, on the ley lines.
[00:59:32.496 --> 00:59:34.118]  And they were doing it so heavily.
[00:59:34.736 --> 00:59:44.490]  That it ended up creating such a low frequency state of fear and pain and suffering on the planet that their karma came back to bite them in the ass.
[00:59:45.131 --> 00:59:49.538]  And this comet slammed into the ice sheet and just wiped everything clean.
[00:59:50.098 --> 00:59:54.061]  And we are like the inheritors of this lost civilization.
[00:59:54.081 --> 01:00:01.045]  That's why we look around us and we see all these massive buildings like the pyramids, like not just in Egypt, but like in China or in Boston.
[01:00:01.065 --> 01:00:01.886]  I mean, they're everywhere.
[01:00:01.906 --> 01:00:08.670]  And also we have an epigenetic memory when we see all the technology or see science fiction, it does, it seems like we're home.
[01:00:08.730 --> 01:00:09.691]  It's like, well, I know this.
[01:00:11.704 --> 01:00:12.044]  Yes.
[01:00:12.584 --> 01:00:18.307]  So what happened is that they got to a point where they started to worship themselves and not God.
[01:00:18.607 --> 01:00:26.750]  They got to a point to where they were attempting to use this knowledge for power for themselves, for selfish reasons and purposes.
[01:00:27.270 --> 01:00:34.693]  And in the process, their karma ended up coming back at them and it just wiped everything clean and we had to start over.
[01:00:35.013 --> 01:00:39.475]  I mean, if you look in the Mahabharata... So you don't think it was some type of free energy machine exploding or a war?
[01:00:39.895 --> 01:00:41.376]  From your research, you think it was a comet?
[01:00:43.035 --> 01:00:45.176]  Oh yeah, I'm quite certain it was a comet.
[01:00:45.196 --> 01:00:46.097]  And it happened twice.
[01:00:46.157 --> 01:00:47.718]  It happened in the span of 2,000 years.
[01:00:48.098 --> 01:00:53.961]  It happened once, I think, 12,000 years ago, right around the time that Gobekli Tepe was made and buried.
[01:00:54.302 --> 01:00:57.243]  And then it happened again another 1,000 years later.
[01:00:57.944 --> 01:01:00.765]  And so it just reset everything.
[01:01:01.045 --> 01:01:06.909]  And if you, like I said, just look into the work of Graham Hancock and you will be amazed at the things that he's uncovered.
[01:01:06.929 --> 01:01:12.332]  What ancient culture do you think has the most accurate history analysis of what happened?
[01:01:15.677 --> 01:01:16.677]  Well, you mean during the flood?
[01:01:17.418 --> 01:01:26.120]  Well, just of the cultures we know of, of the Egyptians, the Babylonians, the, you know, the folks that were in Babylon, of all those groups, which one from the history do you think is the most accurate?
[01:01:28.021 --> 01:01:33.463]  Well, they all kind of are saying the same thing, and what I've found is that it's kind of like the telephone game.
[01:01:33.663 --> 01:01:39.965]  As they go throughout history, the story changes just a little bit and then ends up getting more and more distorted as time goes on.
[01:01:41.166 --> 01:01:57.070]  I would say that if you look into all shamanic cultures all over the planet, whether it be the aborigines in Australia, the Native Americans here in the United States, whether it be the ancient Mongolians or the Africans, the Europeans, they all have stories of the flood.
[01:01:57.670 --> 01:01:59.290]  They all have stories of the flood.
[01:02:00.131 --> 01:02:02.051]  And they all have their own.
[01:02:02.131 --> 01:02:10.273]  It all kind of actually comes down to this idea that God decided to save one man or one family and allow them to repopulate the earth.
[01:02:10.982 --> 01:02:32.996]   Um, so I think that I think that the truth about reality And the spiritual nature to our existence has been known for millennia, but it has been kept to a very tightly knit group of quote-unquote elite families or royal families and bloodlines.
[01:02:33.416 --> 01:02:37.398]  And this is the knowledge that they are trying to keep from dispensing to the public.
[01:02:37.458 --> 01:02:44.340]   These are the floodgates they're trying to hold back because coming back to this idea of collective consciousness, And energy frequency and vibration.
[01:02:44.861 --> 01:02:51.802]  Once this knowledge makes its way into the collective consciousness stream, then the death matrix dissolves.
[01:02:52.182 --> 01:02:54.003]  That there's nothing that they can do.
[01:02:54.463 --> 01:02:57.324]  There's nothing that they can, nothing can stop what's coming.
[01:02:57.604 --> 01:02:59.144]  It's like a global flood of sorts.
[01:02:59.224 --> 01:03:05.646]  Except it's like what Jesus said about the wisdom of God will fill the land as water fills the sea.
[01:03:06.106 --> 01:03:10.267]  The lion will lie down with the lamb and there will be no more killing or destroying.
[01:03:11.141 --> 01:03:13.144]  And that is, I think, what he saw.
[01:03:13.204 --> 01:03:14.445]  He saw the future, man.
[01:03:14.986 --> 01:03:17.388]  You know, and I believe that is coming.
[01:03:17.449 --> 01:03:20.172]  I believe we are creating a new heaven on earth as we speak.
[01:03:20.532 --> 01:03:23.776]  This is the most exciting time we possibly could have picked to be alive.
[01:03:24.032 --> 01:03:27.192]   The ancients pointed at this time as like, I want to be alive right there.
[01:03:27.192 --> 01:03:30.672]   I want to see what's going to happen there because we're coming out of this
[01:03:30.672 --> 01:03:35.912]   very dark night of the collective soul and into a collective awakening, into
[01:03:35.912 --> 01:03:40.112]   an awakening to all this stuff that has been suppressed for millennia and has
[01:03:40.112 --> 01:03:43.792]  been kept for a very specific group of families.
[01:03:43.792 --> 01:03:48.192]   And that's why they go after people that are exposing these, these truths.
[01:03:48.192 --> 01:03:50.271]  Keep going.
[01:03:50.271 --> 01:03:52.911]  Okay, sure.
[01:03:53.071 --> 01:03:55.472]  So look at it like this.
[01:03:55.472 --> 01:04:05.471]  [BLANK_AUDIO]
[01:03:56.978 --> 01:04:15.726]  If human beings are the grains of rice on the speaker and the electromagnetic field around the earth is the speaker, I mean, is the frequency of the speaker, then that electromagnetic field around the earth is actually connected to all the planets in the solar system and the electromagnetic field of the sun.
[01:04:16.246 --> 01:04:18.927]  Now, this comes into this idea of Saturn, okay?
[01:04:19.645 --> 01:04:26.308]  And Saturn is a very strong presence, though it is not the strongest presence in the solar system, but it is a very strong presence.
[01:04:26.889 --> 01:04:35.413]  Now, through symbolism, right, we have been inundated with symbols for Saturn.
