[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[00:51:31.323 --> 00:51:32.643]  They could take Taiwan.
[00:51:32.643 --> 00:51:37.164]  And we've got all these refugees all over Europe from these terrible trade deals that we've made.
[00:51:37.164 --> 00:51:39.365]  We've got all these immigrants storming into our border.
[00:51:39.365 --> 00:51:42.466]  Many of them, I think, are of this persuasion.
[00:51:42.466 --> 00:51:47.527]  They could just activate the sleeper cells in our country and all across Europe if we tried to fight against it.
[00:51:47.527 --> 00:51:47.947]  What do you think?
[00:51:48.527 --> 00:51:49.929]  No, I think all of that's accurate.
[00:51:49.929 --> 00:51:57.917]  I think a lot of this does have to do with the death or the reorganization of the world economy post-petrodollar.
[00:51:57.917 --> 00:51:59.979]  I mean, I think that's fairly obvious.
[00:51:59.979 --> 00:52:04.423]  In fact, you know, a lot of these things are being done sort of out in the open from Reuters.
[00:52:04.423 --> 00:52:08.768]  Arab League chief heads to Moscow for talks after Hamas attack on Israel.
[00:52:08.768 --> 00:52:09.409]  So you've got the Arab
[00:52:10.189 --> 00:52:16.995]  League Chief Ahmed Abul Geet heading to Moscow on Sunday for talks with Russian Foreign Minister Lavrov.
[00:52:16.995 --> 00:52:26.603]  And, you know, from the war in Syria, I mean, the fact is that, like, we're both on the cusp of World War III and have kind of been in World War III for the last, like, ten years.
[00:52:26.603 --> 00:52:34.149]  I mean, with Syria and the help they've gotten from Russia and the, you know, continuing attacks against them from either America or Israel,
[00:52:35.470 --> 00:52:37.791]  This is all a snowball rolling downhill.
[00:52:37.791 --> 00:52:51.036]  Now might be a good time to go to this video that I'm sure a lot of our audience has seen before, but in case you haven't, this is a stark warning against falling for what some of the crew is bringing up there.
[00:52:51.036 --> 00:52:54.837]  People like Nikki Haley saying now's the time we have to get into war with Iran.
[00:52:54.837 --> 00:53:02.060]  The military-industrial complex has been salivating over the idea of war with Iran for the last 20 years, no less.
[00:53:03.658 --> 00:53:15.445]  And General Wesley Clark, back in 2003, made this statement saying that they, the US military, was planning on actually invading seven countries in five years.
[00:53:15.445 --> 00:53:23.249]  A very famous clip, but it's good to keep this in mind as you hear people beating the war drums in really disturbingly flippant ways.
[00:53:23.249 --> 00:53:27.632]  I mean, they're just like, we just gotta go to war with Iran, as if that's just like, we'll just do it and everything will be fine.
[00:53:27.632 --> 00:53:29.232]  It's absurd, and I mean,
[00:53:31.488 --> 00:53:36.509]  What Biden has done by, essentially you have like a playground scuffle.
[00:53:36.509 --> 00:53:37.410]  America's the teacher.
[00:53:37.410 --> 00:53:38.290]  We run everything, right?
[00:53:38.290 --> 00:53:39.590]  I mean, America runs everything.
[00:53:39.590 --> 00:53:41.731]  We are the top dog in the world still to this day.
[00:53:41.731 --> 00:53:44.211]  China's making moves, but it's America still.
[00:53:44.211 --> 00:53:48.833]  And instead of being like the teacher coming in and separating the kids going, all right, we're going to settle this peacefully.
[00:53:48.833 --> 00:53:50.133]  I'm not going to let you two fight.
[00:53:50.133 --> 00:53:51.813]  First one to throw a punch, I'm going to take out.
[00:53:51.813 --> 00:53:57.135]  Like, instead of doing that, what Biden has said is, you can imagine the teacher going, I'm going to give
[00:53:57.595 --> 00:54:05.185]  Oh, I'm gonna give a stick and a rock to this kid and let him do whatever the heck he wants and I'm not gonna get, you know, involved unless somebody else comes.
[00:54:05.185 --> 00:54:14.257]  And then you've got these other countries like Iran and Syria that are like seeing their younger cousins essentially getting beaten up on the playground and going, alright, we're gonna go beat up the teacher if he doesn't stop.
[00:54:14.257 --> 00:54:14.777]  I mean, it's all...
[00:54:16.161 --> 00:54:30.534]  It's insane that Biden, and again I'm not even saying it's not the same decision I would make, but the fact is that by saying that we're not going to get involved, but saying Israel can take the gloves off and do whatever they want,
[00:54:31.355 --> 00:54:35.859]  He's just setting up massive conflict in the very near future.
[00:54:35.859 --> 00:54:39.182]  So let's go to this video of Wesley Clark.
[00:54:39.182 --> 00:54:47.810]  This is clip number 15 from back in 2003 talking about the fact that even back then the American military had this long-distance plan to invade Iran.
[00:54:47.810 --> 00:54:48.150]  Let's watch.
[00:54:49.322 --> 00:54:57.808]  Right after 9-11, about 10 days after 9-11, I went through the Pentagon and I saw Secretary Rumsfeld and Deputy Secretary Wolfowitz.
[00:54:57.808 --> 00:55:02.452]  I went downstairs just to say hello to some of the people on the joint staff who used to work for me.
[00:55:02.452 --> 00:55:07.035]  And one of the generals called me and he said, sir, you gotta come in and talk to me a second.
[00:55:07.035 --> 00:55:07.936]  I said, well, you're too busy.
[00:55:07.936 --> 00:55:09.157]  He said, no, no.
[00:55:09.157 --> 00:55:14.160]  He says, we've made the decision we're going to war with Iraq.
[00:55:14.160 --> 00:55:15.962]  This was on or about the 20th of September.
[00:55:16.977 --> 00:55:18.618]  I said, we're going to war with Iraq.
[00:55:18.618 --> 00:55:20.900]  Why?
[00:55:20.900 --> 00:55:24.202]  He said, I don't know.
[00:55:24.202 --> 00:55:27.785]  He said, I guess they don't know what else to do.
[00:55:27.785 --> 00:55:32.589]  So, I said, well, did they find some information connecting Saddam to Al-Qaeda?
[00:55:32.589 --> 00:55:33.950]  He said, no, no.
[00:55:33.950 --> 00:55:36.031]  He says, there's nothing new that way.
[00:55:36.031 --> 00:55:39.254]  They just made the decision to go to war with Iraq.
[00:55:39.254 --> 00:55:42.956]  He said, I guess it's like we don't know what to do about terrorists, but
[00:55:43.991 --> 00:55:46.776]  We've got a good military and we can take down governments.
[00:55:46.776 --> 00:55:51.885]  And he said, I guess if the only tool you have is a hammer, every problem has to look like a nail.
[00:55:53.493 --> 00:55:59.097]  So I came back to see him a few weeks later, and by that time we were bombing in Afghanistan.
[00:55:59.097 --> 00:56:00.758]  I said, are we still going to war with Iraq?
[00:56:00.758 --> 00:56:02.679]  And he said, oh, it's worse than that.
[00:56:02.679 --> 00:56:10.444]  He said, he reached over on his desk, he picked up a piece of paper, he said, I just, he said, I just got this down from upstairs, meeting the Secretary of Defense's office today.
[00:56:10.444 --> 00:56:22.873]  And he said, this is a memo that describes how we're going to take out seven countries in five years, starting with Iraq and then Syria, Lebanon, Libya, Somalia, Sudan, and finishing off Iran.
[00:56:24.094 --> 00:56:26.435]  So that's been the plan for at least the last 20 years.
[00:56:26.435 --> 00:56:39.525]  We're going to continue covering this into the next hour, again talking about what the latest developments are, a new aircraft carrier force, a large aircraft carrier in our military, moving to the eastern Mediterranean in support of Israel.
[00:56:40.826 --> 00:56:44.908]  Israel essentially saying they are going to invade Gaza, which is going to bring in Hezbollah.
[00:56:44.908 --> 00:56:47.069]  I mean, again, the dominoes are lined up.
[00:56:47.069 --> 00:56:52.011]  They're ready to be knocked down if this isn't handled with extreme tact and skillfulness.
[00:56:52.011 --> 00:56:53.152]  This is World War III.
[00:56:53.152 --> 00:56:55.533]  This is the shot heard around the world.
[00:56:55.533 --> 00:56:56.353]  So we'll be covering that.
[00:56:56.353 --> 00:57:00.595]  I do want to remind you to go to Infowarsstore.com to support everything that we do here.
[00:57:01.255 --> 00:57:06.718]  I know people are probably upset that Alex isn't in today on this monumentally, historically important thing.
[00:57:06.718 --> 00:57:10.860]  There's a good reason, and like Chase said, you'll find out that reason very shortly.
[00:57:10.860 --> 00:57:21.166]  We are continuing to expand, we're continuing to provide coverage in only a way that InfoWars can, that is demanding peace and non-intervention and not taking sides in this
[00:57:21.966 --> 00:57:23.227]  Strive for genocide.
[00:57:23.227 --> 00:57:43.736]  So I hope you can support us by going to Infowarsstore.com knowing that you're supporting this powerful voice not just for free speech and the American way and just getting back to our roots of truth, justice, and all the beautiful things that our founders and forefathers left to us, but also moving into the future in a way that is peaceful for all mankind.
[00:57:43.736 --> 00:57:47.398]  Infowarsstore.com is where you go to support and carry out that mission.
[00:57:47.398 --> 00:57:47.758]  Stay with us.
[00:57:50.086 --> 00:57:54.607]  Where were you when humanity was fighting for its life?
[00:57:54.607 --> 00:57:59.788]  Where were you when the globalists were caught trafficking millions of children for sex slavery worldwide?
[00:57:59.788 --> 00:58:03.229]  Where were you when the New World Order was starting World War III with Russia?
[00:58:03.229 --> 00:58:04.309]  Well, I know where you are.
[00:58:04.309 --> 00:58:08.770]  You're watching and listening to Infowars.com right now, and I salute you and thank you.
[00:58:08.770 --> 00:58:15.391]  And I want to encourage all of you who've been in this fight so long to realize we've reached the critical juncture in the battle now.
[00:58:15.391 --> 00:58:18.192]  And a key tool in that fight is the Great Awakening
[00:58:18.832 --> 00:58:22.395]  Defeating the Globalists and launching the next great renaissance.
[00:58:22.395 --> 00:58:26.019]  This is my second book, part two of The Great Recent and War for the World.
[00:58:26.019 --> 00:58:29.682]  It's a longer book, quite frankly a more powerful book.
[00:58:29.682 --> 00:58:34.047]  And just like the last book went to number one, it is up to you to send us a number one right now.
[00:58:34.047 --> 00:58:38.050]  This is a cultural fight against the Globalists and it funds the InfoWar.
[00:58:38.050 --> 00:58:41.574]  Get signed or unsigned copies of The Great Awakening right now.
[00:58:42.074 --> 00:58:44.215]  At InfoWarsStore.com.
[00:58:44.215 --> 00:58:45.635]  I want to thank you all for your support.
[00:58:45.635 --> 00:58:47.256]  This is a book everybody needs.
[00:58:47.256 --> 00:58:49.937]  Get your copy of The Great Awakening right now.
[00:58:49.937 --> 00:58:54.459]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned.
[00:58:54.459 --> 00:59:02.842]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you.
[00:59:02.842 --> 00:59:09.424]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high
[00:59:09.684 --> 00:59:10.184]  We're good to go!
[00:59:32.150 --> 00:59:40.375]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[00:59:40.375 --> 00:59:44.437]  Try InfoWars Life Silver Bullet Colloidal Silver today.
[00:59:44.437 --> 00:59:53.423]  Available right now at InfoWarsStore.com.
[00:59:53.423 --> 00:59:57.365]  If you are receiving this transmission, you are the resistance.
[01:00:05.211 --> 01:00:09.434]  Alright folks, still a lot to come in today's episode of the Alex Jones Show.
[01:00:09.434 --> 01:00:12.796]  I'm Harrison Smith, sitting in for Alex Jones with Chase Geiser.
[01:00:12.796 --> 01:00:24.002]  We are, of course, talking about Israel and Palestine and the inevitable massive conflict that is boiling right now.
[01:00:24.002 --> 01:00:29.746]  And I want to go to a couple videos here just to lay down what we're talking about when we're talking about Gaza or we're talking about Palestine.
[01:00:31.480 --> 01:00:35.809]  And you know, going back again to the art of war, the number one rule is understand your enemy.
[01:00:35.809 --> 01:00:43.023]  And I think there's a total misunderstanding of the Palestinian people from a lot of commentators I've seen, probably from a lot of people in Israel as well.
[01:00:44.640 --> 01:01:03.251]  And in a way, I mean, whether you like what they do or not, you have to, I don't know if admire is the right word, but you have to respect the fact that these people have carried out a 75-year resistance against a massively overpowering enemy in a way that I can't imagine Americans holding on for that long.
[01:01:03.251 --> 01:01:09.055]  And I said this on Twitter, and somebody responded to me, you know, well, that's great for them, but they'll be dead, you know, by tonight.
[01:01:09.995 --> 01:01:14.437]  And I think what people don't understand is that they don't die, they become martyrs.
[01:01:14.437 --> 01:01:17.798]  They are happy to die if it's in the cause of battle.
[01:01:17.798 --> 01:01:21.759]  And it's only going to create more people willing to go out and fight.
[01:01:21.759 --> 01:01:34.224]  So unless you understand the mindset of the people that you're fighting, the things you're going to do, even if it defeats them militarily, is only going to empower them socially or geopolitically if you don't really at least try to
[01:01:34.804 --> 01:01:36.986]  You know, see the world from your enemy's eyes.
[01:01:36.986 --> 01:01:39.287]  You're going to make mistakes in fighting them.
[01:01:39.287 --> 01:01:54.237]  And so I want to go to a video that just explains what Gaza is and why the people of Gaza really don't have a lot of options in terms of, you know, just, and we'll show another video later where somebody asks a person from Gaza, like, why don't you leave?
[01:01:54.237 --> 01:01:56.159]  And he's like, because I can't.
[01:01:56.159 --> 01:01:57.119]  Like, you don't understand.
[01:01:57.119 --> 01:02:00.342]  This is, for all intents and purposes, an open air prison.
[01:02:01.641 --> 01:02:06.162]  And so you got a bunch of people that are just, they're just going to become radical whether you like it or not.
[01:02:06.162 --> 01:02:07.722]  That's the situation you're putting them in.
[01:02:07.722 --> 01:02:10.043]  So maybe that's a situation we need to undo.
[01:02:10.043 --> 01:02:12.803]  So let's go now to clip number 12, I believe.
[01:02:12.803 --> 01:02:13.964]  This is Gaza Explained.
[01:02:13.964 --> 01:02:15.424]  Let's watch.
[01:02:15.424 --> 01:02:20.205]  This trip is only 25 miles long and about five miles wide.
[01:02:20.205 --> 01:02:24.306]  Two million Palestinians live packed into this tiny space.
[01:02:24.306 --> 01:02:28.007]  One of the most densely populated places in the world.
[01:02:28.007 --> 01:02:28.807]  Half are children.
[01:02:30.498 --> 01:02:34.720]  Many live in refugee camps speckled throughout the besieged territory.
[01:02:34.720 --> 01:02:40.023]  A stunning 80% of the population relies on foreign aid.
[01:02:40.023 --> 01:02:45.325]  Aptly called an open-air prison, there are only two ways to leave the enclosed area.
[01:02:45.325 --> 01:02:51.809]  The Rez Crossing, into Israeli territory, and the Rafah Crossing, which goes to Egypt.
[01:02:51.809 --> 01:02:54.390]  Both are completely controlled by hostile militaries.
[01:02:56.158 --> 01:03:06.686]  What Israel calls a border is actually a heavily militarized perimeter fence comprised of barbed wire, surveillance networks, and lethal no-go zones.
[01:03:06.686 --> 01:03:16.734]  If you roam too close to the so-called no-go zone, which extends 300 meters out from the fence, Israeli forces have authorized themselves to shoot to kill.
[01:03:16.734 --> 01:03:20.317]  Thousands of unarmed Palestinians have been shot for violating this rule in 2018 alone.
[01:03:24.602 --> 01:03:27.705]  The same goes for Gaza's coastline.
[01:03:27.705 --> 01:03:34.593]  It is the only place in the world where you can't even flee by boat, as refugees elsewhere often do.
[01:03:34.593 --> 01:03:39.138]  Fishermen are restricted to only a few nautical miles from their shore.
[01:03:39.138 --> 01:03:44.724]  Strained past that, even by accident, you can be blown out of the water by Israeli warships.
[01:03:48.234 --> 01:03:56.922]  A massive seawall in the north and south, currently being extended, boxes them into their small sliver of sea.
[01:03:56.922 --> 01:04:06.611]  This violence is compounded by an economic blockade that imposes a chokehold of poverty on Gaza, resulting in one of the highest unemployment rates in the world, according to the World Bank.
[01:04:06.611 --> 01:04:10.514]  70% of the youth are unemployed, with 52% for the general population.
[01:04:16.886 --> 01:04:25.128]  So that's just a little rundown of what exactly Gaza is, and then of course on top of that you have like gates within Gaza that prevent people from moving from one end to the other.
[01:04:25.128 --> 01:04:38.792]  And if you look at this little chart, this is the human cost of the Israeli-Palestine conflict, and you see the death toll on this, and on the Palestinian side, you know, from 2008 you have 3,000 on the Palestinian side, 800 Israeli.
[01:04:38.792 --> 01:04:44.254]  I mean, the brunt of this conflict has been borne primarily by the Palestinians.
[01:04:44.914 --> 01:04:47.695]  Where were you when humanity was fighting for its life?
[01:05:04.813 --> 01:05:09.996]  Where were you when the globalists were caught trafficking millions of children for sex slavery worldwide?
[01:05:09.996 --> 01:05:13.438]  Where were you when the New World Order was starting World War III with Russia?
[01:05:13.438 --> 01:05:14.519]  Well, I know where you are.
[01:05:14.519 --> 01:05:19.002]  You're watching and listening to Infowars.com right now, and I salute you and thank you.
[01:05:19.002 --> 01:05:24.866]  And I want to encourage all of you who've been in this fight so long to realize we've reached the critical juncture in the battle now.
[01:05:25.606 --> 01:05:32.612]  And a key tool in that fight is the Great Awakening, defeating the globalists, and launching the next great renaissance.
[01:05:32.612 --> 01:05:36.255]  This is my second book, part two of The Great Reset and the War for the World.
[01:05:36.255 --> 01:05:40.779]  It's a longer book, quite frankly a more powerful book, and just like the last book,
[01:05:41.079 --> 01:05:41.699]  We're good to go.
[01:06:12.575 --> 01:06:13.756]  Welcome back, ladies and gentlemen.
[01:06:13.756 --> 01:06:15.356]  This is the Alex Jones Show.
[01:06:15.356 --> 01:06:17.017]  Second hour has begun.
[01:06:17.017 --> 01:06:27.683]  I am your host, Harrison Smith, sitting with my co-host, Chase Geiser, talking, of course, about Israel and Palestine, checking some late-breaking stories here.
[01:06:27.683 --> 01:06:32.265]  I haven't confirmed this, but an unconfirmed report is that the St.
[01:06:32.265 --> 01:06:36.447]  Porphyrios Orthodox Church in Gaza, oldest church in the world, 1,616 years old,
[01:06:39.229 --> 01:06:49.683]  May have been destroyed in an Israeli airstrike, so that would be incredibly troubling if confirmed But we're going to continue to show you some videos to help explain this situation
[01:06:51.297 --> 01:06:56.320]  Again, trying to treat this with all the gravity it deserves, Jason.
[01:06:56.320 --> 01:06:58.842]  I got a call from my wife.
[01:06:58.842 --> 01:07:04.706]  She keeps me from going too far.
[01:07:04.706 --> 01:07:09.029]  She just called me right before we went on the show and was just like, Hey, look, I know you're going to say everything you want to say.
[01:07:09.029 --> 01:07:11.310]  I just want to say, tread carefully.
[01:07:11.310 --> 01:07:12.371]  This is a really big deal.
[01:07:12.371 --> 01:07:13.412]  That was it.
[01:07:13.412 --> 01:07:15.293]  It's like, trust me, I know.
[01:07:15.293 --> 01:07:15.813]  I know.
[01:07:15.813 --> 01:07:16.814]  Believe me.
[01:07:16.814 --> 01:07:18.515]  I know people are watching this.
[01:07:18.515 --> 01:07:20.997]  They're probably already furious at what we've had to say despite the fact that
[01:07:22.198 --> 01:07:39.618]  I just want to lay out the strategic overview so we can hopefully try to contribute to a diminishing of the conflict, a cooling down of the war, a not getting America into another world war which can only serve us badly.
[01:07:40.583 --> 01:07:42.824]  Let me ask you this.
[01:07:42.824 --> 01:07:45.625]  In your mind, what is the just solution?
[01:07:45.625 --> 01:07:48.946]  Yeah, that's like almost an impossible question.
[01:07:48.946 --> 01:08:03.472]  I think at this point, what I would love would be somebody like Trump, I don't know who it would be, but it would have to be if an American president could just come in like the teacher on the schoolyard and just put his hands on both the foreheads of the kids, push them apart, and go,
[01:08:04.272 --> 01:08:05.954]  What do we need to do to solve this?
[01:08:05.954 --> 01:08:14.403]  Nobody's throwing one more punch until, you know, and I'm gonna, I'm gonna, you know, help you to resolve this conflict and set a path towards peace.
[01:08:14.403 --> 01:08:18.687]  And if either one of you tries to break this peace, you're gonna be, you know, talking to me.
[01:08:18.687 --> 01:08:24.153]  I would love for America to use its power and its force not to just help exact revenge on the
[01:08:24.733 --> 01:08:25.313]  I don't know.
[01:08:40.290 --> 01:08:42.652]  So I don't want to see America get involved on either side.
[01:08:42.652 --> 01:08:49.218]  I want to see a cessation of this conflict, however, you know, whatever that takes.
[01:08:49.218 --> 01:08:52.761]  I mean, you know, you're asking me literally an impossible question.
[01:08:52.761 --> 01:08:56.124]  Mines better than mine have failed to solve the last 50 years.
[01:08:56.124 --> 01:09:04.271]  It seems to me, and I could be mistaken, we established well at the beginning of the show that we're just too mind speculating, but it seems to me that
[01:09:05.694 --> 01:09:20.878]  The Palestinians have a legitimate grief with the Israelis, but what's really going on is the entire Middle Eastern region is using the Palestinians as a way to attack Israel.
[01:09:20.878 --> 01:09:28.720]  And what I mean is, we're using Ukraine as a way to attack Russia, who is officially an enemy of the United States.
[01:09:28.720 --> 01:09:34.282]  And I think even if we were able to establish some sort of agreement between the Palestinians and the Israelis,
[01:09:35.922 --> 01:09:41.891]  that we would still have an incredible amount of hostility in the Middle Eastern region against Israel because Israel is perceived as
[01:09:43.331 --> 01:09:58.375]  The United States military presence in the region, and all of those nations hate us because we've bombed them so many times, we've totally toppled the government, and we issue sanctions on them constantly because of the petrodollar.
[01:09:58.375 --> 01:10:05.657]  And so I wonder if the problem actually is between Palestine and Israel so much as it is between the United States and the Middle East.
[01:10:06.894 --> 01:10:13.378]  Well, yeah, I mean, that's why it gets all complicated, because everybody's a proxy of somebody else.
[01:10:13.378 --> 01:10:14.959]  You know, I just kept thinking about this article.
[01:10:14.959 --> 01:10:17.821]  This comes from all the way back in December of 2021.
[01:10:17.821 --> 01:10:21.604]  But Trump says Netanyahu, quote, never wanted peace with the Palestinians.
[01:10:21.604 --> 01:10:27.528]  So Trump tried to sort of do this and come in and create a, quote, ultimate deal between the Israelis and Palestinians.
[01:10:27.528 --> 01:10:31.890]  And he claimed that, you know, the Palestinians were willing to make that peace, but the
[01:10:32.871 --> 01:10:42.378]  Israelis weren't, and Netanyahu never wanted to make peace with the Palestinians, which, you know, this would have been avoided if they could have come to some agreement.
[01:10:42.378 --> 01:10:49.003]  This attack, you know, against the Palestinians, or against the Israelis by the Hamas, or the Palestinians, would have...
[01:10:50.000 --> 01:10:52.502]  Been much, much less likely to have occurred.
[01:10:52.502 --> 01:10:56.045]  So, like, I can't think that this was a good idea from Netanyahu.
[01:10:56.045 --> 01:11:07.435]  And again, this is where it seems to me less of, like, orchestrated, less of, like, oh, we're going to do this as a... we're going to allow this to happen so we have the justification to do what we want to do.
[01:11:07.435 --> 01:11:08.816]  It seems like arrogance.
[01:11:08.816 --> 01:11:12.159]  It seems like they just did not think that
[01:11:12.919 --> 01:11:15.302]  They had to come to the table with the Palestinians.
[01:11:15.302 --> 01:11:17.064]  They just thought, you know, why should we?
[01:11:17.064 --> 01:11:18.586]  We're the power.
[01:11:18.586 --> 01:11:20.648]  They're the, you know, they're the small people.
[01:11:20.648 --> 01:11:21.669]  We'll do whatever we want to them.
[01:11:21.669 --> 01:11:23.111]  We don't need to negotiate with them.
[01:11:23.111 --> 01:11:30.539]  And then you have something like this, and it just, to me, it just reeks of unwarranted arrogance based on a misunderstanding of their enemy.
[01:11:31.400 --> 01:11:35.946]  Yeah, well, and with all blood feuds, you almost lose track of where it all started.
[01:11:35.946 --> 01:11:45.279]  Fortunately, it's fairly well documented, but there's probably just so much bitterness, I imagine, between both sides that they just want the other one dead.
[01:11:46.340 --> 01:11:46.860]  We're good to go.
[01:12:08.610 --> 01:12:10.012]  When you get to Moses.
[01:12:10.012 --> 01:12:14.979]  So I mean it goes back and back and back and obviously a major aspect of this is the Al-Aqsa Mosque.
[01:12:14.979 --> 01:12:23.611]  So the Al-Aqsa Mosque, the Dome of the Rock, is operated by Muslims or you know Muslims are allowed to pray there and this is a sort of
[01:12:24.432 --> 01:12:28.414]  agreement that Israel has had since time immemorial.
[01:12:28.414 --> 01:12:36.119]  They are going to be the protectors of these sacred sites, and recently they've allowed, you know, Israeli activists to go in.
[01:12:36.119 --> 01:12:37.900]  They've stopped Muslims from going in.
[01:12:37.900 --> 01:12:52.389]  I mean, they're sort of violating very long-held sacred traditions of allowing a multiplicity of religions to coexist, and this operation that the Palestinians carried out, they called Al-Aqsa Flood Operation, and part of it was that they
[01:12:53.109 --> 01:12:57.574]  We're sort of looking ahead and going, they're about to stop us from going to Al-Aqsa.
[01:12:57.574 --> 01:13:09.588]  And of course, you know, a lot of Jewish traditions think that where Al-Aqsa is, was the site of Solomon's Temple, and they want to build a third temple, because that's a prerequisite for, you know, bringing on the Messiah.
[01:13:10.989 --> 01:13:15.710]  Really, a lot of this is centered around Al-Aqsa Mosque and some, you know, provocations there.
[01:13:15.710 --> 01:13:23.672]  And again, I'm not saying that like, oh, well, they stormed the mosque, so therefore their children should be killed and their women should be kidnapped and raped.
[01:13:23.672 --> 01:13:37.815]  And that's what's frustrating about this conversation is because even in America, even places far removed, it's like even suggesting that, hey, let's all calm down, is treated from both sides like a call to genocide them, while they are simultaneously calling to genocide the other side.
[01:13:37.815 --> 01:13:38.155]  And it's like,
[01:13:39.076 --> 01:13:41.280]  I don't want anything to do with it.
[01:13:41.280 --> 01:13:42.302]  This is all horrible.
[01:13:42.302 --> 01:13:44.346]  Well, that's the nice thing about being a populist.
[01:13:45.424 --> 01:13:49.306]  I'm an America First populist, and it's not my call.
[01:13:49.306 --> 01:13:50.966]  I don't have to pick a side.
[01:13:50.966 --> 01:13:52.447]  I shouldn't be involved at all, actually.
[01:13:52.447 --> 01:13:53.167]  It's none of my business.
[01:13:53.167 --> 01:13:58.510]  And frankly, most of the things that we've done in terms of foreign policy since World War II have only catalyzed hatred.
[01:13:58.510 --> 01:14:04.953]  There's a famous Bill Burr bit about it where he says, a butt kicking doesn't just fall out of the sky.
[01:14:04.953 --> 01:14:14.277]  People just so easily accepted that we were hated in the Middle East because of our freedom, but it's because of our terrible foreign policy over the last 50 years we've catalyzed and antagonized these people.
[01:14:15.313 --> 01:14:27.883]  Economically, socially, geographically, in terms of their energy, every weakness we've exploited, and I think the world would be a better place if we just stopped screwing with other people's business.
[01:14:27.883 --> 01:14:36.330]  Yeah, and again, this is the good example where we are both vociferous, we are both very outspoken critics of American foreign policy.
[01:14:37.321 --> 01:14:38.522]  We aren't anti-American.
[01:14:38.522 --> 01:14:40.603]  We don't hate America or Americans.
[01:14:40.603 --> 01:14:41.764]  That's our interest.
[01:14:41.764 --> 01:14:42.564]  That's what we love.
[01:14:42.564 --> 01:14:50.089]  So, you know, when we are criticizing the Israeli government, the Israeli military doing things, has nothing to do with how we feel about the Israelis on the ground.
[01:14:50.089 --> 01:14:52.210]  Same thing with the Palestinians and Hamas.
[01:14:52.210 --> 01:15:02.877]  You have to be able to determine, you have to be able to distinguish the power structures making moves that are horrific and the people on the ground
[01:15:04.158 --> 01:15:14.505]  But, you know, it's shocking seeing all of these anti-war, apparently anti-war conservatives, I mean, literally calling for genocide in places like Gaza.
[01:15:14.505 --> 01:15:23.571]  It's just, there's a disconnect here that is, I can only ascribe it to just, like, emotional response to the images that we're seeing that are horrible.
[01:15:23.571 --> 01:15:25.432]  Like, obviously they're horrible.
[01:15:25.432 --> 01:15:27.333]  Yeah, those images are terrible.
[01:15:27.333 --> 01:15:33.858]  The images that I see, you know, every couple of weeks or couple of months of Palestinian kids dying in bombings,
[01:15:34.858 --> 01:15:37.060]  When Israel bombs them, those are also horrible.
[01:15:37.060 --> 01:15:42.002]  You don't make decisions based on your immediate emotional reaction to these things.
[01:15:42.002 --> 01:15:49.967]  You do take them into account as you try to chart a path towards peace, which is what we should all be in favor of.
[01:15:49.967 --> 01:15:51.507]  We have a clip from Ron Paul that we'll go to.
[01:15:51.507 --> 01:15:54.569]  We have a couple more clips we want to go to, and then we'll welcome Michael Yawn.
[01:15:54.569 --> 01:15:57.971]  We have a big interview with Alex Jones recorded yesterday that we want to go to later.
[01:15:58.936 --> 01:16:02.978]  Why do you think the globalists are desperately trying to censor everybody?
[01:16:02.978 --> 01:16:06.539]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[01:16:06.539 --> 01:16:11.641]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[01:16:11.641 --> 01:16:14.082]  But we're not just exposing their operation.
[01:16:14.082 --> 01:16:22.685]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[01:16:22.685 --> 01:16:24.006]  This is the Great Awakening.
[01:16:24.526 --> 01:16:28.891]  The plan to defeat the globalists and launch the second great renaissance.
[01:16:28.891 --> 01:16:32.695]  It's a companion to my last book that was a number one worldwide bestseller.
[01:16:32.695 --> 01:16:35.559]  And this book is even thicker and even more powerful.
[01:16:35.559 --> 01:16:39.323]  Get your copy of The Great Awakening today at infoware.com.
[01:16:39.343 --> 01:16:39.603]  Thank you.
[01:16:58.675 --> 01:16:59.756]  Don't lie down and take it.
[01:16:59.756 --> 01:17:01.617]  Spread the word about this broadcast.
[01:17:01.617 --> 01:17:02.577]  Pray for this broadcast.
[01:17:02.577 --> 01:17:04.238]  Support other broadcasts, please.
[01:17:04.238 --> 01:17:08.000]  And please financially support us at InfoWarsTore.com.
[01:17:08.000 --> 01:17:09.881]  Only way we operate is your funding.
[01:17:09.881 --> 01:17:10.961]  You are the InfoWarrior.
[01:17:10.961 --> 01:17:12.022]  The reason we're here.
[01:17:12.022 --> 01:17:19.726]  Please go to InfoWarsTore.com right now and empower yourself and your immune system and your body and your health and your vitality with a trifecta sale 40% off.
[01:17:20.646 --> 01:17:23.149]  The DNA Force Plus, finally back in stock.
