[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[00:28:02.858 --> 00:28:10.384]  Muslims, on the other hand, have guts, and they don't care if people call them mean names like homophobes.
[00:28:10.724 --> 00:28:24.536]  And so, an all-Muslim city council in a city in Michigan, which they obviously took over, they just voted to ban all LGBTQ fetish flags from government property.
[00:28:24.536 --> 00:28:33.603]  This is how the Muslim children in Canada are being taught to properly respond to the queer cultural insurrection up in their country.
[00:28:33.783 --> 00:28:35.905]  And this is what a godless country we've become.
[00:28:35.905 --> 00:28:46.793]  This is a clip from Jeopardy whose contestants are touted as the most intelligent people in the country who can spout countless useless facts but don't know this.
[00:28:46.793 --> 00:28:55.460]  Matthew 6 9 says, Our Father which art in heaven, this be thy name.
[00:28:55.460 --> 00:28:56.761]  Hallowed be thy name.
[00:28:56.761 --> 00:28:58.963]  Yes, also known as the Lord's Prayer.
[00:28:59.994 --> 00:29:08.839]  Two amazing nootropics, that means brain power, are back in stock at InfoWarsTour.com, and they're both 50% off.
[00:29:08.839 --> 00:29:13.061]  We haven't offered these for 50% off since last Christmas.
[00:29:13.061 --> 00:29:17.063]  These are amazing products, and for those of you on the fence, I want you to try them.
[00:29:17.063 --> 00:29:21.866]  Brain Force Ultra hits in 15 minutes, only lasts 3 hours, with no hangover.
[00:29:21.866 --> 00:29:23.226]  It is a game changer.
[00:29:23.226 --> 00:29:24.467]  Nobody's got something close to this.
[00:29:24.787 --> 00:29:28.629]  Then, our BrainForce Plus is a good, basic, clean nootropic.
[00:29:28.629 --> 00:29:33.572]  It gives you four to six hours of amazing energy, again, with no hangover, no jitters.
[00:29:33.572 --> 00:29:39.435]  Both products, back in stock, InfoWarsTore.com for 50% off, and it funds the InfoWar.
[00:29:39.435 --> 00:29:42.437]  So get your BrainForce Ultra, your BrainForce Plus, and your
[00:29:42.537 --> 00:29:43.058]  We're good.
[00:29:59.980 --> 00:30:05.583]  I want to thank all of you over the years who have supported InfoWars financially and with word of mouth and prayer.
[00:30:05.583 --> 00:30:13.187]  All the success that we've had together against the Globalists and the fact that we're not caught flat-footed during their major takeover is because of you.
[00:30:13.187 --> 00:30:15.409]  Humanity has a real fighting chance.
[00:30:16.169 --> 00:30:23.213]  I just want to thank you all for buying products at InfoWarsTore.com, like books, and films, and supplements, and water filtration, air filtration, and so much more.
[00:30:23.213 --> 00:30:36.360]  But for those of you that want to actually give us a straight donation so we get almost 100% of the money to fund our operation during this critical time, go to InfoWarsTore.com, and right at the top, you'll see a link to make a straight donation.
[00:30:36.360 --> 00:30:39.041]  A one-time donation of $5, $10, $50, or a recurring donation you can cancel anytime.
[00:30:42.483 --> 00:30:43.884]  I want to thank all you that have donated.
[00:30:43.884 --> 00:30:57.434]  I want to encourage those of you out there that want to support Freedom to take action now and be part of the global awakening, the new renaissance, that's countering the Great Reset by going to InfoWarsTore.com and clicking on the donate button and giving today.
[00:30:57.434 --> 00:30:58.775]  Thank you so much for your support.
[00:30:58.775 --> 00:30:59.456]  Please take action.
[00:31:00.172 --> 00:31:07.101]  Iodine is naturally acquired through the soil, which is at the foundation of our entire food supply.
[00:31:07.101 --> 00:31:16.092]  Modern farming techniques have stripped the soil of this essential trace element, which has caused an iodine deficiency in about half the population.
[00:31:16.092 --> 00:31:18.295]  And there are two things we need to do about it.
[00:31:18.915 --> 00:31:22.218]  We need to practice more regenerative farming.
[00:31:22.218 --> 00:31:30.744]  There are plenty of proven technologies in permaculture and biodynamics that will naturally keep the soil rich with iodine.
[00:31:30.744 --> 00:31:34.887]  And we need to ensure that we get the sufficient amount of iodine every day.
[00:31:35.547 --> 00:31:47.070]  Derived from ancient sea salts found thousands of feet below the Earth's surface, our InfoWars Life Survival Shield X3 is hands down the best.
[00:31:47.070 --> 00:31:53.131]  Pure nascent iodine, stabilized in an activated triiodine form.
[00:31:53.131 --> 00:31:59.293]  For a healthy thyroid and a healthy metabolism, get yours now at InfoWarsStore.com.
[00:32:00.956 --> 00:32:11.614]  We have three original, one-of-a-kind toothpastes designed by my father, a dentist, at MFullerStore.com that don't have fillers, that are filled with high-quality essential oils, and more.
[00:32:11.614 --> 00:32:12.636]  We have a turmeric toothpaste,
[00:32:13.547 --> 00:32:26.155]  We have the Ultimate Tooth Whitening with Pearl Calcium Toothpaste, and we have the amazing Activated Charcoal Toothpaste, again, with a whole bunch of key essential oils that are so good, not just for your teeth and your gums, but your whole mouth, your throat, and more.
[00:32:26.155 --> 00:32:28.256]  These are really game-changing toothpastes.
[00:32:28.256 --> 00:32:29.577]  They're very, very strong.
[00:32:29.577 --> 00:32:31.678]  Most over-the-counter toothpastes have fluoride.
[00:32:31.678 --> 00:32:32.739]  Ours don't.
[00:32:32.739 --> 00:32:34.180]  And it doesn't have fillers in it.
[00:32:34.180 --> 00:32:35.781]  It is just chock-full.
[00:32:36.201 --> 00:32:37.462]  We're good to go.
[00:33:01.317 --> 00:33:16.904]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:16.904 --> 00:33:25.568]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:27.225 --> 00:33:38.308]  All right, so there's a biological, chemical, electromagnetic, radiological attack on our cells, on our population, on our fertility, taking place on record right now.
[00:33:38.308 --> 00:33:45.130]  And someone that's been exposing the vaccines almost as long as I have is Robert Kennedy Jr.
[00:33:45.130 --> 00:33:50.471]  And he is the frontrunner now in major polls against the puppet Biden.
[00:33:50.471 --> 00:33:52.652]  They are in complete, absolute panic mode.
[00:33:53.682 --> 00:33:55.505]  Uh, right now in the establishment.
[00:33:55.505 --> 00:33:58.269]  Obviously, the big Joe Rogan interview, we covered it Friday.
[00:33:58.269 --> 00:33:59.911]  It's up on Infowars.com.
[00:33:59.911 --> 00:34:00.432]  It's amazing.
[00:34:00.432 --> 00:34:01.653]  But here's what he breaks down.
[00:34:01.653 --> 00:34:02.835]  And these numbers are very conservative.
[00:34:02.835 --> 00:34:04.558]  It's actually worse than this.
[00:34:04.558 --> 00:34:07.622]  Uh, in other countries like South Korea with even higher vaccine rates.
[00:34:07.622 --> 00:34:08.884]  Childhood vaccines, 1983, children took 10.
[00:34:11.421 --> 00:34:12.782]  In 2013, they took 32.
[00:34:12.782 --> 00:34:15.804]  In 2022, they took 74.
[00:34:15.804 --> 00:34:16.704]  Now, overhead shot.
[00:34:16.704 --> 00:34:18.145]  Here's the autism rates.
[00:34:18.145 --> 00:34:19.206]  In 1983, it was 1 in 10,000.
[00:34:19.206 --> 00:34:19.546]  2013, it was 1 in 88.
[00:34:19.546 --> 00:34:19.886]  2022, it was 1 in 36.
[00:34:19.886 --> 00:34:20.167]  2025, it was 1 in 2.
[00:34:31.449 --> 00:34:31.970]  The shots.
[00:34:31.970 --> 00:34:32.890]  It's the pesticides.
[00:34:32.890 --> 00:34:34.611]  He also gets into that.
[00:34:34.611 --> 00:34:37.013]  And it's dead on, but they know what they're doing.
[00:34:37.013 --> 00:34:39.094]  So here he is on Joe Rogan laying this out.
[00:35:02.230 --> 00:35:08.698]  Oh, and NIH decided to look at it because women were saying it was the vaccine.
[00:35:08.698 --> 00:35:11.421]  Again and again and again and again and again and again and again.
[00:35:11.421 --> 00:35:13.544]  Women were coming with the same story.
[00:35:13.544 --> 00:35:18.270]  I had a perfectly healthy two-year-old exceeded all my this milestones.
[00:35:19.671 --> 00:35:46.922]  I gave them on their second birthday or 18th month wellness visit the full battery of the six or eight vaccines and the and that child spikes a fever that night has a seizure and over the next three months loses their language, loses their capacity to make eye contact, to finger point, social interactions and languages disappear and it happened so many times that NIH was saying we got to look to see if it's the vaccine and CDC was.
[00:35:46.922 --> 00:35:48.203]  So CDC hired a
[00:35:50.353 --> 00:36:03.098]  A Belgian epidemiologist named Thomas Verstraden, and they opened up the Vaccine Safety Data Link, which is the biggest database for vaccines for HMOs.
[00:36:03.098 --> 00:36:13.001]  All the top ten HMOs have all their records in there, so they have all your vaccination records and all your health claims, so you can do these kind of cluster analyses.
[00:36:13.001 --> 00:36:16.142]  And Verstraden went in there and he looked at one thing.
[00:36:16.142 --> 00:36:17.263]  He looked at children who got
[00:36:18.383 --> 00:36:26.048]  The Hepatitis B vaccine within their first month of life and compared those health outcomes in children who did not.
[00:36:26.048 --> 00:36:30.452]  In other words, children who got it after 30 days or didn't get it at all.
[00:36:30.452 --> 00:36:33.374]  That was the second cohort.
[00:36:33.374 --> 00:36:45.442]  What he found in his first run through the data is there was an 1135% greater or elevated risk for an autism diagnosis among the kids who had gotten it in their first 30 days.
[00:36:47.368 --> 00:37:05.076]  At that point they knew what caused the autism epidemic because a relative risk, it's called a relative risk of 11.35, a relative risk of 2 is considered proof of causation as long as there's biological plausibility.
[00:37:05.076 --> 00:37:09.798]  The relative risk of smoking a pack of cigarettes a day for 20 years and getting lung cancer is 10.
[00:37:11.667 --> 00:37:11.787]  This
[00:37:24.070 --> 00:37:24.270]  I think?
[00:37:54.208 --> 00:38:01.852]  And all the big academics, the people who basically develop vaccines in the academic institutions, and they were all there.
[00:38:01.852 --> 00:38:10.156]  And they spent the first day, they give them all a copy of the restricted study, but they have to give it all back because they don't want it out there.
[00:38:10.156 --> 00:38:13.758]  And then they have a day of talking about it where they're all saying,
[00:38:14.764 --> 00:38:21.869]  Holy cow, this is real, and, you know, the lawyers are going to come after us.
[00:38:21.869 --> 00:38:28.033]  We're all in trouble, and then they spend the second day talking about how to hide it.
[00:38:28.033 --> 00:38:29.174]  How do you know this?
[00:38:29.174 --> 00:38:34.198]  Because somebody made a recording of it, and I got a hold of the transcripts.
[00:38:34.198 --> 00:38:38.200]  And I publish excerpts from those transcripts in Rolling Stone, and anybody can go.
[00:38:41.700 --> 00:38:49.766]  And that's just a five-minute clip from the fascinating interview with R.L.K.
[00:38:49.766 --> 00:38:50.106]  Jr.
[00:38:50.106 --> 00:38:50.667]  and Joe Rogan.
[00:38:50.667 --> 00:38:53.549]  The full thing's up, as I said, on InfoWars.com.
[00:38:53.549 --> 00:38:56.031]  Now, I want to go to another Mark Dice clip.
[00:38:56.031 --> 00:38:57.692]  We're getting a lot of Mark Dice today.
[00:38:57.692 --> 00:38:58.753]  He did a really good job.
[00:38:58.753 --> 00:39:04.157]  In fact, the best job I've seen, better than myself, better than Robert F. Kennedy Jr., in just about 16 minutes.
[00:39:05.078 --> 00:39:13.601]  Laying out what's really going on with the project to sterilize us and manipulate our hormone systems with these chemicals in the food and water.
[00:39:13.601 --> 00:39:15.282]  And yes, it's premeditated.
[00:39:15.282 --> 00:39:16.502]  And yes, it's a larger plan.
[00:39:16.502 --> 00:39:19.723]  I'm going to come back next hour with the information covering that.
[00:39:19.723 --> 00:39:22.284]  But thank God the world is finally figuring this out.
[00:39:22.284 --> 00:39:26.105]  So we're going to post the full Mark Dice video on InfoWars.com.
[00:39:26.105 --> 00:39:27.706]  It's already up there so you can share it.
[00:39:28.626 --> 00:39:30.527]  But here it is for you right now.
[00:39:30.527 --> 00:39:33.788]  We're going to skip this network break so you can share this and see this.
[00:39:33.788 --> 00:39:34.449]  Mark Dice.
[00:39:34.449 --> 00:39:35.309]  Alex Jones was right.
[00:39:35.309 --> 00:39:36.269]  Robert F. Kennedy Jr.
[00:39:36.269 --> 00:39:39.491]  makes stunning revelation that will rock the media.
[00:39:39.491 --> 00:39:40.851]  He predicted this six days ago.
[00:39:40.851 --> 00:39:41.872]  It did indeed happen.
[00:39:41.872 --> 00:39:42.532]  Here it is.
[00:39:43.570 --> 00:39:45.111]  So Robert F. Kennedy Jr.
[00:39:45.111 --> 00:40:07.588]  is running for president as a Democrat, of course, against Joe Biden, and is doing interviews with outlets that will dare platform him since the mainstream media is either ignoring him or attacking him, not just because he's opposing Joe Biden, but for his longtime dedication to educating people about some of the dangers about vaccines that you're not supposed to talk about.
[00:40:07.748 --> 00:40:17.892]  And last week, he did an interview with psychologist Dr. Jordan Peterson, who, by the way, appears to have endorsed Mike Pence, saying a Pence presidency would restore some normalcy.
[00:40:17.892 --> 00:40:19.773]  That could be a relief.
[00:40:19.773 --> 00:40:20.974]  That's a whole other issue.
[00:40:20.974 --> 00:40:23.815]  Maybe just stay out of politics, doctor.
[00:40:23.815 --> 00:40:32.879]  But he did this interview with Robert F. Kennedy, and he was talking about how he believes that one of the problems that the children are facing today is they've been freaked out by
[00:40:33.479 --> 00:40:38.603]  Climate change alarmism and this apocalyptic talk about the end of the world from climate change.
[00:40:38.603 --> 00:40:40.445]  And Robert F. Kennedy Jr.'
[00:40:40.405 --> 00:40:43.608]  's response was absolutely stunning.
[00:40:43.608 --> 00:40:44.929]  I'll play the clip in just a moment.
[00:40:44.929 --> 00:40:46.610]  It's just now starting to go viral.
[00:40:46.610 --> 00:40:52.155]  And when the mainstream media catches wind of it, they're going to attack him for it for numerous reasons.
[00:40:52.155 --> 00:40:56.879]  One of which being that he basically just confirmed that Alex Jones was right.
[00:40:56.879 --> 00:40:59.982]  Again, about, well, just listen.
[00:41:00.362 --> 00:41:12.494]  I think a lot of the problems we see in kids, and particularly boys, it's probably underappreciated how much of that is coming from chemical exposures.
[00:41:14.059 --> 00:41:17.241]  Including a lot of the sexual dysphoria that we're seeing.
[00:41:17.241 --> 00:41:21.584]  You know, these kids are being overwhelmed by a tsunami.
[00:41:21.584 --> 00:41:25.267]  I mean, they're swimming through a soup of toxic chemicals today.
[00:41:25.267 --> 00:41:28.589]  Many of those are endocrine disruptors.
[00:41:28.589 --> 00:41:30.971]  There's atrazine throughout our water supply.
[00:41:30.971 --> 00:41:32.231]  Atrazine, by the way,
[00:41:33.388 --> 00:41:54.740]  If you in a lab put atrazine in a tank full of frogs, it will feminize every frog in there and 10% of the frogs, the male frogs, will turn into fully viable females able to produce viable eggs.
[00:41:56.041 --> 00:42:07.712]  And if it's doing that to frogs, there's a lot of other evidence that it's doing it to human beings as well.
[00:42:07.712 --> 00:42:09.374]  I'm happy to talk about that later.
[00:42:11.601 --> 00:42:22.885]  Blaming this epidemic of depression and despair on people who are, you know, fanning fears of climate is... I think that's oversimplistic.
[00:42:22.885 --> 00:42:24.386]  Now, where have I heard that before?
[00:42:24.386 --> 00:42:32.829]  Oh, that's right, from Alex Jones in that viral clip from, I think, 2016, which his critics are just too dumb to understand.
[00:42:32.829 --> 00:42:38.151]  I don't like them putting chemicals in the water that turn the friggin' frogs gay!
[00:42:38.151 --> 00:42:39.292]  Do you understand that?
[00:42:41.583 --> 00:42:46.064]  What he's talking about there is atrazine, which like Robert F. Kennedy Jr.
[00:42:46.064 --> 00:42:50.526]  said, has been found to make the frogs transgender.
[00:42:50.526 --> 00:42:54.928]  And this is not from Infowars.com, this is Berkley News.
[00:42:54.928 --> 00:42:59.490]  The pesticide atrazine can turn male frogs into females.
[00:42:59.930 --> 00:43:16.154]  Atrazine, one of the world's most widely used pesticides, wreaks havoc on the sex lives of adult male frogs, emasculating three-quarters of them and turning one in ten into females, according to a new study by the University of California, Berkeley biologists.
[00:43:16.414 --> 00:43:21.077]  This is an old article from 2010, because people have known about this for a long time.
[00:43:21.077 --> 00:43:26.681]  And some people say, well, those are just frogs living in the runoff in farmers' fields, right?
[00:43:26.681 --> 00:43:29.443]  I mean, people aren't consuming atrazine!
[00:43:29.443 --> 00:43:30.343]  Ha ha ha!
[00:43:30.343 --> 00:43:31.384]  Oh wait, what's this?
[00:43:31.384 --> 00:43:32.665]  This from the Texas Tribune.
[00:43:46.574 --> 00:43:58.205]  The Environmental Working Group also found that the utilities are testing water during times when the herbicide isn't being used as much and that they may be low-balling the results.
[00:43:58.205 --> 00:44:04.291]  So 500 different districts in Texas alone have found that atrazine is in the drinking water.
[00:44:04.691 --> 00:44:06.632]  This is from not that long ago.
[00:44:06.632 --> 00:44:08.053]  This article is from 2018.
[00:44:08.053 --> 00:44:14.918]  And if you do a quick search for Atrazine in the drinking water, you'll find articles like these.
[00:44:14.918 --> 00:44:19.681]  Elevated Atrazine levels detected in Springfield Greenbrier drinking water.
[00:44:19.681 --> 00:44:20.962]  That's in Tennessee.
[00:44:20.962 --> 00:44:28.486]  Oh, Atrazine, a harmful weed killer, taints tap water for millions in the United States.
[00:44:28.486 --> 00:44:31.889]  Kansas drinking water polluted by Atrazine.
[00:44:33.166 --> 00:44:39.272]  Strict pesticide rules fail to erase threat to Wisconsin's drinking water.
[00:44:39.272 --> 00:44:41.695]  It's in Australia's drinking water.
[00:44:41.695 --> 00:44:53.027]  You may have seen some of my previous videos where I talk about another endocrine disruptor, a synthetic estrogen, BPA bisphenol A, which is found in a lot of food packaging and even in clothes.
[00:44:53.607 --> 00:44:59.529]  If you missed those videos, probably you're not going to find them because I'm terrible at search engine optimization.
[00:44:59.529 --> 00:45:04.250]  I need to get better at writing descriptions and using tags and using keywords and titles and things.
[00:45:04.250 --> 00:45:09.071]  So if you search my YouTube channel for BPA, probably nothing is going to come up.
[00:45:09.071 --> 00:45:11.832]  But I've covered it in previous reports.
[00:45:11.832 --> 00:45:13.572]  And one of the questions you're not supposed to ask.
[00:45:13.732 --> 00:45:28.275]  Particularly with this transgender epidemic going on, is BPA, the synthetic estrogen, altering the estrogen level in the wombs of pregnant mothers and thus feminizing the brains of baby boys?
[00:45:28.275 --> 00:45:35.737]  Because scientists have found that if there's an abnormal estrogen level in the womb, that it affects the INAH3
[00:45:37.697 --> 00:45:38.717]  We're good to go.
[00:46:03.104 --> 00:46:03.964]  We're good to go.
[00:46:28.530 --> 00:46:28.850]  I don't know.
[00:46:49.540 --> 00:46:57.348]  They can't admit that they know what is causing transgenderism or homosexuality, if that's what's causing it.
[00:46:57.348 --> 00:46:59.010]  But that's what the scientists believe.
[00:46:59.010 --> 00:47:00.852]  That's what the evidence suggests.
[00:47:00.852 --> 00:47:04.515]  In many cases, it could be a social contagion as well.
[00:47:04.515 --> 00:47:10.181]  Sigmund Freud said that it had to do with a disruption of a child's psychosexual development.
[00:47:10.982 --> 00:47:14.404]  It also could have something to do with people who are molested as children.
[00:47:14.404 --> 00:47:20.628]  Also that changes and alters their gender identity and their sexuality in many cases as well.
[00:47:20.628 --> 00:47:34.857]  But Dr. Deborah Soh talks about the horrifying implications for the medical industry because they're not going to be able to admit if that's the cause, that that is the cause, or that it should be stopped or prevented
[00:47:35.237 --> 00:47:42.281]  Or that there should be a cure found for it, because you're not allowed to say that transgender people or gay people have anything wrong with them.
[00:47:42.281 --> 00:48:01.110]  You're only supposed to equate their orientation or their identity being something along the lines of somebody who is right-handed or left-handed, but obviously there's a huge difference between a dominant hand that somebody chooses or is, you know, maybe not even chooses, but writes with or throws with,
[00:48:01.690 --> 00:48:11.394]  Versus people feeling that they're born in the wrong body or dicking things into body orifices that they clearly weren't designed for.
[00:48:11.394 --> 00:48:16.296]  And guess who was warning about all this probably, I don't know, 15 years ago?
[00:48:16.296 --> 00:48:20.297]  I even catch myself, Bob, drinking out of these estrogen mimickers.
[00:48:20.297 --> 00:48:24.439]  But you'll probably say it if it's lined with it inside the plastic packaging.
[00:48:24.439 --> 00:48:25.359]  And they know.
[00:48:25.359 --> 00:48:27.100]  They have immersed us in this, Bob.
[00:48:28.490 --> 00:48:32.833]  For those watching on PrisonPlanet.tv, here's the inside of this juice box.
[00:48:32.833 --> 00:48:35.455]  And if they zoom in any more, see that thin plastic?
[00:48:35.455 --> 00:48:37.076]  It's got it.
[00:48:37.076 --> 00:48:43.440]  After you're done drinking your little juices, you're ready to go out and have a baby!
[00:48:43.440 --> 00:48:44.681]  You're ready to put makeup on!
[00:48:44.681 --> 00:48:46.443]  You're ready to wear a short skirt!
[00:48:46.443 --> 00:48:48.084]  You're ready to go, you know, uh...
[00:48:49.124 --> 00:48:52.185]  Put together a garden of roses or something.
[00:48:52.185 --> 00:48:53.365]  You're ready to put lipstick on.
[00:48:53.365 --> 00:48:54.726]  I mean, look at this.
[00:48:54.726 --> 00:49:00.507]  Now in the last 10 years, a lot of people have become aware of the dangers of bisphenol A, BPA.
[00:49:00.507 --> 00:49:04.008]  And so a lot of food packaging has taken it out.
[00:49:04.008 --> 00:49:06.589]  But here's an article from back in 2011.
[00:49:06.589 --> 00:49:10.410]  Eating canned soup makes BPA levels soar.
[00:49:10.410 --> 00:49:10.770]  This from 2009.
[00:49:10.770 --> 00:49:11.090]  BPA dangers
[00:49:13.271 --> 00:49:14.952]  And there was some in... juice boxes.
[00:49:30.819 --> 00:49:42.251]  But the lining, which has a BPA component, helps protect the nutrient levels in the juice and helps maintain overall product quality.
[00:49:42.251 --> 00:49:46.095]  So, well, looks like Alex Jones was right again.
[00:49:46.095 --> 00:49:52.262]  But just because it's been taken out of a lot of food packaging recently, or in the last decade, doesn't mean that the damage hasn't already been done.
[00:49:52.902 --> 00:49:58.623]  Or that it's not seeping into women and men through other means.
[00:49:58.623 --> 00:50:09.786]  You might even notice on some of the food packaging actually it'll say BPA free because they know that so many people caught on to it just like they'll be labeled high fructose corn syrup free and you know no GMO.
[00:50:09.786 --> 00:50:16.468]  So I have seen food packaging that says no BPA but this is a report just from last month
[00:50:17.068 --> 00:50:34.683]  Worrisome BPA levels found in sportswear by Nike, Adidas, Patagonia, and more because, well, a lot of the sports gear is made from synthetic fibers because it doesn't absorb the moisture like cotton does and it helps, you know, wick it away.
[00:50:34.683 --> 00:50:41.769]  The Centers for Environmental Health have sent legal notices to eight active sportswear brands after finding high levels of BPA in their clothing.
[00:50:42.349 --> 00:50:54.597]  A chemical that experts have found could potentially increase blood pressure, the risk of cardiovascular disease, oh, and cause infertility and other birth defects to the fetus.
[00:50:54.597 --> 00:50:57.899]  I'm sure that it's just a minute amount seeping into people's bodies, though.
[00:50:57.899 --> 00:50:59.059]  No cause for alarm, right?
[00:51:00.100 --> 00:51:01.360]  Oh wait, what's this?
[00:51:01.360 --> 00:51:14.564]  The Centers for Environmental Health announced that they initiated legal action against 8 active sportswear brands after they found the brands had more than 40 times the legal limit of BPA in their clothes.
[00:51:14.564 --> 00:51:24.847]  Last year, Tucker Carlson made a comment about chemicals in the food turning kids trans, and he was, of course, attacked as being transphobic for that.
[00:51:25.627 --> 00:51:29.008]  And there's the Daily Beast, an online waste of cyberspace.
[00:51:29.008 --> 00:51:36.632]  Compare to Alex Jones, Tucker's new Alex Jones idea, chemicals in the milk that turn the kids trans.
[00:51:36.632 --> 00:51:42.974]  And very soon, if not today, then definitely later this week, the mainstream media is going to be comparing Robert F. Kennedy Jr.
[00:51:42.974 --> 00:51:44.855]  to Alex Jones as well for
[00:51:45.635 --> 00:51:54.857]  Daring to point out the evidence that Atrazine and other endocrine disruptors may be causing this gender dysphoria epidemic.
[00:51:54.857 --> 00:52:01.798]  So far on Google News, there is only one article that is mentioning RFK Jr.
[00:52:01.798 --> 00:52:14.220]  talking about Atrazine, and that's from PJ Media, which is an independent outlet, and the headline is, RFK goes where few tread, vindicates the Alex Jones gay frogs conspiracy theory.
[00:52:14.640 --> 00:52:17.502]  So very soon they're going to be saying that Robert F. Kennedy Jr.
[00:52:17.502 --> 00:52:30.352]  is as crazy as Alex Jones and condemn him for daring to say that there's anything wrong with the amazing transgender epidemic that they should only be celebrated.
[00:52:30.352 --> 00:52:32.714]  And anybody who would dare suggest that
[00:52:33.314 --> 00:52:43.158]  They're born with a birth defect or that there's some mass poisoning going on due to endocrine disruptors being in the drinking water or in the food packaging or in the clothing.
[00:52:43.158 --> 00:52:45.920]  Those people are horrible transphobes.
[00:52:45.920 --> 00:52:51.262]  Now, I have not heard Matt Walsh, who is basically the biggest anti-transgender activist out there, who
[00:52:51.642 --> 00:53:08.952]  I have a lot of respect for his film, What Is Woman?, absolutely fantastic, but I have not heard him talk about the INAH region of the brain, or these chemicals, the endocrine disruptors possibly causing abnormal estrogen levels in the womb and feminizing the brains of young boys and causing this.
[00:53:08.952 --> 00:53:12.734]  I could be wrong, I just haven't seen him talking about these issues.
[00:53:12.734 --> 00:53:18.638]  Let me know in the comments below if this is an issue that he has addressed, because instead of just talking about the problem,
[00:53:19.218 --> 00:53:24.999]  We should really start talking about the cause, instead of just the symptoms, talk about the cause.
[00:53:24.999 --> 00:53:37.383]  And if there's anybody who's in a position to raise enough awareness about this in the medical community to actually get some scientists to start doing some serious investigations into this, it's Matt Walsh.
[00:53:37.383 --> 00:53:43.084]  But again, that's an area of inquiry that you're really not allowed to go down as a talk show host or as a scientist.
[00:53:43.444 --> 00:53:53.672]  A couple of the scientists have, like I said, that's covered at the end of Dr. Debra So's book, The End of Gender, but you're only supposed to say that whatever is causing it, it's great!
[00:53:53.672 --> 00:54:04.161]  It's an amazing evolution of mankind and you can't dare say that there's anything abnormal about it or that it should be prevented or cured.
[00:54:04.241 --> 00:54:07.063]  But I got one more point for you to ponder before we wrap this up.
[00:54:07.063 --> 00:54:20.593]  This is from 2015, when Bruce Jenner was first transitioning into Caitlyn, and Bruce Jenner's sexual preference uncertain after cross-sex hormone therapy.
[00:54:20.593 --> 00:54:22.374]  Well, what does that mean, you ask?
[00:54:22.774 --> 00:54:33.256]  Bruce Jenner, who has been married three times and produced six children, could become attracted to men after a powerful element of his transition into a woman takes hold.
[00:54:33.256 --> 00:54:38.217]  This according to medical experts and members of the transgender community.
[00:54:38.217 --> 00:54:47.719]  TMZ has spent several days surveying medical experts who tell us Bruce is in the middle of cross-hormone sex therapy, which involves heavy doses of estrogen.
[00:54:48.519 --> 00:54:57.441]  The estrogen drives down levels of testosterone and the brain feminizes, in the vernacular, he begins to think like a woman.
[00:54:57.441 --> 00:55:03.043]  Several prominent doctors in the field tell us the hormones often change sexual preference.
[00:55:03.043 --> 00:55:07.284]  Not gender identity, big difference, sexual preference.
[00:55:07.284 --> 00:55:16.506]  One leader in the transgender community tells TMZ she says that based on 300 transgenders in various countries, one third of them retained their sexual preference.
[00:55:17.086 --> 00:55:23.995]  One-third identified themselves as bisexual, and one-third changed their sexual preference.
[00:55:23.995 --> 00:55:33.507]  So if giving cross-hormone therapy, if giving estrogen to men, can actually cause them to change their sexual preference,
[00:55:33.988 --> 00:55:57.314]  For the sex that they are attracted to, then why aren't we actually just giving testosterone to transgender boys and men who think that they feel like a woman in order to boost their testosterone levels instead of actually give them cross-hormones to then alter their physical appearance and feminize the brain?
[00:55:57.854 --> 00:56:02.918]  Aren't they really just suffering from a lack of testosterone?
[00:56:02.918 --> 00:56:11.545]  Is it possible that the transgender movement put the cart before the horse and is looking at this entire issue from the completely wrong perspective?
[00:56:11.545 --> 00:56:16.730]  Instead of operating on people's bodies, trying to change their body to match their brain,
[00:56:17.677 --> 00:56:23.559]  Couldn't hormone therapy alter the brain so that it then matches the body that they were born with?
[00:56:23.559 --> 00:56:28.540]  You're not supposed to talk about these things, which sadly is a large part of the problem.
[00:56:28.540 --> 00:56:28.940]  Whoops!
[00:56:28.940 --> 00:56:31.261]  I guess you're not even supposed to call it a problem.
[00:56:31.261 --> 00:56:32.301]  Uh, the issue.
[00:56:32.301 --> 00:56:33.722]  I meant the issue.
[00:56:48.783 --> 00:56:50.723]  I'm watching the midterms.
[00:56:50.723 --> 00:56:54.584]  Man, you would think our country is Mad Max Thunderdome.
[00:56:54.584 --> 00:57:02.246]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[00:57:02.246 --> 00:57:04.447]  There's a liberal mob that's coming.
[00:57:04.447 --> 00:57:10.148]  You voted Trump!
[00:57:10.148 --> 00:57:15.949]  You voted Trump!
[00:57:15.949 --> 00:57:16.950]  Yeah!
[00:57:16.950 --> 00:57:18.250]  You're the president.
[00:57:21.855 --> 00:57:44.100]  And you would think everybody in the country is just like, to the bunker.
[00:57:50.632 --> 00:57:53.753]  I talk a lot about the great successes InfoWars has had.
[00:57:53.753 --> 00:57:56.054]  I don't think anybody can deny it.
[00:57:56.054 --> 00:57:59.996]  And it is because of listeners and viewers supporting us.
