[00:00:00.169 --> 00:00:01.209]  They want ugliness.
[00:49:33.443 --> 00:49:39.310]  She died after suffering blood clots just over a week after receiving the AstraZeneca vaccine.
[00:49:39.770 --> 00:49:43.975]  Her 58-year-old mother died less than an hour after receiving the Pfizer vaccine.
[00:49:44.216 --> 00:49:45.617]  My little sister just died.
[00:49:46.892 --> 00:49:47.832]  Her first dose.
[00:49:48.192 --> 00:49:53.994]  And in Orange County, an x-ray technician has died after getting his second dose of the Pfizer vaccine.
[00:49:54.274 --> 00:49:57.914]  His dad died four days after getting his second shot of Pfizer vaccine.
[00:49:58.294 --> 00:50:01.515]  I'm not asking what's in the infusion.
[00:50:01.995 --> 00:50:06.116]  I'm not looking up all of the ingredients in the infusion.
[00:50:07.256 --> 00:50:11.417]  I am sticking out my arm and I am taking the infusion.
[00:50:12.678 --> 00:50:14.438]  You really need to get vaccinated.
[00:50:16.730 --> 00:50:19.152]  Don't resist when they release the bioweapon.
[00:50:19.392 --> 00:50:22.055]  Submit and die with pleasure!
[00:50:26.158 --> 00:50:26.879]  InfoWars.
[00:50:27.239 --> 00:50:28.140]  Tomorrow's news.
[00:50:28.240 --> 00:50:32.240]   today ah
[00:50:59.680 --> 00:51:06.179]   Most of human history has been competing systems of tyranny fighting with each other
[00:51:06.179 --> 00:51:16.179]  [BLANK_AUDIO]
[00:51:07.512 --> 00:51:15.340]  But only in the Renaissance age, the last 550 years, have we seen a move to try to empower humanity and lift up the masses, and it did it.
[00:51:16.140 --> 00:51:25.830]  But the globalists have made the conscious decision to reverse all that, destroy culture, art, literature, the family, prosperity, and create a nightmare system for 99.99% of the public.
[00:51:25.870 --> 00:51:27.592]  Why would anyone support what they do?
[00:51:31.943 --> 00:51:38.930]  But they trick people through the educational system and through the culture to think they're winners if they go along with the New World Order.
[00:51:39.811 --> 00:51:42.634]  Now we're already in a war with Russia.
[00:51:43.555 --> 00:51:45.036]  It's spiraling out of control.
[00:51:45.697 --> 00:51:49.441]  There's massive censorship and control, book banning going on everywhere.
[00:51:49.461 --> 00:52:04.857]   And then the left accuses populists and conservatives and nationalists and classical liberals Of book banning when we don't want pedophilic books given to elementary and middle schoolers, teaching them to have pedophilic sex with adults.
[00:52:05.757 --> 00:52:09.179]  No, that's not book banning, that's saying don't give those books to children.
[00:52:09.999 --> 00:52:14.922]  The left are the ones banning films, banning individuals, banning literature, rewriting books.
[00:52:16.103 --> 00:52:18.024]  And we covered a lot of that in the last hour.
[00:52:18.424 --> 00:52:23.327]  As British intelligence openly says, Shakespeare and George Orwell and J.R.R.
[00:52:23.427 --> 00:52:24.468]  Tolkien are bad.
[00:52:25.523 --> 00:52:32.172]  We're taking your calls on those subjects, and McCarthy has made good on his promise to release the January 6 footage.
[00:52:32.653 --> 00:52:36.419]  I would have done an open source to the world, but he's giving it to Tucker Carlson, who I do trust.
[00:52:36.799 --> 00:52:38.521]  I don't know how Tucker's going to digest all that.
[00:52:39.909 --> 00:52:41.970]  Jim Hoff joins us at the bottom of the hour to discuss it.
[00:52:42.131 --> 00:52:44.072]  We're going to go back to your phone calls here in a moment.
[00:52:44.172 --> 00:52:45.873]  Allison in the UK and others.
[00:52:46.694 --> 00:52:50.737]  But first, Jimmy Dore was at the big Peace Rally Saturday with Ron Paul and others.
[00:52:51.337 --> 00:52:52.157]  I really like Jimmy Dore.
[00:52:52.178 --> 00:52:52.838]  I want him on the show.
[00:52:53.619 --> 00:52:55.320]  But he doesn't ever come on.
[00:52:55.520 --> 00:52:57.942]  We send him emails, but he says nice stuff about me everywhere.
[00:52:58.262 --> 00:53:03.187]   The guy's really funny and smart, even though he's kind of a We're approved now.
[00:53:03.207 --> 00:53:11.174]  He kind of woken up from the old days when he was spitting on me in public and things at the Young Turks at the RNC in 2016.
[00:53:11.935 --> 00:53:17.621]  But here's Jimmy Dore on Patrick Ben-David's program just yesterday, knocking it out of the park.
[00:53:18.240 --> 00:53:25.304]  The only difference between a Democrat and a Republican, as Ralph Nader said, is the speed at which their knee hits the floor when a donor walks in the room.
[00:53:26.444 --> 00:53:28.365]  And so it doesn't matter who's president.
[00:53:28.705 --> 00:53:30.847]  Barack Obama was not a departure from George Bush.
[00:53:30.887 --> 00:53:32.427]  He was a continuation of George Bush.
[00:53:32.447 --> 00:53:34.188]  He took us from two wars to seven wars.
[00:53:34.528 --> 00:53:39.771]  He kicked 5.1 million families out of their homes while he made sure the bankers didn't miss their bonuses.
[00:53:40.111 --> 00:53:43.233]  He deported twice as many Hispanics as Donald Trump.
[00:53:43.713 --> 00:53:46.054]  He built those cages that put those people in.
[00:53:46.074 --> 00:53:47.835]  He dropped 26,000 bombs.
[00:53:48.315 --> 00:53:50.216]  The Air Force ran out of bombs.
[00:53:50.356 --> 00:53:50.956]  That's a fact.
[00:53:51.216 --> 00:53:51.857]  They ran out of bombs.
[00:53:51.897 --> 00:53:52.737]  He dropped so many bombs.
[00:53:52.977 --> 00:53:56.919]  He did a drone war, a drone program, that killed 90% innocent people.
[00:53:57.099 --> 00:54:02.301]  You know, if somebody walks into a mall and shoots 15 people down with this gun, that's the biggest thing.
[00:54:02.341 --> 00:54:06.703]  Oh my God, Barack Obama was doing that on a daily basis, killing women and children with his drone war.
[00:54:06.823 --> 00:54:10.503]   and he got a Nobel Peace Prize. He got a Nobel Peace Prize, he didn't even do anything.
[00:54:10.503 --> 00:54:13.783]  That's hum- and so it's a unit party.
[00:54:13.783 --> 00:54:17.422]   And so when Trump got in office and he mentioned that there's a deep state,
[00:54:17.422 --> 00:54:19.662]  they're like, "You can't say that! What are you doing?"
[00:54:19.662 --> 00:54:22.903]   And when he said, "Hey, when they asked him, 'Why are you leaving your troops in Syria?'
[00:54:22.903 --> 00:54:26.502]   and he said, 'For the oil.' They're like, 'You can't bug us!' He goes, 'No, it's for the oil.'"
[00:54:26.627 --> 00:54:27.488]  No, it's for liberty.
[00:54:27.528 --> 00:54:28.508]  It's for helping the people.
[00:54:28.528 --> 00:54:29.389]  No, it's for the oil.
[00:54:29.449 --> 00:54:30.070]  It's our oil.
[00:54:30.250 --> 00:54:32.792]  And so he let the cat out of the bag, and they can't have that.
[00:54:32.912 --> 00:54:35.695]  That's what he blew the whistle on what's actually going on.
[00:54:35.795 --> 00:54:36.916]  Our wars are for oil.
[00:54:37.296 --> 00:54:40.639]  Our wars are economic wars, just like what's happening in Ukraine.
[00:54:40.659 --> 00:54:41.620]  This is an economic war.
[00:54:41.640 --> 00:54:43.742]  We're trying to put a hurt and isolate Russia.
[00:54:44.102 --> 00:54:51.243]  We're afraid of Russia and their natural resources and their manpower coming together with Germany with their technology and their capital.
[00:54:51.544 --> 00:54:53.564]  And we've been saying that for decades.
[00:54:53.644 --> 00:54:56.284]  And so that's why we blew up the Nord Stream pipeline.
[00:54:56.304 --> 00:54:58.245]  And that's why this Ukraine war is happening.
[00:54:58.805 --> 00:55:00.945]  And people have no idea what's happening.
[00:55:00.965 --> 00:55:04.086]  And what's worse is they have no idea that they have no idea what's happening.
[00:55:04.126 --> 00:55:05.006]  That's the crazy part.
[00:55:07.027 --> 00:55:08.167]  Very well said.
[00:55:08.347 --> 00:55:09.207]  Absolutely true.
[00:55:09.227 --> 00:55:11.067]  I want to play one more clip.
[00:55:11.087 --> 00:55:11.988]  I'm going to go to your calls.
[00:55:12.048 --> 00:55:18.982]   This is a woman in Brazil, where the convicted felon communist has been installed by the State Department election fraud.
[00:55:19.942 --> 00:55:28.526]  Talking about two to three years in prison and your children being taken away and all of this and they'll still forcibly inject you with the Pfizer and Moderna mRNA shots.
[00:55:28.586 --> 00:55:33.288]  That's where they want to take us and it's only one election away if they're able to get their way.
[00:55:33.328 --> 00:55:34.209]  Look what they've done in Brazil.
[00:55:34.249 --> 00:55:34.629]  Here it is.
[00:55:35.089 --> 00:55:36.710]  This is completely insane.
[00:55:36.750 --> 00:55:37.830]  This is a nightmare.
[00:55:37.910 --> 00:55:38.991]  Listen very well.
[00:55:39.611 --> 00:55:50.203]  The penalty is imprisonment from two to eight years plus fine if you refuse vaccination without just cause.
[00:55:50.363 --> 00:56:11.084]   The same penalty is incurred by anyone who creates, disseminates or propagates by any means Fake news regarding vaccines in the National Immunization Program, or their effectiveness, which in any way dissuades vaccination.
[00:56:11.284 --> 00:56:14.587]  Right now, I'm sure that my life is in danger.
[00:56:16.028 --> 00:56:17.109]  I have no doubt about it.
[00:56:18.513 --> 00:56:21.275]  Now that's always been the plan through the U.N.
[00:56:21.315 --> 00:56:22.416]  announcements and now the U.N.
[00:56:22.456 --> 00:56:37.125]  treaty to arrest those that don't take shots and put them in jail and then give you a special high-powered mRNA shot, which they arrested thousands that protested the election fraud and gave them shots that reportedly were even far deadlier than the normal ones.
[00:56:37.505 --> 00:56:41.108]  This is all just the cover for execution.
[00:56:41.688 --> 00:56:44.490]  This is how they come in a biomedical tyranny.
[00:56:45.708 --> 00:56:48.370]  They're not starting World War III, they're coming after our bodily autonomy.
[00:56:48.990 --> 00:56:51.412]  Alison in the United Kingdom, thanks for calling, you're on the air.
[00:56:52.653 --> 00:56:53.433]  Yes, hi.
[00:56:53.914 --> 00:56:54.214]  Welcome.
[00:56:55.315 --> 00:56:55.975]  Hi, thank you.
[00:56:55.995 --> 00:57:20.784]   The question was raised by you earlier about how to stop World War III, and I wanted to say I think there should be a neutral territory between, you know, Poland and Between Russia and Poland, where it's just no government should be exercised.
[00:57:22.244 --> 00:57:34.931]  It should be equal parts according to the ratio of space to people from each country, so that there's no tiff about who should fight over what area.
[00:57:36.392 --> 00:57:38.153]  You know what I mean, I think.
[00:57:40.755 --> 00:57:41.075]  Hello?
[00:57:41.296 --> 00:57:41.656]  Yes, ma'am.
[00:57:44.838 --> 00:57:46.479]  And good products, too, by the way.
[00:57:46.560 --> 00:57:48.421]  And I got your great reset book as well.
[00:57:48.461 --> 00:57:50.923]  I haven't read it yet, but it's a signed copy.
[00:57:51.623 --> 00:57:52.664]  Well, thank you for the support.
[00:57:52.704 --> 00:57:56.007]  It's people like you, Allison, that keep the broadcast on the air.
[00:57:56.227 --> 00:58:00.390]  And look, my big issue is, why aren't there bigger protests?
[00:58:00.450 --> 00:58:05.073]  Why aren't more people upset about something that is quickly, again, escalating into nuclear war?
[00:58:05.514 --> 00:58:06.494]  That's my issue.
[00:58:07.475 --> 00:58:09.737]  Yeah, prayer and fasting, too, of course.
[00:58:10.362 --> 00:58:11.603]  To stop a war like this.
[00:58:12.443 --> 00:58:14.725]  Well, you sound like you're an American or a Canadian.
[00:58:14.965 --> 00:58:16.146]  How long have you lived in the UK?
[00:58:17.807 --> 00:58:18.247]  Not long.
[00:58:18.287 --> 00:58:20.088]  I moved here because I married someone.
[00:58:22.250 --> 00:58:23.030]  How are you liking it?
[00:58:24.031 --> 00:58:27.053]  Well, it's a big adjustment, trust me.
[00:58:28.334 --> 00:58:30.215]  But the people here are very nice.
[00:58:31.601 --> 00:58:35.563]  They're too nice, and that's why the globalists are conquering the UK and Canada and everywhere else.
[00:58:35.903 --> 00:58:38.964]  It's time to stop being so nice to what the New World Order's doing.
[00:58:38.984 --> 00:58:40.185]  But no, I absolutely hear you.
[00:58:40.205 --> 00:58:41.446]  I appreciate your call.
[00:58:41.506 --> 00:58:41.946]  Thank you.
[00:58:42.626 --> 00:58:45.087]  Let's go ahead and talk to another caller.
[00:58:45.888 --> 00:58:56.392]  Let's go ahead and talk to... Hmm... Let's talk to Linda in Oklahoma.
[00:58:56.432 --> 00:58:59.274]  Linda, you're on the air on China and the fentanyl crisis.
[00:58:59.294 --> 00:58:59.594]  Go ahead.
[00:59:00.660 --> 00:59:01.840]  Thank you for having me.
[00:59:02.441 --> 00:59:10.764]  I just want to call and ask people that claim to be Christian, please pray for the church.
[00:59:11.444 --> 00:59:12.945]  They have failed us.
[00:59:13.645 --> 00:59:18.207]  They are falling right in line with all of this propaganda.
[00:59:18.527 --> 00:59:26.170]  I just lost my grandson to fentanyl, and he's 33 years old with a four-year-old.
[00:59:26.190 --> 00:59:26.770]  Oh my goodness.
[00:59:26.930 --> 00:59:29.051]  And it should have never happened.
[00:59:29.779 --> 00:59:35.003]  And we had a woman there that used to be an awesome, awesome pastor in that town.
[00:59:35.924 --> 00:59:47.172]  She got up and started talking about loving Mother Earth and how we can talk to the dead and we can raise the dead and they can walk with us, we just don't see them.
[00:59:48.112 --> 01:00:04.970]   But God talked to me before I went to the funeral and I was washing my car and crying my eyes out and God said, Will you stand up and say something for me if you get asked to speak?
[01:00:05.731 --> 01:00:14.318]  And I said, yes Lord, I want everybody to know about this killer drug and I want everybody to know that we better get in prayer.
[01:00:14.538 --> 01:00:15.539]  Linda, don't hang up.
[01:00:15.639 --> 01:00:18.721]  I want you to repeat what you said at your grandson's funeral.
[01:00:19.662 --> 01:00:20.663]  When we come back.
[01:00:20.683 --> 01:00:21.483]  Don't hang up, Linda.
[01:00:21.503 --> 01:00:22.043]  Stay right there.
[01:00:22.063 --> 01:00:23.384]  I want to hear what you said there.
[01:00:23.884 --> 01:00:30.007]  And whether it's at a funeral, or whether it's a city council, or whether it's the church, or whether it's at work, we all need to start being heard.
[01:00:31.128 --> 01:00:34.690]  None of us have to reach a million people, but we've all got to reach 10, 20 people a day.
[01:00:35.090 --> 01:00:36.290]  This is an information war.
[01:00:36.330 --> 01:00:37.171]  It's a spiritual war.
[01:00:37.491 --> 01:00:38.752]  Linda, sweetheart, stay right there.
[01:00:39.679 --> 01:00:41.100]  Monday through Friday from 11 a.m.
[01:00:41.120 --> 01:00:41.580]  to 3 p.m.
[01:00:41.620 --> 01:00:47.083]  Central it's the Alex Jones Show right here coming to you from InfoWars.com on stations across the country.
[01:00:47.983 --> 01:00:50.864]  Very thankful all those wonderful affiliates please support them.
[01:00:52.165 --> 01:00:55.747]  We've got some big guests coming up.
[01:00:56.946 --> 01:00:58.147]  Stu Peters hasn't been on in a while.
[01:00:58.207 --> 01:00:58.967]  He's been on fire.
[01:00:59.607 --> 01:01:01.728]  He's going to cover a ton of big issues with us in the next hour.
[01:01:02.468 --> 01:01:05.089]  We've got Jim Hoffman, Gateway Pundit, popping in.
[01:01:05.229 --> 01:01:08.411]  We'll continue with calls and we'll be hosting the fourth hour today.
[01:01:09.171 --> 01:01:10.712]  Let's move through your calls as quickly as possible.
[01:01:10.732 --> 01:01:14.313]  But I want to go back to Linda in Oklahoma, who lost her grandson to fentanyl.
[01:01:15.854 --> 01:01:17.914]  And that's one of my biggest concerns.
[01:01:18.275 --> 01:01:21.839]   My children Two of them are completely grown up.
[01:01:22.199 --> 01:01:23.541]  One of them's in high school.
[01:01:23.901 --> 01:01:24.662]  Another one's five.
[01:01:24.722 --> 01:01:30.588]  But so many of these drugs out there, like even marijuana, get laced with fentanyl and kill people.
[01:01:31.268 --> 01:01:32.049]  And everybody knows about that.
[01:01:32.089 --> 01:01:33.050]  Hundreds of thousands a year.
[01:01:33.070 --> 01:01:34.652]  It's getting worse all the time.
[01:01:35.313 --> 01:01:37.395]  That's why young people can't experiment, folks.
[01:01:39.096 --> 01:01:41.139]  You don't want to think, oh, I'll experiment with marijuana.
[01:01:41.159 --> 01:01:42.120]  Let me experiment with something else.
[01:01:42.160 --> 01:01:43.221]  Because you don't know.
[01:01:45.364 --> 01:01:48.245]  And most people getting killed don't even know that they took fentanyl.
[01:01:48.905 --> 01:01:52.327]  And so, I would just tell young people, do not take anything.
[01:01:53.727 --> 01:01:56.228]  What did you say to your church that God laid on your heart, Linda?
[01:01:58.369 --> 01:01:58.829]  I got up.
[01:01:59.069 --> 01:02:05.931]  God knew that this woman was going to be there, and we all started praying and binding and gagging that spirit.
[01:02:06.052 --> 01:02:17.430]   So when I got up there, I told them about my car wash experience, and I said, I'm here to tell you There was a bunch of drug addicts out there, and God wanted to talk to them.
[01:02:17.730 --> 01:02:25.134]  And I said, if you're doing drugs, or if you've tried it, or if you're thinking about it, I said, call on God.
[01:02:25.194 --> 01:02:26.355]  Get down on your knees.
[01:02:26.655 --> 01:02:28.216]  Go to your car right now.
[01:02:28.737 --> 01:02:29.677]  You need God.
[01:02:29.737 --> 01:02:30.958]  He can help you through this.
[01:02:31.639 --> 01:02:34.260]  And I said, Cameron went to every rehab.
[01:02:34.581 --> 01:02:40.264]  Sometimes they were $20,000 and $30,000, and we've been trying to help him for 16 years.
[01:02:41.145 --> 01:02:42.826]  And then fentanyl came along.
[01:02:43.556 --> 01:02:46.978]  And I said, you've got to try, God.
[01:02:47.899 --> 01:02:57.546]  And I was just speaking as a grandmother, and I said, you don't want to see, you don't want your grandparents to see you here.
[01:02:57.566 --> 01:03:03.430]  And God was just pleading with them, because I didn't even want to go up there if it was me.
[01:03:03.970 --> 01:03:07.713]  And I can't remember everything I said, because it was God.
[01:03:07.733 --> 01:03:10.555]  That's beautiful, and I would just say this.
[01:03:11.806 --> 01:03:23.569]  For anybody thinking about using any drugs, street drugs, you name it, it's like putting a revolver .357 mag in your head that has one bullet in it and pulling the trigger and playing Russian Roulette.
[01:03:24.169 --> 01:03:28.431]  Folks, you cannot use any street drugs, period.
[01:03:28.491 --> 01:03:29.271]  I know they're everywhere.
[01:03:30.134 --> 01:03:31.596]  You cannot do it.
[01:03:31.997 --> 01:03:33.218]  Drugs are just everywhere now.
[01:03:34.059 --> 01:03:38.425]  And I've been in hotels and bars and people, you know, the bartenders try to sell me drugs.
[01:03:38.485 --> 01:03:39.527]  I mean, are you kidding?
[01:03:39.547 --> 01:03:44.133]  I mean, A, I wouldn't be taking them anyways, but I did experiment some in high school and college.
[01:03:44.613 --> 01:03:46.456]  Never a lot because it always made me feel so bad.
[01:03:46.476 --> 01:03:46.536]  But...
[01:03:48.424 --> 01:03:50.465]  I don't know how anybody takes like methamphetamine or cocaine.
[01:03:50.485 --> 01:03:51.646]  I've taken both of them a few times.
[01:03:51.987 --> 01:03:54.128]  You talk about feeling like you were run over by a car the next day.
[01:03:54.909 --> 01:03:59.712]  But folks, for young people listening, don't ever use any of it.
[01:04:00.313 --> 01:04:02.894]  And don't go to parties where it's going on because they'll put it in your drink.
[01:04:03.675 --> 01:04:09.239]  Ma'am, I love you and I appreciate you and you'll hopefully see your grandson in the future.
[01:04:09.279 --> 01:04:09.799]  God bless you.
[01:04:12.081 --> 01:04:13.502]  Hopefully he'll be with us in heaven.
[01:04:14.463 --> 01:04:16.764]  Kelly in Chicago, thanks for holding her on the air.
[01:04:16.804 --> 01:04:17.105]  Go ahead.
[01:04:18.520 --> 01:04:19.720]  Hi Alex, how are you?
[01:04:19.740 --> 01:04:24.122]  I'm pretty bummed out with World War 3 and all the fentanyl and it's just, we're under attack.
[01:04:25.102 --> 01:04:26.142]  Same, same here.
[01:04:26.422 --> 01:04:32.684]  So I'm calling because I'm very interested in what Tucker's going to find, what he's going to release.
[01:04:33.304 --> 01:04:36.325]  I was at January 6th, I was at St.
[01:04:36.345 --> 01:04:36.645]  D.C.
[01:04:37.385 --> 01:04:42.367]  November, December, hung out with some of your crew outside the Marriott, some of those trips.
[01:04:44.477 --> 01:04:51.760]  We, when we went there, my sister-in-law and some other girls that we were friends with, we went, we went there and we were, you know, walking up to the Capitol.
[01:04:52.560 --> 01:05:01.084]  We were making our way up there and now I know who it is, but Kevin Greeson's body was brought down right next to us.
[01:05:02.684 --> 01:05:04.285]  Um, you there?
[01:05:04.725 --> 01:05:05.325]  I'm listening.
[01:05:05.926 --> 01:05:06.166]  Yes.
[01:05:06.666 --> 01:05:07.166]  Yeah.
[01:05:07.466 --> 01:05:07.626]  Yeah.
[01:05:08.106 --> 01:05:14.717]   So I, I looked and looked and tried to find for, For months and months, who that was.
[01:05:15.897 --> 01:05:22.102]  You knew the person was, at that point, you know, we could see clearly he was either deceased at the time or close to it.
[01:05:22.902 --> 01:05:25.404]  I couldn't find anything on him.
[01:05:25.504 --> 01:05:41.115]  It wasn't until about six months ago, I'm not sure if it was one of the Epoch Times releases or one of the other ones that finally came out about six months ago, where we were able to actually even learn that this person existed.
[01:05:42.085 --> 01:05:44.486]  Other than what we saw with our own two eyes.
[01:05:45.827 --> 01:05:53.310]  And I can tell you the spirit of myself who went there and so many others that I spoke with that trip.
[01:05:53.690 --> 01:06:00.793]  You know, we went with a group of strangers that we met on the previous trip and we were there, you know, to support our president.
[01:06:00.813 --> 01:06:04.614]  There was no ill will, no bad intentions.
[01:06:05.735 --> 01:06:10.777]  When we walked up the Capitol, what we saw was something I had never experienced in any other trip to D.C.
[01:06:11.918 --> 01:06:14.682]  I looked at my sister-in-law and I said, those are not our people.
[01:06:15.103 --> 01:06:16.846]  Those cannot be our people.
[01:06:17.346 --> 01:06:22.313]  People climbing on statues and gas masks with weapons.
[01:06:23.135 --> 01:06:28.142]  I was not typical of the Trump supporters and the America First group.
[01:06:28.815 --> 01:06:31.656]  So I'm very interested to see what he uncovers.
[01:06:31.676 --> 01:06:35.178]  There's tons of footage of patrons trying to stop the people breaking in.
[01:06:35.678 --> 01:06:38.799]  They tricked a few people to join them, but overall it was feds and it's all coming out.
[01:06:38.819 --> 01:06:44.862]  I can tell you, I know it's come out in the court and it's been secret, and it was being run by the CIA and the FBI.
[01:06:44.882 --> 01:06:46.722]  They had sex operatives, they had everything.
[01:06:47.142 --> 01:06:48.823]  They had a battle plan to attack the Capitol.
[01:06:48.843 --> 01:06:50.024]  They were trying to shop around.
[01:06:50.564 --> 01:06:52.545]  They were trying to set us all up, including myself.
[01:06:53.065 --> 01:06:55.046]  But I'm just glad, Kelly, that it's all going to be coming out.
[01:06:55.066 --> 01:06:56.986]  God bless Tucker Carlson and everybody else.
[01:06:57.026 --> 01:06:57.927]  Thank you so much, Kelly.
[01:06:58.783 --> 01:07:00.884]  All right, let's go to Wendy in Alaska.
[01:07:00.904 --> 01:07:02.064]  Go ahead, Wendy, you're on the air.
[01:07:03.185 --> 01:07:04.085]  Well, good morning, Alex.
[01:07:04.125 --> 01:07:04.946]  How are you today?
[01:07:04.966 --> 01:07:09.928]  I mean, I just love my family and love everybody else, and I can't believe we're already entering World War III.
[01:07:09.988 --> 01:07:10.628]  I'm pretty upset.
[01:07:11.689 --> 01:07:18.391]  Yeah, well, I just want to say thank you to InfoWars, the whole staff, and especially to you for all that you have sacrificed, as well as your family.
[01:07:19.392 --> 01:07:23.574]  We're pretty heavy duty in Alaska, as far as Alex supporters.
[01:07:24.710 --> 01:07:27.673]  And I just wanted to let you know that we love your products.
[01:07:27.713 --> 01:07:34.919]  The Winter Sun, the X-T Spray, the Super Blue toothpaste were the gift to all the teenagers for Christmas this year to get them off the junk.
[01:07:35.960 --> 01:07:41.185]  But I'm calling about a book that we're dealing with in the state of Alaska right now.
[01:07:41.285 --> 01:07:45.068]  The educational system is trying to incorporate.
[01:07:45.088 --> 01:07:46.670]  It's called Let's Talk About It.
[01:07:47.350 --> 01:07:48.772]  And it's by Erica Moen.
[01:07:48.872 --> 01:08:04.116]   And it's a book basically that relates to Adult sex with children, teaching kids how to get on to porn on the internet, how to do some pretty aggressive and very unnatural things, and to accept it and to be glad for it.
[01:08:04.136 --> 01:08:09.982]  Oh, the head censor at Twitter, remember, defended children getting on homosexual hookup sites.
[01:08:10.002 --> 01:08:10.182]  Yeah.
[01:08:10.202 --> 01:08:13.426]  I mean, they are literally trying to tell children to have sex with adults.
[01:08:14.318 --> 01:08:15.659]  Oh, it's disgusting.
[01:08:15.699 --> 01:08:20.623]  We went to the school board and actually the school board shut down one of the lead speakers because they didn't want to hear about it.
[01:08:20.823 --> 01:08:22.605]  Basically told him to just walk out the door.
[01:08:23.385 --> 01:08:35.875]  So, my other topic basically is, you know, up in Alaska we have a little bit of information along the Aleutian Chain and I think, you know, we look at the borders with that crazy Newsom in California, you got that Hobbs in Arizona.
[01:08:36.556 --> 01:08:39.339]  And up here with Trudeau, you know, we're basically wide open.
[01:08:39.699 --> 01:08:45.264]  They've created a perfect triad for World War III, and we're all sitting ducks off the Aleutian chain.
[01:08:45.304 --> 01:08:48.287]  We have had sightings of ships that are not American ships.
[01:08:49.187 --> 01:08:51.649]  And people up here are pretty concerned.
[01:08:51.749 --> 01:08:52.210]  Absolutely.
[01:08:52.230 --> 01:08:55.372]  You're on the front lines if this thing goes nuclear with Russia.
[01:08:55.713 --> 01:08:57.174]  But what you mention is big news.
[01:08:57.254 --> 01:09:01.878]  Alaska board members brawl over silencing dad exposing book on kinks and sexting.
[01:09:01.958 --> 01:09:02.799]  I'm going to interrupt you.
[01:09:03.099 --> 01:09:05.201]  So they won't let the parents read what's in the book.
[01:09:05.241 --> 01:09:07.102]  They just give it to your 6th and 7th graders.
[01:09:07.623 --> 01:09:08.323]  This is sick.
[01:09:08.884 --> 01:09:10.765]  These people are evil beyond belief.
[01:09:11.126 --> 01:09:11.946]  Corrupting our children.
[01:09:11.966 --> 01:09:12.487]  Thank you, Wendy.
[01:09:13.126 --> 01:09:24.170]  Alright, we've got a bunch of other calls I'll get to you all, but we've got Jim Hoft of Gateway Pundit giving us a little prelude on what's going to be coming out with this big Tucker Carlson situation where he has gotten the January 6th footage.
[01:09:24.630 --> 01:09:25.991]  TheGatewayPundit.com.
[01:09:26.031 --> 01:09:26.791]  Tucker Carlson.
[01:09:27.632 --> 01:09:28.292]  Alex Jones.
[01:09:30.080 --> 01:09:37.345]  James O'Keefe, you can really count on one hand who the real fighters are, and it's you, the viewers and listeners, that make it all possible.
[01:09:37.385 --> 01:09:39.166]  We've got some really bad news.
[01:09:39.206 --> 01:09:40.007]  We knew it was coming.
[01:09:40.047 --> 01:09:41.908]  It was a lie that James O'Keefe resigned.
[01:09:41.928 --> 01:09:44.610]  It was put out yesterday by the board, it looks like.
[01:09:45.230 --> 01:09:46.651]  James O'Keefe has been removed.
[01:09:46.671 --> 01:09:52.855]  He's been fired from the organization he founded and led for eating someone's sandwich.
[01:09:53.836 --> 01:09:57.899]  Yes, ladies and gentlemen, eating someone's sandwich, and he yelled at someone once.
[01:09:59.033 --> 01:10:00.537]  So there you go.
[01:10:01.680 --> 01:10:03.445]  And they're threatening to criminally indict people.
[01:10:03.806 --> 01:10:07.656]  The last straw was that coup when he exposed Pfizer, head of mRNA.
[01:10:09.815 --> 01:10:11.136]  Infowars doesn't have a board.
[01:10:11.376 --> 01:10:13.878]  Infowars has you, the listeners, and I'm the leader of Infowars.
[01:10:14.479 --> 01:10:16.481]  My board is the listeners and viewers of this show.
[01:10:16.521 --> 01:10:20.104]  If you decide to buy products at InfowarsStore.com, we stay on air.
[01:10:20.524 --> 01:10:22.546]  If you decide not to get the products, we go off air.
[01:10:22.566 --> 01:10:23.967]  We're barely in the black right now.
[01:10:24.367 --> 01:10:25.368]  I'd like to expand.
[01:10:25.708 --> 01:10:28.391]  I don't want to just tread water here, so please go to InfowarsStore.
[01:10:28.631 --> 01:10:30.092]  We have great products that enrich your life.
[01:10:30.332 --> 01:10:31.994]  Our ultimate bone broth is finally back in stock.
[01:10:32.054 --> 01:10:33.175]  Our prebiotics back in stock.
[01:10:33.735 --> 01:10:35.256]  They're both massively discounted, 40% off.
[01:10:35.296 --> 01:10:40.239]  We've got the best CBD oil that's so good for your body, your brain, your joints, your bones, and more.
[01:10:40.299 --> 01:10:42.060]  Highest quality at less than half the price.
[01:10:42.420 --> 01:10:43.281]  It's sold in stores.
[01:10:43.381 --> 01:10:44.621]  Our nitric oxide's the best.
[01:10:45.142 --> 01:10:46.102]  All the products are great.
[01:10:46.542 --> 01:10:50.305]  InfoWarsTore.com, BrainForce Plus and BrainForce Ultra, great nootropics.
[01:10:50.325 --> 01:10:52.706]  They're both 50% off right now as well.
[01:10:53.106 --> 01:10:53.787]  Take action.
[01:10:53.827 --> 01:10:57.409]  Go to InfoWarsTore.com today so we don't suffer the same fate as James O'Keefe.
[01:10:57.689 --> 01:10:59.090]  I've been talking to James some off-air.
