[00:00:01.229 --> 00:00:02.990]  Just-on-time deliveries.
[01:00:41.745 --> 01:00:46.686]  So long as we remain ignorant of them, mankind will never be free.
[01:00:46.686 --> 01:00:56.528]  The etymology of the word apocalypse reveals its occulted meaning, which is to uncover or reveal something that was hidden.
[01:00:57.308 --> 01:01:05.456]  One can argue that the apocalypse already happened, and that we are now living in the post-apocalyptic world.
[01:01:05.456 --> 01:01:20.509]  In 1928, Manly P. Hall published The Secret Teachings of All Ages, a comprehensive introduction to all of this occulted knowledge which has been used to manipulate the ignorant masses of humanity for millennia.
[01:01:20.509 --> 01:01:23.372]  And while many people choose to educate themselves,
[01:01:23.792 --> 01:01:27.216]  Many others have chosen to remain ignorant.
[01:01:27.216 --> 01:01:29.578]  Ignorance is not bliss.
[01:01:29.578 --> 01:01:35.043]  It is the reason why humanity continues to fall deeper into bondage.
[01:01:35.043 --> 01:01:40.008]  These laws are fairly simple, and they can be found in every culture on Earth.
[01:01:40.829 --> 01:01:47.815]  In the Hermetic Sciences, revealed to the public in 1908, we have seven laws.
[01:01:47.815 --> 01:02:00.845]  The first three, Mentalism, Correspondence, and Vibration, teach us how everything is connected, that everything begins with our thoughts, and that everything in this reality is a frequency.
[01:02:00.845 --> 01:02:06.490]  You could say that we are all living within the mind of God, and our thoughts matter.
[01:02:07.270 --> 01:02:14.233]  The principle of polarity teaches us that things which appear to be opposites are actually related.
[01:02:14.233 --> 01:02:19.475]  Love and hate are merely polar opposites of the same thing.
[01:02:19.475 --> 01:02:25.358]  And knowing this makes it easier for us to transform our hate into love.
[01:02:25.358 --> 01:02:28.299]  It allows us to turn a negative into a positive.
[01:02:28.979 --> 01:02:33.965]  The principle of rhythm teaches that everything in nature has its rhythm.
[01:02:33.965 --> 01:02:39.611]  The measure of the swing to the right is equal to the measure of the swing to the left.
[01:02:39.611 --> 01:02:43.155]  This allows us to better navigate the waves of reality.
[01:02:44.016 --> 01:02:49.480]  The principle of cause and effect may be the most important to understand.
[01:02:49.480 --> 01:02:58.765]  Each and every one of our thoughts and corresponding actions in this life has an inescapable effect on everything around us.
[01:02:58.765 --> 01:03:08.412]  And the principle of gender teaches us that there are only two genders and that everything in this reality has its masculine and feminine aspects.
[01:03:09.372 --> 01:03:20.079]  One could argue that the apocalypse happened thousands of years ago with the Ten Commandments, the laws of how to liberate oneself from the land of slavery.
[01:03:20.079 --> 01:03:26.403]  These natural laws were taught in the East by the Buddha, who taught us of right action.
[01:03:26.403 --> 01:03:34.008]  And these natural laws were perhaps most eloquently simplified in the teachings of Christ with the Golden Rule.
[01:03:34.868 --> 01:03:39.533]  In everything, do to others what you would have them do to you.
[01:03:39.533 --> 01:03:42.175]  Do not take another person's life.
[01:03:42.175 --> 01:03:45.478]  Do not assault or rape another person.
[01:03:45.478 --> 01:03:51.483]  Do not steal another person's property and do not trespass upon them in any way.
[01:03:51.483 --> 01:03:55.067]  Do not coerce or manipulate another person.
[01:03:55.067 --> 01:03:59.671]  In the most simple terms, do not steal anything from anyone.
[01:04:00.352 --> 01:04:01.796]  Live and let live.
[01:04:01.796 --> 01:04:05.325]  This is the path to freedom.
[01:04:05.325 --> 01:04:08.734]  And you will know the truth, and the truth will make you free.
[01:04:09.813 --> 01:04:15.680]  Each and every one of us is affecting this reality with every thought and every action.
[01:04:15.680 --> 01:04:23.609]  And if we choose to remain ignorant of this, then we are choosing to be sheep, and we will always be enslaved.
[01:04:23.609 --> 01:04:30.857]  Understanding these natural laws and treating others with love and respect is the only way to true freedom.
[01:04:31.557 --> 01:04:36.920]  Today's politics is nothing other than fighting for your favorite prison guard.
[01:04:36.920 --> 01:04:42.323]  Prison guards who will ultimately coerce you and trespass against you.
[01:04:42.323 --> 01:04:53.770]  True freedom comes from our actions because a society of ignorant and belligerent sheep deserve to be in prison and that will never change.
[01:04:53.770 --> 01:04:56.171]  Reporting for InfoWars, this is Greg Reese.
[01:04:59.838 --> 01:05:01.800]  Infowars has made history.
[01:05:01.800 --> 01:05:04.422]  You have made history by supporting Infowars.
[01:05:04.422 --> 01:05:07.624]  The globalists are being defeated on every front.
[01:05:07.624 --> 01:05:11.067]  And now is the time to not just sit on our laurels because we're winning battles.
[01:05:11.067 --> 01:05:12.608]  Let's win the war.
[01:05:12.608 --> 01:05:14.370]  The information war.
[01:05:14.370 --> 01:05:19.153]  There's nothing you can do more important than keeping Infowars on air in the fight for liberty.
[01:05:19.153 --> 01:05:20.955]  I don't think anybody denies that fact.
[01:05:21.235 --> 01:05:35.341]  And I thank you for your past support, but I'm encouraging you now to get one of the very last coins in a four-coin series, the Teddy Roosevelt Man of the Arena coin, exclusively at 1776coin.com.
[01:05:35.341 --> 01:05:39.943]  And you can get $30 off this historic pure silver coin with promo code 1776 at 1776coin.com.
[01:05:39.943 --> 01:05:40.983]  No more of these will be made.
[01:05:46.966 --> 01:05:47.687]  Want the coin?
[01:05:47.687 --> 01:05:51.532]  It's exclusively available right now for a limited time at 1776coin.com.
[01:05:51.532 --> 01:05:51.972]  $30 off.
[01:05:51.972 --> 01:05:52.773]  Use promo code 1776.
[01:05:52.773 --> 01:05:53.835]  Thank you for your support!
[01:06:10.994 --> 01:06:17.459]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:17.459 --> 01:06:34.631]  Alright, Ed Zalouf, the man of rebel media, who's in Switzerland at the Globalist Confab Davos, the real people that run the planet, or who are trying to run the planet, the most powerful power block out there, he'll be joining us the last 30 minutes of the next hour, but I want to start going to your phone calls next segment.
[01:06:35.575 --> 01:06:51.759]  On the Deimos Group, on all the vaccine news coming out, on the politics that you see unfolding, on how they're getting ready to flush Joe Biden just like we said they would, and the whole system, including the Democratic Party, and not just people in the federal government, but the state governments turning against him.
[01:06:51.759 --> 01:06:53.519]  What do you see coming out of that?
[01:06:53.519 --> 01:06:55.440]  Does that concern you?
[01:06:55.440 --> 01:07:01.081]  And look, I'm happy to get rid of Biden, but he'll get the blame for the whole agenda, and then they'll put in their next group of puppets.
[01:07:02.182 --> 01:07:03.703]  Just like shark teeth.
[01:07:03.703 --> 01:07:06.566]  One group gets defeated, the next group rolls forward.
[01:07:06.566 --> 01:07:11.710]  I want to target, with the information, the controllers of the Democratic Party and the Deep State.
[01:07:11.710 --> 01:07:15.254]  But it's also a big part of the Republican Party as well.
[01:07:15.254 --> 01:07:17.976]  The toll-free number to join us is 877-789-2539.
[01:07:17.976 --> 01:07:19.117]  We're taking first-time callers.
[01:07:19.117 --> 01:07:19.177]  877-789-2539.
[01:07:19.177 --> 01:07:20.799]  Now, I want to talk about this.
[01:07:30.714 --> 01:07:36.798]  I covered it last hour, but we should be thanking God and also I want to thank all of you for the action you've taken.
[01:07:36.798 --> 01:07:53.210]  I read to you the mainstream news headlines from all over the world that up to half of the attendees on the list are now announcing they're canceling and not going because Devos is rated as the most unpopular organization in the world.
[01:07:53.210 --> 01:07:55.112]  So in an ugly contest, they're the ugliest.
[01:07:56.397 --> 01:08:01.860]  Conversely, freedom and anti-globalism is extremely popular, so we're winning the hearts and minds.
[01:08:01.860 --> 01:08:14.106]  They may have stolen the money, they may have controlled the military, they may have controlled the propaganda, they may have controlled the borders, and they're certainly assaulting us, but humanity is coming roaring back.
[01:08:14.106 --> 01:08:16.548]  I'd like to talk about that with listeners.
[01:08:17.711 --> 01:08:23.214]  And the new system they're quote announcing, the Great Reset, they've gotten even more detailed about it.
[01:08:23.214 --> 01:08:30.957]  Sky News headline, why an absence of A-listers at Davos is not just deep trouble for the World Economic Forum, but for globalists too.
[01:08:30.957 --> 01:08:35.079]  And I can look at the body language of Klaus Schwab and Bill Gates and tell you they're scared.
[01:08:35.079 --> 01:08:37.020]  They should be.
[01:08:37.020 --> 01:08:38.881]  But more importantly I can tell you what's going on.
[01:08:40.165 --> 01:08:40.985]  They're controllers.
[01:08:40.985 --> 01:08:42.466]  There's people above them.
[01:08:42.466 --> 01:08:43.906]  They know it's not working.
[01:08:43.906 --> 01:08:54.290]  That's why Schwab just came out this weekend on the eve of the launch of this globalist corporate government, world government, confab.
[01:08:54.290 --> 01:08:54.950]  That's why.
[01:08:56.530 --> 01:09:00.072]  He came out and said, oh, we're going to restore trust in our meeting.
[01:09:00.072 --> 01:09:00.873]  You can trust us.
[01:09:00.873 --> 01:09:07.157]  We're going to fix all the problems that they literally have created or exacerbated.
[01:09:07.157 --> 01:09:08.057]  Toll-free number 877-789-2539.
[01:09:08.057 --> 01:09:08.398]  877-789-ALEX.
[01:09:08.398 --> 01:09:10.239]  There's the number on your screen for TV viewers.
[01:09:18.871 --> 01:09:20.652]  So your calls are coming up.
[01:09:20.652 --> 01:09:27.717]  But again, we can't just announce this on Friday and announce it on Saturday and talk about it on Sunday and forget about it.
[01:09:27.717 --> 01:09:30.019]  I'm going to play the clips again.
[01:09:30.019 --> 01:09:32.261]  I already played the new ones on Friday and Saturday and Sunday.
[01:09:32.261 --> 01:09:33.982]  I'm not going to play them again.
[01:09:33.982 --> 01:09:41.528]  But CNN, MSNBC, Fox News, ABC, NBC, CBS, all reporting
[01:09:42.386 --> 01:09:58.636]  That board members on the FDA are upset at the CDC and at Big Pharma for not telling them that they did quiet studies and found that the vaccines didn't work and that they were linked to heart attacks and strokes.
[01:09:58.636 --> 01:10:01.898]  How huge is that?
[01:10:01.898 --> 01:10:09.603]  And I wondered on Thursday and Friday as it started to break, I told you it was coming for months, I wondered how they'd respond and they had.
[01:10:11.053 --> 01:10:19.342]  All the usual suspects, while on one hand they admit it's happening on the same programs, and they have folks like Dan Abrams come out and say, it's a conspiracy.
[01:10:19.342 --> 01:10:20.543]  Nobody's been hurt.
[01:10:20.543 --> 01:10:21.504]  Take your shot.
[01:10:21.504 --> 01:10:22.265]  It's perfect.
[01:10:22.265 --> 01:10:23.346]  It's wonderful.
[01:10:23.346 --> 01:10:24.588]  It's a conspiracy theory.
[01:10:24.588 --> 01:10:32.716]  No, it's in the insurance company numbers that we have the highest increase in death the last two and a half years, since the shots, not COVID, the world's ever seen.
[01:10:33.871 --> 01:10:36.892]  Vietnam's every month worldwide.
[01:10:36.892 --> 01:10:40.414]  Vietnam's every six months or so in the U.S.
[01:10:40.414 --> 01:10:44.875]  Millions and millions and millions and millions of dead people.
[01:10:44.875 --> 01:10:51.018]  So it sounds negative to announce that, and it is, but at least we're not taking it lying down.
[01:10:51.018 --> 01:10:54.479]  At least it's all coming out.
[01:10:54.479 --> 01:11:01.822]  Absolutely incredible to be living in this day and time and watching all this.
[01:11:03.288 --> 01:11:06.532]  Now, the clip he does is really powerful.
[01:11:06.532 --> 01:11:07.713]  It's five and a half minutes long.
[01:11:07.713 --> 01:11:10.836]  So I'm going to play it at the start of the next segment.
[01:11:10.836 --> 01:11:13.139]  Who pulls the strings in Washington, D.C.?
[01:11:13.139 --> 01:11:15.241]  Matt Gaetz really goes deep.
[01:11:15.241 --> 01:11:17.424]  And this is so incredibly important.
[01:11:17.424 --> 01:11:22.069]  But since I mentioned that, let me go ahead and go over.
[01:11:23.837 --> 01:11:26.958]  This news, because this is big.
[01:11:26.958 --> 01:11:27.798]  Look at these headlines.
[01:11:27.798 --> 01:11:36.961]  FDA vaccine committee member calls for end to mass COVID vaccine, saying it's not supporting people and children shouldn't take it.
[01:11:36.961 --> 01:11:39.421]  Now, this is really sophisticated.
[01:11:39.421 --> 01:11:48.384]  Why did the SPARS document that came out two years before they launched this say they would do that by the beginning of the third year of the shot?
[01:11:48.384 --> 01:11:51.084]  Because they're going to kill a bunch of people they knew would kill you.
[01:11:51.084 --> 01:11:52.885]  Now they've got to act like it was a mistake.
[01:11:54.116 --> 01:11:54.476]  I don't
[01:12:16.550 --> 01:12:17.891]  We knew it was the war plan.
[01:12:17.891 --> 01:12:21.055]  And General Flynn looked at it after my analysis and said, yes.
[01:12:21.055 --> 01:12:22.076]  That's what the military does.
[01:12:22.076 --> 01:12:25.399]  And I'm not saying the military ran this, but it's a military-style operation.
[01:12:25.399 --> 01:12:32.887]  Is that they have war games, but when they actually launch a war, when they're sending their operatives out, they've got the war game on them, so they get caught.
[01:12:32.887 --> 01:12:33.929]  Oh, that's just a war game.
[01:12:33.929 --> 01:12:34.930]  It's not a war game.
[01:12:34.930 --> 01:12:35.851]  It's a battle plan.
[01:12:37.026 --> 01:12:42.232]  In the Spars document alone, there's addendums that are restricted, so we don't have the full document.
[01:12:42.232 --> 01:12:51.523]  They have hundreds of tweets written five years ago, two years before they released this stuff, where all they do is change the acronyms and a little bit of the tweet.
[01:12:51.523 --> 01:12:53.065]  The tweets are 60-70% the exact same words.
[01:12:57.304 --> 01:12:59.867]  Where, oh, it's safe and effective, you need to take it.
[01:12:59.867 --> 01:13:01.949]  Okay, it's 90% effective.
[01:13:01.949 --> 01:13:02.909]  It's 80% effective.
[01:13:02.909 --> 01:13:04.751]  It's 50% effective.
[01:13:04.751 --> 01:13:07.374]  And then, oh, people start to get mad at industry.
[01:13:07.374 --> 01:13:09.656]  People find out industry didn't do the test.
[01:13:09.656 --> 01:13:10.517]  People get mad.
[01:13:10.517 --> 01:13:16.523]  I mean, they've already war-gamed how to roll this out, break the system, discredit the government, implode society.
[01:13:16.523 --> 01:13:20.647]  It's a plan to make us blame the government.
[01:13:21.598 --> 01:13:21.978]  We're good to go.
[01:13:39.141 --> 01:13:43.804]  People understand what's happening and they understand they've already war-gamed how you're going to respond.
[01:13:43.804 --> 01:13:51.749]  But if you're aware of the war-game and how the card game's rigged or how the game is being manipulated, then they can't win.
[01:13:51.749 --> 01:14:02.116]  And my whole job has been like, one of the most hated groups out there in the world to magicians is the famous magicians that decide to go ahead and show you how the tricks work.
[01:14:02.116 --> 01:14:04.538]  But those are more interesting shows, aren't they?
[01:14:04.538 --> 01:14:05.499]  They go show you the trick.
[01:14:06.513 --> 01:14:09.995]  Then in slow motion, they show you how they did the trick.
[01:14:09.995 --> 01:14:13.497]  Those people are so hated by magicians.
[01:14:13.497 --> 01:14:25.282]  I love those people, because it's still cool to see the tricks, still cool to see the illusion, still really interesting to sit there and see your brain fooled, and then have somebody go, here's how we fooled you.
[01:14:25.282 --> 01:14:26.863]  That's what I do.
[01:14:26.863 --> 01:14:27.964]  That's what my guests do.
[01:14:27.964 --> 01:14:31.606]  That's our whole goal, is to get you to start noticing how the tricks work,
[01:14:32.532 --> 01:14:38.879]  And so you're not just going to be sitting there having them bombard you, having them brainwash you, have them control you.
[01:14:38.879 --> 01:14:40.822]  We're giving you the cheat sheet.
[01:14:40.822 --> 01:14:45.967]  We're giving you, and you're as smart as I am, once you figure this out, you'll see stuff we didn't see.
[01:14:45.967 --> 01:14:47.349]  You'll catch things we didn't catch.
[01:14:47.349 --> 01:14:49.952]  The best thing I do is check the M4's email.
[01:14:49.952 --> 01:14:51.754]  I don't have an M4's email because I get too many of them.
[01:14:51.754 --> 01:14:52.935]  I got rid of it over a decade ago.
[01:14:54.079 --> 01:14:55.581]  I get into the InfoWars email.
[01:14:55.581 --> 01:14:57.302]  I have them print me hundreds of them a day.
[01:14:57.302 --> 01:15:01.467]  And just the cool stuff you say, the comments on the website, the comments elsewhere.
[01:15:01.467 --> 01:15:05.431]  I mean, it's so thought-provoking how smart you are.
[01:15:05.431 --> 01:15:07.914]  And by the way, I'm not patronizing you.
[01:15:07.914 --> 01:15:14.461]  I learn so much from comments on YouTube, so much from comments on InfoWars, so much from comments on Bandai Video.
[01:15:14.461 --> 01:15:16.222]  I learn so much from letters we get in the mail.
[01:15:16.823 --> 01:15:27.787]  We're all sitting here with hundreds of letters, trying to read them each week, and I don't get to them all every time, I'm not going to lie to you, but man, the stuff you say, the insights you have, you're leaders.
[01:15:27.787 --> 01:15:33.289]  You understand what's going on, and you could be white, you could be black, you could be brown, it doesn't matter.
[01:15:34.568 --> 01:15:38.671]  You want freedom, you got red blood, and you see through this, so it's so exciting.
[01:15:38.671 --> 01:15:47.236]  So the Matt Gaetz clip is coming up, and then, your phone call, straight ahead at 877-789-2539.
[01:15:47.236 --> 01:15:59.403]  And remember, we have the new URL, they haven't blocked it yet, to share to some people, right to the show, conspiracyfact.info, conspiracyfact.info, conspiracyfact.
[01:15:59.403 --> 01:16:03.066]  Ladies and gentlemen, this is your last chance
[01:16:03.942 --> 01:16:14.608]  To get a historic signed copy of my number one best-selling book, The Great Reset and The War for the World, exclusively available at InfoWarsTore.com.
[01:16:14.608 --> 01:16:26.835]  Yes, you can get the book in stores, you can find it online, but if you want to get a historic signed copy and be part of our fundraiser to stay on air, go to InfoWarsTore.com and go to the book section and get your signed book.
[01:16:27.475 --> 01:16:31.757]  There are only about a thousand of these left, and when they're gone, they're gone.
[01:16:31.757 --> 01:16:34.739]  I'm never going to sign the book again.
[01:16:34.739 --> 01:16:41.022]  We have a little limited edition thing coming out later that's a piece of art that goes with the book, but I haven't even decided when I'm going to do that.
[01:16:41.022 --> 01:16:42.082]  It may never happen.
[01:16:42.082 --> 01:16:51.487]  But for just simple, straight-up signed books, and to be part of this fundraiser, this is the last time you'll be able to get the signed book at infowarrestore.com.
[01:16:51.887 --> 01:16:53.108]  I thank you all for your support.
[01:16:53.108 --> 01:16:56.289]  Please go to InfoWarsWare.com and get your signed book today.
[01:16:56.289 --> 01:16:59.310]  And I thank you for keeping us in the fight against the globalists.
[01:16:59.310 --> 01:17:03.831]  Introducing our new incredible supplement line, InfoWars MD.
[01:17:03.831 --> 01:17:16.276]  Now in 60 seconds, it's hard to tell you how incredible these products are, but all of these products are already sold on store shelves under other brand names for up to twice the cost we're selling it to you.
[01:17:16.276 --> 01:17:17.457]  These are high-end.
[01:17:17.457 --> 01:17:18.537]  These are the very best.
[01:17:18.837 --> 01:17:21.319]  You know our Body's Ultimate Turmeric Formula is amazing?
[01:17:21.319 --> 01:17:21.840]  Well guess what?
[01:17:21.840 --> 01:17:27.625]  We now have Turmeric 95 that's basically the same formula for a lower price.
[01:17:27.625 --> 01:17:30.247]  CBD oil of the highest quality.
[01:17:30.247 --> 01:17:37.153]  Up to 50% less than major competitors selling the exact high quality full spectrum CBD.
[01:17:37.153 --> 01:17:41.918]  And it goes on for all the new InfoWars MD products at InfoWarsStore.com.
[01:17:42.338 --> 01:17:52.403]  The highest quality directly from the manufacturer to your door at prices up to 50%, in some cases 100% lower than what they're sold for in stores.
[01:17:52.403 --> 01:17:54.384]  M4 Wars MD at M4WarsStore.com.
[01:17:59.628 --> 01:18:07.294]  Why does the establishment spend so much time demonizing InfoWars, attacking myself and the crew and our other hosts?
[01:18:07.294 --> 01:18:09.356]  Because they know we're pro-human.
[01:18:09.356 --> 01:18:11.057]  They know we're telling the truth.
[01:18:11.057 --> 01:18:12.618]  They know we've got their number.
[01:18:12.618 --> 01:18:17.362]  They know everything we do is about empowering humanity.
[01:18:17.362 --> 01:18:19.944]  And God gave us, through Mother Nature, incredible compounds.
[01:18:20.484 --> 01:18:25.210]  That will supercharge our body's stamina, libido, energy and immune systems.
[01:18:25.210 --> 01:18:35.624]  And we came out many years ago with Real Red Pill Plus that has all the documented compounds like preglanone and so much more to supercharge your body.
[01:18:36.658 --> 01:18:37.459]  I'm good to go.
[01:18:59.997 --> 01:19:03.919]  Ladies and gentlemen, a very exciting development has just taken place.
[01:19:03.919 --> 01:19:12.784]  I want to encourage you all to go to InfoWarsTore.com and check it out for yourself, because it is a very strong, high-quality formula.
[01:19:12.784 --> 01:19:14.585]  Gallon-ounce sleep support.
[01:19:14.585 --> 01:19:15.365]  Liquid.
[01:19:15.365 --> 01:19:16.646]  It's very fast-acting.
[01:19:16.646 --> 01:19:17.866]  Take it under the tongue.
[01:19:17.866 --> 01:19:20.248]  It's got a very good dose of melatonin.
[01:19:20.948 --> 01:19:26.130]  Passionflower, valerian root extract, lemon balm, and German chamomile.
[01:19:26.130 --> 01:19:32.513]  All of these compounds are documented on record to help give you deeper, cleaner, healthier sleep.
[01:19:32.513 --> 01:19:37.195]  And that is one of the biggest game changers out there with all the stress we have in this world.
[01:19:37.195 --> 01:19:39.676]  And we've got some other great sleep eggs as well, and they're excellent.
[01:19:39.676 --> 01:19:40.516]  They're all different formulas.
[01:19:41.076 --> 01:19:45.177]  But this one is particularly the strongest one we have.
[01:19:45.177 --> 01:19:50.459]  So Down and Out, sold out for more than five months, is now back available at InfoWarstore.com.
[01:19:50.459 --> 01:20:00.723]  So get better, deeper rest, boost your immune system, and support the InfoWar with Down and Out Sleep Support at InfoWarstore.
[01:20:00.723 --> 01:20:06.605]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:13.345 --> 01:20:27.975]  We just gotta get conscious of the enemy programs.
[01:20:27.975 --> 01:20:31.097]  And then it's over for them.
[01:20:31.097 --> 01:20:36.081]  We can outthink them, we can defeat them, but they program us to do the same things over and over again.
[01:20:36.081 --> 01:20:38.562]  And they get into these ruts.
[01:20:39.617 --> 01:20:45.927]  We can't wake up, we can't come together, and we can't recognize who they are and stop them.
[01:20:45.927 --> 01:20:47.749]  They believe you're junk, they believe you're garbage.
[01:20:47.749 --> 01:20:50.714]  They believe you're going to roll over and die.
[01:20:50.714 --> 01:20:51.895]  Are you really going to do that?
[01:20:51.895 --> 01:20:54.339]  Are you going to promote the link conspiracyfact.info?
[01:20:57.472 --> 01:20:59.834]  And I'm going to give you a few tricks to get around the censors here.
[01:20:59.834 --> 01:21:01.415]  And I love the crew, they're great.
[01:21:01.415 --> 01:21:11.982]  I told them last week before we prepared this, I said, the image we send around to all of the guests that are going to come on, they're going to promote the show, and the listeners promote, should not have my face on it.
[01:21:11.982 --> 01:21:17.186]  They use AI to see my face, and they block it on Instagram and Twitter and everywhere.
[01:21:17.186 --> 01:21:19.347]  The promo has my face on it, and it's okay.
[01:21:19.347 --> 01:21:21.669]  Maybe if I talk about it on air, it won't.
[01:21:24.016 --> 01:21:26.257]  Everybody can create their own images to promote the show.
[01:21:26.257 --> 01:21:30.760]  Just say, forbidden information is being discussed live right now.
[01:21:30.760 --> 01:21:32.961]  Follow this link and share this link.
[01:21:32.961 --> 01:21:36.083]  ConspiracyFact.info.
[01:21:36.083 --> 01:21:37.704]  Don't put my face on it.
[01:21:37.704 --> 01:21:38.964]  Don't put my name on it.
[01:21:38.964 --> 01:21:48.650]  We've done tests with Twitter accounts we work with where they get millions of views, routinely hundreds of thousands, but all the time millions, because we don't put Alex Jones
[01:21:49.915 --> 01:21:52.859]  In the thumbnail or Alex Jones's name on it.
[01:21:52.859 --> 01:21:56.825]  And I sit there and I tell everybody that we can beat the freaking AI.
[01:21:56.825 --> 01:22:00.851]  It ain't that smart.
[01:22:00.851 --> 01:22:03.034]  But we have to promote and that's why.
[01:22:03.936 --> 01:22:08.940]  What they really can't stop is the fact that everybody's duplicating my research information, which I want.
[01:22:08.940 --> 01:22:22.951]  Whether it's Dr. Robert Malone, or you name it, everybody gets I'm right now, everybody knows I've done the research, our guests have done the research, so everybody just takes our research now and does their own shows, and does their own research on top of it, and makes it even more informative, and that's great.
[01:22:22.951 --> 01:22:26.894]  And I'm almost to the point of being obsolete.
[01:22:26.894 --> 01:22:31.818]  Because so many people are going to be awake, so many people are going to get the information, and then I can bow out.
[01:22:32.762 --> 01:22:34.524]  And that's my goal.
[01:22:34.524 --> 01:22:36.126]  My goal is to disappear.
[01:22:36.126 --> 01:22:38.348]  But it's not this year, it's not next year.
[01:22:38.348 --> 01:22:39.430]  The fight is now.
[01:22:39.430 --> 01:22:44.175]  And our work is too important, it's too influential right now with everything we do.
[01:22:44.175 --> 01:22:50.062]  Right now, everything we do is having a bigger ripple effect ever in its history.
[01:22:51.385 --> 01:22:58.173]  And so, we're going to stay on air under massive attack at the most critical point to keep our information going forward.
[01:22:58.173 --> 01:23:01.037]  But we can't do it without your word of mouth, your prayer, and your financial support.
[01:23:01.037 --> 01:23:02.899]  Go to infowarshpower.com right now.
[01:23:02.899 --> 01:23:03.760]  Please make a donation.
[01:23:03.760 --> 01:23:04.902]  Get some of the great supplements.
[01:23:04.902 --> 01:23:07.405]  Get a signed copy or an unsigned copy of my book.
[01:23:07.405 --> 01:23:09.447]  But whatever you do, take action.
[01:23:10.268 --> 01:23:13.251]  And his listeners, when you promote the show, don't say Alex Jones.
[01:23:13.251 --> 01:23:15.693]  Say, hey, here's forbidden information on this topic.
[01:23:15.693 --> 01:23:16.614]  It's really powerful.
[01:23:16.614 --> 01:23:19.096]  I think you should check it out and send it to the URL.
[01:23:19.096 --> 01:23:22.479]  They're not blocking conspiracyfact.info.
[01:23:22.479 --> 01:23:23.400]  Then they'll block that.
[01:23:23.400 --> 01:23:25.101]  We'll give you a new URL.
[01:23:25.101 --> 01:23:26.222]  This is a war.
[01:23:26.222 --> 01:23:27.724]  It's not a game.
[01:23:27.724 --> 01:23:29.886]  But games operate the same.
[01:23:29.886 --> 01:23:31.607]  So you learn from each move.
[01:23:31.607 --> 01:23:35.050]  Here's Matt Gaetz on Tim Pool, who really pulls the strings in Washington, D.C.
[01:23:37.195 --> 01:23:47.980]  If you're part of the prevailing way of thinking, the national security state, the neoconservative worldview, there's an entire infrastructure there to build out your career.
[01:23:47.980 --> 01:23:50.441]  There are endowed professorships.
[01:23:50.441 --> 01:23:53.342]  There are think tanks that are ready to give you six-figure jobs.
[01:23:53.342 --> 01:23:55.983]  There's a career progression of jobs on the Hill.
[01:23:55.983 --> 01:23:58.784]  But if you think differently, you're kind of hunted.
[01:23:58.784 --> 01:24:00.145]  You're hunted, canceled.
[01:24:00.145 --> 01:24:01.765]  They do everything to compromise you.
[01:24:01.765 --> 01:24:03.346]  And if that doesn't work, they try to destroy you.
[01:24:04.466 --> 01:24:10.709]  There's a lot of compromise, especially in Washington, D.C., but how deep does the rabbit hole go?
[01:24:10.709 --> 01:24:19.072]  Because there's a lot of people talking about the deep state, the intelligence agencies having a lot of control, using a lot of extortion, special interest groups pulling the strings here.
[01:24:19.072 --> 01:24:24.494]  What's your understanding of how things really work in Washington, D.C., compared to what the average American kind of sees?
[01:24:24.494 --> 01:24:26.534]  Well, I think the most corrupt,
[01:24:29.503 --> 01:24:29.903]  for a
[01:24:59.823 --> 01:25:19.773]  These are the key lobbyists that round up the defense money, and they put you with them from the very beginning, and you sort of get the joke that if you give your vote card to the leadership and your calendar to the lobby corps, you just kind of get enveloped into a system that's there to nurture you and protect you and keep you out of harm's way, and all it costs you is your own belief set.
[01:25:19.773 --> 01:25:22.394]  And I don't think that's compromise so much as selling out.
[01:25:24.435 --> 01:25:25.416]  Step one.
[01:25:25.416 --> 01:25:29.898]  And that catches a whole lot of the people who get here.
[01:25:29.898 --> 01:25:49.547]  And then beyond that, if you kind of resist that system, then they do try to extort you, engage in anything they can do to compromise you, cancel you, find some joke that you liked on Instagram years ago that like doesn't fit with the mores of this time, find some email that you are on like the forward chain of,
[01:25:49.947 --> 01:25:50.047]  It's
[01:26:04.757 --> 01:26:11.401]  Many, many dollars lined up solely for the extermination of those who push back against the narrative.
[01:26:11.401 --> 01:26:17.084]  Yeah, this is detailed extensively in books like The Economic Hitman that I think are definitely worth reading and checking out here.
[01:26:17.084 --> 01:26:25.309]  But talking to previous members of Congress, it's really kind of daunting to see what they have to go through, how much pressure they have to go through, how much agreement they have to
[01:26:25.769 --> 01:26:26.310]  I agree.
[01:26:49.252 --> 01:26:52.915]  You know, part of you wants to say, screw you, or like, are you wearing a wire?
[01:26:52.915 --> 01:26:59.100]  If I could ask you, and again, you don't have to answer this, but who do you think is more influential and powerful in Washington, D.C.?
[01:26:59.100 --> 01:27:02.123]  The lobbyists or the intelligence agencies?
[01:27:02.123 --> 01:27:05.445]  Well, I mean, the answer to the question is yes, they're one and the same.
[01:27:05.445 --> 01:27:12.291]  Because oftentimes they are fused with precisely the same personnel, where people will roll out of
[01:27:12.711 --> 01:27:13.472]  We're good to go.
