[00:00:13.291 --> 00:00:14.011]  Hi and welcome.
[00:19:37.903 --> 00:19:39.785]  doctors to go along with it.
[00:19:39.805 --> 00:19:42.927]  Well, we've got to kill these troops because if we get hit with nerve gas, millions will die.
[00:19:44.248 --> 00:19:45.289]  It's for the greater good.
[00:19:45.709 --> 00:19:47.510]  So they killed foster kids, everything.
[00:19:47.550 --> 00:19:53.414]  But the Nazis knew it was like how to get somebody into evil in the name of good, you know, the greater good.
[00:19:53.935 --> 00:19:56.917]  Like that film on vaccines that we carry at Infowars.com.
[00:19:57.897 --> 00:20:00.900]  It's called The Greater Good because that's the big, the big sick joke.
[00:20:00.940 --> 00:20:03.882]  But it's a whole other area of discussion.
[00:20:03.902 --> 00:20:06.804]  People are like, oh, we don't hear about the Nazis or the ultimate evil all day.
[00:20:07.847 --> 00:20:15.992]  No, there's lots of evil governments, but the Nazis, the system they developed came out of eugenics in England, and the government here was a big fan of that, predominantly.
[00:20:16.052 --> 00:20:18.913]  So, like, the Nazis were like rock stars.
[00:20:19.594 --> 00:20:21.355]  And they took them over here and put them in everywhere.
[00:20:21.375 --> 00:20:23.356]  But to answer the space program question...
[00:20:24.577 --> 00:20:26.038]  NASA's involved with Google.
[00:20:26.538 --> 00:20:27.918]  NASA's involved with the NSA.
[00:20:27.958 --> 00:20:29.879]  NASA is just kind of a PR name.
[00:20:29.899 --> 00:20:32.940]  Because everyone thinks it's cool to go to space.
[00:20:33.160 --> 00:20:34.601]  I mean, it's kind of like a NASCAR guy.
[00:20:34.621 --> 00:20:38.062]  He's got all these patches on him, and the big patch on the shadow government's NASA.
[00:20:38.402 --> 00:20:41.363]  But it's a bunch of patches that make up the shadow government.
[00:20:41.423 --> 00:20:43.624]  You should draw something like that.
[00:20:44.284 --> 00:20:45.064]  I like all your doodlings.
[00:20:45.645 --> 00:20:47.045]  I mean, it's more like Space Command.
[00:20:47.145 --> 00:20:51.107]  Space Command's actually over the whole military, Colorado Springs, NORAD.
[00:20:51.927 --> 00:20:57.409]  All of that is... NASA's just one logo of the secret government.
[00:20:57.769 --> 00:20:58.710]  Gotcha.
[00:20:58.790 --> 00:21:00.270]  So, it's always been secret.
[00:21:00.810 --> 00:21:06.292]  And now, since you're not into space travel, it's not cool anymore, they'll show you simulated space travel.
[00:21:06.332 --> 00:21:07.113]  It's all drone.
[00:21:07.493 --> 00:21:12.355]  Hundreds of drone, Black Manta spacecraft, DU, SABO rounds, Meteor guns.
[00:21:12.955 --> 00:21:16.499]  Decapitation networks to be able to knock out every world leader in one hour.
[00:21:16.859 --> 00:21:17.780]  They had that in 1979.
[00:21:17.840 --> 00:21:20.683]  I've interviewed the former head of Star Wars, Dr. Bob Bowman.
[00:21:21.444 --> 00:21:23.466]  People don't think Star Wars started until the early 80s.
[00:21:23.906 --> 00:21:31.514]  I mean, it's just a huge secret government program, pretty much an off-world technology, technological breakaway civilization.
[00:21:32.034 --> 00:21:35.937]  We don't even know how thousands of astronauts have died in secret missions.
[00:21:36.017 --> 00:21:37.057]  That's a conservative number.
[00:21:37.358 --> 00:21:46.944]  I've talked to former top NASA people who I've been friends with for decades, well, 15 years, who you can watch in the Apollo program or on the front line, like up there running things.
[00:21:47.605 --> 00:21:48.765]  One guy lives outside Austin.
[00:21:49.306 --> 00:21:51.187]  His name's Raymond Teague.
[00:21:51.227 --> 00:21:52.748]  Well, he's hard to get on air.
[00:21:52.968 --> 00:21:53.408]  I imagine.
[00:21:53.669 --> 00:21:55.110]  Plus, he's got heart trouble and stuff.
[00:21:55.150 --> 00:21:57.271]  And the thing is, he'll tell you stuff in private.
[00:21:57.351 --> 00:21:58.912]  Once he gets on air, it's almost like conditioning.
[00:21:58.932 --> 00:21:59.773]  He can't even talk about it.
[00:22:02.575 --> 00:22:03.817]  They went to the moon and beyond.
[00:22:03.857 --> 00:22:09.062]  The point is that what we were shown with the moon technology, a lot of that was fake because they don't want to show you what they really got.
[00:22:09.082 --> 00:22:10.744]  Man, these are good questions.
[00:22:10.784 --> 00:22:11.525]  What's coming up next?
[00:22:12.326 --> 00:22:16.410]  Ron Paul is quoted as saying, nobody has a right to someone else's wealth.
[00:22:16.730 --> 00:22:19.453]  You have a right to your life and you have a right to your property.
[00:22:20.154 --> 00:22:21.975]  But education isn't a right.
[00:22:22.155 --> 00:22:23.336]  Medicare isn't a right.
[00:22:23.676 --> 00:22:25.197]  These are things that you earn.
[00:22:26.018 --> 00:22:33.863]  But isn't it hypocritical to say that when we support a right to fair trial or civil trial by jury that it's not hypocritical?
[00:22:35.704 --> 00:22:39.287]  Now, maybe I'm dense, but read me that question one more time.
[00:22:40.067 --> 00:22:46.551]  Essentially, Ron Paul states nobody has a right to anyone else's wealth, including education as a right, Medicare as a right.
[00:22:47.910 --> 00:22:48.130]  Yeah.
[00:22:48.630 --> 00:22:55.574]  But isn't it hypocritical to say that when we support a right to a fair trial and a civil trial by jury?
[00:22:56.114 --> 00:22:58.736]  I included this question because I honestly wanted your opinion as well.
[00:22:59.336 --> 00:23:01.177]  I read it and I thought, I don't know.
[00:23:01.297 --> 00:23:02.158]  I don't know what he's going to answer.
[00:23:02.198 --> 00:23:04.059]  That's a good philosophical question.
[00:23:04.559 --> 00:23:08.041]  There are all these anarchist capitalists.
[00:23:09.076 --> 00:23:11.437]  That just say no state, no nothing.
[00:23:11.497 --> 00:23:13.197]  Well, I mean, humans organize themselves.
[00:23:13.597 --> 00:23:15.418]  The question is how do you organize yourself?
[00:23:16.238 --> 00:23:21.639]  And so on one extreme, there's the argument that all good comes from collectivization, which we know is a nightmare.
[00:23:21.999 --> 00:23:23.680]  You have no privacy, no nothing.
[00:23:24.080 --> 00:23:27.381]  Bunch of people sit around or get in a gang with clubs and make you work for them.
[00:23:29.275 --> 00:23:30.216]  That's what it turns into.
[00:23:30.256 --> 00:23:32.938]  Someone essentially takes over at some point.
[00:23:33.139 --> 00:23:33.559]  Exactly.
[00:23:33.579 --> 00:23:34.840]  That creates a power vacuum.
[00:23:35.140 --> 00:23:36.702]  It always reverts back to the Law of the Jungle.
[00:23:37.062 --> 00:23:48.913]  So it's better to have good people organize themselves into an agreed-upon, super-limited government to protect themselves from the next country that's a big, centralized government that wants to come and make them slaves.
[00:23:49.814 --> 00:23:51.636]  And that's the 1776 model.
[00:23:52.116 --> 00:24:07.828]  And so if you're going to have a limited government, the individual better be involved and better show up as the final checkmate in the grand jury and the jury, which is supposed to be able to vote, but also grand jury, the regular jury and also the cartridge box.
[00:24:09.049 --> 00:24:15.434]  So there's a lot of ways to vote and we're supposed to be the judge of the law, you know, as well as do we think this was right morally.
[00:24:16.305 --> 00:24:17.406]  It's called jury nullification.
[00:24:18.067 --> 00:24:20.769]  So people that look at Ron Paul and say, that's not libertarian enough.
[00:24:21.229 --> 00:24:22.670]  I shouldn't have to go to jury duty.
[00:24:23.331 --> 00:24:28.676]  Well, no, what you should look at is how they've turned the juries into puppets being instructed by the judge instead of the other way around.
[00:24:29.276 --> 00:24:32.479]  And if you study our system, that's what we're at.
[00:24:32.759 --> 00:24:43.909]  I mean, I'd rather beat the government healthcare first and beat the gun control and beat the, you know, the globalization and all of this and the corporate welfare before I sit around and say, well, let's just get rid of juries.
[00:24:45.239 --> 00:24:57.128]  Because the globalists actually are funding one arm of the libertarian movement to do just that, an absolutely extreme mode that they only implement in certain areas where they want to be able to get away with what they've done.
[00:24:57.848 --> 00:25:05.214]  So it's a balancing act, but obviously more liberty, more... What you want is to make people
[00:25:06.508 --> 00:25:12.613]  Be more self-sufficient, because history shows that develops greater individuals.
[00:25:13.033 --> 00:25:18.518]  The systems that seek to destroy individualism are nightmarish and colorless and dull, but...
[00:25:19.639 --> 00:25:28.127]  But now they've already put people in a zombie state, dumbed them down, made them so unhealthy that you have to, as Ron Paul says, you're not going to get rid of it overnight.
[00:25:28.508 --> 00:25:40.659]  You're not going to just, so we're just trying to pull out of the gravitational pull of giant, like the sun, of giant government, total state control, and we're just trying to get the rocket ship out of there, and then we can debate
[00:25:41.520 --> 00:25:49.264]  After we survive what we're going to do, but sitting back and going, oh, I go to an anarchist meeting and I wouldn't be for any government.
[00:25:49.284 --> 00:25:50.825]  Really, you drove here on a government road.
[00:25:51.485 --> 00:25:54.587]  So you better discuss how we're going to, the system's already built.
[00:25:54.847 --> 00:25:55.087]  Right.
[00:25:55.828 --> 00:25:56.688]  It is predatory.
[00:25:56.788 --> 00:25:58.069]  It's going into retrograde.
[00:25:58.609 --> 00:25:59.990]  It's plummeting to earth.
[00:26:00.750 --> 00:26:04.692]  So we have to go with something that by increments, we got here by increments.
[00:26:04.772 --> 00:26:05.753]  Rome wasn't built in a day.
[00:26:06.013 --> 00:26:07.354]  We're going to get out of this by increments.
[00:26:08.632 --> 00:26:10.092]  Yeah, you can apply that to your life even.
[00:26:10.193 --> 00:26:11.193]  Just like losing weight.
[00:26:11.533 --> 00:26:13.173]  Aaron Dykes, you know all about that, right?
[00:26:13.193 --> 00:26:13.893]  92 pounds.
[00:26:13.953 --> 00:26:15.214]  Tangy tangerine.
[00:26:15.434 --> 00:26:17.274]  Infowarsteam.com.
[00:26:17.294 --> 00:26:18.274]  But that's not the only thing.
[00:26:18.294 --> 00:26:20.555]  You had to consciously make an effort about what you did.
[00:26:20.575 --> 00:26:21.415]  It's little things.
[00:26:21.755 --> 00:26:22.135]  Absolutely.
[00:26:22.155 --> 00:26:23.216]  It goes back to the little things.
[00:26:23.776 --> 00:26:24.376]  That's the theme.
[00:26:25.096 --> 00:26:26.216]  Aaron behind the camera.
[00:26:27.597 --> 00:26:28.477]  Hi, Alex.
[00:26:28.597 --> 00:26:29.077]  The U.S.
[00:26:29.097 --> 00:26:30.978]  has a lot of debt and so does Europe.
[00:26:33.178 --> 00:26:35.200]  So the question is, debt to whom?
[00:26:35.220 --> 00:26:40.866]  The big private banks seem to have financial problems, so they can hardly own all of that debt.
[00:26:41.106 --> 00:26:43.509]  Is there a global financial black hole somewhere?
[00:26:44.029 --> 00:26:45.150]  Maybe you can just elaborate.
[00:26:45.330 --> 00:26:46.792]  These questions are just incredible.
[00:26:47.152 --> 00:26:48.073]  Where is the debt?
[00:26:48.473 --> 00:26:50.255]  It's an incredibly complex question.
[00:26:50.275 --> 00:26:53.519]  It gets into monetary theory, how the whole system was set up.
[00:26:54.520 --> 00:27:04.853]  But basically, because our monetary system is not in a tangible, measurable seashells or gold or silver or whatever it is, it's fiat, whoever controls the fiat issuance is king.
[00:27:04.873 --> 00:27:08.378]  Like the Rothschilds say, I care not who is...
[00:27:10.984 --> 00:27:15.605]  There was actually an article on Planet Infowars wrote, like I think today or yesterday, just about that.
[00:27:15.665 --> 00:27:17.046]  Basically whoever prints the money.
[00:27:17.706 --> 00:27:18.066]  Exactly.
[00:27:18.446 --> 00:27:23.628]  Lord Rothschild said, I don't care who the politicians are, I don't care who the king is, as long as I control the money, that's all that matters.
[00:27:24.388 --> 00:27:29.389]  So, basically you end up having two systems.
[00:27:29.449 --> 00:27:37.572]  You've got the real economy, and you've got the quote government, but above it you have the central bankers or the money changers.
[00:27:38.962 --> 00:27:46.645]  Who want to attack the real economy because they're monopolist and want to move it into the government system so it can be moved up to them.
[00:27:47.145 --> 00:27:55.288]  But they want to create an illusion to just have the people fighting with the government all day, not looking at that, not looking at that next, that next rail.
[00:27:55.928 --> 00:28:01.370]  And I'm oversimplifying this, but continuing is writing on the back of articles here.
[00:28:03.806 --> 00:28:04.046]  Sure.
[00:28:04.526 --> 00:28:06.007]  Well, I mean, I can do better graphics of this.
[00:28:06.027 --> 00:28:09.269]  I mean, this is all... No, no, I'm sure we can leave all this in, too.
[00:28:09.309 --> 00:28:11.490]  Let's just leave it all in there unedited.
[00:28:11.850 --> 00:28:19.093]  But, I mean, you know, you've got humanity, you've got productivity, you've got ideas, you've got blood, sweat, and tears, you've got economy.
[00:28:19.733 --> 00:28:23.075]  And then you've got government that's telling us that, well, it's there to organize things.
[00:28:24.073 --> 00:28:27.634]  But it inherently is unaccountable, destructive, and lazy.
[00:28:27.674 --> 00:28:28.514]  That's just what happens.
[00:28:29.255 --> 00:28:39.778]  But you've got the banksters that understand this, the technocrats, and they're always trying to get this dependent, shut down, monopolistic, where only their buddies in certain sectors control it.
[00:28:40.378 --> 00:28:43.919]  So it goes into government, it goes back to them, and back to these guys at the top.
[00:28:44.519 --> 00:28:47.720]  But to ask the question is, what is the debt?
[00:28:48.921 --> 00:28:52.682]  You know, when a dollar is created,
[00:28:53.956 --> 00:28:55.857]  It's not really a dollar, it's a fellow reserve note now.
[00:28:55.897 --> 00:28:57.058]  It's not backed with anything.
[00:28:57.238 --> 00:28:57.478]  Right.
[00:28:58.799 --> 00:29:04.963]  You have to pay debt back to the Fed for allowing that to be created.
[00:29:05.204 --> 00:29:12.789]  Whereas previously, whether it was gold-backed or not, the government just issued it, and the dollar was just a symbol that you could use to exchange goods.
[00:29:13.629 --> 00:29:15.591]  Which makes a lot of sense if you're not engaged in barter.
[00:29:17.332 --> 00:29:18.733]  And this empowers the individual.
[00:29:22.076 --> 00:29:28.599]  But instead, with this Federal Reserve System, it empowers the banksters, who are all fraudsters and call themselves the Fed, they're not Fed.
[00:29:29.239 --> 00:29:30.440]  Oh, we can trust that, it's the Fed.
[00:29:31.120 --> 00:29:32.600]  But again, I'm oversimplifying this.
[00:29:32.961 --> 00:29:35.182]  I mean, the basic question is, where is the debt?
[00:29:36.062 --> 00:29:42.945]  On average, about 76% of all of the taxes you pay, county, city, federal, end up going into slush funds.
[00:29:44.195 --> 00:29:45.196]  It's not even for pensions.
[00:29:45.276 --> 00:29:47.079]  It's called the Comprehensive Annual Financial Report.
[00:29:47.819 --> 00:29:51.163]  And the 24% or so goes into the budget that we hear about.
[00:29:51.224 --> 00:30:01.095]  And they want the budget, the banksters, to always be in trouble so they can have all these ads and TV shows about how you're in debt and you didn't pay enough and things are about to collapse.
[00:30:02.145 --> 00:30:04.289]  So that you get deeper and hocked of them.
[00:30:04.329 --> 00:30:05.431]  It's basically loan sharks.
[00:30:06.112 --> 00:30:11.602]  They are fraudsters, so they want to wreck the economy so they can come in with fiat money and buy it up after they've wrecked it.
[00:30:12.483 --> 00:30:13.284]  It's very, very simple.
[00:30:13.625 --> 00:30:14.306]  But it doesn't...
[00:30:15.276 --> 00:30:18.578]  It doesn't produce productive economies.
[00:30:19.599 --> 00:30:27.083]  And so if you look at Greece or any of these countries, they bring in a welfare system to create a dependent class who will beg for money and riot if they don't get it.
[00:30:27.343 --> 00:30:29.644]  But that's always blamed for the shortfall.
[00:30:29.985 --> 00:30:31.385]  It's almost never the shortfall.
[00:30:31.866 --> 00:30:43.853]  The shortfall is that the banksters will also put their people in, Goldman Sachs and others, into Ireland, Greece, the U.S., Argentina, over by Australia,
[00:30:45.359 --> 00:30:47.821]  The Kiwi, it'll pop my head in the place.
[00:30:48.842 --> 00:30:50.783]  What's the place everybody's moving to?
[00:30:51.204 --> 00:30:52.485]  Sometimes I can't think of the name of something.
[00:30:52.845 --> 00:30:53.345]  New Zealand.
[00:30:53.966 --> 00:30:56.988]  That's all run by Goldman Sachs people, the finance ministers, presidents.
[00:30:57.809 --> 00:31:00.851]  And then they come out and say, oh my God, the public's in debt, the country's bankrupt.
[00:31:01.131 --> 00:31:03.033]  But you always notice, oh, it's too big to fail.
[00:31:03.453 --> 00:31:05.315]  It's the six big banks.
[00:31:08.537 --> 00:31:10.799]  It's their 1.5 quadrillion.
[00:31:11.339 --> 00:31:12.260]  That's the black hole.
[00:31:12.280 --> 00:31:12.880]  So people say,
[00:31:14.489 --> 00:31:15.610]  Where is it all going?
[00:31:16.050 --> 00:31:17.071]  Where's the black hole?
[00:31:17.391 --> 00:31:17.851]  Well, that's it.
[00:31:17.891 --> 00:31:30.176]  They create the black hole to destroy the real economy so they can stand over it as managers and saviors, making themselves the boss who will get you out of the crisis if you go into debt to them.
[00:31:30.557 --> 00:31:37.480]  But the debt was always created by them, and then their people engage in fraud to make you think that only they can protect you.
[00:31:38.260 --> 00:31:39.440]  I mean, does that make sense?
[00:31:39.661 --> 00:31:40.081]  Absolutely.
[00:31:40.441 --> 00:31:42.822]  So, there's the black hole, there's all of it.
[00:31:43.842 --> 00:31:45.983]  You make the problem and you come in as the hero.
[00:31:46.643 --> 00:31:47.143]  Exactly.
[00:31:47.663 --> 00:31:48.744]  Problem, reaction, solution.
[00:31:49.144 --> 00:31:50.224]  There you go, she just pulled it down.
[00:31:50.584 --> 00:31:58.587]  You wreck society by design so that you can come in as the knight on shining armor.
[00:31:59.567 --> 00:31:59.807]  Wow.
[00:32:00.408 --> 00:32:00.648]  Wow.
[00:32:00.908 --> 00:32:03.569]  That's seriously hateful.
[00:32:03.829 --> 00:32:04.069]  Evil.
[00:32:04.749 --> 00:32:06.050]  Well, they want to be in control.
[00:32:06.070 --> 00:32:06.470]  Yeah.
[00:32:07.372 --> 00:32:08.333]  Yeah.
[00:32:08.593 --> 00:32:17.260]  Well, Alex, I have been wanting to ask you, do you know if they are using the H-A-A-R-P on the chemtrails?
[00:32:17.821 --> 00:32:21.464]  I live in Washington State and it seems our weather patterns here are getting worse.
[00:32:21.624 --> 00:32:25.868]  They spray heavy up here and it rains about three days after they spray the chemtrails.
[00:32:26.888 --> 00:32:28.348]  No, they want to bankrupt the country.
[00:32:28.408 --> 00:32:30.529]  They admit there's a weaponized weather program.
[00:32:30.789 --> 00:32:32.049]  They admit the program's real.
[00:32:32.869 --> 00:32:35.390]  A guy got a Nobel Prize in the 90s, early 90s for it.
[00:32:35.990 --> 00:32:39.451]  And they're trying to bankrupt this country, like $20 billion to move General Motors to China.
[00:32:40.931 --> 00:32:43.131]  I mean, yes, there is a weapons program.
[00:32:43.171 --> 00:32:44.232]  They do ionize it.
[00:32:44.832 --> 00:32:46.992]  That part is in the patents.
[00:32:47.112 --> 00:32:47.492]  It's real.
[00:32:47.732 --> 00:32:49.773]  We just don't know exactly what they're doing.
[00:32:50.593 --> 00:32:51.973]  We just know the program's going on.
[00:32:52.933 --> 00:32:54.234]  And I've been saying this 17 years.
[00:32:54.274 --> 00:32:55.634]  They didn't admit it until four years ago.
[00:32:56.488 --> 00:33:03.790]  And exactly what all the researchers said, barium, salts, aluminum dioxide, other, and then said, oh yeah, we're doing that, but it's classified.
[00:33:04.770 --> 00:33:12.693]  What they do is they add it to the jet fuel where the engines, and it disperses nuclei, and they do it in key weather, I mean, it's amazing.
[00:33:12.753 --> 00:33:15.093]  You can even see the patterns over the ocean.
[00:33:15.313 --> 00:33:20.895]  When you were a child, how long did a condensation trail, a con trail stay up there?
[00:33:21.829 --> 00:33:25.611]  I remember thinking, wow, it's so cool how they stay up here for so long.
[00:33:25.671 --> 00:33:30.454]  I didn't think they would, but I don't know, maybe 30 minutes, something like that, an hour.
[00:33:30.554 --> 00:33:31.094]  How old are you?
[00:33:33.015 --> 00:33:34.896]  You never ask a woman her age, Alex.
[00:33:35.497 --> 00:33:36.137]  Let's say under 30.
[00:33:36.517 --> 00:33:37.058]  Let's go under 30.
[00:33:37.318 --> 00:33:38.578]  Okay, I never even asked your age.
[00:33:39.019 --> 00:33:40.319]  No, the point is, I'm almost 40.
[00:33:41.843 --> 00:33:47.167]  Condensation trails dissipated in a matter of minutes, if not seconds, until the mid-90s.
[00:33:47.968 --> 00:33:51.391]  And now they persist, as they call them, and they stay there.
[00:33:52.411 --> 00:33:53.172]  It's not all planes.
[00:33:53.192 --> 00:33:57.516]  You'll have one plane right beside another plane coming in, and one's not leaving a trail, the other isn't.
[00:33:57.536 --> 00:34:00.698]  It depends what fuel additives they have, actually have spray planes.
[00:34:01.459 --> 00:34:02.059]  It's incredible.
[00:34:02.099 --> 00:34:07.103]  But this is going on, and it just shows how you let a secret government take over of mad scientists.
[00:34:07.143 --> 00:34:08.464]  They just dominate society.
[00:34:08.704 --> 00:34:08.905]  Yeah.
[00:34:09.639 --> 00:34:11.320]  Find out which ways they can do it.
[00:34:12.040 --> 00:34:18.023]  Okay, so what would be one of the best things to do if they release the weaponized bird flu?
[00:34:19.463 --> 00:34:20.484]  Oh man, these questions.
[00:34:20.564 --> 00:34:21.744]  I should be doing these on the radio.
[00:34:21.824 --> 00:34:22.785]  Yeah, these are great.
[00:34:23.185 --> 00:34:24.725]  Or do a panel with Aaron Dykes.
[00:34:26.146 --> 00:34:26.846]  What to do?
[00:34:26.866 --> 00:34:34.910]  Yeah, but I like the fact that it's like fresh though, but then it's like wow.
[00:34:34.930 --> 00:34:37.051]  I have moved to the country.
[00:34:38.160 --> 00:34:38.901]  Outside Austin.
[00:34:39.761 --> 00:34:42.164]  Because I'm not living in fear, I'm trying to live in control.
[00:34:42.184 --> 00:34:43.985]  Because I love my children.
[00:34:45.186 --> 00:34:55.976]  And the globalists really are pushing the idea in all the movies and culture, but also in government documents, that there will be mass plagues, weaponized Ebola, weaponized bird flu, mousepox for humans.
[00:34:56.016 --> 00:34:58.979]  This stuff kills like 85, 90 plus percent of people.
[00:34:58.999 --> 00:35:01.361]  Depending on which, some of them kill like 98 percent.
[00:35:02.426 --> 00:35:02.926]  If you get it.
[00:35:26.687 --> 00:35:27.608]  They're going to be spraying it.
[00:35:27.968 --> 00:35:29.329]  So I don't know how you escape it.
[00:35:29.489 --> 00:35:39.996]  I mean, that's it's it's what's so horrible about these people and how they say once they get a big enough police state in place or they think they can release this stuff and control the panic and pose as saviors on the news.
[00:35:40.336 --> 00:35:40.957]  They're going to do it.
[00:35:41.397 --> 00:35:44.599]  And the very newscasters that are compartmentalized are going to lose their family.
[00:35:44.999 --> 00:35:48.101]  They're reporting that the government's the good guy and everything.
[00:35:48.161 --> 00:35:49.202]  And it's all engineered.
[00:35:49.222 --> 00:35:54.265]  And then we have all these documents where they're where the very government posing as a savior is the one developing it.
[00:35:55.186 --> 00:35:56.367]  It's it's just it's just horrible.
[00:35:57.585 --> 00:35:59.906]  What do those reporters even do all day?
[00:36:00.106 --> 00:36:06.250]  I mean, like, how is it that they say they have slow news days when there's all kinds of documents?
[00:36:06.370 --> 00:36:20.137]  Well, the average reporter, like at CBS or NBC or ABC, the national, even if they're an affiliate, a lot of them are owned by those are owned by sub-corporations, they have news packages, have already produced video.
[00:36:21.418 --> 00:36:24.920]  And then all they've got to do is read the teleprompter and it looks like local news.
[00:36:26.239 --> 00:36:28.000]  It's the law to take vaccines when it's not.
[00:36:28.040 --> 00:36:29.620]  People can look it up and find out it's a hoax.
[00:36:29.760 --> 00:36:33.062]  Even Dr. Oz doesn't give the H1N1 vaccine to his kids.
[00:36:33.402 --> 00:36:35.002]  He's on record as saying that.
[00:36:35.603 --> 00:36:38.864]  I think that's because, morally, in the final equation, he knew how dangerous it was.
[00:36:38.884 --> 00:36:40.465]  He couldn't just sit there and go along with that fraud.
[00:36:40.485 --> 00:36:51.929]  But the issue is, I had the former owner of local NBC station, since I've lived here, he's been on TV, the head guy at CBS the other day, and they said, oh, we want to come by.
[00:36:52.895 --> 00:36:54.577]  And they got here and the questions were coming out.
[00:36:54.597 --> 00:36:57.000]  At the end they go, oh, by the way, this is for national CBS.
[00:36:57.621 --> 00:36:59.603]  I'd already figured that out, the questions they were giving me.
[00:37:00.063 --> 00:37:01.385]  It was on multiple subjects.
[00:37:02.166 --> 00:37:06.771]  And he goes, yeah, a big guru at CBS wanted me to come down here.
[00:37:07.881 --> 00:37:08.842]  I don't know.
[00:37:27.421 --> 00:37:28.582]  You know, head reporter.
[00:37:28.982 --> 00:37:29.183]  Right.
[00:37:29.243 --> 00:37:31.284]  You know, guy that manages CBS here locally.
[00:37:31.525 --> 00:37:33.286]  I think it's somebody like Sinclair.
[00:37:33.907 --> 00:37:35.048]  And he's not even a bad guy.
[00:37:35.068 --> 00:37:36.929]  He's just, well, you've hit the big time.
[00:37:36.989 --> 00:37:38.571]  I've been sent down here by the big guru.
[00:37:39.311 --> 00:37:42.994]  And you just see how you think it's local news.
[00:37:43.115 --> 00:37:43.655]  It's not.
[00:37:44.756 --> 00:37:47.038]  Because these guys know, do what the guru says.
[00:37:47.779 --> 00:37:49.080]  And go get the report for us.
[00:37:49.280 --> 00:37:51.282]  And it's going to air in different regions and nationally.
[00:37:52.403 --> 00:37:55.025]  And there they are all day over there at CBS Local.
[00:37:56.874 --> 00:38:02.516]  Like six years ago I had the tape of that same CBS, before he was there, I'm not bashing him, saying mercury is good for your brain.
[00:38:03.837 --> 00:38:05.997]  So, you type in mercury good for your brain.
[00:38:06.017 --> 00:38:08.518]  Go ahead and take some arsenic pills while you're at it, why not?
[00:38:08.598 --> 00:38:09.639]  Well, it's weird.
[00:38:10.199 --> 00:38:15.261]  A tiny bit of mercury and arsenic, totally microscopic levels, I've talked to scientists, is actually needed.
[00:38:15.681 --> 00:38:20.183]  But not in the levels... Isn't it already in certain foods and things like that?
[00:38:20.203 --> 00:38:20.683]  Well, that's it.
[00:38:20.743 --> 00:38:22.324]  You need just tiny trace amounts.
[00:38:22.364 --> 00:38:25.105]  They're putting thousands of times what you'd want in there.
[00:38:26.618 --> 00:38:28.238]  Well, next question, Alex.
[00:38:28.739 --> 00:38:39.122]  You say that the elite want a cashless society, but the illegal drug and weapon deals and so on would be exposed if the money could not be tracked, or could be tracked then.
[00:38:39.622 --> 00:38:41.803]  So, that logic doesn't compute to me.
[00:38:41.843 --> 00:38:42.643]  Can you explain it?
[00:38:43.356 --> 00:38:48.640]  Well, they've got old programs they're running that are merging with new programs.
[00:38:49.501 --> 00:38:51.743]  And that's a point that I've thought about a lot.
[00:38:52.203 --> 00:38:56.947]  Regardless, the big mega banks who do launder most of the drug money on record, just look it up.
[00:38:57.228 --> 00:38:58.128]  It's all over the news, you know.
[00:38:58.429 --> 00:39:00.991]  Big Bank caught laundering $200 billion in drug money.
[00:39:01.551 --> 00:39:04.033]  No trouble at all, you know.
[00:39:04.053 --> 00:39:07.957]  Bloomberg, $376 billion laundered by Wachovia and Wells Fargo.
[00:39:07.977 --> 00:39:09.378]  I mean, just look at these headlines.
[00:39:11.047 --> 00:39:20.011]  But at the same time, they want to move to a cashless society because it's even a bigger business to charge you $5 like Bank of America wanted to do every time you use your own debit card.
[00:39:20.171 --> 00:39:20.671]  Remember that?
[00:39:21.792 --> 00:39:22.892]  And backlash killed that.
[00:39:22.912 --> 00:39:25.854]  But once they've got you there, they can track the whole economy.
[00:39:27.074 --> 00:39:28.895]  They can shut down whoever they want.
[00:39:28.935 --> 00:39:30.616]  They can get rid of the underground economy.
[00:39:31.736 --> 00:39:33.497]  But here's what's gonna happen with cashless society.
[00:39:33.537 --> 00:39:34.718]  You're still gonna have cash.
[00:39:36.158 --> 00:39:38.960]  You're just gonna thumbprint or face scan when you buy and sell.
[00:39:40.475 --> 00:39:42.217]  Or your sales tax bracket they're going to have you on.
[00:39:42.237 --> 00:39:43.178]  It's going to be graduated.
[00:39:43.678 --> 00:39:50.085]  And with all the new fat taxes and unhealthy taxes, because we're in socialized health care, everybody's paying after all.
[00:39:50.365 --> 00:39:54.729]  We have to monitor what you're eating to make sure that once you buy too much red meat, you're charged for it.
[00:39:55.478 --> 00:39:56.859]  So this is what they want.
[00:39:57.179 --> 00:40:05.065]  We're not there yet, but they're phasing us in to this program and they're trying to merge their old cash society with the cashless.
[00:40:05.605 --> 00:40:07.226]  So they're still going to have cash.
[00:40:08.747 --> 00:40:11.629]  And then they'll just waive all the regulations and laws for themselves.
[00:40:11.669 --> 00:40:15.732]  Like when you go take $1,000 out of the bank, they go, we're filing a suspicious report on this.
[00:40:15.752 --> 00:40:16.813]  What do you want all this cash for?
[00:40:17.253 --> 00:40:22.817]  But if you want to put $10 billion in there and you're a drug dealer, well, Wells Fargo will lease the planes for you.
[00:40:23.778 --> 00:40:24.638]  And run the drugs.
