[00:00:00.209 --> 00:00:00.650]  I will.
[00:42:10.278 --> 00:42:13.600]  And both the bills I've seen are very similar, but basically this is what happens.
[00:42:15.041 --> 00:42:19.104]  They're going to be online job referral websites.
[00:42:19.124 --> 00:42:20.965]  You know, the type of sites we've all gone to.
[00:42:21.226 --> 00:42:21.466]  Right.
[00:42:21.706 --> 00:42:22.086]  Okay?
[00:42:22.687 --> 00:42:28.831]  But they're going to be for people in India, Mexico, China, Russia, every country in the world.
[00:42:30.473 --> 00:42:54.988]  Now, companies will sell, and this is what's being discussed, will, and they already do this with the HP visas, they will sell, just for a few dollars in some cases, access to these websites that will then give the illegals a printout saying that there is a job prospect for them.
[00:42:56.150 --> 00:43:07.033]  Then with that piece of paper, see, we already have 800 plus cities accepting matricula cards issued by Chile, Mexico, Poland, and dozens of other countries, okay?
[00:43:07.693 --> 00:43:12.555]  You come in, this fake ID is accepted by cities, police, banks, everybody.
[00:43:13.075 --> 00:43:25.198]  Now we have, to answer your question, Wells Fargo getting an award from Vicente Fox two months ago in Austin for saying that they're going to issue a new smart card
[00:43:26.027 --> 00:43:43.614]  With the illegals face and Wells Fargo ID number, and cities are saying, the same cities that are saying they'll accept matricula, consular cards, from the country's consulate, they make an ID and then we accept it, not one of our IDs, now you're going to have banks issuing ID cards.
[00:43:43.634 --> 00:43:44.515]  This is already happening.
[00:43:44.855 --> 00:43:46.776]  They're already handing out the awards for this.
[00:43:48.016 --> 00:43:49.977]  Fox is up here thanking them for doing it in Austin.
[00:43:50.709 --> 00:44:02.976]  Now you're going to have these job search websites issuing a piece of paper saying you've got a job or a prospect to interview for it if you come to the U.S.
[00:44:03.677 --> 00:44:12.622]  Bush is saying with that piece of paper, that is the equivalent of a visa to fly in, walk in, come through the border crossing.
[00:44:13.257 --> 00:44:20.859]  So yes, basically they're saying they're going to get rid of the Border Patrol and simply have it for a drug suite point where they search your vehicle.
[00:44:21.439 --> 00:44:28.901]  Okay, so this isn't just total legalization of whoever's here, it's also total legalization of whoever gets here.
[00:44:29.342 --> 00:44:41.105]  But to get to the crossing, you will either show a Wells Fargo bank card issued in Mexico, or you will show a matricula consular card that Mexico issues for $23 to anybody that wants one.
[00:44:42.103 --> 00:44:46.366]  Or you show the printout showing you have a prospective job opportunity.
[00:44:48.487 --> 00:44:57.954]  Well, I read in David Icke's book that it said that the reason why the borders aren't being pursued is because all the drugs are coming through there and they don't want those people to be stopped.
[00:44:58.534 --> 00:45:00.895]  Well, again, that's a part of it.
[00:45:00.936 --> 00:45:02.096]  I'd say maybe 10% of it.
[00:45:02.436 --> 00:45:04.478]  It's about driving down the wages.
[00:45:05.182 --> 00:45:06.583]  Well, they've already done that.
[00:45:06.803 --> 00:45:08.464]  They've already done the wages thing.
[00:45:08.804 --> 00:45:20.391]  And another thing... Well, sir, if you think it's going to drop, if you think it's going to drop now, high-tech layoffs are going to get seven times worse over the next four years, according to the Congressional Budget Office.
[00:45:20.912 --> 00:45:29.377]  Well, I was listening to that Ranch Rescue guy on the National Alliance Show, and it's, like, pathetic that the government
[00:45:29.864 --> 00:45:34.765]  Won't even help these poor people that are volunteering to try to keep these people out.
[00:45:34.785 --> 00:45:40.786]  It's like a dam bursting on their private property, and the government doesn't help them at all.
[00:45:40.806 --> 00:45:48.287]  They're asking for donations, which, you know, is pretty pathetic if that's the kind of border we have.
[00:45:49.187 --> 00:45:50.408]  I think that's in Texas.
[00:45:50.888 --> 00:45:52.448]  Alright, well thank you for the call.
[00:45:53.008 --> 00:45:57.629]  I know Jack Foote, and Jack Foote is no... I've talked to him many times on the phone.
[00:45:57.669 --> 00:45:58.469]  He's not a racist.
[00:45:59.518 --> 00:46:04.441]  And I would imagine he didn't know what show he was going on if he went on the National Alliance show.
[00:46:06.042 --> 00:46:16.708]  I mean, the National Alliance brings up real issues like the open border, but then the media can point their cameras at them, who also have a Nazi philosophy, and then discredit trying to control the borders.
[00:46:16.788 --> 00:46:18.509]  And boy, that is the wrong direction to go to.
[00:46:18.549 --> 00:46:24.672]  We'll ask Jack about that when he gets on the show, if he did indeed do that interview.
[00:46:26.744 --> 00:46:28.485]  But I guess I'd be interviewed by anybody.
[00:46:28.585 --> 00:46:29.786]  I've been interviewed by the leftists.
[00:46:29.826 --> 00:46:31.147]  I've been interviewed by the right-wingers.
[00:46:31.167 --> 00:46:33.189]  I've been interviewed by the foreign countries.
[00:46:33.249 --> 00:46:36.912]  I just want to talk to people and try to turn them to my way of thinking.
[00:46:36.952 --> 00:46:41.716]  But a very interesting call there, Charles.
[00:46:41.776 --> 00:46:51.043]  Before we go to Mark and Jim and Rich and others, I hate to repeat stuff, but a lot of times I hear my show and rebroadcast on the weekend.
[00:46:52.210 --> 00:46:53.551]  I'm not that clear on things.
[00:46:53.571 --> 00:47:14.063]  Do you understand Bush is going to legalize anybody who's here, anybody that ever gets here, and they're going to allow companies to pay to bring people here at an accelerated rate, it's already happening, and that they'll accept a piece of paper saying you've got a job interview as a new visa as a way to get you into the country.
[00:47:14.863 --> 00:47:15.544]  All of this
[00:47:17.535 --> 00:47:29.006]  While at the same time they're telling us, give up your liberties, we're going to scan and watch and listen to everything you do and put cameras up in all your neighborhoods because the terrorists are going to get us.
[00:47:29.387 --> 00:47:36.073]  Meanwhile, private companies can issue ID cards that are accepted by the cities, most of the cities.
[00:47:36.954 --> 00:47:39.917]  I mean, can I go start a company and issue ID cards?
[00:47:39.997 --> 00:47:40.998]  No, I'd be arrested.
[00:47:41.781 --> 00:47:42.461]  And I should be.
[00:47:42.901 --> 00:47:48.944]  But if I was a big fat cat Wells Fargo doing this for the Globalist, it'd be just fine.
[00:47:50.364 --> 00:48:02.329]  I mean, Vicente Fox came to Austin and gave an award to the APD for not following the federal law and for not arresting illegal aliens.
[00:48:02.849 --> 00:48:04.689]  That was in our newspaper, on the news.
[00:48:04.749 --> 00:48:08.511]  He gave a speech at the Capitol thanking them for this.
[00:48:09.725 --> 00:48:11.305]  And gave awards to the police department.
[00:48:11.585 --> 00:48:20.448]  Can you imagine if I went to Mexico and gave their police an award for not following the law?
[00:48:20.728 --> 00:48:21.668]  I'd be arrested.
[00:48:21.988 --> 00:48:23.168]  What are you, crazy?
[00:48:24.749 --> 00:48:35.471]  Imagine if I went down to Mexico and I said, here's an award for not asking for ID cards of Americans and not asking for passports and letting Americans come down here and do whatever they want.
[00:48:36.491 --> 00:48:38.852]  I'd be a laughingstock behind bars.
[00:48:39.989 --> 00:48:42.731]  But it happens here, and it's, oh, it's a good thing!
[00:48:43.132 --> 00:48:48.196]  See how all this ridiculous, out-of-control stuff is just right out in the open?
[00:48:49.717 --> 00:48:50.838]  It's just right out in the open!
[00:48:51.359 --> 00:48:58.464]  A foreign head of state, here, lobbying our state, giving awards, thanking our state for not following the law.
[00:48:58.905 --> 00:49:00.646]  That is an enemy attack!
[00:49:02.027 --> 00:49:03.729]  That is a usurper!
[00:49:05.050 --> 00:49:06.171]  That's amazing!
[00:49:06.954 --> 00:49:13.896]  And Bush is in Mexico right now with Vicente Fox steamrolling the deal to get rid of our borders.
[00:49:15.577 --> 00:49:20.218]  And understand, folks, you can't get a telemarketing job, you can't get a customer service job.
[00:49:20.498 --> 00:49:31.261]  I was watching 60 Minutes last night, not just the Paul O'Neill announcement about Bush planning to go into Iraq from the first days of being in office, contrary to his public speeches at the time.
[00:49:32.382 --> 00:49:36.023]  But then I saw a show about immigration, and it was actually kind of, you know, happy-go-lucky.
[00:49:37.344 --> 00:49:38.745]  You know, it's a good thing.
[00:49:39.626 --> 00:49:51.475]  Well, there's these call centers in India, and now you're more often, when you call for customer service, to talk to somebody in India who's been trained to sound like an American than you'll be talking to a citizen.
[00:49:53.156 --> 00:49:57.419]  You know, this is a good thing, and man, it's wonderful, and it gives you cheaper prices.
[00:49:57.760 --> 00:50:06.947]  They even talked about something that I've reported on, but it's hard to believe, that most of the 50 states, when you call about your welfare benefits,
[00:50:07.873 --> 00:50:12.336]  And the person that decides if you get more welfare, you're talking to somebody in India.
[00:50:13.136 --> 00:50:14.497]  Now folks, there should be a law.
[00:50:14.537 --> 00:50:17.199]  We're going to have this big government bureaucracy.
[00:50:17.859 --> 00:50:18.179]  Okay?
[00:50:18.199 --> 00:50:19.000]  Which is bad enough.
[00:50:19.020 --> 00:50:19.800]  Gets us dependent.
[00:50:20.521 --> 00:50:27.345]  At least the people on the other end of the phone at the welfare center, at least some of that money should go into the U.S.
[00:50:27.385 --> 00:50:29.827]  economy with government jobs.
[00:50:29.867 --> 00:50:33.549]  I mean, I can't believe I'm saying this, but it's better than it going to India.
[00:50:35.620 --> 00:50:37.841]  And they're laying off government jobs here, folks.
[00:50:38.701 --> 00:50:39.921]  And they're going to India.
[00:50:39.941 --> 00:50:44.463]  I mean, we're not even... Folks, for a long time, people in government thought, well, I'll be safe.
[00:50:45.423 --> 00:50:46.223]  No, you won't.
[00:50:47.223 --> 00:50:49.864]  You're not even going to be safe with a government job.
[00:50:50.604 --> 00:50:51.505]  And yes, it's true.
[00:50:52.025 --> 00:50:54.485]  They're now doing telemarketing out of prisons.
[00:50:54.565 --> 00:50:55.886]  That's a big booming industry.
[00:50:56.246 --> 00:50:59.967]  Prisoners, Indians, but not law-abiding citizens.
[00:51:00.871 --> 00:51:09.256]  Again, illegal aliens come here, they get their green card, even if they're illegal, and they get 7 to 10 years tax exemption to open a business.
[00:51:09.576 --> 00:51:10.977]  Why don't citizens get that?
[00:51:12.318 --> 00:51:16.620]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:51:16.820 --> 00:51:21.183]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:51:24.338 --> 00:51:25.898]  You will lose your liberty.
[00:51:42.703 --> 00:51:52.990]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:51:53.290 --> 00:51:58.654]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:51:59.154 --> 00:52:02.556]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:52:02.576 --> 00:52:02.936]  That's 888-253-3139.
[00:52:02.956 --> 00:52:04.237]  Order today and spread the word!
[00:52:11.682 --> 00:52:13.263]  Hello folks, this is Alex Jones.
[00:52:13.643 --> 00:52:19.387]  You know that Berkey water filters have become the standard of excellence by which all other water filtration systems are measured.
[00:52:19.647 --> 00:52:24.771]  The Berkey Light gives you the freshest, cleanest water possible from the world's most revolutionary water filtration system.
[00:52:25.111 --> 00:52:34.377]  The self-sterilizing black Berkey elements remove pathogenic bacteria, cysts, parasites, volatile organic chemicals, trihalomethanes, radon-222, and much, much more.
[00:52:34.737 --> 00:52:39.703]  It's rechargeable 8-lamp bright white LED lighting system provides the ideal source of emergency light.
[00:52:40.023 --> 00:52:44.028]  The lights can run all night on a single charge and it is bright enough to read by.
[00:52:44.248 --> 00:52:48.954]  This provides a relaxing and ambient night light and allows for optimum use during emergency conditions.
[00:52:49.374 --> 00:52:55.241]  The Murky Lights revolutionary transparent design takes the guesswork out of refilling because you can see the water level at all times.
[00:52:55.621 --> 00:53:01.831]  Get the Berkey Light, the standard of excellence for only $259 by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[00:53:01.891 --> 00:53:02.853]  That's toll free at 888-803-4438.
[00:53:02.873 --> 00:53:03.835]  Not yet available in Iowa.
[00:53:13.055 --> 00:53:18.958]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:19.198 --> 00:53:21.459]  We specialize in keeping you alive and healthy.
[00:53:21.640 --> 00:53:28.003]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:53:28.303 --> 00:53:28.983]  We're good to go!
[00:53:57.868 --> 00:54:00.955]  We have been working hard since 1988 to save the remnant.
[00:54:01.115 --> 00:54:06.988]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:54:15.498 --> 00:54:15.978]  Don't worry.
[00:54:16.478 --> 00:54:18.019]  This show is documented.
[00:54:18.519 --> 00:54:20.019]  Alex Jones on the GCN Radio Network.
[00:54:20.039 --> 00:54:20.819]  I fell into a burning ring of fire.
[00:54:20.839 --> 00:54:21.820]  I went down, down, down, and the flames went higher.
[00:54:21.840 --> 00:54:44.425]  And it burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned, burned
[00:54:45.945 --> 00:54:50.147]  Coming up, a Blair admits weapons of mass destruction may never be found.
[00:54:50.167 --> 00:54:59.952]  And this report's from two days ago, but that's the same day that the headline read, Troops find chemical weapons in Iraq.
[00:55:00.813 --> 00:55:06.816]  Dozens of mortar rounds containing chemical weapons have been found buried under a road in southern Iraq.
[00:55:06.856 --> 00:55:08.537]  It was revealed last night.
[00:55:09.938 --> 00:55:17.681]  Test of suspicious liquid that were leaking from the shells found that it was a form of blister gas, which include mustard gas.
[00:55:17.822 --> 00:55:23.204]  Now, that's not a weapon of mass destruction by the real definition.
[00:55:23.284 --> 00:55:29.807]  It's a World War I style weapon, but can we even believe this announcement?
[00:55:29.847 --> 00:55:33.068]  Well, I tend to believe it because we know that's something Saddam made a lot of.
[00:55:33.708 --> 00:55:39.311]  And again, there were hundreds of declared sites that don't count around Iraq.
[00:55:39.986 --> 00:55:48.351]  And it's pretty easy to go to one of these sites, get these mortar rounds, and bury them, and then, oh, discover them.
[00:55:48.852 --> 00:55:57.617]  I mean, how do you find mortar shells buried under a road by accident in a giant country, you know, a lot bigger than the size of Texas?
[00:55:59.098 --> 00:56:01.519]  But again, we know Saddam has weapons of mass destruction.
[00:56:01.539 --> 00:56:02.420]  That was never debatable.
[00:56:02.740 --> 00:56:07.203]  It was undeclared weapons of mass destruction, and many times in the past,
[00:56:07.822 --> 00:56:21.055]  They will send out their inspectors, they will go to a site that's already been inspected, announce they found new weapons of mass destruction, and then quietly retract it two days later in the back of the paper, saying, oh, that was a site we'd already looked at.
[00:56:21.836 --> 00:56:25.900]  But again, it creates this subconscious belief that they're telling us the truth.
[00:56:26.060 --> 00:56:30.565]  I don't know what to think of this, though, because they're not making a big deal of it in the media.
[00:56:31.903 --> 00:56:35.365]  So we'll get back into that and of course your calls here in just a few minutes.
[00:56:35.966 --> 00:56:40.409]  Before I end this hour though, I've made ten films.
[00:56:41.429 --> 00:56:49.475]  They're very informative, very impressive, very well done, professionally produced, and they expose what the New World Order is and how to stop it.
[00:56:49.555 --> 00:56:52.977]  One of my new films is Police State 3 Total Enslavement.
[00:56:53.604 --> 00:56:56.846]  Two hours, 40 minutes long, very fast-moving.
[00:56:57.207 --> 00:57:14.319]  We go through what the New World Order is, the false left-right paradigm, Patriot Act 1 and 2, Homeland Security, the cashless society control grid, the foreign troops, the concentration camps, the government-run white slavery rings, forced inoculations,
[00:57:15.916 --> 00:57:16.997]  It's a tour de force.
[00:57:17.097 --> 00:57:23.462]  It goes A to Z. If you want one film that will give you a real education on the New World Order, this is it.
[00:57:24.843 --> 00:57:34.351]  Multiple, I'd say ten different examples of government-sponsored terror, where government's been caught engaging in terror that we haven't covered in other past films.
[00:57:34.964 --> 00:57:36.145]  Very important video.
[00:57:36.705 --> 00:57:36.145]  $25.95.
[00:57:36.926 --> 00:57:40.428]  It's the equivalent of three or four videos in one.
[00:57:40.909 --> 00:57:48.234]  But if you get three or more of any of the separate films that are all lengthy and well done, they drop down to $20 a piece.
[00:57:48.254 --> 00:57:53.238]  That's an $18 discount on the three-tape special, a $24 discount on the four-tape special.
[00:57:53.759 --> 00:57:54.760]  I've made ten films.
[00:57:55.120 --> 00:57:58.102]  My newest film is Matrix of Evil, and it's great as well.
[00:57:58.763 --> 00:58:02.866]  Ron Paul, Cynthia McKinney, Frank Morales, Colonel Roberts, myself.
[00:58:03.849 --> 00:58:12.535]  Throwing out the Patriot Act, full of solutions, the coming depression, Ron Paul talks about that and how globalists run Washington.
[00:58:13.976 --> 00:58:21.261]  Go to InfoWars.com or PrisonPlanet.com to get these videos or call toll free 1-888-253-3139.
[00:58:28.875 --> 00:58:34.241]  Again, that's 888-253-3139 or simply write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:58:35.002 --> 00:58:38.546]  And I want you to make copies of the films and spread them out
[00:58:50.757 --> 00:58:54.879]  Get the word out, have an effect, and your purchase also supports this show.
[00:58:55.359 --> 00:58:58.981]  So InfoWars.com or PrisonPlanet.com to order or 888-253-3139.
[00:59:02.737 --> 00:59:05.978]  Introducing the most efficient gravity filter available.
[00:59:06.078 --> 00:59:10.219]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[00:59:10.499 --> 00:59:13.279]  But, if you placed them on the magnet, all would stick.
[00:59:13.479 --> 00:59:15.880]  The same principle applies in water filtration.
[00:59:16.060 --> 00:59:24.702]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[00:59:24.902 --> 00:59:26.242]  The Berkey light is different.
[00:59:26.442 --> 00:59:30.623]  Water molecules take 5 to 10 minutes to pass through the torturous path
[00:59:30.923 --> 00:59:31.244]  I think so.
[00:59:58.095 --> 01:00:00.858]  This is the GCN Radio Network.
[01:00:03.842 --> 01:00:04.903]  Big Brother.
[01:00:09.895 --> 01:00:10.936]  Mainstream media.
[01:00:11.656 --> 01:00:12.736]  Government cover-ups.
[01:00:13.397 --> 01:00:14.217]  You want answers?
[01:00:14.997 --> 01:00:16.918]  Well, so does he.
[01:00:16.938 --> 01:00:20.360]  He's Alex Jones on the GCN Radio Network.
[01:00:20.740 --> 01:00:24.842]  And now, live from Austin, Texas, Alex Jones.
[01:00:26.843 --> 01:00:33.806]  Alright, my friends, we're now into Hour 2 of this 12th day of January 04.
[01:00:34.286 --> 01:00:38.008]  We've got Paul Joseph Watson to talk about the
[01:00:39.332 --> 01:00:40.072]  We're good to go.
[01:00:57.840 --> 01:01:00.963]  Mortar shells, also some of the new police state developments.
[01:01:01.243 --> 01:01:03.645]  But I want to get through five or six calls that have been holding.
[01:01:04.146 --> 01:01:06.448]  Let's go to you quick with your question or your comment.
[01:01:06.788 --> 01:01:08.450]  Mark in Minnesota, you're on the air.
[01:01:08.510 --> 01:01:08.950]  Go ahead.
[01:01:08.970 --> 01:01:09.951]  Alex, how are you doing?
[01:01:10.211 --> 01:01:10.612]  Good, sir.
[01:01:10.792 --> 01:01:15.096]  The Anthrax Vaccine Immunization Program back running on all cylinders again.
[01:01:15.116 --> 01:01:17.017]  $245 million contract that BioPort just received.
[01:01:21.315 --> 01:01:27.157]  And I've got a new report here from other, more scientists, saying it's a dangerous vaccine.
[01:01:27.857 --> 01:01:37.739]  Now what's interesting, Alex, is you notice that it was resumed on Wednesday when Bush announced his big Jobs for Legal Aliens program.
[01:01:38.419 --> 01:01:45.321]  And so everybody, I've been talking to people, everybody seems to think the anthrax vaccination program was faulted.
[01:01:45.981 --> 01:01:47.242]  And it's not going on right now.
[01:01:47.262 --> 01:01:48.762]  A federal judge
[01:01:49.745 --> 01:01:52.609]  said this is not approved for humans.
[01:01:53.069 --> 01:01:55.892]  You can't make troops take an experimental vaccine.
[01:01:55.932 --> 01:01:57.694]  It's been experimental for 14 years.
[01:01:57.995 --> 01:01:58.675]  They've been giving it.
[01:01:59.256 --> 01:02:05.904]  So Bush says, I want the courts to overturn that
[01:02:06.673 --> 01:02:11.495]  And they wouldn't, so within four days, he told the FDA, okay, go ahead and approve it.
[01:02:11.535 --> 01:02:16.937]  They wouldn't approve it for 14 years, and four days later, they approve it, and it's back in the troops.
[01:02:17.897 --> 01:02:25.759]  In fact, what's interesting, the statute that that decision was based on, in fact, I have a copy of those statutes on my site.
[01:02:25.820 --> 01:02:27.060]  Is that okay if I give that?
[01:02:27.080 --> 01:02:28.000]  Sure, what's your website?
[01:02:28.080 --> 01:02:36.123]  It's noanthraxvaccine, all one word, noanthraxvaccine.net, and actually, I have the executive order that Clinton wrote,
[01:02:36.661 --> 01:02:36.901]  I don't
[01:02:57.731 --> 01:03:01.534]  The President signs a waiver, or unless, of course, the FDA says it's okay.
[01:03:01.554 --> 01:03:06.958]  And Bush wouldn't do Clinton have the evil nerve to sign that order.
[01:03:07.318 --> 01:03:08.519]  Bush wouldn't reissue it.
[01:03:08.820 --> 01:03:13.243]  He just told his FDA, which is the sneaky way of doing it, you go ahead and approve that.
[01:03:13.783 --> 01:03:18.067]  Now the President, hey folks, you want a new heart medication that's not approved?
[01:03:18.447 --> 01:03:20.128]  Just ask Bush to say it's approved.
[01:03:20.168 --> 01:03:20.769]  Thanks for the call.
[01:03:21.429 --> 01:03:25.030]  Think about the danger, the dictatorial power of that.
[01:03:25.310 --> 01:03:26.671]  Bush is now a doctor.
[01:03:27.171 --> 01:03:36.354]  Bush told the FDA to approve a drug, a vaccine they wouldn't approve for 14 years, that admittedly has killed a bunch of troops and made a lot of others sick.
[01:03:37.114 --> 01:03:38.335]  That makes me very angry.
[01:03:39.055 --> 01:03:42.296]  Let's talk to Rick in Tennessee.
[01:03:42.316 --> 01:03:42.736]  Go ahead.
[01:03:43.036 --> 01:03:43.476]  Hello, Alex.
[01:03:43.536 --> 01:03:44.537]  Thanks for taking my call.
[01:03:44.577 --> 01:03:44.877]  You bet.
[01:03:45.459 --> 01:04:01.714]  Listen, in reference to the new space missions we're having, wasn't it the report from Iron Mountain that talked about disposing some of the population through vaccines and keeping them diverted with unobtainable space-based missions?
[01:04:03.274 --> 01:04:08.759]  Yes, and they admit that much of NASA, about 80% of it, is secret.
[01:04:08.879 --> 01:04:20.229]  Most of it is military, so they can use the funds for a Mars mission, a Moon mission, and really use that, most of that money, for clandestine black budget operations.
[01:04:20.810 --> 01:04:22.832]  It's a very evil organization.
[01:04:24.216 --> 01:04:25.197]  That's all I had to say.
[01:04:25.577 --> 01:04:26.818]  All right, good points.
[01:04:27.079 --> 01:04:29.541]  And yes, Bush is scheduled.
[01:04:29.621 --> 01:04:31.302]  Now he was scheduled to do it last month.
[01:04:31.682 --> 01:04:34.304]  Didn't do it on the 100th anniversary of powered flight.
[01:04:34.885 --> 01:04:40.069]  Bush is scheduled Wednesday to announce we're going back to the moon and to Mars for the first time.
[01:04:41.891 --> 01:04:42.952]  What do you think about that?
[01:04:43.752 --> 01:04:45.414]  Because we covered it but we didn't discuss it.
[01:04:45.514 --> 01:04:46.735]  It's a big deal.
[01:04:47.515 --> 01:04:51.839]  We'll come back and we'll go to Howard and Maggie and Spencer and others.
[01:04:52.631 --> 01:04:55.353]  Then I'm going to hit some more of the news that we're getting Paul Watson on.
[01:04:55.933 --> 01:05:01.216]  Then we've got folks from Ranch Rescue coming on to talk about getting shot at by Mexican troops.
[01:05:04.460 --> 01:05:08.061]  Are you one of the millions of Americans who suffer from gum disease like gingivitis?
[01:05:08.281 --> 01:05:09.702]  If so, hope has arrived.
[01:05:10.182 --> 01:05:11.642]  I'd like to introduce you to Vitamir.
[01:05:11.903 --> 01:05:17.064]  Vitamir is the all-natural toothpaste and mouthwash designed to protect against and promote healing of gum disease.
[01:05:17.424 --> 01:05:21.906]  Unlike most toothpaste and mouthwash, Vitamir contains no alcohol, no sugar, and no fluoride.
[01:05:22.226 --> 01:05:30.869]  Instead, Vitamir products contain zinc to inhibit plaque growth and promote healing, folic acid to reduce inflammation, myrrh, used since biblical times for gum disease, and clove oil.
[01:05:31.369 --> 01:05:32.510]  Gum disease is serious.
[01:05:32.990 --> 01:05:36.731]  Research links gum disease to health problems like diabetes, stroke, and heart disease.
[01:05:37.012 --> 01:05:43.634]  With a regular program of oral hygiene including vitamin toothpaste and mouthwash, your chances of experiencing gum disease will be greatly diminished.
[01:05:43.975 --> 01:05:48.016]  Find out for yourself why health professionals across America are recommending Vitamir.
[01:05:48.457 --> 01:05:50.417]  Order yours today from Cliff Scott Enterprises.
[01:05:50.678 --> 01:05:51.478]  Call toll-free 800-569-4340.
[01:05:51.498 --> 01:05:53.279]  That's 800-569-4340 or visit their website at www.cliffscott.com.
[01:06:03.522 --> 01:06:06.984]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Element.
[01:06:07.264 --> 01:06:10.767]  They're new and they're more powerful than any gravity filter element on the market.
[01:06:10.847 --> 01:06:14.789]  These powerful filters fit most gravity filter systems and can be installed in minutes.
[01:06:15.010 --> 01:06:21.174]  Black Berkey Replacement Elements are so powerful they remove pathogenic bacteria, cysts, parasites, and non-detectable levels.
[01:06:21.594 --> 01:06:29.499]  The trihalomethanes and volatile organic chemicals such as atrazine, styrene, chloroform, and MTBE are removed below detectable limits.
[01:06:29.899 --> 01:06:35.244]  Black Berkey Filter Elements also reduce nitrates and unwanted metals such as lead, mercury and aluminum.
[01:06:35.424 --> 01:06:39.187]  Get the Black Berkey Filter Elements, leave in the nutritional minerals that your body needs.
[01:06:39.548 --> 01:06:41.389]  And the Black Berkey Filters are reclaimable.
[01:06:41.469 --> 01:06:43.631]  Simply brush them up with Scott's Bright Pad.
[01:06:43.871 --> 01:06:48.215]  Normally $48 each, you get a 2-pack for only $91 or a 4-pack for only $173.
[01:06:48.255 --> 01:06:54.420]  Get the powerful Black Berkey Replacement Filters now by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[01:06:57.783 --> 01:07:01.626]  That's 888-803-4438 for Texture Family.
[01:07:02.246 --> 01:07:06.549]  Alex Jones here announcing the release of my new film, Police State 3 Total Enslavement.
[01:07:06.769 --> 01:07:10.572]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:07:14.329 --> 01:07:15.850]  You will lose your liberty.
[01:07:32.646 --> 01:07:42.931]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:07:43.231 --> 01:07:48.614]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[01:07:49.114 --> 01:07:51.755]  Visit InfoWars.com or PrisonPlanet.com to order.
[01:07:51.835 --> 01:07:52.616]  Recall toll free 1-888-253-3139.
[01:07:52.636 --> 01:07:53.036]  That's 888-253-3139.
[01:07:53.056 --> 01:07:54.197]  Order today and spread the word.
[01:08:08.622 --> 01:08:09.263]  Big Brother.
[01:08:09.923 --> 01:08:11.004]  Mainstream media.
[01:08:11.704 --> 01:08:12.865]  Government cover-ups.
[01:08:13.445 --> 01:08:14.286]  You want answers?
[01:08:15.026 --> 01:08:16.947]  Well, so does he.
[01:08:16.967 --> 01:08:20.250]  He's Alex Jones on the GCN Radio Network.
[01:08:20.790 --> 01:08:24.912]  And now, live from Austin, Texas, Alex Jones.
[01:08:28.735 --> 01:08:35.159]  In just the last decade, hundreds of prominent people from the Pope,
[01:08:36.161 --> 01:08:58.546]  Two weeks ago, to the President's father, George Herbert Walker Bush, to the heads of academia, mass media, German chancellors, British prime ministers have called for world government, world taxation, world regulation, world disarmament of the people, gun confiscation.
[01:09:00.067 --> 01:09:00.687]  But still,
[01:09:02.210 --> 01:09:11.775]  The so-called liberals and the so-called conservatives that dominate our media, the neocon hordes, claim there's no such thing as world government.
[01:09:12.035 --> 01:09:18.919]  So let me read four or five famous world government quotes, then we'll go to Howard, Maggie and Spencer and others.
[01:09:19.859 --> 01:09:21.020]  This is David Rockefeller.
