[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[00:35:07.978 --> 00:35:24.790]  Going over the fact that the Founding Fathers are terrorists and that the Christians are terrorists and then we have the flyers and training manuals and mainstream news articles where they're reporting on the FBI and the BATF and FEMA training police in this.
[00:35:25.170 --> 00:35:26.811]  But then we also have that video.
[00:35:27.998 --> 00:35:36.247]  And since that film came out, I've been sent discs and VHS tapes from Kentucky and New York and Florida and California and Texas.
[00:35:36.728 --> 00:35:39.151]  And people say, well then why haven't you put this new stuff out?
[00:35:39.191 --> 00:35:40.772]  Well, basically it's the same thing.
[00:35:40.973 --> 00:35:49.122]  It's a different person from FEMA or from the Southern Poverty Law Center or from the FBI saying the exact same thing.
[00:35:49.750 --> 00:35:59.154]  I mean, I have a box of stuff, a box of documents, the slack program, the cage program, the this, the that, it's all the same thing!
[00:35:59.174 --> 00:36:05.137]  I mean, it's all, word for word, the same script.
[00:36:06.118 --> 00:36:10.540]  But I do, in a new film, plan to put some more of that in there.
[00:36:11.280 --> 00:36:15.602]  But to give you an idea of how jam-packed my videos are, there's just one video
[00:36:17.305 --> 00:36:21.472]  Just a few minutes out of the long video and that's what we have there.
[00:36:22.654 --> 00:36:26.100]  Then we don't just show that, then it goes to Abby Newman
[00:36:26.950 --> 00:36:38.556]  A Navy veteran, no criminal record, she pulls up to a checkpoint in Virginia, a rural area, and they jerk her out of the car because she says, you can't search my car without a warrant.
[00:36:38.956 --> 00:36:42.538]  They jerk her out, frame her, which they later got thrown out of court.
[00:36:42.938 --> 00:36:46.960]  Well, the jury found her not guilty of assaulting him, but they say, what are we going to charge her with?
[00:36:46.980 --> 00:36:48.200]  Oh, let's charge her with assault.
[00:36:48.640 --> 00:36:51.322]  Look, she's got a Police State 2000 video.
[00:36:51.342 --> 00:36:51.822]  Oh, she's got
[00:36:52.483 --> 00:36:54.725]  She's got, you know, this pocket Constitution.
[00:36:55.186 --> 00:36:56.647]  Oh, she's one of them extremists.
[00:36:56.988 --> 00:37:08.980]  So we don't just have the training going on, you know, in Kansas City or the training manuals or the news articles about it where they say all the Christians are terrorists or those that talk about the Constitution are terrorists.
[00:37:09.341 --> 00:37:14.987]  We then have it actually happening from squad car video and mics on their
[00:37:16.246 --> 00:37:19.110]  State Police ties as they do all this.
[00:37:19.210 --> 00:37:27.943]  So we have the training, we have the video of it, we have the news articles, we have the manuals, we have the flyers, then we have it happening on the street to someone.
[00:37:28.877 --> 00:37:30.678]  That we have it happening to two people.
[00:37:30.698 --> 00:37:33.040]  Then we have Ferrell Montgomery.
[00:37:33.060 --> 00:37:33.861]  They pull him over.
[00:37:33.881 --> 00:37:34.481]  No weapons.
[00:37:34.521 --> 00:37:34.922]  Gets out.
[00:37:34.982 --> 00:37:35.883]  Puts his hands up.
[00:37:36.283 --> 00:37:38.184]  He talked about the Constitution to the police.
[00:37:38.625 --> 00:37:40.406]  The SWAT team's hitting him with two tasers.
[00:37:40.426 --> 00:37:43.108]  A lot of police dogs chew on him for about three minutes.
[00:37:44.009 --> 00:37:46.731]  And, you know, because he's an evil patriot.
[00:37:47.131 --> 00:37:52.736]  And then the newscast comes on and says, yeah, he had pipe bombs and they hold up jumper cables.
[00:37:52.816 --> 00:37:56.118]  And a week later the news had a report, okay, they were jumper cables.
[00:37:56.198 --> 00:37:58.100]  But this is how they do it.
[00:37:59.392 --> 00:38:03.456]  So I don't, I mean, I don't have the words to describe what's in these videos.
[00:38:03.496 --> 00:38:06.138]  I mean, Police State 3 is just as good as Road to Tyranny.
[00:38:06.659 --> 00:38:08.160]  Matrix of Evil is powerful.
[00:38:09.261 --> 00:38:10.962]  Masters of Terror is excellent.
[00:38:11.603 --> 00:38:13.825]  Dark Secrets Inside Bohemian Grove.
[00:38:14.526 --> 00:38:16.187]  You need every one of my videos.
[00:38:16.307 --> 00:38:17.188]  I've made ten of them.
[00:38:17.208 --> 00:38:17.849]  They're amazing.
[00:38:17.889 --> 00:38:18.489]  They're incredible.
[00:38:18.529 --> 00:38:19.210]  They're dynamic.
[00:38:19.710 --> 00:38:22.653]  And they're tailor-made to wake people up with the truth.
[00:38:23.368 --> 00:38:29.491]  The videos are $25.95 a piece, and if you order three or more of any of them, they drop down to $20.
[00:38:29.911 --> 00:38:35.793]  There's Paul Watson's new book that is excellent, Order Out of Chaos, Elite Sponsored Terror, and the New World Order that I published.
[00:38:36.613 --> 00:38:37.534]  Hope you'll get that.
[00:38:38.394 --> 00:38:44.777]  Also, I've got a t-shirt that's got Hitler, Stalin, and Mao on the front, and it says, Mass Murderers Agree, Gun Control Works.
[00:38:45.297 --> 00:38:49.259]  On the back, it says, Politicians Love Disarmed Peasants, InfoWars.com.
[00:38:51.281 --> 00:38:53.162]  And I hope you'll get that t-shirt.
[00:38:53.182 --> 00:38:53.963]  It's $20.
[00:38:54.323 --> 00:38:53.963]  $19.95.
[00:38:54.403 --> 00:38:57.185]  I've got my Tyranny Response Team t-shirts.
[00:38:57.505 --> 00:38:59.047]  You want to meet like-minded people?
[00:38:59.327 --> 00:39:06.772]  Put one of these shirts on and walk down the street or go in a grocery store or the shopping mall and you'll meet plenty of like-minded people.
[00:39:07.742 --> 00:39:08.702]  In about five minutes.
[00:39:09.703 --> 00:39:20.687]  So again, the toll-free number to order the videos, the books, the t-shirts, any of it, and all that supports this show, 1-888-253-3139.
[00:39:21.827 --> 00:39:23.568]  Start the new year off right, folks.
[00:39:23.668 --> 00:39:24.748]  Get in the info war.
[00:39:25.168 --> 00:39:29.470]  These videos are waking up 90% of those that see them, and I want you to make copies of them.
[00:39:29.650 --> 00:39:41.060]  1-888-253-3139 or InfoWars.com or PrisonPlanet.com to order via our secure online shopping cart.
[00:39:41.401 --> 00:39:45.605]  Or last but not least, you can just write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:39:53.212 --> 00:39:54.533]  Let's go to these calls quickly.
[00:39:55.253 --> 00:39:56.574]  John, you're on the air.
[00:39:56.594 --> 00:39:57.594]  Where are you calling us from?
[00:39:58.214 --> 00:39:58.614]  Missouri.
[00:39:58.895 --> 00:39:59.495]  Good to talk to you.
[00:39:59.515 --> 00:39:59.875]  Go ahead.
[00:40:00.535 --> 00:40:06.498]  Yeah, I was curious if they've been testing... I heard you talking about deer hunting about a month ago.
[00:40:06.798 --> 00:40:09.839]  Have they been testing Texas deer for brain wasting disease?
[00:40:09.939 --> 00:40:11.020]  They have Missouri deer.
[00:40:12.600 --> 00:40:21.404]  They have found deer from Colorado to Missouri to Texas to you name it with brain wasting disease.
[00:40:22.427 --> 00:40:24.668]  And again, it's scary.
[00:40:24.708 --> 00:40:26.348]  It seems to be getting into everything.
[00:40:26.688 --> 00:40:28.428]  That's what I was curious about.
[00:40:28.669 --> 00:40:36.250]  I was thinking maybe it had something to do with chemtrails and the aluminum oxide he told you your brain does in the Daleks?
[00:40:36.790 --> 00:40:37.551]  Yes, it does.
[00:40:38.091 --> 00:40:38.531]  Okay.
[00:40:38.951 --> 00:40:39.451]  Well, see?
[00:40:40.071 --> 00:40:41.452]  Deer won't eat anything dead.
[00:40:42.592 --> 00:40:43.552]  You couldn't force them to.
[00:40:43.612 --> 00:40:46.393]  I believe they probably starve before they eat anything dead.
[00:40:46.433 --> 00:40:48.953]  Well, deer are herbivores.
[00:40:49.653 --> 00:40:50.634]  They don't eat meat.
[00:40:50.994 --> 00:40:51.754]  Yeah, that's what I was...
[00:40:52.133 --> 00:40:54.135]  That's what kind of perplexed me.
[00:40:55.596 --> 00:41:03.324]  The relationship because they're both spongiform diseases and one just affects deer and one causes mad cow disease.
[00:41:04.145 --> 00:41:13.394]  And now even the mainstream media is admitting that most of these Alzheimer cases, people under 30 getting it now, are really Creutzfeldt-Jacobs or CJD.
[00:41:14.585 --> 00:41:16.826]  Yes sir, I was reading that on the internet too.
[00:41:17.206 --> 00:41:20.747]  And I wanted to tell you, I just bought and beat the new video game.
[00:41:21.007 --> 00:41:22.308]  Is it okay if I say the name?
[00:41:22.968 --> 00:41:23.528]  Yeah.
[00:41:23.588 --> 00:41:25.169]  Medal of Honor Rising Sun.
[00:41:25.749 --> 00:41:37.734]  And in the booklet, the British operative that you get to play with for a while, it says that he's upset with the British High Command because he warned them of the Philippine invasion and they didn't do anything.
[00:41:37.754 --> 00:41:40.095]  I just thought that was real interesting.
[00:41:40.355 --> 00:41:42.576]  None of my friends got excited when I showed it to them.
[00:41:43.666 --> 00:41:46.068]  They even admitted a video game for kids.
[00:41:47.449 --> 00:41:52.613]  A lot of people, a lot of these programmers try to implant good stuff in the videos.
[00:41:53.474 --> 00:41:54.475]  Thanks for the call, sir.
[00:41:54.735 --> 00:42:00.219]  I had a chance, I aired it a few months ago, the video intro.
[00:42:00.720 --> 00:42:03.522]  It's animation, but video games are like movies now.
[00:42:04.042 --> 00:42:06.424]  But a game from about three years ago, Deus Ex.
[00:42:06.464 --> 00:42:07.865]  Deus Ex 2 is now out.
[00:42:07.885 --> 00:42:09.026]  I haven't had a chance to see it.
[00:42:09.587 --> 00:42:12.189]  But at the first of the game, there's a secret government group
[00:42:13.368 --> 00:42:38.174]  Who has released the Grey Plague, the Grey Death, to create martial law and fear, and they're actually battling for control of the New World Order with the Illuminati out of France, and the Illuminati didn't want to release the biological, and they talk about how they've got the entire Congress under control because they've infected them, and they won't give them the cure to the disease, the inoculation, unless they go along with the New World Order.
[00:42:39.095 --> 00:42:40.895]  I mean, that's a video game!
[00:42:41.993 --> 00:42:46.976]  But at the end of the game, you either join the New World Order or the Illuminati.
[00:42:47.516 --> 00:42:52.499]  You either join the new, high-tech New World Order, you join the Illuminati, or you destroy all technology.
[00:42:53.680 --> 00:42:54.860]  You go back to the Stone Age.
[00:42:56.281 --> 00:43:00.544]  And I hear the new game's even more elaborate getting into that.
[00:43:00.604 --> 00:43:04.966]  But most of these games I've reviewed and looked at, and a lot of them are made right here in Austin.
[00:43:05.006 --> 00:43:06.547]  Deus Ex is made right here in Austin.
[00:43:08.013 --> 00:43:10.755]  And most of these games I've reviewed are pro-New World Order.
[00:43:10.956 --> 00:43:13.698]  Torture, kidnapping people, killing them.
[00:43:14.319 --> 00:43:16.721]  One of the worst games I ever saw was Dungeon Keeper.
[00:43:17.242 --> 00:43:29.814]  PC World reviewed it, this was about five years ago now, and you kidnap children and torture them to death and gain more demonic power than you use that to build underground war machines to invade and take over the peaceful cities.
[00:43:31.352 --> 00:43:33.732]  And, folks, a lot of the games are like that now.
[00:43:34.673 --> 00:43:45.355]  I have a lot of friends that are big gamers and they review them for me and show them to me and put the video to, you know, take the output and put it into videotapes for me and air it on TV or locally.
[00:43:45.375 --> 00:43:46.955]  A lot of scary stuff.
[00:43:47.615 --> 00:43:49.235]  But, yeah, there's some good stuff in Planet.
[00:43:50.115 --> 00:43:51.196]  And that brings this up.
[00:43:51.516 --> 00:43:53.056]  Something we cover in Masters of Terror.
[00:43:53.076 --> 00:43:56.237]  You know, two minutes of that two-hour film.
[00:43:57.557 --> 00:43:58.637]  Two-hour, five-minute film.
[00:43:59.966 --> 00:44:02.007]  I hate to keep plugging the film, just the proofs there.
[00:44:02.427 --> 00:44:04.548]  Mainstream news, declassified document.
[00:44:05.989 --> 00:44:11.411]  Roosevelt knew that 7,000 plus civilians, men, women, and children were in the Philippines.
[00:44:11.972 --> 00:44:14.733]  Wouldn't let them evacuate at gunpoint for a month.
[00:44:14.813 --> 00:44:16.754]  Wouldn't let them get on the ships, though they were half empty.
[00:44:17.569 --> 00:44:24.152]  And left them in the Philippines so they'd be captured because that would make good political fodder having captured civilians.
[00:44:24.192 --> 00:44:25.593]  And that was used in newsreels.
[00:44:26.193 --> 00:44:31.115]  Oh, the government wouldn't kill 2,800 and something people at the World Trade Centers.
[00:44:32.036 --> 00:44:33.156]  No, they wouldn't do that.
[00:44:33.516 --> 00:44:38.919]  They'd just leave 7,000 to be captured by the Japanese just for some political fodder.
[00:44:39.759 --> 00:44:41.260]  Stop being naive.
[00:44:41.700 --> 00:44:43.981]  And that's what John was bringing up.
[00:44:44.121 --> 00:44:46.342]  Joe in New York, you're on the air, thanks for holding.
[00:44:50.916 --> 00:44:53.038]  We just broke up there.
[00:44:53.058 --> 00:44:53.938]  I don't know if you can hear me.
[00:44:53.958 --> 00:44:54.438]  Can you hear me okay?
[00:44:54.458 --> 00:44:55.119]  You're on the air, sir.
[00:44:55.479 --> 00:44:56.800]  Let me just tell you about Talk Radio.
[00:44:57.060 --> 00:44:59.741]  When they say your name, there's a noise on the phone system.
[00:44:59.781 --> 00:45:01.282]  It goes, pshhh.
[00:45:01.422 --> 00:45:02.923]  And that's the sound that you're on air.
[00:45:02.963 --> 00:45:03.364]  Go ahead.
[00:45:03.384 --> 00:45:04.324]  Alright, very good.
[00:45:04.644 --> 00:45:06.485]  Last time I called, I didn't hear that last time.
[00:45:06.525 --> 00:45:10.848]  I'm glad you're talking about your videos, because I have every single video you put out, and they're excellent.
[00:45:11.248 --> 00:45:12.689]  And I didn't get paid to say that.
[00:45:12.709 --> 00:45:13.269]  They really are.
[00:45:15.390 --> 00:45:20.653]  But when are you going to actually do a desperately needed Federal Reserve documentary?
[00:45:23.155 --> 00:45:24.015]  That's on my list.
[00:45:24.055 --> 00:45:28.298]  I've got five videos I want to make, and here's the catch-22.
[00:45:28.878 --> 00:45:29.419]  Here's the catch-22.
[00:45:29.459 --> 00:45:33.121]  Because I did see one of the videos that I have of yours.
[00:45:33.181 --> 00:45:37.103]  I saw you talk to Governor Bush at the time, and you're getting arrested.
[00:45:37.123 --> 00:45:39.024]  I don't know how many people actually saw that.
[00:45:39.345 --> 00:45:40.045]  I was kidnapped.
[00:45:40.939 --> 00:45:43.320]  Yeah, I mean, just like Charles Key was.
[00:45:43.400 --> 00:45:45.321]  What happened to the First Amendment when you were there?
[00:45:45.481 --> 00:45:46.902]  You know, it kind of like blew me away.
[00:45:47.062 --> 00:45:51.645]  By the way, the newspaper reported after I was drug out, he said, that's the freedom we've got in Texas.
[00:45:51.985 --> 00:45:53.446]  The freedom to state our opinion.
[00:45:54.086 --> 00:45:55.207]  As he was having me kidnapped.
[00:45:57.628 --> 00:45:58.048]  Really?
[00:45:58.328 --> 00:45:59.429]  So, there you go.
[00:45:59.469 --> 00:46:02.491]  I mean, you know, they say one thing, they do another, but that's typical.
[00:46:02.611 --> 00:46:06.913]  Let me explain something to you, and I'm so honored that you're out there taking action.
[00:46:08.166 --> 00:46:09.306]  I do radio interviews.
[00:46:09.366 --> 00:46:10.387]  I do my own radio show.
[00:46:10.427 --> 00:46:11.287]  I do a TV show.
[00:46:11.427 --> 00:46:12.787]  I want to make more films.
[00:46:13.807 --> 00:46:15.088]  I'm trying to make films.
[00:46:15.528 --> 00:46:17.008]  It takes time to make films.
[00:46:17.348 --> 00:46:19.049]  But yes, that is on my list.
[00:46:19.409 --> 00:46:23.090]  I want to start making videos about an hour long.
[00:46:24.110 --> 00:46:29.531]  Because frankly, two, three hour videos, some of the general public can't absorb it all.
[00:46:30.752 --> 00:46:34.412]  I want to make an hour long video on the Federal Reserve that's simple, focused, to the point.
[00:46:35.373 --> 00:46:36.333]  So I do plan to do that.
[00:46:37.012 --> 00:46:58.600]  Alex, also, you know, I went on to, like, so many different search engines, and I put in, like, Federal Reserve fraud, or scam, or something like that, and you come up with so many, like, lawyers looking to take on cases against the banks, where you can actually get rid of all your mortgages, all your credit cards, and you don't even get, you don't go through a bankruptcy.
[00:46:59.141 --> 00:47:02.442]  Basically, they say that, you know, they're lending out money that doesn't even exist,
[00:47:03.684 --> 00:47:08.988]  And you're paying interest on that money, which is illegal, so they're in violation of their own contracts.
[00:47:09.689 --> 00:47:13.051]  So the banks plead no contest, because they don't want that information getting out.
[00:47:13.732 --> 00:47:19.857]  And basically, you know, the person that took out the loan doesn't have to pay back the loan.
[00:47:20.177 --> 00:47:21.378]  Here's the problem with that.
[00:47:21.398 --> 00:47:26.562]  I have investigated it, and what they're saying is true.
[00:47:28.777 --> 00:47:29.918]  The globalists don't care.
[00:47:30.018 --> 00:47:31.619]  Yes, the financial system's a fraud.
[00:47:32.060 --> 00:47:34.301]  Yes, it's a bunch of ones and zeros in a computer.
[00:47:34.782 --> 00:47:37.244]  Yes, the bank never even loans out the money.
[00:47:37.644 --> 00:47:40.446]  You're paying interest on something imaginary.
[00:47:40.606 --> 00:47:42.968]  It's far worse than the fractional reserve banking.
[00:47:43.328 --> 00:47:53.276]  But, the government is still criminal, and in some cases will enforce that, even though what the people are saying is legitimate.
[00:47:53.812 --> 00:47:54.973]  I understand that, Alex.
[00:47:55.894 --> 00:47:57.455]  But hold on, Alex.
[00:47:57.515 --> 00:48:02.979]  It's really not the government's fault if the government was hijacked by a foreign bank in Europe.
[00:48:04.360 --> 00:48:04.840]  You know what I mean?
[00:48:04.860 --> 00:48:06.201]  I mean, I understand what you're saying.
[00:48:06.261 --> 00:48:07.382]  It had to get to that point.
[00:48:07.822 --> 00:48:12.185]  But if you think about it, if we're actually printing money, okay?
[00:48:12.205 --> 00:48:16.928]  And when we print that money, a foreign bank is allowing us to print that money.
[00:48:17.189 --> 00:48:20.911]  Basically, we're not even in control of our own monetary system.
[00:48:21.272 --> 00:48:23.193]  And when we print it, we have to actually send
[00:48:23.795 --> 00:48:27.376]  And those interests to a foreign bank in Europe.
[00:48:27.416 --> 00:48:28.437]  Well, not just interest.
[00:48:28.557 --> 00:48:31.098]  A dollar of debt and then interest accrues.
[00:48:31.458 --> 00:48:33.598]  To create a dollar, we go a dollar in debt.
[00:48:33.678 --> 00:48:35.639]  It's designed to enslave us.
[00:48:37.120 --> 00:48:37.960]  This is ridiculous.
[00:48:38.000 --> 00:48:40.381]  I mean, I think we need to let people know about this.
[00:48:40.401 --> 00:48:43.182]  This is like, I mean, what power do we have if we're broke?
[00:48:43.522 --> 00:48:44.582]  I mean, that's like the next thing.
[00:48:44.622 --> 00:48:46.103]  I mean, I've seen the American dollar.
[00:48:46.643 --> 00:48:47.643]  Let me tell you something real quick.
[00:48:47.763 --> 00:48:52.445]  Over the summer, I think it was about July, middle of July, my girlfriend came down from Australia.
[00:48:53.266 --> 00:48:55.747]  And, uh, she was making a lot of, you know, payments here.
[00:48:55.767 --> 00:48:56.808]  She was shopping, whatnot.
[00:48:57.588 --> 00:48:59.048]  And, uh, her dollar was weak.
[00:48:59.489 --> 00:49:02.870]  I mean, I think it was, uh... I forget.
[00:49:02.890 --> 00:49:06.872]  It was like she was paying another 47%, I think, with her exchange rate.
[00:49:07.232 --> 00:49:10.233]  Now the Australian dollar is actually stronger than the American dollar.
[00:49:10.799 --> 00:49:13.201]  By like 20-something percent, I believe.
[00:49:13.661 --> 00:49:13.942]  Yeah.
[00:49:14.002 --> 00:49:18.305]  So, something's going on here that, you know, just doesn't really make too much sense to me.
[00:49:18.346 --> 00:49:24.151]  Well, I mean, look, now we talk about national debt in the tens of trillions instead of in the tens of billions.
[00:49:24.831 --> 00:49:30.376]  A car that was $15,000 ten years ago is $35,000 now, and they tell us there's no inflation.
[00:49:31.117 --> 00:49:31.537]  Yeah, right.
[00:49:32.758 --> 00:49:33.138]  I mean, what?
[00:49:33.158 --> 00:49:36.241]  You're gonna buy, what, a box of cereal for, you know, $7 a box?
[00:49:36.301 --> 00:49:38.483]  Because now they're talking about gas prices are going up,
[00:49:39.620 --> 00:49:41.141]  Um, excuse me, not gas prices.
[00:49:41.161 --> 00:49:43.101]  They were talking about, um, with the cows.
[00:49:43.121 --> 00:49:45.663]  I don't know if you heard this on, uh, I think it was on MSNBC.
[00:49:45.683 --> 00:49:51.605]  They said that the, being that the farmers are not going to be selling so much cow and the grain is going to cost a lot more money.
[00:49:51.625 --> 00:49:53.406]  Well, yeah, they've got the big meat packers.
[00:49:53.686 --> 00:49:55.767]  Well, let me just say this because you brought it up.
[00:49:55.787 --> 00:49:58.968]  They've got the meat packers saying there's no loss in demand.
[00:49:58.988 --> 00:50:04.430]  Uh, but I heard Derry Brownville this morning, uh, the price of beef has gone down by about 25%.
[00:50:04.590 --> 00:50:05.290]  Right.
[00:50:05.771 --> 00:50:06.051]  Yeah.
[00:50:06.091 --> 00:50:06.851]  I heard the same thing.
[00:50:07.705 --> 00:50:12.747]  With the saying something about they're not going to be buying as much grain because the cattle are not going to be selling.
[00:50:13.367 --> 00:50:15.048]  So the price of grain is going to go up.
[00:50:15.088 --> 00:50:20.270]  So a box of cereal now that you're paying $5 for a box is going to be like $7 or $8.
[00:50:20.330 --> 00:50:23.411]  And now they're talking about an additional 40% hike also on gasoline.
[00:50:27.833 --> 00:50:30.895]  When is it going to end?
[00:50:31.035 --> 00:50:44.703]  There has to be that increase in gasoline because we have to buy that petro with petrodollars and our dollar is down by almost 40% now from what it was a year and a half ago.
[00:50:45.763 --> 00:50:49.586]  We're basically in the Middle East right now.
[00:50:49.826 --> 00:50:56.930]  We're in almost every gas holding land there is in the Middle East and we're paying more gas prices than there ever was.
[00:50:59.323 --> 00:51:01.324]  And we can't have our own oil out of Alaska.
[00:51:01.344 --> 00:51:01.984]  Thanks for the call.
[00:51:02.604 --> 00:51:03.124]  Great points.
[00:51:03.164 --> 00:51:04.865]  That's because it's about monopoly.
[00:51:05.505 --> 00:51:07.005]  The globalists are not free market.
[00:51:07.025 --> 00:51:08.265]  They're not capitalist.
[00:51:08.925 --> 00:51:10.506]  That's what the liberals can't seem to get.
[00:51:10.526 --> 00:51:12.866]  They go, oh socialism will save us.
[00:51:13.286 --> 00:51:14.487]  This is socialism.
[00:51:14.527 --> 00:51:17.687]  The rich socialize our wealth and suck it up for themselves.
[00:51:18.088 --> 00:51:18.688]  Wake up!
[00:51:18.768 --> 00:51:19.928]  We'll be back with more calls.
[00:51:21.109 --> 00:51:25.434]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:51:25.634 --> 00:51:30.038]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:51:30.199 --> 00:51:34.583]  There is a chance to use this disaster for the New World Order.
[00:51:34.623 --> 00:51:35.945]  The New World Order.
[00:51:37.767 --> 00:51:41.974]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:51:42.034 --> 00:51:48.985]  We rip the sinister Patriot Act legislation 1 and 2 apart piece by piece and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:51:49.106 --> 00:51:51.089]  You will lose your liberty.
[00:51:51.482 --> 00:52:01.827]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:52:02.087 --> 00:52:07.470]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police State 3, is for you.
[00:52:07.970 --> 00:52:11.492]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:52:11.512 --> 00:52:11.752]  That's 888-253-3139.
[00:52:11.772 --> 00:52:13.033]  Order today and spread the word!
[00:52:20.746 --> 00:52:31.475]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[00:52:31.655 --> 00:52:39.201]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[00:52:39.461 --> 00:52:42.623]  Farmful or unwanted chemicals are reduced to below detectable levels.
[00:52:42.903 --> 00:52:48.626]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving the nutritional minerals your body needs.
[00:52:48.926 --> 00:52:55.070]  Made of durable lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[00:52:55.450 --> 00:52:59.332]  The Berkey Light is transparent so there is no guesswork when refilling the system.
[00:52:59.372 --> 00:53:01.273]  The water level is always visible.
[00:53:01.453 --> 00:53:07.396]  The rechargeable LED lighting system is beautiful as a night light and as necessary in emergency situations.
[00:53:07.636 --> 00:53:11.578]  Get the Berkey Light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[00:53:11.598 --> 00:53:12.318]  That's toll free, triple 8, 803-4438.
[00:53:22.031 --> 00:53:27.975]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:28.176 --> 00:53:30.437]  We specialize in keeping you alive and healthy.
[00:53:30.637 --> 00:53:36.982]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:53:37.375 --> 00:53:37.975]  I think so.
[00:53:59.941 --> 00:54:02.022]  Simply log on to HerbalHealer.com.
[00:54:02.182 --> 00:54:06.643]  Check out our online member testimonials and our hundreds of exceptional products.
[00:54:06.863 --> 00:54:09.924]  We have been working hard since 1988 to save the remnant.
[00:54:10.104 --> 00:54:15.966]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:54:35.111 --> 00:54:39.953]  All right, wide open phones in the next hour and a bunch of other news items.
[00:54:39.973 --> 00:54:42.133]  I'm going to try to go to your calls a little bit quicker here, folks.
[00:54:42.153 --> 00:54:44.894]  I'm going to get a lot of calls in on this first live show of the new year.
[00:54:46.215 --> 00:54:47.235]  Poll free number to join us, 800-259-9231.
[00:54:47.255 --> 00:54:47.315]  1-800-259-9231.
[00:54:47.335 --> 00:54:49.175]  Marcello in Canada, you're on the air, go ahead.
[00:54:57.714 --> 00:54:58.735]  Thank you, Alex.
[00:54:58.835 --> 00:55:03.417]  First off, I'd like to extend well wishes for the New Year and beyond to you.
[00:55:03.897 --> 00:55:04.617]  You too, my friend.
[00:55:04.797 --> 00:55:05.138]  Thank you.
[00:55:06.899 --> 00:55:25.147]  I'm calling about your Christmas Eve broadcast where the rabbi came on and I was kind of put off by him and I thought you were being a little too nice with him and what he attempted to do was to
[00:55:26.892 --> 00:55:36.517]  Construct his argument in such a way that under the strict confines of his statements, his position had to be true by definition.
[00:55:37.498 --> 00:55:46.223]  And what you did was contextualize his premises and then his definitions didn't work anymore.
[00:55:47.364 --> 00:55:56.629]  And instead of kind of addressing your arguments, he kind of arrogantly sort of fluffed you off and said,
[00:55:57.458 --> 00:56:05.789]  Oh, I was asked to come on here to present my point of view and I don't want to talk about whatever you're saying there.
[00:56:06.910 --> 00:56:16.322]  And I just wanted to point out that what he's doing is a classic resolution in a Galen dialectic equation.
[00:56:18.462 --> 00:56:25.133]  Yeah, they teach those tactics in freshman college debate class, and I was aware of that.
[00:56:25.413 --> 00:56:30.842]  But I don't want to get back into a big squabble over it.
[00:56:30.882 --> 00:56:32.345]  The whole debate was over torture.
[00:56:33.144 --> 00:56:40.688]  And I'm against torture, and then you build up these impossible scenarios, and then, oh, well, aren't you for torture now?
[00:56:41.069 --> 00:56:43.890]  But then, again, that floats the idea out there.
[00:56:44.190 --> 00:56:47.832]  It's like all these generals saying, well, we've got to have martial law to keep us safe.
[00:56:48.433 --> 00:56:52.195]  It's floating that out there of some type of solution.
[00:56:53.175 --> 00:57:01.080]  Yeah, what they do is, under Hegel's lexicon of terms,
[00:57:01.661 --> 00:57:06.865]  In a nutshell, his dialectic is thesis, antithesis, resolution.
[00:57:07.906 --> 00:57:14.991]  And that parallels what often is described as problem-reaction-solution.
[00:57:15.851 --> 00:57:23.637]  And the only trouble with that is sometimes people get confused with what problem-reaction-solution means exactly.
[00:57:24.113 --> 00:57:26.815]  Well, the big thing is the globalists are the terrorists.
[00:57:27.155 --> 00:57:29.277]  The globalists are carrying out the terror attacks.
[00:57:29.477 --> 00:57:30.717]  From Russia to the U.S.
[00:57:30.758 --> 00:57:36.982]  to England to China, we have proof that government gets bigger and more power out of terrorism, and is carrying the terror out.
[00:57:37.202 --> 00:57:39.644]  We don't just have the motive, we have the evidence they're doing it.
[00:57:39.844 --> 00:57:46.108]  So the people who are the terrorists in government are telling us how good all this police state is, and it's not.
[00:57:47.099 --> 00:57:49.460]  Yeah, that's where their resolution comes in.
