[00:00:05.746 --> 00:00:08.747]  Everything is proceeding
[00:51:31.477 --> 00:51:32.598]  And here's the best part.
[00:51:32.598 --> 00:51:35.380]  These seeds have not been genetically modified in any way.
[00:51:35.380 --> 00:51:39.303]  And you actually get enough seeds to plant a full acre crisis garden.
[00:51:39.303 --> 00:51:42.486]  So visit them today at survivalseedbank.com.
[00:51:42.486 --> 00:51:44.707]  That's survivalseedbank.com.
[00:51:44.707 --> 00:51:45.648]  Or give them a call at 877-327-0365.
[00:51:45.648 --> 00:51:45.828]  That's 877-327-0365.
[00:51:53.502 --> 00:51:58.326]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:51:58.326 --> 00:52:01.769]  This is Alex Jones for SurvivalSeaBank.com.
[00:52:01.769 --> 00:52:04.091]  They helped to create a New World Order.
[00:52:04.091 --> 00:52:06.473]  We are part of a New World Order.
[00:52:06.473 --> 00:52:09.676]  A New World Order based upon collective action.
[00:52:09.676 --> 00:52:14.800]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:52:14.800 --> 00:52:18.984]  The New World Order really is a tool for addressing a new world of possibilities.
[00:52:19.284 --> 00:52:21.747]  It means all the world under their control.
[00:52:21.747 --> 00:52:24.531]  The United Nations would take over America.
[00:52:24.531 --> 00:52:27.435]  The Trilateral Commission would control the world.
[00:52:27.435 --> 00:52:35.045]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:52:35.365 --> 00:52:40.769]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:52:40.769 --> 00:52:43.611]  Global governance with the establishment of the G20.
[00:52:43.611 --> 00:52:47.294]  So it's going to be an inner ruling elite and then everyone else.
[00:52:47.294 --> 00:52:48.395]  And I got news for you.
[00:52:48.395 --> 00:52:49.716]  You're everyone else.
[00:52:49.716 --> 00:52:51.237]  Invisible Empire.
[00:52:51.237 --> 00:53:01.244]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:53:01.244 --> 00:53:04.166]  When you hear the words water purification, what comes to mind?
[00:53:07.005 --> 00:53:08.508]  This message is for you.
[00:53:08.508 --> 00:53:12.235]  Did you know that over 60% of municipal water contains fluoride?
[00:53:12.235 --> 00:53:14.099]  Add less than 2 cents per gallon.
[00:53:14.099 --> 00:53:18.147]  Berkey water filters purify treated and untreated water, remove dangerous
[00:53:20.964 --> 00:53:21.404]  I think so.
[00:53:45.362 --> 00:53:47.223]  Look, I'm gonna boil it down very simply.
[00:53:47.223 --> 00:53:48.604]  If a nation has a middle class
[00:54:14.755 --> 00:54:19.977]  That is at least as large as 20% of the population.
[00:54:19.977 --> 00:54:24.519]  In every case, they're going to have the right to own guns, the entire population.
[00:54:24.519 --> 00:54:27.780]  There's going to be private property.
[00:54:27.780 --> 00:54:32.762]  The United States had what you could call a middle class that was at least 45% of the population.
[00:54:32.762 --> 00:54:34.463]  Biggest in the world by the 1950s.
[00:54:34.463 --> 00:54:36.424]  It's gone, folks.
[00:54:36.424 --> 00:54:38.405]  If you really look at it, it's about 25% now.
[00:54:38.405 --> 00:54:38.985]  Within a year, it'll be 20%.
[00:54:43.117 --> 00:54:46.120]  And that's at current implosion rates.
[00:54:46.120 --> 00:54:49.964]  It may be 10% in a year.
[00:54:49.964 --> 00:54:57.392]  And the ultra-rich always wage war against the middle class that's free and independent.
[00:54:57.392 --> 00:55:04.859]  And so, of course, you had blacks and others taken into the Caribbean as slaves to grow sugar cane to produce rum.
[00:55:05.962 --> 00:55:10.871]  Of course you had the native tribes enslaved and made to work as colonial slaves.
[00:55:10.871 --> 00:55:15.079]  And then the big British banks said, look, Spain has fallen.
[00:55:15.079 --> 00:55:16.421]  We've beaten them in 500 years of war.
[00:55:18.424 --> 00:55:23.709]  Plus, we've teamed up with the Dutch, we've beaten the French, they've all pulled out.
[00:55:23.709 --> 00:55:35.621]  We're going to come in and tell these poor people that if they go rob the guy that owns a few hundred acres, and actually owns a factory, that they're going to get what he has.
[00:55:35.621 --> 00:55:36.722]  And we'll put communism in.
[00:55:38.271 --> 00:55:41.372]  And that's all this is, and that's why... I mean, come on, let's be smart here.
[00:55:41.372 --> 00:55:51.535]  Why at every college and every public school... I mean, I was taught by white teachers that white people were bad and communism was good, and that Texas belonged to Mexico.
[00:55:51.535 --> 00:55:56.357]  This is taught so that they can ensure the fall of America.
[00:55:56.357 --> 00:56:03.099]  This is taught to ensure we're killing each other, and then the government will play the part of the referee.
[00:56:04.437 --> 00:56:13.550]  And I am just begging for God to rise up, to raise up Hispanic leaders who will stand up against the New World Order that I can support.
[00:56:13.550 --> 00:56:14.151]  Where are they?
[00:56:14.151 --> 00:56:17.936]  They don't exist because the government and the media have made sure they don't exist.
[00:56:17.936 --> 00:56:18.537]  They're out there!
[00:56:19.414 --> 00:56:22.877]  They've just never been able to get their head up above everybody else.
[00:56:22.877 --> 00:56:26.140]  We have got to take Latin America over for freedom.
[00:56:26.140 --> 00:56:27.842]  It could just be a jewel!
[00:56:27.842 --> 00:56:31.545]  Can you imagine triple the resources Mexico has in the U.S.?
[00:56:31.545 --> 00:56:33.487]  If they'd have had a George Washington down there?
[00:56:33.487 --> 00:56:35.269]  If they'd have had some basic freedom?
[00:56:35.269 --> 00:56:37.371]  The type of wealth that'd be pouring out of there?
[00:56:37.371 --> 00:56:38.292]  Can you imagine it?
[00:56:38.292 --> 00:56:40.294]  No!
[00:56:40.294 --> 00:56:40.494]  No!
[00:56:43.052 --> 00:56:45.233]  I'm sorry, I just, I just can't handle it anymore.
[00:56:45.233 --> 00:56:46.054]  I just can't handle it.
[00:56:46.054 --> 00:56:47.635]  And Robert Rodriguez makes me so sick.
[00:56:47.635 --> 00:56:49.296]  And I'm sure he doesn't know what he's doing.
[00:56:49.296 --> 00:56:54.659]  But look at how this is all timed for Arizona-type race war stuff, but based in Texas.
[00:56:54.659 --> 00:56:56.360]  He's been making this for two years.
[00:56:56.360 --> 00:56:59.481]  It's time to come out right in the middle of this.
[00:56:59.481 --> 00:57:03.284]  See, Hollywood wouldn't give him the funding until two years ago.
[00:57:03.284 --> 00:57:05.605]  It's not that he's an agent, it's that
[00:57:07.264 --> 00:57:09.725]  The globalists know how to wait and use people.
[00:57:09.725 --> 00:57:14.046]  It's the... I'm sorry, Melvin, make your point about Hispanics fighting against collectivism.
[00:57:14.046 --> 00:57:15.586]  I mean, you look at Latin America.
[00:57:15.586 --> 00:57:18.467]  People have been slaves down there for 500 years of collectivism.
[00:57:18.467 --> 00:57:20.528]  It's just a new form of it.
[00:57:20.528 --> 00:57:31.631]  Well, Alex, I want to really thank you, brother, because you talk about stuff that is... It's not... Out here in New York, there isn't one voice, but let me just say that, like I was saying, we're being robbed of our history.
[00:57:31.631 --> 00:57:33.331]  We're taught Che Guevara's a hero.
[00:57:33.331 --> 00:57:35.872]  All of our people we look up to in hip-hop,
[00:57:36.516 --> 00:57:39.897]  Blacks and Hispanics are told, you know, you're all gangsters.
[00:57:39.897 --> 00:57:46.179]  You're going to have an AKA, my name is so-and-so, AKA Al Capone, Fidel Castro, Che Guevara, Mussolini.
[00:57:46.179 --> 00:57:53.441]  These are all interwoven in the culture, it's in the music, just like they did with communism and rock and roll, instead of being something liberating.
[00:57:53.441 --> 00:58:03.404]  But just sticking with the Che Guevara thing, what they never taught us about, for example, the Dominican Republic, which is a representative republic, it's a... There we go.
[00:58:03.404 --> 00:58:05.125]  So anyway, we freed ourselves
[00:58:05.543 --> 00:58:13.266]  From the Spanish and the Haitians, excuse me, from the Spanish and the French that conquered Haiti and the Dominican Republic, the island of Hispaniola.
[00:58:13.266 --> 00:58:20.169]  They don't teach us about Juan Pablo Duarte, a great libertarian nationalist hero of the Dominican Republic.
[00:58:20.169 --> 00:58:23.870]  It's freedom that's supposed to be our culture, not communism.
[00:58:23.870 --> 00:58:26.011]  And this is what we're taught in school.
[00:58:26.011 --> 00:58:26.931]  I'm in New York City.
[00:58:26.931 --> 00:58:28.592]  I went to community college.
[00:58:28.592 --> 00:58:33.714]  If you are a liberal and people laugh with you and it's okay in class and the teacher praises you and if you're conservative,
[00:58:34.286 --> 00:58:35.507]  Stay there!
[00:58:35.507 --> 00:58:36.668]  Stay there!
[00:58:50.956 --> 00:58:52.857]  Dog chewed your remote control?
[00:58:52.857 --> 00:58:53.898]  Lost your remote?
[00:58:53.898 --> 00:58:56.459]  Or is your remote control just not working?
[00:58:56.459 --> 00:58:59.961]  Let ReplacementRemotes.com replace or fix it for you.
[00:58:59.961 --> 00:59:08.406]  We carry a complete line of remote controls for all brands of TV, home audio, or DVD remotes, including old or hard-to-find remote controls.
[00:59:08.406 --> 00:59:11.148]  We also can repair or fix your remote control.
[00:59:11.148 --> 00:59:13.709]  Visit ReplacementRemotes.com for all
[00:59:13.729 --> 00:59:14.409]  ReplacementRemotes.com!
[00:59:14.409 --> 00:59:15.670]  ReplacementRemotes.com!
[00:59:15.670 --> 00:59:17.990]  If you need a remote control, ReplacementRemotes.com!
[00:59:42.558 --> 00:59:49.425]  For all your remote control needs, visit replacementremotes.com.
[00:59:49.425 --> 00:59:49.765]  336-377-2220.
[00:59:49.765 --> 00:59:56.631]  Waging war on corruption.
[00:59:56.631 --> 01:00:05.960]  Alex Jones on the GCN Radio Network.
[01:00:05.960 --> 01:00:07.261]  Big Brother.
[01:00:07.261 --> 01:00:08.222]  Mainstream media.
[01:00:09.006 --> 01:00:10.767]  Government cover-ups.
[01:00:10.767 --> 01:00:12.347]  You want answers?
[01:00:12.347 --> 01:00:13.888]  Well, so does he.
[01:00:13.888 --> 01:00:18.089]  He's Alex Jones on the GCN Radio Network.
[01:00:18.089 --> 01:00:23.111]  And now, live from Austin, Texas, Alex Jones.
[01:00:23.111 --> 01:00:27.693]  Max Keiser to break down what happened in the stock market last week.
[01:00:27.693 --> 01:00:32.215]  Financial terrorism, meant to create fear, just like they had
[01:00:34.281 --> 01:00:38.745]  Henry Paulson and others come out and say we're going to have a depression, you better give us trillions.
[01:00:38.745 --> 01:00:43.029]  Then the markets lost confidence, dropped by over a thousand points.
[01:00:43.029 --> 01:00:46.812]  They came in with their banking takeover.
[01:00:46.812 --> 01:00:49.915]  Same thing being done in Europe right now.
[01:00:49.915 --> 01:00:52.698]  We'll be discussing this with Max Keiser coming up.
[01:00:52.698 --> 01:00:54.159]  Melvin, Fred, Kerry, Jonathan,
[01:00:55.834 --> 01:00:59.976]  Rory, others, your calls are coming up at this hour as well.
[01:00:59.976 --> 01:01:05.019]  But this is such an incredible time to be alive, to see all of this happening.
[01:01:05.019 --> 01:01:08.560]  The system controls the left, and they also control the right.
[01:01:08.560 --> 01:01:12.782]  The right is just another version of collectivism.
[01:01:12.782 --> 01:01:16.364]  And then they try to manage everybody within that controlled paradigm.
[01:01:16.364 --> 01:01:18.045]  But I'll tell you this, Melvin, in New York.
[01:01:19.738 --> 01:01:27.300]  You say there are no Hispanic leaders in New York or white leaders or black for that matter that we know of that really speak the truth about the true political system.
[01:01:27.300 --> 01:01:29.900]  It's up to you to take the blinders off.
[01:01:29.900 --> 01:01:33.521]  It's up to you to show people the controlled system they're under.
[01:01:33.521 --> 01:01:35.542]  And so you should start making YouTube videos.
[01:01:35.542 --> 01:01:37.002]  You're an eloquent speaker.
[01:01:37.002 --> 01:01:38.922]  You should start an organization.
[01:01:38.922 --> 01:01:40.643]  You should, you know, get
[01:01:41.403 --> 01:01:41.763]  I think?
[01:02:01.220 --> 01:02:04.621]  I mean, I couldn't imagine that I would be able to wake up this many people.
[01:02:04.621 --> 01:02:07.623]  And I'm telling you, Melvin, you are the leader we need.
[01:02:07.623 --> 01:02:19.708]  And I know you have the respect in yourself to do it, but you need to have the commanding bearing and the facts, and you need to reach out to people and warn them and explain to them what's really happening.
[01:02:19.708 --> 01:02:20.949]  We must do this now.
[01:02:20.949 --> 01:02:22.629]  Go ahead, Melvin.
[01:02:22.629 --> 01:02:23.030]  Yes, sir.
[01:02:23.030 --> 01:02:24.370]  Thank you very much, Tom.
[01:02:24.370 --> 01:02:28.452]  Continuing on this angle where, you know, we're giving our heroes
[01:02:28.996 --> 01:02:29.896]  Look at Scarface.
[01:02:29.896 --> 01:02:31.397]  He was an anti-hero.
[01:02:31.397 --> 01:02:33.397]  And he's the one that was escaping for Del Castro.
[01:02:33.397 --> 01:02:33.817]  What was he?
[01:02:33.817 --> 01:02:34.357]  A drug dealer?
[01:02:34.357 --> 01:02:34.878]  A co-dealer?
[01:02:34.878 --> 01:02:35.498]  A crack dealer?
[01:02:35.498 --> 01:02:35.978]  A killer?
[01:02:35.978 --> 01:02:39.819]  Died in the end and we're supposed to worship him and he's an anti-hero.
[01:02:39.819 --> 01:02:41.379]  But now look at Machete.
[01:02:41.379 --> 01:02:46.901]  He's a pure killing, murdering, assassin, killing people, trying to impose the law.
[01:02:46.901 --> 01:02:48.261]  And basically he's good.
[01:02:48.261 --> 01:02:50.662]  He's supposed to be our hero that's saving us.
[01:02:50.662 --> 01:02:51.022]  You know?
[01:02:51.022 --> 01:02:54.603]  And I think we are romanced by all the welfare systems.
[01:02:54.603 --> 01:02:55.403]  My family came here.
[01:02:55.403 --> 01:02:55.803]  Everything was
[01:02:56.630 --> 01:03:04.874]  Welfare state being offered to you and, you know, you're going to be taken care of and Section 8 just live here forever and never move out because how much is it going to cost you, you know?
[01:03:04.874 --> 01:03:09.936]  Cheese in the mailbox and all of this, like, this is not, this isn't freedom of progress.
[01:03:09.936 --> 01:03:24.962]  You know, and I think we need to wake up, like, all the Hispanic, Latinos out there, California, wherever you're at, you've got to realize this isn't a little cartoon movie where everybody holds hands together, we get rid of all our borders, and we're all going to get along, but before you know it, you can't go to another country
[01:03:25.883 --> 01:03:27.744]  With a different tax rate.
[01:03:27.744 --> 01:03:28.925]  It's all going to be the same.
[01:03:28.925 --> 01:03:29.945]  We're not going to be free.
[01:03:29.945 --> 01:03:32.206]  We're going to have to have another revolution.
[01:03:32.206 --> 01:03:35.108]  Again, the mainstream media and the... That's what the New World Order is about!
[01:03:35.108 --> 01:03:35.848]  That's what it's about.
[01:03:35.848 --> 01:03:37.329]  It's about know where to run.
[01:03:37.329 --> 01:03:38.549]  They say that.
[01:03:38.549 --> 01:03:41.911]  And they now brag that the good times are over.
[01:03:41.911 --> 01:03:43.592]  Can you imagine these bankers?
[01:03:43.592 --> 01:03:45.332]  Won't tell us where the trillions go.
[01:03:45.332 --> 01:03:47.273]  They're engaged in financial terror.
[01:03:47.273 --> 01:03:50.175]  And they say, we're not going to tell you where the money went and you're our slaves.
[01:03:51.360 --> 01:04:08.779]  That's right and a lot of people out here don't understand that and Alex I want to throw this out there actually because I know you lose hope a lot but there's a shining hope for liberty and I think Ron Paul is at the forefront of this and you Judge Napolitano you guys have been demonized for a reason and this is really an outrage to anybody that
[01:04:09.434 --> 01:04:17.461]  Believe in the Constitution, and if the Hispanic doesn't believe in the Constitution of the U.S., they haven't read it, it's been hidden from them, it's not been taught.
[01:04:17.461 --> 01:04:19.263]  We're not taught about George Washington.
[01:04:19.263 --> 01:04:27.010]  We're supposed to be wearing George Washington t-shirts, and for freedom, and escape Fidel Castro and the Communism oppression of our parents and our grandparents.
[01:04:27.010 --> 01:04:29.893]  My grandfather left Cuba, I don't know how he managed to do that.
[01:04:29.893 --> 01:04:31.054]  My whole family is Dominican.
[01:04:31.534 --> 01:04:37.718]  And all we want is a chance to make some dough, legally, and have kids, and have the right to confess.
[01:04:37.718 --> 01:04:43.621]  Exactly, but the globalists don't want you wealthy and being part of the system and really taking over the system.
[01:04:43.621 --> 01:04:48.023]  They want to use everybody to be at each other's throats and destroy the system.
[01:04:48.023 --> 01:04:49.844]  It's a gulag economy.
[01:04:49.844 --> 01:04:52.306]  It's a system that Max Keiser talks about.
[01:04:52.306 --> 01:04:54.327]  We're going to have him on with us when we come back.
[01:04:54.327 --> 01:04:55.567]  God bless you, Melvin.
[01:04:55.567 --> 01:04:56.488]  Melvin, stand up.
[01:04:56.488 --> 01:04:58.329]  Start making YouTube videos today.
[01:05:00.908 --> 01:05:08.916]  In March, Alex Jones announced that eFoodsDirect was putting together a high-volume, pre-production order of the new Quick Fix meals.
[01:05:08.916 --> 01:05:16.264]  By waiting for production and shipping of their orders, families were able to receive one free item for every three that they bought.
[01:05:16.264 --> 01:05:23.271]  Since the final shutdown of this buy three, get one free program, we've had a lot of folks calling, disappointed that they missed the order deadline.
[01:05:23.271 --> 01:05:24.112]  Listen carefully.
[01:05:24.472 --> 01:05:34.176]  Starting immediately, eFoodsDirect.com will take pre-production orders for a buy three get one free program for one week ending May 14th at midnight.
[01:05:34.176 --> 01:05:38.418]  You will receive one free item for every three that you order of the selected products.
[01:05:38.418 --> 01:05:41.420]  These orders will begin shipping the first week of June.
[01:05:41.420 --> 01:05:45.622]  To order on the web, eFoodsDirect.com slash Alex or call 800-409-5633.
[01:05:45.622 --> 01:05:46.542]  That's eFoodsDirect.com slash Alex
[01:05:51.424 --> 01:05:54.126]  800-409-5633.
[01:05:54.126 --> 01:05:57.209]  Again, that's efoodsdirect.com slash Alex.
[01:05:57.209 --> 01:05:57.829]  800-409-5633.
[01:05:57.829 --> 01:06:01.932]  Hi, this is Alex Jones.
[01:06:01.932 --> 01:06:07.516]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:06:07.516 --> 01:06:12.540]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:06:12.540 --> 01:06:17.584]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[01:06:18.104 --> 01:06:23.328]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:06:23.328 --> 01:06:30.454]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:06:30.454 --> 01:06:31.575]  And here's the best part.
[01:06:31.575 --> 01:06:37.940]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[01:06:38.240 --> 01:06:41.443]  So visit them today at survivalseedbank.com.
[01:06:41.443 --> 01:06:43.665]  That's survivalseedbank.com.
[01:06:43.665 --> 01:06:44.446]  Or give them a call at 877-327-0365.
[01:06:44.446 --> 01:06:44.706]  That's 877-327-0365.
[01:06:44.706 --> 01:06:48.249]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:06:48.249 --> 01:06:49.971]  This is Alex Jones for survivalseedbank.com.
[01:07:01.331 --> 01:07:03.352]  Men, are you urinating more frequently?
[01:07:03.352 --> 01:07:04.793]  Do you wake up to urinate?
[01:07:04.793 --> 01:07:06.634]  Don't ignore your prostate health.
[01:07:06.634 --> 01:07:11.536]  I'm Roger Mason, research chemist and developer of the all-natural supplement Betaprostate.
[01:07:11.536 --> 01:07:14.337]  And I want you to know about a free bottle giveaway.
[01:07:14.337 --> 01:07:17.579]  Betaprostate helps your body support good prostate health.
[01:07:17.819 --> 01:07:22.880]  Your prostate affects the quality of your life, including your sleeping habits and even intimacy.
[01:07:22.880 --> 01:07:28.282]  Beta-prostate has plant sterols shown to support healthy urine flow and healthy sleeping habits.
[01:07:28.282 --> 01:07:37.425]  And beta-prostate is so powerful, you'd have to take 100 saw palmetto capsules to get the same plant sterols found in one beta-prostate.
[01:07:37.425 --> 01:07:40.285]  New customers can get a free bottle of beta-prostate.
[01:07:40.285 --> 01:07:42.246]  You only pay a small shipping and handling fee.
[01:07:42.506 --> 01:07:44.868]  Make the call today and get your free bottle.
[01:07:44.868 --> 01:07:50.511]  To get your free bottle of Beta Prostate, call 1-800-360-8306.
[01:07:50.511 --> 01:07:52.152]  One free bottle per household.
[01:07:52.152 --> 01:07:54.874]  Call now and try Beta Prostate for free.
[01:07:54.874 --> 01:07:55.294]  Call 1-800-360-8306.
[01:07:55.294 --> 01:07:55.594]  That's 1-800-360-8306.
[01:07:55.594 --> 01:07:55.994]  Big Brother.
[01:07:55.994 --> 01:07:56.695]  Mainstream Media.
[01:08:09.469 --> 01:08:11.231]  Government cover-ups.
[01:08:11.231 --> 01:08:12.833]  You want answers?
[01:08:12.833 --> 01:08:14.374]  Well, so does he.
[01:08:14.374 --> 01:08:18.579]  He's Alex Jones on the GCN Radio Network.
[01:08:18.579 --> 01:08:24.224]  And now, live from Austin, Texas, Alex Jones.
[01:08:24.224 --> 01:08:28.209]  Well, Gordon Brown, the British Prime Minister, has just announced he's going to step down.
[01:08:31.616 --> 01:08:36.523]  They are announcing all over the country that the government is going to stop fixing roads and sidewalks now.
[01:08:36.523 --> 01:08:42.653]  Everything will go on interest to bankers that have designed this financial implosion of the global economy.
[01:08:42.653 --> 01:08:44.616]  We have the Goldman Sachs emails.
[01:08:44.616 --> 01:08:45.757]  We know it's premeditated.
[01:08:47.409 --> 01:08:56.792]  I put out two films on this last year, documenting everything that was going to unfold with Max Keiser and Webster Tarpley and many others.
[01:08:56.792 --> 01:09:03.515]  Paul the Republican, of course the Obama deception, explaining how they control both parties, where this parasite economy is going.
[01:09:04.656 --> 01:09:07.558]  First, it's $150 billion for Greece.
[01:09:07.558 --> 01:09:08.759]  Not for Greece, for the bankers.
[01:09:08.759 --> 01:09:11.341]  They've got to give up half their pension funds at least.
[01:09:11.341 --> 01:09:14.123]  Then it's $600 billion.
[01:09:14.123 --> 01:09:14.984]  Now it's a trillion.
[01:09:14.984 --> 01:09:16.966]  Now they're saying maybe it'll be more than a trillion.
[01:09:16.966 --> 01:09:19.267]  They won't say where the money's going.
[01:09:19.267 --> 01:09:23.931]  Merkel just lost most of her seats in Germany.
[01:09:23.931 --> 01:09:30.116]  And so the bankers are accelerating this before their governments are all thrown out.
[01:09:30.116 --> 01:09:32.198]  Nicholas Karzose, all the rest of them.
[01:09:32.198 --> 01:09:33.038]  I can't even say his name.
[01:09:33.038 --> 01:09:33.719]  I'm so upset.
[01:09:37.512 --> 01:09:56.442]  It is just, what is happening is so big that I can hardly even articulate how incredible this is, and how we've known they were going to do this, and how this is just the next step with all these new VAT and carbon taxes meant to destroy the economy.
[01:09:56.442 --> 01:10:01.424]  LA Times last week reported, oh we raised all these taxes in California, tax receipts went down.
[01:10:01.424 --> 01:10:03.325]  Of course, they know it does that.
[01:10:03.325 --> 01:10:06.527]  Nicholas Garzozzi, can't even say it today.
[01:10:06.527 --> 01:10:07.027]  Sarkozy.
[01:10:09.474 --> 01:10:14.042]  So with us is Max Keiser for the rest of the hour.
[01:10:14.042 --> 01:10:18.749]  I appreciate him coming on on short notice with what's happening with the economy.
[01:10:20.970 --> 01:10:26.313]  And again, tensions simmer as Greece readies pension reform.
[01:10:26.313 --> 01:10:28.434]  This is out of the French news agency.
[01:10:28.434 --> 01:10:39.301]  And it says, protesters rallied in Athens on Sunday as the government sought to rein in social tensions while pressing ahead with drastic austerity measures aimed at avoiding a debt default.
[01:10:39.301 --> 01:10:44.324]  That means more taxes, taking your 401ks, taking your pensions, and it announces it all here.
[01:10:45.558 --> 01:10:48.800]  But they've had all these secret bank conferences.
[01:10:48.800 --> 01:10:51.502]  They're not saying where this trillion's going.
[01:10:51.502 --> 01:10:57.767]  How does it tie into the financial terrorism of the market dropping a thousand points last Thursday in five minutes?
[01:10:57.767 --> 01:11:09.816]  Max Keiser, inventor of the Hollywood Stock Exchange System, a successful broker, author, television host on BBC, Al Jazeera, RT, Press TV, the list goes on and on.
[01:11:09.816 --> 01:11:13.859]  He is now here with us to discuss all of this.
[01:11:13.859 --> 01:11:15.180]  Max Keiser, good to have you with us.
[01:11:16.041 --> 01:11:25.985]  Good to be back, Alex Jones, and let's remember May 6th, 2010, a day that will live in infamy.
[01:11:25.985 --> 01:11:32.807]  This was the first unequivocal domestic financial attack in America.
[01:11:32.807 --> 01:11:40.250]  Financial terrorist attack, unequivocal, domestic, first of its kind in America.
[01:11:40.250 --> 01:11:41.150]  Break down that.
[01:11:41.150 --> 01:11:43.671]  Break down who were the terrorists, how they did it.
[01:11:45.350 --> 01:11:53.397]  Well, in Washington, there was a bill circulating to break up the too-big-to-fail banks.
[01:11:53.397 --> 01:12:04.707]  Of course, the banks don't want to break up their monopolies, so they conducted these weapons of mass financial destruction.
[01:12:04.707 --> 01:12:09.091]  They destroyed 1,000 points, a trillion dollars worth of equity on the market.
[01:12:10.071 --> 01:12:28.184]  When it looked like the coast was clear and Congress decided that they were not going to vote for anything that would break up the banks, then they allowed the markets to come back and they rewarded the Congress people, who of course own a lot of stocks and bank stocks themselves.
[01:12:28.984 --> 01:12:38.227]  So they put a gun to the head of Congress and say, do what we want you to do, or we crash this market, we crash the country's network, we crash your network.
[01:12:38.227 --> 01:12:42.949]  Hank Paulson did it in the end in October of 2008, the same kind of thing.
[01:12:42.949 --> 01:12:44.689]  They crashed the market.
[01:12:44.689 --> 01:12:45.430]  They did it again.
[01:12:45.430 --> 01:12:48.171]  This was more obvious, though.
[01:12:48.171 --> 01:12:52.012]  This 1,000-point drop that only took 15 minutes, this was unequivocal.
[01:12:52.012 --> 01:12:56.814]  Now, this is quite remarkable.
[01:12:56.814 --> 01:12:58.054]  Basically, if you want to know,
[01:13:00.014 --> 01:13:07.297]  Yeah, let's walk through the mechanics of it, and then we have all these internal emails of Goldman Sachs where they're involved in other financial terror.
[01:13:07.297 --> 01:13:08.457]  We know this is their policy.
[01:13:08.457 --> 01:13:16.360]  We know Paulson went in and said, there will be martial law if you don't give us these trillions of dollars in October of 2008, when the Congress wouldn't do it.
[01:13:16.360 --> 01:13:28.124]  They went out on TV, the New York Fed head, the Fed chairman, the Treasury Secretary, all Goldman Sachs alumni, and they came out and they said, we are going to have a depression, and so they used fear
[01:13:28.724 --> 01:13:31.146]  To have the public pull out and drive it down.
[01:13:31.146 --> 01:13:35.190]  This time, and that's what the other experts are saying, this was not a fat finger.
[01:13:35.190 --> 01:13:37.152]  They admit this was not a mistake.
[01:13:37.152 --> 01:13:43.437]  This was insider using the Plunge Protection Team to artificially drive down the market.
[01:13:43.437 --> 01:13:45.559]  Physical financial terrorism.
[01:13:45.559 --> 01:13:46.400]  Not just using
[01:13:46.920 --> 01:13:54.491]  You know, bad-mouthing like the head of the Rothschilds did by claiming that Napoleon had won at Waterloo, which was a lie.
[01:13:54.491 --> 01:13:56.954]  That's similar to what happened in 2008.
[01:13:56.954 --> 01:14:01.441]  You're saying this was done physically in there.
[01:14:01.441 --> 01:14:02.702]  Let's go over the mechanics of this.
[01:14:04.946 --> 01:14:16.772]  So on the New York Stock Exchange, there are tens of millions, hundreds of millions of shares that trade daily, and 70% of that is conducted by computers.
[01:14:16.772 --> 01:14:24.216]  So computers are trading effectively with themselves, back and forth over these computer networks.
[01:14:24.216 --> 01:14:33.841]  Now, for the most part, the trading is somewhat benign, but the key concept here to understand is that because 70% of it are computer-to-computer trading,
[01:14:34.661 --> 01:14:36.443]  We're good to go.
[01:14:54.023 --> 01:15:09.267]  If you want to move the price of the stock up or down, and you control 70% of the volume, you have the ability to nudge prices up or down by simply increasing the number of buys over sells that you're making from computer to computer.
[01:15:09.267 --> 01:15:15.229]  If you want the prices to go down, you increase the number of sells to buys from computer to computer.
[01:15:15.229 --> 01:15:20.050]  The cost is zero, because the cost of borrowing money for Wall Street is zero.
[01:15:20.050 --> 01:15:22.851]  The cost of transacting is zero.
[01:15:23.651 --> 01:15:25.993]  And it doesn't cost them anything to engage in this.
[01:15:25.993 --> 01:15:33.819]  That's one of the reasons why interest rates are near zero, is because you have to be able to conduct this type of thing without having any cost.
[01:15:33.819 --> 01:15:49.891]  Now, the second step is when you get the price of a security like an S&P futures contract or an S&P security, which is based on the entire market, you know, it's a proxy for the entire market, it's a price signal.
[01:15:50.865 --> 01:16:00.293]  And this price signal triggers a response from those hundreds of thousands of day traders out there, who then do your dirty work for you.
