[00:00:00.250 --> 00:00:04.406]  And now part two of our in-depth interview with New World Order researcher Alan Watt.
[00:29:43.835 --> 00:29:48.316]  That you're up against something, a system that's very, very, very old.
[00:29:49.796 --> 00:29:52.757]  It's the only truly organized system on the whole planet.
[00:29:55.077 --> 00:30:01.038]  It uses sciences that are ancient in population management.
[00:30:03.379 --> 00:30:06.899]  It gave us a system of money.
[00:30:07.899 --> 00:30:10.160]  Money is a tool that we must believe in to serve them.
[00:30:11.516 --> 00:30:12.737]  Karl Marx was quite right.
[00:30:12.797 --> 00:30:16.399]  He was one of their boys who was set up to set up the dialectic.
[00:30:17.881 --> 00:30:23.705]  And he was quite right when he said that money is a tool of the elites.
[00:30:24.025 --> 00:30:36.494]  It's essential that the people who stop bartering or working for themselves and start using money as a means of exchange, which then can be taxed back from them, are becoming slaves.
[00:30:37.674 --> 00:30:45.722]  Because under law and legality, for a thousand years, no one could take anything from you.
[00:30:47.284 --> 00:30:50.166]  Money represents your food, your home, everything.
[00:30:50.607 --> 00:30:53.510]  When it's taxed back from you, they're creating a form of slavery.
[00:30:55.512 --> 00:30:58.595]  Therefore, it's essential that the workers believe in money.
[00:31:00.043 --> 00:31:01.584]  The elite have all the money in the world.
[00:31:01.624 --> 00:31:03.045]  They own all the resources in the world.
[00:31:03.285 --> 00:31:08.087]  They don't need money, but they need us to believe it's the only thing that we must use.
[00:31:09.608 --> 00:31:19.513]  Today, the power of the purse, as they call it at the top, is being used to the maximum to tax almost everything back from the people that they earn.
[00:31:21.815 --> 00:31:25.497]  You tie that in with Charles Galton Darwin,
[00:31:26.621 --> 00:31:35.984]  In his book, The Next Million Years, where he lays out the next few thousand years, up to a million years, for the elite and all the changes that will happen.
[00:31:37.065 --> 00:31:42.486]  The grandson of Charles Darwin, who again was related to the Huxleys and many others.
[00:31:43.967 --> 00:31:56.151]  And he said, we are in the process, in the 1950s he said this, in his own book, we are in the process of creating, he says, slavery has always existed in one form or another.
[00:31:58.493 --> 00:31:59.694]  There's different ways to have slavery.
[00:31:59.714 --> 00:32:04.716]  You can either get a bunch of henchmen, force a tribe into obeying you and being your slaves.
[00:32:05.096 --> 00:32:06.017]  That's a lot of force.
[00:32:06.157 --> 00:32:07.838]  But you have to feed them, etc.
[00:32:08.618 --> 00:32:16.842]  Or, you can allow them to keep so much of their earnings for themselves, to maintain themselves, and take off all the rest to supply the elite.
[00:32:17.686 --> 00:32:19.327]  and the structure of the system over them.
[00:32:20.087 --> 00:32:24.670]  But he says, we are now in the process of creating a more sophisticated form of slavery.
[00:32:24.930 --> 00:32:32.774]  In other words, the general public, who would drift into the system and it would become natural for them, would never twig on that they were actually slaves.
[00:32:34.014 --> 00:32:37.656]  You tie that in with the institutions that the Huxleys and the Darwins belonged to.
[00:32:39.197 --> 00:32:43.099]  They're all Institute for International Affairs, which has branches in every country in the world.
[00:32:43.479 --> 00:32:44.900]  They set up the United Nations.
[00:32:46.434 --> 00:32:59.646]  They said in their own writings, from the earliest times to the present, the world they're bringing in is to be a world where everyone who is born, or would be allowed to be born, would be born to serve the state.
[00:33:00.687 --> 00:33:02.208]  That would be their sole function.
[00:33:04.270 --> 00:33:06.652]  That's if they had a job for you to fulfill or a need for you.
[00:33:08.936 --> 00:33:10.797]  But it's a more sophisticated form of slavery.
[00:33:11.217 --> 00:33:12.297]  And we're going through it today.
[00:33:12.778 --> 00:33:19.340]  These families have been at this for at least, at least centuries, and I think much, much longer.
[00:33:20.721 --> 00:33:26.823]  Why is it that the Rothschilds come onto the scene as a revolutionary family?
[00:33:28.624 --> 00:33:37.428]  Why is it they suddenly could take over five countries with five sons, create central banks, or take the central banks over that already existed?
[00:33:39.125 --> 00:33:45.251]  And why is it that right to the present time they're in the forefront of world politics?
[00:33:47.073 --> 00:33:47.533]  Why is that?
[00:33:48.214 --> 00:33:54.500]  Why doesn't a generation of the Rothschild go off in some other direction or lose interest?
[00:33:55.581 --> 00:33:58.144]  You're dealing here with a specific religion.
[00:33:59.805 --> 00:34:01.006]  A religion and a cause.
[00:34:02.268 --> 00:34:02.728]  A purpose.
[00:34:04.239 --> 00:34:14.781]  You will only find this kind of fanatical intergenerational devotion to an agenda when there's some kind of religion involved in it.
[00:34:17.522 --> 00:34:21.043]  When did all these families crop up with the banks?
[00:34:23.804 --> 00:34:25.664]  We find that
[00:34:28.370 --> 00:34:39.720]  When the Rosicrucian Court was created at Queen Elizabeth I's court, and that's open history today, John Dee, Francis Bacon, Francis Drake, all these boys were a member of the Rosicrucians.
[00:34:40.641 --> 00:34:47.007]  It also broke out in France and Germany at the same time, and even announced their presence by billboards all across Paris.
[00:34:48.128 --> 00:34:49.830]  But the members now, as I say, in Britain,
[00:34:50.758 --> 00:34:51.898]  We're good to go.
[00:35:12.719 --> 00:35:19.903]  And they wrote about how to control, guide, mislead, and always fool the populations.
[00:35:20.884 --> 00:35:28.328]  And always, too, to get them into warfare, thinking they knew what they were fighting for, but the public were never to know the true ambitions that they had.
[00:35:29.889 --> 00:35:32.251]  John Dee coined the term the British Empire.
[00:35:32.491 --> 00:35:34.832]  It didn't exist before he said it and wrote it down.
[00:35:35.873 --> 00:35:39.655]  He went to the Queen with the idea, and he said,
[00:35:40.615 --> 00:35:50.462]  A system should be set up where countries are invaded or taken over by Britain to create a world system which would be based on free trade.
[00:35:51.883 --> 00:35:52.323]  Free trade.
[00:35:53.464 --> 00:36:03.751]  It is those countries willing to adopt the British system would be given special status and its most favoured nation trading status.
[00:36:04.997 --> 00:36:11.745]  The very same terms that are now used in all the charters that draw up for free trade across the planet.
[00:36:12.606 --> 00:36:23.219]  Yet we're going back 500 years to find it first used by an advisor to Queen Elizabeth I. So therefore we'd know there was a world plan underway.
[00:36:24.383 --> 00:36:45.025]  We also know that Kipling, for instance, who worked for the British Raj in India, wrote many books, and was a very high Freemason, was sent over to the US where he spoke to the US Senate, equal to equal,
[00:36:47.094 --> 00:36:49.056]  And said we pass the torch on to you.
[00:36:49.537 --> 00:36:59.908]  America was then to take over the financial cost of conducting this world at war, basically, to take over a world into a global system.
[00:37:03.031 --> 00:37:03.752]  I'm Alan Watt.
[00:37:05.160 --> 00:37:15.484]  And I'm a long-term researcher into the geopolitics and the psychopolitics of a world society, basically.
[00:37:15.844 --> 00:37:20.226]  The society that is bringing in globalism in our lifetime.
[00:37:20.586 --> 00:37:25.448]  In the 1950s, a book came out called The Next Million Years.
[00:37:27.309 --> 00:37:29.530]  And that was done by Charles Galton Darwin.
[00:37:31.141 --> 00:37:36.363]  Now the Galtons, again, were another special bunch that came out to do with eugenics.
[00:37:37.464 --> 00:37:49.770]  They started up the IQ tests that are now used across the world for school children to try and get the average intellect of children, classify them in grades, etc.
[00:37:50.450 --> 00:37:54.292]  And they then intermarried with the Darwins.
[00:37:55.452 --> 00:37:59.014]  So Charles Galton Darwin was the grandson of Charles Darwin.
[00:38:00.293 --> 00:38:01.233]  He was a physicist.
[00:38:01.513 --> 00:38:04.014]  Again, too, what we're talking about is what Huxley said.
[00:38:05.114 --> 00:38:12.276]  Huxley being the end product of selective breeding to get a scientist, then so was Charles Galton Darwin.
[00:38:13.716 --> 00:38:15.397]  They were bred along the Platonic lines.
[00:38:15.477 --> 00:38:16.677]  Plato talked about it too.
[00:38:17.937 --> 00:38:19.978]  And they became the scientific class.
[00:38:20.738 --> 00:38:25.179]  Charles Galton Darwin was a top physicist in Britain.
[00:38:25.862 --> 00:38:39.449]  He worked on atomic energy, weaponry and so on, but he also was attached to other delegations of the United Nations, had a lot of power, was well known, getting a lot of exposure on political viewpoints and social viewpoints in the media.
[00:38:41.050 --> 00:38:45.032]  And he came out with the book in the 50s called The Next Million Years.
[00:38:47.033 --> 00:38:51.776]  The Next Million Years is an astonishing book because it's an incredible boast
[00:38:53.303 --> 00:38:57.404]  Of how an elite would literally rule the world for another million years.
[00:38:58.404 --> 00:39:01.805]  And how it would be done, not just could be done, but would be done.
[00:39:03.645 --> 00:39:22.789]  But its biggest cry throughout the whole book was that the media and educational systems would have to work so hard on the general public, even from schooling up, to get the public to go along and allow themselves to be somehow sterilized
[00:39:24.005 --> 00:39:28.247]  He said that the inferiors would outbreed the superiors, and that was his greatest fear.
[00:39:28.867 --> 00:39:32.209]  Now he spoke on behalf of his own establishment, his own group.
[00:39:33.049 --> 00:39:34.150]  So they were into eugenics.
[00:39:36.211 --> 00:39:42.214]  And you'll find the United States became a great laboratory for eugenical experiment.
[00:39:42.334 --> 00:39:43.595]  People don't really realize that.
[00:39:45.095 --> 00:39:52.339]  Because when many of the Albigensian descendants, the Cathar descendants,
[00:39:53.499 --> 00:39:59.164]  The Bogomel descendants came into the United States under the guise of Christianity.
[00:40:01.045 --> 00:40:04.308]  They set up their own particular eugenical experiments.
[00:40:04.588 --> 00:40:09.713]  The Mormons were one of them, where couples were matched up.
[00:40:12.095 --> 00:40:20.602]  One of the greatest experiments that has ever happened in history was the NIDA experiment on Ida, New York, where
[00:40:21.328 --> 00:40:30.851]  The man who set it up was given free reign to match up men and women, not to live forever together, but only to copulate for specific offspring.
[00:40:32.171 --> 00:40:35.852]  Charles Darwin was involved in the experiment.
[00:40:37.053 --> 00:40:40.714]  The newsletter that the Nidas set out went to also the Huxleys.
[00:40:41.974 --> 00:40:43.915]  HG Wells came over at the latter end.
[00:40:44.497 --> 00:40:44.657]  I think?
[00:41:02.335 --> 00:41:06.517]  His cousin was Hayes who became the President of the United States.
[00:41:07.097 --> 00:41:14.580]  So big people were backing this experiment in eugenics through the latter part of the 1800s into the 1900s.
[00:41:18.282 --> 00:41:19.442]  What did they hope to gain?
[00:41:19.462 --> 00:41:28.966]  How can we bring this into the Council on Foreign Relations and the Royal Institute for International Affairs or the writings of say Huxley's
[00:41:30.842 --> 00:41:31.743]  Or Darwin's, even.
[00:41:32.283 --> 00:41:54.321]  Well, they believe, and they believed by Darwin's time, that all of the people who had the right stuff to excel in life, to acquire wealth, good, intellect, property, and keep a hold of it through generations, had already been born.
[00:41:54.341 --> 00:42:00.386]  Therefore, anything that came after Darwin was just chance, perhaps, or luck.
[00:42:02.045 --> 00:42:04.486]  Therefore, all the elite families were already established.
[00:42:04.606 --> 00:42:05.986]  There would be no more elite families.
[00:42:06.066 --> 00:42:12.108]  Everyone else married in common because they did not have their wives or their husbands picked for them.
[00:42:12.148 --> 00:42:14.409]  They were not mated up for eugenical reasons.
[00:42:14.849 --> 00:42:15.989]  They were called commoners.
[00:42:17.590 --> 00:42:22.851]  We find the same expression coming out today with the new term for eugenics.
[00:42:22.871 --> 00:42:24.072]  They call it bioethics.
[00:42:24.972 --> 00:42:28.773]  And the bioethicists are saying that those
[00:42:31.623 --> 00:42:33.364]  The common people have junk genes.
[00:42:34.384 --> 00:42:36.424]  It's another slander on the public, you see.
[00:42:36.765 --> 00:42:44.767]  Meaning, you have all these weird, erroneous genes because none of you down through the generations were specifically married up for specific reasons.
[00:42:45.347 --> 00:42:58.250]  Whereas, you go into the lineage of Darwin, and the Darwin family, and many other families of his time, were already only breeding into one other family for generations.
[00:42:59.110 --> 00:43:12.516]  And the Darwins, for about five generations that we know of, by records, birth records and marriage records, only married into the Wedgwood family, the big pottery conglomerates.
[00:43:14.297 --> 00:43:21.140]  And when Charles Darwin's first wife died, he married his mother's sister, who was a Wedgwood as well.
[00:43:23.373 --> 00:43:32.097]  The problem with this incredibly close inbreeding, and I should say too, the Huxleys were also descended from Darwin too, you'll find contacts there, and their wives.
[00:43:32.838 --> 00:43:42.422]  How many of these families, these wealthy elite families, were actually into inbreeding in this fashion, this close inbreeding, we'll never really know.
[00:43:43.323 --> 00:43:47.385]  Maybe one day they will publish it, but I know that Ian Taylor
[00:43:48.317 --> 00:43:58.685]  I came out with an excellent book on Darwin, called Darwin and the New World Order, where he documented the lineages of at least the Darwin family to do with the Wedgwoods.
[00:44:00.727 --> 00:44:11.775]  And as I say, the unfortunate thing of such close-in breeding is you can have, if there's a dominant gene there, prone to specific illness or disease, it tends to be passed on.
[00:44:13.837 --> 00:44:17.840]  And I think that with genetic research, they hope to overcome
[00:44:18.737 --> 00:44:22.340]  The problems they've had with such close inbreeding for themselves.
[00:44:23.341 --> 00:44:27.804]  But genetic research will not be used for the benefit of the rest of humanity.
[00:44:28.765 --> 00:44:33.649]  Even though it's our tax money that's going into and has been going into the research for so long.
[00:44:35.250 --> 00:44:36.411]  How long have they been working?
[00:44:37.132 --> 00:44:40.375]  And why have they been working so long on genetics?
[00:44:40.915 --> 00:44:41.996]  What's the reason for it?
[00:44:44.119 --> 00:44:52.346]  All geneticists are eugenicists because it starts off in your first course to do with eugenics, superior and inferior types.
[00:44:52.386 --> 00:45:02.354]  Therefore, at the start of their training at university, they become true believers in eugenics to begin with.
[00:45:04.095 --> 00:45:08.719]  We've been told that the double helix and the genes and so on wasn't discovered
[00:45:10.468 --> 00:45:18.156]  Until Watson came along, around the 70s or so, and that they'd always suspected that there were things called genes.
[00:45:18.997 --> 00:45:23.782]  This was standard in all medical training for many, many, many years, but they hadn't found them.
[00:45:23.822 --> 00:45:25.644]  They just suspected they were there, were told.
[00:45:27.226 --> 00:45:30.409]  But yet, if you go into the writings of the greatest mathematician
[00:45:32.008 --> 00:45:34.589]  that the Royal Society could produce called Rutherford.
[00:45:34.869 --> 00:45:41.032]  He's the guy they sent off abroad to do the equations for the pyramids and so on for the Royal Society.
[00:45:42.052 --> 00:45:53.197]  In his own memoirs he said that in the early twenties he was employed on scientific research as a mathematician to work on genes.
[00:45:53.537 --> 00:45:59.099]  Why would you need mathematicians working on genes for something you haven't discovered yet?
[00:45:59.599 --> 00:46:01.780]  You can't see them unless they could see them.
[00:46:03.086 --> 00:46:06.967]  And I believe that's how far ahead they truly were back then.
[00:46:07.087 --> 00:46:08.987]  They did know the genes were there.
[00:46:09.487 --> 00:46:10.787]  They were working on them heavily.
[00:46:11.668 --> 00:46:20.389]  Because, as I say, the agenda since at least Darwin's time onwards was to create a superior type of human.
[00:46:23.190 --> 00:46:29.611]  They toyed with the idea of creating even a superior type of worker to serve the superior class.
[00:46:30.945 --> 00:46:39.173]  Someone who could be very, very healthy, bright enough to accomplish all the tasks, but not too bright to overthrow the dominant minority.
[00:46:40.855 --> 00:46:45.119]  That's what the Utopia, or the Utopic Idea, is basically based upon.
[00:46:47.891 --> 00:47:01.367]  Some of them are so arrogant, like that Julian Huxley, who was the first CEO of UNESCO, who said that UNESCO's function, by the way, the United Nations Organisation for Education worldwide, was to create a standardised
[00:47:02.728 --> 00:47:13.496]  A system of education across the world so that all children could be manipulated into the same thought patterns, belief patterns, and mentality, basically.
[00:47:14.016 --> 00:47:15.617]  A standardization process.
[00:47:15.717 --> 00:47:21.021]  A Plato's cave that we'd all grow up in, never knowing anything outside that cave.
[00:47:21.341 --> 00:47:22.862]  He was quite blatant about that.
[00:47:23.202 --> 00:47:28.006]  It was for social engineering purposes, not for educational purposes as such.
[00:47:28.553 --> 00:47:32.535]  Now, eugenics goes back, as I say, into most ancient times.
[00:47:32.616 --> 00:47:52.968]  All kings and queens were mated up for their supposedly inherited traits as leaders and even as gods by the priesthoods who kept records of the traits, the physical and mental personality traits of offspring of these unions.
[00:47:54.878 --> 00:48:00.420]  The one thing that was lacking was a moneyed class who also used the same techniques.
[00:48:00.780 --> 00:48:04.141]  We find this coming out with the Rothschilds family.
[00:48:05.061 --> 00:48:09.322]  So we had monarchies running the world, running an empire such as the British Empire.
[00:48:09.342 --> 00:48:13.783]  All you needed now was the moneyed system to go along with it.
[00:48:14.003 --> 00:48:18.244]  We find the Rothschilds worked on the same principles as monarchies.
[00:48:18.304 --> 00:48:20.285]  They married, they intermarried each other.
[00:48:21.650 --> 00:48:26.276]  To keep the same intellect, abilities and so on going.
[00:48:26.537 --> 00:48:34.588]  With the Rothschilds we find they only marry their nieces, their immediate nieces, down through the generations.
[00:48:36.270 --> 00:48:38.213]  We find Benjamin Franklin
[00:48:39.468 --> 00:48:40.369]  Very interesting man.
[00:48:40.409 --> 00:48:42.612]  Long before this, again, High Freemason.
[00:48:43.392 --> 00:48:47.717]  This is in his own records at the Franklin Institute.
[00:48:48.498 --> 00:48:50.540]  He joined the English Lodge.
[00:48:51.261 --> 00:48:52.362]  He joined other lodges.
[00:48:52.402 --> 00:48:56.847]  He became eventually the Grand Master of the Nine Sisters Lodge in France.
[00:48:57.968 --> 00:49:00.852]  He initiated Voltairen as a member and others.
[00:49:02.210 --> 00:49:04.773]  But he was also a member of the Hellfire Club in England.
[00:49:05.213 --> 00:49:08.276]  Benjamin Franklin talks about the carriers.
[00:49:08.296 --> 00:49:09.177]  He called them dollies.
[00:49:09.898 --> 00:49:12.881]  These are women who had selective genes.
[00:49:13.461 --> 00:49:17.866]  They were the products themselves of selective special breeding.
[00:49:19.668 --> 00:49:25.474]  And the Hellfire Club, like many high Masonic institutions of that time,
[00:49:26.772 --> 00:49:32.236]  had what were loosely called, loosely called and wrongly in a sense, brothels attached to them.
[00:49:32.256 --> 00:49:42.542]  But it was also a cover because the special carriers or dollies, and dollies, the term that Franklin himself coined is still in use today.
[00:49:43.043 --> 00:49:46.185]  A dolly is a carrier, like something you carry luggage on or whatever.
[00:49:48.767 --> 00:49:53.870]  Basically he said that those who were worthy, worthy to go on
[00:49:54.893 --> 00:50:03.296]  and breed with these particular women who are of noble birth, most of them, would have the pleasure of having the offspring.
[00:50:05.117 --> 00:50:15.546]  knowing that the offspring, and the offspring was guaranteed a life of high exposure in science and perhaps leadership in the world.
[00:50:16.347 --> 00:50:24.514]  Madame Bouvier was the one he was talking about initially at the Hellfire Club in Isling High, Wycombe, London.
[00:50:26.135 --> 00:50:31.920]  And Madame Bouvier's descendants still live, there's two of them in France today,
[00:50:33.209 --> 00:50:35.751]  And the other one was Jackie Kennedy.
[00:50:37.812 --> 00:50:54.722]  If you look at how politics is run, and you go into the writings of people like Lenin, for instance, Lenin said there are a thousand directions and systems in which people could go and live under, but the public mustn't know that.
[00:50:54.782 --> 00:50:58.885]  He said it's important that the system that's created for them
[00:50:59.970 --> 00:51:04.693]  is accepted by the people, so that they think that it's the only system that could possibly work.
[00:51:06.734 --> 00:51:07.254]  And it's true.
[00:51:07.935 --> 00:51:18.041]  We're contained in a system of left and rights, supposedly the have-nots against the haves, or those who own the means of production against those who don't, the workers.
[00:51:19.021 --> 00:51:24.044]  And that's traditional Labour versus Tory, or Conservative versus Democrat.
[00:51:24.793 --> 00:51:25.933]  That's how the system is run.
[00:51:26.574 --> 00:51:35.176]  It keeps the public contained within a system of thinking that it must be one or the other or a middle road in between which they push.
[00:51:35.196 --> 00:51:46.259]  It never occurs to the general public that society has lived in the past under many different types of systems and as Lenin said it's important the public don't know.
[00:51:47.478 --> 00:51:52.582]  The system they're born into was designed for them and that it could be any different.
[00:51:52.602 --> 00:51:55.964]  They must think it's the only natural one that could have evolved in their lifetime.
[00:51:57.025 --> 00:52:00.588]  Therefore, you're contained within a restriction of parties.
[00:52:01.288 --> 00:52:05.512]  You vote in one party when you're sick of the last one, not because you want the new one in.
[00:52:06.312 --> 00:52:08.694]  It's because you're sick of the last one and what they've done to you.
[00:52:09.815 --> 00:52:13.938]  And once they've been corrupted and gone off in different tangents,
[00:52:15.207 --> 00:52:20.869]  In ways where they never explained during the entire elections had nothing to do with their election promises.
[00:52:21.509 --> 00:52:23.310]  You vote them out and get the next party in.
[00:52:23.410 --> 00:52:25.951]  And so we go on forever with this left-right paradigm.
[00:52:27.092 --> 00:52:29.893]  Always think it's like a tennis match really with the public in the middle.
[00:52:29.933 --> 00:52:34.434]  We're the ball and we just seem to go back and forth between left and right, left and right, left and right.
[00:52:34.754 --> 00:52:41.637]  Meanwhile we're being shepherded all along in one direction because politics is a tool of the elites.
[00:52:42.284 --> 00:52:43.404]  To manage the public.
[00:52:43.464 --> 00:52:47.825]  That's all democracy in fact really is a tool of the elite.
[00:52:47.865 --> 00:52:55.147]  To contain the public, manage them and guide them along a predetermined path that's outside of any kind of democracy.
[00:52:55.567 --> 00:53:01.509]  But if you take Bush, what he was sent in to do was to wait.
[00:53:02.029 --> 00:53:03.029]  And I believe this truly.
[00:53:03.049 --> 00:53:04.930]  He was to wait for 9-11 happening in 2001.
[00:53:07.918 --> 00:53:08.859]  2001 happened.
[00:53:09.019 --> 00:53:14.844]  Every country automatically went on board with the same agenda at the same time, which shows pre-planning.
[00:53:15.425 --> 00:53:18.688]  Bureaucracies and different governments do not work that fast.
[00:53:19.068 --> 00:53:26.635]  It takes years to get that kind of cooperation, that kind of synchronicity working together and synchronization.
[00:53:27.595 --> 00:53:34.942]  Bush's job was to bring in a totalitarian system under the guise of protecting the public where you lose your rights.
[00:53:36.509 --> 00:53:40.071]  And set up the machinery, the agencies to do it.
[00:53:40.851 --> 00:53:48.075]  The military forces, the paramilitary forces now that the police have become to set up the institutions for enforcement of laws.
[00:53:48.735 --> 00:53:59.540]  Obama comes in, takes over the institutions that are now set up and his job is to guide you through the economic depression and use those forces against the public at the required time.
[00:53:59.880 --> 00:54:00.720]  That's how it works.
[00:54:01.381 --> 00:54:03.942]  There's a continuity as far as I'm concerned.
[00:54:04.318 --> 00:54:06.000]  It's not a separate regime whatsoever.
[00:54:06.360 --> 00:54:22.234]  The same boys who put Bush in, the bankers and all the rest of it, put Obama in and Obama's proved his loyalty to them by literally allowing them to rape the public of all their funds and then rewarding them by public funding and tax money to save the same bankers.
[00:54:22.695 --> 00:54:23.936]  He's one of their own boys.
[00:54:24.236 --> 00:54:30.662]  But he now has the machinery in place that Bush set up to quell the coming riots that they say are going to come.
[00:54:31.175 --> 00:54:38.737]  And to manage the public into a brand new system of what they call, not government, but governance, international governance.
[00:54:39.277 --> 00:54:47.419]  If you listen to Obama's speeches before he was elected and analyze what he actually said, he said very little.
[00:54:47.779 --> 00:54:51.280]  He was giving emotive speeches with no substance.
[00:54:51.720 --> 00:54:54.921]  He never said what he wanted to do or how he was going to do anything.
[00:54:55.901 --> 00:55:00.482]  It was almost like a lead up to a movie that hadn't been made yet.
[00:55:03.142 --> 00:55:09.347]  Emotional talk, talk of hope, but not saying how the hope would be transformed into realities.
[00:55:10.227 --> 00:55:20.635]  He used the term that's been used in academia for the last few decades, and the Ivy League schools and universities, of the century of change.
[00:55:20.775 --> 00:55:25.358]  So his slogan became, and he used slogans written for him, change is good.
[00:55:26.359 --> 00:55:30.562]  Any idiot should ask the simple question, wait a minute, what change are you talking about?
[00:55:32.113 --> 00:55:35.395]  How can you be for change if you don't know what the change is going to be?
[00:55:35.895 --> 00:55:37.095]  It could be for your detriment.
[00:55:37.856 --> 00:55:43.338]  But they've got the people pirating, like George Orwell said with the sheep, you know, four legs good, two legs bad.
[00:55:44.058 --> 00:55:47.500]  Change is good, and the people, his followers start to repeat it, change is good.
[00:55:48.280 --> 00:55:50.341]  What kind of change are we talking about?
[00:55:50.681 --> 00:55:51.862]  The loss of sovereignty?
[00:55:52.342 --> 00:55:54.783]  The blending into an international institution?
[00:55:55.163 --> 00:55:56.564]  A world government system?
[00:55:57.424 --> 00:56:00.586]  A system where not only is America bankrupt and the most
[00:56:01.767 --> 00:56:02.347]  I think so.
[00:56:15.492 --> 00:56:19.374]  By making America the example for the rest of the world to follow.
[00:56:20.095 --> 00:56:23.677]  He's asking everybody to sacrifice everything they have.
[00:56:24.378 --> 00:56:25.999]  That's what he means by change is good.
[00:56:26.339 --> 00:56:27.499]  He didn't dream up this plan.
[00:56:28.260 --> 00:56:30.501]  He is a member of the Council on Foreign Relations.
[00:56:31.442 --> 00:56:44.490]  Again, that comes from the Milner Group, the Cecil Rhodes Society, they're all an issue for international affairs, the planned world governments, using Britain as a model for the British Empire, now becoming the American empire in a sense.
[00:56:45.592 --> 00:56:51.817]  And the changes here he's talking about is a new world of servitude, where you will serve the world state.
[00:56:52.517 --> 00:56:59.662]  And you'll also have to pay off all your debts along the way, which is impossible as far as I'm concerned.
[00:56:59.682 --> 00:57:04.446]  You cannot ever pay the kind of debt America has incurred since World War II.
[00:57:04.726 --> 00:57:05.827]  It's impossible to pay back.
[00:57:06.806 --> 00:57:09.688]  Therefore the changes he's talking about really is a new deal.
[00:57:10.248 --> 00:57:27.321]  When you hear a new deal mentioned by any president, and we got that from FDR, we got it from Bush, last Bush it was in, a new deal, we're getting it from this administration, that's a legal admission, a legal admission from the leader of your country of a new system.
[00:57:27.821 --> 00:57:29.882]  A new deal is literally a new system.
[00:57:30.703 --> 00:57:32.608]  The first system was the Constitution.
[00:57:33.130 --> 00:57:35.717]  You had an updated system with FDR.
[00:57:35.977 --> 00:57:38.223]  This government became incredibly big and centralized.
[00:57:38.982 --> 00:57:42.444]  And now you've got a new deal under the guise that change is good.
[00:57:42.685 --> 00:57:43.885]  Who planned the change?
[00:57:43.905 --> 00:57:45.346]  It wasn't the people who planned the change.
[00:57:45.387 --> 00:57:47.108]  Who will benefit will not be the people.
[00:57:47.828 --> 00:58:04.560]  It's the world of sustainability, Mr Rockefeller, the population reduction plan, those who will go on to the future will be those who are necessary for the future's maintenance, and those who are simply obsolete, the useless eaters, will have to perish and die off.
[00:58:05.080 --> 00:58:06.181]  It's as simple as that.
[00:58:06.601 --> 00:58:07.622]  This generation today
[00:58:08.816 --> 00:58:09.856]  The ones who are alive today.
[00:58:09.957 --> 00:58:18.019]  We are the generation that's going through the biggest changes in history, according to even Rockefeller himself, since the Industrial Revolution.
[00:58:18.819 --> 00:58:23.141]  It's the end of one part, one phase of a long-term plan.
[00:58:24.661 --> 00:58:34.464]  And out of this comes a new world order, as Mr. Brown said, the Prime Minister of Great Britain, said at the G20 meeting recently.
[00:58:35.085 --> 00:58:36.065]  It's a new world order.
[00:58:36.741 --> 00:58:45.563]  A different order from the previous one, where people technically were working for themselves, would choose their own employment and so on.
[00:58:46.443 --> 00:58:51.364]  The New World Order is a planned system, a planned economy, a planned population.
[00:58:52.304 --> 00:58:54.025]  So it's up to us.
[00:58:54.085 --> 00:58:56.105]  It's not up to the next generation to change this.
[00:58:56.365 --> 00:58:58.686]  We're the only ones who can possibly do the changing.
[00:58:58.966 --> 00:59:04.507]  And it's either really the rights to go into an uncertain future, which is what life should really be,
[00:59:05.848 --> 00:59:27.695]  Where we decide for ourselves we want to go individually and collectively or allow ourselves to be dumb animals, creatures who are guided by those who have decided they are the masters of our destiny and allow ourselves gradually to be sterilized, killed off, used for the last part of their agenda and their wars and then cast off.
[00:59:28.295 --> 00:59:29.836]  Many people will love socialism
[00:59:31.079 --> 00:59:35.481]  They enjoy being guided, and they enjoy their bosses running the world for them.
[00:59:35.681 --> 00:59:42.005]  But it's up to those who like freedom, personal freedom, which also entails uncertainty of where we're actually going to go.
[00:59:42.165 --> 00:59:47.267]  These video interviews have all been exclusive, and they're going to be archived at PrisonPlanet.tv.
[00:59:47.487 --> 00:59:51.229]  Please download them, burn them to disk, and give them to everyone you know.
[00:59:51.489 --> 00:59:52.610]  Upload them to YouTube.
[00:59:52.910 --> 00:59:57.292]  This information is vital, not just to our free republic, but to the future of free humanity.
