[00:00:03.622 --> 00:00:10.152]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:26:45.558 --> 00:26:51.003]  I mean, what do we do at that point when they try to hold our financial system hostage again?
[00:26:51.003 --> 00:26:53.065]  I mean, what are you planning to do at that point?
[00:26:53.945 --> 00:27:03.088]  I think you need to have people who are brave enough and competent enough in their belief in freedom to stand up and say, we can survive a bankruptcy.
[00:27:03.088 --> 00:27:18.593]  And also to point out that AIG's bankruptcy, or lack of bankruptcy in their bailout, basically wasn't bailing out just AIG, it was bailing out a lot of Wall Street bankers who had money in AIG, but also was bailing out a lot of foreign banks.
[00:27:18.593 --> 00:27:22.835]  So really a lot of this is just pointing out the truth and letting people know that
[00:27:23.399 --> 00:27:41.477]  And I think people are very upset when they find out that, you know, very, very wealthy inside bankers in New York, as well as across the country and across the world, benefited from average middle-class taxpayers like the rest of us having to send money to Washington to bail out AIG.
[00:27:41.477 --> 00:27:46.282]  What they do is they all gang up and say, oh, it'd be the end of the world if you don't do this.
[00:27:46.894 --> 00:27:56.869]  But my dad's always made a good point that all the people who said it would be the end of the world and that there'd be a collapse of the economy were all the same people who didn't predict any of this coming.
[00:27:56.869 --> 00:28:01.877]  So we don't have to accept their word at face value that we have to take their predictions as they were.
[00:28:02.694 --> 00:28:09.018]  Well, thank you, Senator-elect, and we look forward to talking to you when you are in office.
[00:28:09.018 --> 00:28:11.100]  This is a great victory for all lovers of liberty.
[00:28:11.100 --> 00:28:15.282]  They threw everything they could at you and collectively all of us, and they failed.
[00:28:15.282 --> 00:28:23.087]  This could be history if we get Ron Paul in as president, as John Adams, and then down the road like John Quincy Adams, Rand Paul.
[00:28:23.087 --> 00:28:23.908]  Sir, God bless you.
[00:28:23.908 --> 00:28:24.969]  Have a great holiday.
[00:28:24.969 --> 00:28:28.851]  Say hi to your wife and sons, and say hi to your father and mother.
[00:28:28.851 --> 00:28:29.952]  Just God bless you, Senator.
[00:28:29.952 --> 00:28:31.013]  Thank you, Alex.
[00:28:31.696 --> 00:28:35.559]  Amazing, there he goes, Senator Rand Paul.
[00:28:35.559 --> 00:28:37.541]  And they pulled their hair out.
[00:28:37.541 --> 00:28:41.884]  They did everything they could to stop us and they failed.
[00:28:41.884 --> 00:28:45.126]  And it's like a victory of Washington at Trenton.
[00:28:45.126 --> 00:28:47.248]  We're going to have more victories.
[00:28:47.248 --> 00:28:49.970]  And hey, some of us aren't going to make it out of this.
[00:28:49.970 --> 00:28:55.735]  But in the end, my great great great great grandchildren are going to be just like Buck Rogers.
[00:28:55.735 --> 00:28:58.377]  We're going to the stars and they're not going to stop us.
[00:29:02.918 --> 00:29:04.639]  Hi, this is Alex Jones.
[00:29:04.639 --> 00:29:10.363]  You've heard me talk about the delicious, easy-to-fix, and very storable foods from eFoodsDirect.com.
[00:29:10.363 --> 00:29:15.127]  I've told you for years that eFoodsDirect has the best storable food on the planet.
[00:29:15.127 --> 00:29:18.869]  Now it's that time of year again, and their holiday special is here.
[00:29:18.869 --> 00:29:25.814]  They have two holiday price packs for you to put into your reserves for a secure future or to share with others.
[00:29:25.814 --> 00:29:28.536]  The first is a 6-month bulk supply in 10 cans.
[00:29:29.537 --> 00:29:37.081]  And the second is a five-week supply of quick and easy-to-fix meals, including delicious bakery items shipped in heavy tote bags.
[00:29:37.081 --> 00:29:44.165]  Now, for a limited time, when you order two or more of these special holiday packs, you'll get free shipping on your entire order.
[00:29:44.165 --> 00:29:48.367]  Call now, 800-409-5633, or visit them at efoodsdirect.com forward slash Alex.
[00:29:48.367 --> 00:29:50.768]  That's 800-409-5633, or efoodsdirect.com forward slash Alex.
[00:30:00.506 --> 00:30:05.069]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:30:05.069 --> 00:30:05.970]  Number 1.
[00:30:05.970 --> 00:30:09.392]  New climate legislation could easily double or triple your electric bill.
[00:30:09.392 --> 00:30:10.253]  Number 2.
[00:30:10.253 --> 00:30:15.156]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:30:15.156 --> 00:30:15.896]  It's true.
[00:30:15.896 --> 00:30:20.760]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:20.760 --> 00:30:21.600]  Number 3.
[00:30:21.600 --> 00:30:25.182]  In some areas of the country, the power grid is dangerously overloaded.
[00:30:25.182 --> 00:30:28.885]  And now, new socialist legislation is only compounding the problem.
[00:30:29.085 --> 00:30:29.865]  Number 4.
[00:30:29.865 --> 00:30:32.626]  Dangerous weather is always a threat to local grids.
[00:30:32.626 --> 00:30:36.327]  Every year, thousands of families lose their power from weather-related outages.
[00:30:36.327 --> 00:30:37.107]  Number 5.
[00:30:37.107 --> 00:30:41.248]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:30:41.248 --> 00:30:46.310]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:30:46.310 --> 00:30:50.471]  You can get more information at www.mysolarbackup.com.
[00:30:50.471 --> 00:30:52.272]  That's mysolarbackup.com.
[00:30:52.272 --> 00:30:56.853]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[00:30:57.674 --> 00:30:58.134]  877-327-0365.
[00:30:58.134 --> 00:31:02.039]  Hello friends, this is Alex Jones.
[00:31:02.039 --> 00:31:05.403]  You've heard me talk about Calden 5 Star Soaps for years.
[00:31:05.403 --> 00:31:10.629]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[00:31:10.629 --> 00:31:14.074]  You can buy factory direct, shipped via UPS right to your door.
[00:31:14.074 --> 00:31:16.416]  Check them out on the web at 5starsoap.com.
[00:31:17.037 --> 00:31:20.561]  Or call 800-340-7091.
[00:31:20.561 --> 00:31:21.702]  Take my word for it.
[00:31:21.702 --> 00:31:24.364]  Once you've used pure soap, you won't buy anything else.
[00:31:24.364 --> 00:31:30.871]  Since 1947, Calbin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:31:30.871 --> 00:31:32.372]  Buy American and stay clean.
[00:31:32.372 --> 00:31:35.675]  As well as support InfoWars, visit 5starsoap.com today.
[00:31:35.675 --> 00:31:36.076]  Or call 1-800-340-7091.
[00:31:36.076 --> 00:31:37.417]  Well, Marty, what do you have to say?
[00:31:40.683 --> 00:31:48.630]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:31:48.630 --> 00:31:52.434]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:31:52.434 --> 00:31:52.934]  Thank you!
[00:32:00.134 --> 00:32:03.177]  Folks, you've heard us talk about Home Gain before.
[00:32:03.177 --> 00:32:12.406]  Home Gain is now offering a special promo where you get up to $150 when you buy or sell a home with a Home Gain agent you find through their Find a REALTOR® program.
[00:32:13.334 --> 00:32:16.156]  HomeGain lets you compare Realtors anonymously.
[00:32:16.156 --> 00:32:17.037]  It's easy.
[00:32:17.037 --> 00:32:22.341]  Go to HomeGain150.com to find and compare Realtors anonymously.
[00:32:22.341 --> 00:32:30.347]  Enter promo code HomeGain150 and receive up to $150 when you close a deal with a HomeGain agent.
[00:32:30.347 --> 00:32:36.171]  Share the HomeGain150 promo code with your friends via Facebook, Twitter, text and more.
[00:32:36.171 --> 00:32:41.295]  Look for Max the HomeGain Gorilla to find out more about how HomeGain is going to pay you.
[00:32:41.855 --> 00:32:48.981]  Visit HomeGain150.com today to enter your promo code and get paid for buying or selling a house.
[00:32:48.981 --> 00:33:01.632]  That's H-O-M-E-G-A-I-N-150.com.
[00:33:01.632 --> 00:33:03.153]  Coast to Coast.
[00:33:03.153 --> 00:33:05.215]  Direct from Austin.
[00:33:05.215 --> 00:33:08.438]  You're listening to the Alex Jones Broadcasting Network.
[00:33:15.509 --> 00:33:21.544]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:33:21.544 --> 00:33:24.090]  You're listening to the Alex Jones Show!
[00:33:36.747 --> 00:33:39.829]  How will we reverse the tide of tyranny?
[00:33:39.829 --> 00:33:51.295]  The special interests globally that go into any nation they wish, buy off the politicians, and then attach themselves to the people's tax money.
[00:33:51.295 --> 00:33:54.777]  That all the special interests, they write the rules to shut down their competition.
[00:33:57.532 --> 00:34:03.097]  Evidence by the fact that 97% of stimulus money to small businesses went to Fortune 500.
[00:34:03.097 --> 00:34:12.325]  Evidence by Obama giving hundreds of waivers to McDonald's and others to not have to get insurance for their employees, but everybody else who has a company is going to be forced to.
[00:34:12.325 --> 00:34:15.047]  That's an unfair trade advantage.
[00:34:15.047 --> 00:34:21.853]  These are the real forms of discrimination that are taking place in our society.
[00:34:24.201 --> 00:34:29.402]  And then in the name of not having discrimination, they say everyone will have the TSA body scan you.
[00:34:29.402 --> 00:34:32.363]  Everyone will have the TSA stick their hands down your pants.
[00:34:32.363 --> 00:34:36.064]  Everyone will have their rights taken away.
[00:34:36.064 --> 00:34:39.485]  Unless you're a member of Congress or a member of the Cabinet.
[00:34:39.485 --> 00:34:47.626]  No, you get to go around the naked body scanners.
[00:34:47.626 --> 00:34:49.867]  And then I see all these news articles
[00:34:53.635 --> 00:34:58.638]  Feds warrantlessly tracking Americans' credit cards in real time.
[00:34:58.638 --> 00:35:00.519]  Wired Magazine, they just say, oh, guess what?
[00:35:00.519 --> 00:35:06.924]  We're not just spying on you, we're tracking all your credit cards, and we're tracking all your loyalty cards in real time.
[00:35:06.924 --> 00:35:12.247]  Here's the Washington Post, government reports violations of limits on spying aimed at US citizens.
[00:35:12.247 --> 00:35:19.552]  So we've gone from four years ago, Bush in that press conference, President Bush saying, oh, we don't spy on you without warrants, to just, hey, everything's spied on.
[00:35:21.920 --> 00:35:27.622]  Well, there's an organization out there fighting it, and it's Liberty Guard.
[00:35:27.622 --> 00:35:29.203]  LibertyGuard.org.
[00:35:29.203 --> 00:35:31.404]  And of course, Bob Barr is the chair and the head of it.
[00:35:31.404 --> 00:35:34.685]  We had the president on of Liberty Guard last week.
[00:35:34.685 --> 00:35:38.106]  His website's BobBarr.org.
[00:35:38.106 --> 00:35:39.567]  He really doesn't need any introduction.
[00:35:39.567 --> 00:35:44.288]  A well-known congressman, defender of civil liberties and basic human rights.
[00:35:44.288 --> 00:35:48.070]  Also ran in 2008 as libertarian presidential candidate for
[00:35:48.830 --> 00:35:54.778]  President had a good showing on that front and certainly got to inject a lot of serious issues into the debate.
[00:35:54.778 --> 00:35:57.601]  He joins us for the next 25 minutes.
[00:35:57.601 --> 00:35:59.543]  Congressman, good to have you on with us.
[00:35:59.543 --> 00:36:03.028]  Oh, it's always great to be with you all and your many, many listeners out there.
[00:36:04.248 --> 00:36:07.092]  Congressman, let's start at the beginning.
[00:36:07.092 --> 00:36:15.262]  How did we go this far where the town I live in has federally run face scanning cameras and license plate readers through the Threat Fusion Center?
[00:36:15.262 --> 00:36:20.728]  They have clergy response teams, admittedly, with preachers trained to spy for homeland security.
[00:36:20.728 --> 00:36:21.729]  That's Associated Press.
[00:36:22.530 --> 00:36:29.199]  We have TSA sticking their hands down people's pants and radiating them, but the borders are basically wide open.
[00:36:29.199 --> 00:36:36.888]  I'm glad you formed Liberty Guard and for years have been speaking out against this, but man, you know, folks were like, oh, Bob Barr is kind of a little too concerned 10 years ago.
[00:36:36.888 --> 00:36:40.813]  Now people are saying, my God, I mean, are we going to be worse than 1984?
[00:36:42.856 --> 00:36:57.282]  I tell you, the technology that is available nowadays that governments and businesses can use to invade privacy and to data mine goes far beyond anything that George Orwell could have envisioned.
[00:36:57.282 --> 00:37:06.225]  So, in some respects, certainly we're not at the point of the totalitarian brutality state that was depicted in 1984.
[00:37:07.646 --> 00:37:22.336]  But in terms of the technology that is available to government to invade people's privacy and to control them by taking away their privacy far exceeds what was available or could be even contemplated back in the 1940s when 1984 was
[00:37:26.050 --> 00:37:26.630]  Absolutely.
[00:37:26.630 --> 00:37:28.171]  Well, I mean, take the TSA.
[00:37:28.171 --> 00:37:33.975]  I want to see if you concur with me and then I want you to have some time and go over your view on it and what Liberty Guard is doing.
[00:37:33.975 --> 00:37:40.880]  But they, I mean, I saw Ridge seven years ago when he was head of Homeland Security on C-SPAN in a two-hour roundtable with corporate heads.
[00:37:40.880 --> 00:37:43.902]  He said, you'll have to have an ID card to have a job.
[00:37:43.902 --> 00:37:44.802]  That's the real ID.
[00:37:44.802 --> 00:37:45.223]  He said,
[00:37:45.763 --> 00:37:53.290]  That it will be internal checkpoints, and now they're out there with the TSA running checkpoints on highways, bus terminals, as you know, Congressman.
[00:37:53.290 --> 00:37:55.512]  And now they're saying a no-fly, no-buy.
[00:37:55.512 --> 00:38:02.198]  If they say you can't fly, you can't buy a gun, no judge, no jury, you're put on this Kafka-esque list.
[00:38:02.198 --> 00:38:04.901]  I mean, is this not internal checkpoints?
[00:38:04.901 --> 00:38:10.126]  Give us your take on that and just the overall spectrum of what's happening with the TSA.
[00:38:11.358 --> 00:38:16.462]  What's happened here, Alex, is we've had sort of a perfect storm.
[00:38:16.462 --> 00:38:31.313]  We've seen, and you've seen of course, because you've spoken out about it for many years, the growth in government power on virtually all fronts, but it accelerated greatly as a result of what happened on September 11th of 2001.
[00:38:34.076 --> 00:38:50.658]  Uh, and it is that abject fear, uh, that has both empowered government, uh, to greatly accelerate, uh, the, uh, the steps to, to control people, take away their privacy, to gain information, to control them in various ways.
[00:38:51.418 --> 00:39:00.380]  And it's that same fear that has made so many Americans virtual sheep in terms of saying, well, if it makes us safer, it's okay.
[00:39:00.380 --> 00:39:05.862]  We have to give up some of our freedom in order for government to make us secure.
[00:39:05.862 --> 00:39:17.485]  I mean, that is a toxic mixture that has given rise now to the scenario that you've just described, which, for example, just focusing on one very small part of it,
[00:39:17.985 --> 00:39:29.349]  And that is the TSA naked body scanners or the very intrusive hand searches.
[00:39:29.349 --> 00:39:46.594]  Clearly, these are unconstitutional because they are doing this to people as to whom they have no reasonable suspicion whatsoever that they have done anything wrong or are purporting or attempting, for example, to bring weapons or explosives on an airplane.
[00:39:47.894 --> 00:40:09.204]  Also, I think it's important for people to keep in mind, as I know your listeners do, that the freedom to travel, the right to travel in interstate commerce, that is to take a commercial airliner from point A to point B, has been found many years ago by the U.S.
[00:40:09.204 --> 00:40:13.746]  Supreme Court to be a fundamental index of freedom, of liberty.
[00:40:16.587 --> 00:40:21.371]  Are we going to get to the point where the Supreme Court will put a stop to this nonsense?
[00:40:21.371 --> 00:40:23.152]  I don't know.
[00:40:23.152 --> 00:40:24.954]  Justice Alito on the U.S.
[00:40:24.954 --> 00:40:45.630]  Supreme Court, for example, in an opinion a few years ago, seemed to indicate that without some suspicion that an air traveler is doing something wrong or that TSA can articulate a reason why they need to search this particular person beyond the normal screening process,
[00:40:46.510 --> 00:40:48.211]  Is unconstitutional.
[00:40:48.211 --> 00:40:55.796]  Whether or not he still believes that, whether or not a majority of the court will so render a decision, I don't know.
[00:40:55.796 --> 00:41:09.965]  And even though I'm not terribly hopeful that that will happen, it's terribly important that we finally get some resolution of this to get this teed up so that it can get through the courts.
[00:41:10.538 --> 00:41:11.959]  Well absolutely, Congressman.
[00:41:11.959 --> 00:41:25.509]  But on top of that, we've seen in the last few weeks cases where they want to x-ray a woman's breast milk, or they want another woman to dump her milk out, and they hold up the TSA's own rule book.
[00:41:26.349 --> 00:41:26.369]  I
[00:41:43.781 --> 00:41:51.947]  And also they're supposed to take a medical ID card when they're clearly wanding someone's knee and it's a metal knee or a metal hip.
[00:41:51.947 --> 00:41:53.828]  I've talked to Governor Ventura about this.
[00:41:53.828 --> 00:41:54.989]  They all know who he is.
[00:41:54.989 --> 00:42:00.012]  I've seen him ask for autographs, but then they grab his crotch.
[00:42:00.012 --> 00:42:01.413]  I've flown with him right in front of him.
[00:42:01.413 --> 00:42:03.155]  Ron Paul was on two weeks ago.
[00:42:03.155 --> 00:42:04.756]  He said, yes, they grab his crotch.
[00:42:06.156 --> 00:42:11.557]  I have sat there and watched nothing but women and children being searched when I was in San Jose.
[00:42:11.557 --> 00:42:14.598]  So they also randomly only search certain groups.
[00:42:14.598 --> 00:42:27.560]  I mean, this is a complete journey towards submission to these untrained, in many respects, federal goons, Congressman.
[00:42:27.560 --> 00:42:30.361]  I mean, this is, as you said, so Orwellian.
[00:42:37.432 --> 00:42:40.056]  Yeah, we're good.
[00:43:02.935 --> 00:43:04.656]  Hi, this is Alex Jones.
[00:43:04.656 --> 00:43:10.377]  You've heard me talk about the delicious, easy-to-fix, and very storable foods from eFoodsDirect.com.
[00:43:10.377 --> 00:43:15.139]  I've told you for years that eFoodsDirect has the best storable food on the planet.
[00:43:15.139 --> 00:43:18.880]  Now it's that time of year again, and their holiday special is here.
[00:43:18.880 --> 00:43:25.822]  They have two holiday price packs for you to put into your reserves for a secure future or to share with others.
[00:43:25.822 --> 00:43:28.643]  The first is a 6-month bulk supply in 10 cans.
[00:43:29.563 --> 00:43:37.106]  And the second is a five-week supply of quick and easy-to-fix meals, including delicious bakery items shipped in heavy tote bags.
[00:43:37.106 --> 00:43:44.169]  Now, for a limited time, when you order two or more of these special holiday packs, you'll get free shipping on your entire order.
[00:43:44.169 --> 00:43:48.391]  Call now, 800-409-5633, or visit them at efoodsdirect.com forward slash Alex.
[00:43:48.391 --> 00:43:50.772]  That's 800-409-5633, or efoodsdirect.com forward slash Alex.
[00:44:00.563 --> 00:44:04.385]  Diamond Gusset is proud to announce the anthem of the Patriot movement.
[00:44:04.385 --> 00:44:08.668]  They're offering a free CD, t-shirt, and bumper sticker with a qualifying purchase.
[00:44:08.668 --> 00:44:13.371]  Diamond Gusset offers great products at great prices while keeping Americans working.
[00:44:13.371 --> 00:44:19.315]  I'm looking for a factory where a man can feed his family.
[00:44:19.315 --> 00:44:22.557]  Not worried about them moving south.
[00:44:22.557 --> 00:44:26.299]  Closing the doors and shutting her down tomorrow.
[00:44:29.094 --> 00:44:34.618]  I'm looking for America.
[00:44:34.618 --> 00:44:36.079]  Wear American and be proud.
[00:44:36.079 --> 00:44:39.061]  Go to gusset.com forward slash America.
[00:44:39.061 --> 00:44:43.484]  Land I left free in the home of the brave.
[00:44:43.484 --> 00:44:47.266]  Seems like I just woke up one day and it was gone.
[00:44:55.054 --> 00:44:59.622]  Again, go to gusset.com forward slash America Today.
[00:45:00.233 --> 00:45:04.776]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:45:04.776 --> 00:45:05.697]  Number 1.
[00:45:05.697 --> 00:45:09.119]  New climate legislation could easily double or triple your electric bill.
[00:45:09.119 --> 00:45:09.980]  Number 2.
[00:45:09.980 --> 00:45:14.863]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:45:14.863 --> 00:45:15.623]  It's true.
[00:45:15.623 --> 00:45:20.487]  Total government control of electricity in the name of smart grid technology is coming.
[00:45:20.487 --> 00:45:21.307]  Number 3.
[00:45:21.307 --> 00:45:24.889]  In some areas of the country, the power grid is dangerously overloaded.
[00:45:24.889 --> 00:45:28.592]  And now, new socialist legislation is only compounding the problem.
[00:45:28.792 --> 00:45:29.592]  Number 4.
[00:45:29.592 --> 00:45:32.353]  Dangerous weather is always a threat to local grids.
[00:45:32.353 --> 00:45:36.035]  Every year, thousands of families lose their power from weather-related outages.
[00:45:36.035 --> 00:45:36.815]  Number 5.
[00:45:36.815 --> 00:45:40.977]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:45:40.977 --> 00:45:46.019]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:45:46.019 --> 00:45:50.200]  You can get more information at www.mysolarbackup.com.
[00:45:50.200 --> 00:45:51.981]  That's mysolarbackup.com.
[00:45:51.981 --> 00:45:56.583]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[00:46:01.006 --> 00:46:16.497]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:46:16.497 --> 00:46:20.160]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:46:21.178 --> 00:46:33.950]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:46:33.950 --> 00:46:41.216]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:46:41.897 --> 00:46:52.262]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:46:52.262 --> 00:46:56.204]  As well, we are always ready to answer any questions you may have.
[00:46:56.204 --> 00:47:01.726]  That's www.SilverLungs.com.
[00:47:01.726 --> 00:47:08.529]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:47:10.700 --> 00:47:17.686]  What we've got here is failure to communicate.
[00:47:17.686 --> 00:47:20.708]  Some men you just can't reach.
[00:47:20.708 --> 00:47:26.994]  So you can get what we had here last week, which is the way he wants it.
[00:47:26.994 --> 00:47:27.794]  Well, he is.
[00:47:27.794 --> 00:47:31.898]  I don't like him any more than he likes me.
[00:47:37.205 --> 00:47:39.829]  Waging war on corruption.
[00:47:39.829 --> 00:47:42.654]  It's Alex Jones.
[00:47:42.654 --> 00:47:46.019]  Look at your young men fighting.
[00:47:46.019 --> 00:47:49.445]  Look at your women crying.
[00:47:49.445 --> 00:47:51.709]  Look at your young men dying.
[00:47:53.188 --> 00:47:54.870]  Where do you see this fight going?
[00:47:54.870 --> 00:47:59.995]  In your gut, do you agree with me that this is something actually that's gone too far?
[00:47:59.995 --> 00:48:12.407]  People being sexually violated, and that no matter what the TSA does, or how much propaganda they put out, or how much intimidation, that if you don't do it, we'll give you $11,000 fines, or we'll put you on a no-fly list.
[00:48:12.407 --> 00:48:13.849]  I mean, do you see them losing this?
[00:48:16.228 --> 00:48:17.629]  They will lose it.
[00:48:17.629 --> 00:48:23.914]  The American people will prevail, but it's going to take a lot of hard work over an extended period of time, Alex.
[00:48:23.914 --> 00:48:27.097]  It's not going to be successful.
[00:48:27.097 --> 00:48:40.168]  That is, the fight for freedom and to rein in this intrusive, overbearing, and unnecessary unconstitutional government behavior, you can never let up in the fight against government oppression.
[00:48:40.168 --> 00:48:41.489]  Never, ever let up.
[00:48:41.849 --> 00:48:48.752]  So, you know, it's a constant battle to make sure that the real ID doesn't surface as something else.
[00:48:48.752 --> 00:48:54.675]  They'll give it a new acronym and so forth, or they'll fund it partially somewhere and then come back to it again later.
[00:48:54.675 --> 00:49:04.080]  But, at least for now, that's been a very significant success in fighting government intrusion and unconstitutional behavior.
[00:49:04.640 --> 00:49:22.023]  Secondly, even though these are small victories that you just indicated with regard to airline pilots and some loosening of the intrusive searches and the x-rays on certain types of persons, children and minors and so forth,
[00:49:23.124 --> 00:49:24.305]  It's going to take a lot more.
[00:49:24.305 --> 00:49:46.944]  I mean, as long as the government is able to have people subject themselves to a naked body scanner, with the only alternative being a grossly invasive manual search, without articulating any suspicion that the person that they're searching, either electronically or manually, has done anything wrong,
[00:49:47.584 --> 00:49:55.131]  As long as people are willing to put up with that, it's going to embolden government to continue to press the envelope.
[00:49:55.131 --> 00:50:01.677]  I'm also hopeful that the court challenges will be successful.
[00:50:01.677 --> 00:50:02.818]  I'm also hopeful that
[00:50:03.857 --> 00:50:26.452]  Some of the new chairmen coming into Congress, for example, John Micah of Florida, who is likely to be the Transportation Committee Chair in the House with responsibility over air travel, and Darrell Issa of California, who is likely to take over as Chair of the Government Oversight and Reform Committee.
[00:50:27.292 --> 00:50:47.698]  Uh, that both of these, uh, chairs on the House side, uh, will, uh, very shortly, uh, after taking over their positions, uh, which seems likely as chairman of these two key committees, uh, will hold some, uh, some real tough and consistent long-term oversight hearings, uh, on TSA and what they're doing.
[00:50:47.998 --> 00:50:52.846]  All right, Congressman, a bunch of quick questions in the 12 minutes we've got left with you.
[00:50:52.846 --> 00:51:02.580]  Specifically, dealing with some of your four-year requests that you've put out, Bob Barr investigates TSA standout on National Opt Out Day.
[00:51:03.161 --> 00:51:22.172]  I mean if they're saying that this terror threat was so imminent they had to stick their hands down people's pants and put put nuns and little old ladies and naked body scanners, which they've been caught saving by the way folks, just continual deception, then isn't that then some type of stand down or dereliction of duty or fraud?
[00:51:23.673 --> 00:51:32.900]  If, as we've now confirmed, even mainstream news has confirmed, but I had employees that flew that day in multiple airports, that they did completely stand down the scanners at most airports.
[00:51:32.900 --> 00:51:34.181]  They didn't do the pat-downs.
[00:51:34.181 --> 00:51:36.862]  They were just running people through them.
[00:51:36.862 --> 00:51:43.487]  At some of the other airports, they just curtailed it, and then ran this hoax saying, oh, it was TSA Appreciation Day.
[00:51:43.487 --> 00:51:45.028]  No one opted out.
[00:51:45.028 --> 00:51:47.850]  I mean, that looks like that could be criminal right there.
[00:51:47.850 --> 00:51:51.473]  I mean, shouldn't we have some type of congressional investigation about the stand-down, A?
[00:51:51.473 --> 00:51:52.253]  And then, B,
[00:51:53.594 --> 00:52:00.422]  Watchdog probes, DHS spying on Drudge, PrisonPlanet.com, Matt Drudge, Alex Jones.
[00:52:00.422 --> 00:52:02.945]  The Drudge Report, of course, has been carrying that.
[00:52:02.945 --> 00:52:14.197]  So, talk about A, the stand-down, and B, your four-year dealing with persecution, because even CNN has reported that they believe their reporters and others have been put on the list after running reports critical.
[00:52:16.242 --> 00:52:28.148]  It's a real problem that we've gotten to the point in this country where if you simply question what the government is doing, you're going to find yourself on the wrong end of that government power.
[00:52:28.148 --> 00:52:30.430]  We see it in a number of areas, Alex.
[00:52:30.430 --> 00:52:41.655]  We see it when citizens simply use a camera video or a handheld video to record what police are doing in the public arena where they appear to be
[00:52:42.956 --> 00:52:44.417]  Yeah, there's no perception.
[00:52:44.417 --> 00:52:49.518]  I mean, I mean, you know, as a congressman and lawyer and everything else, there's no perception of privacy.
[00:52:49.518 --> 00:52:54.420]  So why do the cops march over 200 yards and then beat you up and arrest you for videotaping them?
[00:53:07.343 --> 00:53:26.580]  It's a problem and we see the same thing with regard to some of the folks that have had what seems very clearly to be vindictive retaliation against them by TSA simply for raising some questions or objecting to what's been going on.
[00:53:27.736 --> 00:53:36.599]  But the lawsuits, hopefully, will start clearing some of this up.
[00:53:36.599 --> 00:53:38.800]  People need to not be intimidated.
[00:53:38.800 --> 00:53:40.500]  They need to be polite.
[00:53:40.500 --> 00:53:42.441]  They need to be respectful.
[00:53:42.441 --> 00:53:46.122]  I've never urged anybody not to be polite, respectful.
[00:53:47.002 --> 00:53:54.686]  Uh, if the government appears to be doing something that you know, uh, not to be, uh, proper and, uh, that your rights are being violated.
[00:53:54.686 --> 00:54:05.331]  Uh, but it's a sad day when, uh, people, uh, find that simply because they question government authority and what government is doing that they then, uh, have retaliatory action taken against them.
[00:54:05.331 --> 00:54:08.293]  Well, Congressman- That is something that Congress ought to look into.
[00:54:08.293 --> 00:54:11.054]  So this, uh, I'm sorry to interrupt, so that is something Congress should look into?
[00:54:11.727 --> 00:54:12.789]  Absolutely they should.
[00:54:12.789 --> 00:54:23.789]  The two committees that I indicated, the Government Reform Committee that will be chaired by Darrell Ice of California and the Transportation Committee that will be chaired by John Mica of Florida.
[00:54:24.500 --> 00:54:30.321]  Obviously, you've got some gravitas as a long-serving former congressman, you know, committee chairman.
[00:54:30.321 --> 00:54:33.942]  You were also in the CIA for many years.
[00:54:33.942 --> 00:54:38.843]  Hopefully, they won't ignore your organizations for your request.
[00:54:38.843 --> 00:54:40.263]  I don't think it should be called a request.
[00:54:40.263 --> 00:54:43.984]  It's a demand under law, but they ignore it so often, as you know.
[00:54:43.984 --> 00:54:48.365]  But I've tried to get my FBI file, and they won't even respond.
[00:54:48.365 --> 00:54:49.525]  I got a lawyer involved.
[00:54:49.525 --> 00:54:52.046]  They said national security.
[00:54:52.046 --> 00:54:53.326]  Lord knows what's in that thing.
