[00:00:00.110 --> 00:00:00.272]  Hmm.
[00:35:43.532 --> 00:35:46.335]  He's always wearing, what's his name, Zorro or something in it?
[00:35:46.335 --> 00:35:49.077]  The point is, that's really what a secret police is like.
[00:35:49.878 --> 00:35:58.163]  They do whatever they want, you don't know who they are, they've got fake IDs, they're foreign, and they're just running around doing whatever they want.
[00:35:58.163 --> 00:36:00.524]  So this report is so big.
[00:36:00.524 --> 00:36:11.951]  Remember back in the 1990s, in fact I think it was 1994, well you guys search engine, Mossad caught in San Francisco breaking into police files and actually got convicted for it.
[00:36:13.279 --> 00:36:15.800]  Or it was Mossad acting as ADL.
[00:36:15.800 --> 00:36:18.560]  Headline, ADL caught breaking into police files.
[00:36:18.560 --> 00:36:24.901]  And it turned out they were paying off police and basically running the police department intelligence unit.
[00:36:24.901 --> 00:36:27.142]  And so this is real, ladies and gentlemen.
[00:36:27.142 --> 00:36:32.343]  And I talked about this yesterday and saw the YouTube video, people commenting, I can't believe Alex is criticizing Israel.
[00:36:32.343 --> 00:36:33.363]  He never does that.
[00:36:33.363 --> 00:36:36.964]  We've done hundreds of videos criticizing when Israel does things like this.
[00:36:36.964 --> 00:36:39.605]  People every time say, this is the first time I've ever seen it.
[00:36:39.605 --> 00:36:40.425]  I've never seen it.
[00:36:40.425 --> 00:36:41.745]  Look, we criticize anybody.
[00:36:42.520 --> 00:36:46.005]  Who is in here violating the Bill of Rights and Constitution?
[00:36:46.005 --> 00:36:48.428]  And imagine, again, if the Chinese were doing this.
[00:36:48.428 --> 00:36:56.880]  If our government had hired the Chinese to come in and spy on Americans and to be involved, the evidence is beginning to show, in the snatching and grabbing.
[00:36:57.648 --> 00:37:01.973]  And Luke talked about seeing the trucks and vans come in, people with bags on their heads.
[00:37:01.973 --> 00:37:05.818]  They would take people and strip them down and then make fun of them and laugh at them.
[00:37:05.818 --> 00:37:07.821]  Rob Dew saw this go on.
[00:37:07.821 --> 00:37:11.505]  Rob Dew just tried to go to the military and say, I'd like to talk to your spokesperson.
[00:37:11.505 --> 00:37:14.929]  And then they called the police and said they were trying to blow up the base.
[00:37:15.770 --> 00:37:22.175]  I mean, just out of hand, you're an American scumbag media, you come to the U.S.
[00:37:22.175 --> 00:37:43.989]  Army and politely say, it's all on video, in the film, we have the footage shot from the car, very politely saying, yes sir, we saw your press release, we said the media should make inquiries here at the base to talk to the military, and they just came out and called the police and said, hey, these are terrorists, they were sneaking around, maybe trying to attack the base.
[00:37:43.989 --> 00:37:45.050]  Pulled right up to the front,
[00:37:46.889 --> 00:37:48.850]  This is what America is now.
[00:37:48.850 --> 00:37:52.952]  This is bonafide, hardcore tyranny.
[00:37:52.952 --> 00:37:57.094]  This is everything we supposedly fought the Soviets over and fought the Nazis over.
[00:37:58.214 --> 00:38:00.295]  And Israel's a police state.
[00:38:00.295 --> 00:38:01.776]  England's a police state.
[00:38:01.776 --> 00:38:03.977]  The United States is a hardcore police state.
[00:38:03.977 --> 00:38:11.282]  They're setting up checkpoints all over the country now, searching people, and the police are in NBC News saying, quote, we can do whatever we want.
[00:38:11.282 --> 00:38:12.502]  You don't have any rights.
[00:38:12.502 --> 00:38:13.723]  And then here's this article.
[00:38:13.723 --> 00:38:15.844]  Government bans Tea Party from celebrating U.S.
[00:38:15.844 --> 00:38:16.785]  Constitution.
[00:38:16.785 --> 00:38:18.226]  Today is Constitution Day.
[00:38:18.226 --> 00:38:21.608]  They tried to get a permit for two months in multiple towns.
[00:38:21.608 --> 00:38:24.970]  They already, at the beginning of the year, were denied the right to demonstrate.
[00:38:26.684 --> 00:38:30.845]  First they trick you and say you've got to get a permit, then they deny the permit.
[00:38:30.845 --> 00:38:32.545]  You don't need a permit to demonstrate.
[00:38:32.545 --> 00:38:36.326]  Only if you're going to block roads for a parade, for a commercial parade.
[00:38:36.326 --> 00:38:37.906]  They're training you, you can't demonstrate.
[00:38:37.906 --> 00:38:40.587]  They're training you, you don't have rights.
[00:38:40.587 --> 00:38:48.688]  I noticed in Chicago, tens of thousands of police demonstrated yesterday, and I read the articles closely, they didn't get a permit!
[00:38:48.688 --> 00:38:51.549]  But the police didn't go after them, and I say that's good!
[00:38:51.549 --> 00:38:56.270]  Because you don't need a stinking permit to go protest outside City Hall or the police station.
[00:38:58.297 --> 00:39:02.601]  I couldn't believe a few months ago in Austin a local group went and got a permit to protest.
[00:39:02.601 --> 00:39:05.885]  You just give in to this evil when you do that.
[00:39:05.885 --> 00:39:07.286]  A permit?
[00:39:07.286 --> 00:39:09.568]  That's like a permit to own a gun.
[00:39:09.568 --> 00:39:10.810]  It's outrageous.
[00:39:10.810 --> 00:39:13.652]  I'm not criticizing people, I'm just sick of it.
[00:39:13.652 --> 00:39:15.294]  But look at this.
[00:39:15.294 --> 00:39:19.718]  Pennsylvania Homeland Security puts anti-tax protesters on list of terror threats.
[00:39:19.718 --> 00:39:20.860]  Pittsburgh Tribune Review.
[00:39:22.096 --> 00:39:23.538]  Lawsuits are now filed.
[00:39:23.538 --> 00:39:25.019]  But it was every group.
[00:39:25.019 --> 00:39:26.221]  It was peaceful groups.
[00:39:26.221 --> 00:39:28.043]  Remember Fahrenheit 9-11?
[00:39:28.043 --> 00:39:34.590]  Showed groups in Houston and in Northern California who would bake cookies and sit around and talk about peace.
[00:39:34.590 --> 00:39:37.474]  And they had police informants inside their groups.
[00:39:37.474 --> 00:39:40.037]  Remember what came out back in November of 2008?
[00:39:40.037 --> 00:39:41.759]  It's in the Obama deception.
[00:39:43.117 --> 00:39:58.782]  That Ron Paul was being watched in Houston and his in the Fed Rally, and then in Dallas, we were being watched, and it said in the Army report that was leaked to us by Patriots, at Camp Mabry by the way, it said in the report, don't let them know you're Army, they may kill you!
[00:39:58.782 --> 00:40:06.944]  You got a multi-racial crowd out there saying, we don't want banker bailouts, we want the Federal Reserve audited, and because of that,
[00:40:08.018 --> 00:40:14.784]  And notice the year after that, the House passed the law, the Senate blocked it to audit the Fed.
[00:40:14.784 --> 00:40:16.626]  And the Army was there.
[00:40:16.626 --> 00:40:17.606]  The Army!
[00:40:17.606 --> 00:40:21.530]  Well, if you don't like the Army spying on you, how about Israeli operatives?
[00:40:21.530 --> 00:40:25.934]  How about Israeli operatives paid taxpayer money to spy on everybody?
[00:40:25.934 --> 00:40:31.639]  Did you guys find the ADL caught breaking into police intelligence files?
[00:40:31.639 --> 00:40:32.339]  It's everywhere.
[00:40:32.339 --> 00:40:32.780]  It's from the...
[00:40:34.818 --> 00:40:35.358]  Call Watson.
[00:40:35.358 --> 00:40:37.619]  He's the ultimate master of searches, even better than me.
[00:40:37.619 --> 00:40:39.380]  He'll be able to find it.
[00:40:39.380 --> 00:40:42.302]  I don't want to make a claim here and then not put it up on screen.
[00:40:42.302 --> 00:40:44.362]  We must put it up on screen.
[00:40:44.362 --> 00:40:46.123]  Let me think of the exact search headline.
[00:40:46.123 --> 00:40:51.986]  I mean, that's it.
[00:40:51.986 --> 00:40:55.847]  ADL caught stealing police intelligence files.
[00:40:55.847 --> 00:40:56.408]  I mean, that's it.
[00:40:58.140 --> 00:41:01.101]  ADL caught stealing police intelligence.
[00:41:01.101 --> 00:41:02.141]  No, I know you are.
[00:41:02.141 --> 00:41:06.102]  I'm just trying to get the answer to the thing so we can get that out there for people.
[00:41:06.102 --> 00:41:08.542]  Okay, let's go to Rob Dew about this.
[00:41:08.542 --> 00:41:19.124]  Rob, I mean, what do you think of the fact that you now learn that not only was the army out there spying on people, but that the Israeli Mossad-connected private intelligence group?
[00:41:19.124 --> 00:41:22.105]  After going to the G20, nothing surprises me anymore.
[00:41:22.105 --> 00:41:24.886]  I mean, these people are out of control.
[00:41:24.886 --> 00:41:25.366]  They treated
[00:41:26.491 --> 00:41:32.554]  Everybody that I saw there, you know, these were peaceful protesting citizens and they were treated like common criminals.
[00:41:32.554 --> 00:41:38.857]  You know, we were locked up and I had actually, they told us to leave and I started to walk up a hill where they were coming down the hill.
[00:41:38.857 --> 00:41:42.439]  They had scheduled this to be an entrapment exercise.
[00:41:42.439 --> 00:41:43.180]  They call it kettling.
[00:41:43.780 --> 00:41:45.342]  And so they rounded up a bunch of people.
[00:41:45.342 --> 00:41:48.707]  Most of them were college kids that weren't even protesting.
[00:41:48.707 --> 00:41:53.333]  They just happened to be on the campus, you know, walking around in their boxer shorts and t-shirts.
[00:41:53.333 --> 00:41:56.037]  And anyway, halfway through the night, they start
[00:41:57.250 --> 00:41:59.150]  They started bringing in people.
[00:41:59.150 --> 00:42:09.453]  The one guy that I particularly saw, he was breathing heavy, he had the bag over his head, and then they had him hogtied with the handcuffs by, and they had four guys, one on each limb, carrying him in.
[00:42:09.453 --> 00:42:13.673]  And he was, he seemed like, you know, he was maybe not hyperventilating, but breathing really heavy.
[00:42:13.673 --> 00:42:15.514]  He seemed, he was very distressed.
[00:42:15.514 --> 00:42:25.916]  And they brought him into a room, set him in a chair, I guess, I don't know what they did, but they had a video camera on him the whole time, and two guys sitting outside the room looking at him with the door open.
[00:42:26.796 --> 00:42:31.199]  And, um, this guy couldn't have been more than, you know, 95, 115 pounds.
[00:42:31.199 --> 00:42:32.660]  It wasn't that big at all.
[00:42:32.660 --> 00:42:36.602]  And, uh, you could tell the mindset with, with these, um,
[00:42:37.659 --> 00:42:42.583]  With these guys that were watching us, they thought they were doing, you know, God's work.
[00:42:42.583 --> 00:42:50.088]  And it was really distressing to see that, especially because people were listening to the police.
[00:42:50.088 --> 00:42:56.073]  You know, when they said to move, they were trying to move, but then they had already blocked off the streets and kettled them in.
[00:42:56.073 --> 00:42:56.993]  So there was nowhere to go.
[00:42:56.993 --> 00:42:58.995]  Now, they were trying to set a precedent.
[00:43:00.148 --> 00:43:00.889]  They're not protesting.
[00:43:22.586 --> 00:43:29.513]  Gerard returned to San Francisco from the Philippines May 7th and was immediately arrested on four counts of conspiracy, stealing government documents.
[00:43:29.513 --> 00:43:38.802]  The stolen records and police intelligence files were ordered destroyed in 1990 and contain information on thousands of individuals and hundreds of groups ranging across the political spectrum.
[00:43:38.802 --> 00:43:44.447]  Some 1,200 of the individuals listed on his files are Arab Americans who have never broken any laws.
[00:43:44.447 --> 00:43:46.089]  And it goes in to talk about
[00:43:47.663 --> 00:43:55.547]  The Anti-Defamation League basically hiring police officers and police departments all over California to give them these files.
[00:43:55.547 --> 00:43:57.728]  But now they don't even need to do that.
[00:43:57.728 --> 00:44:02.650]  Now they can just go and get paid by the government and be tied into Homeland Security.
[00:44:02.650 --> 00:44:05.632]  So you've got a foreign power who's been caught spying on the U.S.
[00:44:05.632 --> 00:44:12.735]  over and over again, now being paid to advise Homeland Security, now being paid to be inside Homeland Security and to spy on the American people.
[00:44:12.915 --> 00:44:17.861]  Yeah, and if you go ask a question about it, they're going to send, you know, sick the sheriff on you, which is what they did to us.
[00:44:17.861 --> 00:44:19.383]  You know, we went up there.
[00:44:19.383 --> 00:44:21.246]  You can see it all in Police State 4.
[00:44:21.246 --> 00:44:23.168]  We laid it all out on the line.
[00:44:23.168 --> 00:44:27.874]  We drove up, it was me and Jason Burmas, asked to speak to the PAO.
[00:44:27.874 --> 00:44:28.796]  He finally comes out.
[00:44:30.037 --> 00:44:31.277]  You know, we asked him a couple questions.
[00:44:31.277 --> 00:44:35.778]  He doesn't want to answer anything on camera, doesn't want to talk to us, doesn't like our credentials.
[00:44:35.778 --> 00:44:41.820]  Says it's the middle of the night when it was, you know, 7.50 p.m., you know, in the evening.
[00:44:41.820 --> 00:44:43.660]  It wasn't that late.
[00:44:43.660 --> 00:44:52.142]  We leave, a car follows us as we're leaving, gets off after an exit and does a turnaround, but they were waiting for us on the opposite side of the road, facing the opposite direction.
[00:44:52.142 --> 00:44:54.383]  They turn around and get behind us.
[00:44:55.063 --> 00:45:03.991]  And you know, and then we get back to the hotel and then all of a sudden, Jason Douglas, who wasn't even there with us, he got a call because, you know, we got the rental car in his name.
[00:45:03.991 --> 00:45:09.036]  So they traced it down from the license plate and got the rental car company.
[00:45:09.036 --> 00:45:12.019]  And then we're sticking the sheriff on him, telling him, well, you might be terrorists.
[00:45:12.019 --> 00:45:13.140]  We're worried about you guys.
[00:45:14.372 --> 00:45:19.217]  All we were doing was covering the event and following up on a lead that we got sent to us.
[00:45:19.217 --> 00:45:20.658]  And that's against the law, I guess.
[00:45:20.658 --> 00:45:21.759]  Guys, you can zoom in.
[00:45:21.759 --> 00:45:25.983]  Here's a Counterpunch article by Alexander Cockburn.
[00:45:25.983 --> 00:45:32.168]  Counterpunch, ADL snoops, and then it gets into all the spying, really all over the country with police departments.
[00:45:32.168 --> 00:45:34.731]  And it's the ADL that trains the police departments.
[00:45:35.151 --> 00:45:47.548]  So if they've been caught buying off cops, having cops give them the files, who then later go to work for them, why is the ADL then now, 15 years later, in even more control of our police?
[00:45:47.548 --> 00:45:48.249]  That's pretty scary.
[00:45:50.948 --> 00:45:59.923]  It makes you wonder who's running things, who is really running the power structure there because the police are supposed to be local and that's why they bring these chief of police from out of town.
[00:45:59.923 --> 00:46:01.665]  They don't have any ties to the community.
[00:46:01.665 --> 00:46:04.230]  Our sheriff, our police chief now, he's from LA.
[00:46:05.643 --> 00:46:08.065]  And probably the next guy will be from, you know, somewhere else.
[00:46:08.065 --> 00:46:09.146]  It'll probably be from Afghanistan.
[00:46:09.146 --> 00:46:14.430]  Oh no, they admittedly have a special federal government commission that recommends the chiefs.
[00:46:14.430 --> 00:46:20.274]  And when Arte Saavedra was about to get the job a few months ago for Dallas Police Chief, it said the feds were recommending him.
[00:46:20.274 --> 00:46:21.935]  Oh yeah, if he plays ball.
[00:46:21.935 --> 00:46:23.977]  But they were also recommending some other ones.
[00:46:23.977 --> 00:46:25.378]  So this is what they do.
[00:46:25.378 --> 00:46:34.025]  Yeah, I mean, you know, entrapping people with illegal gun buys, you know, having an illegal go in and pose and buy a gun, you know, that was all set up through the local police.
[00:46:34.867 --> 00:46:44.858]  And, you know, where in the Constitution does it say, you know, the local police should go out and set up sting operations for people selling firearms?
[00:46:44.858 --> 00:46:46.259]  You know, the guy had a license.
[00:46:46.259 --> 00:46:50.784]  How is he supposed to know it's not, you know, his license isn't real or that guy's an illegal?
[00:46:50.784 --> 00:46:51.465]  How is he supposed to know?
[00:46:51.465 --> 00:46:57.371]  No, the government gives the illegal aliens driver's license and they go buy a gun, lie about it, and it's fine.
[00:46:57.571 --> 00:46:57.891]  Yeah.
[00:46:57.891 --> 00:47:01.874]  Because, hey, you're helping put American veterans in prison, and that's the enemy.
[00:47:01.874 --> 00:47:05.016]  Remember what these ADL, Southern Poverty Law Center, reports.
[00:47:05.016 --> 00:47:06.737]  They're all aimed at the American people.
[00:47:06.737 --> 00:47:15.964]  They're all aimed at gun owners, conservatives, libertarians, and you've got all these Glenn Beck-type neocons that worship anything Israel does, and meanwhile, they're the ones being spied on and put in the files.
[00:47:16.104 --> 00:47:17.445]  Yeah, and they don't realize it.
[00:47:17.445 --> 00:47:20.086]  They're just doing the work for them, I guess.
[00:47:20.086 --> 00:47:22.627]  You've got these... Well, look at Israel itself.
[00:47:22.627 --> 00:47:26.169]  There's a lot of people that don't like some of the corrupt things Israel does in Israel.
[00:47:26.169 --> 00:47:34.334]  And if media people report they have something worse in Israel than what England has with the denotices, the government will say you're not allowed to report on that.
[00:47:34.334 --> 00:47:36.975]  They'll actually go arrest scientists or reporters.
[00:47:36.975 --> 00:47:38.576]  I mean, Israel is a police state.
[00:47:39.662 --> 00:47:41.504]  And this is what governments do.
[00:47:41.504 --> 00:47:48.833]  They try to come in and buy influence in governments and get power because Israel wants all of those tens of billions of dollars in aid the U.S.
[00:47:48.833 --> 00:47:49.393]  gives them.
[00:47:49.393 --> 00:47:50.875]  But I support Ron Paul.
[00:47:50.875 --> 00:47:52.277]  I say get rid of all the foreign aid.
[00:47:53.271 --> 00:47:54.412]  Yeah, exactly.
[00:47:54.412 --> 00:47:57.436]  You know, and let's see what these countries do now, you know.
[00:47:57.436 --> 00:47:59.218]  Take the money and, you know, spend it here.
[00:47:59.218 --> 00:48:00.679]  But that's just the aid we know about.
[00:48:00.679 --> 00:48:03.883]  Then you have all these hundreds of Israeli groups and others.
[00:48:03.883 --> 00:48:10.550]  There's a lot of British intel groups operating, but Israel's the lion's share, operating domestically, spying on us.
[00:48:10.550 --> 00:48:10.811]  Right.
[00:48:10.811 --> 00:48:14.495]  I mean, I have the ADL Southern Poverty Law Center saying I'm the Grand Poobah, the great enemy.
[00:48:15.973 --> 00:48:16.854]  And you know why?
[00:48:16.854 --> 00:48:20.378]  Because they really hate me because I'm not a white supremacist.
[00:48:20.378 --> 00:48:22.139]  Because I protest the Klan.
[00:48:22.139 --> 00:48:25.102]  Because I'm against any group that's violating people's rights.
[00:48:25.102 --> 00:48:32.330]  And I put out the info in a way that is widely accepted and palatable and that isn't racial or religious or bigoted.
[00:48:32.330 --> 00:48:34.952]  That's why the government's been caught funding Hal Turner.
[00:48:37.555 --> 00:48:40.779]  I saw another article out of Florida, white supremacist rallies.
[00:48:40.779 --> 00:48:42.100]  They're all feds.
[00:48:42.100 --> 00:48:43.202]  We see them all the time.
[00:48:43.202 --> 00:48:45.724]  German white supremacists that comes out are feds.
[00:48:45.724 --> 00:48:48.468]  Because they're there to say, we don't like the Federal Reserve.
[00:48:48.468 --> 00:48:49.429]  We don't like the war.
[00:48:49.429 --> 00:48:53.914]  And by the way, you know, let's kill all the Jews to make it sound horrible.
[00:48:53.914 --> 00:48:55.596]  Well, that's why those groups are being funded.
[00:48:56.889 --> 00:49:03.512]  You see, because all we're fighting is organized crime, whether it's British organized crime, Israeli organized crime, Federal Reserve organized crime.
[00:49:03.512 --> 00:49:08.294]  Everybody's against organized crime, whether you're German, Chinese, Jewish, Mexican.
[00:49:08.294 --> 00:49:12.436]  See, I'm against the out-of-control Jewish Mafia.
[00:49:12.436 --> 00:49:16.117]  I'm against the MS-13 Mechilla Raza crowd.
[00:49:16.117 --> 00:49:17.438]  That's all that is, is a gang.
[00:49:18.789 --> 00:49:23.475]  And then they use political correctness to make people who aren't corrupt stand down and put up with the corruption.
[00:49:23.475 --> 00:49:26.118]  Oh, you don't like foreign Mossad spying on you?
[00:49:26.118 --> 00:49:30.043]  You don't like them putting out lists of citizens to be snatched and grabbed off the street?
[00:49:30.043 --> 00:49:34.469]  Oh, you don't like them lobbying to have, you know, Ohio ban people's rallies?
[00:49:34.469 --> 00:49:36.051]  Oh, well you must be a racist.
[00:49:38.103 --> 00:49:39.444]  See how that works?
[00:49:39.444 --> 00:49:41.326]  But it doesn't work anymore, do you?
[00:49:41.326 --> 00:49:46.390]  No, people are realizing that it's all a bunch of BS.
[00:49:46.390 --> 00:49:50.453]  The whole racist talk is getting old, and people are seeing through it.
[00:49:50.453 --> 00:49:52.074]  You can go onto the message boards.
[00:49:52.074 --> 00:49:55.337]  Anytime I read an article with a racist slant, I'll go down and read the comments.
[00:49:55.337 --> 00:49:58.139]  People are like, this is not really happening.
[00:49:58.139 --> 00:50:00.601]  Tea partiers are not racist people.
[00:50:00.601 --> 00:50:01.402]  They're people fed up.
[00:50:02.022 --> 00:50:03.463]  Because they're being taxed too much.
[00:50:03.463 --> 00:50:04.564]  They want to spend their money.
[00:50:04.564 --> 00:50:10.209]  Well, the feds are sending racists in and they can always find some camp follower useful idiots to be part of that.
[00:50:10.209 --> 00:50:10.529]  Oh, yeah.
[00:50:10.529 --> 00:50:12.370]  No, we're against corruption.
[00:50:12.370 --> 00:50:13.391]  Look at history.
[00:50:13.391 --> 00:50:16.874]  The Chinese government's always corrupt throughout history.
[00:50:16.874 --> 00:50:18.475]  The British government, constantly corrupt.
[00:50:18.475 --> 00:50:21.858]  The German government, the French government, the Japanese government.
[00:50:21.858 --> 00:50:23.820]  This is corruption we're fighting.
[00:50:23.820 --> 00:50:26.022]  They make the Italian mafia look like a little league.
[00:50:26.022 --> 00:50:27.002]  They really do.
[00:50:27.002 --> 00:50:29.985]  The amount of government corruption that's out there now, it's just, it's insane.
[00:50:30.225 --> 00:50:45.556]  And they've gotten away with it and they run all the main regulators to the point that Bloomberg can come out and put out reports where the major insurance companies made a deal with the government ten years ago to steal six million veterans' death benefits and the government says, we changed the rule, we're allowed to steal your money.
[00:50:45.556 --> 00:50:45.756]  Yeah.
[00:50:45.756 --> 00:50:50.960]  I mean, this, and then you protest it and they'll have an Israeli mob group spy on your butt.
[00:50:51.755 --> 00:50:52.396]  Yeah.
[00:50:52.396 --> 00:50:54.297]  I mean, people should be going out and protesting anyway.
[00:50:54.297 --> 00:50:54.658]  No, no, no.
[00:50:54.658 --> 00:50:56.179]  Yeah, exactly.
[00:50:56.179 --> 00:51:00.543]  The mafia today is just government agencies and private contractors.
[00:51:00.543 --> 00:51:02.985]  Are the threats of a biological attack to the U.S.
[00:51:02.985 --> 00:51:03.425]  real?
[00:51:03.425 --> 00:51:08.390]  If biological warfare is real, what should I know before it happens to protect my family?
[00:51:08.390 --> 00:51:16.777]  The answers to the unthinkable are inside a new book by Christian patriot and author Sam Adams, Pale Horse, How to Survive a Chemical or Biological Attack.
[00:51:17.097 --> 00:51:35.927]  Inside what's been called the must-have manual for surviving the attack and mass panic that will follow, you will learn what the actual biological and chemical threats are, how to respond to events that are almost certain to happen, what the government's response is likely to be, how some will take advantage of the chaos, and exactly how you should prepare to get pale horse.
[00:51:36.127 --> 00:51:43.090]  How to survive a chemical or biological attack in hard copy or immediate digital download, go to Biowarsurvival.com or call 877-327-0365.
[00:51:43.090 --> 00:51:43.390]  That's 1-877-327-0365.
[00:51:43.390 --> 00:51:44.710]  Or buy online at Biowarsurvival.com.
[00:51:44.710 --> 00:51:45.491]  That's B-I-O-W-A-R-survival.com.
[00:51:45.491 --> 00:51:47.251]  This is not your father's Biowarsurvival handbook.
[00:52:00.512 --> 00:52:05.475]  The question is, where should the American people draw their line in the sand?
[00:52:05.475 --> 00:52:06.476]  What have we got?
[00:52:06.476 --> 00:52:08.917]  A republic or a monarchy?
[00:52:08.917 --> 00:52:09.918]  A republic.
[00:52:09.918 --> 00:52:12.559]  It's based on a constitution which protects minority rights.
[00:52:12.559 --> 00:52:14.841]  Not democracy, not mob rule.
[00:52:14.841 --> 00:52:16.862]  Two wolves and a sheep voting on what's for dinner.
[00:52:16.862 --> 00:52:18.543]  So they think they own our land?
[00:52:18.543 --> 00:52:19.864]  They think they own our water?
[00:52:19.864 --> 00:52:20.464]  Children?
[00:52:20.464 --> 00:52:21.585]  Our education?
[00:52:21.585 --> 00:52:22.426]  Our money?
[00:52:22.426 --> 00:52:26.088]  We have to define who we are and what we will tolerate.
[00:52:26.428 --> 00:52:30.132]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:52:30.132 --> 00:52:31.414]  You are being warned.
[00:52:31.414 --> 00:52:32.435]  We have the facts.
[00:52:32.435 --> 00:52:33.596]  We have the Constitution.
[00:52:33.596 --> 00:52:34.518]  We have the Bill of Rights.
[00:52:34.518 --> 00:52:35.399]  We have common law.
[00:52:35.399 --> 00:52:37.922]  Knowledge is power, ladies and gentlemen.
[00:52:37.922 --> 00:52:41.706]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:52:41.806 --> 00:52:46.752]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:52:46.752 --> 00:52:48.254]  A new tool in the Info War.
[00:52:48.254 --> 00:52:49.335]  Don't tread on me.
[00:52:49.335 --> 00:52:55.763]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:53:02.230 --> 00:53:03.974]  What is a wind generator?
[00:53:03.974 --> 00:53:06.380]  How can the wind produce power for a small cabin?
[00:53:06.380 --> 00:53:09.748]  How can wind energy be stored and used during an emergency?
[00:53:09.748 --> 00:53:11.692]  Can I assemble my own wind generator?
[00:53:12.401 --> 00:53:16.284]  For answers to questions about wind power, visit windbluepower.com.
[00:53:16.284 --> 00:53:19.326]  Did you know the wind can provide your family with emergency power?
[00:53:19.326 --> 00:53:22.368]  It can, with a wind generator from windbluepower.com.
[00:53:22.368 --> 00:53:28.672]  Learn how our amazing Light Breeze Wind Generator Kit starts charging a 12-volt battery and just 6 miles per hour wind.
[00:53:28.672 --> 00:53:33.976]  Or see the new Cyclone X2 Dual Kit, featuring two wind generators on just one tower.
[00:53:33.976 --> 00:53:40.941]  And learn why schools and universities across the country utilize our products to teach about wind power and alternative energy at windbluepower.com.
[00:53:41.681 --> 00:53:46.705]  All kits qualify for a 30% IRS tax credit for residential energy efficient property.
[00:53:46.705 --> 00:53:51.649]  Enter coupon code RADIO for a 5% discount at windbluepower.com.
[00:53:51.649 --> 00:53:52.770]  That's windbluepower.com.
[00:53:52.770 --> 00:53:53.290]  Or call 800-976-0026.
[00:53:53.290 --> 00:53:53.650]  That's 800-976-0026.
[00:54:16.667 --> 00:54:20.510]  Let me read over some of this counterpunch article.
[00:54:20.510 --> 00:54:21.931]  This is from the mid-1990s.
[00:54:21.931 --> 00:54:27.136]  In fact, we'll give you a video screenshot of this if you're a PrisonPlanet.tv viewer.
[00:54:27.136 --> 00:54:31.920]  The headline is, where the spies journalist, the ADL snoops.
[00:54:33.001 --> 00:54:48.691]  And it goes on to say the ADL claims to be the nation's leading defender against prejudice and bigotry, but in this incident, targets were members of the African National Congress and its supporters, and apparently everyone, Arab and non-Arab, who had the temerity to criticize Israel.
[00:54:48.691 --> 00:54:55.155]  This includes some who drove to Arab community events where the ADL's fact finder, Roy Bullock,
[00:54:55.695 --> 00:55:05.818]  And the cop, Tom Gerrard, this is just one case of many, took turns writing down their license plates, which Gerrard, in turn, ran the addresses through the California Motor Vehicles record.
[00:55:05.818 --> 00:55:07.059]  That's illegal.
[00:55:07.059 --> 00:55:16.842]  The spying efforts proved to be part of a much larger intelligence-gathering operation targeting some 12,000 individuals and more than 600 left-of-center organizations in Northern California.
[00:55:16.842 --> 00:55:23.164]  After the first flurry of publicity, the ADL spin doctor successfully kept the story from receiving the national coverage that the situation warranted.
[00:55:23.164 --> 00:55:24.425]  But the story hasn't gone away.
[00:55:25.325 --> 00:55:34.267]  Last November, the California Court of Appeals handed down a decision that paves the way for a major test later this year of the ADL's penchant for spying on its enemies.
[00:55:34.267 --> 00:55:40.229]  It was the most significant episode in a slow-moving class action suit filed in 93.
[00:55:40.229 --> 00:55:44.410]  And then it just goes on from there, and all the other police departments where it was going on.
[00:55:44.410 --> 00:55:44.550]  Now...
[00:55:47.591 --> 00:55:57.375]  We now fast forward to 2010, Pennsylvania Homeland Security employed Israeli company to suppress American political speech.
[00:55:57.375 --> 00:56:05.538]  And it turns out at the G20, they would finger a group they were spying on, left, right, didn't matter, then they would send SWAT teams to arrest them.
[00:56:05.538 --> 00:56:15.302]  And now this year they've been caught $125,000 to spy on Tea Party groups and then list them as potential terrorists.
[00:56:15.302 --> 00:56:16.543]  Mainline Tea Parties.
[00:56:19.531 --> 00:56:26.274]  And they've got The Nation reporting Blackwater's doing similar things, now known as XC.
[00:56:26.274 --> 00:56:27.374]  It is a free-for-all.
[00:56:27.374 --> 00:56:43.460]  There are tens of billions of dollars conservatively spent every year for defense contractors to have HUMET, human intelligence on the ground, digital intelligence, surveillance, and they're just in there spying on everybody, and it's so illegal.
[00:56:44.707 --> 00:56:49.671]  And the governor's now apologizing, saying, oh, this is illegal, I'm sorry, and lawsuits are flying.
[00:56:49.671 --> 00:56:51.813]  All of this is going on.
[00:56:51.813 --> 00:56:57.058]  And in mainline environmental groups, land rights groups, you're all being spied on.
[00:56:57.058 --> 00:56:58.579]  But don't let that scare you.
[00:56:58.579 --> 00:57:09.809]  The bad guys are spying on you because they know that you know that the government's out of control, and that different mafias have come in and bought off the Congress, and it's a free-for-all.
[00:57:11.690 --> 00:57:15.855]  See, we've always had corruption, but now it's really going to seed.
