[00:00:00.269 --> 00:00:08.394]  Alex Jones on the GCN Radio Network.
[00:26:53.059 --> 00:26:59.421]  Of course, normally what happens is those little skinny guys turn into badasses, as they say, because they've been beat up so many times.
[00:27:00.022 --> 00:27:06.184]  But the point is, is that you don't want to act like a little scared skinny guy as a society.
[00:27:07.642 --> 00:27:14.688]  You want to commit to stop being cowardly and not just put on the air of being strong.
[00:27:14.748 --> 00:27:15.649]  You need to do it.
[00:27:15.709 --> 00:27:16.870]  I mean, I'm talking to all of you.
[00:27:17.211 --> 00:27:25.078]  You need to be down at your city council this week speaking up against the police state, speaking up against federalization of police, speaking up against
[00:27:25.838 --> 00:27:30.665]  The corruption going on, GMO foods, the impending war with Iran.
[00:27:30.685 --> 00:27:31.947]  You need to be at your statehouse.
[00:27:32.247 --> 00:27:33.469]  You need to drive to your statehouse.
[00:27:33.489 --> 00:27:34.731]  I don't care if it's 200 miles away.
[00:27:34.751 --> 00:27:38.996]  You need to find out who your representative is, your legislator, and go in and talk to them.
[00:27:39.793 --> 00:27:43.996]  You need to set a date a month from now at the local library to have a video screening.
[00:27:44.356 --> 00:27:49.140]  And then put up flyers around town and say, Fall of the Republic screening this Saturday at 5 p.m.
[00:27:49.700 --> 00:27:53.063]  An important film about the economic implosion and who's behind it.
[00:27:53.163 --> 00:27:54.644]  Or the Obama deception.
[00:27:54.844 --> 00:27:57.026]  Or invisible empire in order to find.
[00:27:58.507 --> 00:28:00.048]  Think about PrisonPlanet.tv.
[00:28:00.388 --> 00:28:04.752]  Every subject covered, every guest you can imagine, every issue covered for six and a half years.
[00:28:05.412 --> 00:28:07.054]  Just tens of thousands of pieces of media.
[00:28:07.254 --> 00:28:10.116]  You go in there, you pick what you want, you burn it to CD, you burn it to disk.
[00:28:10.436 --> 00:28:11.898]  It's all there with easy to use tools.
[00:28:12.198 --> 00:28:13.979]  You give that material to people.
[00:28:14.239 --> 00:28:17.522]  You got a wife that's arguing with you about vaccines killing people?
[00:28:17.762 --> 00:28:27.410]  You can go download top brain surgeons, epidemiologists, virologists, scientists, EPA doctors, toxicologists, telling you it's deadly.
[00:28:28.268 --> 00:28:30.148]  You can give that to your wife or your husband.
[00:28:31.649 --> 00:28:37.270]  You want to know about martial law, FEMA camps, we've probably got 20, 30 or more shows in there about it.
[00:28:38.470 --> 00:28:51.713]  We've got police state for the rise of FEMA, the latest up-to-date Pentagon takeover operation, what's happening, a lot of this secret documents that a lot of people put themselves in danger to give us and we put ourselves in danger to publish.
[00:28:53.333 --> 00:28:57.314]  They got death squads after the head of WikiLeaks right now MSNBC is reporting.
[00:29:02.978 --> 00:29:04.182]  According to Daniel Ellsberg.
[00:29:04.203 --> 00:29:07.535]  Alright, I'm gonna shut up and go back to our guest.
[00:29:08.567 --> 00:29:10.408]  Max Keiser, MaxKeiser.com.
[00:29:11.388 --> 00:29:16.111]  Max, I want to go to calls here, but first the Iran situation.
[00:29:16.371 --> 00:29:18.232]  I mean, what concerns you the most in the world?
[00:29:18.692 --> 00:29:27.196]  All the experts I talk to, my common sense, my research of history, watching past events, Israel says they may nuke Iran at any time.
[00:29:27.656 --> 00:29:30.058]  I mean, A, do you think it's coming?
[00:29:30.158 --> 00:29:30.798]  B, when?
[00:29:30.938 --> 00:29:34.540]  And C, what will the aftermath be from your research?
[00:29:36.055 --> 00:29:40.639]  Well, I don't understand why Israel is determining America's foreign policy.
[00:29:41.300 --> 00:29:42.080]  When did that happen?
[00:29:42.261 --> 00:29:47.085]  Is Israel America's 51st state, or what's going on there?
[00:29:48.586 --> 00:29:54.411]  In other words, it seems like America's outsourced their foreign policy to AIPAC.
[00:29:55.572 --> 00:29:58.515]  And their interests are not the same as the United States' interests.
[00:29:59.509 --> 00:30:00.490]  It's not the same country.
[00:30:00.610 --> 00:30:01.591]  We don't have the same interests.
[00:30:02.031 --> 00:30:07.134]  They're a small country surrounded by their perceived enemy, and they're extremely paranoid.
[00:30:07.475 --> 00:30:18.782]  Now when you have them, Israelis, formulating America's foreign policy, that paranoia has penetrated the inside of a Washington policymaker.
[00:30:18.802 --> 00:30:25.327]  So America now sees itself as a small, ineffective country surrounded by its perceived enemies.
[00:30:25.387 --> 00:30:26.608]  Where did they get that thought from?
[00:30:27.268 --> 00:30:28.529]  Not from the Founding Fathers.
[00:30:28.569 --> 00:30:29.529]  They got it from Israel.
[00:30:30.130 --> 00:30:31.250]  Well, I think it's more than that.
[00:30:31.310 --> 00:30:38.094]  I mean, they want oil, they want weapons sales, they want to encircle China and Russia, and that's part of Zbigniew Brzezinski's grand strategy.
[00:30:38.114 --> 00:30:46.859]  But I agree, there is a... Well, I mean, you know, the former head of Israeli Defense Forces said we must act like a mad dog so that the Arabs are scared of us.
[00:30:47.179 --> 00:30:48.600]  We've got to be extremely aggressive.
[00:30:49.580 --> 00:30:52.502]  And then the $100 billion that the U.S.
[00:30:52.562 --> 00:30:58.225]  has given Israel illegally because you can't give aid to a nuclear-armed country.
[00:30:58.265 --> 00:30:59.366]  That's completely illegal.
[00:30:59.746 --> 00:31:02.348]  How about give me back the $100 billion?
[00:31:02.388 --> 00:31:03.849]  Give America back the $100 billion?
[00:31:04.089 --> 00:31:06.470]  And you can be all the mad dog all day long.
[00:31:06.570 --> 00:31:10.673]  But, you know, give me my money first that you owe me, which I figured out they owe me personally about $2,300.
[00:31:10.793 --> 00:31:15.515]  If I figure out my tax, you know, for the last 25 years.
[00:31:16.796 --> 00:31:20.381]  Uh, give me back my $2,500 and then you can be a mad dog all day.
[00:31:20.862 --> 00:31:23.485]  But don't be doing it in my name with my money.
[00:31:23.505 --> 00:31:24.867]  It's not in my interest.
[00:31:25.287 --> 00:31:27.751]  We've got nothing compatible.
[00:31:27.791 --> 00:31:29.213]  We don't have any interest together.
[00:31:29.373 --> 00:31:32.357]  So just be your mad dog self but not with my money.
[00:31:32.981 --> 00:31:38.985]  Well, I mean, Israel's got 400 high-tech nukes, high-tech cruise missiles, jets, bombers, tanks.
[00:31:39.485 --> 00:31:41.286]  I mean, Israel does not need our help.
[00:31:42.127 --> 00:31:45.589]  And if they want to start World War III, I mean, that's their business.
[00:31:46.509 --> 00:31:48.670]  But there is going to be blowback on this country.
[00:31:48.771 --> 00:31:51.992]  And we know the policy is this nation's going to be involved.
[00:31:52.373 --> 00:31:53.493]  And Israel knows that.
[00:31:55.000 --> 00:32:01.602]  The larger interests, the big banks, the military-industrial complex, they want a new war as a political distraction, Max.
[00:32:01.922 --> 00:32:04.003]  What do you mean there will be blowback?
[00:32:04.043 --> 00:32:05.704]  What do you think 9-11 was all about?
[00:32:05.804 --> 00:32:06.804]  That is blowback!
[00:32:07.645 --> 00:32:14.347]  Well, Max, you know that I... On record, I mean, I believe 9-11 was completely staged.
[00:32:16.024 --> 00:32:34.695]  Well, let me, speaking about 9-11 for a second, you know, and talking about the economics, David Callahan, who is the Executive Editor of a magazine called Smart CEO, he submitted a Freedom of Information Act, this is pretty recent now, to the SEC regarding pre-9-11 put options.
[00:32:35.115 --> 00:32:37.356]  I just picked this up off of Zero Head.
[00:32:37.416 --> 00:32:41.298]  The article is, SEC, Government Destroyed Documents Regarding Pre-9-11 Put Options.
[00:32:43.163 --> 00:32:48.346]  And they came back and they told him that these documents were destroyed.
[00:32:48.726 --> 00:32:52.749]  Not that they lost them, or not that they needed to keep them, but that they were destroyed.
[00:32:53.089 --> 00:33:03.495]  So he's got an article coming out in the August edition of Executive Editor Smart's CEO Magazine about his freedom of information request from the SEC, and they come back to him and say,
[00:33:04.494 --> 00:33:06.335]  These, this information was destroyed.
[00:33:06.755 --> 00:33:19.101]  Now, concurrently, I've got a project on my pirate, my film site, which is called 9-11 Jackpot, and it's being produced and directed by a friend of mine here in Paris.
[00:33:19.855 --> 00:33:29.301]  Who is really digging in to this one piece of the story, the put options that were bought on United Airlines and American Airlines.
[00:33:29.661 --> 00:33:37.886]  Obviously, if you look at this closely, with pre-knowledge of the event, to me this has always been the smoking gun.
[00:33:38.346 --> 00:33:42.589]  And the 9-11 official report gives it very little attention.
[00:33:43.710 --> 00:33:48.314]  Well, it's one smoking gun of literally about a hundred, but it is one of the ones that's really bonafide.
[00:33:48.434 --> 00:34:03.048]  Record put options, not against airlines, but against American and United, specifically leading back, the German papers reported, to Buzzy Krongaard, executive director of the CIA, who was also heading up a big brokerage firm at the time.
[00:34:03.629 --> 00:34:09.460]  Yeah, Alex Brown and Son, which I was working at Alex Brown and Son, and I've met Buzzy Krongaard.
[00:34:10.041 --> 00:34:10.201]  Ah!
[00:34:10.301 --> 00:34:11.183]  Stop the presses!
[00:34:11.944 --> 00:34:13.026]  Let's rewind.
[00:34:13.427 --> 00:34:14.489]  Let's flesh that out.
[00:34:15.170 --> 00:34:15.812]  I didn't know that.
[00:34:15.952 --> 00:34:16.272]  Go ahead.
[00:34:16.929 --> 00:34:34.922]  Yeah, no, I worked at Alex Brown, and I've met Buzzy Krongaard, and down in Baltimore, where Alex Brown had their headquarter, he then took a job over with George Tenet at the CIA, as a deputy director over at the CIA, and the amount of information that flows between the CIA and
[00:34:35.502 --> 00:34:46.955]  Baltimore-based brokerage firm down there in Maryland is enormous, and there's a tremendous amount of chatter between George Senate and the brokers of Alex Brown, where these trades were originated.
[00:34:47.515 --> 00:34:53.202]  The fact that the stock market was closed for several days after the attacks, they didn't anticipate this.
[00:34:53.842 --> 00:35:07.636]  Which is why you had over two million dollar profits were uncollected on these put options because they weren't able to close them out on the same day and journal that money somewhere where it couldn't be found because the markets were closed because they closed the stock exchange.
[00:35:08.280 --> 00:35:12.863]  But so Buzzy was at Alex Brown, and I know plenty of people at Alex Brown.
[00:35:13.023 --> 00:35:27.872]  And also, I also have another interesting tie to this because my company, the Hollywood Stock Exchange, was bought by Cantor Fitzgerald and moved to the top floor of the World Trade Towers just three months before the attacks.
[00:35:28.413 --> 00:35:34.537]  So I had people who I knew from HSX who were in the towers, and I also knew people at Alex Brown.
[00:35:35.097 --> 00:35:37.858]  So I was privy to a lot of chatter.
[00:35:38.398 --> 00:35:51.623]  And part of what I've been helping this guy explore in his film, 9-11 Jackpot, is to really dig down and look at these puts and to look at what I call the mystery of broker zero.
[00:35:52.183 --> 00:35:59.666]  And this is the mystery of what I have a very strong feeling that I'm going to explore in this film about
[00:36:00.885 --> 00:36:14.993]  A broker that was actually speculating on their own demise, basically buying these puts on these airline stocks unknowingly, unknowing that they were actually speculating on their own demise.
[00:36:15.394 --> 00:36:21.137]  I think this is a fantastic story because it epitomizes the entire American business model today.
[00:36:21.597 --> 00:36:22.678]  Suicide bankers,
[00:36:23.460 --> 00:36:33.765]  uh... banking jihadis destroying the economy for a quick buck for a failed ideology and they're just actually just throwing the entire economy under the bus.
[00:36:36.446 --> 00:36:37.587]  Well said Max Keiser.
[00:36:37.627 --> 00:36:46.391]  Now I want to go to telephone calls for you on a host of issues but first I had read the cyber security bill
[00:36:47.782 --> 00:36:48.742]  It was all over the news.
[00:36:48.762 --> 00:36:50.803]  Headline, Obama to have kill switch.
[00:36:51.923 --> 00:36:54.003]  And Lieberman came out on CNN yesterday.
[00:36:54.023 --> 00:36:56.944]  We're going to play that clip coming up early in the next hour.
[00:36:58.084 --> 00:37:01.044]  The video, folks want to watch it in its entirety, is in the article.
[00:37:01.604 --> 00:37:04.525]  Lieberman, China can shut down the Internet.
[00:37:04.865 --> 00:37:05.765]  Why can't we?
[00:37:06.505 --> 00:37:07.325]  And that's a quote in there.
[00:37:07.365 --> 00:37:09.046]  He said, well, China can shut down the Internet.
[00:37:09.686 --> 00:37:10.386]  Why can't we?
[00:37:10.446 --> 00:37:11.566]  It's for our own security.
[00:37:12.306 --> 00:37:15.527]  The Financial Times of London, FCC and move to regulate Internet.
[00:37:16.622 --> 00:37:31.391]  uh... says that they're gonna have a bull by box at all the i s p's but also in your home that your tv and your internet is wired through they will both surveil what you're watching and doing this is all openly you know had been blamed you
[00:37:33.109 --> 00:37:55.985]  in a three to two vote along party lines it passed and that the box will also block what you're allowed to see and that they're going to quote tax the alternative media for a quote government megaphone to fund new government propaganda that will be bought and purchased on mainstream television so the government taking over the mainstream dominant media
[00:37:56.966 --> 00:38:00.048]  Shutting down the alternative media and taxing what's left.
[00:38:00.508 --> 00:38:03.090]  I mean, I can't even believe how bold this is.
[00:38:03.390 --> 00:38:06.292]  This is light years ahead of what Communist China does.
[00:38:06.652 --> 00:38:12.315]  They just have ISP firewalls and keyword and web address blockers.
[00:38:12.635 --> 00:38:16.677]  This is going to have that with the NSA controlling all ISPs.
[00:38:18.539 --> 00:38:24.062]  That's only part of it, but then also a black box in your house or business with everything wired through it.
[00:38:24.382 --> 00:38:25.823]  I mean, Max Keiser, this is
[00:38:28.047 --> 00:38:30.669]  I can't even believe I'm actually seeing them do this.
[00:38:30.709 --> 00:38:31.870]  I mean, this is shocking me.
[00:38:33.492 --> 00:38:51.046]  Okay, well, clearly the ability to survey at this level is coming online because the technology associated with it is following what's called the asymptotic curve, which is the curve toward zero cost.
[00:38:51.647 --> 00:38:57.931]  All of the technology involved is getting cheaper every single month for storage, processing, and broadband.
[00:38:58.771 --> 00:39:06.896]  Now, the question is, everyone's going to be surveyed, and everyone is going to have their life completely known by the Fed.
[00:39:07.256 --> 00:39:10.898]  So, how are you going to incentivize these people to actually do some work?
[00:39:11.719 --> 00:39:14.662]  Uh, when they've basically been, their lives have been shattered.
[00:39:15.042 --> 00:39:20.727]  And this is where I think you're going to find a trend toward more and more legalized gambling.
[00:39:21.467 --> 00:39:27.753]  And in the States, this past week, now they're talking about legalizing online gambling in a big, big way.
[00:39:28.313 --> 00:39:32.897]  So you've got, this is, as you can tell, I'm leading up to my theme here of a casino gulag.
[00:39:33.584 --> 00:39:48.408]  So you've got people who are stuck in their homes in front of their computers being watched 24-7 but tolerated because they're able to gamble freely on the internet in the hopes that someday they'll hit the lucky number and they'll escape prison.
[00:39:48.869 --> 00:39:50.369]  And millions and millions of people will...
[00:39:50.489 --> 00:39:51.229]  Oh, that's right!
[00:39:51.329 --> 00:39:59.133]  You said here two years ago that we were going to have debtor prisons again when we first started interviewing you, and now the headlines are all over the U.S.
[00:39:59.213 --> 00:39:59.553]  news.
[00:40:00.054 --> 00:40:01.434]  In prison for debt, $300.
[00:40:01.974 --> 00:40:02.915]  Two months in jail, $365.
[00:40:03.675 --> 00:40:03.715]  Or $366.
[00:40:03.815 --> 00:40:05.756]  In fact, pull up the actual headline.
[00:40:05.836 --> 00:40:09.478]  Woman loses home for $360-something was the headline over unpaid water bill.
[00:40:09.498 --> 00:40:11.779]  I mean, they are now creating debtor prisons.
[00:40:20.695 --> 00:40:21.555]  I'm glad you brought that up.
[00:40:21.715 --> 00:40:24.936]  I did bring it up on your show originally, and it's from thestartribune.com.
[00:40:25.036 --> 00:40:26.257]  In jail for being in debt.
[00:40:27.137 --> 00:40:28.658]  And this is becoming a huge trend.
[00:40:29.438 --> 00:40:33.979]  People are finding themselves thrown in jail for having $200 or $300 in debt.
[00:40:34.499 --> 00:40:40.121]  And you have debt peonage and serfs, basically, as you go into this casino gulag model.
[00:40:40.461 --> 00:40:48.404]  And you throw people in the gulag, and you put them in front of a computer screen, and you give them credits to gamble with.
[00:40:49.179 --> 00:40:56.462]  And as long as they keep feeding the machine, which in this case is to just keep turning over these credits.
[00:40:56.522 --> 00:40:57.482]  Well, that's what they say.
[00:40:57.542 --> 00:41:10.287]  They say that of the new debtor prisons that you're going to do customer service, internet service from a distance, and that now everyone will be working in these private prisons paying off their debts.
[00:41:10.627 --> 00:41:12.228]  That's called forced labor camps.
[00:41:13.619 --> 00:41:14.120]  Absolutely.
[00:41:14.260 --> 00:41:17.864]  And people are willingly marching into these into these casino gulags.
[00:41:18.344 --> 00:41:21.067]  I've been saying this for a couple years.
[00:41:21.167 --> 00:41:28.495]  I'd like to put my name attached to this concept because it's happening in real time and it's getting more evidence of it every day.
[00:41:28.635 --> 00:41:31.118]  And they've got computers that they admit that they've wargamed.
[00:41:31.158 --> 00:41:32.379]  The headline a few months ago was 93%
[00:41:34.717 --> 00:41:36.418]  Of people that own cell phones.
[00:41:36.438 --> 00:41:41.880]  They have a 93% accuracy rate of knowing where you're physically going to drive or go next.
[00:41:42.301 --> 00:41:48.444]  Just after a few months tracking you by GPS, they know the hidden patterns before you even know it.
[00:41:48.464 --> 00:41:53.206]  And I've seen statistics of 99% accuracy on where you're going to surf next.
[00:41:54.511 --> 00:41:54.871]  After the...
[00:42:12.478 --> 00:42:25.238]  All kinds of tricks to predict your behavior, to put you in front of situations where you're likely to gamble in ways that you can't afford, and to put yourself into debt, and then they've got something for you to do now that you're in debtor's prison.
[00:42:26.182 --> 00:42:33.183]  All that technology comes from the casino industry, which is growing, and they're going to legalize online gambling.
[00:42:33.343 --> 00:42:37.104]  And that is a huge step towards... And we won't have any factories.
[00:42:37.224 --> 00:42:38.444]  We won't have any jobs.
[00:42:38.884 --> 00:42:40.885]  Literally, our daughters will all be hookers.
[00:42:41.485 --> 00:42:42.465]  That's all expanding.
[00:42:42.845 --> 00:42:46.546]  Men will work in casinos and then spend their earnings in the casinos.
[00:42:46.626 --> 00:42:55.167]  And when they get totally bankrupt, they go into the slave labor camp to then work for 25 cents an hour, displacing more of the real economy, or they'll be cop enforcers.
[00:42:55.407 --> 00:42:56.107]  Here's a question.
[00:42:56.388 --> 00:43:02.331]  If you have a septic system, did you know that proper maintenance can save you thousands of dollars in costly and unnecessary repairs?
[00:43:02.592 --> 00:43:03.572]  The answer is simple.
[00:43:03.972 --> 00:43:07.775]  Use septic system injector treatments made specifically for your home or business.
[00:43:08.075 --> 00:43:10.837]  Available only at SimpleSepticSolutions.com.
[00:43:11.177 --> 00:43:12.078]  Made in the U.S.
[00:43:12.278 --> 00:43:17.321]  Guaranteed to reduce sludge and odor by continuously cleaning your septic system, drain pipes, and leach field.
[00:43:17.601 --> 00:43:25.324]  This non-hazardous patented injector system contains billions of natural active bacteria and enzymes proven to digest household waste.
[00:43:25.584 --> 00:43:31.246]  With every flush, millions of enzyme active bacteria flow through your system, breaking down organic waste.
[00:43:31.587 --> 00:43:37.449]  Only Simple Septic Solutions natural eco-friendly products keep your septic system unclogged and free-flowing.
[00:43:37.629 --> 00:43:39.370]  Claims other products can't make.
[00:43:39.770 --> 00:43:42.491]  Installation is simple and lasts for four full months.
[00:43:42.811 --> 00:43:44.895]  Visit SimpleSepticSolutions.com.
[00:43:45.156 --> 00:43:46.639]  That's SimpleSepticSolutions.com.
[00:43:46.719 --> 00:43:47.180]  Or call 508-759-0010.
[00:43:47.420 --> 00:43:47.621]  That's 508-759-0010.
[00:43:57.512 --> 00:43:58.873]  You're subject to other police action.
[00:43:59.674 --> 00:44:00.615]  Tyranny is here.
[00:44:00.935 --> 00:44:04.479]  The grim future foretold in 1984 has become reality.
[00:44:04.499 --> 00:44:07.101]  It really says that the state is God.
[00:44:07.121 --> 00:44:12.566]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:44:12.986 --> 00:44:19.192]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:44:19.631 --> 00:44:25.175]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:44:25.595 --> 00:44:29.278]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:44:29.798 --> 00:44:33.821]  Prepare to enter the secretive world of emergency dictatorship.
[00:44:34.081 --> 00:44:39.645]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:44:40.046 --> 00:44:42.928]  It's only the beginning of the New World Order's hellish plan.
[00:44:43.568 --> 00:44:44.990]  The police state isn't coming.
[00:44:45.550 --> 00:44:46.030]  It's here.
[00:44:46.671 --> 00:44:53.677]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:44:55.399 --> 00:44:58.602]  So you think the massive Gulf oil leak won't affect the air you breathe?
[00:44:59.142 --> 00:44:59.643]  Think again.
[00:45:00.453 --> 00:45:07.938]  Benzene, a toxic gas emitted from crude oil and a known carcinogen, is now airborne traveling hundreds, even thousands of miles inland.
[00:45:08.098 --> 00:45:15.083]  Whether you live near the Gulf or not, benzene and other volatile organic compounds could cause adverse reactions to those living inside your home.
[00:45:15.343 --> 00:45:23.589]  NOAA, the National Oceanic and Atmospheric Administration, came to airfiltersandpurifiers.com for answers on how to clean the air on boats aiding in the Gulf cleanup.
[00:45:23.909 --> 00:45:24.770]  Do what NOAA did.
[00:45:24.990 --> 00:45:29.333]  Contact airfiltersandpurifiers.com and ask about the Health Mate Plus.
[00:45:29.593 --> 00:45:34.577]  The Health Mate Plus is capable of trapping 99.97% of all polluting particulates.
[00:45:34.877 --> 00:45:40.041]  Buy the Health Mate Plus today with no tax, free shipping, a five-year warranty, and a 30-day money-back guarantee.
[00:45:40.261 --> 00:45:42.463]  Go to airfiltersandpurifiers.com.
[00:45:42.623 --> 00:45:46.426]  GCN listeners get a 5% discount by using promo code GCN.
[00:45:46.526 --> 00:45:53.531]  Call 800-499-2418 or go to airfiltersandpurifiers.com, your trusted advisor for clean air.
[00:46:00.011 --> 00:46:00.853]  I don't know.
[00:46:10.094 --> 00:46:12.276]  Alright, we're going to your calls with Max Keiser.
[00:46:12.296 --> 00:46:20.125]  We're going to talk about the WikiLeaks situation, and the parliament voting in Iceland to make it an internet free zone for the free press.
[00:46:20.705 --> 00:46:23.508]  Maybe the only place in the world where you've got freedom on the internet.
[00:46:23.708 --> 00:46:28.333]  Problem is, then the globalists will simply block internet communication out of the country.
[00:46:29.174 --> 00:46:32.397]  But then anything you try to keep people from getting, they go after.
[00:46:33.371 --> 00:46:43.302]  And so, one way or another, the genie's out of the bottle, the horse already left the barn, the cat's out of the bag, that train already left the station, you know, all those clichés.
[00:46:43.762 --> 00:46:47.546]  I don't see the system being able to clamp down on it, but if you want to read the article, it's amazing.
[00:46:47.566 --> 00:46:49.388]  I'm going to play the video coming up in the next hour.
[00:46:49.789 --> 00:46:50.249]  Lieberman...
[00:46:51.010 --> 00:46:53.273]  Says China can shut down the internet, why can't we?
[00:46:53.313 --> 00:46:57.638]  And that article is up at GCNLive.com.
[00:46:58.158 --> 00:47:03.665]  Another article up there, criminal investigation of BP, staged oil spill, vital to Gulf recovery.
[00:47:04.005 --> 00:47:05.807]  Also up at GCNLive.com.
[00:47:07.509 --> 00:47:13.073]  A golden response to economic decline from Bob Chapman up on GCNLive.com.
[00:47:13.774 --> 00:47:14.294]  Here's another one.
[00:47:14.314 --> 00:47:18.117]  States need to launch criminal investigation to BP, federal government's role in the oil spill.
[00:47:18.418 --> 00:47:21.220]  Paul Joseph Watson, GCNLive.com.
[00:47:21.520 --> 00:47:25.403]  Carbon tax on electricity to send prices skyrocketing.
[00:47:25.423 --> 00:47:26.924]  That's up on GCNLive.com.
[00:47:27.265 --> 00:47:29.006]  Oh, and by the way, I forgot to get to this.
[00:47:30.087 --> 00:47:31.228]  It's in my stack here.
[00:47:32.769 --> 00:47:34.631]  The European Union has announced
[00:47:35.854 --> 00:47:36.935]  Where is that in my stack?
[00:47:36.975 --> 00:47:38.377]  I can't keep track of anything anymore.
[00:47:39.458 --> 00:47:43.081]  They have announced that there'll be a ban on private family dwellings.
[00:47:43.301 --> 00:47:46.024]  You've got to live in big compact government buildings.
[00:47:46.444 --> 00:47:47.805]  The family is to be erased.
[00:47:48.126 --> 00:47:50.448]  The human species is to fully be removed.
[00:47:50.768 --> 00:47:52.730]  This is what the carbon taxes mean in the end.
[00:47:52.990 --> 00:47:54.632]  I will cover that in the next hour as well.
[00:47:55.172 --> 00:47:56.113]  Max, did you see that
[00:47:56.954 --> 00:48:05.421]  That article on the London Telegraph where they're announcing in the Euro that you're not going to be allowed to have your own home.
[00:48:05.721 --> 00:48:07.302]  You must live in government communes.
[00:48:07.362 --> 00:48:07.943]  How does that sound?
[00:48:09.324 --> 00:48:16.870]  It sounds like massive deflation, which is wracking the global economy and a trend that will continue for the foreseeable future.
[00:48:17.190 --> 00:48:23.916]  Deflation is really gathering speed and it's a huge economic problem.
[00:48:23.936 --> 00:48:26.238]  The housing market in the US is going to continue to crash.
[00:48:26.998 --> 00:48:34.621]  And, you know, you've got a big second wave of economic downturn which is now underway.
[00:48:35.102 --> 00:48:41.584]  But getting back about Iceland in terms of Europe, I mean, I think Iceland is the most interesting country in the world right now for the reasons that you just mentioned.
[00:48:41.604 --> 00:48:45.166]  They've got this new free zone for freedom of the press.
[00:48:45.926 --> 00:48:49.608]  And, you know, there's a country that got battered by the international banking system.
[00:48:49.848 --> 00:48:53.149]  They loaded them up with 10 times their GDP in debt.
[00:48:53.449 --> 00:48:55.070]  Then they pulled the rug out from underneath them.
[00:48:55.430 --> 00:48:56.391]  The economy crashed.
[00:48:56.431 --> 00:48:57.651]  The corona crashed.
[00:48:58.272 --> 00:48:59.892]  The economy's been decimated.
[00:49:00.373 --> 00:49:02.473]  And they're coming back from it, and they're saying, you know what?
[00:49:02.513 --> 00:49:10.637]  Let's reinvent ourselves, and let's do something that's going to be really positive for the globe, especially in the media space.
[00:49:10.677 --> 00:49:11.057]  That's right.
[00:49:11.157 --> 00:49:19.261]  Human ingenuity, just like the dot-com system, is the only revolution we've had here in the last 20 years, and that's what's keeping our economy somewhat alive.
[00:49:19.621 --> 00:49:32.627]  And that's what the carbon tax and globalism is about, is the bureaucrats won't let you have a new job or a new industry or anything unless they approve of it, or unless they get to deploy the new technology through their control arm.
[00:49:33.683 --> 00:49:36.784]  Well, you know, here's something I want to throw out there.
[00:49:36.884 --> 00:49:42.025]  You know, I mean, it's clear that there are a lot of problems in the U.S.
[00:49:42.205 --> 00:49:43.765]  at the moment.
[00:49:43.785 --> 00:49:56.268]  And the fact is that at some point there will be millions of people that decide to emigrate and leave the United States.
[00:49:56.348 --> 00:49:58.649]  And that's an option that's got to be considered.
[00:49:59.309 --> 00:50:02.630]  And it's an option that people have done throughout history.
[00:50:03.169 --> 00:50:07.653]  And it's a bona fide consideration.
[00:50:07.733 --> 00:50:16.620]  I mean, if the country is simply not going to support the kind of democracy and freedom that you think you deserve, you may have to just leave.
[00:50:18.479 --> 00:50:20.480]  Or we can take our republic back.
[00:50:21.060 --> 00:50:22.701]  Because Max, I don't want a democracy.
[00:50:22.721 --> 00:50:25.882]  I mean, I want a constitutional republic where the minority is protected.
[00:50:25.902 --> 00:50:27.082]  But I know what you mean by democracy.
[00:50:27.102 --> 00:50:28.743]  You mean where the people are in charge.
[00:50:29.163 --> 00:50:31.104]  I want the Bill of Rights and Constitution to be in charge.
[00:50:31.644 --> 00:50:33.945]  Josh, Dan, Rob, Sean, Steve, you're straight ahead.
[00:50:34.045 --> 00:50:34.305]  One minute.
[00:50:35.446 --> 00:50:38.347]  On air, online, and on demand.
[00:50:38.407 --> 00:50:40.988]  They say we offer simple answers to complex problems.
[00:50:41.048 --> 00:50:43.649]  We are the GCN Radio Network.
[00:50:46.704 --> 00:50:50.305]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:50:50.645 --> 00:50:58.766]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:50:59.506 --> 00:51:03.547]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:51:04.127 --> 00:51:14.949]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:51:15.589 --> 00:51:24.591]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[00:51:25.091 --> 00:51:30.132]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:51:30.533 --> 00:51:37.694]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:51:38.014 --> 00:51:40.775]  That's www.SilverLungs.com.
