[00:00:00.069 --> 00:00:00.990]  Political talk.
[00:47:39.124 --> 00:47:42.566]  But support what he's doing because he's got a lot of courage.
[00:47:42.606 --> 00:47:43.507]  I talked to him off air.
[00:47:43.527 --> 00:47:47.209]  They haven't killed him or set him up because that will just elevate everything he's doing.
[00:47:47.249 --> 00:47:49.011]  We'll talk about that before he leaves.
[00:47:49.451 --> 00:47:50.992]  But let's talk to Julio in Illinois.
[00:47:51.032 --> 00:47:51.993]  Julio, thanks for holding.
[00:47:52.213 --> 00:47:53.954]  You're on the air with Attorney Phil Berg.
[00:47:53.994 --> 00:47:54.374]  Go ahead.
[00:47:55.254 --> 00:47:56.735]  Alex Jones, how are you this afternoon?
[00:47:56.755 --> 00:47:58.756]  Phil Berg, I commend you for what you're doing.
[00:47:58.836 --> 00:47:59.516]  God bless you.
[00:47:59.796 --> 00:48:01.337]  I will have you in my prayers, sir.
[00:48:01.437 --> 00:48:06.539]  You are unbelievable for what you are doing, exposing the fraud known as Barry Fitoro, sir.
[00:48:06.919 --> 00:48:07.720]  Thank you very much.
[00:48:08.560 --> 00:48:09.461]  You're very welcome.
[00:48:09.941 --> 00:48:13.923]  My question is, first off, I took an African American Studies class.
[00:48:15.620 --> 00:48:28.547]  Two years ago, or last year, here in college in Macomb, Illinois, and we saw the biography, the channel biography on Barry Fitoro, and they said, growing up, that his nickname was Barry.
[00:48:28.787 --> 00:48:37.452]  I do remember that, and I just saw right now on TV, for Comcast cable people, On Demand, you can look it up, they have his biography there.
[00:48:37.472 --> 00:48:40.774]  But my question, you're talking about a march in Washington, D.C.
[00:48:41.654 --> 00:48:42.495]  Hold on, hold on!
[00:49:01.989 --> 00:49:02.870]  That's a great point.
[00:49:03.411 --> 00:49:07.276]  Much of his own cabinet has been caught in tax trouble, doesn't pay their taxes.
[00:49:07.676 --> 00:49:11.281]  It's just a lawless group of criminals, and you were going to say something about Mr. Beck.
[00:49:13.806 --> 00:49:20.629]  Yeah, Benedict Arnold, uh, you know, him, you know, Chris Matthews, all these scum, you guys are right.
[00:49:20.649 --> 00:49:29.852]  They're setting us up for something because they continue, now recently on TV, talking about birthers, talking about 9-11 truth movement, and how, you know, we're going to assassinate the president.
[00:49:29.892 --> 00:49:33.033]  We all need to be peaceful in this info war fight.
[00:49:33.093 --> 00:49:34.994]  Yeah, Julio, Julio, tell him.
[00:49:35.034 --> 00:49:36.094]  You've seen that yourself.
[00:49:36.134 --> 00:49:36.875]  We've played it here.
[00:49:37.175 --> 00:49:38.355]  Phil isn't even aware of this.
[00:49:38.395 --> 00:49:39.896]  Tell him what you've seen back do.
[00:49:40.848 --> 00:49:54.377]  Glenn Beck on his radio program said that, you know, 9-11 truthers, he was talking about Van Jones, are going to infiltrate the White House, are already in the White House, and are going to assassinate the President, that we need to have the President in our prayers.
[00:49:54.417 --> 00:49:57.840]  And then another TV show, he said birthers too now.
[00:49:58.703 --> 00:50:13.332]  Yeah, he had you on his stupid little 4th grade chalkboard, you, he had Debra Medina, Miss Flip-Flopper, who, you know, I'm shocked that that happened, but, you know, he had all these people, he had Van Jones on his board, you know, this is, uh, what is this?
[00:50:13.352 --> 00:50:15.153]  Alright, Julio, Julio, thank you.
[00:50:15.473 --> 00:50:26.300]  We're gonna come back in 70 seconds with a third hour, have Phil Bird respond to what he just heard briefly, then we're gonna quickly, because I want to get a lot of callers in, and Julio had great points, but that burned up five minutes.
[00:50:26.960 --> 00:50:33.026]  We're going to go to Matt, David, John, Nick, and others so we can get to others and bring up different issues and so Phil Berg can respond.
[00:50:33.286 --> 00:50:36.649]  His time is very important, so I want to just ask the question and have him respond.
[00:50:39.512 --> 00:50:41.594]  Thank you for listening to GCN.
[00:50:42.135 --> 00:50:45.278]  Be sure to visit GCNlive.com today.
[00:50:47.981 --> 00:50:50.583]  Hello, this is Alex Jones with some important questions.
[00:50:51.004 --> 00:50:55.968]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:50:56.329 --> 00:50:58.070]  My answer would be all I can get.
[00:50:58.371 --> 00:51:03.195]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:51:03.375 --> 00:51:04.356]  How much do you want?
[00:51:04.556 --> 00:51:05.317]  When do you want it?
[00:51:05.697 --> 00:51:07.279]  Now or after the battle starts?
[00:51:07.579 --> 00:51:08.400]  When will you need it?
[00:51:08.640 --> 00:51:10.722]  Can you buy it without proper identification?
[00:51:10.842 --> 00:51:11.963]  Will there be any food?
[00:51:12.183 --> 00:51:13.525]  Will it make your children sick?
[00:51:13.725 --> 00:51:13.985]  If there's
[00:51:14.005 --> 00:51:16.087]  There's a quarantine and you can't feed yourself.
[00:51:16.247 --> 00:51:18.769]  Will you go to the gathering center and be immunized?
[00:51:18.969 --> 00:51:22.172]  You wipe out all these problems if you have a good food supply.
[00:51:22.552 --> 00:51:26.055]  Food is your ammunition to fight for your freedom and your life.
[00:51:26.375 --> 00:51:27.356]  How much will you need?
[00:51:27.596 --> 00:51:28.217]  We don't know.
[00:51:28.497 --> 00:51:29.418]  How much do you want?
[00:51:29.618 --> 00:51:30.338]  All you can get.
[00:51:30.539 --> 00:51:31.379]  I'm Alex Jones.
[00:51:31.639 --> 00:51:34.402]  I want all of you good guys to live to fight another day.
[00:51:34.682 --> 00:51:36.443]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com
[00:51:42.208 --> 00:51:43.389]  Again, that number, 1-800-409-5633.
[00:51:43.609 --> 00:51:52.314]  Waging war on corruption.
[00:51:52.774 --> 00:51:55.596]  Alex Jones on the GCN Radio Network.
[00:52:02.200 --> 00:52:02.840]  Big Brother.
[00:52:03.500 --> 00:52:04.601]  Mainstream media.
[00:52:05.261 --> 00:52:06.422]  Government cover-ups.
[00:52:06.442 --> 00:52:07.883]  You want answers?
[00:52:07.903 --> 00:52:09.384]  Well, so does he.
[00:52:10.157 --> 00:52:13.759]  He's Alex Jones on the GCN Radio Network.
[00:52:14.339 --> 00:52:18.421]  And now, live from Austin, Texas, Alex Jones.
[00:52:19.381 --> 00:52:22.403]  Attorney Phil Berg, founder of the birther movement, is our guest.
[00:52:22.423 --> 00:52:29.406]  I'm going to have him in the next segment briefly recap some states that carry the second half of the show, why the birther issue is so important.
[00:52:29.426 --> 00:52:31.407]  We're taking calls at the bottom of the hour when he leaves us.
[00:52:31.747 --> 00:52:38.871]  Then Lindsey Williams with more inside info directly from the highest levels of the global power structure on what they're planning with the dollar and the economy.
[00:52:40.063 --> 00:52:41.684]  Phil Berg, you heard Julio's points.
[00:52:42.104 --> 00:52:43.825]  Quick comments on that before we go to more calls.
[00:52:44.045 --> 00:52:50.429]  Well, I think it's disgusting that Beck tries to associate me with these other people and tries to tie me in that I hate America.
[00:52:50.749 --> 00:52:51.610]  I don't hate America.
[00:52:51.690 --> 00:52:53.070]  I do this because I love America.
[00:52:53.531 --> 00:52:55.432]  And I'm going to challenge Beck.
[00:52:55.472 --> 00:52:55.872]  He won't do it.
[00:52:55.892 --> 00:52:57.293]  I'm going to challenge him to a debate.
[00:52:57.693 --> 00:53:00.234]  He's got the nerve to put me up there and talk about me.
[00:53:00.254 --> 00:53:02.015]  But I'm going to challenge him to a debate.
[00:53:02.055 --> 00:53:03.036]  He probably won't do it.
[00:53:04.057 --> 00:53:08.079]  But it's wrong what he's doing and wrong making me connotations.
[00:53:08.599 --> 00:53:10.680]  And by the way, at these town halls, as you know, for a year now,
[00:53:33.757 --> 00:53:41.083]  Republican and Democrats will say no, he's an American citizen, and literally the whole room starts screaming at him, even at Democrat events.
[00:53:41.463 --> 00:53:45.446]  People are sick of this, and Obamacrimes.com is your website.
[00:53:46.107 --> 00:53:53.352]  I've seen it on TV, I've heard it, where he puts you up there next to the weathermen and others, and says these people hate America, they're dangerous.
[00:53:53.873 --> 00:53:57.476]  Folks, send those videos, because there's millions of listeners, you can find them.
[00:53:57.536 --> 00:53:58.897]  I have a small staff, I've seen it.
[00:53:59.377 --> 00:54:00.398]  I don't have time to go dig it out.
[00:54:00.658 --> 00:54:03.980]  It would take maybe 10 hours to dig through hundreds of shows.
[00:54:04.341 --> 00:54:05.461]  Send it all to Phil Berg.
[00:54:05.782 --> 00:54:10.085]  Help him so he has the info, but also support obamacrimes.com.
[00:54:10.305 --> 00:54:11.606]  Let's go to Matt in Ohio.
[00:54:11.686 --> 00:54:12.466]  Matt, you're on the air.
[00:54:12.506 --> 00:54:12.907]  Go ahead.
[00:54:13.927 --> 00:54:14.368]  Hey Alex.
[00:54:14.408 --> 00:54:14.908]  Hi Phil.
[00:54:17.590 --> 00:54:28.438]  I may be way out in left field here, but what do you think the chances are that the puppet masters, the people that pull Obama's strings and the higher ups in government
[00:54:29.065 --> 00:54:29.445]  I don't know.
[00:54:44.864 --> 00:54:49.968]  You're saying that could be the false flag, it would cause riots, all sorts of problems.
[00:54:50.609 --> 00:54:51.450]  Phil, your take on it?
[00:54:51.810 --> 00:54:55.233]  Well, you know, I'm going to demand, when we get him out of office, that we're going to do it.
[00:54:55.593 --> 00:55:06.202]  We're going to demand, we'll hold a news conference, I'm going to call the top politicians in this country and the religious leaders and say, you plan to cause riots in the streets and damage property and injure and kill people, why?
[00:55:06.582 --> 00:55:08.964]  The only person responsible for this is Barack Obama.
[00:55:09.484 --> 00:55:11.287]  No, I don't think they're going to let it out.
[00:55:11.307 --> 00:55:14.371]  I think what's going to happen is the American public is going to demand it.
[00:55:14.892 --> 00:55:16.875]  I think about 20 million people know about this.
[00:55:16.935 --> 00:55:19.358]  Help me raise the public awareness to 100 million people.
[00:55:19.679 --> 00:55:23.965]  We will force him out of office because this is outrageous what he is doing.
[00:55:28.194 --> 00:55:34.622]  Well, it's just like ClimateGate in the first month when they said it wasn't real, and now it blew up in their face and they've all admitted they're liars.
[00:55:35.022 --> 00:55:35.723]  It's the same thing.
[00:55:35.783 --> 00:55:36.825]  They're stonewalling.
[00:55:37.145 --> 00:55:38.266]  The truth can't be stopped.
[00:55:38.306 --> 00:55:40.028]  We know he's an Indonesian citizen.
[00:55:40.369 --> 00:55:41.991]  We know his real name is Barry Sitaro.
[00:55:42.391 --> 00:55:47.658]  That's enough right there under law, because he can't be a natural... Explain that to people, Phil.
[00:55:48.118 --> 00:55:51.781]  Well, once he's adopted there, he becomes a natural of Indonesia.
[00:55:52.101 --> 00:55:56.984]  And therefore, when he came back, according to our immigration laws, he would only become naturalized.
[00:55:57.425 --> 00:56:01.868]  But someone did what's called a FOIA request—Freedom of Information request—to send me a copy.
[00:56:01.888 --> 00:56:04.009]  They asked for a copy of Obama's birth certificate.
[00:56:04.350 --> 00:56:06.011]  They came back, and they never had one.
[00:56:06.331 --> 00:56:09.293]  Now, they didn't check for Barry Santoro, but I think he never had one.
[00:56:09.333 --> 00:56:11.435]  I think he traveled on his Indonesia passport.
[00:56:11.795 --> 00:56:17.399]  That's why at age 20, he went to—he stopped in Indonesia on his way to Pakistan to renew his passport.
[00:56:17.779 --> 00:56:18.479]  Let's be clear.
[00:56:18.679 --> 00:56:19.700]  Let's be clear on this.
[00:56:21.020 --> 00:56:23.241]  His real name's Barry Sitaro on record.
[00:56:23.281 --> 00:56:28.322]  Coming up, we've got him calling into a radio show in D.C., calling himself Barry.
[00:56:28.982 --> 00:56:29.823]  That's coming up.
[00:56:30.063 --> 00:56:31.563]  His name is Barry Sitaro.
[00:56:31.623 --> 00:56:35.144]  Folks, do you realize they're freezing all his documents, all his records.
[00:56:35.404 --> 00:56:37.045]  They're covering something up.
[00:56:37.845 --> 00:56:40.547]  That's even worse than him really being an Indonesian citizen.
[00:56:40.587 --> 00:56:50.475]  We have an Indonesian citizen as our president, and once you, even if he had been a US citizen before, he'd have to waive that citizenship to become a citizen of Indonesia.
[00:56:50.935 --> 00:56:53.778]  I mean, if I wanted to go waive my citizenship to become a Swiss citizen,
[00:56:54.875 --> 00:56:56.116]  I would have to waive my U.S.
[00:56:56.156 --> 00:56:56.836]  citizenship!
[00:56:57.477 --> 00:57:01.479]  This is Alex Jones and I want to tell you about the Ecola Blue Atmospheric Water Generator.
[00:57:01.579 --> 00:57:04.321]  It produces pure drinking water right from the humidity in the air.
[00:57:04.461 --> 00:57:06.422]  No, this isn't science fiction, it's very real.
[00:57:06.542 --> 00:57:08.683]  I know because I use one every day in my own home.
[00:57:08.783 --> 00:57:10.244]  And it's available right now to you.
[00:57:10.424 --> 00:57:14.747]  Because you know exactly where your water comes from with Ecolablue, you'll know what's in your cup.
[00:57:14.907 --> 00:57:17.288]  Clean, great tasting water without all the pollutants.
[00:57:17.468 --> 00:57:23.292]  Get your family off the grid today by ordering your own Ecolablue Atmospheric Water Generator for your home or business.
[00:57:23.492 --> 00:57:28.215]  Their best seller, the Ecolablue 28, produces up to 7 gallons of water every day.
[00:57:28.275 --> 00:57:31.016]  The Ecolablue 28 is easy to use and economical.
[00:57:31.117 --> 00:57:33.738]  Generate your own pure water from the humidity in the air.
[00:57:33.838 --> 00:57:35.179]  This system is free of chemicals.
[00:57:35.199 --> 00:57:35.700]  I think so.
[00:57:57.264 --> 00:58:01.507]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:58:01.827 --> 00:58:02.428]  Number one.
[00:58:02.728 --> 00:58:05.890]  New climate legislation could easily double or triple your electric bill.
[00:58:06.150 --> 00:58:06.711]  Number two.
[00:58:07.011 --> 00:58:11.574]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:58:11.914 --> 00:58:12.375]  It's true.
[00:58:12.655 --> 00:58:17.198]  Total government control of electricity in the name of smart grid technology is coming.
[00:58:17.518 --> 00:58:18.058]  Number 3.
[00:58:18.339 --> 00:58:21.621]  In some areas of the country, the power grid is dangerously overloaded.
[00:58:21.921 --> 00:58:25.663]  And now, new socialist legislation is only compounding the problem.
[00:58:25.844 --> 00:58:26.104]  Number 4.
[00:58:26.644 --> 00:58:29.006]  Dangerous weather is always a threat to local grids.
[00:58:29.406 --> 00:58:32.788]  Every year, thousands of families lose their power from weather-related outages.
[00:58:33.088 --> 00:58:33.289]  Number 5.
[00:58:33.869 --> 00:58:37.792]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:58:38.012 --> 00:58:42.775]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:58:43.055 --> 00:58:47.099]  You can get more information at www.mysolarbackup.com.
[00:58:47.239 --> 00:58:48.801]  That's mysolarbackup.com.
[00:58:49.021 --> 00:58:51.123]  Remember, the government doesn't own the sun.
[00:58:51.283 --> 00:58:53.626]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:58:58.885 --> 00:59:02.526]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:59:02.846 --> 00:59:10.969]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:59:11.709 --> 00:59:15.750]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:59:16.330 --> 00:59:27.154]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:59:27.794 --> 00:59:36.796]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:59:37.296 --> 00:59:42.337]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:59:42.738 --> 00:59:49.919]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:59:50.219 --> 00:59:52.960]  That's www.silverlungs.com.
[01:00:02.654 --> 01:00:03.294]  Big Brother.
[01:00:03.955 --> 01:00:05.015]  Mainstream media.
[01:00:05.736 --> 01:00:06.756]  Government cover-ups.
[01:00:07.477 --> 01:00:08.297]  You want answers?
[01:00:09.058 --> 01:00:09.958]  Well, so does he.
[01:00:10.619 --> 01:00:14.281]  He's Alex Jones on the GCN Radio Network.
[01:00:14.801 --> 01:00:18.903]  And now, live from Austin, Texas, Alex Jones.
[01:00:19.324 --> 01:00:22.826]  We have the father of the birther movement, Attorney Phil Berg.
[01:00:23.306 --> 01:00:26.388]  Obamacrimes.com with us.
[01:00:26.408 --> 01:00:28.329]  Former Deputy Attorney General in his state.
[01:00:29.864 --> 01:00:36.269]  Member of the NAACP, Democrat, who during the primaries began to investigate Obama.
[01:00:36.849 --> 01:00:39.992]  He's on record, his real name is Barry Zetero, a citizen of Indonesia.
[01:00:40.052 --> 01:00:41.853]  That's the only record we can get.
[01:00:42.213 --> 01:00:44.435]  He admits that, but says it's no big deal.
[01:00:44.775 --> 01:00:46.256]  And the media never covers that.
[01:00:46.736 --> 01:00:49.579]  They just say, we've shown the birth certificate, these people are lying.
[01:00:50.649 --> 01:00:52.630]  Why has Obama sealed all of his school records?
[01:00:52.650 --> 01:01:00.555]  Because the real name is Barry Sitaro and a lot of people are coming forward saying he was called Barry Sitaro then and that he was getting foreign aid.
[01:01:01.075 --> 01:01:04.718]  Now, we're going to go back to your calls, David, John, Nick, Ronald, and others.
[01:01:04.778 --> 01:01:12.242]  Questions for Phil Berg only on the subject of the Bertha issue and where his court cases are going.
[01:01:12.462 --> 01:01:13.763]  But here's the Associated Press.
[01:01:15.026 --> 01:01:16.548]  Phil, go ahead.
[01:01:16.788 --> 01:01:21.553]  I just want to say something because many people say, well, a parent can't renounce, you know, give up their children's rights.
[01:01:21.973 --> 01:01:23.374]  Well, that's true to a point.
[01:01:23.775 --> 01:01:35.286]  But if Obama wanted to do that between the ages of 18 and 21, he would have had to renounce his Indonesia citizenship and reaffirm any citizenship that he did have for the United States.
[01:01:35.406 --> 01:01:36.848]  There's no evidence he did that either.
[01:01:37.208 --> 01:01:38.449]  He sealed all those records.
[01:01:38.789 --> 01:01:39.929]  The college, everything.
[01:01:39.949 --> 01:01:40.750]  Let's play this clip.
[01:01:40.990 --> 01:01:42.851]  Just like everybody else, Barry from D.C.
[01:01:42.891 --> 01:01:47.593]  called Virginia Governor Tim Kaine's radio show to complain about traffic.
[01:01:47.953 --> 01:01:48.893]  But Barry from D.C.
[01:01:48.913 --> 01:01:53.435]  was really President Barack Obama, who, surprise, came with a prank call just like everybody else.
[01:01:53.795 --> 01:01:54.876]  Barry from D.C.
[01:01:55.396 --> 01:01:56.837]  Now, here is Obama.
[01:01:57.217 --> 01:01:58.437]  This is Associated Press.
[01:01:58.798 --> 01:02:05.921]  About a couple months ago, this was December 22nd, 2009, last year, calling in, using his real name.
[01:02:06.001 --> 01:02:06.441]  Here it is.
[01:02:06.781 --> 01:02:09.362]  Governor, let's get back to the phones and let some callers.
[01:02:09.402 --> 01:02:10.842]  We have Barry from D.C.
[01:02:10.882 --> 01:02:11.202]  is calling.
[01:02:11.222 --> 01:02:11.762]  Go ahead, Barry.
[01:02:12.643 --> 01:02:17.344]  Well, Governor Kaine, this is actually the President of the United States calling.
[01:02:18.504 --> 01:02:27.026]  I have questions about traffic in Northern Virginia.
[01:02:27.446 --> 01:02:33.008]  But rather than go there, I just wanted to say how proud we are of your service.
[01:02:34.785 --> 01:02:44.388]  As Governor of the Commonwealth of Virginia, and just wish you and the family all the best for the Christmas season.
[01:02:44.748 --> 01:02:45.308]  And it goes on.
[01:02:45.348 --> 01:02:46.909]  That's AP News right there.
[01:02:47.429 --> 01:02:48.069]  AP Video.
[01:02:49.170 --> 01:02:51.771]  So it's a big joke to him to use his real name, isn't it, Phil?
[01:02:52.071 --> 01:02:53.231]  Yeah, it really is.
[01:02:53.611 --> 01:02:59.153]  But when he does it and acknowledges it, it just reinforces the words I've been using, that he's a fraud and he's a phony.
[01:02:59.453 --> 01:03:02.494]  You notice the Secret Service isn't coming after me because I'm talking the truth.
[01:03:03.456 --> 01:03:04.117]  He's a fraud.
[01:03:04.157 --> 01:03:07.319]  He's the biggest hoax in the history of our country, ladies and gentlemen.
[01:03:07.599 --> 01:03:08.600]  We must stop it.
[01:03:08.920 --> 01:03:09.641]  Well, it gets worse.
[01:03:09.801 --> 01:03:22.830]  I could play video from Vermont and from Missouri, where they had police go on the news and say, if you criticize Obama and say he's not a Christian or say he wasn't born here, we're going to arrest you.
[01:03:22.850 --> 01:03:23.851]  Did you ever see that video?
[01:03:24.551 --> 01:03:26.092]  Never heard about it, but it sounded familiar.
[01:03:26.112 --> 01:03:26.893]  I'd like to see that one.
[01:03:27.205 --> 01:03:32.328]  In fact, as Aaron the Headline, I think it's something like Thought Police in Missouri.
[01:03:33.209 --> 01:03:35.190]  But the point is, no, that was on TV.
[01:03:35.591 --> 01:03:38.372]  I mean, they were on TV saying, we will arrest you.
[01:03:38.653 --> 01:03:40.474]  So that shows the mindset.
[01:03:40.674 --> 01:03:49.260]  And it turned out the Obama campaign was having local Democrat police and sheriffs and prosecutors come out and threaten people.
[01:03:49.280 --> 01:03:56.705]  I mean, this is, look, Jerome Corsi got the documents, the emails from Obama when he was in the Senate to his cousin, Odinga.
[01:03:57.665 --> 01:04:01.808]  Threatening to, and saying, cause riots.
[01:04:01.928 --> 01:04:06.652]  So you lost the election, cause riots, and they'll give you a position in the government, and they did.
[01:04:06.672 --> 01:04:10.975]  Not only causing riots, what they did is they caused riots.
[01:04:11.015 --> 01:04:12.957]  They set fire to churches with people alive.
[01:04:12.977 --> 01:04:14.178]  They burned down churches.
[01:04:14.218 --> 01:04:15.299]  They burned people alive.
[01:04:15.319 --> 01:04:16.640]  I mean, that's a bad point.
[01:04:16.920 --> 01:04:19.422]  And Obama told them to do it!
[01:04:19.542 --> 01:04:27.568]  Right, and Obama raised a million dollars for them during that time, and then by doing all that, they forced Odinga to be given a position in the government.
[01:04:27.648 --> 01:04:32.290]  Yeah, before they just had President, what, they made a prime ministership for him?
[01:04:32.570 --> 01:04:32.751]  Yep.
[01:04:33.571 --> 01:04:38.173]  I mean, because they were burning everything down and Obama told him in the email, burn it!
[01:04:38.633 --> 01:04:39.934]  I mean, this guy's a terrorist!
[01:04:39.954 --> 01:04:41.335]  There's no doubt about it.
[01:04:41.375 --> 01:04:43.196]  Let's take another call here.
[01:04:43.256 --> 01:04:44.797]  David Main, you're on the air, David.
[01:04:45.397 --> 01:04:47.178]  Yes, gentlemen, I have a comment and a question.
[01:04:48.038 --> 01:04:48.718]  Good job, Phil.
[01:04:49.119 --> 01:04:49.679]  Thank you, David.
[01:04:50.279 --> 01:04:55.782]  I will refer to our president from here on as President Soturro, and I recommend that
[01:04:56.235 --> 01:05:02.798]  Anybody else do the same, and when people ask you, you know, what is that all about, then explain to them everything that you've laid out.
[01:05:03.358 --> 01:05:05.999]  Now my question is a constitutional crisis question.
[01:05:07.000 --> 01:05:18.845]  If it's found out, if we can prove that he's illegitimate, and I believe he is, then every executive order, every bill he's signed, every treaty, every foreign agreement is invalid.
[01:05:19.545 --> 01:05:25.528]  What happens then if it's, say, three years into the presidency, and this all comes out, and he has to leave?
[01:05:26.244 --> 01:05:27.265]  It's no doubt about it.
[01:05:27.885 --> 01:05:30.386]  It's pointless to argue anymore.
[01:05:30.406 --> 01:05:33.308]  Well, everything he's done is bad, so that sounds great.
[01:05:33.588 --> 01:05:36.089]  Yeah, David, that's why I don't want to wait three years.
[01:05:36.149 --> 01:05:37.110]  I want to get it this year.
[01:05:37.410 --> 01:05:40.572]  That's why I want the people to join with me when we have the announcement in March.
[01:05:40.992 --> 01:05:42.273]  Because he is a phony.
[01:05:42.413 --> 01:05:45.074]  Everything he did has done is void or avoidable.
[01:05:45.554 --> 01:05:46.595]  It's really disgraceful.
[01:05:46.655 --> 01:05:48.656]  And we are in a constitutional crisis because
[01:05:49.136 --> 01:05:50.357]  And it would take another whole show.
[01:05:50.397 --> 01:05:52.758]  I can't go into the whole thing about who would become president.
[01:05:53.158 --> 01:05:57.021]  He used to vote, I don't know about the amendment, he used to vote separate for president and vice president.
[01:05:57.401 --> 01:05:59.022]  He voted now jointly for them.
[01:05:59.062 --> 01:06:13.570]  So therefore, I don't believe Biden would become, because it was a fraudulent ticket, does it go back to January 8th, the joint session of Congress, when Congress violated their duty, because their duty was to count the votes, electoral college votes for a qualified person.
[01:06:14.290 --> 01:06:15.451]  So does it go back there?
[01:06:15.471 --> 01:06:23.420]  Because if one member of the House, one member of the Senate had given a written objection, they would have gone to a separate House and Senate to discuss the issue.
[01:06:23.440 --> 01:06:27.604]  And if they didn't agree, they would have nominated whoever they wanted for President and Vice President.
[01:06:27.924 --> 01:06:34.271]  But because they didn't do their job, does it go back to December 15th, when all the electors met in the state capitals of the various states?
[01:06:34.831 --> 01:06:35.291]  I hear you.
[01:06:35.311 --> 01:06:36.412]  We gotta move quick.
[01:06:36.432 --> 01:06:37.573]  David, I appreciate your call.
[01:06:37.593 --> 01:06:40.715]  Speaking about threats, it came out in major newspapers last year.
[01:06:56.164 --> 01:07:08.539]  That there's 25 people on Obama's hit list, and of course, I'm number 24 on there, and it said that Bertha Gribbs and yourself are also on the list, and there is no doubt that they've got an enemies list.
[01:07:09.159 --> 01:07:10.521]  People need to be praying for all of us.
[01:07:11.302 --> 01:07:11.883]  Alright, okay.
[01:07:12.003 --> 01:07:13.665]  Yes, please pray for me, everyone out there.
[01:07:14.841 --> 01:07:16.742]  Absolutely, and also spread the word.
[01:07:16.762 --> 01:07:19.143]  So you don't know when the march is going to be yet?
[01:07:19.523 --> 01:07:20.803]  Well no, we're working on that.
[01:07:20.823 --> 01:07:25.906]  As soon as I have a date I'll call you back and we'll have it up on our website and we'll tell you when we get on your show and spread the word.
[01:07:26.406 --> 01:07:30.367]  But the initial reaction and response from people is phenomenal.
[01:07:30.727 --> 01:07:36.430]  People want to do something because it's something they can do and everyone of your listeners can identify with the birth certificate issue.
[01:07:36.790 --> 01:07:39.251]  One other thing, the people that Obama associated with,
[01:07:40.020 --> 01:07:40.320]  Well...
[01:07:55.515 --> 01:07:58.418]  I'm not saying this is a good thing, but I understand why it's been done.
[01:07:58.438 --> 01:08:11.111]  In the old days, if you weren't 3, 4, or 5th generation, you couldn't be FBI or Secret Service, because it was important that you not be a spy, because when the Constitution was ratified, for those that don't know,
[01:08:11.952 --> 01:08:24.715]  They had cases of Austria sending its people, members of its government, its ruling class and royalty, in to Poland and other countries to try to get elected and take over those nations.
[01:08:25.395 --> 01:08:27.436]  And so this has always been an old problem.
[01:08:27.736 --> 01:08:31.217]  And this guy, I mean, his real name is Barry Sitaro.
[01:08:31.277 --> 01:08:32.257]  How is he our president?
[01:08:32.337 --> 01:08:36.018]  As you say, the Indonesia thing is bona fide 100%.
[01:08:36.338 --> 01:08:37.959]  That right there disqualifies him.
[01:08:38.239 --> 01:08:39.399]  Forget the birth certificate.
[01:08:39.739 --> 01:08:39.939]  Right.
[01:08:40.279 --> 01:08:41.160]  Yep, absolutely.
[01:08:41.320 --> 01:08:45.422]  And we're running an ad on that this next week at the paper, Washington Times.
[01:08:45.482 --> 01:08:48.004]  And we're going to be doing other ads across the country.
[01:08:48.064 --> 01:08:50.105]  If we, the more money we raise, we'll spread the word.
[01:08:50.525 --> 01:08:52.046]  We must spread the word around the country.
[01:08:52.126 --> 01:08:54.947]  And we want to march on Washington like we never saw.
[01:08:54.967 --> 01:08:56.628]  Alright, let's talk to John in Maine.
[01:08:56.688 --> 01:08:57.769]  John, you're on the air.
[01:08:57.809 --> 01:08:58.189]  Go ahead.
[01:08:59.650 --> 01:08:59.910]  Hi.
[01:09:00.330 --> 01:09:01.131]  Please tell how
[01:09:02.282 --> 01:09:07.666]  His collegiate records are being sealed, or were sealed, his adult records.
[01:09:07.847 --> 01:09:09.128]  How does that operate?
[01:09:09.168 --> 01:09:10.429]  So I can show Mom.
[01:09:11.429 --> 01:09:14.012]  Well, the reason, I'll move to the first one that came out.
[01:09:14.112 --> 01:09:16.554]  I believe his college records were sealed for one reason.
[01:09:17.014 --> 01:09:19.716]  It's to show he applied for and received foreign aid.
