[00:00:00.009 --> 00:00:01.612]  Confirmation war continues.
[00:24:43.836 --> 00:24:47.339]  They look like salt of the earth, good-looking, you know, people.
[00:24:47.400 --> 00:24:48.761]  I got a good vibe off of them.
[00:24:49.562 --> 00:24:51.263]  They look like they were insecure.
[00:24:51.404 --> 00:24:53.185]  They look like they were hardly talking.
[00:24:54.567 --> 00:24:55.428]  They looked humble.
[00:24:56.721 --> 00:24:58.763]  Now you see a thug steroid head cop.
[00:24:59.403 --> 00:25:02.486]  People I'd see 10 years ago as bouncers now are cops downtown.
[00:25:02.526 --> 00:25:03.707]  I won't go down there because of it.
[00:25:03.987 --> 00:25:07.690]  And you can see the power trip, the craziness, the thuggishness.
[00:25:07.710 --> 00:25:11.133]  You can see somebody who's a thug cop real fast.
[00:25:11.353 --> 00:25:13.115]  You go to New York City, about half of them are.
[00:25:13.335 --> 00:25:14.116]  I mean, it's scary.
[00:25:15.457 --> 00:25:17.939]  You can go to Chicago, and the cops are scary.
[00:25:17.959 --> 00:25:28.326]  I mean, you can sit around and watch them, and you see the news footage all the time where they see a good-looking woman, they just beat her up, or somebody talks back to them when they're even off-duty, and they don't get a free beer, they beat them up.
[00:25:28.386 --> 00:25:29.466]  I mean, they're crazy thugs.
[00:25:30.127 --> 00:25:38.993]  I'm here fighting so that doesn't happen in other parts of the nation, and so we can take back places that are run by big-city mafia like Chicago and New York.
[00:25:40.291 --> 00:25:40.812]  And L.A.
[00:25:40.832 --> 00:25:43.034]  to a certain extent, but I haven't had problems in L.A.
[00:25:43.074 --> 00:25:46.798]  I've actually had cops come up everywhere and say they're listeners, but whatever.
[00:25:46.858 --> 00:25:48.920]  The issue is, police have a tough job.
[00:25:50.066 --> 00:26:01.168]  So I'm sitting there with all these government documents, because I'm sitting there writing a voiceover by hand, because I'm going to come in tonight, and after the show, I'm going to write a voiceover that was handwriting notes off government documents.
[00:26:01.608 --> 00:26:04.808]  Full spectrum dominance, soft kill weapons.
[00:26:05.329 --> 00:26:07.809]  I'm reading these Pentagon documents by Colonel Alexander.
[00:26:07.869 --> 00:26:08.769]  It's freaking me out.
[00:26:09.289 --> 00:26:10.749]  I'm looking at these families with kids.
[00:26:10.789 --> 00:26:12.190]  I'm watching them drink tap water.
[00:26:12.250 --> 00:26:14.410]  I'm wishing I could walk over and warn them.
[00:26:14.610 --> 00:26:15.370]  I'm looking at the cops.
[00:26:15.390 --> 00:26:16.730]  They're drinking tap water.
[00:26:16.990 --> 00:26:19.391]  I want to go tell the Pokey Joe people to filter their water.
[00:26:20.051 --> 00:26:22.413]  You know, I mean, I know it's a chemical weapon.
[00:26:22.453 --> 00:26:24.214]  I've had all the EPA scientists on.
[00:26:24.274 --> 00:26:25.675]  I know the Nazis put it in the water.
[00:26:25.956 --> 00:26:31.020]  Pulitzer Prize-winning author who worked in Nuremberg wrote, Crime and Punishment, I.G.
[00:26:31.060 --> 00:26:31.440]  Farben.
[00:26:31.960 --> 00:26:32.341]  Or I.G.
[00:26:32.381 --> 00:26:33.361]  Farben, Crime and Punishment.
[00:26:33.461 --> 00:26:35.423]  I mean, I know it's a declassified fact.
[00:26:35.963 --> 00:26:38.986]  And so all of this is happening, and I see the cops.
[00:26:40.563 --> 00:26:44.685]  And I didn't even think to record on my iPhone the audio because it was a private exchange.
[00:26:46.625 --> 00:26:49.847]  Because when I got in and told the guys the story, you know, they said, well, you should have recorded that.
[00:26:51.407 --> 00:26:52.227]  It's time for me to go.
[00:26:52.668 --> 00:27:06.153]  So I just get up and I walk over to them, just like we need to get past the comfort zone of talking to our neighbors and then talking to people at grocery store lines and then talking to people at church or at work about more than just the baseball scores, basketball scores, or the weather.
[00:27:06.393 --> 00:27:08.294]  We're taught by the media, only talk about that.
[00:27:09.614 --> 00:27:11.275]  Talk to each other like little prisoners.
[00:27:12.435 --> 00:27:17.216]  And I walk over and I say, you guys getting a little bit of air conditioning out there in the heat?
[00:27:17.236 --> 00:27:18.797]  They look like motorcycle cops.
[00:27:19.657 --> 00:27:20.337]  I wasn't sure though.
[00:27:20.377 --> 00:27:23.518]  But the point is, I go over and I talk to them.
[00:27:24.978 --> 00:27:26.759]  And I said, boy, I bet you're hot out there.
[00:27:26.799 --> 00:27:27.379]  And I said, yeah.
[00:27:27.439 --> 00:27:31.780]  And I looked at one of them who looked me in the eyes and I said, do you know about the world government?
[00:27:31.960 --> 00:27:32.961]  And he said, yeah, I know about it.
[00:27:33.361 --> 00:27:34.481]  Because now it's all over the news.
[00:27:35.422 --> 00:27:36.122]  And I said, well,
[00:27:37.512 --> 00:27:40.195]  I'm just here to warn you about the world government, what it really means.
[00:27:40.255 --> 00:27:41.156]  It means eugenics.
[00:27:41.717 --> 00:27:43.079]  And I said, you see your tap water?
[00:27:43.099 --> 00:27:44.120]  You see your iced tea?
[00:27:44.861 --> 00:27:47.604]  I said, there is a binary chemical weapon in there.
[00:27:48.305 --> 00:27:51.008]  And I said, you need to research what sodium fluoride does.
[00:27:51.088 --> 00:27:53.050]  I said, just Google sodium fluoride cancer.
[00:27:54.111 --> 00:27:54.911]  I said, please.
[00:27:54.991 --> 00:27:57.752]  And three of them were looking at me serious.
[00:27:57.872 --> 00:27:59.393]  One of them was kind of looking at me like I was crazy.
[00:27:59.413 --> 00:28:00.133]  And I said, I know.
[00:28:00.473 --> 00:28:01.293]  It sounds crazy.
[00:28:02.174 --> 00:28:04.954]  And it's so horrible, they think you won't look it up.
[00:28:05.274 --> 00:28:06.675]  But they think you're weak-minded.
[00:28:06.755 --> 00:28:07.235]  Look it up.
[00:28:07.815 --> 00:28:09.576]  And I said, you've got a choice to make.
[00:28:09.616 --> 00:28:10.476]  What side you're on.
[00:28:11.316 --> 00:28:12.717]  And there's a storm coming.
[00:28:13.517 --> 00:28:14.717]  Please search these terms.
[00:28:15.197 --> 00:28:19.579]  And I told them, full spectrum dominance, neo, modern eugenics.
[00:28:20.459 --> 00:28:25.551]  And a few other points I made, I mean I'm paraphrasing what I said to him, and I said have a good day.
[00:28:26.843 --> 00:28:28.123]  But that's normal.
[00:28:28.163 --> 00:28:32.085]  We should be all over the streets banging on our neighbors' doors going, there's poison in the water.
[00:28:32.445 --> 00:28:34.445]  The vaccines, they got cancer viruses in them.
[00:28:34.605 --> 00:28:35.646]  Here's mainstream news.
[00:28:36.426 --> 00:28:40.987]  Look, the insert of this vaccine says it causes sterilization and brain damage.
[00:28:41.388 --> 00:28:44.088]  You know, we should be out there everywhere.
[00:28:44.148 --> 00:28:45.909]  This is the normal response.
[00:28:46.829 --> 00:28:50.790]  We should be out there exposing the central banks and how they're engineering this collapse.
[00:28:51.831 --> 00:28:52.351]  We'll be right back.
[00:28:55.017 --> 00:28:58.841]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:28:59.101 --> 00:29:04.807]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:29:05.088 --> 00:29:08.892]  Go to HomeGain.com and see what I'm talking about.
[00:29:09.272 --> 00:29:15.599]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:29:15.979 --> 00:29:18.881]  This is a great way to be able to monitor the value of your home.
[00:29:19.301 --> 00:29:20.902]  And again, it's absolutely free.
[00:29:21.402 --> 00:29:23.043]  There are tons of tools to help you.
[00:29:23.443 --> 00:29:26.905]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:29:27.225 --> 00:29:33.789]  Use their Home Cell Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:29:34.029 --> 00:29:37.151]  For 10 years, these folks have been helping home sellers and buyers.
[00:29:37.591 --> 00:29:39.532]  Visit their link at InfoWars.com.
[00:29:39.953 --> 00:29:42.454]  Look for Max, the Orange Home Gain Gorilla.
[00:29:42.614 --> 00:29:45.018]  To help you with any real estate needs you might have.
[00:29:45.338 --> 00:29:46.360]  You'll love this site.
[00:29:46.580 --> 00:29:47.982]  It's HomeGain.com.
[00:29:48.463 --> 00:29:51.007]  H-O-M-E-G-A-I-N.com.
[00:29:51.327 --> 00:29:52.088]  Check them out today.
[00:29:55.114 --> 00:29:57.717]  Hello, this is Alex Jones with some important questions.
[00:29:58.137 --> 00:30:03.082]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:30:03.462 --> 00:30:05.184]  My answer would be all I can get.
[00:30:05.504 --> 00:30:10.329]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:30:10.509 --> 00:30:11.470]  How much do you want?
[00:30:11.690 --> 00:30:12.431]  When do you want it?
[00:30:12.812 --> 00:30:14.413]  Now or after the battle starts?
[00:30:14.713 --> 00:30:15.534]  When will you need it?
[00:30:15.775 --> 00:30:17.837]  Can you buy it without proper identification?
[00:30:17.997 --> 00:30:18.978]  Will there be any food?
[00:30:19.298 --> 00:30:23.200]  Will it make your children sick if there's a quarantine and you can't feed yourself?
[00:30:23.361 --> 00:30:25.902]  Will you go to the gathering center and be immunized?
[00:30:26.082 --> 00:30:29.264]  You wipe out all these problems if you have a good food supply.
[00:30:29.685 --> 00:30:33.187]  Food is your ammunition to fight for your freedom and your life.
[00:30:33.507 --> 00:30:34.488]  How much will you need?
[00:30:34.728 --> 00:30:35.328]  We don't know.
[00:30:35.628 --> 00:30:36.549]  How much do you want?
[00:30:36.729 --> 00:30:37.449]  All you can get.
[00:30:37.670 --> 00:30:38.350]  I'm Alex Jones.
[00:30:38.430 --> 00:30:38.770]  I think so.
[00:30:55.387 --> 00:31:01.131]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[00:31:01.851 --> 00:31:06.274]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[00:31:07.094 --> 00:31:20.643]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Z, Doug Casey, David McIlvaney, and myself, Alex Jones.
[00:31:21.423 --> 00:31:25.865]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:31:26.445 --> 00:31:36.069]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[00:31:36.669 --> 00:31:41.811]  Again that website www.thefallofamerica.net or call 800-655-1577.
[00:31:41.831 --> 00:31:44.672]  Prepare yourself and the ones you love today.
[00:31:44.712 --> 00:31:46.052]  fallofamerica.net
[00:31:53.749 --> 00:31:57.972]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:31:58.292 --> 00:31:58.892]  Number 1.
[00:31:59.212 --> 00:32:02.354]  New climate legislation could easily double or triple your electric bill.
[00:32:02.635 --> 00:32:03.195]  Number 2.
[00:32:03.495 --> 00:32:08.038]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:32:08.378 --> 00:32:08.819]  It's true.
[00:32:09.119 --> 00:32:13.682]  Total government control of electricity in the name of smart grid technology is coming.
[00:32:14.002 --> 00:32:14.542]  Number 3.
[00:32:14.822 --> 00:32:18.104]  In some areas of the country, the power grid is dangerously overloaded.
[00:32:18.405 --> 00:32:22.107]  And now, new socialist legislation is only compounding the problem.
[00:32:22.307 --> 00:32:22.868]  Number 4.
[00:32:23.108 --> 00:32:25.470]  Dangerous weather is always a threat to local grids.
[00:32:25.871 --> 00:32:29.254]  Every year, thousands of families lose their power from weather-related outages.
[00:32:29.555 --> 00:32:29.775]  Number 5.
[00:32:30.335 --> 00:32:34.260]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:32:34.500 --> 00:32:39.245]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:32:39.525 --> 00:32:43.567]  You can get more information at www.mysolarbackup.com.
[00:32:43.707 --> 00:32:45.287]  That's mysolarbackup.com.
[00:32:45.487 --> 00:32:47.588]  Remember, the government doesn't own the sun.
[00:32:47.728 --> 00:32:50.329]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:32:50.349 --> 00:32:55.951]  Coast to Coast.
[00:32:56.312 --> 00:32:57.752]  Direct from Austin.
[00:32:58.352 --> 00:33:01.574]  You're listening to the Alex Jones Broadcasting Network.
[00:33:16.510 --> 00:33:24.916]  For example, I walk out there during the break and I said, search engine the term, bone cancer fluoride, or fluoride bone cancer.
[00:33:25.236 --> 00:33:30.580]  WebMD, Fox News, London Guardian, Associated Press, hundreds of studies.
[00:33:30.600 --> 00:33:31.701]  They knew back in the 30s.
[00:33:32.702 --> 00:33:35.784]  And the Soviets, there's Fox News, there's London Guardian.
[00:33:38.453 --> 00:33:41.194]  Articles on screen for PrisonPlanet.tv viewers.
[00:33:42.034 --> 00:33:43.354]  Anyone can go search this.
[00:33:44.594 --> 00:33:46.955]  And this is the type of information that I'm aware of.
[00:33:47.515 --> 00:34:03.339]  And I have to sit here and walk up to a group of cops and tell them that they're drinking poison and I'm the kook, I'm the weirdo, I'm the strange one that I'm warning people when I know the Soviets by the thirties were putting it in labor camp slaves
[00:34:04.319 --> 00:34:07.103]  Water, Alexander Schultz and Nielsen has talked about this.
[00:34:07.243 --> 00:34:09.947]  I know, Pulitzer Prize winning author wrote a book.
[00:34:10.287 --> 00:34:12.830]  They worked in the Nuremberg trials as a prosecutor.
[00:34:13.591 --> 00:34:15.454]  And saw it in the Nazi documents.
[00:34:15.894 --> 00:34:20.801]  And IG Farben, that's based in the US and Germany, helped them do it.
[00:34:22.912 --> 00:34:32.737]  I mean, I know for a fact they're putting fluoride in the water to reduce your fertility, to reduce your testosterone, to attack all your organs, and to shut down your thyroid.
[00:34:32.977 --> 00:34:34.297]  And look at thyroid disorders.
[00:34:34.317 --> 00:34:35.178]  They're off the charts.
[00:34:37.285 --> 00:34:41.347]  It causes massive lowered levels of sperm count.
[00:34:41.867 --> 00:34:46.890]  It makes high levels of the sperm be deformed and not have fully formed tails, so they can't swim.
[00:34:46.910 --> 00:34:57.715]  And, you know, I've got literally dozens and dozens of government textbooks financed by taxpayers, like this one written by the White House Science Czar, John P. Holdren.
[00:34:57.735 --> 00:34:59.416]  This book costs over a hundred bucks.
[00:35:00.076 --> 00:35:03.898]  Eleven hundred pages, all about how to put stuff in the water to sterilize your butt.
[00:35:05.049 --> 00:35:14.061]  I mean, you're living in a scientific dictatorship, and I'm the kook, but you can find out that I'm not lying to you about fluoride and bone cancer in ten seconds.
[00:35:16.212 --> 00:35:20.955]  Some studies show it quadruples in boys, other studies that if it's one part per million, it doubles.
[00:35:21.235 --> 00:35:23.317]  I mean, I'm going to send this off to have it tested.
[00:35:23.917 --> 00:35:30.281]  It's going to cost us a lot of money, but I'm going to send it to a lab, and I'm going to have a bunch of different brands of baby water.
[00:35:30.301 --> 00:35:38.246]  This is what they give people, and every major water brand has it, and this is what they tell mothers to mix.
[00:35:39.246 --> 00:35:52.587]  with their baby formula or to mix with baby cereal with fluoride not sterile uses directed by a physician or labeling directions for use on infant formula purified water this is H-E-B brand
[00:35:53.502 --> 00:35:55.823]  And H-E-B isn't involved in the eugenics operation.
[00:35:55.843 --> 00:35:57.264]  They're just told this is what you do.
[00:35:57.344 --> 00:36:07.808]  Really, six years ago, the American Dental Association said children under six should not drink fluoridated water or brush their teeth with it because it causes dental fluorosis and weakening of the teeth.
[00:36:08.188 --> 00:36:09.228]  My dad's a dentist, folks.
[00:36:09.588 --> 00:36:10.489]  I know this, okay?
[00:36:10.769 --> 00:36:12.950]  You could find out in 30 seconds by searching
[00:36:13.630 --> 00:36:18.012]  American Dental Association says children under the age of six should not ingest fluoride.
[00:36:18.492 --> 00:36:22.193]  Well, that's calcium fluoride that you do need some of for your teeth.
[00:36:22.554 --> 00:36:25.735]  This is sodium fluoride, what they put in your water.
[00:36:25.955 --> 00:36:28.636]  And ladies and gentlemen, I drank some of this this week.
[00:36:28.676 --> 00:36:30.357]  I took a drink of this and...
[00:36:31.479 --> 00:36:35.300]  You know, after you've been drinking real purified water, it's totally different than drinking tap water.
[00:36:35.540 --> 00:36:39.101]  I look at this water, it's got, I mean, it literally has got stuff floating around in it.
[00:36:39.762 --> 00:36:43.503]  And here's Ozarka brand spring fluoride for children.
[00:36:43.543 --> 00:36:45.564]  Let's show presentplanet.tv viewers that.
[00:36:46.424 --> 00:36:48.504]  Spring water with added fluoride.
[00:36:48.865 --> 00:36:49.645]  Yum, yum.
[00:36:50.205 --> 00:36:50.966]  How good.
[00:36:50.986 --> 00:36:52.306]  A little smiley face.
[00:36:52.346 --> 00:36:56.689]  And my son said he went to camp and he said almost all the kids were sitting there drinking.
[00:36:56.709 --> 00:37:07.196]  And he came home and he said, Dad, I saw bottles that had a smiley face saying spring water with added fluoride and that the teacher told him he was basically a kook at camp because he didn't have it in his lunchbox.
[00:37:07.996 --> 00:37:15.541]  My little seven-year-old son, smarter and more informed about what's going on in the world than full-grown adults.
[00:37:16.903 --> 00:37:25.585]  But I mean, who would believe that we're told to put this in our water when it is a sterilant and causes brain damage on record?
[00:37:25.825 --> 00:37:29.286]  But see, people can't deal with a horror that incredible.
[00:37:29.406 --> 00:37:30.326]  And that's just one of them.
[00:37:30.666 --> 00:37:38.168]  All the studies show every major GMO crop sterilizes in the first generation around half of the animals that are fed it.
[00:37:38.228 --> 00:37:41.349]  Guinea pigs, rats, mice, you name it, monkeys.
[00:37:44.116 --> 00:37:57.500]  By the third generation, in all these major studies, you end up with almost complete, almost 98-99% sterilization, deformities, five times the morbidity, meaning animals live one-fifth as long.
[00:37:58.601 --> 00:38:00.361]  I mean, this is in the news every day.
[00:38:00.561 --> 00:38:01.782]  That's how dumb they think you are.
[00:38:01.802 --> 00:38:06.403]  They even put it out there, oh, Danid, fluoride on the go for your kids.
[00:38:06.963 --> 00:38:08.344]  Great for kids on the go.
[00:38:08.364 --> 00:38:12.285]  And they've got other brands that have a big school bus on the side.
[00:38:13.988 --> 00:38:18.352]  This water, ladies and gentlemen, literally tastes like crud.
[00:38:18.732 --> 00:38:20.033]  I'm gonna drink some on air right now.
[00:38:21.134 --> 00:38:23.857]  No weapon formed against us, so prosper as the Bible says.
[00:38:24.577 --> 00:38:26.439]  But it's a cumulative poison.
[00:38:26.699 --> 00:38:34.165]  Almost all the fluoride you drink precipitates out on your organs, particularly your thyroid, your pancreas, your liver, your bones.
[00:38:37.048 --> 00:38:37.709]  I mean, man.
[00:38:38.289 --> 00:38:39.290]  I mean, you can taste that.
[00:38:39.830 --> 00:38:40.511]  I'll guarantee it.
[00:38:40.531 --> 00:38:41.312]  We're sending this off.
[00:38:42.312 --> 00:38:43.213]  We're looking at different labs.
[00:38:43.273 --> 00:38:44.173]  It's very expensive.
[00:38:44.673 --> 00:39:00.522]  I'm going to send this off, this water, to have how many parts per million it is, because the government says they want one part per million, which in major studies causes upwards of a 10-point IQ to 20-point IQ reduction, depending on the study or age group in children.
[00:39:01.983 --> 00:39:07.046]  And ladies and gentlemen, this taste, whatever's in it, I mean, it is strong.
[00:39:08.683 --> 00:39:16.407]  And we've boiled down different bottled water sediments here at the office, in there on the stove, just to, you know, do a basic study on how much sediment's in it.
[00:39:16.688 --> 00:39:18.409]  And these bottled waters, it's just incredible.
[00:39:18.889 --> 00:39:20.290]  All of them, Ozarka, you name it.
[00:39:21.070 --> 00:39:21.710]  Drink another drink of this.
[00:39:24.712 --> 00:39:28.334]  Man, this is what's being given to babies all day long, ladies and gentlemen.
[00:39:29.395 --> 00:39:29.795]  Imagine.
[00:39:29.995 --> 00:39:34.178]  And the American Medical Association, American Dental Association, says kids don't even need this.
[00:39:35.285 --> 00:39:37.086]  That it causes dental fluorosis.
[00:39:37.447 --> 00:39:38.448]  That is a fact!
[00:39:38.888 --> 00:39:41.250]  But they market it and these mothers give it to their children.
[00:39:42.691 --> 00:39:44.973]  There's your dental fluorosis if you're watching on Prison Planet.
[00:39:47.571 --> 00:39:48.372]  We're good to go.
[00:40:08.466 --> 00:40:11.267]  And sodium fluoride with a skull and crossbones.
[00:40:11.307 --> 00:40:15.629]  If you go to the water treatment plant and get a tur, the bags of it have big, giant skull and crossbones.
[00:40:15.649 --> 00:40:19.971]  And it says, if you ingest a gram of this, you're going to have organ failure.
[00:40:20.891 --> 00:40:21.791]  But they put it in your water.
[00:40:22.452 --> 00:40:23.032]  Look right here.
[00:40:23.632 --> 00:40:24.132]  Colgate.
[00:40:24.432 --> 00:40:24.572]  Mmm.
[00:40:25.873 --> 00:40:28.514]  And it says if you ingest more than a pea-sized amount,
[00:40:31.581 --> 00:40:32.321]  Oh, there's CBS.
[00:40:32.381 --> 00:40:33.921]  Too much fluoride can ruin the bones.
[00:40:34.282 --> 00:40:37.002]  Oh yeah, all over Australia, all over the U.S., they'll have droughts.
[00:40:37.062 --> 00:40:39.343]  This is what's really proven to ranchers and farmers.
[00:40:40.323 --> 00:40:42.783]  They'll have droughts in Australia, the United States, Canada.
[00:40:42.803 --> 00:40:44.004]  It always comes out in local news.
[00:40:44.524 --> 00:40:56.466]  The farmers go, well, because the river dried up, or because the pond dried up, we were giving them municipal water here at the feedlot, and within a few months, all their hair fell out, and my cows, my horses.
[00:40:57.286 --> 00:40:59.187]  In Australia, they were raising kangaroos.
[00:40:59.227 --> 00:40:59.727]  They died.
[00:41:00.734 --> 00:41:08.276]  I mean, you give sodium fluoride municipal water, you put a goldfish in municipal water, it rolls over within a day and dies.
[00:41:09.577 --> 00:41:14.859]  I mean, take a fish tank, pour some water in it, you'll get cruelty to animals charges on you.
[00:41:15.119 --> 00:41:17.079]  You can't put that fish in Florida, it'll kill it!
[00:41:17.819 --> 00:41:19.240]  But wait, my kids are supposed to drink it.
[00:41:22.779 --> 00:41:43.228]  Oh, it just came out, the Times of India, most prestigious, one of the oldest newspapers in India, a long-term government study finding massive retardation, reduced fertility and bone disease because of the fluoride, because the IMF World Bank recommends five parts per million in India, because they think they can get away with killing these people right out in the open.
[00:41:43.428 --> 00:41:47.490]  Here in America, you get one part per million, because you might notice how much it's hurting you.
[00:41:48.050 --> 00:41:51.431]  Now, how am I not supposed to, in a restaurant, walk up and warn people?
[00:41:51.871 --> 00:41:58.493]  And everybody's scared of the cops, everybody gets quiet when they come in and sit down at the Pokey Joe's, so I get up and I walk over and I tell them.
[00:41:59.773 --> 00:42:04.415]  And the good news is they were not looking at me like I was a complete lunatic, because enough of this has now come out.
[00:42:05.555 --> 00:42:07.456]  First I said, oh, you came in here to get out of the heat.
[00:42:07.596 --> 00:42:08.536]  Little friendly thing.
[00:42:09.876 --> 00:42:11.797]  Hey, do you know about the world government?
[00:42:12.377 --> 00:42:13.417]  They said, yeah, I know about it.
[00:42:14.158 --> 00:42:15.138]  Because now it's out in the open.
[00:42:17.222 --> 00:42:20.024]  And I said, well, do you know about the chemical weapon in your drink right there?
[00:42:21.485 --> 00:42:25.088]  And I looked at them real serious, because they... It doesn't even matter.
[00:42:25.128 --> 00:42:26.249]  Why do I even do this show?
[00:42:26.749 --> 00:42:29.431]  Look, folks, I can't do everything for you, okay?
[00:42:29.691 --> 00:42:30.292]  It's real!
[00:42:31.813 --> 00:42:36.796]  If you ate a teaspoon of this Colgate, you would get sicker than a dog, ladies and gentlemen.
[00:42:36.856 --> 00:42:38.457]  This is a chemical weapon.
[00:42:38.878 --> 00:42:39.538]  It's a fact.
[00:42:39.638 --> 00:42:40.659]  The Nazis used it.
[00:42:40.899 --> 00:42:41.920]  The Soviets used it.
[00:42:41.980 --> 00:42:42.801]  I'm warning you.
[00:42:43.101 --> 00:42:43.961]  I care about you.
[00:42:44.041 --> 00:42:45.603]  I care about my fellow man.
[00:42:46.863 --> 00:42:52.388]  I don't have death and hatred for mankind like the globalists, the eugenicists, who openly want to reduce world population.
[00:42:53.969 --> 00:42:55.590]  Hello friends, this is Alex Jones.
[00:42:55.630 --> 00:42:58.433]  You've heard me talk about Kalben 5 Star Soaps for years.
[00:42:58.993 --> 00:43:03.917]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:43:04.218 --> 00:43:07.380]  You can buy factory direct, shipped via UPS right to your door.
[00:43:07.661 --> 00:43:09.963]  Check them out on the web at 5starsoap.com.
[00:43:10.623 --> 00:43:11.484]  Or call 800-340-7091.
[00:43:14.146 --> 00:43:15.087]  Take my word for it.
[00:43:15.287 --> 00:43:17.629]  Once you've used pure soap, you won't buy anything else.
[00:43:17.930 --> 00:43:24.155]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:43:24.455 --> 00:43:25.857]  Buy American and stay clean.
[00:43:25.957 --> 00:43:29.140]  As well as support InfoWars, visit 5StarsSoap.com today.
[00:43:29.260 --> 00:43:29.640]  Or call 1-800-340-7091.
[00:43:29.700 --> 00:43:31.001]  Well, Marty, what do you have to say?
[00:43:34.269 --> 00:43:41.537]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:43:42.198 --> 00:43:47.283]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:43:47.323 --> 00:43:47.763]  Thank you!
[00:43:53.641 --> 00:43:55.923]  They helped to create a New World Order.
[00:43:55.943 --> 00:43:58.245]  We are part of a New World Order.
[00:43:58.345 --> 00:44:01.127]  A New World Order based upon collective action.
[00:44:01.567 --> 00:44:06.331]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:44:06.652 --> 00:44:10.855]  The New World Order really is a tool for addressing a new world of possibilities.
[00:44:11.175 --> 00:44:13.519]  It means all the world under their control.
[00:44:13.639 --> 00:44:16.043]  The United Nations would take over America.
[00:44:16.063 --> 00:44:18.967]  The Trilateral Commission would control the world.
[00:44:19.327 --> 00:44:26.919]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:44:27.256 --> 00:44:32.539]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:44:32.639 --> 00:44:35.440]  Global governance with the establishment of the G20.
[00:44:35.500 --> 00:44:38.922]  So it's going to be an inner ruling elite and then everyone else.
[00:44:39.182 --> 00:44:40.102]  And I got news for you.
[00:44:40.242 --> 00:44:41.563]  You're everyone else.
[00:44:41.583 --> 00:44:42.563]  Invisible Empire.
[00:44:43.084 --> 00:44:50.867]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:44:54.226 --> 00:44:56.827]  Hello, this is Alex Jones with some important questions.
[00:44:57.247 --> 00:45:02.189]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:45:02.569 --> 00:45:04.289]  My answer would be all I can get.
[00:45:04.610 --> 00:45:09.431]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:45:09.611 --> 00:45:10.572]  How much do you want?
[00:45:10.792 --> 00:45:11.532]  When do you want it?
[00:45:11.912 --> 00:45:13.513]  Now or after the battle starts?
[00:45:13.793 --> 00:45:14.614]  When will you need it?
[00:45:14.874 --> 00:45:16.935]  Can you buy it without proper identification?
[00:45:17.075 --> 00:45:18.176]  Will there be any food?
[00:45:18.416 --> 00:45:19.737]  Will it make your children sick?
[00:45:19.937 --> 00:45:25.001]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:45:25.201 --> 00:45:28.343]  You wipe out all these problems if you have a good food supply.
[00:45:28.783 --> 00:45:32.284]  Food is your ammunition to fight for your freedom and your life.
[00:45:32.604 --> 00:45:33.584]  How much will you need?
[00:45:33.825 --> 00:45:34.445]  We don't know.
[00:45:34.745 --> 00:45:35.645]  How much do you want?
[00:45:35.845 --> 00:45:36.565]  All you can get.
[00:45:36.765 --> 00:45:37.606]  I'm Alex Jones.
[00:45:37.866 --> 00:45:40.626]  I want all of you good guys to live to fight another day.
[00:45:40.907 --> 00:45:43.107]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:45:43.147 --> 00:45:44.127]  Again, that number 1-800-409-5633.
