[00:00:07.535 --> 00:00:09.796]  ...media, government cover-ups.
[00:47:43.049 --> 00:47:48.832]  Politeness in the photocopier queue is why we're losing the war on terror.
[00:47:49.252 --> 00:47:49.913]  Say that again?
[00:47:50.273 --> 00:47:55.135]  Politeness in the photocopier queue is why we're losing the war on terror.
[00:47:55.956 --> 00:47:56.936]  All right, thank you.
[00:47:57.016 --> 00:47:58.537]  We'll try to check that out.
[00:47:59.918 --> 00:48:02.099]  You'd think these guys would come up with better headlines.
[00:48:03.539 --> 00:48:07.560]  But we'll get that posted.
[00:48:07.980 --> 00:48:13.061]  Let's stop now with the phone calls for a little while so I can get into some of the news.
[00:48:13.961 --> 00:48:18.462]  Number one, the government of England has been caught carrying out bombings in the past.
[00:48:19.082 --> 00:48:26.604]  That is admitted mainstream news in triplicate from pillar to post, up one side and down the other.
[00:48:27.364 --> 00:48:28.984]  Number two, the government has the motive.
[00:48:29.004 --> 00:48:30.265]  Look at this opportune timing.
[00:48:30.705 --> 00:48:32.045]  Bolsters all of their agendas.
[00:48:32.305 --> 00:48:35.626]  The war, the police state, covers up all of their criminality.
[00:48:36.566 --> 00:48:38.146]  Domestically and in the United Kingdom.
[00:48:38.606 --> 00:48:42.167]  Here in Oceania, as the two nations are properly termed.
[00:48:42.847 --> 00:48:44.768]  This Orwellian slave state.
[00:48:46.208 --> 00:48:49.429]  Then at the same time, we have the official story having holes in it.
[00:48:49.889 --> 00:48:51.269]  Netanyahu was warned.
[00:48:51.289 --> 00:48:52.249]  That has been confirmed.
[00:48:52.289 --> 00:48:53.570]  We have a whole bunch of articles on that.
[00:48:55.150 --> 00:48:55.650]  We have this
[00:48:56.500 --> 00:49:04.462]  A former top Israeli spy chief giving a press conference with more details than anyone knew long before any of it came out.
[00:49:05.022 --> 00:49:05.882]  Very suspicious.
[00:49:07.143 --> 00:49:15.565]  We have at the very same time for an hour and a half saying it was a power surge when everyone knew you had blown up trains and a blown up bus.
[00:49:17.265 --> 00:49:19.006]  Why did they put out that cover story?
[00:49:19.046 --> 00:49:23.727]  We have reports now by Reuters reporters of Muslims being shot
[00:49:25.467 --> 00:49:27.928]  Now, were these people in drills?
[00:49:27.968 --> 00:49:29.388]  Because first they were saying more bombings.
[00:49:29.709 --> 00:49:32.710]  Did people figure out it was a scam and not go ahead with the drill?
[00:49:32.730 --> 00:49:35.010]  I mean, that's where all of this is pointing.
[00:49:35.971 --> 00:49:37.451]  That's where all of this is going.
[00:49:38.732 --> 00:49:53.597]  And, again, past motive, past activities, then all this evidence, and then magically appearing ID cards in all the scenes, undamaged magically, and it just...
[00:49:54.375 --> 00:49:55.276]  Is massive.
[00:49:56.556 --> 00:49:58.898]  And it fits the classic signature.
[00:49:59.738 --> 00:50:03.040]  And you can keep denying it.
[00:50:03.881 --> 00:50:06.783]  You can continue to behave as if this isn't real.
[00:50:07.843 --> 00:50:09.924]  Or you can get a gut check and face it.
[00:50:11.065 --> 00:50:14.507]  By the way, they used to have a great SWAT team commander for Travis County.
[00:50:16.168 --> 00:50:20.691]  And one time he invited me up to the SWAT team office because I was downstairs with the county commissioners and
[00:50:21.204 --> 00:50:26.387]  I looked across the wall, and there were all these conspiracy videos on the wall, including cover-up in Oklahoma.
[00:50:27.448 --> 00:50:28.609]  And I remember him laughing at me.
[00:50:28.649 --> 00:50:30.170]  Delta Force had one train with us.
[00:50:30.190 --> 00:50:31.270]  They're not taking over.
[00:50:31.330 --> 00:50:35.973]  It's not going on, and it's not happening.
[00:50:36.954 --> 00:50:39.255]  I'll finish the story when we get back.
[00:50:39.435 --> 00:50:42.277]  A year later, he gave me a call.
[00:50:42.337 --> 00:50:43.738]  He said, I'd like to meet with you.
[00:50:43.758 --> 00:50:45.459]  He said, here's the card from Delta Force.
[00:50:46.119 --> 00:50:47.080]  They do want to do something.
[00:50:47.100 --> 00:50:49.882]  I can't tell you what, but we're telling them no, and I can't believe this is true.
[00:50:49.922 --> 00:50:50.082]  And then,
[00:50:51.030 --> 00:50:52.331]  Then he told me something else.
[00:50:52.451 --> 00:50:55.632]  And then... Then he basically got fired.
[00:50:56.852 --> 00:50:57.673]  We'll be right back.
[00:51:01.394 --> 00:51:02.915]  Hey folks, Alex Jones here.
[00:51:03.115 --> 00:51:06.196]  And the behavior of our police is a reflection of our government.
[00:51:06.316 --> 00:51:10.218]  One look in the mirror and we know our country is entering a high-tech police state.
[00:51:10.258 --> 00:51:14.499]  Here's just a sample from my documentary film, Police State 2, The Takeover.
[00:51:14.860 --> 00:51:18.641]  In downtown Seattle today, the First Amendment ended.
[00:51:18.761 --> 00:51:20.582]  A civil emergency was created by the police.
[00:51:21.142 --> 00:51:24.065]  Why have police attacked people on the streets indiscriminately?
[00:51:24.105 --> 00:51:28.810]  The medical bills are going to be enormous for me.
[00:51:28.990 --> 00:51:32.033]  You see them here with their hands cuffed behind their backs.
[00:51:32.193 --> 00:51:35.076]  They are being led into the Sandpoint Brig.
[00:51:35.557 --> 00:51:41.683]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[00:51:42.203 --> 00:51:44.046]  The number to order the takeover again is 888-253-3139
[00:52:01.405 --> 00:52:04.429]  The Berkey Light is your premier source for purified water.
[00:52:04.770 --> 00:52:13.602]  It's portable and requires no water pressure, so you can enjoy healthy drinking water, whether it's during normal times or hostile environments like a local or national emergency.
[00:52:13.902 --> 00:52:18.589]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[00:52:19.049 --> 00:52:25.773]  The Berkey Lot is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[00:52:26.173 --> 00:52:37.960]  It also removes foul-tasting odors like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals like lead and mercury while leaving in the healthful and nutritional minerals that your body needs.
[00:52:38.420 --> 00:52:42.884]  The Berkey Light's rechargeable LED lighting system is so bright it can be used as a reading light.
[00:52:43.064 --> 00:52:45.386]  Get the Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[00:52:45.406 --> 00:52:47.367]  And tell them Alex Jones sent you.
[00:52:47.387 --> 00:52:48.588]  That's toll free, 888-803-4438.
[00:52:48.668 --> 00:52:50.109]  Or order on the web at berkeywater.com.
[00:52:50.129 --> 00:52:51.190]  Not yet available in Iowa.
[00:53:00.553 --> 00:53:04.138]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:53:04.399 --> 00:53:05.260]  Look no further.
[00:53:05.560 --> 00:53:08.124]  Northern Voice Bookstore has everything you need.
[00:53:08.564 --> 00:53:16.996]  Hundreds of titles from self-defense, survival, and financial freedom to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:53:17.116 --> 00:53:19.497]  Northern Voice Bookstore offers a broad range of different perspectives.
[00:53:34.721 --> 00:53:35.121]  We're good to go.
[00:53:35.141 --> 00:53:35.622]  We're good to go.
[00:53:35.642 --> 00:53:36.022]  We're good to go.
[00:54:06.215 --> 00:54:13.481]  You know, that's one of the biggest factors that we've got in our corner towards winning this fight against the globalists.
[00:54:14.201 --> 00:54:22.107]  They have these big fancy propaganda arms with the people in the suits and the teleprompters and the backgrounds, and it makes it look real official.
[00:54:22.227 --> 00:54:24.769]  But they have to keep reapplying their lies.
[00:54:24.829 --> 00:54:28.112]  But once you know their game, it's very easy to see through it.
[00:54:29.273 --> 00:54:30.674]  And they've lost all their credibility.
[00:54:31.144 --> 00:54:31.565]  We're good to go.
[00:54:48.081 --> 00:54:56.246]  And so I can tell the Travis County SWAT team, you know, in 1998, that soon you'll have Delta Force here wanting to do drills and wanting you to merge with the military.
[00:54:56.787 --> 00:55:01.110]  And, you know, I was Special Forces and Vietnam was Marine Corps sniper, Alex.
[00:55:01.590 --> 00:55:02.651]  That isn't going to happen.
[00:55:02.691 --> 00:55:03.551]  Come on.
[00:55:03.711 --> 00:55:04.712]  It isn't going to happen.
[00:55:05.633 --> 00:55:08.414]  And then a year later, Alex, it's happening.
[00:55:08.455 --> 00:55:12.837]  I can't tell you all the details, but here's the guy's card, and they want me to do some stuff, and I said no.
[00:55:14.599 --> 00:55:16.660]  And he said no, and he was gone.
[00:55:18.007 --> 00:55:22.631]  And then we had this idea, because I was going, you know, I'm a better shot than you guys.
[00:55:22.691 --> 00:55:23.271]  Which I am.
[00:55:23.331 --> 00:55:26.193]  I'm a better shot than their entire SWAT team.
[00:55:26.213 --> 00:55:27.294]  I just guarantee you, I am.
[00:55:27.314 --> 00:55:29.296]  I mean, they're not that... These guys like to brag.
[00:55:29.316 --> 00:55:34.099]  I said, let's have a big charity benefit at a shooting range of your choice.
[00:55:34.920 --> 00:55:36.741]  They don't want to have the citizens and the police together.
[00:55:36.801 --> 00:55:39.423]  I said, let's have a 500 and 1,000 yard shooting contest with Remington 700s.
[00:55:44.841 --> 00:55:49.602]  I go shooting about once a year now, but I can still out-shoot them, generally.
[00:55:50.143 --> 00:55:50.803]  I would imagine.
[00:55:51.143 --> 00:55:57.285]  I used to go to 500 yards, shoot the top off a Tabasco bottle, the little Tabasco bottles.
[00:55:57.945 --> 00:56:02.446]  I hadn't been shooting in a couple years, and I went deer hunting a couple years ago and shot a deer at 600 yards.
[00:56:02.466 --> 00:56:05.587]  I said, I'm going to shoot it dead center right in the chest of my uncle.
[00:56:06.888 --> 00:56:08.568]  It was a little bitty doe.
[00:56:08.628 --> 00:56:11.069]  Yearling doves, they have better meat.
[00:56:11.089 --> 00:56:12.929]  I pulled the trigger, and I hit it.
[00:56:13.350 --> 00:56:14.550]  I was about a half-inch off
[00:56:15.679 --> 00:56:16.160]  600 yards.
[00:56:16.520 --> 00:56:20.143]  I'm not as good as I used to be, but he goes, yeah, that's a great idea.
[00:56:20.203 --> 00:56:22.285]  Let's have that shooting contest and sell tickets.
[00:56:22.385 --> 00:56:32.353]  And boy, our bull sheriff, Margo Frazier, fired him in a lickety split.
[00:56:34.195 --> 00:56:35.636]  Anyways, I don't know why I'm telling that story.
[00:56:35.676 --> 00:56:37.458]  It's just, why do you serve this government?
[00:56:37.538 --> 00:56:38.879]  Why do you put up with this tyranny?
[00:56:39.339 --> 00:56:41.321]  Why do you put yourselves in this position?
[00:56:42.362 --> 00:56:43.703]  Why do you go along with it?
[00:56:45.541 --> 00:56:54.743]  Alright, but concerning the bombings, we did go over the mathematical chance with very conservative parameters.
[00:56:55.503 --> 00:57:00.064]  And it came out to one of the bigger numbers that you could possibly imagine.
[00:57:00.384 --> 00:57:11.247]  Hard to pronounce the number with just so many zeros behind it, it takes a minute or so to read off all the numbers.
[00:57:12.205 --> 00:57:16.248]  But that's okay, because the government's given us a nice little illusion to buy into.
[00:57:16.268 --> 00:57:20.372]  You know, the bombers next door, they could get us any minute.
[00:57:21.072 --> 00:57:29.279]  And we'll get more into the latest developments on that, and also with the war in Iraq, with Karl Rove, and with the vitamins to be restricted.
[00:57:29.339 --> 00:57:32.441]  Also, the Patriot Act passing out of the Senate committee.
[00:57:33.842 --> 00:57:35.023]  Very, very serious.
[00:57:35.043 --> 00:57:36.925]  Their whole agenda is moving right now.
[00:57:37.085 --> 00:57:40.548]  But before we end this hour and come back and get into all that news and your calls...
[00:57:42.057 --> 00:57:45.239]  Please, please, please help us wake America up.
[00:57:46.039 --> 00:57:59.147]  The power of you, the listeners, getting my videos, Road to Tyranny, Martial Law, Police State Three Total Enslavement, Dark Secrets Inside Bohemian Grove, the power of you getting the films and making copies.
[00:57:59.427 --> 00:58:01.969]  I ran into a guy last night here locally who made 40 copies.
[00:58:02.449 --> 00:58:05.050]  I go in another store, somebody walks up and goes, I made 10 copies.
[00:58:05.431 --> 00:58:07.172]  I mean, it's getting really exciting.
[00:58:07.852 --> 00:58:11.134]  I want to commend that gentleman I saw on the racetrack gas station and said he's doing that.
[00:58:13.026 --> 00:58:16.847]  Please get the videos, and your purchase also makes this broadcast possible.
[00:58:17.268 --> 00:58:26.130]  Go to InfoWars.com to order via the SafeScare shopping cart, or call toll-free to get the films, 1-888-253-3139, that's 888-253-3139, or go to PrisonPlanet.tv to watch it online.
[00:58:26.210 --> 00:58:30.051]  We'll be right back with the second hour, so stay with us.
[00:58:41.460 --> 00:58:48.106]  If you would like a copy of this show, come to GCNlive.com and reserve it today.
[00:58:48.286 --> 00:58:50.528]  Or call toll-free 877-376-45.
[00:58:51.448 --> 00:58:58.654]  Introducing... Big Brother.
[00:58:59.275 --> 00:59:00.376]  Mainstream media.
[00:59:01.056 --> 00:59:02.157]  Government cover-ups.
[00:59:02.798 --> 00:59:03.618]  You want answers?
[00:59:04.379 --> 00:59:05.160]  Well, so does he.
[00:59:05.962 --> 00:59:09.545]  He's Alex Jones on the GCN Radio Network.
[00:59:10.105 --> 00:59:14.248]  And now, live from Austin, Texas, Alex Jones.
[00:59:15.729 --> 00:59:29.899]  All right, my friends, now into our number two.
[00:59:31.112 --> 00:59:32.954]  We're going to be taking your phone calls.
[00:59:33.555 --> 00:59:35.857]  The toll free number to join us is 1-800-259-9231.
[00:59:35.877 --> 00:59:35.957]  1-800-259-9231.
[00:59:35.977 --> 00:59:40.682]  You know, I just thought of a great guest to have on to talk about these bombings.
[00:59:48.354 --> 00:59:50.536]  I ought to get Colonel Craig Roberts on to discuss him.
[00:59:50.556 --> 00:59:52.138]  I haven't had my good buddy on in a while.
[00:59:52.658 --> 00:59:58.304]  And we've got John Rappaport coming on to give us the latest developments in the third hour of this Thursday edition.
[00:59:58.324 --> 01:00:01.487]  In this hour, we're going to cover all the news and take your phone calls.
[01:00:01.527 --> 01:00:02.428]  The toll-free number is 1-800-259-9231.
[01:00:08.331 --> 01:00:09.752]  I want to get into the Patriot Act.
[01:00:09.832 --> 01:00:11.793]  It's now moving forward towards passage.
[01:00:12.193 --> 01:00:14.795]  The House Intelligence Committee approved Patriot Act changes.
[01:00:14.815 --> 01:00:20.138]  It's also been approved in the Senate, so it could be moving on for a full vote, I guess, here in the next month or so.
[01:00:20.779 --> 01:00:23.280]  Along with CAFTA, passed the Senate, now in the House.
[01:00:23.340 --> 01:00:25.982]  Along with the National ID cards, of course, passed.
[01:00:26.022 --> 01:00:29.044]  And then the forced drugging and psychological testing, it's all passing.
[01:00:29.765 --> 01:00:32.266]  And they're trying now to pass the amnesty bills.
[01:00:33.187 --> 01:00:36.709]  So, just an avalanche of evil.
[01:00:37.994 --> 01:00:41.417]  My friends, meanwhile, we're all worried about the bomber next door.
[01:00:41.437 --> 01:00:48.442]  They're going to get us any minute if we don't give up all of our rights.
[01:00:48.802 --> 01:00:50.143]  Meanwhile, London bombing.
[01:00:50.683 --> 01:00:52.765]  Ex-Massage Chief reveals too much.
[01:00:52.825 --> 01:00:56.548]  We'll be going over that after we take some more calls.
[01:00:57.288 --> 01:01:02.132]  I took about six or seven calls in the last hour, but we're going to accelerate through your calls now in this hour.
[01:01:03.369 --> 01:01:03.509]  1-800-259-9231.
[01:01:05.751 --> 01:01:08.793]  Let us talk to Ron in New York City.
[01:01:09.354 --> 01:01:10.114]  Ron, welcome.
[01:01:10.435 --> 01:01:11.035]  Hello, Alex.
[01:01:11.656 --> 01:01:11.876]  Hi.
[01:01:12.076 --> 01:01:14.358]  I have to give something of a slight apology.
[01:01:14.418 --> 01:01:24.026]  I didn't think they would be so stupid and unwise to use the same tactic, especially when they could have adopted new and superior tactics, and try to utilize the old Patsy system.
[01:01:24.733 --> 01:01:32.220]  But I guess the problem is their undoing in the end will be that they are psychopathic and keep doing the same thing over and over again.
[01:01:32.700 --> 01:01:40.807]  And ultimately, any good officer will tell you if you do an investigation, that's how you apprehend the guilty party or detect them.
[01:01:41.428 --> 01:01:49.575]  And this is like a very strange cast of characters that they're ascribing the guilt to in the London bombings.
[01:01:51.946 --> 01:01:57.911]  I don't know exactly the degree of evidence they have, but what's been broadcast so far, these guys don't fit the puzzle.
[01:01:58.412 --> 01:02:02.395]  Well, Ron, you sent me so much good inside and public information over the years.
[01:02:02.415 --> 01:02:07.599]  Again, retired NYPD officer with a, let's just say, in the detective range there.
[01:02:07.980 --> 01:02:10.502]  But, Ron, I mean, exactly.
[01:02:10.542 --> 01:02:12.343]  They keep saying, we found them, they did it.
[01:02:12.403 --> 01:02:16.066]  And then you read deeper, Scotland Yard's going, we think they might have.
[01:02:16.607 --> 01:02:18.929]  So that's massive deception right there.
[01:02:20.066 --> 01:02:29.160]  And if you look into the profile of these guys, now, unless they were experts, and I find it hard to believe these 19-year-olds... Well, this was carried out with military precision.
[01:02:29.201 --> 01:02:30.863]  Where did they get military explosives?
[01:02:31.144 --> 01:02:35.030]  These guys weren't even old enough to barely know they were breathing yet.
[01:02:36.154 --> 01:02:42.259]  To carry this out without leaving one iota of suspicion beforehand, I don't know, it's a very strange cast.
[01:02:42.299 --> 01:02:55.329]  Yeah, let's face it, most 18-year-olds, and I'm not knocking 18-year-olds, we don't have enough life experience, you know, even people in special forces are what average age 27 or so, and, you know, it's hard to carry out precision bombings when they do it.
[01:02:55.690 --> 01:02:59.553]  I mean, yeah, we think an 18-year-old with these other people carried out perfect precision bombings.
[01:03:00.971 --> 01:03:03.275]  And their IDs weren't damaged.
[01:03:03.576 --> 01:03:05.680]  Magically, they were left in the seats, Ron.
[01:03:05.920 --> 01:03:06.982]  Pristine condition.
[01:03:07.543 --> 01:03:08.966]  You know, that's another thing, too.
[01:03:09.818 --> 01:03:16.603]  How come thus far, a week after the bombing, we haven't seen the video that the British government has of them entering the trains?
[01:03:16.703 --> 01:03:17.944]  They claim they have it.
[01:03:18.424 --> 01:03:19.445]  Why wasn't that broadcast?
[01:03:19.745 --> 01:03:21.346]  Well, I'm sure they're getting it ready for us.
[01:03:21.646 --> 01:03:23.548]  Well, I guess it's got to be manipulated.
[01:03:23.628 --> 01:03:28.331]  Even with modern technology, it takes a while to manipulate and doctor images on a digital video.
[01:03:28.591 --> 01:03:32.894]  It takes about an hour, but then it can be exposed.
[01:03:32.914 --> 01:03:33.655]  Hold me over, Alex.
[01:03:33.675 --> 01:03:35.596]  There's something I want to tell you that's very important.
[01:03:35.916 --> 01:03:36.577]  All right, Ron.
[01:03:37.197 --> 01:03:38.018]  We'll be right back.
[01:03:38.078 --> 01:03:42.240]  On the other side of this quick break, the transmission against tyranny will continue.
[01:03:43.561 --> 01:03:46.383]  So what if Netanyahu got warned?
[01:03:46.463 --> 01:03:49.925]  So what if they had drills at the exact same time, exact same place?
[01:03:50.465 --> 01:03:51.586]  It's very probable.
[01:03:54.617 --> 01:03:57.480]  There is a secret that holds the world's destiny in its grasp.
[01:03:57.720 --> 01:03:58.441]  Hello, my friends.
[01:03:58.521 --> 01:03:59.322]  Alex Jones here.
[01:03:59.642 --> 01:04:04.327]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[01:04:04.668 --> 01:04:09.112]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[01:04:09.513 --> 01:04:13.677]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[01:04:13.917 --> 01:04:16.778]  The Constitution has been shredded, and America is now a police state.
[01:04:16.838 --> 01:04:21.500]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[01:04:21.721 --> 01:04:26.123]  Martial Law is a blazing spotlight, piercing the electronic Berlin Wall of controlled corporate media.
[01:04:26.363 --> 01:04:33.586]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[01:04:33.826 --> 01:04:36.247]  Discover the documented truth for yourself before it's too late.
[01:04:36.407 --> 01:04:38.168]  Call toll-free to get a copy of Martial Law.
[01:04:38.769 --> 01:04:44.335]  1-888-253-3139 Or visit Infowars.com and the secure shopping cart.
[01:04:44.395 --> 01:04:51.303]  That's Infowars.com or 888-253-3139 Or watch the film right now online at PrisonPlanet.tv
[01:04:54.281 --> 01:04:57.283]  The Berkey Light is your premier source for purified water.
[01:04:57.623 --> 01:05:06.469]  It's portable and requires no water pressure, so you can enjoy healthy drinking water, whether it's during normal times or hostile environments like a local or national emergency.
[01:05:06.770 --> 01:05:11.453]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[01:05:11.913 --> 01:05:18.637]  The Berkey Lot is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[01:05:19.037 --> 01:05:30.804]  It also removes foul-tasting odors like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals like lead and mercury while leaving in the healthful and nutritional minerals that your body needs.
[01:05:31.284 --> 01:05:35.748]  The Berkey Lights rechargeable LED lighting system is so bright it can be used as a reading light.
[01:05:35.928 --> 01:05:38.390]  Get the Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[01:05:38.410 --> 01:05:40.251]  And tell them Alex Jones sent you.
[01:05:40.271 --> 01:05:41.452]  That's toll free, 888-803-4438.
[01:05:41.532 --> 01:05:42.993]  Or order on the web at berkeywater.com.
[01:05:43.013 --> 01:05:44.054]  Not yet available in Iowa.
[01:05:54.059 --> 01:06:00.961]  Sandal season is finally here, but not for those of us too embarrassed to wear them because of yellow, unsightly toenails.
[01:06:01.481 --> 01:06:06.903]  If your nails look dark or discolored, now's the time to start using patented Nonex Nail Gel.
[01:06:07.303 --> 01:06:17.345]  All-natural Nonex is a topical, epinoic acid gel that clears out the source of the problem, the dark or yellow material that builds up under the nails called keratin debris.
[01:06:17.465 --> 01:06:19.806]  Nonex Nail Gel is absolutely amazing.
[01:06:20.186 --> 01:06:23.227]  I used to have yellow nails, and now they look clear and almost perfect.
[01:06:23.687 --> 01:06:24.868]  I'm wearing sandals again.
[01:06:25.008 --> 01:06:32.492]  Non-X Nail Gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity.
[01:06:32.753 --> 01:06:34.494]  It's also money-back guarantee.
[01:06:34.814 --> 01:06:47.021]  You'll find Non-X Gel, spelled N-O-N-Y-X, in the foot care section at Rite Aid, Walgreens, Longs, Brooks, and independent pharmacies nationwide, or online at drugstore.com.
[01:06:47.081 --> 01:06:51.424]  Non-X Nail Gel, for clearer nails and feet that look great in sandals.
[01:06:58.067 --> 01:06:58.728]  Big Brother.
[01:06:59.389 --> 01:07:00.450]  Mainstream media.
[01:07:01.150 --> 01:07:02.251]  Government cover-ups.
[01:07:02.912 --> 01:07:03.733]  You want answers?
[01:07:04.494 --> 01:07:05.375]  Well, so does he.
[01:07:05.395 --> 01:07:09.779]  He's Alex Jones on the GCN Radio Network.
[01:07:10.240 --> 01:07:14.324]  And now, live from Austin, Texas, Alex Jones.
[01:07:26.219 --> 01:07:26.999]  All right, folks.
[01:07:27.279 --> 01:07:31.643]  Eight minutes, 35 seconds into the second hour of transmission.
[01:07:33.325 --> 01:07:48.798]  Here on the front lines of the information war, launching salvo, ever salvo of common sense and the truth against the global overlords that could care less about human life, who have been caught a thousand times engaging in pure evil and lying to you.
[01:07:49.938 --> 01:08:01.363]  They have the motive for these bombings, they have the past history, and now they're saying that all these ID cards magically were left in their seats in the middle of giant bombings that sent wreckage spewing hundreds of feet.
[01:08:02.103 --> 01:08:04.744]  They are telling us now they have all this evidence.
[01:08:05.264 --> 01:08:11.207]  Meanwhile, you read deeper, they're still, quote, suspected bombers, but the media says they are the bombers.
[01:08:12.216 --> 01:08:12.516]  It takes time.
[01:08:34.258 --> 01:08:35.539]  Do these things properly.
[01:08:36.200 --> 01:08:37.781]  Ron in New York, go ahead and finish up.
[01:08:38.261 --> 01:08:38.822]  Yes, Alex.
[01:08:38.942 --> 01:08:45.146]  Another thing your listeners may not be aware of, and this is just something that outed, I believe, in the last few days, 48 hours.
[01:08:45.867 --> 01:08:48.329]  They were testing gas again.
[01:08:49.312 --> 01:08:49.552]  In New York.
[01:08:49.572 --> 01:08:52.393]  In Grand Central Station, in the New York City subway system.
[01:08:52.793 --> 01:08:56.114]  Now, this happened sometime, I believe, over the last few weeks.
[01:08:56.654 --> 01:09:10.478]  They claimed it was an invisible, odorless gas that was harmless, though they wouldn't identify the gas, and they released it in Grand Central Station to see the pathways that poisonous gas may take should Grand Central be subject to an attack.
[01:09:10.999 --> 01:09:12.699]  Now, I've got to say two things about that.
[01:09:12.939 --> 01:09:15.360]  I was in that system last month, in June.
[01:09:16.272 --> 01:09:19.733]  And I became unusually... I went through there, Grand Central Station, too.
[01:09:20.173 --> 01:09:23.094]  I became unusually nauseous, okay?
[01:09:23.554 --> 01:09:27.415]  And I noticed something else, that a lot of other people were unusually ill.
[01:09:28.155 --> 01:09:30.316]  I said to myself, maybe it was just the heat.
[01:09:30.376 --> 01:09:32.056]  I chalked it off to that, summer heat.
[01:09:32.076 --> 01:09:37.018]  And I said, it seems an odd number of people seem ill, headaches, and nauseous on the train with me.
[01:09:37.558 --> 01:09:41.899]  And I begin to wonder now... Well, Ron, I don't know why you're questioning this.
[01:09:42.459 --> 01:09:45.420]  The people just type in biological tests in Oklahoma...
[01:09:47.039 --> 01:09:51.642]  Like 55 tests releasing a dangerous bacteria.
[01:09:51.662 --> 01:09:54.844]  The Army released the name of the bacterium, but it was safe.
[01:09:55.224 --> 01:10:05.971]  We typed it in, and in the encyclopedia, it said it causes spontaneous abortions, spontaneous miscarriages in all mammal life, including humans, cows, pigs.
[01:10:06.751 --> 01:10:16.336]  And it said that it could cause respiratory infections in the old, the young, and the infirm particularly, and they sprayed it over Oklahoma City and almost every other town and city.
[01:10:16.356 --> 01:10:17.497]  That was, what, a couple years ago.
[01:10:17.917 --> 01:10:18.857]  But let me just stop you.
[01:10:19.678 --> 01:10:23.520]  Type in Project Shad into the search engine.
[01:10:23.540 --> 01:10:25.701]  You'll get BBC, AP, Reuters.
[01:10:26.101 --> 01:10:32.624]  We have the military officers on in England, on ships, in Hawaii.
[01:10:33.104 --> 01:10:33.885]  Let me just finish, Ron.
[01:10:33.905 --> 01:10:34.485]  This is important.
[01:10:35.211 --> 01:10:52.423]  All over the country, for 25 years, up until the late 1980s, Project Shad would spray chemicals and biologicals on troops and cities, and it's now come out that in one 84 test in Wales, they had U.S.
[01:10:52.503 --> 01:10:57.647]  and British troops, over 100 of them, stand out on top tanks and inside their tanks.
[01:10:58.442 --> 01:10:59.023]  Now let me add this.
[01:11:20.658 --> 01:11:23.840]  Ron, you're a retired New York City cop.
[01:11:24.120 --> 01:11:30.604]  Were you aware that in 1968, type this into Google, you'll get, of all places, popular science.
[01:11:31.504 --> 01:11:33.705]  And you'll get all these mainstream articles.
[01:11:33.725 --> 01:11:35.246]  This is one of the better known.
[01:11:35.366 --> 01:11:39.849]  In 1968, light bulbs released a dangerous bacterium.
[01:11:40.709 --> 01:11:43.851]  Deaths resulted... This is an exact quote.
[01:11:46.092 --> 01:11:47.052]  Of popular science.
[01:11:47.512 --> 01:11:51.913]  Deaths resulted, details remain classified.
[01:11:52.433 --> 01:11:56.154]  They sprayed ship channels in Houston, ship channels in San Francisco.
[01:11:56.174 --> 01:11:57.314]  That gets to my point.
[01:11:57.394 --> 01:12:03.315]  They were doing that, yes, I know about the San Francisco experiments, and throughout the New York City subway system from the late 40s.
[01:12:03.695 --> 01:12:08.316]  Imagine these families, up until 68, you go to work and they kill you.
[01:12:08.776 --> 01:12:09.896]  Let me finish this statement.
[01:12:10.236 --> 01:12:12.917]  My point is, in the late 70s, that information was outed.
[01:12:13.317 --> 01:12:13.577]  I think so.
[01:12:30.496 --> 01:12:36.343]  They keep doing the same monstrous thing over and over, even when it is not propitious and wise for them to do it.
[01:12:36.443 --> 01:12:38.465]  And a lot of analysts are pointing that out.
[01:12:38.505 --> 01:12:41.789]  That is a thread now in the alternative news.
[01:12:41.849 --> 01:12:46.774]  People are really starting to notice that they are following a classic psychopathic
[01:12:47.294 --> 01:12:48.956]  Like a truck stop serial killer.
[01:12:49.256 --> 01:12:52.659]  I mean, you would think they would be more clever than that or organized than that.
