[00:00:01.533 --> 00:00:02.617]  I don't know.
[00:44:33.141 --> 00:44:37.882]  Well, I hope you're wrong, but I mean, already Georgia canceled much of its school week.
[00:44:38.222 --> 00:44:39.883]  Kentucky canceled some days.
[00:44:40.903 --> 00:44:43.864]  Already, I mean, it's causing major problems.
[00:44:43.904 --> 00:44:53.247]  And then Bush turns loose some of their strategic petroleum reserve, but then gives it to oil companies for a dollar and then lets them charge us $3.
[00:44:53.487 --> 00:44:58.008]  And they still have to refine it, which is the problem, is that we don't have the refineries.
[00:44:58.828 --> 00:45:00.889]  And then who makes out like a bandit?
[00:45:01.329 --> 00:45:02.089]  The Middle Eastern oil.
[00:45:03.078 --> 00:45:15.104]  Because the local guys are certainly hurt by having all of this product shut in, whereas the Middle East could continue to pump and sell, and then we have to buy that with our trade balance dollars.
[00:45:15.204 --> 00:45:21.847]  Well, Scott, I was talking to you during the break, and you've just been objectively looking at this for years and years researching.
[00:45:22.227 --> 00:45:25.869]  You said that the way these storms behaved and what happened with our government
[00:45:27.013 --> 00:45:32.498]  With Katrina now, and to some extent Rita, makes you think that it's a domestic operation.
[00:45:32.919 --> 00:45:34.140]  That's a big development.
[00:45:34.560 --> 00:45:50.935]  Well, I think the President made a rather telling statement on Thursday, in that he saw the role of the federal government in all of these disasters, that no one entity, no local entity, was sufficiently connected or had the resources to handle these kind of disasters.
[00:45:51.761 --> 00:45:58.764]  And so he sees the feds taking over law enforcement and all of these other responsibilities which have historically been local.
[00:45:59.205 --> 00:46:00.865]  And I think that's the power grab.
[00:46:01.186 --> 00:46:07.929]  And in their response to Katrina, which was simply treasonous, they have no right to ask for that responsibility with future disasters.
[00:46:08.249 --> 00:46:09.910]  They failed and failed miserably.
[00:46:10.390 --> 00:46:11.370]  Now, Rita was set up.
[00:46:11.691 --> 00:46:18.954]  I mean, they evacuated Houston as a grand experiment to see if they could move that many people out.
[00:46:19.014 --> 00:46:20.975]  And it was two cities, one wealthy and one poor.
[00:46:21.937 --> 00:46:26.539]  And they had very different results with both exercises.
[00:46:27.680 --> 00:46:28.880]  Well, you're right.
[00:46:28.980 --> 00:46:37.965]  I mean, we know that FEMA cut communications lines for police, sabotaged, actively made things as bad as they could until three parishes had to post armed guards.
[00:46:37.985 --> 00:46:39.505]  Then they tried to confiscate guns.
[00:46:40.386 --> 00:46:42.427]  So clearly, people say that's a screw-up.
[00:46:42.727 --> 00:46:45.628]  Well, by screwing up, they then get more funding and control.
[00:46:46.028 --> 00:46:48.510]  They've done this by design, so we've caught them red-handed.
[00:46:48.810 --> 00:46:50.651]  So that makes perfect sense, then, that...
[00:46:51.631 --> 00:46:57.714]  That they have the motive, and then you looked at that storm, and as it was coming in, you said it was very unusual.
[00:46:57.754 --> 00:46:59.255]  Can you specifically talk about Katrina?
[00:46:59.555 --> 00:47:02.136]  Oh, just the geometry within the eye.
[00:47:02.176 --> 00:47:09.219]  When we get to Category 4 and 5, the eye wall begins to deform into the energy structure, which is holding that storm together.
[00:47:09.660 --> 00:47:20.765]  You begin to get the geometry, the pentagrams, the stars within the eye, the unusual square thunderstorms developing on the edges of the storm, of these feeder bands.
[00:47:21.475 --> 00:47:24.880]  But all of the storms nowadays display this technology.
[00:47:24.900 --> 00:47:30.247]  What about Rita going up to a category of five and almost becoming a six?
[00:47:30.728 --> 00:47:36.356]  And that was simply to scare the bejesus out of Houston, to get people to empty out, to see how or if...
[00:47:36.816 --> 00:47:38.578]  We could evacuate on that larger scale.
[00:47:39.018 --> 00:47:42.421]  And then there was some counter-rippling on the eastern to southern side of Rita.
[00:47:42.761 --> 00:47:45.663]  Yeah, what was that where Rita started forming another eye?
[00:47:45.683 --> 00:47:51.588]  I mean, even the meteorologists and people at the Hurricane Center are going, we've never seen them do this.
[00:47:52.028 --> 00:47:53.950]  I mean, you know, two of them coming out of the Atlantic.
[00:47:54.150 --> 00:47:56.792]  How did they know when it was still in the Atlantic that it was going to hit Houston?
[00:47:56.952 --> 00:47:58.673]  I mean, how did they know that they never knew this?
[00:47:58.953 --> 00:48:04.718]  Well, and then FEMA, when they had surplus ice from Katrina, reordering that much ice again.
[00:48:05.307 --> 00:48:07.790]  The week before reading even had a name.
[00:48:08.511 --> 00:48:10.834]  So they knew they were going to need it at some point.
[00:48:10.874 --> 00:48:12.336]  The question is where and when.
[00:48:12.876 --> 00:48:14.018]  So there's a playbook.
[00:48:14.406 --> 00:48:23.629]  There's definitely a playbook when it comes to climate, whether it's set out to the day or with the week, or we'll simply take advantages of the climate system as they appear.
[00:48:23.849 --> 00:48:24.569]  Sir, I know this.
[00:48:24.789 --> 00:48:26.950]  I mean, we know they have weather modification tools.
[00:48:27.070 --> 00:48:29.430]  I don't know how much they can control or what they can do.
[00:48:29.490 --> 00:48:30.371]  You're a meteorologist.
[00:48:30.391 --> 00:48:33.091]  You're saying they can create them, they can steer them, they can control them.
[00:48:33.191 --> 00:48:35.272]  I believe you, but I see the motive.
[00:48:35.312 --> 00:48:42.454]  I mean, I said years ago, they're going to use this weather modification to deluge coastal cities and push through a UN global Kyoto tax.
[00:48:42.874 --> 00:48:46.235]  Which is what they're now doing, and just all the motives are there.
[00:48:46.555 --> 00:48:57.420]  And as long as people leave accountability and responsibility for the weather at Mother Nature's doorsteps, then there isn't accountability for those who really caused it.
[00:48:57.960 --> 00:49:02.581]  And so it's problem, reaction, solution all over again.
[00:49:03.242 --> 00:49:03.822]  All over again.
[00:49:04.591 --> 00:49:08.816]  And that's why it's so important that people research this topic.
[00:49:09.256 --> 00:49:10.137]  Do it individually.
[00:49:10.357 --> 00:49:11.739]  Just don't take my word for it.
[00:49:11.779 --> 00:49:13.841]  You've got to come to this knowingness on your own.
[00:49:13.901 --> 00:49:18.065]  And with that will come the conviction of sharing what you have learned with those around you.
[00:49:18.926 --> 00:49:26.114]  Well Scott, I had you on about three weeks ago and I was not pessimistic, but I was a little bit apprehensive.
[00:49:26.713 --> 00:49:30.114]  You know, not because I don't think you're legitimate and I don't think your research is good.
[00:49:30.154 --> 00:49:31.814]  It's just that who wants to believe this?
[00:49:32.494 --> 00:49:37.155]  But, I mean, now even seeing all the other meteorologists saying we've never seen storms do this.
[00:49:37.575 --> 00:49:39.115]  I mean, stuff is really weird.
[00:49:39.535 --> 00:49:41.416]  And we know they have the technology.
[00:49:41.736 --> 00:49:49.117]  And then, meanwhile, the neocons are running around with their talking points saying, you know, none of this exists when I've got U.N.
[00:49:49.177 --> 00:49:53.578]  laws and congressional laws and secretaries of defense talking about it.
[00:49:53.618 --> 00:49:55.138]  I mean, this stuff is real.
[00:49:56.878 --> 00:49:58.699]  It comes back to the government's credibility.
[00:49:59.119 --> 00:50:07.080]  I mean, they will try and try and try to keep it secret, but I'm also of the belief that there is a portion within the government that wants this out there.
[00:50:07.300 --> 00:50:15.062]  And that may have been the reason why the technology transfer aspect was included within Senate Bill 517, which goes into effect October 1st.
[00:50:15.482 --> 00:50:20.663]  So there is at least some mechanism to draw this technology from those...
[00:50:21.603 --> 00:50:28.945]  The military aspect of it and bring it out into the public light of day so there can be some oversight, which is so desperately needed.
[00:50:29.505 --> 00:50:34.707]  I mean, you simply have to weep for the folks along the Gulf Coast for what they have gone through in Florida last year.
[00:50:35.207 --> 00:50:36.547]  It didn't have to happen.
[00:50:37.308 --> 00:50:49.191]  We're talking to Scott Stevens, and he has just retired from his meteorology job there where he's been for nine years at a major TV station, and now he is going to go full-time, I guess, fighting the New World Order.
[00:50:49.821 --> 00:50:56.264]  We know other modification is real, but a lot of old-timers out there just don't want to believe it.
[00:50:56.284 --> 00:50:56.864]  We'll be right back.
[00:51:02.722 --> 00:51:05.583]  There is a secret that holds the world's destiny in its grasp.
[00:51:05.843 --> 00:51:07.423]  Hello, my friends, Alex Jones here.
[00:51:07.764 --> 00:51:12.425]  Learn that secret with my new film, Martial Law, 9-11 Rise of the Police State.
[00:51:12.765 --> 00:51:17.207]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:51:17.607 --> 00:51:21.788]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:51:22.028 --> 00:51:24.870]  The Constitution has been shredded, and America is now a police state.
[00:51:24.950 --> 00:51:29.634]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:51:29.814 --> 00:51:34.238]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:51:34.478 --> 00:51:41.684]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:51:41.944 --> 00:51:44.366]  Discover the document of truth for yourself before it's too late.
[00:51:44.526 --> 00:51:46.268]  Call toll-free to get a copy of Martial Law.
[00:51:46.828 --> 00:51:52.411]  1-888-253-3139 Or visit InfoWars.com and the secure shopping cart.
[00:51:52.491 --> 00:51:59.375]  That's InfoWars.com or 888-253-3139 Or watch the film right now online at PrisonPlanet.tv
[00:52:01.747 --> 00:52:09.276]  Get the new Berkey battery adapter, an inexpensive yet long-term backup power supply for your Berkey Light LED system.
[00:52:09.556 --> 00:52:20.469]  The Berkey's LED lamps are unique because, incredibly, they have an average life of over 11 years of continuous use and are so bright they can be spotted for more than a mile in the dark.
[00:52:20.629 --> 00:52:21.129]  We're good to go.
[00:52:21.230 --> 00:52:21.850]  We're good to go.
[00:52:37.202 --> 00:52:37.703]  That's right.
[00:52:37.883 --> 00:52:45.010]  Incredibly, your emergency light will operate every night for over two weeks for the price of four small AA batteries.
[00:52:45.290 --> 00:52:53.718]  Be prepared for unexpected emergencies and get the Berkey battery adapter, complete with on-off switch for only $10 by calling New Millennium at 888-803-4438.
[00:52:53.738 --> 00:52:54.259]  That's toll-free, 888-803-4438.
[00:53:03.618 --> 00:53:09.541]  Herbal Healer Academy is a global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:09.781 --> 00:53:12.022]  We specialize in keeping you alive and healthy.
[00:53:12.223 --> 00:53:18.586]  We provide outstanding products like Esiac, colloidal silver 500 parts per million, olive leaf extract,
[00:53:18.926 --> 00:53:19.567]  We're good to go.
[00:53:34.468 --> 00:53:34.988]  We're good to go.
[00:53:35.008 --> 00:53:35.308]  I think?
[00:54:13.152 --> 00:54:18.774]  It's 2005, and weather modification's been around for a long time.
[00:54:18.794 --> 00:54:19.835]  60 years.
[00:54:19.855 --> 00:54:21.995]  Little old-fashioned cloud seeding.
[00:54:23.396 --> 00:54:31.379]  Scott Stevens, a meteorologist, now really going public with weather modification and control, really making a big splash, exposing this stuff.
[00:54:31.659 --> 00:54:36.261]  Have you ever seen that weather channel program called Atmospheres, where they did the weather wars?
[00:54:37.342 --> 00:54:39.404]  Oh, I have not.
[00:54:39.804 --> 00:54:40.345]  I have not.
[00:54:40.365 --> 00:54:43.527]  Well, it was on in the evening, and I usually work to those evenings.
[00:54:43.687 --> 00:54:44.808]  Well, I'll try to send you a copy.
[00:54:44.848 --> 00:54:45.549]  I've got one somewhere.
[00:54:45.569 --> 00:54:53.455]  But three or four years ago, or one of our listeners can, three or four years ago, they just came right out and showed our own government controlling the weather in Vietnam.
[00:54:54.636 --> 00:54:54.937]  Wow.
[00:54:55.077 --> 00:54:56.278]  Back in the 60s and 70s.
[00:54:58.279 --> 00:54:58.800]  It happens.
[00:54:59.120 --> 00:54:59.861]  You know, it happens.
[00:54:59.961 --> 00:55:00.041]  And
[00:55:01.513 --> 00:55:03.915]  The research that Bearden had done was that the U.S.
[00:55:03.935 --> 00:55:05.596]  was just grossly behind in this.
[00:55:06.197 --> 00:55:08.698]  But it doesn't appear to be the case now.
[00:55:08.899 --> 00:55:14.242]  It seems like we've attempted things electronically or through the process of seeding.
[00:55:14.723 --> 00:55:22.628]  Well, since Fidel Castro back in the early 60s when we wanted to crash his sugar crops and associated growings on the island.
[00:55:23.249 --> 00:55:25.110]  So there's always been weather used for
[00:55:25.908 --> 00:55:27.409]  For nefarious purposes.
[00:55:27.629 --> 00:55:31.872]  And it's always kept secret so they could use it for those purposes as long as possible.
[00:55:31.952 --> 00:55:32.913]  Just like the A-bomb.
[00:55:33.353 --> 00:55:38.136]  Incredibly secret until you could miss that blinding flash of light.
[00:55:38.516 --> 00:55:39.717]  And it's the same with weather modification.
[00:55:39.737 --> 00:55:42.599]  But this is even better because there's not the blinding flash of light.
[00:55:42.759 --> 00:55:43.339]  No, there isn't.
[00:55:43.399 --> 00:55:52.425]  But one thing, your South Florida listeners, these plasma balls, these glowing balls of light in the sky, numerous emails about that happening.
[00:55:52.985 --> 00:55:54.867]  That's been all over mainstream television.
[00:55:55.307 --> 00:55:58.549]  Weather, there's these big burning, great balls of fire shooting around.
[00:55:58.589 --> 00:55:59.390]  What are those?
[00:55:59.430 --> 00:56:01.931]  Those are registration tools.
[00:56:02.152 --> 00:56:03.713]  They're EM balls of energy.
[00:56:03.753 --> 00:56:07.816]  These scalar howitzers are aimed and tuned and registered for targeting.
[00:56:08.456 --> 00:56:11.638]  So it's like the red light of a laser sight on a rifle.
[00:56:11.938 --> 00:56:12.819]  It's like a tracer?
[00:56:13.119 --> 00:56:13.700]  Exactly.
[00:56:14.280 --> 00:56:14.840]  Exactly.
[00:56:15.461 --> 00:56:18.423]  And that's how they know they're pointing the thing at the right place.
[00:56:19.483 --> 00:56:24.191]  And when you see that happening you know somebody is watching your area rather closely.
[00:56:25.186 --> 00:56:27.448]  I actually did a Google search.
[00:56:27.468 --> 00:56:36.094]  You know, the last few really bad hurricanes, no matter where it is in that region, people are reporting seeing these fiery balls shooting in the direction of the hurricane.
[00:56:36.415 --> 00:56:43.720]  And that's what's happening is this EM technology is registering on the next location for altering the atmosphere.
[00:56:44.141 --> 00:56:54.869]  And that's how they know that they're pointed at the right place is that bright point of energy that then is traced and then the beam is focused and tuned properly and then fired.
[00:56:55.703 --> 00:56:57.864]  So we're going to see a lot more of them.
[00:56:57.884 --> 00:57:10.527]  Now, we know they've got HAARP up in Alaska, and we know that the company that originally designed it and sold it, if you go to their website, they actually bragged that, oh, we can have weather modification for you.
[00:57:11.047 --> 00:57:15.208]  So, I mean, really, all of this is just so in-your-face public.
[00:57:15.948 --> 00:57:20.129]  I mean, how do we know then, Scott, when a hurricane is real or when it's man-made?
[00:57:20.249 --> 00:57:22.750]  You would have to assume that it's man-made from this point onward.
[00:57:23.464 --> 00:57:25.365]  You really have to.
[00:57:25.585 --> 00:57:30.107]  They don't want you to believe that, but that's truly where we are.
[00:57:30.147 --> 00:57:32.008]  The technology is that far along.
[00:57:32.408 --> 00:57:34.349]  And that was my big revelation.
[00:57:34.589 --> 00:57:38.191]  The epiphany last year was that it's on 24-7, 365.
[00:57:38.231 --> 00:57:43.473]  So if they can control hurricanes, they can also stop hurricanes.
[00:57:43.553 --> 00:57:43.873]  Sure.
[00:57:44.013 --> 00:57:44.433]  Certainly.
[00:57:44.934 --> 00:57:45.334]  Certainly.
[00:57:45.574 --> 00:57:49.956]  And that's where you know that they don't have your and I's best interest at heart.
[00:57:50.652 --> 00:57:51.372]  They just don't.
[00:57:51.953 --> 00:58:03.858]  And all of the chemtrails seen around the edges of these storms as they continue to manipulate and discover how this atmosphere is being modulated and heated and cooled in advance of these storms.
[00:58:04.058 --> 00:58:12.182]  And that's what the chemtrails are there for, is to make these EM waves visible so that they can remotely surveil how the technology is altering the storms.
[00:58:13.522 --> 00:58:13.962]  All right.
[00:58:14.022 --> 00:58:19.225]  Well, Mr. Stevens, I really appreciate you coming on with us, and I want to get you on for a full hour in the near future.
[00:58:19.285 --> 00:58:20.765]  WeatherWars.info.
[00:58:21.506 --> 00:58:25.948]  Now that you're going to have full time, the site's already excellent, but I'll imagine there'll be a lot more stuff going up there.
[00:58:26.308 --> 00:58:32.951]  I can't wait to get back to work on it and take a little time away from all the e-mails and the shows so I can get some new material out there.
[00:58:33.211 --> 00:58:33.551]  All right.
[00:58:33.751 --> 00:58:34.492]  Thank you so much, sir.
[00:58:34.512 --> 00:58:34.932]  You betcha.
[00:58:35.212 --> 00:58:35.612]  Take care.
[00:58:36.072 --> 00:58:39.334]  We'll be right back, ladies and gentlemen, with some of your calls with Aaron Zellman.
[00:58:41.351 --> 00:58:46.240]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[00:58:57.759 --> 00:58:58.400]  Big Brother.
[00:58:59.060 --> 00:59:00.121]  Mainstream media.
[00:59:00.821 --> 00:59:01.942]  Government cover-ups.
[00:59:02.603 --> 00:59:03.403]  You want answers?
[00:59:04.164 --> 00:59:05.084]  Well, so does he.
[00:59:05.745 --> 00:59:09.468]  He's Alex Jones on the GCN Radio Network.
[00:59:09.908 --> 00:59:12.250]  And now, live from Austin, Texas...
[00:59:13.150 --> 00:59:14.011]  Alex Jones.
[00:59:14.131 --> 00:59:18.413]  Monday through Friday from 11 a.m.
[00:59:18.713 --> 00:59:19.594]  until 2 p.m.
[00:59:19.634 --> 00:59:21.354]  Central Standard Time, we're here live.
[00:59:21.374 --> 00:59:35.822]  And then, of course, back from 9 to midnight, we had Scott Stevens, meteorologist, formerly with KPVI, News 6, Puppetello, Idaho, on to talk about weather modification and the evidence that our own government was behind it now.
[00:59:35.922 --> 00:59:41.205]  He's now turning towards that evidence, and so I'm more on the same page with him now.
[00:59:43.368 --> 00:59:45.329]  And we're also going to be taking some of your calls.
[00:59:45.549 --> 00:59:52.574]  The head of the Jews for Preservation of Firearms ownership will be joining us here in a few minutes to give us a report on where the Second Amendment is right now.
[00:59:52.614 --> 00:59:53.734]  And believe me, it ain't pretty.
[00:59:54.134 --> 00:59:55.295]  There's also some good news.
[00:59:56.656 --> 00:59:58.657]  Right now, though, let's go to your calls.
[00:59:58.717 --> 01:00:00.518]  Sikander in Toronto, Canada.
[01:00:00.798 --> 01:00:01.719]  Go ahead, Sikander.
[01:00:01.959 --> 01:00:02.419]  Hey, Alex.
[01:00:02.459 --> 01:00:03.140]  Thanks for having me.
[01:00:03.160 --> 01:00:03.540]  You bet.
[01:00:03.560 --> 01:00:05.761]  And thanks for the invoke.
[01:00:06.582 --> 01:00:10.204]  I read in 97, Secretary of Defense Cohen said,
[01:00:11.833 --> 01:00:17.778]  Well, he stated that electromagnetic weapons are being used to manipulate the environment.
[01:00:17.798 --> 01:00:20.861]  I don't know if there's any truth to that.
[01:00:20.921 --> 01:00:21.241]  Yes, sir.
[01:00:21.301 --> 01:00:22.182]  It's a real quote.
[01:00:22.682 --> 01:00:22.943]  Right.
[01:00:23.283 --> 01:00:32.871]  And I also read something about the Meroviginian signature of the hurricanes, like the names of the hurricanes.
[01:00:33.812 --> 01:00:34.513]  There's any, like,
[01:00:37.988 --> 01:00:39.909]  Well, you've got to watch out with stuff like that.
[01:00:40.750 --> 01:00:44.233]  I mean, you know, look, all I know is weather modification is real.
[01:00:45.214 --> 01:00:52.279]  Scott Stevens, who's a degreed meteorologist, says that things aren't behaving the way they should and it looks like it's controlled.
[01:00:53.000 --> 01:00:55.922]  A lot of other meteorologists are saying things just aren't right.
[01:00:57.403 --> 01:01:01.086]  So that we can prove, but as for the names they pick, I mean, I don't know.
[01:01:02.237 --> 01:01:04.299]  So there's nothing with the names that they have?
[01:01:04.379 --> 01:01:05.079]  Again, I don't know.
[01:01:05.340 --> 01:01:05.540]  Right.
[01:01:05.760 --> 01:01:06.000]  Okay.
[01:01:07.001 --> 01:01:07.641]  Thanks a lot, Alex.
[01:01:07.762 --> 01:01:08.662]  Yeah, thank you for the call.
[01:01:09.003 --> 01:01:09.883]  Russell in Florida.
[01:01:09.903 --> 01:01:10.544]  Go ahead, Russell.
[01:01:11.665 --> 01:01:12.765]  Alex, great show today.
[01:01:12.785 --> 01:01:14.267]  Thanks for doing everything you're doing.
[01:01:14.347 --> 01:01:15.568]  No, you don't have to thank me.
[01:01:15.588 --> 01:01:15.928]  Go ahead.
[01:01:16.028 --> 01:01:20.672]  Well, I appreciate having Scott Stevens on, and maybe you could have him and Richard C. Hoagland on.
[01:01:21.522 --> 01:01:23.543]  Next time, since they're both at the forefront of this.
[01:01:23.563 --> 01:01:27.564]  Yeah, I heard Hoagland wants to talk to me, but then he hasn't called me or I missed the call.
[01:01:27.884 --> 01:01:29.324]  I want to get Hoagland on, but go ahead.
[01:01:29.404 --> 01:01:29.884]  It'd be great.
[01:01:30.304 --> 01:01:34.265]  Alex, this is more toward your next guest and more toward the news we're getting.
[01:01:34.685 --> 01:01:47.969]  Alex, isn't it interesting that the same traitors in power calling for military intervention in emergencies and disaster relief and an end to Posse Comitatus are the same people that said that the military's not set up to protect our borders and deal with border security?
[01:01:48.349 --> 01:01:49.029]  Isn't that interesting?
[01:01:49.955 --> 01:01:50.916]  You know, that's a good point.
[01:01:50.936 --> 01:02:00.501]  They're the very same people that say, don't put the troops on the border where they could be under the Constitution, but let's put them in the train stations and shopping malls, pointing machine guns at you and taking you to jail.
[01:02:00.841 --> 01:02:01.001]  Yep.
[01:02:01.822 --> 01:02:02.562]  Very interesting.
[01:02:03.342 --> 01:02:04.383]  I just want to bring that point up.
[01:02:04.403 --> 01:02:09.746]  Well, they're the same crowd that likes to seize innocent countries and steal their resources based on lies.
[01:02:09.806 --> 01:02:11.967]  I mean, these guys are tyrants.
[01:02:13.968 --> 01:02:15.369]  America's the big prize, folks.
[01:02:15.389 --> 01:02:16.530]  They're occupying Iraq.
[01:02:16.810 --> 01:02:18.611]  Bush is now trying to occupy the U.S.,
[01:02:19.673 --> 01:02:20.514]  Well, you said it yourself.
[01:02:20.574 --> 01:02:21.756]  America's target number one.
[01:02:21.996 --> 01:02:24.759]  They take this country down, and they've got their new world order.
[01:02:26.621 --> 01:02:29.125]  America is target number one, my friend.
[01:02:29.385 --> 01:02:29.905]  You said it.
[01:02:29.966 --> 01:02:30.847]  We are the prize.
[01:02:30.867 --> 01:02:31.507]  That's right.
[01:02:32.008 --> 01:02:32.669]  God bless you, Alex.
[01:02:32.729 --> 01:02:33.430]  Thanks for all you do.
[01:02:33.730 --> 01:02:35.312]  Hey, I appreciate your call.
[01:02:36.353 --> 01:02:38.436]  Let's go ahead and go to Elizabeth in Maryland.
[01:02:38.476 --> 01:02:39.277]  Elizabeth, welcome.
[01:02:39.898 --> 01:02:41.379]  Hello, T-Rex of Talk.
[01:02:41.700 --> 01:02:43.101]  Oh, I don't know about... Go ahead, Ed.
[01:02:43.181 --> 01:02:44.563]  Well, you know what?
[01:02:44.863 --> 01:02:49.547]  We've got to hang on and we've got to fight this and we have to come out of our apathy.
[01:02:49.608 --> 01:02:54.432]  And today's a good example of one of your great programs to have all of these people on.
[01:02:54.492 --> 01:02:59.097]  And I was going to talk something about what Reverend Pike is going to do
[01:02:59.597 --> 01:03:06.863]  I want to urge your listeners this time, don't sit and be lulled and hypnotized and thinking I'm too tired.
[01:03:06.943 --> 01:03:10.225]  Someone else can make the call, because you've got to call.
[01:03:10.485 --> 01:03:14.488]  You've got to call that Senate Judiciary when you get the information from Reverend Pike.
[01:03:14.808 --> 01:03:17.911]  Apparently they changed the phone number, too, to make it harder.
[01:03:18.151 --> 01:03:20.653]  We don't have the toll-free number, but I called this morning.
[01:03:20.973 --> 01:03:27.598]  I would get first one senator, and at the end of talking to that office, then I would ask to be connected to another office.
[01:03:27.938 --> 01:03:39.745]  And again, they have a thought crime bill, a mind control bill, to give us the same laws they have in Canada and Germany, where basically any free speech the government doesn't like is banned.
[01:03:40.145 --> 01:03:45.108]  We'll be right back, and Ted Pike will be joining us for an update later in the broadcast.
[01:03:45.688 --> 01:03:47.049]  Stay with us, ladies and gentlemen.
[01:03:47.069 --> 01:03:48.410]  Aaron Zellman coming up.
[01:03:54.213 --> 01:03:57.055]  What really happened September 11th, and who stands to gain?
[01:03:57.799 --> 01:03:59.100]  Alex Jones here, America.
[01:03:59.300 --> 01:04:05.025]  We answer these vital questions and much, much more in my newest and most explosive documentary yet, 9-1-1, The Road to Tyranny.
[01:04:05.306 --> 01:04:10.570]  In two hours and 24 minutes, we point a searing light of truth on the history of problem-reaction solution.
[01:04:10.871 --> 01:04:15.014]  Brace yourselves as the New World Order program for world domination is blown wide open.
[01:04:15.194 --> 01:04:18.978]  A nightmarish post-September 11th world where the military and the police are merged.
[01:04:19.238 --> 01:04:23.802]  Witnesses' populations beg for national ID cards and, yes, even implantable microchips.
[01:04:23.922 --> 01:04:30.185]  Troops on the streets, foreign NATO aircraft in the skies, psychotic UN population control plans, and much, much more.
[01:04:30.245 --> 01:04:32.126]  This is one film you cannot afford to miss.
[01:04:32.547 --> 01:04:34.648]  Order 911 The Road to Terror today.
[01:04:34.728 --> 01:04:37.329]  Call toll-free 1-888-253-3139.
[01:04:37.449 --> 01:04:41.131]  That's 1-888-253-3139.
[01:04:41.871 --> 01:04:46.254]  Or order online at infowars.com or infowars.net.
[01:04:46.374 --> 01:04:48.375]  You see big brothers afraid of this documentary.
[01:04:48.595 --> 01:04:50.116]  Order today and spread the word.
[01:04:50.296 --> 01:04:52.377]  America's future depends on the truth getting out.
[01:04:53.567 --> 01:05:04.291]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials bringing you the finest water filter available anywhere.
[01:05:04.471 --> 01:05:12.034]  The revolutionary Berkey Light with its exclusive black Berkey filter elements remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[01:05:12.294 --> 01:05:15.436]  Harmful or unwanted chemicals are reduced to below detectable levels.
[01:05:15.716 --> 01:05:21.418]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving the nutritional minerals your body needs.
[01:05:21.738 --> 01:05:27.880]  Made of durable Lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[01:05:28.240 --> 01:05:32.142]  The Berkey light is transparent, so there is no guesswork when refilling the system.
[01:05:32.182 --> 01:05:34.082]  The water level is always visible.
[01:05:34.263 --> 01:05:40.225]  The rechargeable LED lighting system is beautiful as a nightlight and as necessary in emergency situations.
[01:05:40.445 --> 01:05:44.146]  Get the Berkey light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[01:05:49.488 --> 01:05:55.055]  So, what's in your shampoo?
[01:05:55.215 --> 01:05:56.357]  Sodium lauryl sulfate?
[01:05:56.517 --> 01:05:59.942]  Exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[01:06:00.042 --> 01:06:00.482]  Phenol.
[01:06:00.783 --> 01:06:07.872]  Ingestion of even small amounts may cause circulatory collapse, paralysis, convulsions, coma, respiratory failure, and cardiac arrest.
[01:06:08.212 --> 01:06:12.296]  EDTA may be irritating to the skin and mucous membranes and cause allergies such as asthma.
[01:06:12.416 --> 01:06:12.856]  Fragrance?
[01:06:13.217 --> 01:06:17.981]  Fragrance on a label can indicate the presence of up to 4,000 separate ingredients, most of which are synthetic.
[01:06:18.121 --> 01:06:22.825]  Symptoms reported to the FDA include headache, dizziness, rashes, and skin discoloration, to name a few.
[01:06:23.046 --> 01:06:25.528]  Now, by contrast, here's what's in my Cal Bend shampoo.
[01:06:25.848 --> 01:06:29.250]  Well, like all of the products from the Cal Bend Pure Soap Company, it's all natural.
[01:06:29.390 --> 01:06:32.951]  It contains extra virgin cocoa butter oils and vegetable protein oil.
[01:06:33.152 --> 01:06:35.513]  No harsh chemicals, no pork or beef tallow.
[01:06:35.673 --> 01:06:36.553]  So what are you waiting for?
[01:06:36.673 --> 01:06:46.418]  Call now, 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all of your cleaning products with Cal Bend Pure Soaps.
[01:06:46.618 --> 01:06:48.819]  Call Cal Bend toll free, 1-800-340-7091 or visit calbendpuresoap.com.
[01:06:57.982 --> 01:06:58.622]  Big Brother.
[01:06:59.282 --> 01:07:00.362]  Mainstream media.
[01:07:01.062 --> 01:07:02.163]  Government cover-ups.
[01:07:02.823 --> 01:07:03.623]  You want answers?
