[00:00:07.023 --> 00:00:08.104]  Mainstream media.
[00:48:55.855 --> 00:48:57.216]  These trails do sit there for hours.
[00:48:57.276 --> 00:49:01.100]  But how can I, like, be doing work in the yard and literally...
[00:49:01.952 --> 00:49:06.637]  The sky is clear and then later it's totally full of trails and literally, folks, I videotaped it.
[00:49:06.917 --> 00:49:08.178]  They sit there for hours.
[00:49:08.418 --> 00:49:09.039]  Ice crystals.
[00:49:09.459 --> 00:49:10.160]  Never did that.
[00:49:10.320 --> 00:49:11.641]  Something did change.
[00:49:12.022 --> 00:49:15.024]  Something changed and the atmosphere is constantly seeded.
[00:49:15.104 --> 00:49:16.546]  So you'll see these sun dogs.
[00:49:16.606 --> 00:49:18.588]  You'll see these rainbows around the sun.
[00:49:19.068 --> 00:49:23.570]  Because, I mean, these phenomena used to be more generally restricted to the colder seasons.
[00:49:23.850 --> 00:49:26.110]  And now it's 12 months of the year.
[00:49:26.491 --> 00:49:32.733]  And it truly doesn't matter whether you're in the Philippines or at the North Pole, you're going to see this constant feeding of the atmosphere.
[00:49:32.773 --> 00:49:36.574]  But Bush says that Pootie Poot is our friend and wouldn't want to hurt us.
[00:49:36.734 --> 00:49:37.714]  And you believe what he says?
[00:49:37.734 --> 00:49:38.875]  I do.
[00:49:38.915 --> 00:49:40.895]  I think the President never lies.
[00:49:40.915 --> 00:49:43.276]  Hey, I'm with you there, buddy.
[00:49:43.796 --> 00:49:44.437]  I'm with you there.
[00:49:44.557 --> 00:49:45.477]  I'm being sarcastic.
[00:49:47.138 --> 00:49:48.318]  No, it was just dripping.
[00:49:49.218 --> 00:49:55.501]  Yeah, the problem is that there's so little integrity coming out of Washington on so many topics.
[00:49:55.962 --> 00:49:57.763]  There just is no integrity.
[00:49:58.223 --> 00:50:05.707]  And they'll trot out people to say, no, this doesn't happen, but all you have to do is sit in your backyard or your front yard and watch the skies for a short time.
[00:50:08.846 --> 00:50:10.147]  Hurricane Katrina with you.
[00:50:10.367 --> 00:50:10.807]  We'll get there.
[00:50:11.208 --> 00:50:24.157]  And when we get back, because I haven't, you know, I don't conduct pre-interviews, so I don't know what your view on this is, but I want to find out if you think it could be created, it could be steered, it could be controlled.
[00:50:24.217 --> 00:50:34.424]  Some of the scientists I've talked to on and off record think they can't control things, they can make things, but they can't completely steer them like you would steer a Volkswagen bug.
[00:50:34.444 --> 00:50:37.326]  Ask the people in Biloxi about that last-minute dodge.
[00:50:37.825 --> 00:50:39.486]  Do what they say.
[00:50:39.626 --> 00:50:44.450]  Alright, well, we'll be right back and we'll talk about the hurricane.
[00:50:45.351 --> 00:50:47.312]  But I mean, I got the Secretary of Defense talking about it.
[00:50:47.332 --> 00:50:49.374]  I got legislation talking about it.
[00:50:49.414 --> 00:50:51.796]  I've got Discovery Channel shows.
[00:50:51.856 --> 00:50:53.697]  I've got shows on the Weather Channel.
[00:50:53.757 --> 00:50:56.039]  I mean, weather control is real.
[00:50:56.139 --> 00:50:57.740]  It's just, who's in control?
[00:51:02.705 --> 00:51:05.568]  There is a secret that holds the world's destiny in its grasp.
[00:51:05.809 --> 00:51:07.390]  Hello my friends, Alex Jones here.
[00:51:07.731 --> 00:51:12.416]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[00:51:12.756 --> 00:51:17.181]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:51:17.601 --> 00:51:21.766]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:51:21.986 --> 00:51:24.847]  The Constitution has been shredded, and America is now a police state.
[00:51:24.927 --> 00:51:29.589]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:51:29.789 --> 00:51:34.210]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:51:34.430 --> 00:51:41.652]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:51:41.913 --> 00:51:44.333]  Discover the documentary for yourself before it's too late.
[00:51:44.493 --> 00:51:46.234]  Call toll-free to get a copy of Martial Law.
[00:51:46.494 --> 00:51:52.376]  1-888-253-3139 or visit InfoWars.com and the secure shopping cart.
[00:51:52.476 --> 00:51:55.797]  That's InfoWars.com or 888-253-3139 or watch the film right now online at PrisonPlanet.tv
[00:52:01.730 --> 00:52:09.252]  Get the new Berkey Battery Adapter, an inexpensive yet long-term backup power supply for your Berkey Light LED system.
[00:52:09.512 --> 00:52:20.415]  The Berkey's LED lamps are unique because incredibly they have an average life of over 11 years of continuous use and are so bright they can be spotted for more than a mile in the dark.
[00:52:20.555 --> 00:52:20.955]  We're good to go!
[00:52:37.188 --> 00:52:37.669]  That's right!
[00:52:37.849 --> 00:52:44.975]  Incredibly, your emergency light will operate every night for over two weeks for the price of four small AA batteries.
[00:52:45.255 --> 00:52:49.399]  Be prepared for unexpected emergencies and get the Berkey Battery Adapter.
[00:52:49.559 --> 00:52:54.022]  Complete with on-off switch for only $10 by calling New Millennium at 888-803-4438.
[00:52:54.062 --> 00:52:54.523]  That's toll-free, 888-803-4438.
[00:53:03.720 --> 00:53:09.662]  Herbal Healer Academy is a global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:09.882 --> 00:53:12.143]  We specialize in keeping you alive and healthy.
[00:53:12.343 --> 00:53:18.685]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:53:19.085 --> 00:53:19.446]  I think so.
[00:53:39.244 --> 00:53:39.504]  I think so.
[00:54:10.386 --> 00:54:16.571]  The next hour for all of you that are holding, we will get to you.
[00:54:16.591 --> 00:54:16.891]  1-800-259-9231.
[00:54:18.112 --> 00:54:20.714]  And our guest will be with us halfway into the next hour.
[00:54:20.734 --> 00:54:28.420]  But before we go back to our guest, I have made 12 full-length feature documentary films.
[00:54:29.648 --> 00:54:44.643]  I have also written a book, published another book, and I carry a bunch of other wonderful videos and books on our online bookstore at InfoWars.com or PrisonPlanet.com and these are great books, great videos, the best stuff out there, bar none.
[00:54:44.663 --> 00:54:45.844]  That's what we carry.
[00:54:46.704 --> 00:54:52.447]  And at the same time, your purchase also makes this broadcast possible, and the websites possible, and our work possible.
[00:54:52.467 --> 00:54:57.410]  So I want to thank those that have gotten the films, and I want to encourage those that haven't gotten the videos to get them.
[00:54:57.910 --> 00:55:02.493]  I authorize you, for non-profit educational purposes, to make copies of my videos.
[00:55:03.874 --> 00:55:07.015]  It is so important to expose government-sponsored terrorism.
[00:55:07.716 --> 00:55:15.300]  How governments carry out terror attacks and crises to then have the people rallying around them as their saviors and give up their liberties.
[00:55:16.383 --> 00:55:24.545]  A lot of big discounts that we're running right now, and we're very soon going to change these discounts for some new discounts.
[00:55:25.266 --> 00:55:27.846]  They'll be as good as these discounts, but different.
[00:55:28.287 --> 00:55:31.928]  So be sure and take advantage of the sales we've got going on right now.
[00:55:32.348 --> 00:55:39.530]  You can also call and order the videos, ask about all the different titles and books, whether it's Martial Law, Road to Tyranny, or Matrix of Evil.
[00:55:40.642 --> 00:55:46.486]  Or whether it's my book, Descent into Tyranny, or JPFO's Innocence Betrayed, their excellent Second Amendment video.
[00:55:46.966 --> 00:55:49.928]  These are all very, very, very important.
[00:55:50.648 --> 00:55:51.649]  And you need to have them.
[00:55:51.669 --> 00:55:54.691]  We're also carrying some new videos and books, so be sure and check it out.
[00:55:55.351 --> 00:55:57.252]  The toll-free number to call and order is 1-888-253-3139.
[00:55:57.272 --> 00:55:57.492]  That's 888-253-3139.
[00:56:08.252 --> 00:56:11.394]  Or go to PrisonPlanet.TV for 15 cents a day.
[00:56:11.454 --> 00:56:22.882]  You can instantly, right now, sign up for a monthly or yearly subscription and see my weekly TV reports, all my documentaries, many other documentaries we've been authorized to post, my book, Watson's book, just so much more.
[00:56:22.922 --> 00:56:23.663]  It's a great deal.
[00:56:24.143 --> 00:56:26.325]  PrisonPlanet.TV.
[00:56:26.725 --> 00:56:32.609]  Going back to Meteorologist, worked for many major TV stations, worked for a major TV station.
[00:56:33.350 --> 00:56:35.851]  Right now, he of course has
[00:56:37.788 --> 00:56:38.989]  We're good to go.
[00:56:51.781 --> 00:56:54.643]  This is real, this is happening, and he may disagree with me.
[00:56:54.723 --> 00:56:56.124]  We're going to find out right now.
[00:56:56.745 --> 00:57:08.633]  So you think the evidence points towards, or you don't think the evidence points towards, some type of governmental manipulation or institutional manipulation of the hurricane?
[00:57:09.213 --> 00:57:11.734]  I think the institutional manipulation is a good way of putting it.
[00:57:12.294 --> 00:57:13.174]  I really do.
[00:57:13.534 --> 00:57:30.637]  We know that the technology is most advanced, that the ones that the Soviets developed through the 70s and 80s, and then as the collapse of the Soviet Union financially occurred in the late 80s, then they had this incredible tool that they simply leased out to the highest bidder for gold bullion.
[00:57:31.177 --> 00:57:34.478]  And that happened in the late 80s and early 90s and continues to be leased by
[00:57:35.228 --> 00:57:47.033]  The Japanese Mafia with the stated goal because they're the remnants of the samurai and who are really annoyed about how we westernized Japan and how we humiliated them.
[00:57:47.640 --> 00:57:49.741]  And nuked them at the end of World War II.
[00:57:49.761 --> 00:57:56.504]  Now, now, now, again, we know weather control's real, we know this stuff's going on, but you're not saying our own government could be doing anything.
[00:57:56.944 --> 00:57:59.325]  It's not the Russians, it's the Japanese Mafia.
[00:57:59.685 --> 00:58:05.068]  They have, they at least have set up a school to teach scientists how to use this technology.
[00:58:05.388 --> 00:58:07.929]  Now, the question is... Now, now, wait, where did you learn of this?
[00:58:07.969 --> 00:58:10.310]  We're about to break, and we'll come back and talk about it, but I mean, where did you learn of this?
[00:58:10.330 --> 00:58:11.831]  This is Colonel Burden's intelligence.
[00:58:12.668 --> 00:58:13.748]  That's where this has come from.
[00:58:13.808 --> 00:58:18.710]  But the problem is identifying who is actually controlling it from day to day to day.
[00:58:18.850 --> 00:58:20.370]  Well, I mean, where are the nodes?
[00:58:20.490 --> 00:58:24.291]  I mean, can they, from antenna arrays in Japan, make a hurricane pop up?
[00:58:24.451 --> 00:58:25.252]  Or in Siberia?
[00:58:25.292 --> 00:58:26.492]  You betcha.
[00:58:26.572 --> 00:58:28.293]  It doesn't matter where you are on this planet.
[00:58:28.333 --> 00:58:29.033]  It's possible.
[00:58:29.053 --> 00:58:30.413]  It's possible.
[00:58:31.633 --> 00:58:33.394]  Well, I mean, I know other controls are real.
[00:58:33.474 --> 00:58:36.675]  I just don't know if it's this advance or if the Japanese Mafia is doing it.
[00:58:36.875 --> 00:58:38.315]  We'll be right back with the second hour.
[00:58:38.355 --> 00:58:40.076]  We'll talk about it with the meteorologists.
[00:58:41.508 --> 00:58:46.601]  If you would like a copy of this show, come to GCNlive.com and reserve it today, or call toll-free 877-376-45.
[00:58:57.779 --> 00:59:02.002]  Big Brother, mainstream media, government cover-ups.
[00:59:02.602 --> 00:59:03.422]  You want answers?
[00:59:04.203 --> 00:59:05.083]  Well, so does he.
[00:59:05.744 --> 00:59:09.546]  He's Alex Jones on the GCN Radio Network.
[00:59:09.926 --> 00:59:14.049]  And now, live from Austin, Texas, Alex Jones.
[00:59:14.789 --> 00:59:19.552]  We're talking to a meteorologist, TV weatherman,
[00:59:20.632 --> 00:59:23.013]  Very interesting individual, Scott Stephens.
[00:59:23.554 --> 00:59:26.596]  I certainly agree with him that weather modification and control is real.
[00:59:26.656 --> 00:59:28.397]  I mean, Secretary of Defense Cohen admits it.
[00:59:28.797 --> 00:59:29.877]  Legislation admits it.
[00:59:29.898 --> 00:59:31.078]  The Weather Channel admits it.
[00:59:32.059 --> 00:59:35.721]  But they limit how powerful it is and what it can actually do.
[00:59:38.385 --> 00:59:46.449]  Again, I'm no scientist, but some scientists out there say that you could take an existing tropical depression and turn it into a hurricane with these systems.
[00:59:46.849 --> 00:59:48.310]  Even with cloud seeding, you can do that.
[00:59:48.390 --> 00:59:52.171]  You know, 50, 60 year old technology, but can you steer it?
[00:59:52.231 --> 00:59:53.232]  Can you manipulate it?
[00:59:54.292 --> 00:59:58.813]  So I'm sold on ground antennas charging the atmosphere.
[00:59:58.893 --> 00:59:59.553]  They admit that.
[00:59:59.593 --> 01:00:02.214]  I'm sold on cloud spraying and seeding.
[01:00:02.714 --> 01:00:05.314]  But am I sold on global mafias?
[01:00:06.154 --> 01:00:07.635]  The New World Order is a global mafia.
[01:00:07.655 --> 01:00:08.695]  It's just not Japanese.
[01:00:11.895 --> 01:00:13.556]  Scott, we've got a few minutes here before we break.
[01:00:13.576 --> 01:00:14.776]  We've come back with a long segment.
[01:00:14.796 --> 01:00:15.516]  Plenty of time to talk.
[01:00:15.536 --> 01:00:16.616]  I want to take some calls then.
[01:00:17.677 --> 01:00:19.817]  Specifically, what are the indicators
[01:00:20.818 --> 01:00:25.601]  Uh, you know, with this new type of weather, looking at Katrina, that made you think it was being manipulated.
[01:00:25.882 --> 01:00:26.782]  The tops of the clouds.
[01:00:26.962 --> 01:00:36.028]  Looking at the higher resolution satellite imagery, there is simply unmistakable geometry that would not be there under fully natural circumstances.
[01:00:36.609 --> 01:00:38.130]  Squares tipped on sides.
[01:00:38.730 --> 01:00:45.535]  Grills, where you see a rack of lines bounded by other straight lines perpendicular to these lines.
[01:00:46.215 --> 01:00:51.179]  Simply stars, pentagonal stars showing up in one portion of the outer band.
[01:00:51.619 --> 01:00:58.204]  The geometry is what gives it away, and it's this geometry we find in the formation of just your everyday cumulus cloud
[01:00:58.863 --> 01:01:05.725]  That you turn up the intensity on this electrical geometry that happens around the planet and you juice these storms.
[01:01:06.105 --> 01:01:07.606]  Why does it manifest?
[01:01:07.766 --> 01:01:11.107]  Because I've seen the photos with the lines and the symbols and stuff around it.
[01:01:12.047 --> 01:01:12.948]  Why does it manifest?
[01:01:13.608 --> 01:01:25.452]  That's a really good question because then what we find or what we're beginning to suppose is that we're resting our visible universe on the next dimension.
[01:01:26.258 --> 01:01:32.403]  And it's that dimension that begins to give us these unusual shapes, these harmonies found within nature.
[01:01:32.864 --> 01:01:38.828]  And that's where the energy comes from, is from space-time, from that quantum vacuum, that quantum realm.
[01:01:39.349 --> 01:01:44.013]  And that's the extra energy is just drawn through that realm to enhance what is there.
[01:01:44.093 --> 01:01:49.277]  Now, see, I've seen the science where, you know, they wheel out some trucks and charge the atmosphere and drive clouds back.
[01:01:49.297 --> 01:01:55.022]  I mean, that's admitted, but, you know, you're, I mean, you as a meteorologist are getting off into, I mean, you're getting off into
[01:01:56.800 --> 01:02:12.801]  But see, that's why they've been able to get away with it for so long, is because Western scientists have their heads in the sand, and don't realize that the Russians pulled boatloads of documents and scientific paper, not looking for a peer review process to boast up their own flaws,
[01:02:13.141 --> 01:02:16.263]  But to tear down the mistakes within Western science and research.
[01:02:16.323 --> 01:02:18.205]  And they found them and exploited them.
[01:02:18.565 --> 01:02:25.650]  And until science begins to get its act together, and instead of patting each other on the back, we're going to be susceptible to these issues.
[01:02:25.911 --> 01:02:27.812]  We're going to be susceptible to this technology.
[01:02:28.573 --> 01:02:34.377]  And I know our government guys have found the flaws and realized their mistakes, but they just haven't shared it publicly.
[01:02:35.026 --> 01:02:38.787]  Our government's good, it's those evil Russians and Japanese.
[01:02:38.907 --> 01:02:44.989]  I don't know that, because there should have been additional countermeasures deployed against Katrina.
[01:02:45.329 --> 01:02:50.931]  We have that capability, we have seen it with other... Well, I mean, look, forget the other dimensions.
[01:02:51.051 --> 01:02:56.233]  We know that they knew that when it got even a glancing blow, that place was going to be underwater.
[01:02:57.113 --> 01:03:00.974]  That it was going to become like Pontchartrain and they actually cut the existing funding.
[01:03:01.355 --> 01:03:02.295]  Very suspicious.
[01:03:02.355 --> 01:03:07.477]  Well, and then our Director of Homeland Security saying that they were aware this disaster was coming.
[01:03:07.697 --> 01:03:09.777]  For weeks they have been planning for this.
[01:03:10.658 --> 01:03:12.158]  That was on CNN yesterday.
[01:03:12.518 --> 01:03:13.759]  Yeah, I did see that quote.
[01:03:13.799 --> 01:03:15.499]  I mean, it's just in our face.
[01:03:15.639 --> 01:03:15.939]  It is.
[01:03:16.440 --> 01:03:20.301]  And I have not... It's simply time.
[01:03:20.381 --> 01:03:22.121]  They know it's time for this to come out.
[01:03:22.401 --> 01:03:23.622]  And they're not going to stop it.
[01:03:24.224 --> 01:03:27.046]  No, they'll be quiet, because if they confirm it, then it's truly out.
[01:03:27.126 --> 01:03:34.470]  And if they refute it, then that adds to the debate, which then they still can't refute, because anybody can look up in the sky and see what the heck is happening.
[01:03:34.850 --> 01:03:36.831]  So it's still going to be met with stony silence.
[01:03:37.352 --> 01:03:42.655]  And it's all we're trying to do is get people to think that this is a possibility, and to do your own research.
[01:03:43.035 --> 01:03:43.435]  Okay.
[01:03:43.636 --> 01:03:46.317]  Alright, we'll come back and talk more about it and take calls on the other side.
[01:03:47.017 --> 01:03:47.578]  Stay with us.
[01:03:47.898 --> 01:03:50.820]  PrisonPlanet.tv and InfoWars.com are my sites.
[01:03:51.180 --> 01:03:52.541]  This site's WeatherWars.info.
[01:03:53.493 --> 01:03:57.819]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[01:03:58.019 --> 01:04:02.465]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:04:02.586 --> 01:04:06.951]  There is a chance to use this disaster for the New World Order.
[01:04:07.012 --> 01:04:08.353]  The New World Order.
[01:04:10.135 --> 01:04:14.358]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[01:04:14.418 --> 01:04:21.362]  We rip the Sinister Patriot Act legislation 1 and 2 apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[01:04:21.462 --> 01:04:23.564]  You will lose your liberty.
[01:04:23.844 --> 01:04:24.845]  Homeland Security.
[01:04:25.045 --> 01:04:25.825]  Executive orders.
[01:04:25.845 --> 01:04:26.886]  Force vaccination.
[01:04:27.106 --> 01:04:34.292]  The new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:04:34.472 --> 01:04:39.837]  If you want to understand what the new old order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[01:04:40.357 --> 01:04:42.519]  Visit infowars.com or prisonplanet.com to order, or call toll-free 1-888-253-3139.
[01:04:42.619 --> 01:04:42.800]  That's 888-253-3139.
[01:04:42.820 --> 01:04:43.760]  Order today and spread the word!
[01:04:53.743 --> 01:05:02.113]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[01:05:02.274 --> 01:05:12.346]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[01:05:12.806 --> 01:05:18.651]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[01:05:18.871 --> 01:05:23.315]  Find out everything from where to get water in an emergency to geographic income levels.
[01:05:23.535 --> 01:05:29.621]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[01:05:29.781 --> 01:05:36.226]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:05:36.527 --> 01:05:38.008]  Order Bruton Places USA
[01:05:38.288 --> 01:05:42.312]  Now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:05:42.412 --> 01:05:43.673]  And tell them Alex Jones sent you.
[01:05:43.713 --> 01:05:43.954]  That's 888-803-4438.
[01:05:43.974 --> 01:05:45.595]  For order online at murkywater.com.
[01:05:54.085 --> 01:05:56.886]  Let's face it, we know that we're less than perfect when it comes to our diets.
[01:05:56.986 --> 01:06:02.069]  We all eat sugar, saturated fat, salt, probably don't get the exercise we should, and we all have to deal with daily stress.
[01:06:02.289 --> 01:06:08.471]  And all the vitamins and supplements in the world won't help you if your immune system is compromised because of our less than perfect eating habits and lifestyles.
[01:06:08.731 --> 01:06:14.394]  That's why Agaricus Bio is the number one dietary supplement that you should consider an absolute must if you're going to take any at all.
[01:06:14.634 --> 01:06:20.140]  The immune system is your body's first line of defense against disease, and Agaricus Bio strengthens and supports your immune system.
[01:06:20.400 --> 01:06:24.244]  That's why it's become the most popular immune support system for people and pets in Japan.
[01:06:24.264 --> 01:06:29.549]  A one month supply of Agaricus Bio is only $34.95, and that's a small price to pay considering the alternatives.
[01:06:29.729 --> 01:06:29.929]  Call 877-817-9829.
[01:06:29.949 --> 01:06:30.910]  That's 877-817-9829, or visit ThePowerMall.com.
[01:06:36.536 --> 01:06:40.721]  How many times have you heard about people taking vitamin C and other vitamins and supplements to fight a cold?
[01:06:40.922 --> 01:06:43.845]  Well, with Agaricus Bio, you might not catch that cold in the first place!
[01:06:44.045 --> 01:06:48.952]  Call 877-817-9829 or visit thepowermall.com and order today.
[01:06:49.172 --> 01:06:51.495]  Agaricus Bio, because healthy is what you want to be!
[01:06:57.919 --> 01:06:58.559]  Big Brother.
[01:06:59.219 --> 01:07:00.280]  Mainstream media.
[01:07:00.980 --> 01:07:02.101]  Government cover-ups.
[01:07:02.761 --> 01:07:03.561]  You want answers?
[01:07:04.321 --> 01:07:05.362]  Well, so does he.
[01:07:05.902 --> 01:07:09.704]  He's Alex Jones on the GCN Radio Network.
[01:07:10.064 --> 01:07:14.146]  And now, live from Austin, Texas, Alex Jones.
[01:07:16.548 --> 01:07:28.391]  The number of National Guard troops is expected to double to roughly 21,000 by today from a total military force of 28,000 including active duty forces from the Army, Navy, and Air Force.
[01:07:29.872 --> 01:07:37.794]  The initial focus will be on rescue operations and bringing food and medicine before military units start working on clearing roads, supplying safe water.
[01:07:38.573 --> 01:07:41.655]  We gotta have the military bring us safe water instead of having water filters, folks.
[01:07:42.175 --> 01:07:42.976]  And other tasks.
[01:07:43.096 --> 01:07:48.159]  Guard units are expected to play a key role in restoring order in areas affected by looting.
[01:07:48.940 --> 01:08:05.691]  I talked to the folks at New Millennium Concepts, our sponsor with the portable sports bottles and the big filters, and they've donated filters to the war, to the troops two years ago because they had bad water, but there's no real way to donate these because there's no way to get them into the people.
[01:08:06.408 --> 01:08:10.751]  Because they're not even really, at this point, able to get the food and water filters into them.
[01:08:13.672 --> 01:08:14.293]  Unbelievable.
[01:08:14.373 --> 01:08:15.213]  So that's going on.
[01:08:15.233 --> 01:08:21.717]  Meanwhile, they have suspended rescue operations because they're getting a few gunshots.
[01:08:22.898 --> 01:08:32.824]  And the reports are that they're not shooting at the troops or at the firefighters or police like they did, you know, in the riots in LA, but just people shooting guns off.
[01:08:32.884 --> 01:08:35.926]  And so the troops and the police have to withdraw.
[01:08:37.065 --> 01:08:39.307]  I thought that's, again, why they're cops.
[01:08:39.367 --> 01:08:40.949]  I mean, they're paid to be in danger.
[01:08:41.930 --> 01:08:47.115]  A Superdome evacuation suspended because of fires and gunshots.
[01:08:48.906 --> 01:08:50.647]  It's totally descending into anarchy.
[01:08:51.207 --> 01:08:53.048]  More National Guardsmen are sent in.
[01:08:53.068 --> 01:09:00.131]  The evacuations of the Superdome was suspended Thursday because of fires and gunshots outside the arena.
[01:09:00.291 --> 01:09:08.615]  Authorities said as National Guardsmen in armored vehicles pour into New Orleans to help restore order across the increasingly lawless and desperate city.
[01:09:08.915 --> 01:09:13.617]  Lots of video of police in black uniforms and black armored vehicles.
[01:09:13.657 --> 01:09:14.718]  Yes, that'll keep you safe.
[01:09:15.433 --> 01:09:17.815]  An additional 10,000 guardsmen again have been deployed.
[01:09:18.195 --> 01:09:22.477]  The truth is, a terrible tragedy like this brings out the best in people, brings out the worst in some people.
[01:09:22.878 --> 01:09:26.980]  To Mississippi Governor Haley Barber of NBC's Today Show.
[01:09:28.781 --> 01:09:31.723]  Good old Haley Barber, who didn't care about Bush cutting the funding.
[01:09:33.404 --> 01:09:36.526]  Again, folks, you can say what you want about what caused the hurricane or
[01:09:37.196 --> 01:09:39.998]  Why the hurricane cycle strengthening, or all this weird weather?
[01:09:40.478 --> 01:09:42.700]  What we do know is, they knew.
[01:09:42.760 --> 01:09:44.901]  The FEMA had said, total devastation.
[01:09:45.462 --> 01:09:47.603]  Half a million dead, if we ever get a direct hit.
[01:09:48.964 --> 01:09:50.545]  You know, the dikes are falling apart.
[01:09:50.585 --> 01:09:52.006]  They haven't been repaired in decades.
[01:09:52.486 --> 01:09:53.987]  And the federal government cut the funding.
[01:09:54.007 --> 01:09:57.210]  And again, the Fed shouldn't be funding that in the first place.
[01:09:57.790 --> 01:10:02.013]  You know, again, I saw Chris Matthews last night say that
[01:10:02.702 --> 01:10:05.345]  People don't like the Feds.
[01:10:05.685 --> 01:10:06.807]  State's rights are dumb.
[01:10:07.247 --> 01:10:08.168]  Aren't the Feds great?
[01:10:08.208 --> 01:10:09.069]  Oh, they're so good.
[01:10:09.429 --> 01:10:11.231]  They've got the resources and the money.
[01:10:11.251 --> 01:10:16.137]  Yeah, they took a dollar from us and sent 30 cents back on average with strings attached.
[01:10:17.038 --> 01:10:21.823]  I mean, five or six big high schools cost $150 million.
[01:10:23.266 --> 01:10:25.827]  For 150 million dollars, they could have fixed all those dikes.
[01:10:25.867 --> 01:10:26.948]  They just didn't do it.
[01:10:27.268 --> 01:10:30.770]  They just couldn't believe something bad would happen when all the science showed it would.
[01:10:31.330 --> 01:10:34.172]  And I see that as a microcosm of our entire society.
[01:10:35.452 --> 01:10:37.353]  I mean, they admit cell phones give you cancer?
[01:10:37.393 --> 01:10:39.374]  I mean, yeah, it's a microwave.
[01:10:39.414 --> 01:10:41.615]  They admit sodium fluoride's really bad in the water?
[01:10:42.036 --> 01:10:44.157]  They admit that mercury's really bad in the vaccines?
[01:10:44.177 --> 01:10:44.837]  Do they stop?
[01:10:44.857 --> 01:10:47.178]  No, they increase it.
[01:10:47.959 --> 01:10:49.579]  It's genetic engineering, folks.
[01:10:49.619 --> 01:10:51.961]  They just openly... I mean, I've had the father
[01:10:53.372 --> 01:10:55.834]  of DNA, you know, recombination on.
[01:10:55.914 --> 01:11:00.578]  I've had the father of, you know, DNA protein splicing on, you know.
[01:11:01.639 --> 01:11:20.474]  I mean, I've had the heads of the fields on, and they're saying, yes, this random genetic engineering, these chimera cross-species creations could give rise to super viruses that would kill whole species, cause a total breakdown of the biosphere, or, you know, a thousand other catastrophes, and these companies are just randomly open-air doing it!
[01:11:22.236 --> 01:11:22.556]  I mean,
[01:11:23.599 --> 01:11:26.662]  It's like a self-destructive insanity.
[01:11:27.663 --> 01:11:32.707]  So I'm a thousand times more worried about all this GM splicing than I am about hurricanes.
[01:11:33.868 --> 01:11:46.919]  I mean, these hurricanes are out of control, but, uh, you know, when I said on air Tuesday, I said, you know, if I lived in New Orleans years ago and I had family there and they wouldn't fix the dikes and the levees, I would just leave.
[01:11:48.556 --> 01:11:51.498]  And I got emails going, well how dare you say they should just leave, it's their home.
[01:11:52.139 --> 01:11:59.463]  All I'm saying is, let's say I lived, let's say that the dam was having problems on Lake Austin.
[01:12:01.705 --> 01:12:02.926]  Against the big Colorado River.
[01:12:03.406 --> 01:12:04.587]  And I knew it was going to break.
[01:12:05.207 --> 01:12:08.810]  And I knew it was going to flood me and kill me and my family and they wouldn't fix it, I'd move.
[01:12:10.411 --> 01:12:13.213]  I mean it's no criticism of the people, I'm just stating the facts.
[01:12:14.620 --> 01:12:15.742]  All right, I'm going to shut up.
[01:12:16.182 --> 01:12:16.983]  I want to take your calls.
[01:12:17.003 --> 01:12:21.589]  We're talking to a meteorologist here who works for a major TV station, works for a lot of other stations.
[01:12:21.609 --> 01:12:25.994]  You can go to his website, weatherwars.info, for all of his info and his bio.
[01:12:26.014 --> 01:12:26.614]  Great guy.
[01:12:26.634 --> 01:12:31.100]  And I don't know if I totally agree with the intelligence of Colonel Bearden and others,
[01:12:31.812 --> 01:12:35.637]  You know, that it's some foreign mafia manipulating the weather.
[01:12:35.677 --> 01:12:38.381]  And again, we've had hurricanes hit before.
[01:12:38.762 --> 01:12:40.805]  We had tens of thousands die in Galveston.
