[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[00:39:35.251 --> 00:39:38.773]  Talking back to them, to their dogs, is now illegal.
[00:39:39.736 --> 00:39:48.240]  I've had other guests on who yelled back at a police dog, and there was one case in California and they're given jail time.
[00:39:48.240 --> 00:39:59.625]  And then, you know, the point is treating the population as the enemy, no matter how harmless they appear, anyone is considered a threat, even a five-year-old girl.
[00:39:59.625 --> 00:40:07.849]  And then we posted the article from the past to contrast this, where they're supposedly protecting the five-year-old girl for her own safety,
[00:40:08.573 --> 00:40:14.956]  Meanwhile, we have things like, you know, California loses track of more than 30,000 sex offenders.
[00:40:14.956 --> 00:40:18.818]  We have 3,000 children missing, grabbed by CPS in Florida.
[00:40:18.818 --> 00:40:28.242]  They find some of them dead, heads cut off, and it turns out top, top, top pedophiles run the computer system and is the deputy head of their operation.
[00:40:28.242 --> 00:40:30.984]  There's another one, FEMA inspectors included criminals.
[00:40:30.984 --> 00:40:33.665]  Agency relied on them for honest reports and knew they were criminals.
[00:40:35.405 --> 00:40:42.275]  Yeah, they've re-employed the Social Security and CPS convicted sex offenders.
[00:40:42.275 --> 00:40:43.656]  Re-employed them.
[00:40:43.656 --> 00:40:45.519]  We've had articles on that in the past.
[00:40:45.519 --> 00:40:48.984]  We've had articles on nine-year-old arrested for stealing bunny.
[00:40:50.398 --> 00:40:52.579]  Child arrested for bringing toys to school.
[00:40:52.579 --> 00:40:53.499]  It was a toy gun.
[00:40:53.499 --> 00:40:54.659]  He was arrested.
[00:40:54.659 --> 00:41:01.520]  Hey, I've seen, if I've seen 100, I've seen 500, where people get arrested for taking Tylenol to school.
[00:41:01.520 --> 00:41:02.601]  They got a headache.
[00:41:02.601 --> 00:41:04.521]  Mama gives them some Tylenol in their lunchbox.
[00:41:04.521 --> 00:41:05.881]  They take it.
[00:41:05.881 --> 00:41:06.902]  Oh, that's it.
[00:41:06.902 --> 00:41:07.562]  You're arrested.
[00:41:07.562 --> 00:41:08.082]  Charged.
[00:41:08.082 --> 00:41:08.782]  Illegal drugs.
[00:41:08.782 --> 00:41:10.062]  Zero tolerance.
[00:41:10.062 --> 00:41:14.703]  Oh, you have plastic spoons, forks, and knives for some cake you're bringing to school.
[00:41:14.703 --> 00:41:15.883]  Battle of Victorian.
[00:41:15.883 --> 00:41:16.544]  You're arrested.
[00:41:16.544 --> 00:41:18.224]  We're not giving you your diploma.
[00:41:19.913 --> 00:41:32.196]  And so, from front to back is the article's headline, it's the picture postcard of America's decline, and all the teacher groups, at least those featured in the television report which is up there, seem to love it.
[00:41:32.196 --> 00:41:32.977]  I mean, they've done nothing.
[00:41:32.977 --> 00:41:40.379]  I mean, in the Soviet Union, if a child walks in with a cake, and the plastic forks and knives, and the teacher smiles, they have some cake.
[00:41:40.379 --> 00:41:41.599]  Not in America!
[00:41:41.599 --> 00:41:44.820]  This is the brainwashed nature of the system.
[00:41:44.820 --> 00:41:47.981]  I've got to do it, I've been ordered to do it.
[00:41:47.981 --> 00:41:49.501]  You're hyper, I'm gonna put you on
[00:41:50.595 --> 00:41:52.076]  Synthetic methamphetamine!
[00:41:52.076 --> 00:41:57.259]  I mean, they put our children on methamphetamine!
[00:41:57.259 --> 00:42:00.640]  Exactly, so just contrast it to 10, 15 years ago.
[00:42:00.640 --> 00:42:17.289]  It's the complete obliteration of common sense mixed in with these, uh, PC protection laws whereby they would rehire the sex offenders and yet, you know, responsibly... Think if we would have written... Exactly, think if we would have written a science fiction book like this 50 years ago, people would have laughed at it.
[00:42:19.581 --> 00:42:23.543]  I mean, we're going to have, and this is in a bunch of the states, top pedophiles running the CPS.
[00:42:23.543 --> 00:42:26.524]  Uh, just we're going to force drug you.
[00:42:26.524 --> 00:42:28.405]  Ha ha ha!
[00:42:28.405 --> 00:42:31.206]  Paul, it is total insane asylum.
[00:42:31.206 --> 00:42:37.629]  It's the worst aspect of the brand new world in 1984 mixed together and thrown in your face.
[00:42:37.629 --> 00:42:40.370]  But they've got to help this five year old, Paul.
[00:42:40.370 --> 00:42:42.211]  Yeah, they've got to protect it for their own safety.
[00:42:42.211 --> 00:42:43.531]  Got to get her in the system.
[00:42:43.531 --> 00:42:44.652]  Got to get her in the juvie.
[00:42:45.669 --> 00:42:47.010]  Gotta do it for her!
[00:42:47.010 --> 00:42:48.952]  We got some new private prisons that just opened!
[00:42:48.952 --> 00:42:52.574]  We gotta have warm bodies in there at the factory!
[00:42:52.574 --> 00:42:59.720]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1 The Road to Tyranny, on DVD.
[00:42:59.720 --> 00:43:01.281]  That's right folks, DVD.
[00:43:01.281 --> 00:43:03.643]  The original film was 144 minutes long.
[00:43:03.643 --> 00:43:06.025]  The DVD version is 170 minutes.
[00:43:06.025 --> 00:43:11.289]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[00:43:11.289 --> 00:43:15.312]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[00:43:15.552 --> 00:43:17.412]  You absolutely must see this DVD.
[00:43:17.412 --> 00:43:28.195]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plannable microchips, and much, much more.
[00:43:28.195 --> 00:43:30.316]  Bottom line, this film is waking people up.
[00:43:30.316 --> 00:43:34.257]  Order your copy on VHS or TV today, and man the guns of the info war.
[00:43:34.257 --> 00:43:35.537]  Order right now by calling 1-888-2533-139.
[00:43:39.278 --> 00:43:40.419]  That's 888-253-3139.
[00:43:40.419 --> 00:43:46.604]  Or order online at Infowars.com or Infowars.net.
[00:43:46.604 --> 00:43:47.325]  Again, that number, 888-253-3139.
[00:43:52.609 --> 00:43:55.952]  The Berkey Light is your premier source for purified water.
[00:43:55.952 --> 00:44:05.079]  It's portable and requires no water pressure, so you can enjoy healthy drinking water, whether it's during normal times or hostile environments, like a local or national emergency.
[00:44:05.079 --> 00:44:09.763]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[00:44:10.223 --> 00:44:17.366]  The Berkelot is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[00:44:17.366 --> 00:44:29.152]  It also removes foul taste and odors, like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals, like lead and mercury, while leaving in the healthful and nutritional minerals that your body needs.
[00:44:29.612 --> 00:44:34.234]  The Murky Lights Rechargeable LED Lighting System is so bright it can be used as a reading light.
[00:44:34.234 --> 00:44:36.714]  Get the Murky Light for only $259 by calling New Millennium at 888-803-4438.
[00:44:36.714 --> 00:44:38.575]  And tell them Alex Jones sent you.
[00:44:38.575 --> 00:44:39.836]  That's toll free, 888-803-4438.
[00:44:39.836 --> 00:44:41.316]  Or order on the web at murkywater.com.
[00:44:41.316 --> 00:44:42.516]  Now get available in Iowa.
[00:44:53.021 --> 00:44:59.210]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:44:59.210 --> 00:45:01.674]  We specialize in keeping you alive and healthy.
[00:45:01.674 --> 00:45:08.023]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:45:08.403 --> 00:45:09.004]  I think so.
[00:45:23.894 --> 00:45:30.956]  For a limited time, you can sign up on the website and receive our 104-page catalog and a current Herbal Healer newsletter free.
[00:45:30.956 --> 00:45:33.217]  Simply log on to HerbalHealer.com.
[00:45:33.217 --> 00:45:37.878]  Check out our online member testimonials and our hundreds of exceptional products.
[00:45:37.878 --> 00:45:41.139]  We have been working hard since 1988 to save the remnant.
[00:45:41.139 --> 00:45:47.001]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:46:15.100 --> 00:46:16.000]  Folks, we're not kidding.
[00:46:16.000 --> 00:46:17.341]  We're not joking about this.
[00:46:17.341 --> 00:46:21.822]  There have been at least five different occasions.
[00:46:21.822 --> 00:46:28.344]  Tennessee, California, New York, Florida, where they actually put cameras in the bathrooms.
[00:46:28.344 --> 00:46:30.545]  Well, there's been hundreds of those.
[00:46:30.545 --> 00:46:34.146]  I mean, in the stalls, in the showers, in the locker rooms.
[00:46:34.146 --> 00:46:42.828]  And a visiting team was in the Tennessee town, and the 11-year-old girls from the basketball team were in there, and they saw a camera in the shower and freaked out.
[00:46:42.828 --> 00:46:43.629]  They were normal.
[00:46:43.629 --> 00:46:44.909]  See, they hadn't yet been brainwashed.
[00:46:46.368 --> 00:46:51.171]  But this was normal and so they ran out and the principal got on TV and said, what's the big deal?
[00:46:51.171 --> 00:46:53.533]  Crime could happen in those showers.
[00:46:53.533 --> 00:46:59.937]  And then they went and looked at the computers and the software and it was being shared in North Carolina and other areas.
[00:46:59.937 --> 00:47:03.039]  Thousands of people were logging on.
[00:47:03.039 --> 00:47:05.241]  Nothing happened to the principal, it's just we are the government.
[00:47:05.241 --> 00:47:06.341]  Shut up!
[00:47:06.341 --> 00:47:09.043]  We're gonna put cameras in your shower!
[00:47:09.043 --> 00:47:11.745]  Folks, do you understand how insane that is?
[00:47:12.409 --> 00:47:18.952]  But in a few years it will be totally normal, like, giving your child pharmaceutical grade amphetamines.
[00:47:18.952 --> 00:47:21.254]  It's good for them.
[00:47:21.254 --> 00:47:24.695]  All the studies say it's deadly, but ignore it.
[00:47:24.695 --> 00:47:25.956]  Paul, I don't want to spend all day on this.
[00:47:25.956 --> 00:47:35.181]  We've got a bunch of news to cover, and I want to get into all the hit pieces from the New American, and from Front Page Magazine, and just all of it that are taking place.
[00:47:35.181 --> 00:47:38.382]  But any other comments on this, the stuff with the schools?
[00:47:40.407 --> 00:47:55.694]  Just the fact that it was caught on tape in the first place illustrates what you're saying, that the cameras are in there in the first place, and, you know, things like the sardonic intro at the beginning of the video, you know, this is the hottest video in America that you can't rent at a Blockbuster.
[00:47:55.694 --> 00:47:57.074]  Yeah, now it's entertainment!
[00:47:57.074 --> 00:48:05.818]  Your children in school being harassed by the teacher, the teacher's like this bucket of pus, obviously hounding the child.
[00:48:05.818 --> 00:48:07.599]  Just look at it if you have any discernment!
[00:48:08.334 --> 00:48:11.317]  Hounding some poor child who they want to get in the system!
[00:48:11.317 --> 00:48:12.878]  Go ahead, I'm sorry.
[00:48:12.878 --> 00:48:15.340]  Yes, it's the new reality television.
[00:48:15.340 --> 00:48:17.482]  That you can't rent at Blockbuster.
[00:48:17.482 --> 00:48:19.603]  I mean just- We've only got it here!
[00:48:19.603 --> 00:48:23.527]  This is the schools in your five-year-olds for your entertainment!
[00:48:23.527 --> 00:48:24.447]  Be sick like us!
[00:48:26.119 --> 00:48:27.100]  I know, Barry.
[00:48:27.100 --> 00:48:32.184]  Just the lack of common sense from people like, you know, the dispatch officer getting the call.
[00:48:32.184 --> 00:48:35.046]  Oh, we've got a five-year-old who's having a tantrum.
[00:48:35.046 --> 00:48:37.148]  Okay, I'll immediately send a couple of officers.
[00:48:37.148 --> 00:48:39.490]  You better send three officers, are you kidding?
[00:48:39.490 --> 00:48:41.952]  This is a major situation!
[00:48:41.952 --> 00:48:45.635]  Three officers to arrest one five-year-old child.
[00:48:45.635 --> 00:48:52.120]  Um, so it's disgusting and I'm sure there'll be ramifications from both the school and the police as the mother promises.
[00:48:52.958 --> 00:48:53.799]  Paul, there's so much.
[00:48:53.799 --> 00:48:57.421]  I want to spend 5-10 minutes right before this guest comes on, on the hit pieces.
[00:48:57.421 --> 00:49:00.783]  I want to try to jam a few calls in too in the next 30 minutes, or the next hour.
[00:49:00.783 --> 00:49:02.384]  But what else do you want to talk about when we get back?
[00:49:02.384 --> 00:49:05.887]  Yeah, just generally the hit pieces.
[00:49:05.887 --> 00:49:10.750]  Three different hit pieces in the last week too, which mention us specifically.
[00:49:10.750 --> 00:49:16.413]  And things like the Trilateral Commission meeting, whether they veto the attack on Iran or not.
[00:49:16.413 --> 00:49:18.515]  And whatever the callers want to bring up.
[00:49:19.804 --> 00:49:24.668]  I'll tell you Paul, this is good news that they're intensifying their attacks on us.
[00:49:24.668 --> 00:49:31.212]  Well yeah, it goes back to the Gandhi quote that we brought to light a few months ago, a few weeks ago.
[00:49:31.212 --> 00:49:34.655]  First they ignore us, then they laugh at us, then they fight us, then we win.
[00:49:35.849 --> 00:49:49.085]  Um, it started with the BBC article for the second time, they weren't content with the first one, linking anyone that believed in a New World Order with both Timothy McVeigh and Osama Bin Laden.
[00:49:49.085 --> 00:49:54.772]  Actually says that, but then I guess then all these Presidents and Prime Ministers are with Al Qaeda then?
[00:49:54.772 --> 00:49:55.733]  Because that's all they talk about.
[00:49:56.233 --> 00:50:03.798]  Their own colleagues on BBC Radio 4 reported that Bilderberg formulated the European Single Currency.
[00:50:03.798 --> 00:50:05.720]  And the BBC reported that.
[00:50:05.720 --> 00:50:06.820]  In 1954.
[00:50:06.820 --> 00:50:13.084]  And then six months later they say anyone that thinks Bilderberg's got power is like Timothy McVeigh or Osama Bin Laden.
[00:50:13.084 --> 00:50:15.726]  So they don't even read what their own colleagues are reporting.
[00:50:15.726 --> 00:50:16.947]  Well, don't face it!
[00:50:16.947 --> 00:50:17.888]  We're extreme!
[00:50:17.888 --> 00:50:20.870]  Top royalty, top bankers, presidents, meet in secret.
[00:50:20.870 --> 00:50:24.112]  We get their own documents that they admit are real, saying they want world government.
[00:50:24.112 --> 00:50:24.732]  We're bad!
[00:50:24.732 --> 00:50:25.793]  We shouldn't focus on that!
[00:50:26.393 --> 00:50:31.937]  What kind of weirdos are we with a political talk show wanting to talk about world leaders meeting?
[00:50:31.937 --> 00:50:34.178]  That is Al-Qaeda, Paul!
[00:50:34.178 --> 00:50:35.739]  Al-Qaeda!
[00:50:35.739 --> 00:50:36.859]  Are you with Al-Qaeda?
[00:50:36.859 --> 00:50:39.421]  We'll be right back!
[00:50:39.421 --> 00:50:39.841]  Big Brother
[00:50:50.353 --> 00:50:52.115]  Mainstream media.
[00:50:52.115 --> 00:50:53.876]  Government cover-ups.
[00:50:53.876 --> 00:50:55.457]  You want answers?
[00:50:55.457 --> 00:50:57.019]  Well, so does he.
[00:50:57.019 --> 00:51:01.202]  He's Alex Jones on the GCN Radio Network.
[00:51:01.202 --> 00:51:06.426]  And now, live from Austin, Texas, Alex Jones.
[00:51:06.426 --> 00:51:07.567]  Alright.
[00:51:07.567 --> 00:51:10.570]  Now on to hour number two.
[00:51:10.570 --> 00:51:15.574]  Believe me, you do not want to miss the guest we've got coming up.
[00:51:15.574 --> 00:51:17.075]  Since you were attacked too, Paul,
[00:51:18.396 --> 00:51:28.124]  I'm not going to have you for the full hour with the guest, but I do want you to stay 10-15 minutes with us into the first segment with him coming up here in about 30 minutes so you have a chance to respond.
[00:51:28.124 --> 00:51:39.393]  John Sanders, and they're there I guess at the John Lott Center and is a policy analyst at the Pope Center for Higher Education Policy, writes for Front Page Magazine.
[00:51:39.393 --> 00:51:43.557]  Before he gets on with us, we'll talk about the New American hit piece that really shows us where they're at.
[00:51:45.146 --> 00:51:49.987]  And we'll also cover a bunch of other key issues and jam a few calls in.
[00:51:49.987 --> 00:52:04.431]  Paul, we talked about this some in the last hour, just how many criminals are being hired, how they're hiring aggravated felons who happen to be illegal aliens, according to the Washington Times, to make up large portions of the new military.
[00:52:04.431 --> 00:52:06.311]  FEMA's inspectors included criminals.
[00:52:06.311 --> 00:52:08.972]  Agency relied on them for honest reports.
[00:52:10.004 --> 00:52:12.925]  And, uh, they, uh, they knew they were criminals.
[00:52:12.925 --> 00:52:21.026]  And people always wonder why they'd rob your houses, wouldn't let you in your home, taser you after a week and a half being gone as your dogs starve to death.
[00:52:21.026 --> 00:52:21.987]  Why they're so brutal?
[00:52:21.987 --> 00:52:24.427]  It's because they're hardcore felons.
[00:52:24.427 --> 00:52:26.247]  Uh, Paul?
[00:52:26.247 --> 00:52:33.429]  Well, yeah, it's like, in Iraq, the people that'll take a taxi driver's car who stole some planks of wood and run it over.
[00:52:34.105 --> 00:52:41.329]  Basically because they're gang members and they need to swear an oath to the gang, and it's the same case with government hiring of these criminals.
[00:52:41.329 --> 00:52:52.955]  We've had cases in the past, as I mentioned before the break, where they would hire convicted sex offenders to child protection roles in government.
[00:52:52.955 --> 00:53:02.439]  We've had articles about the FBI using informants who were murderers, keeping them protected for decades in some cases, throughout the 70s, 80s and 90s.
[00:53:04.477 --> 00:53:09.079]  When the top of the chain is criminals, and now higher criminals are their underlings.
[00:53:09.079 --> 00:53:10.980]  I mean, it's the same in any system.
[00:53:10.980 --> 00:53:12.481]  Let me read this.
[00:53:12.481 --> 00:53:16.262]  FEMA's inspectors include... Well, I'll cover it when we get back after the break.
[00:53:16.262 --> 00:53:18.724]  Let's jam a call in right now.
[00:53:18.724 --> 00:53:20.705]  Let's talk to Sean in Alabama.
[00:53:20.705 --> 00:53:22.025]  Go ahead.
[00:53:22.025 --> 00:53:23.186]  Good morning, Alex.
[00:53:23.186 --> 00:53:25.627]  First, let me apologize for calling on my cell.
[00:53:25.627 --> 00:53:27.488]  The battery in my handset... That's alright.
[00:53:27.488 --> 00:53:27.948]  Go ahead, sir.
[00:53:28.866 --> 00:53:35.470]  Uh, yeah, um, this five-year-old, uh, you know, what we're seeing is society turned on its ear.
[00:53:35.470 --> 00:53:38.713]  No, they're training us to be prisoners and they need to get everybody into the system.
[00:53:38.713 --> 00:53:40.354]  It's about institutionalization.
[00:53:40.354 --> 00:53:45.617]  Well, yeah, yeah, but it's also about a society that's calling good evil and evil good.
[00:53:45.617 --> 00:53:45.857]  Yes.
[00:53:45.857 --> 00:53:50.240]  I mean, when you refuse to discipline a child, that is not a sign of love.
[00:53:50.240 --> 00:53:52.001]  It's a sign of hate.
[00:53:52.001 --> 00:53:56.404]  Well, also, it means that it's so the system can discipline them.
[00:53:57.103 --> 00:53:59.425]  It's so they can get their mitts on them.
[00:53:59.425 --> 00:54:02.248]  Well, uh, yeah, but they're really not even disciplining.
[00:54:02.248 --> 00:54:08.814]  They're just getting under the system because the discipline back when I was in school would have been the principal would have paddled my backside.
[00:54:08.814 --> 00:54:09.335]  It's simple!
[00:54:09.335 --> 00:54:10.996]  We didn't have this in school.
[00:54:10.996 --> 00:54:15.040]  We didn't have one-tenth of this in school when the principals would paddle you.
[00:54:15.040 --> 00:54:15.360]  Exactly.
[00:54:15.360 --> 00:54:18.623]  And they took that out and then all the shooting and everything else started.
[00:54:18.623 --> 00:54:19.604]  It's simple!
[00:54:19.604 --> 00:54:22.547]  You've killed a lot of children, you Dr. Spock people!
[00:54:23.047 --> 00:54:26.868]  Exactly, and if you refuse to discipline a child, you hate that child.
[00:54:26.868 --> 00:54:30.688]  If you love a child, you discipline them when they need it.
[00:54:30.688 --> 00:54:37.650]  And what they do in the media is hold up the example of the drunken, evil father, you know, with the tire iron, beating a child to death.
[00:54:37.650 --> 00:54:40.570]  That's criminal, arrest them, put them in prison, execute them.
[00:54:40.570 --> 00:54:41.150]  Whatever.
[00:54:41.150 --> 00:54:46.111]  But no, now it's yelling at your child's abuse, we're taking your children.
[00:54:46.111 --> 00:54:49.092]  But then we're going to have cops taser them and take them to the FEMA camp.
[00:54:49.532 --> 00:54:50.392]  Well, exactly.
[00:54:50.392 --> 00:54:54.194]  I mean, you've got parents that won't discipline children because they're afraid of the state.
[00:54:54.194 --> 00:55:00.097]  You have the state in the form of schools that won't discipline children because they're afraid of being sued by the parents.
[00:55:00.097 --> 00:55:01.457]  That leaves all authority.
[00:55:01.457 --> 00:55:04.598]  Again, sir, that leaves all authority with the state.
[00:55:04.598 --> 00:55:12.002]  Well, also, it creates little tyrants who have no respect and no self-control, which is also what they want.
[00:55:12.002 --> 00:55:15.243]  And you have Twinkies and Coca-Cola four times a day on average.
[00:55:15.763 --> 00:55:20.285]  And four and a half hours of TV a day, you have really screwed up children.
[00:55:20.285 --> 00:55:20.926]  Exactly.
[00:55:20.926 --> 00:55:24.007]  It's just more evidence that our society's been turned completely on its head.
[00:55:24.007 --> 00:55:25.508]  But this five-year-old did nothing, folks.
[00:55:25.508 --> 00:55:26.689]  You can go watch the video.
[00:55:26.689 --> 00:55:27.990]  We're helping her.
[00:55:27.990 --> 00:55:31.611]  The parts that I watched that they were showing this morning, there's more to it.
[00:55:31.611 --> 00:55:34.533]  She was tearing stuff off the walls, turning chairs over in the class.
[00:55:34.533 --> 00:55:35.093]  Stay there.
[00:55:35.093 --> 00:55:35.433]  Stay there.
[00:55:35.433 --> 00:55:36.434]  We'll let you finish on the other side.
[00:55:36.434 --> 00:55:37.054]  Quickly.
[00:55:37.054 --> 00:55:37.374]  Quickly.
[00:55:37.374 --> 00:55:38.215]  I got a lot of stuff to cover.
[00:55:44.662 --> 00:55:49.187]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:55:49.187 --> 00:55:53.731]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:55:53.731 --> 00:55:58.155]  There is a chance to use this disaster for the New World Order.
[00:55:58.155 --> 00:55:59.497]  The New World Order.
[00:56:00.277 --> 00:56:01.298]  Panama.
[00:56:01.298 --> 00:56:05.579]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:56:05.579 --> 00:56:12.642]  We've ripped the Sinister Patriot Act legislation one and two apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:56:12.642 --> 00:56:15.043]  You will lose your liberty.
[00:56:15.043 --> 00:56:25.647]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:56:25.647 --> 00:56:26.067]  If you want
[00:56:26.107 --> 00:56:31.513]  If you'd like to understand what the New World Order really is, then my new two and a half hour video, Police Day 3, is for you!
[00:56:31.513 --> 00:56:34.177]  Visit InfoWars.com or PrisonPlanet.com to order.
[00:56:34.177 --> 00:56:35.458]  Or call toll free 1-888-253-3139.
[00:56:35.458 --> 00:56:35.979]  That's 888-253-3139.
[00:56:35.979 --> 00:56:37.701]  Order today and spread the word!
[00:56:44.580 --> 00:56:53.110]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:56:53.110 --> 00:57:03.182]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:57:03.662 --> 00:57:09.724]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:57:09.724 --> 00:57:14.386]  Find out everything from where to get water in an emergency to geographic income levels.
[00:57:14.386 --> 00:57:20.608]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:57:20.608 --> 00:57:27.371]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:57:27.371 --> 00:57:32.693]  Order Bruton Places USA now for only $29 plus shipping by calling New Millennium at
[00:57:32.933 --> 00:57:35.800]  Call us at 888-803-4438 and tell them Alex Jones sent you.
[00:57:35.800 --> 00:57:37.584]  That's 888-803-4438 or order online at murkywater.com.
[00:57:44.213 --> 00:57:46.834]  So what's in your shampoo, bath soap, and dish soap?
[00:57:46.834 --> 00:57:50.975]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.?
[00:57:50.975 --> 00:57:52.236]  Read the labels.
[00:57:52.236 --> 00:57:56.577]  Inhaling exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[00:57:56.577 --> 00:58:01.138]  Also may be irritating to the skin and mucous membranes and cause you to seek medical help.
[00:58:01.138 --> 00:58:06.000]  Perfumes, also known as fragrance on a label, can indicate the presence of thousands of separate ingredients.
[00:58:06.400 --> 00:58:10.163]  Now just by one example, here's what's in my CalBen Pure Soap Shampoo.
[00:58:10.163 --> 00:58:15.786]  It's all natural, earth friendly, it contains extra virgin cocoa butter oils and vegetable protein oils.
[00:58:15.786 --> 00:58:18.808]  No harsh chemicals, no animal tallow or testing.
[00:58:18.808 --> 00:58:20.009]  So what are you waiting for?
[00:58:20.009 --> 00:58:25.773]  Call now, 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all their cleaning products with CalBen Pure Soaps.
[00:58:31.116 --> 00:58:33.037]  Call CalBenPullFree at 1-800-340-7091.
[00:58:33.037 --> 00:58:45.402]  That's 800-340-7091 or visit CalBenPureSoap.com.
[00:58:45.402 --> 00:58:52.545]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:58:52.545 --> 00:58:55.246]  In the last year there has been a flotilla
[00:58:56.997 --> 00:59:02.419]  A mass of hit pieces against myself and others that are exposing government involvement in 9-11.
[00:59:02.419 --> 00:59:07.041]  From the left, the right, from the establishment media, the so-called alternative media.
[00:59:07.041 --> 00:59:09.682]  It always leads back to the globalists.
[00:59:09.682 --> 00:59:11.783]  We'll be talking about that here in a few minutes.
[00:59:11.783 --> 00:59:20.487]  The last hour we talked a lot about this little five-year-old black girl who is, the teacher's trying to grab a hold of her and she's like spatting her.
[00:59:20.487 --> 00:59:24.589]  And I had heard the reports, you know, she threw something off a shelf and knocked over the chair.
[00:59:25.399 --> 00:59:27.520]  I looked at a bunch of different newscasts and never saw that.
[00:59:27.520 --> 00:59:28.760]  It's classic media control.
[00:59:28.760 --> 00:59:30.301]  They'll create the argument.
[00:59:30.301 --> 00:59:31.401]  Is this okay to do?
[00:59:31.401 --> 00:59:34.242]  Well, yeah, we've got to protect her by giving her a felony record.
[00:59:34.242 --> 00:59:34.803]  A five-year-old.
[00:59:34.803 --> 00:59:36.143]  Next will be four-year-olds, I predict.
[00:59:36.143 --> 00:59:37.063]  Then three-year-olds.
[00:59:37.063 --> 00:59:38.464]  Then two-year-olds.
[00:59:38.464 --> 00:59:48.528]  They already put tens of thousands of two-year-olds on Ritalin and Prozac and put them in solitary confinement on Thorazine in some cases because they cry for their parents when they're taken.
[00:59:48.528 --> 00:59:49.788]  That's considered to be mental illness.
[00:59:49.788 --> 00:59:51.729]  Crying for your parents and having a tantrum.
[00:59:52.344 --> 00:59:58.246]  And then, yeah, this sounds like the classic MO, then bring out more of the tape later and say, see, it's reasonable.
[00:59:58.246 --> 01:00:02.247]  It's never reasonable to taser six-year-olds.
[01:00:02.247 --> 01:00:06.788]  It's never reasonable to handcuff five-year-olds.
[01:00:06.788 --> 01:00:12.390]  This type of behavior has always been out there, and children were disciplined by the school.
[01:00:12.390 --> 01:00:13.450]  But not anymore.
[01:00:13.450 --> 01:00:14.051]  You can't do that.
[01:00:14.051 --> 01:00:16.251]  We've got to take you to jail, get you in the system.
[01:00:16.251 --> 01:00:18.492]  We've got to help you with a felony charge.
[01:00:18.492 --> 01:00:21.473]  Real fast, Sean, you've got to finish up what you were saying.
[01:00:22.145 --> 01:00:30.990]  Okay, real quick, what I wanted to say is that human nature, that when a person doesn't feel loved or cared for, human nature is to lash out violently.
[01:00:30.990 --> 01:00:37.093]  And the way that you show a child that throws a tantrum like this, that you love them, is not to call the cops.
[01:00:37.093 --> 01:00:43.057]  You show them that you love them by caring enough about what they're doing to discipline them.
[01:00:43.057 --> 01:00:45.278]  Discipline is a hard thing.
[01:00:45.278 --> 01:00:48.380]  If you really love your children or care about the children you're taking care of,
[01:00:49.866 --> 01:00:57.072]  Many times, I mean it's so easy folks to restrain a five-year-old to simply hug them in a bear hug and tell them no.
[01:00:57.072 --> 01:01:14.166]  But see the teacher can't even do that and by the time they're a few years older, I mean I remember being in first grade and they take you to the principal's office and they have the little paddle that looks like the paddle that you bong the ball with and getting a pop.
[01:01:14.166 --> 01:01:15.527]  I think that happened one time
[01:01:17.058 --> 01:01:17.818]  Indeed.
[01:01:17.818 --> 01:01:19.159]  A large part of it also is
[01:01:36.886 --> 01:01:41.710]  I mean, discipline, a large part of discipline with children is respect.
[01:01:41.710 --> 01:01:47.494]  If you as a father are a strong father, then the child obviously respects you and you give that respect back.
