[00:00:00.149 --> 00:00:02.310]  I appreciate him holding.
[00:25:24.181 --> 00:25:26.802]  Well, it's rampant, but that's what we're fighting.
[00:25:26.802 --> 00:25:31.244]  It's just a giant good ol' boy system that's gotten greedy.
[00:25:31.244 --> 00:25:40.688]  I do remember hearing a report recently that one of the reasons that the White House has stopped going after Tokyo Don with the oil for food program is... Because it came out that Halliburton was doing it.
[00:25:40.688 --> 00:25:43.289]  Taking bribes, exactly.
[00:25:43.289 --> 00:25:46.731]  And then people go, well, they're doing it, well, we're doing it.
[00:25:46.731 --> 00:25:50.813]  That's the point, is that it's so corrupt across the board.
[00:25:50.813 --> 00:25:51.353]  Exactly.
[00:25:52.392 --> 00:25:53.712]  Well, where does it go from here?
[00:25:53.712 --> 00:26:05.575]  I mean, I think everybody should do what you've done, and you weren't planning to put a sign up, but since they said it, you just said, hey, I've been told by some government agent that they're telling me, uh, you know, they don't have any signs against Bush.
[00:26:05.575 --> 00:26:08.096]  Well, I've got a First Amendment.
[00:26:08.096 --> 00:26:09.276]  Exactly.
[00:26:09.276 --> 00:26:10.056]  Exactly.
[00:26:10.056 --> 00:26:14.558]  And that's what everybody should do.
[00:26:14.558 --> 00:26:19.959]  Whenever things are happening like this, whenever you're seeing your rights eroded, whenever
[00:26:21.269 --> 00:26:24.030]  You hear about these things happening to other people.
[00:26:24.030 --> 00:26:24.911]  You need to stand up.
[00:26:24.911 --> 00:26:25.871]  You need to point it out.
[00:26:25.871 --> 00:26:26.772]  You need to take a voice.
[00:26:26.772 --> 00:26:28.852]  You need to become active in this thing.
[00:26:28.852 --> 00:26:29.493]  It amazes me.
[00:26:29.493 --> 00:26:37.656]  I don't think that the President is aware at all that there's any sort of homeless population in any city that he visits.
[00:26:37.656 --> 00:26:39.757]  Because they don't allow help near it.
[00:26:39.757 --> 00:26:41.178]  Bingo!
[00:26:41.178 --> 00:26:42.959]  I didn't even know Memphis had paddy wagons.
[00:26:42.959 --> 00:26:45.480]  Apparently we do.
[00:26:45.480 --> 00:26:49.642]  We can saw them for this in case the slaves don't like their emperor.
[00:26:49.642 --> 00:26:50.142]  Exactly.
[00:26:50.797 --> 00:26:55.139]  All right, well, John, Gaske, thank you so much for joining us.
[00:26:55.139 --> 00:26:56.460]  We've got a couple of affiliates.
[00:26:56.460 --> 00:27:01.063]  One is WBCR that are in Tennessee, but that's out by Knoxville.
[00:27:01.063 --> 00:27:02.863]  But we've got listeners on the internet.
[00:27:02.863 --> 00:27:05.885]  Shortwave, how do folks come down and drink some of your Joe?
[00:27:05.885 --> 00:27:06.846]  I appreciate that.
[00:27:06.846 --> 00:27:08.166]  Please do.
[00:27:08.166 --> 00:27:12.148]  We are right in the heart of downtown Memphis on the corner of Main and Madison.
[00:27:12.148 --> 00:27:14.249]  You're at the 2nd and North Main.
[00:27:14.249 --> 00:27:14.910]  No, no, no.
[00:27:16.587 --> 00:27:18.148]  Maine and Madison.
[00:27:18.148 --> 00:27:19.610]  Maine and Madison.
[00:27:19.610 --> 00:27:20.410]  Exactly.
[00:27:20.410 --> 00:27:22.132]  We've got two trolley lines in the city.
[00:27:22.132 --> 00:27:23.793]  Together in front of my door.
[00:27:23.793 --> 00:27:24.754]  Alright.
[00:27:24.754 --> 00:27:26.975]  John, thanks for coming on with us.
[00:27:26.975 --> 00:27:27.436]  Thank you.
[00:27:27.436 --> 00:27:28.657]  I look forward to hearing from you again.
[00:27:28.657 --> 00:27:30.118]  Take care.
[00:27:30.118 --> 00:27:30.638]  Alright.
[00:27:30.638 --> 00:27:32.320]  Yeah, he stood up to them.
[00:27:32.320 --> 00:27:33.621]  He wasn't planning to put a sign up.
[00:27:33.621 --> 00:27:34.462]  He said, I'm a veteran.
[00:27:34.462 --> 00:27:36.083]  I'll do whatever I want.
[00:27:36.083 --> 00:27:37.584]  This isn't Russia.
[00:27:37.584 --> 00:27:39.766]  We'll be back with Ron Paul's office.
[00:27:41.596 --> 00:27:43.303]  Hey folks, Alex Jones here.
[00:27:43.303 --> 00:27:46.536]  And the behavior of our police is a reflection of our government.
[00:27:46.536 --> 00:27:47.400]  One look in the mirror
