[00:00:14.383 --> 00:00:18.367]  Today, I'm pleased to announce members of my science and technology team.
[00:29:42.678 --> 00:29:49.403]  So, they've got to find other ways to justify what is an irrational principle of domination.
[00:29:50.084 --> 00:29:56.309]  So, oligarchs generally find ways to argue that the mass of people are inferior
[00:29:56.809 --> 00:30:04.014]  That their lives are not worth living, and indeed that they're closer to animals than they are to the elite.
[00:30:04.234 --> 00:30:15.561]  So, whenever you have an oligarchical elite, they're always going to try to portray the masses as ignorant beasts, inferior, or whatever else it is, and that's what we see.
[00:30:16.802 --> 00:30:19.605]  This is very strong in the Anglo-American world.
[00:30:19.645 --> 00:30:24.109]  The US-British tradition is not that of a dictator.
[00:30:24.469 --> 00:30:26.811]  Stalin, Hitler, this you generally don't find.
[00:30:27.272 --> 00:30:33.798]  It's also not so much in the notion of mob rule and demagogy of that sort, although occasionally it is.
[00:30:34.218 --> 00:30:37.421]  Generally what you have in terms of real power is an oligarchy.
[00:30:37.461 --> 00:30:39.362]  So this oligarchy is inherited
[00:30:40.043 --> 00:30:59.907]  from Venice, from the Venetian Republic of the Middle Ages, and it's transferred into Britain between 1500 and 1600 or so in the form of the Whig Party, the top aristocratic party which rules Britain from the early 1600s really until about 1832 and the Reform Bill.
[00:30:59.927 --> 00:31:01.507]  So it's an oligarchical system.
[00:31:01.887 --> 00:31:05.168]  The US and the British are a polycentric oligarchy
[00:31:06.256 --> 00:31:12.944]  Where you can't say the Bilderberger runs it, or the Trilateral, or the CFR, or Bohemian Grove, or whatever it is.
[00:31:13.524 --> 00:31:17.849]  All of those are power centers that jostle each other and coexist.
[00:31:18.270 --> 00:31:20.873]  But what they amount to is an oligarchy.
[00:31:21.854 --> 00:31:25.998]  If you have a tyrant, you can convince the tyrant to change policy.
[00:31:26.679 --> 00:31:27.220]  It can be done.
[00:31:28.134 --> 00:31:40.761]  But to change an oligarchy, as Plato points out, is harder, because you've got to convince so many different ones, and as soon as you convince some of them, you've de-convinced others, because those are the enemies, and they hate the ones that you've convinced.
[00:31:40.821 --> 00:31:44.263]  So, that's the problem that we face in the Anglo-American world.
[00:31:45.063 --> 00:31:49.184]  The Club of Rome is a group of old fascists, for want of a better word.
[00:31:49.284 --> 00:31:51.985]  Aurelio Pichet was the most prominent guy.
[00:31:52.005 --> 00:31:58.206]  He had been a fascist for Mussolini in the Balkans during World War II, done all manner of crimes there.
[00:31:58.626 --> 00:32:04.468]  And then we have his associate Alexander King, who admitted, that embarrassing thing, that the purpose of this was to
[00:32:05.988 --> 00:32:07.509]  Yes, I think so.
[00:32:30.945 --> 00:32:39.784]  As this becomes more extreme, as the breakdown crisis gets worse, and it is getting worse, as the depression deepens,
[00:32:40.745 --> 00:33:00.272]  You get into the definitions of useless eaters, lives not worthy of being lived, non-productive culls, they're called sometimes, surplus population, as Scrooge said, following Bentham and Malthus, and how many
[00:33:01.232 --> 00:33:01.572]  I think?
[00:33:15.697 --> 00:33:17.820]  The ideology has deteriorated.
[00:33:18.260 --> 00:33:31.495]  The global warming ideology is, at least up to now, the most extreme form because it says that carbon dioxide is a pollutant and that carbon is bad.
[00:33:32.136 --> 00:33:35.737]  When we ourselves are a carbon-based form of life.
[00:33:35.837 --> 00:33:42.619]  So it seems to say that the inevitable results of humanity is pollution.
[00:33:42.699 --> 00:33:47.060]  That people pollute or indeed that people are pollution.
[00:33:47.140 --> 00:33:52.682]  It gets back to Ehrlich and Holdren and their idea that humanity is a cancer on the face of the earth.
[00:33:52.722 --> 00:33:55.963]  So the ultimate logic of all this is
[00:33:57.378 --> 00:34:06.444]  Extermination, genocide, the concentration camp, depopulation, and a horror that goes beyond anything seen in the 20th century.
[00:34:06.904 --> 00:34:09.226]  That's where Obama is essentially leading.
[00:34:09.926 --> 00:34:21.434]  When Holdren is confronted with his published works, the body of work on which his scientific credentials rest, he wants to run away from them and say that he's no longer the environmental extremist
[00:34:21.994 --> 00:34:22.794]  That he once was.
[00:34:22.854 --> 00:34:26.295]  That his genocidal fury has mellowed with age.
[00:34:26.816 --> 00:34:28.556]  But I wouldn't believe that for a minute.
[00:34:28.736 --> 00:34:37.359]  It's just that he's become a little bit more sophisticated politically and he's seen how damaging it is when people throw that stuff at you.
[00:34:37.399 --> 00:34:44.761]  It's of course a monstrosity that he was allowed to get through that confirmation process in the first place.
[00:34:45.622 --> 00:34:49.743]  In terms of genocide, genocide
[00:34:50.876 --> 00:34:51.957]  Entered the U.S.
[00:34:52.337 --> 00:35:09.469]  policy realm in an overt way with this National Security Memorandum 200 by Kissinger in the 1974-75 period, which said that if you have population growth in third world countries, they will compete for the limited natural resources that the U.S.
[00:35:09.529 --> 00:35:11.430]  intends to monopolize.
[00:35:12.771 --> 00:35:25.357]  I attended the food conference, the World Food Conference of the Food and Agricultural Organization in Rome in December of 1974, which was attended by Kissinger.
[00:35:29.019 --> 00:35:45.245]  And I put out some leaflets at this FAO conference in Rome in late 1974, and in response to that, the UN bureaucracy kicked me out of the conference, not for disrupting anything, but simply by pointing out the obvious implications of what was going on.
[00:35:45.725 --> 00:35:50.127]  At that same conference, the Soviet delegate made a useful contribution.
[00:35:50.167 --> 00:35:55.889]  He said that if you just took the existing off-the-shelf technology and made that available to everybody,
[00:35:56.249 --> 00:35:59.931]  You would have no problem with 35 billion people on the earth.
[00:36:00.471 --> 00:36:03.473]  The demographic potential is still very, very large.
[00:36:03.553 --> 00:36:05.234]  Lots and lots of wide open spaces.
[00:36:05.654 --> 00:36:06.635]  But they kicked me out.
[00:36:07.055 --> 00:36:15.740]  So, the Kissinger line was, stop population growth in third world countries, because otherwise they'll compete for natural resources.
[00:36:15.800 --> 00:36:25.245]  I guess he's looking into what happens today with Chinese oil consumption and the Chinese in Africa offering their own bids for mining and other
[00:36:25.765 --> 00:36:26.046]  I don't know.
[00:36:29.949 --> 00:36:49.042]  And in particular, under Secretary of State Edmund Muskie, you had Global 2000 and Global Futures, and that is the real watershed of making genocide, population reduction, euthanasia, population control into the dominant ideology of the U.S.
[00:36:49.082 --> 00:36:52.525]  government, the foreign policy establishment, and the State Department.
[00:36:52.585 --> 00:36:58.189]  Global 2000 and Global Futures enacted under Muskie are really the turning point, after which
[00:36:58.789 --> 00:36:59.049]  U.S.
[00:36:59.130 --> 00:37:07.719]  policy in the developing sector is no longer development, but it's rather population control, population reduction, with strong genocidal overtones.
[00:37:09.120 --> 00:37:13.305]  Holdren writes books about nuclear target selection, nuclear war.
[00:37:13.345 --> 00:37:14.466]  He's a strange love.
[00:37:14.827 --> 00:37:17.309]  He's a strange love under green left cover.
[00:37:18.640 --> 00:37:21.762]  However, he recognizes what strange loves often forget.
[00:37:22.222 --> 00:37:27.186]  You can kill more people with economic means than you can with military means.
[00:37:27.606 --> 00:37:30.748]  Robert McNamara did his best to escalate Vietnam.
[00:37:31.108 --> 00:37:35.971]  Robert McNamara killed more people at the World Bank than he ever did at the Pentagon.
[00:37:36.591 --> 00:37:39.133]  The general estimate is, well, 40,000 people a day.
[00:37:40.894 --> 00:37:48.237]  Meaning 15, 20 million a year minimum die as a result of the IMF conditionalities.
[00:37:48.757 --> 00:37:55.660]  They die of starvation, malnutrition and diseases like diarrhea that can be cured for a few pennies.
[00:37:55.720 --> 00:38:03.604]  So that's the cost of the IMF based system is already in the neighborhood of 20 million dead per year and again 40,000 per day
[00:38:06.545 --> 00:38:07.506]  And that's an old figure.
[00:38:07.586 --> 00:38:11.770]  Now that we have the depression, it's probably more like 50,000 a day or more.
[00:38:12.230 --> 00:38:16.334]  Because the effect of the depression is obviously to increase that figure.
[00:38:17.735 --> 00:38:23.440]  This is a book called Ecoscience, Population, Resources, Environment.
[00:38:24.807 --> 00:38:28.209]  The authors, Paul R. Ehrlich of Stanford University.
[00:38:28.329 --> 00:38:30.451]  This is the charlatan with the population bomb.
[00:38:31.251 --> 00:38:34.734]  Anne H. Ehrlich, who is an environmental fanatic in her own right.
[00:38:35.434 --> 00:38:39.337]  And John P. Holdren of the University of California, Berkeley.
[00:38:39.437 --> 00:38:42.619]  Today, White House science czar for Obama.
[00:38:43.059 --> 00:38:44.340]  Published by the W.H.
[00:38:44.380 --> 00:38:48.223]  Freeman and Company Publishing House in San Francisco.
[00:38:49.243 --> 00:38:54.227]  And the edition I have here is 1977, so we're in the Jimmy Carter era.
[00:38:54.827 --> 00:38:55.548]  First edition, 1970.
[00:38:56.128 --> 00:38:58.470]  Second edition, 1972.
[00:38:59.831 --> 00:39:01.992]  And as you can see, this is a hefty tome.
[00:39:02.773 --> 00:39:06.455]  This is the best part of a thousand pages, more than a thousand pages.
[00:39:07.076 --> 00:39:09.878]  If you count the index, we get up to 1,500 pages of raving, insane, Malthusian drivel.
[00:39:16.041 --> 00:39:30.031]  And he tells you he's a Malthusian, a Neo-Malthusian, he loves Darwin, he loves the struggle for existence and the survival of the fittest, and in some ways he wants to bring that into human society.
[00:39:30.731 --> 00:39:35.475]  Now, the heart of the book, I think, for political purposes,
[00:39:36.656 --> 00:39:49.842]  has to do with the measures that Holdren proposes to implement as a means of slowing, stopping, and reversing population growth.
[00:39:51.143 --> 00:39:54.244]  The heart of the book, I think, starts on page 783.
[00:39:54.965 --> 00:39:58.807]  Population control direct measures.
[00:40:00.127 --> 00:40:05.290]  You've got to convince people of the necessity of reducing population.
[00:40:06.104 --> 00:40:08.686]  For example, one thing he quotes approvingly,
[00:40:15.106 --> 00:40:28.738]  of compulsory sterilization in some states in India and for government employees in Delhi following two decades of discouraging results from voluntary family planning.
[00:40:28.778 --> 00:40:36.925]  So let's make it involuntary, compulsory, obligatory, and we're going to come in with compulsory sterilization.
[00:40:38.086 --> 00:40:41.689]  Let's jump ahead to the involuntary controls.
[00:40:42.955 --> 00:40:50.615]  In the 1960s, it was proposed to vasectomize all fathers of three or more children in India.
[00:40:52.034 --> 00:41:01.317]  India entertained the policy of compulsory sterilization, and if they had really done it, then they would have been better off, as Holdren says.
[00:41:02.237 --> 00:41:15.061]  A program of sterilizing women after their second or third child, despite the fact that this is harder to do than a vasectomy, might be easier to implement than sterilizing men.
[00:41:17.285 --> 00:41:31.029]  Other than that, Holdren is interested, and again on page 787, the development of a long-term sterilizing capsule that could be implanted under the skin and removed when pregnancy is desired.
[00:41:31.049 --> 00:41:36.271]  Well, this is Norplant, and that's been implanted in victim populations in U.S.
[00:41:36.371 --> 00:41:37.871]  inner cities now for a couple of decades.
[00:41:37.931 --> 00:41:39.892]  One of the problems is, how do you get it out?
[00:41:40.532 --> 00:41:43.634]  The government puts it in, but who's going to help you to take it out?
[00:41:44.435 --> 00:41:45.456]  That's a little bit harder.
[00:41:46.176 --> 00:41:48.598]  Another proposal that Holdren is interested in.
[00:41:49.559 --> 00:41:52.001]  He quotes the economist Kevin Boulding.
[00:41:52.081 --> 00:41:53.062]  British, I'm pretty sure.
[00:41:53.642 --> 00:42:03.370]  Boulding proposed to issue to each woman at maturity a marketable license that would entitle her to have a fixed number of children.
[00:42:04.070 --> 00:42:09.214]  And of course, again, if Goldman Sachs gets into the market, then that could be priced out of reach.
[00:42:10.040 --> 00:42:11.901]  A very interesting chart on page 788.
[00:42:11.962 --> 00:42:12.402]  Baby licenses.
[00:42:28.962 --> 00:42:34.608]  We're told that you can have a monthly subsidy if you have no more than two children.
[00:42:35.308 --> 00:42:39.993]  You can have a monthly tax on people with more than two children to discourage that.
[00:42:40.653 --> 00:42:45.638]  A one-time lump sum tax on excess babies over two.
[00:42:45.718 --> 00:42:48.200]  So if you're over two children, that's excess.
[00:42:48.821 --> 00:42:49.681]  And quotas
[00:42:50.402 --> 00:43:18.701]  for families so again uh... the basic idea is some measures designed to persuade and then the hardcore hardline measures compulsory sterilization compulsory abortion and it's also a good idea to take children away from mothers if they're uh... teenagers unmarried and otherwise not suitable now he wants to impose this not just domestically in the u.s.
[00:43:18.741 --> 00:43:19.562]  but even more
[00:43:20.402 --> 00:43:23.564]  He wants to have family planning measures here on page 789.
[00:43:24.405 --> 00:43:28.968]  He wants to have family planning measures in the less developed countries.
[00:43:29.588 --> 00:43:37.574]  High priority should be given to stimulating attitude changes and counteracting the effects of pro-natalist traditions.
[00:43:37.594 --> 00:43:43.558]  You may remember President de Gaulle of France talked about a hundred million Frenchmen as a national goal.
[00:43:43.638 --> 00:43:46.260]  Obviously for Baldwin this is impossible.
[00:43:47.142 --> 00:43:48.544]  What are the problems with this?
[00:43:48.584 --> 00:43:50.045]  Well, one problem is human rights.
[00:43:50.926 --> 00:43:52.147]  Page 793.
[00:43:52.948 --> 00:44:00.196]  Some people have this idea that there's a fundamental human right for each person responsibly to determine the size of his or her own family.
[00:44:01.397 --> 00:44:03.399]  Holdren doesn't like that one.
[00:44:04.300 --> 00:44:05.501]  Could this be done in the US?
[00:44:05.541 --> 00:44:06.742]  Well, we have the Constitution.
[00:44:07.691 --> 00:44:29.914]  Holdren laments, and now we're on page 837, to date there has been no serious attempt in Western countries, Europe, US, Japan, to use laws to control excessive population growth, although there exists ample authority under which population growth could be regulated.
[00:44:31.209 --> 00:44:33.191]  For example, under the U.S.
[00:44:33.251 --> 00:44:50.809]  Constitution, effective population control programs could be enacted under the clauses that empower Congress to appropriate funds to provide for the general welfare and to regulate commerce, though the commerce clause becomes abortion and sterilization.
[00:44:52.023 --> 00:44:56.267]  Or, for the Equal Protection Clause of the 14th Amendment.
[00:44:56.767 --> 00:45:01.211]  So the idea is strip everybody of the right to exist under the 14th Amendment.
[00:45:01.872 --> 00:45:04.835]  Such laws, constitutionally, could be very broad.
[00:45:05.856 --> 00:45:16.926]  Indeed, it has even been concluded that compulsory population control laws, even including laws requiring compulsory abortion,
[00:45:17.967 --> 00:45:27.976]  Could be sustained under the existing Constitution if the population crisis became sufficiently severe to endanger the society.
[00:45:29.037 --> 00:45:36.364]  Few today consider the situation in the United States serious enough to justify compulsion, however.
[00:45:37.694 --> 00:45:38.494]  Laments Holdren.
[00:45:39.194 --> 00:45:55.538]  The most compelling arguments that might be used to justify government regulation of reproduction are based on the rapid population growth relative to the capacity of environmental and social systems to absorb the associated impact.
[00:45:56.858 --> 00:46:04.720]  The appeal to greed, to provide a high quality of life for all, there must be fewer people, says Holdren.
[00:46:05.728 --> 00:46:11.481]  But there are other sound reasons that support the use of law to regulate reproduction.
[00:46:12.824 --> 00:46:13.846]  In today's world...
[00:46:14.690 --> 00:46:22.655]  Holdren writes on page 838, the number of children in a family is a matter of profound public concern.
[00:46:22.755 --> 00:46:30.100]  There is no individual sphere anymore for a Malthusian fanatic.
[00:46:31.300 --> 00:46:35.663]  On page 850, Holdren wants to convert to a spaceman economy.
[00:46:36.043 --> 00:46:37.264]  It's not the moonshot anymore.
[00:46:37.304 --> 00:46:43.308]  This is the idea that you're on spaceship Earth and everything you have with you is a limited resource.
[00:46:43.948 --> 00:46:49.890]  So, what you've got to do is reduce throughput of raw materials in industrial processes.
[00:46:50.450 --> 00:46:59.434]  He quotes a fellow crackpot, Herman Daly, who has suggested a specific mechanism for accomplishing population reduction.
[00:47:00.276 --> 00:47:12.362]  Put strict depletion quotas on the natural resources of the United States, meaning that you couldn't use more than two or three percent of the existing oil or minerals or whatever it is.
[00:47:13.022 --> 00:47:21.247]  The problem with that is, what we've found since the publication of Limits of Growth, is that the available stocks of most raw materials have grown.
[00:47:21.607 --> 00:47:22.507]  They haven't gone down.
[00:47:22.707 --> 00:47:25.068]  They've gone up, because you find more than you use.
[00:47:25.549 --> 00:47:29.991]  And that, I think, that would be even more clear if this process were not sabotaged.
[00:47:31.394 --> 00:47:36.246]  We would want to impose restrictions on the import of manufactured goods.
[00:47:37.369 --> 00:47:40.537]  Well, up to a point, but not for Holdren's goals.
[00:47:42.799 --> 00:47:45.981]  And there's a big attack on the cornucopians, again on page 851.
[00:47:46.361 --> 00:47:56.307]  The American mentality that you can solve things through science and production is something that Holdren wants to polemicize against.
[00:47:57.427 --> 00:48:05.532]  And that gets us then to his favorite theme, page 926, the de-development of overdeveloped countries.
[00:48:05.972 --> 00:48:08.834]  We've got to stop the less developed countries
[00:48:09.574 --> 00:48:30.562]  From imitating the growth path of the developed world, one key to saving world society lies in a measured and orderly retreat, retreat, from overdevelopment in today's overdeveloped countries, that would be the U.S., a process we will label, for want of a better word, de-development.
[00:48:30.582 --> 00:48:38.625]  So, if you thought your living standard was too low, Holdren is here to tell you, your living standard is too high, you should be de-developed.
[00:48:39.733 --> 00:48:43.658]  World government, international controls, the global commons.
[00:48:43.979 --> 00:48:48.645]  The quote here is, mutual coercion, mutually agreed upon.
[00:48:49.738 --> 00:48:50.538]  The New World Order.
[00:48:51.098 --> 00:49:09.044]  It has been apparent for some time that the nations of this planet cannot long survive, we read on page 939, cannot long survive without a system of worldwide controls for dealing with the ecosphere, the world economic system, and world economic growth.
[00:49:09.864 --> 00:49:14.806]  Such a system must be above all capable of resolving national differences.
[00:49:15.686 --> 00:49:29.071]  This is the basic conclusion of the distinguished professor of international law, Richard A. Falk, as he analyzed the situation, exemplified by the projections of alternative future scenarios.
[00:49:29.951 --> 00:49:36.214]  We might enter a plea here for surrendering some national sovereignty to a world government.
[00:49:36.934 --> 00:49:49.850]  But it's unfortunately clear that there will not be a supranational government in the foreseeable future, but now 30 years have gone by, and maybe this is within reach at the Copenhagen Conference in December of 2009.
[00:49:50.330 --> 00:49:52.873]  So we get the U.S.
[00:49:53.474 --> 00:49:54.715]  environmental program,
[00:49:55.734 --> 00:50:00.597]  And again, in the conclusion, the summary of this is, there are two factions on Earth.
[00:50:01.158 --> 00:50:07.662]  We have the cornucopians, we can call them the growthsmanship group, the moonshot mentality.
[00:50:07.702 --> 00:50:16.768]  Those are people who say science, technology and industry can solve any problem with political will and the proper effort.
[00:50:16.828 --> 00:50:19.210]  And that's pretty much how humanity has survived up to now.
[00:50:19.530 --> 00:50:21.631]  But that's the wrong path, according to Holdren.
[00:50:22.032 --> 00:50:25.314]  We've got to become neo-Malthusians.
[00:50:26.274 --> 00:50:32.719]  On these points, says Holdren, we find ourselves firmly in the Neo-Malthusian camp.
[00:50:32.779 --> 00:50:39.203]  And again, that's based on Bentham, Ortiz, and it's the basis, it's in turn, of Darwin.
[00:50:39.944 --> 00:50:50.131]  This is a cookbook for the extermination of humanity, beyond what he thinks, because the essential predicament of humanity is realize progress or collapse.
[00:50:50.811 --> 00:51:00.679]  If you look in Historians of World History, like Toynbee, he's got a catalog of, what, 20 different world civilizations, and they've all collapsed, except one.
[00:51:00.979 --> 00:51:16.771]  And generally they've collapsed from within, and they've collapsed to a very significant degree because of thinking like this, that there's a limit to growth, and that the privileges of an oligarchy are more important than the standard of living and the success of the individual human family.
[00:51:16.831 --> 00:51:18.533]  So, this is a cookbook
[00:51:19.173 --> 00:51:21.696]  for the extermination of humankind, right?
[00:51:21.736 --> 00:51:24.239]  Those series that you see on the History Channel.
[00:51:24.279 --> 00:51:25.420]  What if there were no people?
[00:51:25.500 --> 00:51:28.703]  Well, Holdren has been blazing that trail for quite a while.
[00:51:29.384 --> 00:51:36.612]  This is an ultra-Hitlerian genocidalist who's today operating out of the White House in Washington, D.C., and it's time to kick him out.
[00:51:37.975 --> 00:51:46.425]  Morris Strong of Canada is a British imperialist functionary, close to Holdren in his outlook.
[00:51:47.286 --> 00:51:49.890]  In the build-up to the 1992 United Nations conference in Rio,
[00:51:54.755 --> 00:51:55.456]  We're good to go.
[00:52:10.663 --> 00:52:10.923]  Thank you.
[00:52:31.563 --> 00:52:45.316]  Is that the relative potential population density of the world goes below the existing 7 billion plus people that we've got, and that overhang gets into the danger of extinction.
[00:52:45.436 --> 00:52:54.264]  So, that's a call to genocide, again, on an ultra-Hitlerian scale, issued by Maurice Strong back in 1992.
[00:52:54.544 --> 00:52:56.165]  Holdren is very much in that tradition.
[00:52:57.087 --> 00:53:06.406]  Ehrlich and Holdren and their ilk are crackpots, charlatans, and quackademics in the sense that their method is fundamentally wrong.
[00:53:07.932 --> 00:53:26.707]  The predicament of humanity is that at any given moment in time, with the existing technology that you have, you face a finite world of natural resources, except that what you can use as a natural resource is already defined by the technology you have.
[00:53:27.307 --> 00:53:41.596]  So if you expand your technological repertoire and armory through scientific discovery and technological development, you can define increasing areas of the natural world as usable natural resources.
[00:53:41.656 --> 00:53:42.937]  And that's what we've done up to now.
[00:53:43.277 --> 00:53:45.238]  If wood is not enough, get coal.
[00:53:45.618 --> 00:53:47.540]  If coal is not convenient, get oil.
[00:53:47.980 --> 00:53:49.921]  If oil is not enough, get nuclear.
[00:53:50.261 --> 00:53:52.443]  If nuclear has problems, get thermonuclear.
[00:53:52.483 --> 00:53:53.483]  Look at antimatter.
[00:53:53.503 --> 00:53:54.164]  Look beyond.
[00:53:55.064 --> 00:53:59.847]  And still beyond, beyond a horizon that we can't even see at this point.
[00:54:00.407 --> 00:54:04.429]  The essential human condition is realize progress or collapse.
[00:54:05.169 --> 00:54:10.192]  Advance in science, technology and industry or you will soon cease to exist.
[00:54:10.312 --> 00:54:21.518]  And that's the fundamental human premise that this lunatic, Malthusian, Darwinian, Benthamite school, Ehrlich, Holdren and the rest of them deny.
[00:54:23.234 --> 00:54:23.815]  I don't know.
[00:54:52.816 --> 00:54:55.500]  Ask yourselves, what are you doing in this time of great challenge?
[00:54:56.462 --> 00:54:58.104]  What are you doing to unlock mine?
[00:54:59.927 --> 00:55:05.996]  Go to InfoWars.com and PrisonPlanet.tv for the latest headlines and cutting-edge information.
