[00:00:19.511 --> 00:00:20.192]  I'm Ed Griffin.
[00:26:50.877 --> 00:27:00.367]  So they start attacking their opponent's character, or their intelligence, or they try and look for something in their past to make them seem like they're evil people.
[00:27:00.968 --> 00:27:02.450]  And it's called demonizing.
[00:27:02.490 --> 00:27:03.971]  You demonize the opposition.
[00:27:04.452 --> 00:27:07.275]  This is an old tactic that's been going on for a long, long time.
[00:27:08.124 --> 00:27:31.515]  And yes, I've seen it over the years where they have taken a group like the John Birch Society, which is just an educational organization, but it was an educational organization dealing with principles and real historical facts, and they pretty well succeeded in convincing everybody in America that the Birchers were a bunch of
[00:27:32.715 --> 00:27:42.544]  At the least, they were a bunch of little old ladies in tennis shoes, but at worst, they were a bunch of Nazis and fascists and racists, and they were even called communists, and so it didn't make any difference.
[00:27:42.584 --> 00:27:50.971]  You just call them some name, and if you keep doing that often enough, and in major channels of communication, most people will believe it.
[00:27:51.892 --> 00:27:56.257]  So that's a tactic that's well used and I think we have to be alert to it.
[00:27:56.557 --> 00:28:10.591]  Also we have to be alert to the fact that the people that we're talking about, these elitists, it's hard to find a better word, but the ones who want to really control this international collectivist government, they are not dumb.
[00:28:12.336 --> 00:28:22.496]  They have a lot of money and they have think tanks that work out strategies and one of the strategies they have always used is to lead their own opposition.
[00:28:24.042 --> 00:28:30.066]  And they try to lead their own opposition because, first of all, they know there's going to be opposition, so why wait around?
[00:28:30.927 --> 00:28:34.529]  Why wait around for real opposition to develop if you know what's going to happen?
[00:28:34.809 --> 00:28:48.819]  Send your own people out there and let them pretend to be your opposition, and everybody will follow them, especially if they're well-funded, and if they give the right speeches and say the right words, you know, those nice campaign speeches, for example.
[00:28:50.380 --> 00:28:53.362]  But they're really controlled by the very people they're speaking against.
[00:28:54.162 --> 00:29:06.735]  I came across that when I was doing research for the Federal Reserve System, because I realized that in the early days, the very bankers who put together this cartel and drafted the Federal Reserve Act, it was their bill.
[00:29:07.636 --> 00:29:09.939]  When it came time to promote it to the public,
[00:29:11.052 --> 00:29:15.915]  They funded and actually delivered their own opposition.
[00:29:15.955 --> 00:29:23.541]  Some of these bankers went forth and started giving speeches and interviews to newspaper reporters saying, oh, this bill is bad.
[00:29:23.901 --> 00:29:24.982]  It's bad for America.
[00:29:25.342 --> 00:29:27.723]  It's going to damage the economy.
[00:29:28.824 --> 00:29:42.234]  And they knew that the average person reading that in the newspaper would say, oh my, my goodness, Maud, listen to this, these bankers don't like the Federal Reserve Act very much, hmm, must be pretty good, you know?
[00:29:42.455 --> 00:29:43.415]  So they play this game.
[00:29:44.036 --> 00:29:50.781]  So we know that this is still going on today, and for example, in the Tea Party movement, if they want to discredit it,
[00:29:52.603 --> 00:29:57.028]  If they can't control it, okay, let's say if one of the parties can't control it, they'll have to discredit it.
[00:29:57.528 --> 00:30:04.835]  So they will, and I believe already have attempted, to send people into the Tea Party movement who are real wackos, or pretend to be real wackos.
[00:30:05.196 --> 00:30:08.879]  Or if they're real wackos out there, they make sure that they're brought in to the Tea Party movement.
[00:30:09.200 --> 00:30:15.126]  And every time there's a media crew going out there with their cameras taking pictures, do they take pictures of the, you know, the 10,000
[00:30:16.887 --> 00:30:18.989]  Middle-class Americans who know what they're talking about?
[00:30:19.349 --> 00:30:23.693]  Or do they pick the two or three wackos over here with the tinfoil hats?
[00:30:24.374 --> 00:30:27.397]  Or the guys with the swastikas on their arm and so forth?
[00:30:27.637 --> 00:30:28.958]  That's where they focus, you see.
[00:30:29.478 --> 00:30:35.664]  And I believe that some of those people are probably sent in there on purpose, just to demonize and discredit the movement.
[00:30:36.204 --> 00:30:44.630]  Now, this is hard for most Americans to believe, because they don't realize that this is really hardball.
[00:30:45.010 --> 00:30:50.774]  This political game is hardball, and they don't realize that it is a game and that there are professionals playing it.
[00:30:52.155 --> 00:31:00.921]  It's a matter of historical record that the group of people that sometimes we call capitalists, the big super wealthy families,
[00:31:01.983 --> 00:31:10.287]  You know, the Rothschilds, the Rockefellers, the heads of the big corporations in America, AT&T, Ford Motor Company, and so forth.
[00:31:11.788 --> 00:31:14.049]  People think of them as the super capitalists.
[00:31:15.017 --> 00:31:40.877]  It's a historical fact that many of these people have provided the funding, the essential funding, to help bring to power regimes such as Hitler's regime that was well funded by American financiers and British and also in communist Russia the group, the Leninist group, was well funded by American and London bankers
[00:31:41.698 --> 00:31:46.742]  And so it's tempting to say, well, they created their own opposition.
[00:31:47.923 --> 00:31:50.825]  And I think that's partially true, but I wouldn't go that far.
[00:31:50.985 --> 00:31:58.070]  I think what these people do is they look around and they see what kind of native opposition is out there.
[00:31:59.031 --> 00:32:07.540]  And what kind of native groups are growing, movements are growing, that they really want to control.
[00:32:08.121 --> 00:32:14.628]  Maybe they don't necessarily create them, but they see which ones are coming to the front, and those are the ones they move into.
[00:32:15.108 --> 00:32:21.415]  And if you have enough money, you know, millions and millions of dollars, it's not too difficult to gain influence over almost any
[00:32:21.775 --> 00:32:22.195]  I think so.
[00:32:41.169 --> 00:32:55.638]  I don't think they created it at all, but they see it as something that has the potential of being a powerful movement, and so they are putting their best attention and a lot of money into it to see if they can't capture it for their own uses.
[00:32:56.879 --> 00:33:07.646]  Another tactic, isn't it, that the opposition knows that the American people, any people in the world, will gladly give up their liberty and their comforts
[00:33:09.016 --> 00:33:15.398]  If it's in their mind a means of gaining security protection against a dreaded threat of some kind.
[00:33:16.359 --> 00:33:27.342]  That's why regimes that are struggling to hold the loyalty of their people are very dangerous regimes because instinctively they know they have to go to war.
[00:33:28.423 --> 00:33:34.885]  They know that in time of war the people will rally behind their leaders no matter what because we're at war.
[00:33:35.560 --> 00:33:39.761]  And if we lose this war, we'll be invaded, we'll be conquered by some dreaded enemy.
[00:33:40.822 --> 00:33:51.685]  And so, throughout history, governments that are weak, or losing influence over their own people, traditionally start wars.
[00:33:53.688 --> 00:33:58.371]  Or they manufacture false flag operations against themselves.
[00:33:58.451 --> 00:34:00.012]  They create their own enemies.
[00:34:00.212 --> 00:34:13.259]  They want to be victims so that they can rally their citizens behind them and anybody who wants to continue criticizing these leaders is then branded as being unpatriotic or possibly even
[00:34:14.419 --> 00:34:15.340]  Branded as a traitor.
[00:34:15.941 --> 00:34:16.821]  So it's an old ploy.
[00:34:16.881 --> 00:34:18.523]  It's been done throughout history.
[00:34:19.204 --> 00:34:20.324]  Machiavelli wrote about it.
[00:34:21.105 --> 00:34:23.607]  Everywhere you look in history you see this ploy being used.
[00:34:24.108 --> 00:34:25.789]  And is it being used today in America?
[00:34:26.630 --> 00:34:28.452]  Absolutely it is, I'm sorry to say.
[00:34:30.173 --> 00:34:36.739]  It's interesting to me how organizations as innocuous sounding as a tax-exempt foundation
[00:34:37.930 --> 00:34:46.858]  Can have such tremendous clout in determining the nation's politics and its foreign policy and its economic policy.
[00:34:47.618 --> 00:34:56.666]  Turns out that organizations, these big ones like the Rockefeller Funds and the Ford Foundation and these big tax-exempt megaliths,
[00:34:59.062 --> 00:35:01.824]  The general impression of them is that they do good works.
[00:35:02.544 --> 00:35:07.627]  I mean, they're supposedly doing charity of some kind or educational projects.
[00:35:08.973 --> 00:35:13.477]  Boy, what a difference there is between that image and the reality when you look at some of them.
[00:35:14.138 --> 00:35:24.588]  They spend a great deal, if not most of their money, promoting certain projects which, although they can be described as philanthropic, are really very, very political in nature.
[00:35:25.749 --> 00:35:28.571]  The Ford Foundation in particular comes to mind because
[00:35:29.432 --> 00:35:43.216]  Although they spend millions and hundreds of millions of dollars supposedly to improve the social condition and the economic condition of minority groups.
[00:35:43.876 --> 00:35:48.998]  When you see where the money goes, it goes almost always to very radical minority groups.
[00:35:49.018 --> 00:35:51.118]  They're not even minority groups anymore.
[00:35:51.378 --> 00:35:53.459]  They're radical political change groups.
[00:35:54.099 --> 00:35:59.324]  The ones that are trying to bring about very destructive movements inside the United States.
[00:36:00.024 --> 00:36:03.908]  All of the radical Latino movements.
[00:36:03.948 --> 00:36:06.831]  And I'm not just talking about Latino, I'm talking about radical movements.
[00:36:07.231 --> 00:36:09.573]  Like overthrow the United States.
[00:36:09.813 --> 00:36:10.734]  That kind of a movement.
[00:36:11.075 --> 00:36:13.517]  Like cut off Texas and return it to Mexico.
[00:36:13.777 --> 00:36:15.419]  That's the kind of movement I'm talking about.
[00:36:16.099 --> 00:36:20.763]  They're all funded by the Ford Foundation, all tax exempt money, and this has been going on for decades.
[00:36:21.523 --> 00:36:27.408]  And you come eventually to the conclusion that the directors of the Ford Foundation know exactly what they're doing.
[00:36:28.229 --> 00:36:33.313]  They're not making a mistake and continuing to make the same mistake for decades.
[00:36:33.393 --> 00:36:34.654]  They know exactly what they're doing.
[00:36:35.154 --> 00:36:39.698]  And what they're trying to do is to divide America.
[00:36:39.758 --> 00:36:41.159]  They're trying to weaken America.
[00:36:41.219 --> 00:36:46.343]  They're trying to bring America down so she is no longer a powerful force in the world.
[00:36:46.783 --> 00:36:52.808]  So that she's reeling and she's kneeling and she can be comfortably merged with all the other nations of the world.
[00:36:53.088 --> 00:37:00.974]  And she'll be willing to give up her culture, her freedoms, her judicial system, economic system.
[00:37:01.855 --> 00:37:10.523]  In gratitude, in order to be saved from some kind of internal chaos and revolution and being starved and so forth, starvation.
[00:37:11.604 --> 00:37:16.428]  In other words, these people are deliberately trying to weaken America.
[00:37:17.169 --> 00:37:23.314]  So, all of this is being done, not all of it, most of it is being done under the aegis of tax-exempt foundations.
[00:37:23.935 --> 00:37:25.136]  What a beautiful cover!
[00:37:25.596 --> 00:37:27.118]  But this has been going on for a long time.
[00:37:29.448 --> 00:37:34.432]  There certainly has been a change in the function of the American government.
[00:37:35.472 --> 00:37:47.541]  In the beginning it was set up with a definite system of checks and balances and the executive and judicial and legislative branch were supposed to be fairly equal so they could check each other.
[00:37:49.583 --> 00:37:56.208]  There's been a change, gradual change, over the years starting primarily with World War I.
[00:37:58.120 --> 00:38:02.543]  When there was this great crisis, we had to defend ourselves against foreign enemies.
[00:38:04.044 --> 00:38:13.030]  And ever since then, one crisis after another has added to the impetus for us to change our form of government, supposedly to make us more secure.
[00:38:14.178 --> 00:38:17.239]  So we've given up that checks and balances concept.
[00:38:18.179 --> 00:38:37.926]  Gradually, it's been reinforced by Supreme Court decisions, it's been reinforced by new legislation, and it's been reinforced by the media, and primarily reinforced by the apathy of the American people, if not their total ignorance of the way it should be, because they don't teach this in school anymore.
[00:38:39.022 --> 00:38:39.602]  So it's happened.
[00:38:39.823 --> 00:38:42.444]  No matter how it's happened or who's responsible, it has happened.
[00:38:42.484 --> 00:38:48.088]  So that now we do not have checks and balances between three forms or three branches of government.
[00:38:49.729 --> 00:38:52.571]  A realistic appraisal is that we have a dictatorship.
[00:38:52.691 --> 00:38:54.372]  It's a democratic dictatorship.
[00:38:55.173 --> 00:38:59.336]  And most of the power resides in the hands of the President of the United States.
[00:39:00.497 --> 00:39:04.820]  Originally the President was supposed to be like the President of any corporation.
[00:39:04.860 --> 00:39:07.702]  He took orders from the Board of Directors.
[00:39:08.855 --> 00:39:16.882]  And he didn't determine policy, major policy at least, maybe minor policy, but the major decisions were made by the board of directors.
[00:39:18.194 --> 00:39:21.615]  And his job was merely to implement those policies.
[00:39:22.395 --> 00:39:23.855]  That's the way it used to be in America.
[00:39:23.895 --> 00:39:27.136]  The president was a relatively unimportant person.
[00:39:28.016 --> 00:39:35.678]  He was selected by the states and he was to implement policies of the Congress.
[00:39:36.278 --> 00:39:37.539]  Today that's not the case.
[00:39:38.099 --> 00:39:41.140]  Today the president is basically the same as a king.
[00:39:41.960 --> 00:39:43.000]  We don't call him a king.
[00:39:43.620 --> 00:39:44.761]  We don't say your highness.
[00:39:44.901 --> 00:39:46.201]  We say Mr. President.
[00:39:46.761 --> 00:39:52.045]  But he has almost unlimited powers, the same as any great ruler of history.
[00:39:52.765 --> 00:40:02.392]  And Congress, although we still think of it as being an important body, pretty much steps back and lets the president do whatever he wants to do.
[00:40:04.353 --> 00:40:13.080]  Congress theoretically has the power of the purse, because they can vote the money to fund the projects of the president.
[00:40:13.960 --> 00:40:27.929]  But even that has been circumvented, because now the President has worked, and not just the current President, but this whole process, has worked out ways and means by which, in partnership with the Federal Reserve System, they can create funding without Congress.
[00:40:28.610 --> 00:40:34.214]  So now the President has special funds for this, and special funds for that, and secret funds for this.
[00:40:34.774 --> 00:40:43.140]  The President can, with a stroke of a pen, just create all kinds of money without Congress even having any say-so in it at all.
[00:40:44.040 --> 00:40:50.809]  So we come to the sad conclusion that the United States is no longer the country it was.
[00:40:51.630 --> 00:40:53.632]  And the question is, what are we going to do about it?
[00:40:55.294 --> 00:40:58.779]  The old methods of writing a letter to your congressman,
[00:41:00.543 --> 00:41:01.543]  Don't work anymore.
[00:41:03.264 --> 00:41:04.985]  It's time for fundamental change.
[00:41:05.605 --> 00:41:12.808]  And that's not going to happen, though, until more and more Americans, first of all, wake up to the reality of their present plight.
[00:41:12.828 --> 00:41:23.972]  That we're still living in a dream world, still reading in our history books, you know, looking at pictures of George Washington's white socks and so forth, and the signing of the Declaration, and we think it's still that way.
[00:41:24.532 --> 00:41:26.333]  It's not that way, folks.
[00:41:26.953 --> 00:41:29.055]  And so people live in this dream world.
[00:41:29.395 --> 00:41:38.582]  The first step is to realize what we're really living under, what kind of a system we're really living under, and then to go back and figure out what kind of a system do we want to restore.
[00:41:39.383 --> 00:41:44.764]  And I think restoring the concepts in our original Constitution is a great step forward.
[00:41:44.824 --> 00:41:46.185]  Not backward, but forward.
[00:41:46.205 --> 00:41:54.967]  We've been going backwards toward monarchy ever since World War I. We have to go forward now to the past, if I can coin that phrase.
[00:41:55.527 --> 00:42:03.029]  But that's not going to happen until a large number of Americans understand that it has to happen.
[00:42:03.610 --> 00:42:06.570]  So that's... What is that?
[00:42:06.610 --> 00:42:08.551]  An optimistic or a pessimistic view?
[00:42:09.761 --> 00:42:12.462]  I think it's an optimistic view in the long run.
[00:42:12.683 --> 00:42:17.225]  It's a pessimistic view in the short run because nothing like that is going to happen by November.
[00:42:17.725 --> 00:42:19.326]  It's not going to happen in the next election.
[00:42:19.786 --> 00:42:24.729]  Americans are always focused on, well, how can we make this happen quickly so I can go back to my golf game?
[00:42:24.749 --> 00:42:26.550]  You know, I don't want to spend a lot of time on this.
[00:42:27.450 --> 00:42:34.354]  I'll become active maybe for a few months and I'll vote for a candidate or something, but don't drag this thing out, please, because I'm too busy.
[00:42:34.894 --> 00:42:38.456]  They want to know how we can turn this all around by the next election.
[00:42:38.976 --> 00:42:40.336]  Can't be done by the next election.
[00:42:40.536 --> 00:42:41.337]  But it can be done.
[00:42:41.397 --> 00:42:42.637]  That's the optimistic part.
[00:42:43.077 --> 00:42:53.800]  I think if we have a realistic view of the political process, we know that it takes sometimes a generation or two for really important changes to happen.
[00:42:54.281 --> 00:43:05.844]  And if we understand that and accept it, and accept our role in being responsible for making it happen, then you can go to sleep at night and say, by golly, I'm really doing something about this, and I am making a difference, and it will happen.
[00:43:07.307 --> 00:43:14.669]  I don't know when the administrative branches of government became totally dominant.
[00:43:14.729 --> 00:43:21.611]  All I know is that it was a little bit at a time, and it was sort of like a jerky motion.
[00:43:22.191 --> 00:43:26.652]  Every time there's a crisis, every time there's a war, every time there's a terrorist attack,
[00:43:28.632 --> 00:43:35.160]  If there's a banking crisis, no matter what the crisis is, this movement toward totalitarianism accelerates.
[00:43:35.901 --> 00:43:39.104]  And then it slows down until the next crisis comes along.
[00:43:39.745 --> 00:43:48.736]  And I don't know if I could say at what point that happened, but I can say that it did happen and it's even continuing today.
[00:43:50.171 --> 00:44:07.408]  Yes, I did see the clip in which Hillary Clinton says that, I think she was saying it was nice to be so close to the headquarters of the Council on Foreign Relations because she didn't have to go very far to find out what to think and how to act on certain issues or something to that effect.
[00:44:08.391 --> 00:44:16.934]  And I'm sure she's been embarrassed by that statement and probably has issued some kind of a qualifying statement that, well, she didn't mean it quite that way.
[00:44:17.614 --> 00:44:19.935]  But the fact of the matter is, I think she did mean it.
[00:44:20.355 --> 00:44:28.717]  Most people know, in politics, they know that the Council on Foreign Relations is the center of all of this.
[00:44:29.237 --> 00:44:30.338]  That's where the power is.
[00:44:31.258 --> 00:44:40.404]  And you just don't get the green light to move up in politics unless the switch is thrown in the building there at the Council on Foreign Relations office.
[00:44:40.945 --> 00:44:50.411]  That's why all of the major candidates for office appear at the CFR conferences and you can see video clips of them on the internet now and then.
[00:44:50.931 --> 00:44:55.673]  They're giving speeches, sometimes before large audiences and sometimes before small groups.
[00:44:56.193 --> 00:45:10.440]  But it's clear to me that they're brought in and they're treated very nicely and then they're asked some questions to see how they think and how they would act under certain circumstances and what is their view on this policy and that policy.
[00:45:11.000 --> 00:45:14.541]  And if their answers are acceptable, they get the green light.
[00:45:14.561 --> 00:45:17.463]  The council says, okay, this is a man that we can trust.
[00:45:18.263 --> 00:45:20.244]  We can support.
[00:45:20.764 --> 00:45:25.245]  If they give the wrong answers, I don't think they're ever going to get any kind of a green light.
[00:45:25.265 --> 00:45:35.629]  And so people like Hillary Clinton know, even at that elevated position, Hillary Clinton, you'd say, with one of the big movers and shakers, compared to the Council on Foreign Relations, she's not.
[00:45:36.289 --> 00:45:37.209]  She's a small fish.
[00:45:38.170 --> 00:45:42.151]  And she knows that she's got to get the approval of the CFR.
[00:45:43.248 --> 00:45:53.377]  I think that the people who are monitoring this, they have to be concerned over the growing awareness on the part of the American people.
[00:45:55.379 --> 00:45:57.220]  The question, though, is are they worried about it?
[00:45:58.522 --> 00:46:04.227]  I don't think they are, because we know that they thought about it long before it ever happened.
[00:46:05.438 --> 00:46:06.519]  These people are not stupid.
[00:46:08.240 --> 00:46:15.984]  They knew that there would be opposition to their plans as they reach the end of the game.
[00:46:16.685 --> 00:46:28.032]  They know that as people begin to lose their economic freedom, and they know that as one crisis after another descends upon them, there's going to be opposition.
[00:46:29.152 --> 00:46:31.274]  And so they planned on this a long time ago.
[00:46:32.162 --> 00:46:40.087]  And I think what we're really looking at is, I think Alex Jones called it the endgame.
[00:46:40.688 --> 00:46:45.511]  We're approaching the endgame and they have a plan for that.
[00:46:46.191 --> 00:46:49.833]  And that is to institute martial law.
[00:46:50.742 --> 00:47:10.808]  Because as people become upset, they go into the streets, they demonstrate, and eventually they become unruly, eventually they become violent, and eventually they start breaking windows, eventually somebody gets hurt, eventually somebody gets killed, eventually there's martial law, and that really is what they really want.
[00:47:11.508 --> 00:47:13.769]  Because they want an excuse for martial law.
[00:47:14.649 --> 00:47:22.270]  All collectivist systems eventually deteriorate into a police state because it's the only way you can hold it together.
[00:47:23.211 --> 00:47:26.031]  So are they worried about people becoming aware?
[00:47:26.051 --> 00:47:30.652]  I think they are not because they've been planning on it.
[00:47:31.812 --> 00:47:32.673]  Let's say it this way.
[00:47:32.953 --> 00:47:34.373]  They're certainly not surprised by it.
[00:47:35.199 --> 00:47:39.400]  The movement toward world collectivist government has been going on for quite a while.
[00:47:40.440 --> 00:47:47.722]  It's impossible to establish its absolute origin, but it certainly was part of the literature at the turn of the last century.
[00:47:48.642 --> 00:47:53.784]  And there were groups and organizations forming in various parts of the world at that time.
[00:47:54.884 --> 00:47:56.105]  That had that as its goal.
[00:47:56.766 --> 00:48:00.830]  One of the most interesting groups was one put together by Cecil Rhodes.
[00:48:01.551 --> 00:48:04.014]  It was formed by his will.
[00:48:04.094 --> 00:48:08.919]  When he passed away, his vast fortune went to the creation of a secret society.
[00:48:08.959 --> 00:48:12.463]  And actually, what it was, he said, we've got to keep this a secret society.
[00:48:13.404 --> 00:48:16.787]  And all of the Rhodes money went in that direction.
[00:48:17.988 --> 00:48:23.415]  It was from that that the Council on Foreign Relations sprang in this country.
[00:48:23.475 --> 00:48:27.579]  There were similar organizations in other British dependencies.
[00:48:29.522 --> 00:48:35.288]  And they all had as their goal the creation of a unified world government based on the model of collectivism.
[00:48:36.209 --> 00:48:44.734]  So, there was this milieu of political and intellectual movement starting over a hundred years ago.
[00:48:45.455 --> 00:48:59.824]  But it certainly has gained momentum through World War I, really got up to speed, and then finally in World War II, all of the major players on the world scene were talking about world government.
[00:49:00.464 --> 00:49:02.846]  They've tried to do the League of Nations, that failed.
[00:49:03.126 --> 00:49:05.869]  Finally they created the United Nations, that stuck.
[00:49:06.409 --> 00:49:15.958]  And so now they're just trying to pump up the United Nations into the framework of the global government that they have always envisioned.
[00:49:16.698 --> 00:49:17.339]  And this has been a
[00:49:21.278 --> 00:49:23.578]  A thing that goes beyond one generation.
[00:49:23.799 --> 00:49:25.799]  It's transgenerational.
[00:49:25.819 --> 00:49:28.239]  In other words, it's not just one person's vision.
[00:49:29.040 --> 00:49:34.421]  The people that started it are long gone, but those who inherited it continue this dream.
[00:49:35.001 --> 00:49:37.561]  To them, I'm sure, they look at it as a wonderful thing.
[00:49:37.621 --> 00:49:42.362]  They see it as an end of nationhood, as it has been historically defined.
[00:49:42.402 --> 00:49:46.243]  They see that as advantageous, they say, because it'll put an end to war.
[00:49:46.943 --> 00:49:47.283]  I think so.
[00:50:04.381 --> 00:50:10.243]  It's based on the principle of collectivism, as I've said several times, and that means it's all powerful government.
[00:50:10.963 --> 00:50:12.223]  It's a tyrannical government.
[00:50:12.263 --> 00:50:18.345]  It's the same kind of a system that Adolf Hitler had in mind, and we fought a war to destroy him and his system.
[00:50:18.945 --> 00:50:27.428]  The same kind of a system that Joseph Stalin had in mind, and we fought a Cold War and did a lot of other things to make sure that that didn't happen.
[00:50:28.128 --> 00:50:31.229]  The same kind of a system that Mao Zedong had in mind, and
[00:50:32.712 --> 00:50:41.623]  Benito Mussolini, all of the great collectivists of history have had this unified global government based on the model of collectivism as their goal, and we fought against it.
[00:50:42.458 --> 00:50:43.959]  Until recently.
[00:50:44.320 --> 00:50:47.902]  Now we are actually the greatest advocates of it ourselves.
[00:50:48.002 --> 00:50:49.924]  We don't call it tyranny.
[00:50:49.984 --> 00:50:52.646]  We don't call it fascism or Nazism or communism.
[00:50:52.666 --> 00:50:53.827]  We have a better name for it.
[00:50:54.668 --> 00:50:58.110]  The name they have chosen is the New World Order.
[00:50:58.471 --> 00:50:59.872]  That's their favorite phrase for it.
[00:51:00.272 --> 00:51:09.039]  But when you examine its nature and its essence, it is a collectivist system, powerful government, little people at the bottom taking orders.
[00:51:09.619 --> 00:51:11.161]  So this is the concept.
[00:51:11.221 --> 00:51:11.521]  It's been
[00:51:12.022 --> 00:51:14.463]  We've been under evolution for over a hundred years.
[00:51:15.064 --> 00:51:17.385]  It looks like it's coming within sight now.
[00:51:19.627 --> 00:51:24.530]  We've seen the nations of Europe amalgamate into the European Union.
[00:51:25.492 --> 00:51:43.806]  The sovereignty of all of the European nations has been pretty well lost now to the European Union, and they've always said that was a stepping stone toward the creation of a true world government, is to unite the smaller governments of the world first into regional groupings, such as the European Union.
[00:51:44.346 --> 00:51:50.430]  They have one in mind for Asia and Africa, and now they're talking about doing the same on the North American continent.
[00:51:51.451 --> 00:51:57.056]  Call the North American Union and it'll be a merger of the United States, Mexico and Canada.
[00:51:57.556 --> 00:52:13.149]  A process that they deny that is underway but it is definitely underway and it's been underway for over a decade and if you examine some of the laws and administrative rulings that are coming out of the
[00:52:13.849 --> 00:52:25.939]  Federal government at all levels, they often use the word harmonization, meaning they're going to harmonize, or attempting to harmonizing, our laws with the laws of Canada and Mexico.
[00:52:26.019 --> 00:52:27.740]  So this process is well underway.
[00:52:29.822 --> 00:52:37.108]  We have seen the euro, a replacement of national currencies in Europe, a single regional currency.
[00:52:37.608 --> 00:52:40.170]  Now they're talking about the same thing here in the United States.
[00:52:41.124 --> 00:52:41.865]  Get rid of the U.S.
[00:52:41.905 --> 00:52:47.910]  dollar, get rid of the Mexican peso and the Canadian dollar, and create a new currency for the three.
[00:52:47.930 --> 00:52:49.892]  They'll probably call it the Amaro.
[00:52:50.012 --> 00:52:52.634]  That's the name they seem to be favoring at the moment.
[00:52:53.334 --> 00:52:55.436]  Step by step, this
[00:52:56.537 --> 00:53:02.203]  Structure of world government based on the model of collectivism is being erected every day.
[00:53:02.264 --> 00:53:06.729]  You can look in your newspaper and see evidence of another brick that's been put in place.
[00:53:07.189 --> 00:53:08.771]  Another timber has been put in place.
[00:53:08.871 --> 00:53:09.832]  It's going on and on.
[00:53:10.633 --> 00:53:13.116]  So is this a good process or a bad process?
[00:53:14.272 --> 00:53:15.993]  Is it an inevitable process?
[00:53:16.613 --> 00:53:23.695]  Well, first of all, I don't think it's inevitable because it has to be done by people, and people have to want to do it or not want to do it.
[00:53:25.435 --> 00:53:39.019]  It's well advanced because the people that are in charge, the people we elect, the people who are running our own government, the people who are running the governments of these other nations, at the top, these people are all for it, so that's why it's happening.
[00:53:39.779 --> 00:53:43.244]  At the voter level, I don't think most people even know that it's happening.
[00:53:44.005 --> 00:53:47.490]  And if they did know, they'd probably say, I don't think this is a good idea.
[00:53:48.171 --> 00:53:55.562]  So the trick has always been how to make this happen without getting the American people or the people in Britain or France or Germany or...
[00:53:55.982 --> 00:54:00.406]  Mexico or Canada, too much alarmed about it before it's too late.
[00:54:00.786 --> 00:54:03.409]  That has always been the strategy that they have followed.
[00:54:03.909 --> 00:54:06.231]  So that means they have to deny that it's happening.
[00:54:06.291 --> 00:54:08.873]  It means they have to do it behind closed doors.
[00:54:08.953 --> 00:54:11.215]  It means they don't bring it up for a vote in Congress.
[00:54:11.255 --> 00:54:14.298]  They do it administratively rather than legislatively.
[00:54:15.018 --> 00:54:18.401]  And all of those strategies and tactics are being used.
[00:54:19.462 --> 00:54:20.743]  Is it a good thing or a bad thing?
[00:54:21.884 --> 00:54:27.730]  In my view, it's a very bad thing, because I think collectivism is the graveyard of civilization.
[00:54:27.790 --> 00:54:29.191]  It's certainly the graveyard of freedom.
[00:54:29.892 --> 00:54:39.641]  If you just think about it, no collectivist system in the world has ever been the kind of a place where freedom was prosperous.
[00:54:41.523 --> 00:54:48.886]  People always wound up in a gulag or some kind of a concentration camp if they disagreed with their leaders.
[00:54:49.607 --> 00:54:57.611]  All of these factors, I think, need to be understood in order for us to come up with an intelligent plan of what to do about it.
[00:54:57.811 --> 00:55:02.273]  Because all of this is academic, unless we come up with a plan of what to do about it.
[00:55:02.974 --> 00:55:06.676]  And the first step in knowing what to do about it is knowing what not to do about it.
[00:55:07.596 --> 00:55:18.781]  And by that I mean, what not to do about it, is to fall for this left-right paradigm, where both the right wing and the left wing are both pursuing this objective, but fighting each other.
[00:55:18.801 --> 00:55:30.867]  And if we get caught up in that trap, we'll spend all of our time fighting the leftists or fighting the rightists, and it doesn't make any difference, because no matter which side you're on in that battle, you still are promoting this globalist
[00:55:31.374 --> 00:55:31.554]  I think?
[00:55:46.049 --> 00:55:46.369]  Of course.
[00:55:46.950 --> 00:55:47.711]  But what do we want?
[00:55:48.592 --> 00:55:50.695]  Well, the average person would say, I just want to be free.
[00:55:51.616 --> 00:55:53.839]  And you'd ask that person, well, what is freedom?
[00:55:54.880 --> 00:55:56.442]  Well, that's a good question, isn't it?
[00:55:56.963 --> 00:55:57.804]  What is freedom?
[00:55:58.305 --> 00:56:00.988]  A lot of people think that freedom is merely not being in jail.
[00:56:01.849 --> 00:56:02.709]  That's their definition.
[00:56:03.029 --> 00:56:04.130]  If you're not in jail, you're free.
[00:56:04.150 --> 00:56:16.594]  It doesn't make any difference if you're not free to live where you want to live, or hire who you want to hire, or travel where you want to go, or spend your money the way you want to spend it, or write what you want to write, or go on the internet and say what you want to say.
[00:56:16.614 --> 00:56:19.415]  They don't think that's important as long as you're not in jail.
[00:56:19.875 --> 00:56:20.735]  They call that freedom.
[00:56:21.415 --> 00:56:25.617]  I don't think that kind of a definition of freedom is worth fighting for.
[00:56:26.217 --> 00:56:27.437]  So we have to know what we want.
[00:56:27.477 --> 00:56:28.177]  What is freedom?
[00:56:28.638 --> 00:56:29.438]  That's the reason that
